Local time in Gauhati,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
06.04.2020 08:00,25.0,754.9,759.0,65,Wind blowing from the east-northeast,3,,Haze,,Few clouds (10-30%) 600 m,3.0,18.0,
06.04.2020 07:30,23.0,754.9,759.0,74,Wind blowing from the north-east,2,,Haze,,Few clouds (10-30%) 600 m,3.0,18.0,
06.04.2020 07:00,22.0,754.9,759.0,78,Wind blowing from the north-northeast,3,,Mist,,Few clouds (10-30%) 600 m,2.5,18.0,
06.04.2020 06:30,21.0,754.1,758.2,78,Wind blowing from the south-southwest,2,,Mist,,Few clouds (10-30%) 600 m,2.5,17.0,
06.04.2020 06:00,20.0,754.1,758.2,83,Wind blowing from the north,2,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,2.5,17.0,
06.04.2020 05:30,19.0,754.0,758.2,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,2.5,16.0,
06.04.2020 05:00,19.0,753.5,757.7,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,2.5,16.0,
06.04.2020 04:30,20.0,753.6,757.7,78,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,2.5,16.0,
06.04.2020 02:00,21.0,752.8,756.9,73,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,16.0,
06.04.2020 01:30,21.0,753.6,757.7,78,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
06.04.2020 01:00,21.0,753.6,757.7,73,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,16.0,
06.04.2020 00:30,22.0,754.1,758.2,73,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
06.04.2020 00:00,21.0,754.1,758.2,73,Wind blowing from the north-east,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,16.0,
05.04.2020 23:30,22.0,754.1,758.2,73,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
05.04.2020 23:00,23.0,754.1,758.2,69,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
05.04.2020 22:30,22.0,754.1,758.2,73,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
05.04.2020 22:00,24.0,754.1,758.2,65,Wind blowing from the south-southwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
05.04.2020 21:30,24.0,754.1,758.2,65,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
05.04.2020 21:00,25.0,754.1,758.2,61,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,17.0,
05.04.2020 20:30,26.0,754.1,758.2,58,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,17.0,
05.04.2020 20:00,27.0,754.2,758.2,54,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,17.0,
05.04.2020 19:30,27.0,753.7,757.7,51,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,16.0,
05.04.2020 19:00,29.0,752.9,756.9,43,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,15.0,
05.04.2020 18:00,32.0,752.2,756.2,31,Wind blowing from the north-northwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,13.0,
05.04.2020 17:30,32.0,752.2,756.2,31,Wind blowing from the north-west,2,,Haze,,Few clouds (10-30%) 600 m,5.0,13.0,
05.04.2020 17:00,33.0,751.4,755.4,30,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,5.0,13.0,
05.04.2020 16:30,34.0,751.5,755.4,28,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,5.0,13.0,
05.04.2020 16:00,34.0,751.5,755.4,30,Wind blowing from the north-northwest,2,,Haze,,Few clouds (10-30%) 600 m,5.0,14.0,
05.04.2020 15:30,34.0,751.5,755.4,30,Wind blowing from the north-west,2,,Haze,,Few clouds (10-30%) 600 m,5.0,14.0,
05.04.2020 15:00,34.0,751.5,755.4,30,Wind blowing from the north-northwest,2,,Haze,,Few clouds (10-30%) 600 m,5.0,14.0,
05.04.2020 14:30,35.0,751.5,755.4,30,Wind blowing from the north-northwest,4,,Haze,,Few clouds (10-30%) 600 m,5.0,15.0,
05.04.2020 14:00,34.0,752.3,756.2,32,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,5.0,15.0,
05.04.2020 13:30,33.0,752.9,756.9,34,Wind blowing from the north,4,,Haze,,Few clouds (10-30%) 600 m,5.0,15.0,
05.04.2020 13:00,33.0,752.9,756.9,36,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,5.0,16.0,
05.04.2020 12:30,33.0,753.7,757.7,36,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,4.0,16.0,
05.04.2020 12:00,32.0,754.2,758.2,36,Wind blowing from the north,4,,Haze,,Few clouds (10-30%) 600 m,4.0,15.0,
05.04.2020 11:30,31.0,754.2,758.2,40,Wind blowing from the north-northeast,4,,Haze,,Few clouds (10-30%) 600 m,4.0,16.0,
05.04.2020 11:00,31.0,755.0,759.0,43,Wind blowing from the north-northeast,4,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
05.04.2020 10:30,29.0,755.0,759.0,51,Wind blowing from the north-northeast,4,,Haze,,Few clouds (10-30%) 600 m,4.0,18.0,
05.04.2020 10:00,29.0,755.7,759.7,55,Wind blowing from the north,4,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
05.04.2020 09:30,28.0,755.7,759.7,58,Wind blowing from the north-east,3,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
05.04.2020 09:00,27.0,755.6,759.7,62,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,3.5,19.0,
05.04.2020 08:30,26.0,755.6,759.7,61,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,3.5,18.0,
05.04.2020 08:00,25.0,755.6,759.7,69,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,3.0,19.0,
05.04.2020 07:30,24.0,755.6,759.7,74,Wind blowing from the east-northeast,3,,Haze,,Few clouds (10-30%) 600 m,3.0,19.0,
05.04.2020 07:00,22.0,755.6,759.7,78,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,18.0,
05.04.2020 06:30,20.0,755.6,759.7,78,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m,2.5,16.0,
05.04.2020 06:00,19.0,754.8,759.0,78,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m,2.5,15.0,
05.04.2020 05:30,19.0,754.8,759.0,78,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m,2.5,15.0,
05.04.2020 04:30,19.0,754.0,758.2,78,Calm  no wind,0,,Mist,,Scattered clouds (40-50%) 540 m,2.5,15.0,
04.04.2020 23:30,24.0,754.9,759.0,69,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m,3.0,18.0,
04.04.2020 22:58,25.0,754.9,759.0,61,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m,3.0,17.0,
04.04.2020 22:27,25.0,754.9,759.0,57,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m,3.0,16.0,
04.04.2020 22:00,24.0,754.9,759.0,61,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m,3.0,16.0,
04.04.2020 21:30,24.0,754.9,759.0,61,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m,3.0,16.0,
04.04.2020 21:00,25.0,754.9,759.0,57,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m,3.0,16.0,
04.04.2020 20:30,25.0,754.9,759.0,57,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m,3.0,16.0,
04.04.2020 20:00,26.0,754.1,758.2,51,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m,3.0,15.0,
04.04.2020 19:30,26.0,754.1,758.2,51,Calm  no wind,0,,Haze,,Scattered clouds (40-50%) 540 m,3.0,15.0,
04.04.2020 19:00,28.0,753.7,757.7,42,Wind blowing from the south-southeast,1,,Haze,,Scattered clouds (40-50%) 540 m,4.0,14.0,
04.04.2020 18:30,28.0,752.9,756.9,40,Wind blowing from the south,2,,Haze,,Scattered clouds (40-50%) 540 m,4.5,13.0,
04.04.2020 18:00,31.0,752.9,756.9,31,Wind blowing from the north,1,,Haze,,Few clouds (10-30%) 600 m,5.0,12.0,
04.04.2020 17:30,32.0,752.2,756.2,29,Wind blowing from the north,2,,Haze,,Few clouds (10-30%) 600 m,5.0,12.0,
04.04.2020 17:00,33.0,752.2,756.2,26,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,5.0,11.0,
04.04.2020 16:30,34.0,752.3,756.2,23,Wind blowing from the north-northwest,4,,Haze,,Few clouds (10-30%) 600 m,5.0,10.0,
04.04.2020 16:00,35.0,752.3,756.2,22,Wind blowing from the west,3,,Haze,,Few clouds (10-30%) 600 m,5.0,10.0,
04.04.2020 15:30,35.0,751.5,755.4,22,Wind blowing from the west,4,,Haze,,Few clouds (10-30%) 600 m,5.0,10.0,
04.04.2020 15:00,35.0,752.3,756.2,22,Wind blowing from the west-northwest,4,,Haze,,Few clouds (10-30%) 600 m,5.0,10.0,
04.04.2020 14:30,35.0,752.3,756.2,22,Wind blowing from the west-northwest,2,,Haze,,Few clouds (10-30%) 600 m,5.0,10.0,
04.04.2020 14:00,35.0,753.0,756.9,20,Wind blowing from the north-west,6,,Haze,,Few clouds (10-30%) 600 m,5.0,9.0,
04.04.2020 13:30,35.0,753.0,756.9,20,Wind blowing from the west-northwest,5,,Haze,,Few clouds (10-30%) 600 m,5.0,9.0,
04.04.2020 13:00,35.0,753.8,757.7,20,Wind blowing from the west,5,,Haze,,Few clouds (10-30%) 600 m,5.0,9.0,
04.04.2020 12:30,34.0,753.7,757.7,24,Wind blowing from the west-northwest,5,,Haze,,Few clouds (10-30%) 600 m,5.0,11.0,
04.04.2020 12:00,34.0,754.2,758.2,26,Wind blowing from the west,4,,Haze,,Few clouds (10-30%) 600 m,5.0,12.0,
04.04.2020 11:30,33.0,754.2,758.2,32,Wind blowing from the west-northwest,5,,Haze,,Few clouds (10-30%) 600 m,5.0,14.0,
04.04.2020 11:00,32.0,755.0,759.0,38,Wind blowing from the north-west,4,,Haze,,Few clouds (10-30%) 600 m,5.0,16.0,
04.04.2020 10:30,32.0,755.0,759.0,41,Wind blowing from the north-northwest,4,,Haze,,Few clouds (10-30%) 600 m,4.5,17.0,
04.04.2020 10:00,31.0,755.7,759.7,49,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
04.04.2020 09:30,30.0,755.7,759.7,52,Wind blowing from the north-northwest,2,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
04.04.2020 09:00,29.0,755.7,759.7,58,Wind blowing from the north-northwest,2,,Haze,,Few clouds (10-30%) 600 m,4.0,20.0,
04.04.2020 08:30,29.0,755.7,759.7,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,4.0,21.0,
04.04.2020 08:01,27.0,755.6,759.7,70,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,21.0,
04.04.2020 07:30,25.0,754.9,759.0,74,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,20.0,
04.04.2020 07:00,24.0,754.9,759.0,78,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,20.0,
04.04.2020 06:30,22.0,754.9,759.0,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,19.0,
04.04.2020 06:00,21.0,754.1,758.2,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,2.5,18.0,
04.04.2020 05:00,21.0,753.6,757.7,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,2.5,18.0,
04.04.2020 04:30,21.0,753.6,757.7,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,2.5,18.0,
04.04.2020 03:30,22.0,753.6,757.7,78,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,2.5,18.0,
04.04.2020 02:30,23.0,753.6,757.7,78,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,19.0,
04.04.2020 01:30,23.0,753.6,757.7,78,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,3.0,19.0,
04.04.2020 00:30,24.0,753.6,757.7,74,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,19.0,
03.04.2020 23:30,25.0,753.6,757.7,69,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,19.0,
03.04.2020 22:30,26.0,753.6,757.7,70,Wind blowing from the south-southeast,3,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,20.0,
03.04.2020 22:00,26.0,753.6,757.7,70,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,20.0,
03.04.2020 21:30,27.0,753.7,757.7,66,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,20.0,
03.04.2020 21:00,27.0,753.7,757.7,66,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,20.0,
03.04.2020 20:30,27.0,752.9,756.9,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,19.0,
03.04.2020 20:00,27.0,752.2,756.2,62,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,3.5,19.0,
03.04.2020 19:30,29.0,752.2,756.2,55,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m,3.5,19.0,
03.04.2020 19:00,29.0,751.4,755.4,55,Wind blowing from the west,1,,Haze,,Few clouds (10-30%) 600 m,3.5,19.0,
03.04.2020 18:30,30.0,750.6,754.6,49,Wind blowing from the south-east,1,,Haze,,Few clouds (10-30%) 600 m,3.5,18.0,
03.04.2020 18:00,30.0,750.6,754.6,49,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m,3.5,18.0,
03.04.2020 17:30,31.0,750.6,754.6,43,Wind blowing from the south-west,3,,Haze,,Few clouds (10-30%) 600 m,3.5,17.0,
03.04.2020 17:00,33.0,750.0,753.9,38,Wind blowing from the south-west,3,,Haze,,Few clouds (10-30%) 600 m,3.5,17.0,
03.04.2020 16:30,33.0,750.7,754.6,38,Wind blowing from the south-west,3,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
03.04.2020 16:00,34.0,750.7,754.6,36,Wind blowing from the south,4,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
03.04.2020 15:30,34.0,750.7,754.6,39,Wind blowing from the south,5,,Haze,,Few clouds (10-30%) 600 m,4.0,18.0,
03.04.2020 15:00,34.0,750.7,754.6,39,Wind blowing from the west-southwest,5,,Haze,,Few clouds (10-30%) 600 m,4.0,18.0,
03.04.2020 14:30,34.0,751.5,755.4,39,Wind blowing from the west,3,,Haze,,Few clouds (10-30%) 600 m,4.0,18.0,
03.04.2020 14:00,34.0,751.5,755.4,36,Wind blowing from the north-west,2,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
03.04.2020 13:30,34.0,752.3,756.2,41,Wind blowing from the north-west,2,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 13:00,33.0,752.2,756.2,44,Wind blowing from the west-northwest,4,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 12:30,32.0,752.9,756.9,46,Wind blowing from the west,2,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 12:00,31.0,753.7,757.7,49,Wind blowing from the east,2,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 11:30,31.0,753.7,757.7,49,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 11:00,30.0,754.2,758.2,52,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 10:30,29.0,754.2,758.2,58,Wind blowing from the north-northeast,2,,Haze,,Few clouds (10-30%) 600 m,4.0,20.0,
03.04.2020 10:00,28.0,754.2,758.2,62,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,4.0,20.0,
03.04.2020 09:30,27.0,755.0,759.0,66,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,4.0,20.0,
03.04.2020 09:00,26.0,754.9,759.0,70,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,4.0,20.0,
03.04.2020 08:30,26.0,754.1,758.2,65,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 08:07,25.0,754.1,758.2,69,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 08:00,25.0,754.1,758.2,69,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 07:30,24.0,754.1,758.2,74,Wind blowing from the north-northeast,3,,Mist,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 07:00,23.0,754.1,758.2,78,Wind blowing from the north-northeast,3,,Mist,,Few clouds (10-30%) 600 m,4.0,19.0,
03.04.2020 06:30,22.0,753.6,757.7,83,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,2.0,19.0,
03.04.2020 06:00,22.0,753.6,757.7,78,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m,2.5,18.0,
03.04.2020 05:30,20.0,754.1,758.2,83,Calm  no wind,0,,Mist,,Few clouds (10-30%) 600 m,2.5,17.0,
02.04.2020 21:00,26.0,752.2,756.2,61,Wind blowing from the east-northeast,6,,Haze,,Few clouds (10-30%) 600 m,3.0,18.0,
02.04.2020 20:30,27.0,751.4,755.4,58,Wind blowing from the north-northeast,6,,Haze,,Few clouds (10-30%) 600 m,3.0,18.0,
02.04.2020 20:00,28.0,751.4,755.4,55,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,3.0,18.0,
02.04.2020 19:30,29.0,750.6,754.6,48,Wind blowing from the north-east,3,,Haze,,Few clouds (10-30%) 600 m,3.0,17.0,
02.04.2020 19:00,30.0,750.6,754.6,35,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,3.0,13.0,
02.04.2020 18:30,31.0,749.9,753.9,31,Wind blowing from the west,2,,Haze,,Few clouds (10-30%) 600 m,3.0,12.0,
02.04.2020 18:00,32.0,749.1,753.1,31,Wind blowing from the west,2,,Haze,,Few clouds (10-30%) 600 m,3.0,13.0,
02.04.2020 17:30,33.0,749.2,753.1,34,Wind blowing from the west,3,,Haze,,Few clouds (10-30%) 600 m,3.5,15.0,
02.04.2020 17:00,34.0,748.4,752.3,36,Wind blowing from the west-southwest,2,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
02.04.2020 16:30,34.0,748.4,752.3,36,Wind blowing from the west-southwest,3,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
02.04.2020 16:00,34.0,749.2,753.1,36,Wind blowing from the west,3,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
02.04.2020 15:30,35.0,749.2,753.1,34,Wind blowing from the west,3,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
02.04.2020 15:00,36.0,749.2,753.1,32,Wind blowing from the east-southeast,2,,Haze,,Few clouds (10-30%) 600 m,4.0,17.0,
02.04.2020 14:30,35.0,749.2,753.1,34,Wind blowing from the west-southwest,4,,Haze,,Few clouds (10-30%) 600 m,3.5,17.0,
02.04.2020 14:00,35.0,750.0,753.9,34,Wind blowing from the west-northwest,3,,Haze,,Few clouds (10-30%) 600 m,3.5,17.0,
02.04.2020 13:30,35.0,750.7,754.6,34,Wind blowing from the north-northeast,3,,Haze,,Few clouds (10-30%) 600 m,3.5,17.0,
02.04.2020 13:00,35.0,750.7,754.6,34,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,3.5,17.0,
02.04.2020 12:30,34.0,751.5,755.4,36,Wind blowing from the north-northwest,2,,Haze,,Few clouds (10-30%) 600 m,3.0,17.0,
02.04.2020 12:00,33.0,751.4,755.4,38,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,3.0,17.0,
02.04.2020 11:30,33.0,752.2,756.2,38,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,3.0,17.0,
02.04.2020 11:00,33.0,752.2,756.2,36,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,3.0,16.0,
02.04.2020 10:30,32.0,752.9,756.9,38,Wind blowing from the north-east,2,,Haze,,Few clouds (10-30%) 600 m,3.0,16.0,
02.04.2020 10:00,31.0,752.9,756.9,40,Wind blowing from the north-northeast,2,,Haze,,Few clouds (10-30%) 600 m,3.0,16.0,
02.04.2020 09:30,30.0,752.9,756.9,43,Wind blowing from the north-east,2,,Haze,,Few clouds (10-30%) 600 m,3.0,16.0,
02.04.2020 09:00,29.0,752.9,756.9,48,Wind blowing from the north,2,,Haze,,Few clouds (10-30%) 600 m,3.0,17.0,
02.04.2020 08:30,28.0,752.9,756.9,58,Wind blowing from the north,2,,Haze,,Few clouds (10-30%) 600 m,3.0,19.0,
02.04.2020 08:00,26.0,752.8,756.9,61,Wind blowing from the north,2,,Haze,,Few clouds (10-30%) 600 m,3.0,18.0,
02.04.2020 07:30,25.0,752.1,756.2,65,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,18.0,
02.04.2020 07:00,23.0,752.1,756.2,69,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
02.04.2020 06:30,21.0,751.3,755.4,73,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,2.5,16.0,
02.04.2020 06:00,20.0,751.3,755.4,73,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,2.5,15.0,
02.04.2020 05:30,20.0,751.3,755.4,73,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,2.5,15.0,
01.04.2020 23:30,23.0,751.3,755.4,65,Calm  no wind,0,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,16.0,
01.04.2020 22:30,24.0,752.1,756.2,65,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
01.04.2020 22:00,23.0,752.1,756.2,69,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
01.04.2020 21:30,24.0,752.1,756.2,65,Wind blowing from the south,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.0,17.0,
01.04.2020 21:00,25.0,752.1,756.2,61,Wind blowing from the south-southwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,17.0,
01.04.2020 20:30,25.0,752.1,756.2,61,Wind blowing from the south-southwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,17.0,
01.04.2020 20:00,26.0,752.2,756.2,58,Wind blowing from the south-southwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,17.0,
01.04.2020 19:30,26.0,751.4,755.4,58,Wind blowing from the south-southwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,17.0,
01.04.2020 19:00,27.0,751.4,755.4,54,Wind blowing from the south-southeast,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,3.5,17.0,
01.04.2020 18:30,28.0,750.6,754.6,48,Wind blowing from the south-southeast,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,16.0,
01.04.2020 18:00,31.0,750.6,754.6,38,Wind blowing from the west-southwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,15.0,
01.04.2020 17:30,32.0,749.9,753.9,33,Wind blowing from the north-northwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,14.0,
01.04.2020 17:00,33.0,750.0,753.9,32,Wind blowing from the north-northwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,14.0,
01.04.2020 16:30,33.0,750.0,753.9,32,Wind blowing from the north-west,3,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,14.0,
01.04.2020 16:00,34.0,750.0,753.9,30,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,14.0,
01.04.2020 15:30,34.0,750.0,753.9,28,Wind blowing from the north-northwest,2,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,13.0,
01.04.2020 15:00,34.0,750.0,753.9,30,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m  scattered clouds (40-50%) 3000 m,4.0,14.0,
01.04.2020 14:30,34.0,750.7,754.6,30,Wind blowing from the west-northwest,3,,Haze,,Few clouds (10-30%) 600 m,4.0,14.0,
01.04.2020 14:00,34.0,750.7,754.6,30,Wind blowing from the north,3,,Haze,,Few clouds (10-30%) 600 m,4.0,14.0,
01.04.2020 13:30,34.0,750.7,754.6,30,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,4.0,14.0,
01.04.2020 13:00,34.0,751.5,755.4,30,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,3.5,14.0,
01.04.2020 12:30,34.0,752.3,756.2,32,Wind blowing from the west,4,,Haze,,Few clouds (10-30%) 600 m,3.5,15.0,
01.04.2020 12:00,33.0,752.2,756.2,34,Wind blowing from the north,4,,Haze,,Few clouds (10-30%) 600 m,3.5,15.0,
01.04.2020 11:30,33.0,752.9,756.9,34,Wind blowing from the west-northwest,3,,Haze,,Few clouds (10-30%) 600 m,3.5,15.0,
01.04.2020 11:00,32.0,753.7,757.7,33,Wind blowing from the west,3,,Haze,,Few clouds (10-30%) 600 m,3.5,14.0,
01.04.2020 10:30,30.0,753.7,757.7,40,Wind blowing from the west,3,,Haze,,Few clouds (10-30%) 600 m,3.0,15.0,
01.04.2020 10:00,30.0,754.2,758.2,40,Wind blowing from the north-northwest,3,,Haze,,Few clouds (10-30%) 600 m,3.0,15.0,
