Local time in Yingkou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
18.03.2020 08:00,12.6,753.3,753.7,-1.2,33,Wind blowing from the south,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,12.9,,,,,,28.0,-3.2,No precipitation,12,,,,
18.03.2020 05:00,10.0,754.5,754.9,,32,Wind blowing from the south,6,,10,, ,,,2.6,12.9,,,,,,30.0,-5.9,No precipitation,6,,,,
18.03.2020 02:00,6.9,757.2,757.6,-1.5,38,Wind blowing from the south-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,12.9,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
17.03.2020 23:00,5.8,758.7,759.1,,48,Wind blowing from the south-southeast,2,,,, ,,,2.6,12.9,,,,,,29.0,-4.6,No precipitation,6,,,,
17.03.2020 20:00,7.2,759.4,759.9,0.6,46,Wind blowing from the south-west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,12.9,,,,,,30.0,-3.9,No precipitation,12,,,,
17.03.2020 17:00,9.8,758.8,759.3,,45,Wind blowing from the south-west,3,,8,no clouds, ,,,2.6,12.9,,,,,,30.0,-1.6,No precipitation,6,,,,
17.03.2020 14:00,11.0,759.1,759.6,-1.1,42,Wind blowing from the west-southwest,5,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,12.9,,,600-1000,,,30.0,-1.4,No precipitation,12,,,,
17.03.2020 11:00,8.1,760.2,760.6,,57,Wind blowing from the west-southwest,3,,7,no clouds, ,,,1.6,8.2,,,,,,22.0,0.1,No precipitation,6,,,,
17.03.2020 08:00,4.2,760.1,760.6,0.8,78,Wind blowing from the south-southwest,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,5.8,,,,,,13.0,0.7,No precipitation,12,,,,
17.03.2020 05:00,2.8,759.3,759.7,,83,Wind blowing from the south-southwest,3,,14,, ,,,,5.8,,,,,,13.0,0.2,No precipitation,6,,,,
17.03.2020 02:00,3.5,759.6,760.0,-0.9,74,Wind blowing from the south-southwest,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,5.8,,,2500 or more  or no clouds.,,,18.0,-0.7,No precipitation,12,,,,
16.03.2020 23:00,4.4,760.5,760.9,,60,Wind blowing from the south,2,,,, ,,,,5.8,,,,,,30.0,-2.7,No precipitation,6,,,,
16.03.2020 20:00,5.5,760.1,760.6,0.7,58,Wind blowing from the south-southwest,5,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,5.8,,,,,,30.0,-2.1,No precipitation,12,,,,
16.03.2020 17:00,5.8,759.4,759.8,,52,Wind blowing from the south-west,9,,16,no clouds, ,,,-6.3,5.8,,,,,,30.0,-3.3,No precipitation,6,,,,
16.03.2020 14:00,3.8,761.2,761.6,-3.3,58,Wind blowing from the south-west,9,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,4.0,,,,,,30.0,-3.9,No precipitation,12,,,,
16.03.2020 11:00,1.7,764.5,764.9,,43,Wind blowing from the south-west,8,,14,no clouds, ,,,-6.3,2.9,,,,,,30.0,-9.8,No precipitation,6,,,,
16.03.2020 08:00,-1.4,766.3,766.8,,45,Wind blowing from the south-southwest,4,,11,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,3.3,,,1000-1500,,,30.0,-11.8,No precipitation,12,,,,
16.03.2020 05:00,-4.7,768.0,768.4,,58,Wind blowing from the north-west,3,,14,, ,,,-6.3,3.3,,,,,,29.0,-11.7,No precipitation,6,,,,
16.03.2020 02:00,-4.8,768.8,769.3,,49,Wind blowing from the north-northwest,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,4.2,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
15.03.2020 23:00,-2.9,769.1,769.6,,33,Wind blowing from the east,5,,,, ,,,-2.9,4.2,,,,,,30.0,-16.9,No precipitation,6,,,,
15.03.2020 20:00,-2.2,769.0,769.4,1.6,36,Wind blowing from the east-northeast,4,,20,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,4.2,,,,,,30.0,-15.3,No precipitation,12,,,,
15.03.2020 17:00,0.3,767.4,767.8,,31,Wind blowing from the north-northeast,8,,20,no clouds, ,,,0.3,6.8,,,,,,30.0,-14.9,No precipitation,6,,,,
15.03.2020 14:00,2.0,765.5,766.0,0.5,30,Wind blowing from the north-northeast,11,,20,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,,,,600-1000,,,30.0,-13.8,No precipitation,12,,,,
15.03.2020 11:00,2.3,765.0,765.4,,30,Wind blowing from the north,11,,18,40%., ,,,,,,,600-1000,,,30.0,-13.5,No precipitation,6,,,,
15.03.2020 08:00,3.1,762.7,763.1,2.1,46,Wind blowing from the north,7,,11,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1000-1500,,,30.0,-7.4,No precipitation,12,,,,
15.03.2020 05:00,2.9,760.6,761.0,,47,Wind blowing from the north,3,,11,, ,,,-0.8,9.6,,,,,,30.0,-7.3,No precipitation,6,,,,
15.03.2020 02:00,2.7,759.7,760.1,0.3,56,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,9.6,,,2500 or more  or no clouds.,,,30.0,-5.2,No precipitation,12,,,,
14.03.2020 23:00,3.0,759.4,759.8,,65,Wind blowing from the north-west,2,,,, ,,,-0.8,9.6,,,,,,30.0,-3.1,No precipitation,6,,,,
14.03.2020 20:00,3.0,759.1,759.6,0.9,65,Wind blowing from the west,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,9.6,,,,,,30.0,-3.1,No precipitation,12,,,,
14.03.2020 17:00,6.7,758.2,758.7,,37,Wind blowing from the south-west,3,,8,20–30%., ,,,-0.8,9.6,,,1000-1500,,,30.0,-7.0,No precipitation,6,,,,
14.03.2020 14:00,8.0,759.3,759.7,,39,Wind blowing from the west-southwest,5,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,9.6,,,600-1000,,,30.0,-5.4,No precipitation,12,,,,
14.03.2020 08:00,2.6,761.4,761.8,0.0,80,Wind blowing from the south-southwest,2,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,3.1,,,2500 or more  or no clouds.,,,18.0,-0.5,No precipitation,12,,,,
14.03.2020 05:00,-0.4,761.4,761.8,,94,Wind blowing from the south,2,,12,, ,,,-4.5,3.1,,,,,,7.0,-1.2,No precipitation,6,,,,
14.03.2020 02:00,0.9,763.0,763.5,-1.5,89,Wind blowing from the south-west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,3.1,,,2500 or more  or no clouds.,,,21.0,-0.7,No precipitation,12,,,,
13.03.2020 23:00,2.6,764.5,765.0,,64,Wind blowing from the south-southwest,5,,,, ,,,,3.1,,,,,,30.0,-3.7,No precipitation,6,,,,
13.03.2020 20:00,1.7,766.2,766.6,-1.0,65,Wind blowing from the south-southwest,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,3.1,,,,,,30.0,-4.2,No precipitation,12,,,,
13.03.2020 17:00,2.1,767.2,767.6,,62,Wind blowing from the south-west,4,,7,no clouds, ,,,-4.5,6.2,,,,,,30.0,-4.6,No precipitation,6,,,,
13.03.2020 14:00,2.7,768.5,769.0,,43,Wind blowing from the west-southwest,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.2,,,,,,30.0,-8.9,No precipitation,12,,,,
13.03.2020 11:00,1.6,771.1,771.5,,36,Wind blowing from the west-southwest,4,,7,no clouds, ,,,-4.5,8.2,,,,,,30.0,-11.9,No precipitation,6,,,,
13.03.2020 08:00,-0.7,772.0,772.4,0.6,38,Wind blowing from the south-southwest,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.2,,,,,,30.0,-13.3,No precipitation,12,,,,
13.03.2020 05:00,-3.6,771.4,771.8,,47,Wind blowing from the east-northeast,2,,11,, ,,,-3.7,8.2,,,,,,30.0,-13.3,No precipitation,6,,,,
13.03.2020 02:00,-3.0,771.2,771.7,0.2,50,Wind blowing from the north-east,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.2,,,2500 or more  or no clouds.,,,24.0,-12.0,No precipitation,12,,,,
12.03.2020 23:00,-0.5,771.0,771.4,,43,Wind blowing from the east-northeast,4,,,, ,,,-0.5,8.2,,,,,,30.0,-11.8,No precipitation,6,,,,
12.03.2020 20:00,2.4,768.9,769.3,2.9,37,Wind blowing from the east,3,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.4,8.2,,,1500-2000,,,30.0,-10.8,No precipitation,12,,,,
12.03.2020 17:00,6.2,766.0,766.4,,28,Wind blowing from the north,7,,14,90  or more  but not 100%, ,,,2.8,8.2,,,1500-2000,,,30.0,-11.0,No precipitation,6,,,,
12.03.2020 14:00,7.4,764.5,764.9,0.3,31,Wind blowing from the north-east,7,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,8.3,,,1500-2000,,,30.0,-8.6,No precipitation,12,,,,
12.03.2020 11:00,5.9,764.2,764.6,,43,Wind blowing from the north-east,7,,12,no clouds, ,,,2.8,8.3,,,,,,30.0,-5.7,No precipitation,6,,,,
12.03.2020 08:00,3.3,762.6,763.0,2.3,61,Wind blowing from the north-east,5,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,8.3,,,1500-2000,,,23.0,-3.5,No precipitation,12,,,,
12.03.2020 05:00,3.5,760.3,760.8,,78,Wind blowing from the west,3,,11,, ,,,,8.3,,,,,,16.0,0.0,No precipitation,6,,,,
12.03.2020 02:00,7.3,759.3,759.7,-0.3,49,Wind blowing from the south,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.3,,,2500 or more  or no clouds.,,,30.0,-2.7,No precipitation,12,,,,
11.03.2020 23:00,6.3,759.6,760.0,,42,Wind blowing from the south,4,,,, ,,,,8.3,,,,,,30.0,-5.7,No precipitation,6,,,,
11.03.2020 20:00,6.5,759.3,759.7,0.4,48,Wind blowing from the south,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,8.3,,,,,,30.0,-3.7,No precipitation,12,,,,
11.03.2020 17:00,7.2,758.9,759.4,,40,Wind blowing from the south-southwest,5,,12,no clouds, ,,,-4.1,8.3,,,,,,30.0,-5.5,No precipitation,6,,,,
11.03.2020 14:00,7.5,760.8,761.2,-2.3,29,Wind blowing from the south-west,7,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,7.9,,,,,,30.0,-9.4,No precipitation,12,,,,
11.03.2020 11:00,4.9,763.1,763.6,,31,Wind blowing from the south,4,,8,50%., ,,,-4.1,6.8,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,6,,,,
11.03.2020 08:00,1.0,763.9,764.3,0.7,48,Wind blowing from the south-southeast,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,6.8,,,,,,30.0,-8.8,No precipitation,12,,,,
11.03.2020 05:00,-3.7,763.2,763.6,,68,Wind blowing from the east-southeast,1,,7,, ,,,-3.7,6.8,,,,,,28.0,-8.9,No precipitation,6,,,,
11.03.2020 02:00,-2.3,763.3,763.7,0.3,63,Wind blowing from the north-northeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,6.8,,,2500 or more  or no clouds.,,,30.0,-8.4,No precipitation,12,,,,
10.03.2020 23:00,-0.3,763.0,763.5,,51,Wind blowing from the north-east,2,,,, ,,,-3.4,6.8,,,,,,30.0,-9.2,No precipitation,6,,,,
10.03.2020 20:00,-0.2,762.5,763.0,,61,Wind blowing from the north,1,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,6.8,,,,,,30.0,-7.0,No precipitation,12,,,,
10.03.2020 17:00,4.7,761.4,761.8,,33,Wind blowing from the north,5,,15,no clouds, ,,,-3.4,6.8,,,,,,30.0,-10.2,No precipitation,6,,,,
10.03.2020 14:00,6.2,760.4,760.9,,34,Wind blowing from the north,8,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,6.8,,,,,,30.0,-8.5,No precipitation,12,,,,
10.03.2020 11:00,4.1,760.9,761.3,,56,Wind blowing from the west,3,,7,no clouds, ,,,-3.4,4.1,,,,,,30.0,-3.9,No precipitation,6,,,,
10.03.2020 08:00,0.7,761.2,761.6,0.0,53,Wind blowing from the east-northeast,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,2.4,,,,,,30.0,-7.8,No precipitation,12,,,,
10.03.2020 05:00,-2.5,761.2,761.7,,80,Wind blowing from the north,2,,10,, ,,,-2.6,2.6,,,,,,30.0,-5.5,No precipitation,6,,,,
10.03.2020 02:00,-0.1,762.4,762.9,,73,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,2.6,,,2500 or more  or no clouds.,,,30.0,-4.5,0.7,12,,,,
09.03.2020 20:00,1.6,763.2,763.6,-0.2,85,Wind blowing from the north-east,3,,10,100%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,0.7,2.6,,,2500 or more  or no clouds.,,,19.0,-0.6,4.0,12,,,,
09.03.2020 17:00,0.9,763.4,763.9,,96,Wind blowing from the north-northeast,6,,10,100%.,Rain or drizzle and snow  slight. ,Rain and snow or other types of solid precipitation,Rain.,0.7,2.9,,,2500 or more  or no clouds.,,,8.0,0.3,2.0,6,,,,
09.03.2020 14:00,1.0,763.3,763.8,-1.4,98,Wind blowing from the north-northeast,4,,10,100%.,Rain or drizzle and snow  slight. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,3.6,,,2500 or more  or no clouds.,,,1.9,0.7,5.0,12,,,,
09.03.2020 11:00,0.9,764.7,765.1,,98,Wind blowing from the north-northeast,5,,10,,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,,,,,,,2.5,0.6,4.0,6,,,,
09.03.2020 08:00,2.4,764.1,764.5,1.1,99,Wind blowing from the north-northeast,5,,8,100%.,Rain (not freezing) not falling as shower(s). ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,,,,2500 or more  or no clouds.,,,2.3,2.3,2.0,12,,,,
09.03.2020 05:00,2.3,763.0,763.5,,99,Wind blowing from the east-northeast,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,0.9,,,,,,,1.8,2.2,0.1,6,,,,
09.03.2020 02:00,1.9,763.0,763.5,0.4,99,Wind blowing from the north-east,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,,,,2500 or more  or no clouds.,,,2.4,1.8,No precipitation,12,,,,
08.03.2020 23:00,1.0,762.6,763.0,,99,Wind blowing from the north-west,1,,,,Mist. ,,,0.9,7.4,,,,,,2.2,0.9,No precipitation,6,,,,
08.03.2020 20:00,1.2,762.3,762.7,0.9,99,Wind blowing from the west,2,,11,100%.,Fog or ice fog  sky visible (has become thinner during the preceding hour). ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,7.4,,,1000-1500,,,0.5,1.1,No precipitation,12,,,,
08.03.2020 17:00,2.8,761.4,761.8,,98,Wind blowing from the south-southwest,3,,11,100%.,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,7.4,,,1000-1500,,,0.4,2.5,No precipitation,6,,,,
08.03.2020 14:00,3.1,761.3,761.8,-1.6,98,Wind blowing from the west-southwest,5,,11,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,7.4,,,1500-2000,,,1.0,2.8,No precipitation,12,,,,
08.03.2020 11:00,5.8,762.9,763.3,,87,Wind blowing from the south-west,6,,,100%., ,,,1.8,6.2,,,1500-2000,,,11.0,3.8,No precipitation,6,,,,
08.03.2020 08:00,3.1,763.0,763.5,0.1,95,Wind blowing from the south-west,5,,8,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.8,5.8,,,1500-2000,,,6.0,2.4,No precipitation,12,,,,
08.03.2020 05:00,1.9,762.9,763.3,,95,Wind blowing from the west,2,,4,,Mist. ,,,1.8,5.8,,,,,,4.8,1.2,No precipitation,6,,,,
08.03.2020 02:00,3.2,763.5,763.9,0.2,92,Wind blowing from the south-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,5.8,,,2500 or more  or no clouds.,,,10.0,2.0,No precipitation,12,,,,
07.03.2020 23:00,2.9,763.3,763.8,,95,Wind blowing from the south-southwest,2,,,, ,,,2.9,5.8,,,,,,9.0,2.2,No precipitation,6,,,,
07.03.2020 20:00,3.9,763.2,763.6,0.3,93,Calm  no wind,0,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,5.8,,,1500-2000,,,5.0,2.9,0.3,12,,,,
07.03.2020 17:00,4.9,762.9,763.3,,90,Wind blowing from the west,1,,4,100%., ,,,3.6,6.0,,,1500-2000,,,14.0,3.4,0.1,6,,,,
07.03.2020 14:00,5.1,763.0,763.4,-0.9,91,Wind blowing from the west,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,8.0,,,1500-2000,,,9.0,3.8,3.0,12,,,,
07.03.2020 11:00,5.5,763.9,764.3,,87,Wind blowing from the south,1,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,8.7,,,1500-2000,,,18.0,3.5,0.6,6,,,,
07.03.2020 08:00,3.9,763.3,763.7,1.1,95,Wind blowing from the east-southeast,1,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,8.7,,,1500-2000,,,10.0,3.2,2.0,12,,,,
07.03.2020 05:00,3.6,762.2,762.7,,94,Wind blowing from the south-southeast,2,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.4,8.7,,,,,,10.0,2.7,2.0,6,,,,
07.03.2020 02:00,4.0,762.2,762.7,0.7,83,Wind blowing from the south,2,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,8.7,,,2500 or more  or no clouds.,,,13.0,1.4,No precipitation,12,,,,
06.03.2020 23:00,5.5,761.5,762.0,,66,Wind blowing from the south-southeast,4,,,, ,,,1.4,8.7,,,,,,25.0,-0.5,No precipitation,6,,,,
06.03.2020 20:00,5.8,761.6,762.1,0.9,66,Wind blowing from the south-southeast,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,8.7,,,1500-2000,,,16.0,-0.1,No precipitation,12,,,,
06.03.2020 17:00,4.5,760.7,761.2,,70,Wind blowing from the south-west,5,,,90  or more  but not 100%, ,,,1.2,8.7,,,1500-2000,,,14.0,-0.5,No precipitation,6,,,,
06.03.2020 14:00,7.9,760.5,760.9,-2.0,59,Wind blowing from the south-west,6,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,8.7,,,1500-2000,,,14.0,0.2,No precipitation,12,,,,
06.03.2020 11:00,6.2,762.5,763.0,,59,Wind blowing from the south-southwest,4,,11,100%., ,,,1.2,6.2,,,1500-2000,,,16.0,-1.2,No precipitation,6,,,,
06.03.2020 08:00,4.1,762.6,763.0,0.3,65,Wind blowing from the south,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,4.2,,,1500-2000,,,18.0,-1.9,No precipitation,12,,,,
06.03.2020 05:00,3.6,762.3,762.7,,62,Wind blowing from the south,4,,11,, ,,,,3.7,,,,,,22.0,-3.0,No precipitation,6,,,,
06.03.2020 02:00,2.7,763.5,763.9,-0.7,52,Wind blowing from the south,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,3.2,,,2500 or more  or no clouds.,,,30.0,-6.2,No precipitation,12,,,,
05.03.2020 23:00,1.5,764.2,764.7,,52,Wind blowing from the south,5,,,, ,,,,3.2,,,,,,30.0,-7.3,No precipitation,6,,,,
05.03.2020 20:00,1.5,764.9,765.4,-0.5,46,Wind blowing from the south-southwest,4,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,3.2,,,,,,30.0,-8.9,No precipitation,12,,,,
05.03.2020 17:00,2.0,765.4,765.8,,58,Wind blowing from the south-west,7,,15,no clouds, ,,,-5.6,3.2,,,,,,30.0,-5.4,No precipitation,6,,,,
05.03.2020 14:00,2.7,766.9,767.3,-2.3,60,Wind blowing from the south-west,8,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,3.2,,,,,,28.0,-4.3,No precipitation,12,,,,
05.03.2020 11:00,2.2,769.2,769.6,,75,Wind blowing from the south-west,7,,,no clouds, ,,,-5.6,2.4,,,,,,19.0,-1.9,No precipitation,6,,,,
05.03.2020 08:00,-2.4,770.2,770.7,-0.8,72,Wind blowing from the south-southeast,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,0.4,,,,,,17.0,-6.9,No precipitation,12,,,,
05.03.2020 05:00,-5.1,771.0,771.4,,82,Wind blowing from the south-east,2,,6,, ,,,-5.6,0.4,,,,,,15.0,-7.7,No precipitation,6,,,,
05.03.2020 02:00,-4.9,772.2,772.6,-0.4,73,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,0.4,,,2500 or more  or no clouds.,,,16.0,-9.0,No precipitation,12,,,,
04.03.2020 23:00,-3.8,772.6,773.1,,63,Wind blowing from the south-southwest,1,,,, ,,,-5.4,0.4,,,,,,29.0,-9.8,No precipitation,6,,,,
04.03.2020 20:00,-2.8,772.3,772.8,0.9,60,Wind blowing from the east-northeast,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,0.4,,,,,,29.0,-9.5,No precipitation,12,,,,
04.03.2020 17:00,-0.3,771.4,771.9,,54,Calm  no wind,0,,,20–30%., ,,,,,,,1000-1500,,,30.0,-8.7,,,,,,
04.03.2020 14:00,-0.4,771.4,771.9,-0.7,54,Wind blowing from the north-northwest,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,0.8,,,1000-1500,,,30.0,-8.6,No precipitation,12,,,,
04.03.2020 11:00,-1.7,772.1,772.6,,61,Wind blowing from the north,6,,10,90  or more  but not 100%, ,,,-5.4,1.2,,,1000-1500,,,30.0,-8.4,No precipitation,6,,,,
04.03.2020 08:00,-4.6,771.7,772.1,,89,Wind blowing from the north,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,,,,1500-2000,,,14.0,-6.1,Trace of precipitation,12,,,,
