Local time in Shanwei,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 17:00,21.3,762.6,764.2,,67,Wind blowing from the east-southeast,4,,10,no clouds, ,,,15.6,22.9,,,,,,30.0,14.9,No precipitation,6,,,,
16.03.2020 14:00,22.3,763.2,764.8,-1.4,55,Wind blowing from the east-southeast,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,22.9,,,,,,30.0,12.8,No precipitation,12,,,,
16.03.2020 11:00,22.1,764.6,766.2,,32,Wind blowing from the east,4,,9,70 – 80%., ,,,15.6,22.2,,,2500 or more  or no clouds.,,,30.0,4.6,No precipitation,6,,,,
16.03.2020 08:00,16.8,765.0,766.6,,64,Wind blowing from the east-northeast,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,2500 or more  or no clouds.,,,25.0,9.9,No precipitation,12,,,,
16.03.2020 05:00,16.3,763.6,765.2,,65,Wind blowing from the east-northeast,2,,8,, ,,,16.3,22.1,,,,,,21.0,9.7,No precipitation,6,,,,
16.03.2020 02:00,16.6,763.7,765.3,,58,Wind blowing from the east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,22.1,,,2500 or more  or no clouds.,,,30.0,8.3,No precipitation,12,,,,
15.03.2020 23:00,17.1,764.1,765.7,,68,Wind blowing from the east-northeast,2,,10,, ,,,16.3,22.1,,,,,,22.0,11.1,No precipitation,6,,,,
15.03.2020 20:00,18.5,763.4,765.0,1.2,68,Wind blowing from the east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,22.1,,,2500 or more  or no clouds.,,,27.0,12.4,No precipitation,12,,,,
15.03.2020 17:00,19.1,762.2,763.8,,68,Wind blowing from the east-southeast,4,,10,70 – 80%., ,,,16.3,22.1,,,1500-2000,,,19.0,13.0,No precipitation,6,,,,
15.03.2020 14:00,20.7,762.4,764.0,,62,Wind blowing from the east-southeast,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,22.1,,,,,,18.0,13.1,No precipitation,12,,,,
15.03.2020 11:00,21.1,764.6,766.2,,40,Wind blowing from the east,3,,6,no clouds, ,,,16.3,23.6,,,,,,30.0,6.9,No precipitation,6,,,,
15.03.2020 08:00,17.3,764.3,765.9,1.3,61,Wind blowing from the east-northeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,,,,,,,28.0,9.7,No precipitation,12,,,,
15.03.2020 05:00,17.0,763.0,764.6,,62,Wind blowing from the east,2,,8,, ,,,17.0,,,,,,,20.0,9.6,No precipitation,6,,,,
15.03.2020 02:00,18.2,763.6,765.1,,76,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,23.6,,,2500 or more  or no clouds.,,,16.0,13.9,No precipitation,12,,,,
14.03.2020 23:00,18.6,764.2,765.7,,83,Wind blowing from the north-east,1,,8,, ,,,18.6,23.6,,,,,,16.0,15.6,No precipitation,6,,,,
14.03.2020 20:00,19.0,763.0,764.6,1.7,82,Wind blowing from the east-southeast,2,,8,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,23.6,,,600-1000,,,18.0,15.8,Trace of precipitation,12,,,,
14.03.2020 17:00,19.5,761.3,762.9,,82,Wind blowing from the east,4,,8,70 – 80%., ,,,18.6,23.6,,,600-1000,,,18.0,16.3,No precipitation,6,,,,
14.03.2020 14:00,21.4,761.0,762.6,-1.8,75,Wind blowing from the east-southeast,4,,9,20–30%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,23.9,,,600-1000,,,30.0,16.7,0.8,12,,,,
14.03.2020 11:00,21.8,762.8,764.4,,61,Wind blowing from the north-east,4,,9,20–30%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,23.9,,,2500 or more  or no clouds.,,,30.0,13.9,No precipitation,6,,,,
14.03.2020 08:00,18.6,763.0,764.6,2.4,77,Wind blowing from the north-northeast,3,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,23.9,,,1500-2000,,,30.0,14.4,1.0,12,,,,
14.03.2020 05:00,19.3,760.6,762.2,,79,Wind blowing from the north-northeast,3,,9,, ,,,18.5,23.9,,,,,,30.0,15.5,1.0,6,,,,
14.03.2020 02:00,20.8,760.4,762.0,,100,Wind blowing from the east-northeast,2,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,23.9,,,2500 or more  or no clouds.,,,1.3,20.8,0.6,12,,,,
13.03.2020 23:00,21.3,760.8,762.4,,95,Wind blowing from the west-northwest,1,,3,, ,,,18.4,23.9,,,,,,10.0,20.4,No precipitation,6,,,,
13.03.2020 20:00,21.0,760.1,761.7,0.7,93,Wind blowing from the north-northwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,23.9,,,1500-2000,,,12.0,19.9,No precipitation,12,,,,
13.03.2020 17:00,22.9,759.4,760.9,,82,Wind blowing from the west,2,,3,100%., ,,,18.4,23.9,,,1500-2000,,,10.0,19.6,No precipitation,6,,,,
13.03.2020 14:00,22.2,760.2,761.8,,86,Wind blowing from the east-southeast,2,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,22.6,,,1500-2000,,,6.0,19.7,No precipitation,12,,,,
13.03.2020 11:00,20.7,762.1,763.6,,96,Wind blowing from the east,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,20.8,,,1500-2000,,,5.0,20.0,No precipitation,6,,,,
13.03.2020 08:00,19.1,761.6,763.2,1.3,100,Wind blowing from the east-northeast,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,,,,1500-2000,,,1.6,19.1,No precipitation,12,,,,
13.03.2020 05:00,18.6,760.3,761.9,,100,Wind blowing from the east,1,,,,Mist. ,,,17.6,,,,,,,2.6,18.6,No precipitation,6,,,,
13.03.2020 02:00,18.8,760.6,762.2,-0.6,97,Wind blowing from the east-northeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.8,,,2500 or more  or no clouds.,,,4.4,18.3,0.4,12,,,,
12.03.2020 23:00,18.4,761.2,762.8,,96,Wind blowing from the east-northeast,2,,6,,Mist. ,,,17.6,20.8,,,,,,4.0,17.7,No precipitation,6,,,,
12.03.2020 20:00,18.6,760.2,761.8,,92,Wind blowing from the east-northeast,2,,6,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.8,,,1500-2000,,,5.0,17.2,0.4,12,,,,
12.03.2020 17:00,19.1,759.1,760.7,,94,Wind blowing from the east,4,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.8,,,,,,4.2,18.1,0.4,6,,,,
12.03.2020 14:00,20.7,759.7,761.3,,76,Wind blowing from the east,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.7,,,1500-2000,,,13.0,16.3,Trace of precipitation,12,,,,
12.03.2020 11:00,19.5,761.9,763.5,,77,Wind blowing from the east-northeast,3,,6,100%., ,,,17.6,20.1,,,1500-2000,,,15.0,15.3,No precipitation,6,,,,
12.03.2020 08:00,17.8,762.2,763.8,1.2,73,Wind blowing from the north-northeast,2,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,19.2,,,1500-2000,,,24.0,12.9,Trace of precipitation,12,,,,
12.03.2020 05:00,17.6,761.0,762.6,,69,Wind blowing from the east-northeast,2,,7,, ,,,15.7,19.2,,,,,,28.0,11.8,No precipitation,6,,,,
12.03.2020 02:00,17.9,762.1,763.6,-0.3,66,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,19.2,,,2500 or more  or no clouds.,,,30.0,11.4,No precipitation,12,,,,
11.03.2020 23:00,18.1,762.4,764.0,,68,Wind blowing from the east,2,,7,, ,,,,19.2,,,,,,30.0,12.1,No precipitation,6,,,,
11.03.2020 20:00,18.5,761.8,763.3,0.6,62,Wind blowing from the east,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,20.4,,,1500-2000,,,30.0,11.0,Trace of precipitation,12,,,,
11.03.2020 17:00,19.0,761.2,762.8,,66,Wind blowing from the east-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,24.5,,,1500-2000,,,30.0,12.5,No precipitation,6,,,,
11.03.2020 14:00,18.8,762.0,763.6,-2.2,65,Wind blowing from the east-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,,,,1500-2000,,,29.0,12.0,No precipitation,12,,,,
11.03.2020 11:00,18.3,764.2,765.8,,65,Wind blowing from the east,4,,6,100%., ,,,15.7,,,,1500-2000,,,30.0,11.6,No precipitation,6,,,,
11.03.2020 08:00,17.0,763.6,765.1,,66,Wind blowing from the east-northeast,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,25.9,,,1500-2000,,,30.0,10.6,No precipitation,12,,,,
11.03.2020 05:00,16.1,761.9,763.5,,62,Wind blowing from the north-east,2,,10,, ,,,16.1,25.9,,,,,,30.0,8.8,No precipitation,6,,,,
11.03.2020 02:00,16.8,762.3,763.9,-0.1,57,Wind blowing from the east-northeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,25.9,,,2500 or more  or no clouds.,,,30.0,8.2,No precipitation,12,,,,
10.03.2020 23:00,18.1,762.4,764.0,,55,Wind blowing from the north-east,2,,10,, ,,,18.1,25.9,,,,,,30.0,8.9,No precipitation,6,,,,
10.03.2020 20:00,20.4,760.7,762.3,,54,Wind blowing from the north-northeast,3,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,25.9,,,2500 or more  or no clouds.,,,30.0,10.7,No precipitation,12,,,,
10.03.2020 17:00,24.5,758.9,760.4,,49,Wind blowing from the north-northeast,3,,11,70 – 80%., ,,,20.4,25.9,,,2500 or more  or no clouds.,,,30.0,13.1,No precipitation,6,,,,
10.03.2020 14:00,25.7,758.7,760.2,,46,Wind blowing from the north-east,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,25.9,,,2000-2500,,,30.0,13.2,0.1,12,,,,
10.03.2020 11:00,23.2,759.9,761.4,,53,Wind blowing from the north-northeast,5,,12,, ,,,20.4,24.9,,,,,,30.0,13.1,0.1,6,,,,
10.03.2020 08:00,20.7,758.5,760.0,2.1,69,Wind blowing from the north,6,,12,70 – 80%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,20.4,24.9,,,600-1000,,,30.0,14.8,0.2,12,,,,
10.03.2020 05:00,21.4,756.4,757.9,,75,Wind blowing from the north-east,3,,12,, ,,,19.8,24.9,,,,,,30.0,16.7,0.1,6,,,,
10.03.2020 02:00,23.0,755.5,757.0,,99,Wind blowing from the south-southwest,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,24.9,,,2500 or more  or no clouds.,,,8.0,22.9,0.4,12,,,,
09.03.2020 20:00,22.7,755.2,756.7,1.1,99,Wind blowing from the west,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,24.9,,,600-1000,,,4.7,22.5,0.3,12,,,,
09.03.2020 17:00,23.2,754.1,755.6,,94,Wind blowing from the south-west,2,,6,, ,,,19.8,24.9,,,,,,15.0,22.1,No precipitation,6,,,,
09.03.2020 14:00,24.4,754.4,755.9,-2.3,85,Wind blowing from the south-west,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,24.7,,,600-1000,,,23.0,21.7,No precipitation,12,,,,
09.03.2020 11:00,22.1,756.7,758.2,,92,Wind blowing from the east-southeast,2,,,100%., ,,,19.8,24.7,,,1500-2000,,,7.0,20.7,No precipitation,6,,,,
09.03.2020 08:00,20.5,756.1,757.6,0.7,97,Wind blowing from the east,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1500-2000,,,6.0,20.0,No precipitation,12,,,,
09.03.2020 05:00,20.3,755.4,757.0,,97,Wind blowing from the east-northeast,2,,7,,Mist. ,,,19.1,,,,,,,7.0,19.8,No precipitation,6,,,,
09.03.2020 02:00,20.3,756.6,758.1,,93,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.1,24.7,,,2500 or more  or no clouds.,,,11.0,19.1,No precipitation,12,,,,
08.03.2020 23:00,20.6,756.9,758.4,,91,Wind blowing from the east,2,,8,, ,,,19.1,24.7,,,,,,22.0,19.0,No precipitation,6,,,,
08.03.2020 20:00,20.2,756.1,757.7,0.8,93,Wind blowing from the east-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.1,24.7,,,1500-2000,,,14.0,19.0,No precipitation,12,,,,
08.03.2020 17:00,21.6,755.3,756.9,,88,Wind blowing from the east-southeast,3,,8,100%., ,,,19.1,24.7,,,1000-1500,,,17.0,19.5,No precipitation,6,,,,
08.03.2020 14:00,23.1,756.4,757.9,-2.4,82,Wind blowing from the east,5,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.1,25.1,,,600-1000,,,30.0,19.8,No precipitation,12,,,,
08.03.2020 11:00,23.1,758.8,760.4,,82,Wind blowing from the south-east,1,,4,70 – 80%., ,,,19.1,25.1,,,600-1000,,,21.0,19.8,No precipitation,6,,,,
08.03.2020 08:00,19.6,758.4,760.0,,100,Wind blowing from the east-southeast,2,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,,,,1500-2000,,,3.1,19.6,No precipitation,12,,,,
08.03.2020 05:00,19.9,757.3,758.8,,100,Wind blowing from the north-east,1,,4,,Mist. ,,,17.6,25.1,,,,,,5.0,19.9,No precipitation,6,,,,
08.03.2020 02:00,19.9,757.9,759.4,-1.0,99,Wind blowing from the east-northeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,25.1,,,2500 or more  or no clouds.,,,5.0,19.7,No precipitation,12,,,,
07.03.2020 23:00,20.0,758.9,760.5,,97,Wind blowing from the north-east,1,,5,, ,,,17.2,25.1,,,,,,11.0,19.5,No precipitation,6,,,,
07.03.2020 20:00,21.4,757.9,759.5,0.6,89,Wind blowing from the west-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,25.1,,,2500 or more  or no clouds.,,,16.0,19.5,No precipitation,12,,,,
07.03.2020 17:00,23.1,757.3,758.8,,76,Wind blowing from the west-southwest,2,,5,70 – 80%., ,,,17.2,25.1,,,600-1000,,,25.0,18.6,No precipitation,6,,,,
07.03.2020 14:00,24.2,758.2,759.8,-2.8,73,Wind blowing from the west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.4,,,2500 or more  or no clouds.,,,23.0,19.0,No precipitation,12,,,,
07.03.2020 11:00,22.4,761.0,762.6,,75,Wind blowing from the north,1,,5,100%., ,,,17.2,22.4,,,1500-2000,,,21.0,17.7,No precipitation,6,,,,
07.03.2020 08:00,18.6,761.0,762.6,1.3,82,Wind blowing from the east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,1500-2000,,,15.0,15.4,No precipitation,12,,,,
07.03.2020 05:00,17.7,759.7,761.3,,87,Wind blowing from the east,1,,6,, ,,,15.0,21.5,,,,,,16.0,15.5,No precipitation,6,,,,
07.03.2020 02:00,17.2,760.4,762.0,,93,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,21.5,,,2500 or more  or no clouds.,,,14.0,16.0,No precipitation,12,,,,
06.03.2020 23:00,17.8,761.5,763.0,,87,Wind blowing from the east,2,,6,, ,,,15.0,21.5,,,,,,21.0,15.6,No precipitation,6,,,,
06.03.2020 20:00,18.0,761.6,763.2,1.5,83,Wind blowing from the east-southeast,3,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,21.5,,,1500-2000,,,22.0,15.0,No precipitation,12,,,,
06.03.2020 17:00,19.8,760.1,761.7,,71,Wind blowing from the east-southeast,3,,5,90  or more  but not 100%, ,,,15.0,21.5,,,1500-2000,,,30.0,14.3,No precipitation,6,,,,
06.03.2020 14:00,20.0,760.9,762.5,-2.4,61,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,20.3,,,1500-2000,,,30.0,12.2,No precipitation,12,,,,
06.03.2020 11:00,18.4,763.3,764.9,,66,Wind blowing from the east,3,,,90  or more  but not 100%, ,,,14.7,19.5,,,,,,30.0,11.9,No precipitation,6,,,,
06.03.2020 08:00,15.6,763.5,765.1,,79,Wind blowing from the east-northeast,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,19.5,,,2500 or more  or no clouds.,,,20.0,11.9,No precipitation,12,,,,
06.03.2020 05:00,15.2,762.8,764.4,,83,Wind blowing from the north-east,1,,5,, ,,,14.4,19.5,,,,,,21.0,12.3,No precipitation,6,,,,
06.03.2020 02:00,15.6,763.5,765.1,-0.7,80,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,19.5,,,2500 or more  or no clouds.,,,23.0,12.1,No precipitation,12,,,,
05.03.2020 23:00,16.3,764.2,765.7,,79,Wind blowing from the east-northeast,2,,6,, ,,,14.4,19.5,,,,,,24.0,12.6,No precipitation,6,,,,
05.03.2020 20:00,17.5,763.1,764.7,0.9,79,Wind blowing from the east,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,19.5,,,1500-2000,,,30.0,13.8,0.3,12,,,,
05.03.2020 17:00,18.7,762.2,763.8,,69,Wind blowing from the east-northeast,3,,6,100%., ,,,14.4,19.5,,,1500-2000,,,30.0,12.9,No precipitation,6,,,,
05.03.2020 14:00,18.0,763.2,764.8,-2.8,73,Wind blowing from the east-northeast,3,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,20.9,,,1500-2000,,,30.0,13.0,0.4,12,,,,
05.03.2020 11:00,14.7,766.0,767.5,,97,Wind blowing from the east-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,21.1,,,1500-2000,,,22.0,14.2,0.4,6,,,,
05.03.2020 08:00,14.7,765.1,766.7,2.1,100,Wind blowing from the north-east,2,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,21.1,,,1500-2000,,,23.0,14.7,0.5,12,,,,
05.03.2020 05:00,15.7,763.0,764.6,,91,Wind blowing from the east-northeast,2,,6,, ,,,15.7,21.1,,,,,,17.0,14.2,0.4,6,,,,
05.03.2020 02:00,16.4,762.8,764.4,,97,Wind blowing from the east,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,21.1,,,2500 or more  or no clouds.,,,12.0,15.9,0.4,12,,,,
04.03.2020 23:00,17.2,763.9,765.5,,82,Wind blowing from the east-northeast,2,,6,, ,,,17.2,21.1,,,,,,30.0,14.1,No precipitation,6,,,,
04.03.2020 20:00,18.3,763.2,764.8,1.4,78,Wind blowing from the north-northeast,3,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,21.1,,,1500-2000,,,30.0,14.4,0.4,12,,,,
04.03.2020 17:00,19.1,761.8,763.3,,89,Wind blowing from the east-southeast,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,21.1,,,,,,11.0,17.2,0.1,6,,,,
04.03.2020 14:00,20.9,761.3,762.9,-1.7,81,Wind blowing from the east-northeast,1,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,22.4,,,1500-2000,,,24.0,17.5,2.0,12,,,,
04.03.2020 11:00,18.7,763.0,764.6,,96,Wind blowing from the east,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,,,,1500-2000,,,5.0,18.0,1.0,6,,,,
04.03.2020 08:00,17.7,763.0,764.6,0.6,100,Wind blowing from the east,3,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,22.6,,,1500-2000,,,4.9,17.7,1.0,12,,,,
04.03.2020 05:00,18.5,762.4,763.9,,87,Wind blowing from the south-west,0,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.4,,,,,,,4.1,16.3,0.5,6,,,,
04.03.2020 02:00,19.0,761.6,763.2,-1.4,82,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,22.6,,,2500 or more  or no clouds.,,,23.0,15.8,No precipitation,12,,,,
03.03.2020 23:00,19.5,763.0,764.5,,76,Wind blowing from the north-west,1,,7,, ,,,17.3,22.6,,,,,,30.0,15.1,No precipitation,6,,,,
03.03.2020 20:00,19.4,762.1,763.6,,76,Wind blowing from the south-east,3,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,22.6,,,1500-2000,,,30.0,15.0,No precipitation,12,,,,
03.03.2020 17:00,20.0,760.9,762.4,,74,Wind blowing from the east,3,,6,100%., ,,,17.3,22.6,,,1500-2000,,,23.0,15.2,No precipitation,6,,,,
03.03.2020 14:00,22.2,761.2,762.8,-2.9,61,Wind blowing from the east-southeast,3,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,22.6,,,1500-2000,,,30.0,14.3,No precipitation,12,,,,
03.03.2020 11:00,20.3,764.1,765.7,,67,Wind blowing from the north-east,2,,5,100%., ,,,17.3,21.9,,,1500-2000,,,29.0,13.9,No precipitation,6,,,,
03.03.2020 08:00,17.9,763.7,765.3,1.1,76,Wind blowing from the east,3,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,,,,1500-2000,,,21.0,13.6,No precipitation,12,,,,
03.03.2020 05:00,17.4,762.6,764.2,,80,Wind blowing from the east-northeast,2,,8,, ,,,17.3,21.9,,,,,,21.0,13.9,No precipitation,6,,,,
03.03.2020 02:00,17.5,763.1,764.7,-0.9,78,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,21.9,,,2500 or more  or no clouds.,,,23.0,13.6,No precipitation,12,,,,
02.03.2020 23:00,17.9,764.0,765.6,,77,Wind blowing from the north-east,2,,9,, ,,,17.9,22.6,,,,,,24.0,13.8,No precipitation,6,,,,
02.03.2020 20:00,18.4,762.9,764.5,1.6,76,Wind blowing from the east,2,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,22.6,,,2500 or more  or no clouds.,,,23.0,14.1,No precipitation,12,,,,
02.03.2020 17:00,21.6,761.3,762.9,,60,Wind blowing from the east-northeast,4,,11,70 – 80%., ,,,20.0,23.1,,,600-1000,,,30.0,13.5,No precipitation,6,,,,
