Local time in Qinzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 14:00,23.7,757.4,761.8,-2.3,88,Wind blowing from the east-northeast,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.7,24.0,,,600-1000,,,14.0,21.6,0.3,12,,,,
17.03.2020 11:00,22.8,759.7,764.1,,95,Wind blowing from the east-southeast,2,,8,90  or more  but not 100%, ,,,18.3,22.8,,,600-1000,,,10.0,22.0,No precipitation,6,,,,
17.03.2020 08:00,21.2,758.8,763.2,,99,Wind blowing from the south-east,2,,9,90  or more  but not 100%,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,21.2,,,600-1000,,,4.4,21.0,0.9,12,,,,
17.03.2020 05:00,20.8,757.3,761.8,,99,Wind blowing from the south-east,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,,21.2,,,,,,2.9,20.6,0.3,6,,,,
17.03.2020 02:00,20.8,757.9,762.3,-0.6,99,Wind blowing from the east,2,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,21.2,,,2500 or more  or no clouds.,,,3.7,20.6,4.0,12,,,,
16.03.2020 23:00,20.8,758.5,763.0,,99,Wind blowing from the south-east,4,,9,,Rain (not freezing) not falling as shower(s). ,,,16.9,21.2,,,,,,3.1,20.6,2.0,6,,,,
16.03.2020 20:00,21.0,757.6,762.1,1.0,99,Wind blowing from the east-southeast,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,16.9,21.2,,,300-600,,,2.5,20.8,6.0,12,,,,
16.03.2020 17:00,20.9,756.6,761.1,,99,Wind blowing from the east-southeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,16.9,20.9,,,300-600,,,2.5,20.7,4.0,6,,,,
16.03.2020 14:00,19.8,757.4,761.9,-2.0,99,Wind blowing from the north-west,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,16.9,21.4,,,300-600,,,1.5,19.6,5.0,12,,,,
16.03.2020 11:00,18.3,759.4,763.9,,99,Wind blowing from the north-east,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,16.9,,,,300-600,,,1.3,18.1,0.9,6,,,,
16.03.2020 08:00,17.1,758.5,763.0,1.2,99,Wind blowing from the north-northeast,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,16.9,,,,300-600,,,1.3,16.9,3.0,12,,,,
16.03.2020 05:00,17.2,757.3,761.8,,99,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.2,21.9,,,,,,1.1,17.0,3.0,6,,,,
16.03.2020 02:00,17.4,757.8,762.3,-1.3,99,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.4,21.9,,,2500 or more  or no clouds.,,,1.2,17.2,1.0,12,,,,
15.03.2020 23:00,17.9,759.1,763.6,,99,Wind blowing from the north-northeast,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.9,21.9,,,,,,1.3,17.7,0.1,6,,,,
15.03.2020 20:00,18.8,758.2,762.7,0.8,88,Wind blowing from the north,2,,5,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,21.9,,,1500-2000,,,5.0,16.8,Trace of precipitation,12,,,,
15.03.2020 17:00,20.3,757.4,761.9,,76,Wind blowing from the north-northeast,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,23.0,,,1500-2000,,,7.0,15.9,No precipitation,6,,,,
15.03.2020 14:00,21.4,758.5,762.9,-2.5,68,Wind blowing from the west-northwest,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,23.6,,,1500-2000,,,10.0,15.3,No precipitation,12,,,,
15.03.2020 11:00,20.9,761.0,765.5,,64,Calm  no wind,0,,,90  or more  but not 100%, ,,,18.8,23.6,,,1500-2000,,,11.0,13.8,No precipitation,6,,,,
15.03.2020 08:00,18.9,760.3,764.8,1.0,71,Wind blowing from the north-northwest,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,23.6,,,1500-2000,,,8.0,13.5,Trace of precipitation,12,,,,
15.03.2020 05:00,18.9,759.3,763.7,,70,Wind blowing from the north,2,,6,, ,,,17.8,23.6,,,,,,9.0,13.3,No precipitation,6,,,,
15.03.2020 02:00,19.7,760.0,764.5,-0.5,65,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,23.6,,,2500 or more  or no clouds.,,,10.0,12.9,No precipitation,12,,,,
14.03.2020 23:00,20.4,760.5,765.0,,62,Wind blowing from the north,3,,12,, ,,,17.8,23.6,,,,,,11.0,12.9,No precipitation,6,,,,
14.03.2020 20:00,21.3,758.8,763.3,1.2,60,Wind blowing from the north,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,23.6,,,1500-2000,,,11.0,13.2,No precipitation,12,,,,
14.03.2020 17:00,22.9,757.6,762.1,,56,Wind blowing from the north,3,,12,90  or more  but not 100%, ,,,17.8,27.8,,,1500-2000,,,20.0,13.7,No precipitation,6,,,,
14.03.2020 14:00,22.3,758.8,763.3,-2.2,56,Wind blowing from the north-northwest,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,28.6,,,2500 or more  or no clouds.,,,21.0,13.1,No precipitation,12,,,,
14.03.2020 11:00,20.5,761.0,765.5,,59,Wind blowing from the north,5,,12,90  or more  but not 100%, ,,,17.8,,,,600-1000,,,18.0,12.2,No precipitation,6,,,,
14.03.2020 08:00,17.9,760.1,764.6,1.6,70,Wind blowing from the north,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,28.6,,,1500-2000,,,22.0,12.4,No precipitation,12,,,,
14.03.2020 05:00,18.6,758.5,762.9,,70,Wind blowing from the north,5,,11,, ,,,18.6,28.6,,,,,,23.0,13.0,No precipitation,6,,,,
14.03.2020 02:00,19.5,758.7,763.1,,73,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.5,28.6,,,2500 or more  or no clouds.,,,22.0,14.5,No precipitation,12,,,,
13.03.2020 23:00,20.3,758.6,763.0,,79,Wind blowing from the north,4,,9,, ,,,20.3,28.6,,,,,,29.0,16.5,No precipitation,6,,,,
13.03.2020 20:00,22.2,756.8,761.2,,90,Wind blowing from the north-northeast,4,,7,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,28.6,,,600-1000,,,7.0,20.5,No precipitation,12,,,,
13.03.2020 17:00,27.8,754.6,759.0,,80,Wind blowing from the north-northeast,2,,3,90  or more  but not 100%, ,,,22.0,28.6,,,600-1000,,,22.0,24.0,No precipitation,6,,,,
13.03.2020 14:00,27.7,755.5,759.9,,77,Wind blowing from the north-northeast,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,27.7,,,600-1000,,,25.0,23.3,No precipitation,12,,,,
13.03.2020 11:00,27.0,757.2,761.6,,82,Wind blowing from the south-southeast,1,,7,90  or more  but not 100%, ,,,20.1,27.0,,,600-1000,,,29.0,23.7,No precipitation,6,,,,
13.03.2020 08:00,22.5,756.0,760.4,,99,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,11.0,22.3,No precipitation,12,,,,
13.03.2020 05:00,22.4,754.2,758.6,,99,Wind blowing from the south,2,,8,, ,,,,,,,,,,14.0,22.2,No precipitation,6,,,,
13.03.2020 02:00,22.7,754.5,758.9,-0.3,99,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.9,,,2500 or more  or no clouds.,,,9.0,22.5,No precipitation,12,,,,
12.03.2020 23:00,22.4,754.8,759.2,,99,Wind blowing from the south,3,,8,,Mist. ,,,16.9,23.9,,,,,,6.0,22.2,No precipitation,6,,,,
12.03.2020 20:00,22.1,753.6,758.0,0.6,99,Wind blowing from the south,3,,8,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,23.9,,,600-1000,,,3.9,21.9,1.0,12,,,,
12.03.2020 17:00,22.7,753.0,757.4,,99,Wind blowing from the south,4,,8,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.9,23.9,,,600-1000,,,6.0,22.5,No precipitation,6,,,,
12.03.2020 14:00,23.5,754.2,758.6,-2.2,100,Wind blowing from the south,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Fog or ice fog or thick haze.,16.9,23.9,,,600-1000,,,8.0,23.5,3.0,12,,,,
12.03.2020 11:00,20.0,756.4,760.9,,99,Wind blowing from the south-east,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Fog or ice fog or thick haze.,16.9,20.5,,,300-600,,,1.4,19.8,2.0,6,,,,
12.03.2020 08:00,17.9,755.9,760.4,0.9,99,Wind blowing from the north-west,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,16.9,,,,300-600,,,0.5,17.7,1.0,12,,,,
12.03.2020 05:00,17.4,755.0,759.5,,99,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.9,20.5,,,,,,0.5,17.2,0.5,6,,,,
12.03.2020 02:00,17.0,756.1,760.6,-0.5,99,Wind blowing from the north,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,20.5,,,2500 or more  or no clouds.,,,0.7,16.8,No precipitation,12,,,,
11.03.2020 23:00,17.4,756.6,761.1,,99,Wind blowing from the west-northwest,1,,6,,Mist. ,,,17.4,20.5,,,,,,1.7,17.2,No precipitation,6,,,,
11.03.2020 20:00,17.6,755.8,760.3,0.2,97,Wind blowing from the north,1,,6,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.6,,,600-1000,,,4.2,17.1,Trace of precipitation,12,,,,
11.03.2020 17:00,19.0,755.6,760.1,,77,Wind blowing from the east-southeast,2,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,22.6,,,600-1000,,,9.0,14.9,No precipitation,6,,,,
11.03.2020 14:00,20.2,757.3,761.8,-2.0,67,Wind blowing from the east-southeast,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,23.5,,,600-1000,,,17.0,13.9,Trace of precipitation,12,,,,
11.03.2020 11:00,19.6,759.3,763.8,,63,Wind blowing from the north,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,,,,600-1000,,,22.0,12.4,No precipitation,6,,,,
11.03.2020 08:00,18.4,758.7,763.2,,62,Calm  no wind,0,,,100%., ,,,18.2,23.5,,,1500-2000,,,26.0,11.0,No precipitation,6,,,,
11.03.2020 05:00,18.2,757.3,761.7,,61,Calm  no wind,0,,,, ,,,18.1,23.5,,,,,,27.0,10.6,No precipitation,6,,,,
11.03.2020 02:00,19.2,757.9,762.3,-0.2,57,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,23.5,,,2500 or more  or no clouds.,,,30.0,10.5,No precipitation,12,,,,
10.03.2020 23:00,19.9,758.1,762.5,,54,Wind blowing from the north-northwest,3,,,, ,,,18.1,23.6,,,,,,25.0,10.3,No precipitation,6,,,,
10.03.2020 20:00,20.6,757.0,761.5,0.9,51,Wind blowing from the north,4,,17,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,24.5,,,600-1000,,,25.0,10.1,No precipitation,12,,,,
10.03.2020 17:00,22.5,756.1,760.6,,49,Calm  no wind,0,,,no clouds, ,,,18.1,29.3,,,,,,30.0,11.3,No precipitation,6,,,,
10.03.2020 14:00,22.6,757.5,761.9,-1.7,48,Wind blowing from the north,6,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,,,,600-1000,,,29.0,11.0,No precipitation,12,,,,
10.03.2020 11:00,20.7,759.2,763.6,,54,Calm  no wind,0,,,70 – 80%., ,,,18.1,,,,2500 or more  or no clouds.,,,30.0,11.1,No precipitation,6,,,,
10.03.2020 08:00,18.3,757.1,761.5,2.8,66,Wind blowing from the north,5,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,30.3,,,2500 or more  or no clouds.,,,30.0,11.8,No precipitation,12,,,,
10.03.2020 05:00,19.0,754.3,758.6,,68,Wind blowing from the north,7,,11,, ,,,19.0,30.3,,,,,,30.0,13.0,No precipitation,6,,,,
10.03.2020 02:00,20.7,753.7,758.0,,65,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,30.3,,,2500 or more  or no clouds.,,,30.0,13.9,No precipitation,12,,,,
09.03.2020 20:00,24.5,750.1,754.5,1.8,96,Wind blowing from the south-southwest,2,,8,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,30.3,,,,,,5.0,23.8,No precipitation,12,,,,
09.03.2020 17:00,29.4,748.3,752.7,,71,Wind blowing from the south,3,,8,no clouds, ,,,22.3,30.3,,,,,,13.0,23.6,No precipitation,6,,,,
09.03.2020 14:00,28.7,749.2,753.5,-1.7,71,Wind blowing from the south,2,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,29.5,,,600-1000,,,12.0,22.9,No precipitation,12,,,,
09.03.2020 11:00,25.8,750.9,755.2,,85,Wind blowing from the south-southwest,5,,8,90  or more  but not 100%, ,,,22.3,27.7,,,600-1000,,,11.0,23.1,No precipitation,6,,,,
09.03.2020 08:00,22.9,749.9,754.3,1.6,99,Wind blowing from the south-east,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.3,,,,600-1000,,,7.0,22.7,No precipitation,12,,,,
09.03.2020 05:00,22.8,748.3,752.7,,99,Wind blowing from the south-southeast,4,,10,,Mist. ,,,21.2,27.7,,,,,,7.0,22.6,No precipitation,6,,,,
09.03.2020 02:00,23.0,749.1,753.4,-0.5,99,Wind blowing from the south-southeast,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,27.7,,,2500 or more  or no clouds.,,,8.0,22.8,No precipitation,12,,,,
08.03.2020 23:00,22.4,749.6,754.0,,99,Wind blowing from the south,3,,14,, ,,,21.1,27.7,,,,,,8.0,22.2,No precipitation,6,,,,
08.03.2020 20:00,22.7,748.1,752.5,0.7,99,Wind blowing from the south,5,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,27.7,,,600-1000,,,9.0,22.5,No precipitation,12,,,,
08.03.2020 17:00,25.1,747.4,751.7,,89,Wind blowing from the south,8,,14,90  or more  but not 100%, ,,,21.0,27.7,,,600-1000,,,24.0,23.2,No precipitation,6,,,,
08.03.2020 14:00,26.3,749.4,753.7,-3.1,82,Wind blowing from the south,9,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,27.7,,,600-1000,,,30.0,23.0,No precipitation,12,,,,
08.03.2020 11:00,24.1,752.5,756.9,,93,Wind blowing from the south,4,,,90  or more  but not 100%, ,,,21.0,24.6,,,600-1000,,,17.0,22.9,No precipitation,6,,,,
08.03.2020 08:00,22.6,751.9,756.4,,98,Wind blowing from the south,5,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.7,24.6,,,600-1000,,,21.0,22.3,Trace of precipitation,12,,,,
08.03.2020 05:00,21.6,751.2,755.6,,99,Wind blowing from the south,3,,11,,Mist. ,,,19.6,24.6,,,,,,4.8,21.4,No precipitation,6,,,,
08.03.2020 02:00,21.3,752.0,756.4,-1.4,99,Wind blowing from the south-west,2,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,24.6,,,2500 or more  or no clouds.,,,4.0,21.1,No precipitation,12,,,,
07.03.2020 23:00,21.2,753.4,757.9,,99,Wind blowing from the south,3,,11,,Mist. ,,,18.9,24.6,,,,,,5.0,21.0,No precipitation,6,,,,
07.03.2020 20:00,21.5,752.5,756.9,0.6,99,Wind blowing from the south,4,,11,90  or more  but not 100%,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,24.6,,,600-1000,,,5.0,21.3,Trace of precipitation,12,,,,
07.03.2020 17:00,22.6,751.9,756.4,,95,Wind blowing from the south,6,,,90  or more  but not 100%, ,,,18.0,24.6,,,600-1000,,,12.0,21.8,No precipitation,6,,,,
07.03.2020 14:00,24.4,753.6,758.0,-2.4,84,Wind blowing from the south,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.8,24.6,,,600-1000,,,28.0,21.5,No precipitation,12,,,,
07.03.2020 11:00,22.9,756.0,760.4,,91,Wind blowing from the south,4,,6,90  or more  but not 100%, ,,,15.8,22.9,,,600-1000,,,30.0,21.4,No precipitation,6,,,,
07.03.2020 08:00,19.7,755.8,760.3,1.5,99,Wind blowing from the south,3,,5,100%.,Mist. ,Rain.,Fog or ice fog or thick haze.,,20.0,,,600-1000,,,5.0,19.5,0.2,12,,,,
07.03.2020 05:00,19.9,754.3,758.7,,99,Wind blowing from the south-southwest,2,,5,,Fog or ice fog. ,,,,20.0,,,,,,1.5,19.7,No precipitation,6,,,,
07.03.2020 02:00,19.4,755.1,759.6,-0.7,99,Wind blowing from the south-southwest,1,,5,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,19.4,,,2500 or more  or no clouds.,,,0.2,19.2,0.6,12,,,,
06.03.2020 23:00,18.9,755.8,760.3,,99,Wind blowing from the south-southwest,3,,4,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,13.2,18.9,,,,,,0.2,18.7,0.4,6,,,,
06.03.2020 20:00,18.1,755.1,759.6,0.2,99,Wind blowing from the south-southeast,1,,4,100%.,Fog or ice fog  sky visible  no appreciable change during the preceding hour. ,Rain.,Fog or ice fog or thick haze.,13.1,18.4,,,300-600,,,0.3,17.9,0.9,12,,,,
06.03.2020 17:00,18.3,754.9,759.4,,99,Wind blowing from the south-southwest,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,18.4,,,300-600,,,1.8,18.1,0.5,6,,,,
06.03.2020 14:00,16.8,756.4,760.9,-2.3,99,Wind blowing from the west-northwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,17.1,,,300-600,,,2.1,16.6,2.0,12,,,,
06.03.2020 11:00,16.1,758.7,763.3,,99,Wind blowing from the north-northwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,16.1,,,300-600,,,2.5,15.9,0.6,6,,,,
06.03.2020 08:00,14.0,758.2,762.7,,99,Wind blowing from the north,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,14.0,,,300-600,,,8.0,13.8,2.0,12,,,,
06.03.2020 05:00,13.7,757.5,762.1,,99,Wind blowing from the north,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,,13.7,,,,,,3.1,13.5,1.0,6,,,,
06.03.2020 02:00,13.4,758.6,763.2,-0.8,99,Wind blowing from the north-northwest,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.4,,,2500 or more  or no clouds.,,,2.0,13.2,1.0,12,,,,
05.03.2020 23:00,13.3,759.4,764.0,,99,Wind blowing from the north,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.6,13.3,,,,,,3.5,13.1,0.4,6,,,,
05.03.2020 20:00,13.1,758.9,763.5,0.6,99,Wind blowing from the north,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.1,,,300-600,,,7.0,12.9,0.6,12,,,,
05.03.2020 17:00,12.9,758.3,762.9,,99,Wind blowing from the north,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,12.9,,,300-600,,,3.7,12.7,0.3,6,,,,
05.03.2020 14:00,12.8,759.9,764.5,-2.4,94,Wind blowing from the north,5,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.0,,,600-1000,,,20.0,11.9,0.2,12,,,,
05.03.2020 11:00,12.0,762.3,766.9,,97,Wind blowing from the north,5,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.0,,,600-1000,,,14.0,11.5,0.2,6,,,,
05.03.2020 08:00,11.6,761.6,766.3,1.1,97,Wind blowing from the north-northwest,5,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,13.0,,,1500-2000,,,13.0,11.1,0.3,12,,,,
05.03.2020 05:00,12.4,760.5,765.1,,87,Wind blowing from the north-northwest,5,,9,, ,,,12.1,,,,,,,29.0,10.3,0.1,6,,,,
05.03.2020 02:00,12.4,761.0,765.6,-0.8,88,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,,,,2500 or more  or no clouds.,,,30.0,10.5,7.0,12,,,,
04.03.2020 23:00,12.5,761.8,766.3,,92,Wind blowing from the north,5,,9,,Rain (not freezing) not falling as shower(s). ,,,12.1,,,,,,,30.0,11.2,2.0,6,,,,
04.03.2020 20:00,12.3,760.4,765.0,1.0,99,Wind blowing from the north,5,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,12.1,,,,300-600,,,13.0,12.1,32.0,12,,,,
04.03.2020 17:00,12.2,759.4,764.0,,99,Wind blowing from the north-northwest,5,,12,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,12.2,,,,300-600,,,3.8,12.0,13.0,6,,,,
04.03.2020 14:00,12.9,760.1,764.7,,99,Wind blowing from the north-northeast,4,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,,,,300-600,,,6.0,12.7,32.0,12,,,,
04.03.2020 11:00,12.3,762.1,766.7,,99,Wind blowing from the north,5,,12,100%.,Rain  not freezing  intermittent  heavy at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,24.7,,,300-600,,,2.9,12.1,19.0,6,,,,
04.03.2020 08:00,12.6,760.0,764.5,1.8,98,Wind blowing from the north,6,,10,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,24.7,,,600-1000,,,30.0,12.3,8.0,12,,,,
04.03.2020 05:00,13.9,758.2,762.7,,99,Wind blowing from the north,6,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.9,24.7,,,,,,24.0,13.7,6.0,6,,,,
04.03.2020 02:00,15.9,758.1,762.6,-0.6,99,Wind blowing from the north,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,24.7,,,2500 or more  or no clouds.,,,18.0,15.7,1.0,12,,,,
03.03.2020 23:00,18.2,758.7,763.2,,92,Wind blowing from the north-east,4,,9,, ,,,18.2,24.7,,,,,,27.0,16.9,No precipitation,6,,,,
03.03.2020 20:00,22.8,756.5,760.9,0.9,93,Wind blowing from the east,3,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,24.7,,,600-1000,,,14.0,21.6,Trace of precipitation,12,,,,
03.03.2020 17:00,24.3,755.6,760.0,,84,Wind blowing from the south-east,2,,8,90  or more  but not 100%, ,,,21.0,24.7,,,600-1000,,,29.0,21.4,No precipitation,6,,,,
