Local time in Kuandian,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
25.03.2020 20:00,7.5,739.9,763.8,0.3,46,Wind blowing from the west,1,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,13.3,,,1000-1500,,,4.7,-3.4,No precipitation,12,,,,
25.03.2020 17:00,11.4,739.6,763.5,,27,Wind blowing from the west,2,,10,100%., ,,,0.3,14.7,,,1000-1500,,,4.8,-6.9,No precipitation,6,,,,
25.03.2020 14:00,11.6,740.4,764.4,-0.6,27,Wind blowing from the west,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.9,,,1000-1500,,,20.0,-6.8,No precipitation,12,,,,
25.03.2020 11:00,12.1,741.0,764.9,,24,Wind blowing from the west-southwest,5,,10,100%., ,,,0.3,15.9,,,1000-1500,,,7.0,-7.9,No precipitation,6,,,,
25.03.2020 08:00,8.3,741.1,764.9,0.3,36,Wind blowing from the south-southwest,1,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,15.9,,,,,,6.0,-5.9,No precipitation,12,,,,
25.03.2020 05:00,2.1,740.8,764.5,,67,Wind blowing from the north,1,,5,,Haze. ,,,-3.2,15.9,,,,,,6.0,-3.4,No precipitation,6,,,,
25.03.2020 02:00,1.1,740.8,764.7,,70,Wind blowing from the north,1,,6,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,15.9,,,2500 or more  or no clouds.,,,5.0,-3.9,No precipitation,12,,,,
24.03.2020 20:00,8.5,740.8,764.8,,38,Wind blowing from the north-west,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,15.9,,,,,,13.0,-5.0,No precipitation,12,,,,
24.03.2020 14:00,14.9,740.7,764.6,-1.6,18,Wind blowing from the west-northwest,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,14.9,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
24.03.2020 11:00,12.5,742.3,766.3,,21,Wind blowing from the south-east,1,,5,no clouds, ,,,-3.2,13.4,,,,,,30.0,-9.2,No precipitation,6,,,,
24.03.2020 08:00,4.0,743.3,767.5,,58,Wind blowing from the south-east,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,13.4,,,,,,5.0,-3.5,No precipitation,12,,,,
24.03.2020 05:00,-3.1,742.5,766.7,,85,Wind blowing from the south-southeast,1,,6,,Mist. ,,,-3.2,13.4,,,,,,5.0,-5.3,No precipitation,6,,,,
24.03.2020 02:00,-1.7,742.3,766.3,,79,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,13.4,,,2500 or more  or no clouds.,,,9.0,-4.9,No precipitation,12,,,,
23.03.2020 20:00,6.1,741.1,765.3,1.2,41,Wind blowing from the north-northeast,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,13.4,,,,,,7.0,-6.2,No precipitation,12,,,,
23.03.2020 17:00,12.1,739.9,763.9,,25,Wind blowing from the north,3,,,no clouds, ,,,,,,,,,,20.0,-7.3,,,,,,
23.03.2020 14:00,13.0,739.9,763.8,-1.1,25,Wind blowing from the north-northwest,5,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,13.4,,,600-1000,,,30.0,-6.6,No precipitation,12,,,,
23.03.2020 11:00,10.9,741.0,765.0,,33,Wind blowing from the north,3,,6,20–30%., ,,,-2.6,13.1,,,600-1000,,,30.0,-4.7,No precipitation,6,,,,
23.03.2020 08:00,2.7,740.8,765.1,,66,Wind blowing from the north-west,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,13.1,,,,,,3.0,-3.0,No precipitation,12,,,,
23.03.2020 05:00,-2.4,739.3,763.4,,83,Wind blowing from the south-east,0,,5,,Mist. ,,,-5.7,13.1,,,,,,7.0,-4.9,No precipitation,6,,,,
23.03.2020 02:00,-0.5,738.6,762.6,,78,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,13.1,,,2500 or more  or no clouds.,,,9.0,-3.9,No precipitation,12,,,,
22.03.2020 20:00,3.9,738.2,762.4,1.4,50,Wind blowing from the south,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,13.1,,,,,,7.0,-5.8,No precipitation,12,,,,
22.03.2020 17:00,11.7,736.8,760.9,,21,Wind blowing from the north-northwest,4,,9,40%., ,,,-5.7,13.1,,,1000-1500,,,23.0,-9.9,No precipitation,6,,,,
22.03.2020 14:00,11.5,737.3,761.4,-2.0,23,Wind blowing from the east,2,,9,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,12.1,,,1000-1500,,,30.0,-8.9,No precipitation,12,,,,
22.03.2020 11:00,9.5,739.3,763.5,,28,Wind blowing from the north,4,,7,no clouds, ,,,-5.7,9.5,,,,,,30.0,-8.1,No precipitation,6,,,,
22.03.2020 08:00,0.5,739.9,764.4,0.6,72,Wind blowing from the south,1,,1,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,7.7,,,,,,2.8,-4.1,No precipitation,12,,,,
22.03.2020 05:00,-5.4,739.3,763.8,,90,Wind blowing from the east-northeast,1,,2,,Mist. ,,,-5.5,7.7,,,,,,3.3,-6.8,No precipitation,6,,,,
22.03.2020 02:00,-4.3,738.6,763.1,,90,Wind blowing from the south-west,0,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,7.7,,,2500 or more  or no clouds.,,,5.0,-5.7,0.2,12,,,,
21.03.2020 20:00,-0.7,737.5,761.9,,80,Wind blowing from the south-east,1,,10,no clouds,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,7.7,,,,,,6.0,-3.7,0.2,12,,,,
21.03.2020 17:00,4.2,736.1,760.4,,57,Wind blowing from the south,1,,10,20–30%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,8.5,,,2500 or more  or no clouds.,,,30.0,-3.6,0.2,6,,,,
21.03.2020 14:00,2.7,737.8,762.1,0.5,66,Wind blowing from the north-northeast,4,,10,100%.,Rain or drizzle and snow  slight. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,10.4,,,1000-1500,,,5.0,-3.0,Trace of precipitation,12,,,,
21.03.2020 11:00,7.5,737.3,761.4,,23,Wind blowing from the north-west,4,,6,100%., ,,,-3.3,10.4,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,6,,,,
21.03.2020 08:00,1.0,736.8,761.1,0.9,88,Wind blowing from the east-southeast,1,,3,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.3,10.4,,,2500 or more  or no clouds.,,,3.3,-0.8,No precipitation,12,,,,
21.03.2020 05:00,-2.8,735.9,760.0,,91,Wind blowing from the north-west,1,,7,,Mist. ,,,-4.8,10.4,,,,,,2.3,-4.1,No precipitation,6,,,,
21.03.2020 02:00,-1.1,735.4,759.4,,88,Wind blowing from the north-west,1,,12,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,10.4,,,2500 or more  or no clouds.,,,6.0,-2.8,No precipitation,12,,,,
20.03.2020 20:00,2.0,733.5,757.6,,72,Wind blowing from the east-southeast,1,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,10.4,,,2500 or more  or no clouds.,,,7.0,-2.5,No precipitation,12,,,,
20.03.2020 17:00,8.4,731.6,755.7,,42,Wind blowing from the south-southwest,3,,12,60%., ,,,-4.8,10.4,,,2500 or more  or no clouds.,,,11.0,-3.8,No precipitation,6,,,,
20.03.2020 14:00,9.8,732.0,756.0,-1.9,23,Wind blowing from the west-southwest,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,10.2,,,2500 or more  or no clouds.,,,4.5,-10.3,No precipitation,12,,,,
20.03.2020 11:00,7.6,733.9,758.0,,39,Wind blowing from the south,2,,5,90  or more  but not 100%, ,,,-4.8,8.0,,,2500 or more  or no clouds.,,,30.0,-5.5,No precipitation,6,,,,
20.03.2020 08:00,1.3,735.1,759.3,-0.4,89,Wind blowing from the north,0,,4,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,6.7,,,1000-1500,,,3.8,-0.3,No precipitation,12,,,,
20.03.2020 05:00,-4.6,735.5,759.9,,91,Wind blowing from the south-southwest,0,,11,,Mist. ,,,-4.6,6.7,,,,,,4.3,-5.8,No precipitation,6,,,,
20.03.2020 02:00,-3.5,735.2,759.5,,91,Wind blowing from the west-northwest,1,,12,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,6.7,,,2500 or more  or no clouds.,,,7.0,-4.8,0.2,12,,,,
19.03.2020 20:00,1.4,733.6,757.9,,74,Wind blowing from the north-northwest,3,,13,no clouds,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,0.6,8.8,,,,,,28.0,-2.7,0.2,6,,,,
19.03.2020 17:00,4.0,730.9,754.8,,63,Wind blowing from the north-west,3,,13,,Rain and snow or ice pellets not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,11.2,,,,,,23.0,-2.4,0.1,6,,,,
19.03.2020 14:00,5.4,728.9,752.6,,42,Wind blowing from the north,5,,13,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,14.0,,,1000-1500,,,25.0,-6.5,1.0,12,,,,
19.03.2020 11:00,5.6,728.2,751.7,,43,Wind blowing from the north,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,14.0,,,600-1000,,,30.0,-6.0,0.7,6,,,,
19.03.2020 08:00,1.2,726.7,750.4,,73,Wind blowing from the west-northwest,2,,11,100%.,Rain and snow or ice pellets not falling as shower(s). ,Rain and snow or other types of solid precipitation,Rain.,0.6,14.0,,,1000-1500,,,20.0,-3.1,1.0,12,,,,
19.03.2020 05:00,2.1,725.8,749.3,,77,Wind blowing from the north,5,,11,,Rain or drizzle and snow  slight. ,,,-3.7,14.0,,,,,,21.0,-1.5,0.4,6,,,,
19.03.2020 02:00,5.5,725.6,748.9,,71,Wind blowing from the east-southeast,1,,16,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,14.0,,,2500 or more  or no clouds.,,,6.0,0.5,No precipitation,12,,,,
18.03.2020 20:00,8.7,729.4,753.0,-0.6,44,Wind blowing from the south,1,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,14.0,,,,,,18.0,-2.9,No precipitation,12,,,,
18.03.2020 17:00,11.1,730.0,753.9,,30,Wind blowing from the west-southwest,3,,16,no clouds, ,,,-3.7,14.0,,,,,,14.0,-5.8,No precipitation,6,,,,
18.03.2020 14:00,13.4,730.7,754.5,-2.3,31,Wind blowing from the south-west,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,13.4,,,,,,15.0,-3.4,No precipitation,12,,,,
18.03.2020 11:00,12.0,733.0,756.7,,34,Wind blowing from the west-southwest,6,,11,no clouds, ,,,-3.7,12.0,,,,,,14.0,-3.4,No precipitation,6,,,,
18.03.2020 08:00,3.7,734.8,758.9,-0.6,71,Wind blowing from the east-southeast,1,,2,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,11.2,,,,,,4.3,-1.1,No precipitation,12,,,,
18.03.2020 05:00,-3.5,735.4,759.4,,88,Wind blowing from the south-east,1,,4,,Mist. ,,,-3.6,11.2,,,,,,7.0,-5.2,No precipitation,6,,,,
18.03.2020 02:00,-2.8,736.1,760.1,,84,Wind blowing from the south-east,1,,14,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,11.2,,,2500 or more  or no clouds.,,,6.0,-5.1,No precipitation,12,,,,
17.03.2020 20:00,2.4,736.5,760.8,1.6,59,Wind blowing from the east-southeast,1,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,11.2,,,,,,9.0,-5.0,No precipitation,12,,,,
17.03.2020 17:00,10.3,734.9,758.8,,28,Wind blowing from the north-west,2,,14,70 – 80%., ,,,-1.2,11.2,,,1000-1500,,,13.0,-7.4,No precipitation,6,,,,
17.03.2020 14:00,10.8,734.3,758.2,-1.7,35,Wind blowing from the west-northwest,5,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,10.8,,,1000-1500,,,30.0,-4.0,No precipitation,12,,,,
17.03.2020 11:00,4.9,736.0,760.2,,60,Wind blowing from the west,3,,5,no clouds, ,,,-1.2,4.9,,,,,,15.0,-2.2,No precipitation,6,,,,
17.03.2020 08:00,0.3,736.8,761.2,,74,Wind blowing from the west-northwest,1,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,,,,1000-1500,,,11.0,-3.8,No precipitation,12,,,,
17.03.2020 05:00,-0.5,736.3,760.6,,74,Wind blowing from the south-southwest,1,,7,, ,,,,4.7,,,,,,25.0,-4.6,No precipitation,6,,,,
17.03.2020 02:00,-0.5,737.8,762.0,,72,Wind blowing from the south-west,0,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,4.7,,,2500 or more  or no clouds.,,,23.0,-4.9,No precipitation,12,,,,
16.03.2020 20:00,-1.0,739.8,764.5,,66,Wind blowing from the west-southwest,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,4.7,,,1000-1500,,,30.0,-6.7,No precipitation,12,,,,
16.03.2020 17:00,2.7,738.8,763.6,,31,Wind blowing from the west-southwest,3,,9,70 – 80%., ,,,-9.1,4.7,,,2500 or more  or no clouds.,,,16.0,-12.7,No precipitation,6,,,,
16.03.2020 14:00,4.5,739.5,764.1,-2.0,32,Wind blowing from the south-west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,4.7,,,,,,30.0,-10.8,No precipitation,12,,,,
16.03.2020 11:00,1.1,741.5,766.3,,33,Wind blowing from the west,3,,7,no clouds, ,,,-9.1,1.6,,,,,,30.0,-13.4,No precipitation,6,,,,
16.03.2020 08:00,-3.7,743.0,767.9,,47,Wind blowing from the south-southwest,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,1.3,,,,,,21.0,-13.6,No precipitation,12,,,,
16.03.2020 05:00,-8.7,743.3,768.4,,75,Wind blowing from the west-northwest,2,,9,, ,,,-8.9,1.3,,,,,,17.0,-12.3,No precipitation,6,,,,
16.03.2020 02:00,-7.0,744.3,769.3,,60,Wind blowing from the south-west,1,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,1.5,,,2500 or more  or no clouds.,,,24.0,-13.5,No precipitation,12,,,,
15.03.2020 20:00,-3.1,742.3,767.1,2.4,32,Wind blowing from the east-northeast,2,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,2.0,,,,,,22.0,-17.5,Trace of precipitation,12,,,,
15.03.2020 17:00,-1.8,739.9,764.5,,39,Wind blowing from the north-northeast,5,,18,20–30%., ,,,-2.4,,,,600-1000,,,30.0,-14.2,No precipitation,6,,,,
15.03.2020 14:00,-1.5,737.5,761.9,1.2,54,Wind blowing from the north,7,,17,60%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,,,,1000-1500,,,19.0,-9.8,Trace of precipitation,12,,,,
15.03.2020 11:00,0.0,736.3,760.6,,47,Wind blowing from the north,5,,17,70 – 80%.,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1000-1500,,,16.0,-10.2,No precipitation,6,,,,
15.03.2020 08:00,0.5,735.0,759.3,1.3,41,Wind blowing from the north-northwest,5,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,,,,,,,30.0,-11.5,No precipitation,12,,,,
15.03.2020 05:00,0.4,733.7,757.8,,41,Wind blowing from the north-northwest,3,,8,, ,,,-7.7,7.0,,,,,,30.0,-11.3,No precipitation,6,,,,
15.03.2020 02:00,1.3,733.8,757.8,,36,Wind blowing from the north-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,7.0,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
14.03.2020 20:00,0.1,734.0,758.4,0.3,58,Wind blowing from the east,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,7.0,,,,,,7.0,-7.2,No precipitation,12,,,,
14.03.2020 17:00,5.5,733.7,758.1,,28,Wind blowing from the north-northwest,5,,10,70 – 80%., ,,,-7.7,7.0,,,1000-1500,,,21.0,-11.6,No precipitation,6,,,,
14.03.2020 14:00,6.0,734.2,758.5,-2.4,34,Wind blowing from the west-northwest,5,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,6.9,,,1000-1500,,,30.0,-8.7,No precipitation,12,,,,
14.03.2020 11:00,3.1,736.6,761.0,,51,Wind blowing from the south-west,1,,4,no clouds, ,,,-7.7,3.8,,,,,,22.0,-6.1,No precipitation,6,,,,
14.03.2020 08:00,-1.8,738.1,762.7,-0.3,67,Wind blowing from the south-southeast,1,,2,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,3.8,,,,,,3.9,-7.1,No precipitation,12,,,,
14.03.2020 05:00,-7.1,738.4,763.1,,85,Wind blowing from the west,1,,4,, ,,,-9.4,3.8,,,,,,16.0,-9.2,No precipitation,6,,,,
14.03.2020 02:00,-6.2,740.0,764.7,,80,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,3.8,,,2500 or more  or no clouds.,,,23.0,-9.1,No precipitation,12,,,,
13.03.2020 20:00,-2.7,742.6,767.5,0.7,65,Wind blowing from the east,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,3.8,,,,,,8.0,-8.4,No precipitation,12,,,,
13.03.2020 17:00,3.2,741.9,766.7,,22,Wind blowing from the north-northwest,2,,8,no clouds, ,,,-9.4,3.8,,,,,,28.0,-16.5,No precipitation,6,,,,
13.03.2020 14:00,2.8,743.0,767.7,,26,Wind blowing from the north-northeast,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,3.8,,,,,,29.0,-14.8,No precipitation,12,,,,
13.03.2020 11:00,-1.0,745.4,770.2,,24,Wind blowing from the north-northwest,2,,11,no clouds, ,,,-9.4,3.8,,,,,,30.0,-19.0,No precipitation,6,,,,
13.03.2020 08:00,-3.8,746.5,771.3,,34,Wind blowing from the south,1,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,3.8,,,,,,8.0,-17.4,No precipitation,12,,,,
13.03.2020 05:00,-8.5,745.8,770.8,,56,Wind blowing from the south-southwest,1,,13,, ,,,-8.5,3.8,,,,,,30.0,-15.7,No precipitation,6,,,,
13.03.2020 02:00,-3.4,745.3,770.1,,23,Wind blowing from the north,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,3.8,,,2500 or more  or no clouds.,,,30.0,-21.6,No precipitation,12,,,,
12.03.2020 20:00,1.1,742.8,767.3,,39,Wind blowing from the north-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,13.0,-11.3,6.0,12,,,,
12.03.2020 17:00,3.5,740.1,764.5,,47,Wind blowing from the north,2,,8,90  or more  but not 100%, ,,,-3.2,4.6,,,2500 or more  or no clouds.,,,19.0,-7.0,4.0,6,,,,
12.03.2020 14:00,1.5,739.2,763.7,-0.3,89,Wind blowing from the south-southeast,1,,3,100%.,Snow not falling as shower(s). ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,,,,1000-1500,,,5.0,-0.1,6.0,12,,,,
12.03.2020 11:00,0.4,739.5,764.1,,91,Wind blowing from the west,1,,2,100%.,Rain or drizzle and snow  slight. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,,,,1000-1500,,,0.9,-0.9,2.0,6,,,,
12.03.2020 08:00,0.9,739.1,763.6,0.3,70,Wind blowing from the east-southeast,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,,,,1000-1500,,,5.0,-4.1,No precipitation,12,,,,
12.03.2020 05:00,-0.4,738.8,763.1,,60,Wind blowing from the north-northwest,0,,7,, ,,,-5.9,6.7,,,,,,30.0,-7.2,No precipitation,6,,,,
12.03.2020 02:00,-1.6,739.4,763.7,,76,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.7,,,2500 or more  or no clouds.,,,28.0,-5.3,No precipitation,12,,,,
11.03.2020 20:00,0.4,739.1,763.6,1.3,53,Wind blowing from the west-southwest,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.7,,,,,,23.0,-8.1,No precipitation,12,,,,
11.03.2020 17:00,4.7,737.8,762.2,,35,Wind blowing from the west-southwest,4,,8,no clouds, ,,,-5.9,6.7,,,,,,28.0,-9.5,No precipitation,6,,,,
11.03.2020 14:00,5.9,738.0,762.3,-1.3,24,Wind blowing from the west,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,7.0,,,,,,30.0,-13.1,No precipitation,12,,,,
11.03.2020 11:00,2.4,739.3,763.7,,34,Wind blowing from the west,2,,9,no clouds, ,,,-5.9,7.0,,,,,,30.0,-11.9,No precipitation,6,,,,
11.03.2020 08:00,-1.3,739.4,763.9,1.3,45,Wind blowing from the west-southwest,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,7.0,,,,,,9.0,-11.7,No precipitation,12,,,,
11.03.2020 05:00,-5.2,738.1,762.7,,63,Wind blowing from the west-northwest,1,,10,, ,,,-5.2,7.0,,,,,,27.0,-11.3,No precipitation,6,,,,
11.03.2020 02:00,-2.2,737.5,761.8,,42,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,7.0,,,2500 or more  or no clouds.,,,30.0,-13.4,No precipitation,12,,,,
10.03.2020 20:00,0.7,736.4,760.6,,39,Wind blowing from the north,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.7,7.0,,,,,,30.0,-11.7,No precipitation,12,,,,
10.03.2020 17:00,3.2,734.5,758.6,,36,Wind blowing from the north,5,,11,no clouds, ,,,1.3,7.0,,,,,,16.0,-10.4,No precipitation,6,,,,
