Local time in Zhaotong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 11:00,12.3,604.5,762.5,,68,Wind blowing from the north-northwest,2,,4,60%., ,,,5.3,12.3,,,1000-1500,,,16.0,6.6,No precipitation,6,,,,
15.03.2020 08:00,6.0,604.2,763.9,-0.3,89,Calm  no wind,0,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,,,,300-600,,,30.0,4.3,0.2,12,,,,
15.03.2020 05:00,5.5,604.5,763.9,,93,Calm  no wind,0,,,, ,,,5.3,9.2,,,,,,18.0,4.5,0.2,6,,,,
15.03.2020 02:00,5.3,606.2,765.9,,96,Wind blowing from the west-northwest,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,9.2,,,2500 or more  or no clouds.,,,5.0,4.7,0.1,12,,,,
14.03.2020 20:00,6.4,606.0,766.0,0.6,84,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,9.2,,,300-600,,,30.0,3.9,No precipitation,12,,,,
14.03.2020 17:00,8.4,605.4,764.5,,75,Wind blowing from the north,2,,6,100%., ,,,6.7,,,,300-600,,,23.0,4.2,No precipitation,6,,,,
14.03.2020 14:00,8.9,606.9,766.0,-1.6,73,Wind blowing from the north,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,,,,300-600,,,26.0,4.3,No precipitation,12,,,,
14.03.2020 11:00,7.9,608.5,768.1,,73,Wind blowing from the north-northeast,1,,6,100%., ,,,6.7,,,,300-600,,,24.0,3.4,No precipitation,6,,,,
14.03.2020 08:00,6.7,607.9,767.5,0.7,82,Wind blowing from the west,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,13.0,,,300-600,,,30.0,3.8,No precipitation,12,,,,
14.03.2020 05:00,7.2,607.2,765.3,,77,Calm  no wind,0,,,, ,,,6.4,13.0,,,,,,30.0,3.4,No precipitation,6,,,,
14.03.2020 02:00,7.8,608.4,767.2,,77,Wind blowing from the north,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,13.0,,,2500 or more  or no clouds.,,,30.0,4.0,No precipitation,12,,,,
13.03.2020 20:00,9.1,606.9,766.3,,70,Wind blowing from the north-northeast,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,13.0,,,2500 or more  or no clouds.,,,17.0,3.9,No precipitation,12,,,,
13.03.2020 17:00,12.9,605.3,763.2,,53,Calm  no wind,0,,,20–30%., ,,,6.2,23.6,,,1000-1500,,,25.0,3.6,No precipitation,6,,,,
13.03.2020 14:00,10.9,607.0,765.9,,57,Wind blowing from the north-northeast,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,,,,300-600,,,30.0,2.7,No precipitation,12,,,,
13.03.2020 11:00,9.1,608.3,767.9,,66,Wind blowing from the east,1,,8,100%., ,,,6.2,,,,300-600,,,25.0,3.1,No precipitation,6,,,,
13.03.2020 08:00,6.7,607.0,765.4,,76,Wind blowing from the north-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,,,,300-600,,,30.0,2.8,No precipitation,12,,,,
13.03.2020 05:00,6.5,605.3,760.0,,77,Wind blowing from the north,3,,10,, ,,,4.8,24.2,,,,,,30.0,2.8,No precipitation,6,,,,
13.03.2020 02:00,6.3,604.9,759.8,,85,Wind blowing from the north-northwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,24.2,,,2500 or more  or no clouds.,,,30.0,4.0,No precipitation,12,,,,
12.03.2020 20:00,12.6,600.5,757.6,1.9,60,Wind blowing from the north-northeast,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,24.2,,,,,,25.0,5.0,No precipitation,12,,,,
12.03.2020 17:00,23.6,598.6,752.0,,18,Wind blowing from the south-southwest,4,,,no clouds, ,,,4.5,24.2,,,,,,30.0,-2.1,No precipitation,6,,,,
12.03.2020 14:00,22.5,599.6,753.6,-2.4,22,Wind blowing from the south-southwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,22.5,,,,,,30.0,-0.3,No precipitation,12,,,,
12.03.2020 11:00,12.7,602.0,759.4,,48,Wind blowing from the east-southeast,1,,,no clouds, ,,,4.5,,,,,,,22.0,2.0,No precipitation,6,,,,
12.03.2020 08:00,5.0,602.3,761.5,0.3,76,Wind blowing from the south-southeast,1,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,,,,600-1000,,,27.0,1.1,No precipitation,12,,,,
12.03.2020 05:00,5.0,602.0,756.9,,83,Wind blowing from the west-northwest,1,,9,, ,,,4.0,22.0,,,,,,30.0,2.4,No precipitation,6,,,,
12.03.2020 02:00,4.8,602.7,758.8,,84,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,22.0,,,2500 or more  or no clouds.,,,30.0,2.3,No precipitation,12,,,,
11.03.2020 20:00,7.7,598.7,757.2,1.4,72,Wind blowing from the north-northeast,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,22.0,,,,,,20.0,3.0,No precipitation,12,,,,
11.03.2020 17:00,21.4,597.3,751.1,,20,Wind blowing from the south-southwest,5,,11,10%  or less  but not 0, ,,,4.0,22.0,,Sky obscured by fog and/or other meteorological phenomena.,1000-1500,,,30.0,-2.5,No precipitation,6,,,,
11.03.2020 14:00,18.5,599.0,754.0,-3.4,35,Wind blowing from the south,2,,5,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,18.5,,,1000-1500,,,20.0,2.8,No precipitation,12,,,,
11.03.2020 11:00,7.5,602.4,761.6,,73,Wind blowing from the north-northwest,1,,5,90  or more  but not 100%, ,,,4.0,8.8,,,1000-1500,,,11.0,3.0,No precipitation,6,,,,
11.03.2020 08:00,4.1,602.8,762.8,0.0,86,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,8.8,,,300-600,,,24.0,2.0,No precipitation,12,,,,
11.03.2020 05:00,4.3,602.8,762.1,,85,Calm  no wind,0,,,, ,,,1.6,8.8,,,,,,30.0,2.0,No precipitation,6,,,,
11.03.2020 02:00,5.1,603.6,763.4,,86,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,8.8,,,2500 or more  or no clouds.,,,19.0,3.0,No precipitation,12,,,,
10.03.2020 20:00,6.3,602.3,762.8,-0.6,75,Wind blowing from the north-northeast,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,8.8,,,1000-1500,,,19.0,2.2,No precipitation,12,,,,
10.03.2020 17:00,8.5,602.9,763.0,,61,Wind blowing from the north-northwest,1,,4,90  or more  but not 100%, ,,,1.6,10.5,,,,,,25.0,1.4,No precipitation,6,,,,
10.03.2020 14:00,6.9,605.6,766.4,-2.4,65,Wind blowing from the south-west,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,11.9,,,300-600,,,30.0,0.6,1.0,12,,,,
10.03.2020 11:00,4.4,608.0,769.9,,77,Wind blowing from the south-southeast,1,,7,100%., ,,,1.6,,,,300-600,,,20.0,0.7,0.5,6,,,,
10.03.2020 08:00,2.2,607.3,769.4,0.6,88,Wind blowing from the north-west,1,,9,100%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,,,,300-600,,,30.0,0.4,3.0,12,,,,
10.03.2020 05:00,1.9,606.7,767.1,,90,Wind blowing from the north,1,,11,,Rain or drizzle and snow  slight. ,,,1.9,11.9,,,,,,19.0,0.4,2.0,6,,,,
10.03.2020 02:00,3.2,606.7,766.8,,85,Wind blowing from the north-northeast,3,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,11.9,,,2500 or more  or no clouds.,,,30.0,0.9,2.0,12,,,,
09.03.2020 20:00,5.1,603.6,763.2,2.5,77,Wind blowing from the north,6,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,11.9,,,1000-1500,,,30.0,1.4,No precipitation,12,,,,
09.03.2020 17:00,10.6,601.1,758.1,,62,Wind blowing from the north-northeast,3,,8,20–30%., ,,,7.4,,,Sky obscured by fog and/or other meteorological phenomena.,1000-1500,,,30.0,3.6,No precipitation,6,,,,
09.03.2020 14:00,10.3,601.8,759.0,-1.2,65,Wind blowing from the north,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,,,,300-600,,,30.0,4.0,No precipitation,12,,,,
09.03.2020 11:00,9.9,603.0,760.6,,67,Wind blowing from the north,3,,8,100%., ,,,7.4,,,,300-600,,,18.0,4.1,No precipitation,6,,,,
09.03.2020 08:00,7.4,602.2,759.3,1.5,78,Wind blowing from the north-northwest,1,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,,,,300-600,,,27.0,3.8,No precipitation,12,,,,
09.03.2020 05:00,8.0,600.7,754.2,,74,Wind blowing from the north-northeast,3,,11,, ,,,8.0,22.9,,,,,,30.0,3.5,No precipitation,6,,,,
09.03.2020 02:00,8.4,600.6,754.3,,79,Wind blowing from the north-northeast,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,22.9,,,2500 or more  or no clouds.,,,22.0,5.0,No precipitation,12,,,,
08.03.2020 20:00,11.9,596.8,750.6,2.2,67,Wind blowing from the north-northeast,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.9,,,,,,11.0,5.8,No precipitation,12,,,,
08.03.2020 17:00,22.2,594.6,744.6,,19,Wind blowing from the south-west,5,,13,20–30%., ,,,10.3,22.9,,,1000-1500,,,30.0,-2.5,No precipitation,6,,,,
08.03.2020 14:00,21.2,595.5,746.5,-1.4,22,Wind blowing from the south-southwest,6,,12,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.5,,,1000-1500,,,30.0,-1.3,No precipitation,12,,,,
08.03.2020 11:00,17.9,596.9,749.4,,27,Wind blowing from the south-southwest,6,,9,no clouds, ,,,10.3,22.5,,,,,,30.0,-1.3,No precipitation,6,,,,
08.03.2020 08:00,13.7,596.4,748.2,0.0,37,Wind blowing from the south-west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,22.5,,,,,,30.0,-0.7,No precipitation,12,,,,
08.03.2020 05:00,14.4,596.4,747.0,,35,Wind blowing from the south-southwest,3,,11,, ,,,4.4,22.5,,,,,,30.0,-0.9,No precipitation,6,,,,
08.03.2020 02:00,13.0,597.9,749.7,,41,Wind blowing from the west-southwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,22.5,,,2500 or more  or no clouds.,,,26.0,0.1,No precipitation,12,,,,
07.03.2020 20:00,18.7,598.1,752.5,0.6,25,Wind blowing from the south,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,22.5,,,,,,30.0,-1.7,No precipitation,12,,,,
07.03.2020 17:00,21.8,597.5,751.1,,21,Wind blowing from the south-southwest,5,,,no clouds, ,,,4.4,22.8,,,,,,30.0,-1.5,No precipitation,6,,,,
07.03.2020 14:00,20.7,598.4,752.2,-3.0,22,Wind blowing from the south-southwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,23.3,,,,,,30.0,-1.8,No precipitation,12,,,,
07.03.2020 11:00,12.3,601.4,757.9,,55,Wind blowing from the south-east,2,,5,no clouds, ,,,4.4,,,,,,,13.0,3.5,No precipitation,6,,,,
07.03.2020 08:00,6.0,601.7,759.1,0.8,84,Wind blowing from the north,0,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,,,,2500 or more  or no clouds.,,,13.0,3.5,No precipitation,12,,,,
07.03.2020 05:00,4.9,600.9,755.2,,89,Wind blowing from the north,1,,10,, ,,,4.5,23.3,,,,,,12.0,3.2,No precipitation,6,,,,
07.03.2020 02:00,6.2,601.9,756.4,,83,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,23.3,,,2500 or more  or no clouds.,,,12.0,3.5,No precipitation,12,,,,
06.03.2020 20:00,11.7,600.0,755.7,1.7,59,Wind blowing from the north-east,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,23.3,,,,,,16.0,4.0,No precipitation,12,,,,
06.03.2020 17:00,22.7,598.3,749.8,,18,Wind blowing from the west-southwest,4,,11,20–30%., ,,,7.1,23.3,,,1000-1500,,,30.0,-2.8,No precipitation,6,,,,
06.03.2020 14:00,21.6,599.2,752.4,-2.0,17,Wind blowing from the south-west,5,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,21.8,,,1000-1500,,,30.0,-4.5,No precipitation,12,,,,
06.03.2020 11:00,17.0,601.2,756.2,,30,Wind blowing from the south-southwest,4,,8,no clouds, ,,,7.1,20.3,,,,,,30.0,-0.7,No precipitation,6,,,,
06.03.2020 08:00,10.1,600.8,755.2,1.2,48,Wind blowing from the south-southeast,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,20.3,,,,,,20.0,-0.4,No precipitation,12,,,,
06.03.2020 05:00,12.1,599.6,752.3,,42,Wind blowing from the south,3,,10,, ,,,4.3,20.3,,,,,,30.0,-0.4,No precipitation,6,,,,
06.03.2020 02:00,8.2,600.3,754.7,,60,Wind blowing from the south-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,20.3,,,2500 or more  or no clouds.,,,19.0,0.9,No precipitation,12,,,,
05.03.2020 20:00,16.9,599.4,755.2,0.7,28,Wind blowing from the south-southwest,2,,11,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,20.3,,,300-600,,,30.0,-1.7,No precipitation,12,,,,
05.03.2020 17:00,19.7,598.7,753.4,,22,Wind blowing from the south-southwest,5,,11,10%  or less  but not 0, ,,,4.2,20.3,,Sky obscured by fog and/or other meteorological phenomena.,1500-2000,,,30.0,-2.6,No precipitation,6,,,,
05.03.2020 14:00,18.1,600.5,756.1,-3.1,29,Wind blowing from the south-southwest,5,,11,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,18.2,,,1000-1500,,,30.0,-0.2,No precipitation,12,,,,
05.03.2020 11:00,10.2,603.6,762.3,,65,Wind blowing from the south-southwest,2,,4,10%  or less  but not 0, ,,,3.5,10.3,,Sky obscured by fog and/or other meteorological phenomena.,1000-1500,,,14.0,3.9,No precipitation,6,,,,
05.03.2020 08:00,4.6,603.7,763.9,-0.1,83,Wind blowing from the north-northeast,0,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,6.7,,,300-600,,,15.0,2.0,No precipitation,12,,,,
05.03.2020 05:00,4.3,603.8,763.9,,85,Calm  no wind,0,,,, ,,,2.0,6.7,,,,,,14.0,2.0,No precipitation,6,,,,
05.03.2020 02:00,4.4,605.1,765.8,,82,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,6.7,,,2500 or more  or no clouds.,,,18.0,1.6,No precipitation,12,,,,
04.03.2020 20:00,6.0,605.1,766.4,0.8,71,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,6.7,,,300-600,,,21.0,1.0,No precipitation,12,,,,
04.03.2020 17:00,6.7,604.3,765.2,,62,Wind blowing from the south-east,1,,,100%., ,,,2.0,6.7,,,300-600,,,25.0,-0.1,No precipitation,6,,,,
04.03.2020 14:00,5.6,606.2,767.8,,63,Wind blowing from the north-east,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,7.6,,,300-600,,,26.0,-0.9,No precipitation,12,,,,
04.03.2020 11:00,3.6,608.0,770.6,,72,Wind blowing from the east-northeast,1,,7,100%., ,,,2.0,,,,300-600,,,20.0,-1.0,No precipitation,6,,,,
04.03.2020 08:00,2.1,607.2,769.8,0.9,75,Wind blowing from the north-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,,,,300-600,,,30.0,-1.9,No precipitation,12,,,,
04.03.2020 05:00,2.3,606.3,768.0,,72,Wind blowing from the north,3,,9,, ,,,2.3,7.6,,,,,,30.0,-2.2,No precipitation,6,,,,
04.03.2020 02:00,2.7,606.6,767.7,,70,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,7.6,,,2500 or more  or no clouds.,,,30.0,-2.2,No precipitation,12,,,,
03.03.2020 20:00,3.9,605.0,766.0,1.4,77,Wind blowing from the north,3,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,7.6,,,300-600,,,30.0,0.1,Trace of precipitation,12,,,,
03.03.2020 17:00,5.7,603.6,763.6,,73,Wind blowing from the north-northeast,4,,8,100%., ,,,5.1,10.2,,,300-600,,,30.0,1.1,No precipitation,6,,,,
03.03.2020 14:00,7.3,604.5,764.2,-1.8,66,Wind blowing from the north-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,,,,300-600,,,30.0,1.2,No precipitation,12,,,,
03.03.2020 11:00,6.1,606.3,766.7,,69,Wind blowing from the north,3,,7,100%., ,,,5.1,,,,300-600,,,30.0,0.8,No precipitation,6,,,,
03.03.2020 08:00,5.1,605.2,765.7,1.3,75,Wind blowing from the north-northeast,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,,,,300-600,,,30.0,1.0,No precipitation,12,,,,
03.03.2020 05:00,5.3,603.9,762.6,,77,Wind blowing from the north-northeast,2,,8,, ,,,4.6,,,,,,,30.0,1.6,No precipitation,6,,,,
03.03.2020 02:00,5.6,604.4,759.8,,80,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,21.3,,,2500 or more  or no clouds.,,,30.0,2.3,No precipitation,12,,,,
02.03.2020 20:00,5.7,603.2,763.2,2.3,82,Wind blowing from the north,2,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,21.3,,,1000-1500,,,26.0,2.9,No precipitation,12,,,,
02.03.2020 17:00,10.2,600.9,758.7,,66,Wind blowing from the north-northeast,4,,11,20–30%., ,,,4.6,21.3,,,1000-1500,,,26.0,4.1,No precipitation,6,,,,
02.03.2020 14:00,21.1,600.6,754.0,-1.9,20,Wind blowing from the south-west,4,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,21.1,,,1000-1500,,,30.0,-2.7,No precipitation,12,,,,
02.03.2020 11:00,14.3,602.5,758.5,,48,Wind blowing from the south,1,,3,no clouds, ,,,4.6,19.0,,,,,,12.0,3.4,No precipitation,6,,,,
02.03.2020 08:00,5.1,602.1,760.0,0.9,93,Wind blowing from the north,0,,8,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,19.0,,,,,,7.0,4.1,No precipitation,12,,,,
02.03.2020 05:00,6.0,601.2,756.3,,88,Wind blowing from the west,1,,8,, ,,,5.6,19.0,,,,,,10.0,4.2,No precipitation,6,,,,
02.03.2020 02:00,9.2,602.3,757.6,,75,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,19.0,,,2500 or more  or no clouds.,,,15.0,5.0,No precipitation,12,,,,
01.03.2020 20:00,11.4,602.1,759.5,1.3,58,Wind blowing from the north,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,19.0,,,,,,27.0,3.4,No precipitation,12,,,,
01.03.2020 17:00,18.8,600.8,755.5,,33,Wind blowing from the north-east,1,,10,no clouds, ,,,5.6,21.3,,,,,,25.0,2.2,No precipitation,6,,,,
01.03.2020 14:00,16.3,603.0,758.8,-2.5,39,Wind blowing from the east-southeast,2,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,21.3,,,1000-1500,,,23.0,2.3,No precipitation,12,,,,
01.03.2020 11:00,11.1,605.5,762.7,,63,Wind blowing from the north,2,,6,90  or more  but not 100%, ,,,5.6,,,,600-1000,,,18.0,4.3,No precipitation,6,,,,
01.03.2020 08:00,6.5,604.5,761.5,1.2,92,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,21.3,,,300-600,,,13.0,5.3,No precipitation,12,,,,
01.03.2020 05:00,7.3,603.3,757.9,,85,Wind blowing from the north,1,,6,, ,,,3.5,21.3,,,,,,17.0,4.9,No precipitation,6,,,,
01.03.2020 02:00,8.1,603.3,758.5,,81,Wind blowing from the east-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,21.3,,,2500 or more  or no clouds.,,,24.0,5.0,No precipitation,12,,,,
29.02.2020 20:00,15.1,601.5,758.5,1.1,47,Wind blowing from the north-east,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,21.3,,,,,,27.0,3.9,No precipitation,12,,,,
29.02.2020 17:00,20.9,600.4,754.9,,15,Wind blowing from the west-southwest,4,,9,20–30%., ,,,3.5,21.2,,,1000-1500,,,30.0,-6.7,No precipitation,6,,,,
29.02.2020 14:00,18.8,601.5,756.7,-1.7,30,Wind blowing from the south-southwest,3,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,19.1,,,1000-1500,,,30.0,0.9,No precipitation,12,,,,
29.02.2020 11:00,11.3,603.2,760.6,,64,Wind blowing from the south-west,1,,3,no clouds, ,,,3.5,19.1,,,,,,12.0,4.7,No precipitation,6,,,,
29.02.2020 08:00,3.7,602.7,761.5,0.9,96,Wind blowing from the south-southeast,0,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,19.1,,,1000-1500,,,10.0,3.1,No precipitation,12,,,,
29.02.2020 05:00,5.3,601.8,757.6,,89,Wind blowing from the north,1,,8,, ,,,4.9,19.1,,,,,,14.0,3.6,No precipitation,6,,,,
29.02.2020 02:00,5.9,602.5,758.6,,89,Wind blowing from the north-west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,19.1,,,2500 or more  or no clouds.,,,16.0,4.2,No precipitation,12,,,,
