Local time in Ya'an,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
25.03.2020 17:00,27.2,697.2,749.5,,48,Wind blowing from the east,1,,4,20–30%., ,,,15.9,27.5,,,600-1000,,,11.0,15.2,No precipitation,6,,,,
25.03.2020 14:00,26.2,699.4,752.0,,49,Wind blowing from the east,1,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,26.8,,,600-1000,,,10.0,14.7,No precipitation,12,,,,
25.03.2020 08:00,16.3,702.0,755.3,0.5,81,Wind blowing from the south-west,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,26.8,,,2500 or more  or no clouds.,,,8.0,13.0,0.1,12,,,,
25.03.2020 05:00,16.9,701.5,754.4,,83,Wind blowing from the south,1,,4,,Rain (not freezing) not falling as shower(s). ,,,16.0,26.8,,,,,,6.0,14.0,0.1,6,,,,
25.03.2020 02:00,17.9,703.2,756.0,,86,Wind blowing from the north-west,0,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,26.8,,,2500 or more  or no clouds.,,,4.6,15.5,0.1,12,,,,
24.03.2020 20:00,21.4,701.5,754.8,1.3,62,Calm  no wind,0,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,26.8,,,2500 or more  or no clouds.,,,11.0,13.8,No precipitation,12,,,,
24.03.2020 17:00,25.1,700.2,753.1,,48,Wind blowing from the east,2,,6,90  or more  but not 100%, ,,,16.0,26.8,,,2500 or more  or no clouds.,,,15.0,13.3,No precipitation,6,,,,
24.03.2020 14:00,26.4,702.0,754.9,,47,Wind blowing from the east,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,26.4,,,600-1000,,,15.0,14.2,No precipitation,12,,,,
24.03.2020 11:00,21.2,704.8,758.2,,65,Wind blowing from the south-southeast,2,,6,20–30%., ,,,16.0,26.2,,,600-1000,,,19.0,14.4,No precipitation,6,,,,
24.03.2020 08:00,16.0,705.0,758.6,,81,Wind blowing from the south-southwest,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,26.2,,,2500 or more  or no clouds.,,,9.0,12.7,2.0,12,,,,
24.03.2020 05:00,16.1,704.8,758.0,,84,Wind blowing from the south-southwest,2,,6,,Rain (not freezing) not falling as shower(s). ,,,13.8,26.2,,,,,,10.0,13.4,2.0,6,,,,
24.03.2020 02:00,16.3,706.3,759.6,,89,Wind blowing from the south-west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,26.2,,,2500 or more  or no clouds.,,,5.0,14.5,2.0,12,,,,
23.03.2020 20:00,21.0,705.2,759.0,,59,Wind blowing from the south-southeast,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,26.2,,,2500 or more  or no clouds.,,,14.0,12.7,No precipitation,12,,,,
23.03.2020 17:00,25.2,703.8,757.0,,42,Wind blowing from the east,1,,6,70 – 80%., ,,,13.8,26.2,,,600-1000,,,21.0,11.4,No precipitation,6,,,,
23.03.2020 14:00,25.4,705.3,758.5,-2.8,46,Wind blowing from the east,2,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,25.4,,,600-1000,,,18.0,13.0,No precipitation,12,,,,
23.03.2020 11:00,19.3,708.1,762.1,,65,Wind blowing from the west-southwest,2,,6,70 – 80%., ,,,13.8,25.4,,,600-1000,,,8.0,12.6,No precipitation,6,,,,
23.03.2020 08:00,14.7,708.1,762.3,,80,Wind blowing from the south-west,2,,5,60%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.8,25.4,,,2500 or more  or no clouds.,,,13.0,11.3,Trace of precipitation,12,,,,
23.03.2020 05:00,14.9,706.6,760.2,,81,Wind blowing from the south-west,1,,5,, ,,,14.7,25.4,,,,,,18.0,11.7,No precipitation,6,,,,
23.03.2020 02:00,16.4,707.4,760.9,,78,Wind blowing from the south-west,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,25.4,,,2500 or more  or no clouds.,,,21.0,12.6,No precipitation,12,,,,
22.03.2020 20:00,18.7,706.6,760.7,1.2,71,Wind blowing from the south-east,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,25.4,,,2500 or more  or no clouds.,,,17.0,13.3,No precipitation,12,,,,
22.03.2020 17:00,23.3,705.4,758.9,,46,Wind blowing from the east,1,,4,100%., ,,,14.7,25.7,,,2500 or more  or no clouds.,,,30.0,11.0,No precipitation,6,,,,
22.03.2020 14:00,24.1,706.5,760.0,-2.0,48,Wind blowing from the east,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,27.3,,,600-1000,,,26.0,12.4,1.0,12,,,,
22.03.2020 11:00,18.1,708.5,762.4,,75,Wind blowing from the south,2,,4,90  or more  but not 100%, ,,,14.7,,,,,,,15.0,13.6,0.1,6,,,,
22.03.2020 08:00,15.1,707.5,761.3,0.9,88,Wind blowing from the south-west,2,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,27.3,,,2500 or more  or no clouds.,,,8.0,13.1,8.0,12,,,,
22.03.2020 05:00,14.8,706.6,760.0,,95,Wind blowing from the south-southwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.1,27.3,,,,,,1.6,14.0,8.0,6,,,,
22.03.2020 02:00,15.6,707.8,761.2,,94,Wind blowing from the north,0,,4,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,27.3,,,2500 or more  or no clouds.,,,1.5,14.6,7.0,12,,,,
21.03.2020 20:00,21.3,703.4,757.0,,49,Wind blowing from the east-southeast,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,27.3,,,2500 or more  or no clouds.,,,21.0,10.2,No precipitation,12,,,,
21.03.2020 17:00,25.7,701.0,754.0,,32,Wind blowing from the east-southeast,1,,,90  or more  but not 100%, ,,,14.1,27.3,,,,,,21.0,7.8,No precipitation,6,,,,
21.03.2020 14:00,27.0,701.8,754.6,,33,Wind blowing from the east,2,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,27.0,,,600-1000,,,23.0,9.4,No precipitation,12,,,,
21.03.2020 11:00,20.8,703.4,757.0,,45,Wind blowing from the west-southwest,2,,6,20–30%., ,,,14.1,26.8,,,600-1000,,,22.0,8.4,No precipitation,6,,,,
21.03.2020 08:00,14.4,702.5,756.3,,62,Wind blowing from the west-southwest,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,26.8,,,2500 or more  or no clouds.,,,25.0,7.2,No precipitation,12,,,,
21.03.2020 05:00,14.9,700.7,753.7,,61,Wind blowing from the south-west,2,,6,, ,,,13.0,26.8,,,,,,25.0,7.5,No precipitation,6,,,,
21.03.2020 02:00,16.2,701.4,754.3,,58,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,26.8,,,2500 or more  or no clouds.,,,27.0,7.9,No precipitation,12,,,,
20.03.2020 20:00,19.3,700.9,754.6,1.1,50,Wind blowing from the west-southwest,1,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,26.8,,,2500 or more  or no clouds.,,,24.0,8.6,No precipitation,12,,,,
20.03.2020 17:00,25.6,699.8,752.8,,29,Wind blowing from the east,2,,6,, ,,,12.8,26.8,,,,,,30.0,6.3,No precipitation,6,,,,
20.03.2020 14:00,25.8,701.8,754.9,-3.3,34,Wind blowing from the east,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,27.3,,,,,,29.0,8.8,No precipitation,12,,,,
20.03.2020 11:00,20.3,705.1,759.1,,39,Wind blowing from the west-southwest,2,,6,20–30%., ,,,12.8,27.3,,,2500 or more  or no clouds.,,,30.0,5.9,No precipitation,6,,,,
20.03.2020 08:00,13.4,705.1,759.3,,59,Wind blowing from the west-southwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,,,,,,,30.0,5.6,No precipitation,12,,,,
20.03.2020 05:00,14.3,704.8,758.2,,53,Wind blowing from the south-west,2,,6,, ,,,12.2,27.3,,,,,,30.0,4.9,No precipitation,6,,,,
20.03.2020 02:00,15.3,706.1,759.4,,51,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,27.3,,,2500 or more  or no clouds.,,,30.0,5.2,No precipitation,12,,,,
19.03.2020 20:00,18.1,705.6,759.8,,43,Wind blowing from the south,1,,7,20–30%., ,,,12.2,27.3,,,2500 or more  or no clouds.,,,30.0,5.3,No precipitation,6,,,,
19.03.2020 17:00,24.2,704.5,758.0,,23,Wind blowing from the east,3,,7,70 – 80%., ,,,12.2,27.3,,,2500 or more  or no clouds.,,,30.0,1.8,No precipitation,6,,,,
19.03.2020 14:00,26.9,706.6,760.0,,23,Wind blowing from the east,2,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,26.9,,,2500 or more  or no clouds.,,,30.0,4.0,No precipitation,12,,,,
19.03.2020 11:00,20.1,709.7,763.9,,42,Wind blowing from the south-west,2,,7,, ,,,12.2,24.0,,,,,,30.0,6.8,No precipitation,6,,,,
19.03.2020 08:00,12.7,709.9,764.6,0.6,63,Wind blowing from the south-southwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,,,,,,,30.0,5.8,No precipitation,12,,,,
19.03.2020 05:00,12.8,709.3,763.5,,65,Wind blowing from the south-west,2,,7,, ,,,12.5,24.0,,,,,,30.0,6.4,No precipitation,6,,,,
19.03.2020 02:00,13.8,710.5,764.5,,62,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,24.0,,,2500 or more  or no clouds.,,,30.0,6.7,No precipitation,12,,,,
18.03.2020 20:00,16.5,709.1,763.8,,57,Wind blowing from the south,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,24.0,,,2500 or more  or no clouds.,,,15.0,8.0,No precipitation,12,,,,
18.03.2020 17:00,21.6,706.7,760.7,,33,Wind blowing from the east,2,,,90  or more  but not 100%, ,,,12.3,24.0,,,,,,29.0,4.7,No precipitation,6,,,,
18.03.2020 14:00,23.4,707.4,761.2,,29,Wind blowing from the east,2,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,23.5,,,600-1000,,,30.0,4.4,No precipitation,12,,,,
18.03.2020 11:00,17.7,709.6,764.3,,50,Wind blowing from the west,2,,5,50%., ,,,12.3,20.3,,,600-1000,,,30.0,7.2,No precipitation,6,,,,
18.03.2020 08:00,12.5,709.0,763.9,0.7,61,Wind blowing from the south-west,1,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,30.0,5.2,No precipitation,12,,,,
18.03.2020 05:00,13.0,708.3,762.6,,58,Wind blowing from the west-southwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.7,20.3,,,,,,30.0,4.9,No precipitation,6,,,,
18.03.2020 02:00,13.4,710.0,764.7,,61,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,20.3,,,2500 or more  or no clouds.,,,30.0,6.0,No precipitation,12,,,,
17.03.2020 20:00,14.4,710.7,765.9,0.5,60,Wind blowing from the north-west,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,20.3,,,2500 or more  or no clouds.,,,30.0,6.7,No precipitation,12,,,,
17.03.2020 17:00,19.9,710.2,764.8,,32,Wind blowing from the west,1,,4,90  or more  but not 100%, ,,,10.2,20.0,,,,,,30.0,2.7,No precipitation,6,,,,
17.03.2020 14:00,16.4,712.5,767.6,-2.5,56,Wind blowing from the west-southwest,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,16.5,,,2500 or more  or no clouds.,,,30.0,7.6,No precipitation,12,,,,
17.03.2020 11:00,13.3,715.0,770.6,,65,Wind blowing from the south-west,1,,4,100%., ,,,10.2,13.3,,,2500 or more  or no clouds.,,,26.0,6.9,No precipitation,6,,,,
17.03.2020 08:00,10.9,714.7,770.7,,75,Wind blowing from the south-southwest,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,11.1,,,2500 or more  or no clouds.,,,30.0,6.5,Trace of precipitation,12,,,,
17.03.2020 05:00,10.8,714.4,770.2,,74,Wind blowing from the south-southwest,2,,4,, ,,,10.2,11.1,,,,,,30.0,6.4,No precipitation,6,,,,
17.03.2020 02:00,10.9,715.4,771.4,,75,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,11.1,,,2500 or more  or no clouds.,,,30.0,6.6,1.0,12,,,,
16.03.2020 20:00,10.3,714.3,770.2,,90,Wind blowing from the west-southwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,10.2,,,,300-600,,,21.0,8.7,3.0,12,,,,
16.03.2020 17:00,10.5,712.7,768.5,,95,Wind blowing from the west,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,10.3,,,,300-600,,,6.0,9.7,3.0,6,,,,
16.03.2020 14:00,10.5,712.3,768.0,0.0,94,Wind blowing from the east,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,,,,300-600,,,3.2,9.6,2.0,12,,,,
16.03.2020 11:00,10.9,712.3,768.0,,92,Wind blowing from the south-southeast,0,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,,,,300-600,,,1.1,9.7,0.3,6,,,,
16.03.2020 08:00,10.5,710.5,765.8,,91,Wind blowing from the south,1,,3,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,18.2,,,2000-2500,,,2.6,9.1,0.1,12,,,,
16.03.2020 05:00,10.6,709.0,764.0,,88,Wind blowing from the north-west,0,,3,,Mist. ,,,10.5,18.2,,,,,,3.4,8.7,No precipitation,6,,,,
16.03.2020 02:00,10.9,709.9,764.8,,89,Wind blowing from the west-southwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,18.2,,,2500 or more  or no clouds.,,,2.9,9.2,,,,,,
15.03.2020 20:00,13.7,709.1,764.2,,68,Wind blowing from the east-northeast,1,,3,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,18.2,,,2500 or more  or no clouds.,,,5.0,7.9,No precipitation,12,,,,
15.03.2020 17:00,14.8,707.0,761.8,,64,Wind blowing from the east,1,,4,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,18.2,,,2500 or more  or no clouds.,,,7.0,8.1,No precipitation,6,,,,
15.03.2020 14:00,17.2,708.4,763.0,,55,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,18.7,,,2500 or more  or no clouds.,,,9.0,8.1,No precipitation,12,,,,
15.03.2020 11:00,14.6,711.4,766.4,,66,Wind blowing from the north,1,,4,100%., ,,,11.9,18.7,,,2500 or more  or no clouds.,,,13.0,8.3,No precipitation,6,,,,
15.03.2020 08:00,12.1,710.5,765.4,0.6,75,Wind blowing from the south-east,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,18.7,,,2500 or more  or no clouds.,,,21.0,7.8,No precipitation,12,,,,
15.03.2020 05:00,11.9,709.9,764.6,,80,Wind blowing from the south-southwest,1,,2,, ,,,11.9,18.7,,,,,,11.0,8.6,No precipitation,6,,,,
15.03.2020 02:00,12.2,711.7,766.4,,77,Wind blowing from the north-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,18.7,,,2500 or more  or no clouds.,,,11.0,8.3,No precipitation,12,,,,
14.03.2020 20:00,15.0,712.4,767.5,1.3,61,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,18.7,,,2500 or more  or no clouds.,,,13.0,7.5,No precipitation,12,,,,
14.03.2020 17:00,17.0,711.1,765.9,,50,Wind blowing from the east,1,,4,100%., ,,,12.1,18.7,,,2500 or more  or no clouds.,,,16.0,6.5,No precipitation,6,,,,
14.03.2020 14:00,18.1,712.8,767.6,-2.4,52,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,19.7,,,2500 or more  or no clouds.,,,15.0,8.1,No precipitation,12,,,,
14.03.2020 11:00,13.9,715.2,770.5,,63,Wind blowing from the south-west,2,,4,100%., ,,,12.1,,,,2500 or more  or no clouds.,,,12.0,7.0,No precipitation,6,,,,
14.03.2020 08:00,12.4,714.2,769.5,,64,Wind blowing from the south-west,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,19.7,,,2500 or more  or no clouds.,,,11.0,5.8,No precipitation,12,,,,
14.03.2020 05:00,12.1,714.0,769.0,,67,Wind blowing from the south-southwest,1,,4,, ,,,12.1,19.7,,,,,,12.0,6.2,No precipitation,6,,,,
14.03.2020 02:00,12.5,715.3,770.2,,65,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,19.7,,,2500 or more  or no clouds.,,,14.0,6.1,No precipitation,12,,,,
13.03.2020 20:00,14.9,714.1,769.4,3.0,45,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,19.7,,,2500 or more  or no clouds.,,,12.0,3.1,No precipitation,12,,,,
13.03.2020 17:00,18.3,711.1,765.7,,45,Wind blowing from the east,2,,,100%., ,,,12.1,19.7,,,2500 or more  or no clouds.,,,15.0,6.2,No precipitation,6,,,,
13.03.2020 14:00,19.2,712.3,767.1,,53,Wind blowing from the east-northeast,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,19.2,,,600-1000,,,14.0,9.4,No precipitation,12,,,,
13.03.2020 11:00,15.3,714.0,769.2,,69,Wind blowing from the south-southwest,2,,6,100%., ,,,12.1,19.2,,,2500 or more  or no clouds.,,,9.0,9.7,No precipitation,6,,,,
13.03.2020 08:00,12.6,712.3,767.5,1.4,77,Wind blowing from the south,1,,6,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,,,,2500 or more  or no clouds.,,,6.0,8.7,Trace of precipitation,12,,,,
13.03.2020 05:00,12.8,710.9,765.8,,76,Wind blowing from the west-southwest,1,,6,,Mist. ,,,10.3,19.2,,,,,,6.0,8.7,No precipitation,6,,,,
13.03.2020 02:00,12.1,711.4,766.3,,83,Wind blowing from the south-west,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,19.2,,,2500 or more  or no clouds.,,,5.0,9.3,No precipitation,12,,,,
12.03.2020 20:00,14.0,707.6,762.7,,71,Wind blowing from the south-southwest,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,19.2,,,2500 or more  or no clouds.,,,7.0,8.8,No precipitation,12,,,,
12.03.2020 17:00,15.6,705.4,760.1,,58,Wind blowing from the east-northeast,1,,5,, ,,,10.3,19.2,,,,,,11.0,7.4,No precipitation,6,,,,
12.03.2020 14:00,16.3,705.2,759.8,-2.4,57,Wind blowing from the east,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,19.2,,,2500 or more  or no clouds.,,,11.0,7.8,No precipitation,12,,,,
12.03.2020 11:00,15.2,707.6,762.4,,61,Wind blowing from the west,1,,5,60%., ,,,10.3,18.0,,,600-1000,,,14.0,7.7,No precipitation,6,,,,
12.03.2020 08:00,10.6,707.6,762.7,1.0,83,Wind blowing from the south-southeast,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,,,,2500 or more  or no clouds.,,,13.0,7.8,0.2,12,,,,
12.03.2020 05:00,10.9,706.6,761.5,,82,Wind blowing from the south-southwest,1,,4,, ,,,9.2,18.0,,,,,,9.0,8.0,0.1,6,,,,
12.03.2020 02:00,10.8,707.9,762.7,,87,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.0,,,2500 or more  or no clouds.,,,8.0,8.7,0.2,12,,,,
11.03.2020 20:00,13.1,706.2,761.3,2.1,67,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.0,,,2500 or more  or no clouds.,,,15.0,7.1,No precipitation,12,,,,
11.03.2020 17:00,15.1,704.1,758.8,,55,Wind blowing from the east-northeast,1,,,100%., ,,,9.2,18.0,,,2500 or more  or no clouds.,,,19.0,6.1,No precipitation,6,,,,
11.03.2020 14:00,16.2,705.5,760.3,-3.0,52,Wind blowing from the east,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.0,,,2500 or more  or no clouds.,,,22.0,6.3,No precipitation,12,,,,
11.03.2020 11:00,14.2,708.5,763.6,,65,Wind blowing from the east-southeast,1,,4,40%., ,,,9.2,16.3,,,600-1000,,,22.0,7.7,No precipitation,6,,,,
11.03.2020 08:00,9.5,708.9,764.3,,83,Wind blowing from the south-west,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,16.3,,,2000-2500,,,13.0,6.8,1.0,12,,,,
11.03.2020 05:00,9.2,708.7,763.9,,89,Wind blowing from the south-west,1,,4,, ,,,7.4,16.3,,,,,,13.0,7.5,0.3,6,,,,
11.03.2020 02:00,9.7,711.1,766.3,,94,Wind blowing from the south,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,16.3,,,2500 or more  or no clouds.,,,7.0,8.8,1.0,12,,,,
10.03.2020 20:00,12.3,709.4,765.0,,68,Wind blowing from the south-southeast,0,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,16.3,,,2500 or more  or no clouds.,,,30.0,6.4,No precipitation,12,,,,
10.03.2020 17:00,14.5,708.8,764.2,,56,Wind blowing from the east,2,,6,100%., ,,,7.2,16.3,,,2500 or more  or no clouds.,,,30.0,5.8,No precipitation,6,,,,
10.03.2020 14:00,15.5,711.1,766.6,,49,Wind blowing from the north-northeast,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,15.5,,,2500 or more  or no clouds.,,,30.0,4.8,0.5,12,,,,
10.03.2020 11:00,11.4,714.5,770.5,,69,Wind blowing from the south-southwest,1,,6,100%., ,,,7.2,13.2,,,2500 or more  or no clouds.,,,30.0,5.9,No precipitation,6,,,,
