Local time in Zhumadian,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 11:00,19.3,756.4,766.2,,14,Wind blowing from the north-west,4,,6,40%., ,,,4.5,19.3,,,2500 or more  or no clouds.,,,10.0,-8.9,No precipitation,6,,,,
15.03.2020 08:00,10.9,756.3,766.0,1.1,47,Wind blowing from the west-northwest,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,18.9,,,2500 or more  or no clouds.,,,11.0,0.0,No precipitation,12,,,,
15.03.2020 05:00,7.7,755.2,765.0,,47,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,11.0,-2.9,,,,,,
15.03.2020 02:00,5.8,756.0,765.7,,62,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,18.9,,,2500 or more  or no clouds.,,,11.0,-0.9,No precipitation,12,,,,
14.03.2020 20:00,13.0,755.8,765.7,0.5,32,Wind blowing from the west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,18.9,,,,,,11.0,-3.3,No precipitation,12,,,,
14.03.2020 17:00,18.4,755.3,765.1,,18,Wind blowing from the west-northwest,2,,,no clouds, ,,,,,,,,,,9.0,-6.3,,,,,,
14.03.2020 14:00,18.0,756.7,766.6,-2.7,18,Wind blowing from the north-northwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,18.0,,,,,,10.0,-6.7,No precipitation,12,,,,
14.03.2020 11:00,15.6,759.4,769.3,,30,Wind blowing from the west,4,,,no clouds, ,,,,,,,,,,9.0,-1.9,,,,,,
14.03.2020 08:00,9.2,759.7,769.6,0.3,57,Wind blowing from the west,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,11.0,,,,,,9.0,1.1,No precipitation,12,,,,
14.03.2020 05:00,2.8,759.4,769.3,,90,Wind blowing from the west-northwest,2,,4,,Mist. ,,,1.6,11.0,,,,,,4.1,1.3,No precipitation,6,,,,
14.03.2020 02:00,2.7,760.6,770.7,,90,Wind blowing from the north-northwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,11.0,,,2500 or more  or no clouds.,,,5.0,1.2,No precipitation,12,,,,
13.03.2020 20:00,6.8,761.2,771.1,0.7,74,Wind blowing from the south-southwest,2,,8,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,13.6,,,2500 or more  or no clouds.,,,6.0,2.5,No precipitation,12,,,,
13.03.2020 17:00,10.4,760.5,770.4,,52,Wind blowing from the north-east,1,,,60%., ,,,,,,,2500 or more  or no clouds.,,,8.0,1.0,,,,,,
13.03.2020 14:00,9.3,761.5,771.4,,53,Wind blowing from the north,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,,,,2500 or more  or no clouds.,,,10.0,0.0,No precipitation,12,,,,
13.03.2020 11:00,9.2,762.0,771.9,,44,Wind blowing from the north-northeast,5,,8,90  or more  but not 100%, ,,,7.7,,,,,,,10.0,-2.4,No precipitation,6,,,,
13.03.2020 08:00,8.1,760.0,769.8,,53,Wind blowing from the north-northwest,3,,7,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,19.3,,,2500 or more  or no clouds.,,,5.0,-0.9,No precipitation,12,,,,
13.03.2020 05:00,7.8,757.7,767.5,,68,Wind blowing from the north-west,3,,7,,Haze. ,,,7.7,19.3,,,,,,1.9,2.1,No precipitation,6,,,,
13.03.2020 02:00,9.9,757.0,766.7,,71,Wind blowing from the west-northwest,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,19.3,,,2500 or more  or no clouds.,,,1.0,4.9,No precipitation,12,,,,
12.03.2020 20:00,13.5,752.8,762.5,,63,Wind blowing from the east,2,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,19.3,,,2500 or more  or no clouds.,,,8.0,6.6,No precipitation,12,,,,
12.03.2020 17:00,18.0,750.4,760.0,,46,Wind blowing from the east-southeast,3,,7,90  or more  but not 100%, ,,,8.0,19.6,,,2500 or more  or no clouds.,,,9.0,6.2,No precipitation,6,,,,
12.03.2020 14:00,18.6,750.2,759.8,-1.9,40,Wind blowing from the east,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,21.4,,,,,,8.0,4.8,No precipitation,12,,,,
12.03.2020 11:00,15.6,752.1,761.7,,52,Wind blowing from the east,2,,10,90  or more  but not 100%, ,,,8.0,21.4,,,2500 or more  or no clouds.,,,8.0,5.8,No precipitation,6,,,,
12.03.2020 08:00,8.7,751.8,761.5,0.7,77,Wind blowing from the north-northwest,1,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,21.4,,,2500 or more  or no clouds.,,,7.0,4.9,No precipitation,12,,,,
12.03.2020 05:00,9.2,751.1,760.7,,65,Wind blowing from the south-east,1,,,, ,,,,,,,,,,8.0,2.8,,,,,,
12.03.2020 02:00,11.8,752.1,761.7,,53,Wind blowing from the north-northeast,2,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,21.4,,,2500 or more  or no clouds.,,,7.0,2.5,No precipitation,12,,,,
11.03.2020 20:00,15.5,751.6,761.3,0.9,37,Wind blowing from the south-southeast,3,,9,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,21.4,,,2500 or more  or no clouds.,,,8.0,0.9,No precipitation,12,,,,
11.03.2020 17:00,19.6,750.7,760.5,,28,Wind blowing from the south-southeast,6,,,40%., ,,,,,,,2500 or more  or no clouds.,,,9.0,0.6,,,,,,
11.03.2020 14:00,20.4,752.4,762.1,-2.5,21,Wind blowing from the south-west,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,20.5,,,,,,9.0,-2.6,No precipitation,12,,,,
11.03.2020 11:00,17.9,754.9,764.7,,30,Wind blowing from the west-southwest,3,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,9.0,0.1,,,,,,
11.03.2020 08:00,5.8,755.2,765.1,0.9,71,Wind blowing from the east-northeast,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,16.4,,,2500 or more  or no clouds.,,,9.0,0.8,No precipitation,12,,,,
11.03.2020 05:00,3.5,754.3,764.1,,75,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,10.0,-0.5,,,,,,
11.03.2020 02:00,4.7,755.3,765.1,,69,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,16.4,,,2500 or more  or no clouds.,,,11.0,-0.5,No precipitation,12,,,,
10.03.2020 20:00,10.1,755.2,765.0,,47,Wind blowing from the south-southwest,1,,14,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,16.4,,,2500 or more  or no clouds.,,,10.0,-0.7,No precipitation,12,,,,
10.03.2020 17:00,15.4,754.6,764.4,,26,Wind blowing from the north,1,,,90  or more  but not 100%, ,,,,,,,,,,9.0,-4.0,,,,,,
10.03.2020 14:00,15.6,756.1,765.9,-1.9,18,Wind blowing from the north,5,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,15.7,,,,,,9.0,-8.6,No precipitation,12,,,,
10.03.2020 11:00,13.4,758.0,767.8,,23,Wind blowing from the north-northwest,6,,11,no clouds, ,,,4.7,13.6,,,,,,10.0,-7.3,No precipitation,6,,,,
10.03.2020 08:00,8.3,757.1,767.0,1.3,71,Wind blowing from the west-northwest,2,,5,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,10.5,,,2500 or more  or no clouds.,,,7.0,3.2,No precipitation,12,,,,
10.03.2020 05:00,7.2,755.8,765.7,,79,Wind blowing from the west-southwest,3,,6,,Mist. ,,,6.4,10.5,,,,,,6.0,3.8,No precipitation,6,,,,
10.03.2020 02:00,6.9,756.4,766.3,,78,Wind blowing from the west,2,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,10.8,,,2500 or more  or no clouds.,,,6.0,3.2,0.3,12,,,,
09.03.2020 20:00,10.0,755.4,765.2,1.6,71,Wind blowing from the west-northwest,3,,11,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,,,,2500 or more  or no clouds.,,,6.0,5.0,5.0,12,,,,
09.03.2020 17:00,10.0,753.8,763.6,,79,Wind blowing from the north-west,3,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.8,,,,600-1000,,,5.0,6.5,1.0,6,,,,
09.03.2020 14:00,9.2,752.9,762.7,0.1,89,Wind blowing from the north-northwest,4,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,,,,600-1000,,,3.8,7.5,10.0,12,,,,
09.03.2020 11:00,9.8,752.8,762.6,,83,Wind blowing from the north-northwest,5,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,,,,600-1000,,,6.0,7.1,6.0,6,,,,
09.03.2020 08:00,10.4,751.6,761.3,1.9,90,Wind blowing from the west-northwest,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,9.9,17.0,,,600-1000,,,2.4,8.8,10.0,12,,,,
09.03.2020 05:00,10.2,749.7,759.4,,90,Wind blowing from the north-northwest,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.3,17.0,,,,,,2.7,8.6,7.0,6,,,,
09.03.2020 02:00,10.8,749.9,759.6,,90,Wind blowing from the north-northwest,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,17.0,,,2500 or more  or no clouds.,,,2.8,9.2,4.0,12,,,,
08.03.2020 20:00,14.1,747.9,757.6,1.4,69,Wind blowing from the east,1,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,17.0,,,2500 or more  or no clouds.,,,5.0,8.5,No precipitation,12,,,,
08.03.2020 17:00,16.2,746.5,756.1,,57,Wind blowing from the east,4,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,18.1,,,,,,6.0,7.7,No precipitation,6,,,,
08.03.2020 14:00,15.4,747.2,756.9,-2.3,60,Wind blowing from the east,4,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,18.9,,,2500 or more  or no clouds.,,,6.0,7.7,No precipitation,12,,,,
08.03.2020 11:00,12.5,749.5,759.2,,70,Wind blowing from the east-southeast,5,,,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,18.9,,,2500 or more  or no clouds.,,,6.0,7.2,No precipitation,6,,,,
08.03.2020 08:00,9.9,749.5,759.2,,89,Wind blowing from the east-southeast,2,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,18.9,,,2500 or more  or no clouds.,,,3.4,8.2,No precipitation,12,,,,
08.03.2020 05:00,9.8,748.9,758.5,,85,Wind blowing from the east,2,,,,Mist. ,,,7.5,18.9,,,,,,4.0,7.4,No precipitation,6,,,,
08.03.2020 02:00,7.5,750.3,760.0,,87,Wind blowing from the east,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,18.9,,,2500 or more  or no clouds.,,,3.3,5.5,No precipitation,12,,,,
07.03.2020 20:00,11.3,751.3,761.0,0.6,57,Wind blowing from the south,1,,6,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,18.9,,,,,,7.0,3.1,No precipitation,12,,,,
07.03.2020 17:00,18.1,750.7,760.3,,33,Wind blowing from the east-northeast,3,,,no clouds, ,,,,,,,,,,7.0,1.6,,,,,,
07.03.2020 14:00,17.9,751.6,761.3,-2.0,37,Wind blowing from the north-northeast,3,,8,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,18.1,,,,,,6.0,3.0,No precipitation,12,,,,
07.03.2020 11:00,14.0,753.6,763.3,,58,Wind blowing from the north,3,,8,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,16.1,,,,,,5.0,5.9,No precipitation,6,,,,
07.03.2020 08:00,9.0,753.0,762.8,2.1,87,Wind blowing from the north-west,3,,8,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,16.1,,,,,,5.0,7.0,No precipitation,12,,,,
07.03.2020 05:00,11.9,750.9,760.6,,67,Wind blowing from the west,5,,,, ,,,,,,,,,,7.0,6.0,,,,,,
07.03.2020 02:00,10.4,751.0,760.6,,71,Wind blowing from the west-southwest,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,16.1,,,2500 or more  or no clouds.,,,7.0,5.4,No precipitation,12,,,,
06.03.2020 20:00,9.1,750.4,760.3,0.9,73,Wind blowing from the south-southwest,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,16.1,,,2500 or more  or no clouds.,,,6.0,4.5,No precipitation,12,,,,
06.03.2020 17:00,15.6,749.5,759.1,,48,Wind blowing from the east-southeast,1,,,90  or more  but not 100%, ,,,,,,,,,,8.0,4.6,,,,,,
06.03.2020 14:00,15.3,750.0,759.7,-1.9,50,Wind blowing from the north-northwest,3,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,16.1,,,2500 or more  or no clouds.,,,8.0,4.9,No precipitation,12,,,,
06.03.2020 11:00,12.9,751.9,761.7,,57,Wind blowing from the east-southeast,3,,,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,14.9,,,,,,7.0,4.6,No precipitation,6,,,,
06.03.2020 08:00,7.6,752.0,761.8,,65,Wind blowing from the east,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,14.9,,,2500 or more  or no clouds.,,,7.0,1.4,No precipitation,12,,,,
06.03.2020 05:00,6.9,752.0,761.8,,64,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,8.0,0.4,,,,,,
06.03.2020 02:00,7.0,753.4,763.1,,55,Wind blowing from the south-east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,14.9,,,2500 or more  or no clouds.,,,9.0,-1.4,No precipitation,12,,,,
05.03.2020 20:00,10.0,754.6,764.5,0.3,63,Wind blowing from the south-east,4,,9,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,14.9,,,,,,6.0,3.1,No precipitation,12,,,,
05.03.2020 17:00,14.2,754.3,764.1,,38,Wind blowing from the south-east,5,,,no clouds, ,,,,,,,,,,8.0,0.1,,,,,,
05.03.2020 14:00,14.0,756.5,766.3,-3.2,47,Wind blowing from the east-southeast,5,,8,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,14.0,,,,,,7.0,2.9,No precipitation,12,,,,
05.03.2020 11:00,10.5,759.7,769.6,,55,Wind blowing from the east-southeast,5,,7,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,13.8,,,,,,7.0,1.8,No precipitation,6,,,,
05.03.2020 08:00,4.3,760.1,770.2,0.0,64,Wind blowing from the east-southeast,3,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,13.8,,,,,,8.0,-1.9,No precipitation,12,,,,
05.03.2020 05:00,4.5,760.1,770.0,,59,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,8.0,-3.0,,,,,,
05.03.2020 02:00,5.2,761.0,771.0,,62,Wind blowing from the south-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,13.8,,,2500 or more  or no clouds.,,,7.0,-1.5,No precipitation,12,,,,
04.03.2020 20:00,7.9,760.9,770.9,0.8,50,Wind blowing from the east-southeast,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,13.8,,,,,,8.0,-1.9,No precipitation,12,,,,
04.03.2020 17:00,12.9,760.1,770.1,,20,Wind blowing from the east,4,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,9.0,-9.5,,,,,,
04.03.2020 14:00,12.7,760.6,770.5,-1.8,15,Wind blowing from the east,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,13.1,,,,,,9.0,-13.3,No precipitation,12,,,,
04.03.2020 11:00,10.4,762.4,772.4,,34,Wind blowing from the east-southeast,4,,7,no clouds, ,,,0.3,12.9,,,,,,9.0,-4.8,No precipitation,6,,,,
04.03.2020 08:00,2.5,762.1,772.2,1.5,91,Wind blowing from the south-west,1,,2,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,12.9,,,2500 or more  or no clouds.,,,2.9,1.2,No precipitation,12,,,,
04.03.2020 05:00,0.7,760.6,770.7,,91,Wind blowing from the south-west,0,,4,,Mist. ,,,0.0,12.9,,,,,,2.1,-0.6,No precipitation,6,,,,
04.03.2020 02:00,2.3,760.5,770.5,,90,Wind blowing from the south-west,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,12.9,,,2500 or more  or no clouds.,,,3.4,0.8,No precipitation,12,,,,
03.03.2020 20:00,8.0,759.7,769.7,1.4,69,Wind blowing from the east,1,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,12.9,,,2500 or more  or no clouds.,,,6.0,2.5,No precipitation,12,,,,
03.03.2020 17:00,11.7,758.3,768.3,,47,Wind blowing from the east-northeast,3,,,90  or more  but not 100%, ,,,,,,,,,,7.0,0.8,,,,,,
03.03.2020 14:00,12.3,758.4,768.4,-1.5,48,Wind blowing from the north-northeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,12.9,,,2500 or more  or no clouds.,,,8.0,1.6,No precipitation,12,,,,
03.03.2020 11:00,11.1,759.9,769.9,,52,Wind blowing from the north-west,4,,7,20–30%., ,,,0.0,11.1,,,2500 or more  or no clouds.,,,8.0,1.6,No precipitation,6,,,,
03.03.2020 08:00,2.7,759.7,769.8,1.7,79,Wind blowing from the west,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,9.6,,,2500 or more  or no clouds.,,,8.0,-0.7,No precipitation,12,,,,
03.03.2020 05:00,1.5,758.0,768.1,,72,Wind blowing from the south,1,,,, ,,,,,,,,,,9.0,-3.0,,,,,,
03.03.2020 02:00,1.6,758.8,768.9,,74,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,9.6,,,2500 or more  or no clouds.,,,10.0,-2.5,No precipitation,12,,,,
02.03.2020 20:00,5.8,759.7,769.7,0.5,56,Wind blowing from the south,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,9.6,,,,,,10.0,-2.5,No precipitation,12,,,,
02.03.2020 17:00,8.4,759.2,769.2,,46,Wind blowing from the east,3,,,100%., ,,,,,,,2500 or more  or no clouds.,,,9.0,-2.8,,,,,,
02.03.2020 14:00,9.1,759.4,769.4,-2.1,42,Wind blowing from the east-southeast,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,12.1,,,2500 or more  or no clouds.,,,8.0,-3.1,No precipitation,12,,,,
02.03.2020 11:00,8.7,761.5,771.5,,52,Wind blowing from the east,4,,7,90  or more  but not 100%, ,,,5.7,12.1,,,,,,7.0,-0.6,No precipitation,6,,,,
02.03.2020 08:00,6.1,761.1,771.1,,85,Wind blowing from the east-southeast,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,,,,2500 or more  or no clouds.,,,5.0,3.8,No precipitation,12,,,,
02.03.2020 05:00,6.2,760.0,769.9,,83,Wind blowing from the south-east,2,,6,,Mist. ,,,6.2,12.1,,,,,,5.0,3.5,No precipitation,6,,,,
02.03.2020 02:00,7.0,760.6,770.5,,78,Wind blowing from the east-southeast,3,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,12.1,,,2500 or more  or no clouds.,,,6.0,3.4,No precipitation,12,,,,
01.03.2020 20:00,8.1,759.5,769.5,1.2,70,Wind blowing from the south-east,1,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,12.1,,,2500 or more  or no clouds.,,,7.0,2.8,No precipitation,12,,,,
01.03.2020 17:00,11.6,758.3,768.2,,51,Wind blowing from the north-northeast,3,,,60%., ,,,,,,,1500-2000,,,8.0,1.8,,,,,,
01.03.2020 14:00,10.9,758.6,768.5,-0.8,61,Wind blowing from the north-east,4,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,13.9,,,2500 or more  or no clouds.,,,7.0,3.7,No precipitation,12,,,,
01.03.2020 11:00,10.5,759.4,769.3,,64,Calm  no wind,0,,,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,13.9,,,,,,7.0,3.8,No precipitation,6,,,,
01.03.2020 08:00,7.8,758.1,768.0,2.0,78,Wind blowing from the east,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,6.0,4.2,No precipitation,12,,,,
01.03.2020 05:00,7.5,756.1,766.0,,78,Wind blowing from the south-east,2,,6,,Mist. ,,,2.7,13.9,,,,,,6.0,3.9,No precipitation,6,,,,
01.03.2020 02:00,7.9,755.7,765.5,,79,Wind blowing from the east-southeast,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.9,,,2500 or more  or no clouds.,,,7.0,4.5,No precipitation,12,,,,
29.02.2020 20:00,9.1,753.2,763.1,0.7,75,Wind blowing from the south-east,4,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.9,,,2500 or more  or no clouds.,,,7.0,4.9,No precipitation,12,,,,
29.02.2020 17:00,10.9,752.5,762.4,,71,Wind blowing from the east-southeast,4,,7,100%., ,,,2.7,13.9,,,2500 or more  or no clouds.,,,8.0,5.7,No precipitation,6,,,,
29.02.2020 14:00,13.3,752.5,762.3,-1.7,57,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,13.3,,,2500 or more  or no clouds.,,,7.0,5.0,No precipitation,12,,,,
29.02.2020 11:00,10.7,754.2,764.1,,65,Wind blowing from the north-northeast,2,,3,60%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,10.7,,,2500 or more  or no clouds.,,,8.0,4.4,No precipitation,6,,,,
