Local time in Benxi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 11:00,3.8,746.6,764.2,,23,Wind blowing from the south,4,,10,no clouds, ,,,-8.5,4.0,,,,,,30.0,-15.4,No precipitation,6,,,,
16.03.2020 08:00,-3.7,749.2,767.2,,47,Wind blowing from the east-northeast,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,0.4,,,,,,20.0,-13.4,No precipitation,12,,,,
16.03.2020 05:00,-8.4,750.1,768.1,,59,Wind blowing from the east,2,,10,, ,,,-8.4,0.4,,,,,,27.0,-15.0,No precipitation,6,,,,
16.03.2020 02:00,-7.0,751.5,769.4,,53,Wind blowing from the east,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,1.6,,,2500 or more  or no clouds.,,,30.0,-15.0,No precipitation,12,,,,
15.03.2020 20:00,-3.8,751.3,769.2,2.1,32,Wind blowing from the north,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,,,,,,,30.0,-18.1,Trace of precipitation,12,,,,
15.03.2020 17:00,-1.5,749.2,766.9,,28,Wind blowing from the north-northwest,4,,14,no clouds, ,,,-2.2,,,,,,,30.0,-17.6,No precipitation,6,,,,
15.03.2020 14:00,-0.1,747.4,765.0,1.0,31,Wind blowing from the north-northwest,4,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,,,,1000-1500,,,30.0,-15.2,Trace of precipitation,12,,,,
15.03.2020 11:00,-1.6,746.4,763.9,,52,Wind blowing from the west-northwest,5,,13,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,,,,1000-1500,,,30.0,-10.2,No precipitation,6,,,,
15.03.2020 08:00,-1.0,744.4,761.8,2.3,51,Wind blowing from the north-west,5,,12,90  or more  but not 100%,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,7.4,,,1000-1500,,,30.0,-9.9,Trace of precipitation,12,,,,
15.03.2020 05:00,-0.4,742.1,759.4,,54,Wind blowing from the west,3,,11,, ,,,-4.5,7.4,,,,,,30.0,-8.6,No precipitation,6,,,,
15.03.2020 02:00,1.6,741.8,759.1,,46,Wind blowing from the west,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,7.4,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
14.03.2020 20:00,5.9,741.0,758.3,0.2,38,Wind blowing from the west-northwest,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,7.4,,,,,,30.0,-7.3,No precipitation,12,,,,
14.03.2020 17:00,6.3,740.8,758.2,,35,Wind blowing from the west,3,,10,60%., ,,,-4.5,7.4,,,1000-1500,,,30.0,-8.0,No precipitation,6,,,,
14.03.2020 14:00,6.5,741.6,758.9,-1.4,32,Wind blowing from the west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,7.4,,,,,,30.0,-9.0,No precipitation,12,,,,
14.03.2020 11:00,5.6,743.0,760.4,,35,Wind blowing from the west,4,,7,no clouds, ,,,-4.5,5.7,,,,,,30.0,-8.7,No precipitation,6,,,,
14.03.2020 08:00,-1.7,744.3,761.8,-0.1,57,Wind blowing from the east,2,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,4.0,,,1000-1500,,,18.0,-9.3,No precipitation,12,,,,
14.03.2020 05:00,-4.2,744.4,762.0,,66,Wind blowing from the east,2,,,, ,,,-6.1,4.0,,,,,,25.0,-9.6,No precipitation,6,,,,
14.03.2020 02:00,-2.9,745.9,763.4,,60,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,4.0,,,2500 or more  or no clouds.,,,28.0,-9.6,No precipitation,12,,,,
13.03.2020 20:00,0.9,749.0,766.7,-0.6,35,Wind blowing from the south-southwest,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,4.0,,,,,,30.0,-12.8,No precipitation,12,,,,
13.03.2020 17:00,2.8,749.6,767.3,,29,Wind blowing from the west,2,,9,no clouds, ,,,-6.1,4.0,,,,,,30.0,-13.5,No precipitation,6,,,,
13.03.2020 14:00,2.9,750.7,768.4,,27,Wind blowing from the west-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,6.9,,,,,,30.0,-14.3,No precipitation,12,,,,
13.03.2020 11:00,0.9,753.1,770.9,,28,Wind blowing from the west-southwest,2,,7,no clouds, ,,,-6.1,7.0,,,,,,30.0,-15.6,No precipitation,6,,,,
13.03.2020 08:00,-2.7,753.8,771.7,,33,Wind blowing from the west-northwest,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,,,,,,,30.0,-16.8,No precipitation,12,,,,
13.03.2020 05:00,-4.7,753.4,771.2,,41,Wind blowing from the east,1,,10,, ,,,-5.3,7.0,,,,,,30.0,-16.2,No precipitation,6,,,,
13.03.2020 02:00,-3.7,754.0,771.7,,32,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,7.0,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
12.03.2020 20:00,-0.1,752.1,769.7,,17,Wind blowing from the north-west,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,7.0,,,,,,30.0,-22.3,Trace of precipitation,12,,,,
12.03.2020 17:00,4.0,749.1,766.5,,20,Wind blowing from the west-northwest,3,,11,20–30%., ,,,2.3,7.6,,,2500 or more  or no clouds.,,,30.0,-16.9,No precipitation,6,,,,
12.03.2020 14:00,6.0,747.4,764.6,0.0,28,Wind blowing from the north-northwest,3,,9,40%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,2.3,8.2,,,600-1000,,,30.0,-11.1,Trace of precipitation,12,,,,
12.03.2020 11:00,3.5,747.4,764.8,,59,Wind blowing from the north-northwest,1,,9,70 – 80%.,Rain and snow or ice pellets not falling as shower(s). ,Rain and snow or other types of solid precipitation,Rain.,2.3,,,,1000-1500,,,23.0,-3.8,No precipitation,6,,,,
12.03.2020 08:00,3.1,745.9,763.2,1.9,74,Wind blowing from the west-southwest,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.2,,,1000-1500,,,19.0,-1.1,No precipitation,12,,,,
12.03.2020 05:00,3.1,744.0,761.2,,70,Wind blowing from the west-southwest,3,,10,, ,,,,8.2,,,,,,24.0,-2.0,No precipitation,6,,,,
12.03.2020 02:00,4.2,743.3,760.5,,52,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.2,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
11.03.2020 20:00,5.0,743.3,760.7,0.5,40,Wind blowing from the west-southwest,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,8.2,,,,,,30.0,-7.5,No precipitation,12,,,,
11.03.2020 17:00,7.6,742.8,760.2,,26,Wind blowing from the south-southwest,4,,9,no clouds, ,,,-5.2,8.2,,,,,,30.0,-10.7,No precipitation,6,,,,
11.03.2020 14:00,6.7,744.2,761.6,-2.0,25,Wind blowing from the south-west,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,7.0,,,,,,30.0,-11.9,No precipitation,12,,,,
11.03.2020 11:00,2.7,746.2,763.7,,38,Wind blowing from the west-southwest,3,,5,no clouds, ,,,-5.2,5.2,,,,,,30.0,-10.5,No precipitation,6,,,,
11.03.2020 08:00,-1.8,746.8,764.5,1.3,56,Wind blowing from the west-southwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,5.2,,,,,,24.0,-9.6,No precipitation,12,,,,
11.03.2020 05:00,-3.8,745.5,763.1,,64,Wind blowing from the north-east,0,,10,, ,,,-3.8,5.2,,,,,,30.0,-9.6,No precipitation,6,,,,
11.03.2020 02:00,-2.3,745.4,763.0,,49,Wind blowing from the north-west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,5.2,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
10.03.2020 20:00,0.6,745.0,762.6,,44,Wind blowing from the west,2,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,5.2,,,1000-1500,,,30.0,-10.5,No precipitation,12,,,,
10.03.2020 17:00,2.9,743.4,760.9,,37,Wind blowing from the west-northwest,5,,13,60%., ,,,-2.2,5.2,,,1000-1500,,,30.0,-10.4,No precipitation,6,,,,
10.03.2020 14:00,3.7,742.3,759.7,-0.6,43,Wind blowing from the west-northwest,4,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,5.2,,,1000-1500,,,30.0,-7.7,No precipitation,12,,,,
10.03.2020 11:00,4.1,742.9,760.3,,43,Wind blowing from the west-northwest,3,,6,20–30%., ,,,-2.2,4.6,,,600-1000,,,24.0,-7.4,No precipitation,6,,,,
10.03.2020 08:00,-0.7,743.6,761.1,0.2,74,Wind blowing from the north,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,4.6,,,,,,11.0,-4.9,No precipitation,12,,,,
10.03.2020 05:00,-1.2,743.4,760.8,,77,Wind blowing from the north-northwest,2,,6,, ,,,-1.2,4.6,,,,,,16.0,-4.7,No precipitation,6,,,,
10.03.2020 02:00,1.0,744.4,761.8,,75,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.0,4.6,,,2500 or more  or no clouds.,,,16.0,-2.9,No precipitation,12,,,,
09.03.2020 20:00,2.6,745.9,763.3,0.1,88,Wind blowing from the north-northwest,1,,6,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.6,5.6,,,1000-1500,,,6.0,0.8,0.7,12,,,,
09.03.2020 17:00,3.7,745.8,763.1,,88,Wind blowing from the north-northeast,2,,5,100%., ,,,2.8,,,,1000-1500,,,11.0,1.9,0.2,6,,,,
09.03.2020 14:00,3.7,745.9,763.3,-1.6,93,Wind blowing from the north-west,2,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,,,,1000-1500,,,5.0,2.7,2.0,12,,,,
09.03.2020 11:00,3.6,747.5,764.9,,93,Wind blowing from the north-east,1,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,,,,1000-1500,,,4.3,2.6,2.0,6,,,,
09.03.2020 08:00,2.9,747.1,764.5,0.6,94,Wind blowing from the east,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,,,,1000-1500,,,3.2,2.0,0.9,12,,,,
09.03.2020 05:00,3.2,746.5,763.8,,84,Wind blowing from the east,1,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,1.3,10.6,,,,,,10.0,0.8,No precipitation,6,,,,
09.03.2020 02:00,3.5,746.7,763.9,,82,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,10.6,,,2500 or more  or no clouds.,,,13.0,0.6,No precipitation,12,,,,
08.03.2020 20:00,5.4,746.0,763.3,1.2,73,Wind blowing from the south-southeast,1,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,10.6,,,1000-1500,,,21.0,0.8,No precipitation,12,,,,
08.03.2020 17:00,6.6,744.8,762.1,,69,Wind blowing from the south-southeast,4,,11,90  or more  but not 100%, ,,,0.5,10.6,,,1000-1500,,,28.0,1.3,No precipitation,6,,,,
08.03.2020 14:00,9.3,744.9,762.1,-1.3,60,Wind blowing from the south-southeast,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,10.6,,,,,,30.0,1.9,No precipitation,12,,,,
08.03.2020 11:00,7.2,746.2,763.4,,69,Wind blowing from the south,4,,10,70 – 80%., ,,,0.5,7.2,,,1000-1500,,,30.0,1.9,No precipitation,6,,,,
08.03.2020 08:00,4.4,746.6,763.9,,79,Wind blowing from the south,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,5.1,,,1000-1500,,,16.0,1.1,No precipitation,12,,,,
08.03.2020 05:00,1.6,746.3,763.7,,88,Wind blowing from the north,1,,4,, ,,,0.5,5.1,,,,,,11.0,-0.2,No precipitation,6,,,,
08.03.2020 02:00,1.3,746.8,764.2,,90,Wind blowing from the north-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,5.1,,,2500 or more  or no clouds.,,,13.0,-0.2,No precipitation,12,,,,
07.03.2020 20:00,4.3,746.8,764.1,0.6,78,Wind blowing from the north-northwest,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,5.1,,,1000-1500,,,22.0,0.8,Trace of precipitation,12,,,,
07.03.2020 17:00,4.9,746.2,763.5,,75,Wind blowing from the south-east,2,,,100%., ,,,3.4,5.1,,,1000-1500,,,29.0,0.8,No precipitation,6,,,,
07.03.2020 14:00,5.0,746.3,763.6,-0.9,73,Wind blowing from the south,2,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,5.1,,,1000-1500,,,30.0,0.6,Trace of precipitation,12,,,,
07.03.2020 11:00,3.8,747.2,764.5,,78,Wind blowing from the south,3,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,4.6,,,1000-1500,,,21.0,0.3,No precipitation,6,,,,
07.03.2020 08:00,3.5,746.7,764.0,0.8,79,Wind blowing from the south-west,2,,10,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,5.1,,,1000-1500,,,30.0,0.2,Trace of precipitation,12,,,,
07.03.2020 05:00,4.1,745.9,763.3,,72,Wind blowing from the south-west,2,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,,,,,,,,30.0,-0.5,No precipitation,6,,,,
07.03.2020 02:00,4.1,746.1,763.4,,71,Wind blowing from the south-southeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,29.0,-0.7,No precipitation,12,,,,
06.03.2020 20:00,4.0,746.0,763.4,0.5,65,Wind blowing from the south-southeast,4,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,5.1,,,1000-1500,,,19.0,-2.0,No precipitation,12,,,,
06.03.2020 17:00,3.9,745.5,762.9,,69,Wind blowing from the south,3,,13,90  or more  but not 100%, ,,,-1.0,5.1,,,1000-1500,,,14.0,-1.3,No precipitation,6,,,,
06.03.2020 14:00,3.7,745.2,762.7,-1.4,72,Wind blowing from the south,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,5.5,,,1000-1500,,,14.0,-0.9,No precipitation,12,,,,
06.03.2020 11:00,3.7,746.6,764.1,,69,Wind blowing from the south,3,,11,90  or more  but not 100%, ,,,-1.0,5.5,,,1000-1500,,,17.0,-1.5,No precipitation,6,,,,
06.03.2020 08:00,1.7,746.7,764.2,,70,Wind blowing from the west,3,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,5.5,,,2500 or more  or no clouds.,,,15.0,-3.2,No precipitation,12,,,,
06.03.2020 05:00,0.6,746.6,764.0,,68,Wind blowing from the south,3,,,, ,,,,5.5,,,,,,22.0,-4.6,No precipitation,6,,,,
06.03.2020 02:00,-0.8,747.8,765.4,,63,Wind blowing from the west-southwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,5.5,,,2500 or more  or no clouds.,,,28.0,-7.0,No precipitation,12,,,,
05.03.2020 20:00,1.8,748.0,765.9,0.0,53,Wind blowing from the south,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,5.5,,,,,,30.0,-6.8,No precipitation,12,,,,
05.03.2020 17:00,4.5,748.0,765.9,,37,Wind blowing from the south,3,,10,no clouds, ,,,-13.2,5.5,,,,,,30.0,-8.9,No precipitation,6,,,,
05.03.2020 14:00,4.0,749.5,767.4,-2.7,39,Wind blowing from the south-west,5,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,4.0,,,,,,30.0,-8.7,No precipitation,12,,,,
05.03.2020 11:00,-0.8,752.2,770.3,,59,Wind blowing from the east-northeast,1,,,no clouds, ,,,-13.2,-0.7,,,,,,16.0,-8.0,No precipitation,6,,,,
05.03.2020 08:00,-10.8,753.9,772.2,-0.4,81,Wind blowing from the east,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,-2.7,,,,,,7.0,-13.4,No precipitation,12,,,,
05.03.2020 05:00,-12.8,754.3,772.6,,88,Wind blowing from the east,2,,3,, ,,,-12.8,-2.7,,,,,,9.0,-14.4,No precipitation,6,,,,
05.03.2020 02:00,-11.3,754.6,772.9,,88,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,-2.7,,,2500 or more  or no clouds.,,,12.0,-12.9,0.5,12,,,,
04.03.2020 20:00,-6.0,754.8,772.9,1.2,86,Wind blowing from the east-northeast,1,,5,no clouds,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,-0.4,,,,,,19.0,-8.0,2.0,12,,,,
04.03.2020 17:00,-3.4,753.6,771.7,,68,Wind blowing from the north-west,2,,5,60%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,0.0,,,1000-1500,,,30.0,-8.5,1.0,6,,,,
04.03.2020 14:00,-3.9,752.9,770.9,-0.3,86,Wind blowing from the west-northwest,2,,6,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,,,,1000-1500,,,3.0,-6.0,3.0,12,,,,
04.03.2020 11:00,-4.6,753.2,771.1,,84,Wind blowing from the west-northwest,2,,6,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-6.1,,,,1000-1500,,,1.8,-6.9,1.0,6,,,,
04.03.2020 08:00,-5.5,752.5,770.5,1.2,88,Wind blowing from the north-west,2,,6,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-6.1,5.1,,,1000-1500,,,1.7,-7.2,3.0,12,,,,
04.03.2020 05:00,-5.5,751.3,769.2,,87,Wind blowing from the west-northwest,2,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,-5.5,5.1,,,,,,4.4,-7.3,2.0,6,,,,
04.03.2020 02:00,-3.4,750.0,767.6,,90,Wind blowing from the north-west,2,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,5.1,,,2500 or more  or no clouds.,,,2.3,-4.9,6.0,12,,,,
03.03.2020 20:00,-0.4,748.7,766.4,0.7,97,Wind blowing from the west,1,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Rain.,-3.1,5.1,,,1000-1500,,,1.1,-0.8,5.0,12,,,,
03.03.2020 17:00,0.0,748.0,765.7,,95,Wind blowing from the north-west,1,,,100%.,Intermittent fall of snowflakes  moderate at time of observation. ,Snow and/or other types of solid precipitation,Rain.,-3.1,5.1,,,1000-1500,,,0.7,-0.7,2.0,6,,,,
03.03.2020 14:00,4.3,747.4,764.9,-1.6,43,Wind blowing from the south,5,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,5.1,,,1000-1500,,,30.0,-7.2,0.2,12,,,,
03.03.2020 11:00,3.6,749.0,766.6,,47,Wind blowing from the east-southeast,4,,7,70 – 80%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,3.6,,,1000-1500,,,29.0,-6.9,0.2,6,,,,
03.03.2020 08:00,-0.9,751.1,768.9,0.5,83,Wind blowing from the north,1,,5,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,3.0,,,1000-1500,,,5.0,-3.4,Trace of precipitation,12,,,,
03.03.2020 05:00,-2.7,750.6,768.3,,70,Wind blowing from the east,3,,,, ,,,-4.4,3.0,,,,,,16.0,-7.4,No precipitation,6,,,,
03.03.2020 02:00,-3.0,751.7,769.4,,71,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,3.0,,,2500 or more  or no clouds.,,,13.0,-7.5,No precipitation,12,,,,
02.03.2020 20:00,-1.2,752.6,770.5,0.7,65,Wind blowing from the east,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,3.0,,,,,,13.0,-7.1,No precipitation,12,,,,
02.03.2020 17:00,1.4,751.9,769.6,,47,Wind blowing from the north-northeast,1,,5,no clouds, ,,,-4.4,3.0,,,,,,23.0,-8.7,No precipitation,6,,,,
02.03.2020 14:00,2.5,752.2,769.9,-1.1,47,Wind blowing from the north-northeast,1,,5,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,3.4,,,600-1000,,,25.0,-7.7,No precipitation,12,,,,
02.03.2020 11:00,0.5,753.3,771.1,,56,Wind blowing from the north-northeast,1,,5,40%., ,,,-4.4,3.6,,,600-1000,,,21.0,-7.3,No precipitation,6,,,,
02.03.2020 08:00,-4.2,753.5,771.4,,71,Wind blowing from the south-west,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,3.6,,,1000-1500,,,19.0,-8.8,Trace of precipitation,12,,,,
02.03.2020 05:00,-2.9,752.2,769.9,,83,Wind blowing from the north-west,2,,9,, ,,,-3.2,3.6,,,,,,15.0,-5.4,No precipitation,6,,,,
02.03.2020 02:00,-2.1,751.8,769.5,,82,Wind blowing from the west-northwest,2,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,3.6,,,2500 or more  or no clouds.,,,8.0,-4.8,No precipitation,12,,,,
01.03.2020 20:00,-0.7,750.4,768.1,1.5,57,Wind blowing from the north-west,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,3.6,,,,,,29.0,-8.2,No precipitation,12,,,,
01.03.2020 17:00,1.2,748.9,766.6,,48,Wind blowing from the west-northwest,4,,9,70 – 80%., ,,,-3.2,3.6,,,1000-1500,,,30.0,-8.6,No precipitation,6,,,,
01.03.2020 14:00,3.3,748.0,765.5,-0.7,44,Wind blowing from the north-west,4,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,3.6,,,1000-1500,,,29.0,-7.8,No precipitation,12,,,,
