Local time in Qingdao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 17:00,7.3,758.1,765.3,,72,Wind blowing from the south,5,,11,90  or more  but not 100%, ,,,2.8,12.6,,,,,,30.0,2.6,No precipitation,6,,,,
16.03.2020 14:00,7.9,759.4,766.6,-2.2,57,Wind blowing from the south,6,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,,,,2500 or more  or no clouds.,,,30.0,-0.3,No precipitation,12,,,,
16.03.2020 11:00,6.8,761.6,768.8,,49,Wind blowing from the south,4,,8,40%., ,,,2.8,,,,2500 or more  or no clouds.,,,30.0,-3.2,No precipitation,6,,,,
16.03.2020 08:00,5.1,762.4,769.6,,45,Wind blowing from the south-southeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,16.1,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,12,,,,
16.03.2020 05:00,3.0,762.1,769.3,,58,Wind blowing from the north-west,1,,11,, ,,,2.9,16.1,,,,,,29.0,-4.5,No precipitation,6,,,,
16.03.2020 02:00,4.1,762.2,769.3,,56,Wind blowing from the south-southeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,16.1,,,2500 or more  or no clouds.,,,30.0,-3.9,No precipitation,12,,,,
15.03.2020 23:00,6.4,761.8,768.9,,26,Wind blowing from the north,3,,,, ,,,6.4,16.1,,,,,,30.0,-11.7,No precipitation,6,,,,
15.03.2020 20:00,8.8,760.2,767.3,2.9,23,Wind blowing from the north,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,16.1,,,,,,30.0,-11.2,No precipitation,12,,,,
15.03.2020 17:00,12.7,757.3,764.3,,26,Wind blowing from the north,6,,14,no clouds, ,,,7.1,16.1,,,,,,30.0,-6.3,No precipitation,6,,,,
15.03.2020 14:00,15.5,755.5,762.5,,25,Wind blowing from the north-northwest,6,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,15.9,,,2500 or more  or no clouds.,,,30.0,-4.4,No precipitation,12,,,,
15.03.2020 11:00,14.9,755.7,762.7,,25,Wind blowing from the north-northwest,5,,9,no clouds, ,,,7.1,15.4,,,,,,29.0,-4.9,No precipitation,6,,,,
15.03.2020 08:00,8.6,755.6,762.7,0.7,34,Wind blowing from the north-west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.5,,,,,,25.0,-6.4,No precipitation,12,,,,
15.03.2020 05:00,8.4,754.9,762.0,,35,Wind blowing from the west,4,,,, ,,,4.0,14.5,,,,,,30.0,-6.2,No precipitation,6,,,,
15.03.2020 02:00,8.1,755.2,762.2,,28,Wind blowing from the west,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,14.5,,,2500 or more  or no clouds.,,,30.0,-9.3,No precipitation,12,,,,
14.03.2020 23:00,8.4,755.8,762.8,,34,Wind blowing from the south-west,2,,,, ,,,3.5,14.5,,,,,,22.0,-6.5,No precipitation,6,,,,
14.03.2020 20:00,10.7,755.7,762.8,1.4,25,Wind blowing from the north,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,14.5,,,,,,25.0,-8.5,No precipitation,12,,,,
14.03.2020 17:00,12.8,754.3,761.4,,23,Wind blowing from the north-west,6,,14,no clouds, ,,,3.5,14.5,,,,,,29.0,-7.8,No precipitation,6,,,,
14.03.2020 14:00,14.0,754.8,761.8,-2.8,18,Wind blowing from the west-northwest,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,14.4,,,,,,23.0,-9.9,No precipitation,12,,,,
14.03.2020 11:00,11.3,757.6,764.7,,44,Wind blowing from the west-northwest,5,,9,no clouds, ,,,3.5,11.5,,,,,,10.0,-0.5,No precipitation,6,,,,
14.03.2020 08:00,7.0,759.0,766.2,,63,Wind blowing from the west-southwest,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,9.0,,,,,,9.0,0.4,No precipitation,12,,,,
14.03.2020 05:00,4.1,759.6,766.8,,59,Wind blowing from the north-west,2,,6,, ,,,3.5,9.0,,,,,,21.0,-3.2,No precipitation,6,,,,
14.03.2020 02:00,4.6,761.0,768.2,,51,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,9.0,,,2500 or more  or no clouds.,,,15.0,-4.7,No precipitation,12,,,,
13.03.2020 23:00,4.3,762.6,769.8,,37,Wind blowing from the west,2,,,, ,,,4.3,9.0,,,,,,27.0,-9.1,No precipitation,6,,,,
13.03.2020 20:00,6.3,762.7,769.9,0.4,32,Wind blowing from the north-west,2,,10,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,9.8,,,2500 or more  or no clouds.,,,30.0,-9.2,No precipitation,12,,,,
13.03.2020 17:00,7.2,762.3,769.5,,27,Wind blowing from the north-northwest,3,,10,70 – 80%., ,,,6.4,,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,6,,,,
13.03.2020 14:00,7.2,763.0,770.2,,22,Wind blowing from the north,3,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
13.03.2020 11:00,7.8,764.3,771.5,,31,Wind blowing from the north-northwest,7,,12,20–30%., ,,,6.4,11.3,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,6,,,,
13.03.2020 08:00,6.9,763.9,771.1,1.9,29,Wind blowing from the north-east,4,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,11.3,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
13.03.2020 05:00,6.7,762.0,769.2,,49,Wind blowing from the north-east,6,,12,, ,,,6.7,11.3,,,,,,29.0,-3.3,No precipitation,6,,,,
13.03.2020 02:00,8.1,760.2,767.3,0.3,55,Wind blowing from the north-east,4,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.3,,,2500 or more  or no clouds.,,,5.0,-0.4,No precipitation,12,,,,
12.03.2020 23:00,8.5,759.9,767.0,,78,Wind blowing from the north-northwest,2,,,,Mist. ,,,7.1,11.3,,,,,,5.0,4.9,No precipitation,6,,,,
12.03.2020 20:00,9.6,757.6,764.7,,85,Wind blowing from the east-southeast,2,,10,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.3,,,2500 or more  or no clouds.,,,4.4,7.2,No precipitation,12,,,,
12.03.2020 17:00,9.2,755.0,762.1,,86,Wind blowing from the south-southeast,5,,10,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.3,,,2500 or more  or no clouds.,,,4.5,7.0,No precipitation,6,,,,
12.03.2020 14:00,10.4,755.2,762.2,,74,Wind blowing from the south,5,,10,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.3,,,,,,3.9,6.0,No precipitation,12,,,,
12.03.2020 11:00,10.3,756.7,763.8,,71,Wind blowing from the south,4,,10,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,10.9,,,,,,4.1,5.3,No precipitation,6,,,,
12.03.2020 08:00,8.1,756.5,763.6,0.4,83,Wind blowing from the south,5,,,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,,,,,,,3.8,5.4,No precipitation,12,,,,
12.03.2020 05:00,7.3,756.1,763.3,,85,Wind blowing from the south-southeast,4,,,,Mist. ,,,,,,,,,,4.7,4.9,No precipitation,6,,,,
12.03.2020 02:00,7.4,757.0,764.2,-0.4,83,Wind blowing from the south,3,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.9,,,2500 or more  or no clouds.,,,6.0,4.7,No precipitation,12,,,,
11.03.2020 23:00,7.6,757.4,764.5,,76,Wind blowing from the south,3,,,, ,,,,10.9,,,,,,9.0,3.6,No precipitation,6,,,,
11.03.2020 20:00,7.8,756.7,763.9,0.5,73,Wind blowing from the south-southeast,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,10.9,,,,,,11.0,3.3,No precipitation,12,,,,
11.03.2020 17:00,8.3,756.2,763.4,,74,Wind blowing from the south,4,,,no clouds, ,,,3.1,10.9,,,,,,14.0,3.8,No precipitation,6,,,,
11.03.2020 14:00,9.3,757.4,764.6,-1.7,61,Wind blowing from the south,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,10.9,,,,,,22.0,2.2,No precipitation,12,,,,
11.03.2020 11:00,9.6,759.1,766.2,,34,Wind blowing from the south,4,,6,no clouds, ,,,3.1,10.8,,,,,,30.0,-5.5,No precipitation,6,,,,
11.03.2020 08:00,6.5,758.8,766.0,,41,Wind blowing from the south,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,10.8,,,,,,30.0,-5.8,No precipitation,12,,,,
11.03.2020 05:00,3.3,758.1,765.3,,70,Wind blowing from the north-east,1,,12,, ,,,3.0,10.8,,,,,,27.0,-1.8,No precipitation,6,,,,
11.03.2020 02:00,3.3,758.8,766.0,0.2,60,Wind blowing from the west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,10.8,,,2500 or more  or no clouds.,,,23.0,-3.7,No precipitation,12,,,,
10.03.2020 23:00,5.4,758.6,765.8,,40,Wind blowing from the north,2,,,, ,,,3.0,10.8,,,,,,28.0,-7.4,No precipitation,6,,,,
10.03.2020 20:00,7.3,757.3,764.5,,40,Wind blowing from the north-northwest,5,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,10.8,,,,,,24.0,-5.4,No precipitation,12,,,,
10.03.2020 17:00,9.7,755.8,762.9,,43,Wind blowing from the north-northwest,8,,14,20–30%., ,,,3.0,10.8,,,2500 or more  or no clouds.,,,19.0,-2.3,No precipitation,6,,,,
10.03.2020 14:00,10.5,756.1,763.2,,37,Wind blowing from the north-northwest,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,10.6,,,,,,16.0,-3.6,No precipitation,12,,,,
10.03.2020 11:00,6.9,756.7,763.9,,68,Wind blowing from the north-west,8,,,no clouds, ,,,,,,,,,,7.0,1.4,,,,,,
10.03.2020 08:00,3.4,756.7,763.9,0.6,71,Wind blowing from the north-west,6,,12,20–30%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.0,9.6,,,2500 or more  or no clouds.,,,21.0,-1.4,Trace of precipitation,12,,,,
10.03.2020 05:00,3.3,756.1,763.3,,85,Wind blowing from the north-west,7,,12,,Mist. ,,,3.3,9.6,,,,,,6.0,1.0,No precipitation,6,,,,
10.03.2020 02:00,4.2,755.8,763.0,,92,Wind blowing from the north-northwest,6,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,9.6,,,2500 or more  or no clouds.,,,3.0,3.0,No precipitation,12,,,,
09.03.2020 20:00,7.7,754.9,762.0,1.2,85,Wind blowing from the north-northwest,5,,8,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,9.6,,,2500 or more  or no clouds.,,,5.0,5.3,Trace of precipitation,12,,,,
09.03.2020 17:00,8.8,753.7,760.8,,87,Wind blowing from the north-northwest,3,,6,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,9.6,,,2500 or more  or no clouds.,,,5.0,6.8,No precipitation,6,,,,
09.03.2020 14:00,8.8,753.2,760.3,-1.4,88,Wind blowing from the north-northwest,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,10.1,,,2500 or more  or no clouds.,,,5.0,6.9,Trace of precipitation,12,,,,
09.03.2020 11:00,8.6,754.6,761.8,,86,Wind blowing from the north-northwest,3,,9,100%., ,,,6.9,10.5,,,2500 or more  or no clouds.,,,7.0,6.4,No precipitation,6,,,,
09.03.2020 08:00,8.6,754.2,761.3,1.0,84,Wind blowing from the north,1,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,10.5,,,2500 or more  or no clouds.,,,11.0,6.1,Trace of precipitation,12,,,,
09.03.2020 05:00,7.8,753.2,760.3,,88,Wind blowing from the east-southeast,4,,9,, ,,,5.2,,,,,,,16.0,5.9,No precipitation,6,,,,
09.03.2020 02:00,7.6,754.3,761.3,,85,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,10.5,,,2500 or more  or no clouds.,,,27.0,5.2,No precipitation,12,,,,
08.03.2020 23:00,6.9,755.5,762.7,,89,Wind blowing from the east-southeast,4,,,, ,,,5.2,10.5,,,,,,19.0,5.2,No precipitation,6,,,,
08.03.2020 20:00,7.6,755.7,762.8,0.9,88,Wind blowing from the south-east,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,10.5,,,2500 or more  or no clouds.,,,19.0,5.7,No precipitation,12,,,,
08.03.2020 17:00,8.2,754.8,761.9,,89,Wind blowing from the south-east,2,,,100%., ,,,5.2,10.5,,,2500 or more  or no clouds.,,,14.0,6.5,No precipitation,6,,,,
08.03.2020 14:00,10.0,755.8,762.9,-1.6,74,Wind blowing from the south,2,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,10.5,,,2500 or more  or no clouds.,,,20.0,5.6,No precipitation,12,,,,
08.03.2020 11:00,8.5,757.4,764.5,,82,Wind blowing from the south-east,4,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,9.0,5.6,,,,,,
08.03.2020 08:00,5.8,757.4,764.5,,98,Wind blowing from the south-southeast,3,,6,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,,,,2500 or more  or no clouds.,,,2.8,5.5,No precipitation,12,,,,
08.03.2020 05:00,5.3,756.8,763.9,,98,Wind blowing from the south-east,2,,5,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,5.3,10.8,,,,,,0.2,5.0,No precipitation,6,,,,
08.03.2020 02:00,6.2,757.0,764.1,-0.3,98,Wind blowing from the south-southeast,2,,7,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,10.8,,,2500 or more  or no clouds.,,,0.2,5.9,No precipitation,12,,,,
07.03.2020 23:00,7.0,757.3,764.5,,94,Wind blowing from the south-east,2,,,,Mist. ,,,6.5,10.8,,,,,,2.8,6.1,No precipitation,6,,,,
07.03.2020 20:00,7.5,756.7,763.8,1.0,89,Wind blowing from the south-southwest,1,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,10.8,,,2500 or more  or no clouds.,,,1.5,5.8,0.8,12,,,,
07.03.2020 17:00,9.0,755.7,762.8,,84,Wind blowing from the north-northwest,3,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,10.8,,,2500 or more  or no clouds.,,,1.9,6.4,No precipitation,6,,,,
07.03.2020 14:00,10.1,755.4,762.5,-0.5,77,Wind blowing from the north-northwest,3,,7,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,10.8,,,2500 or more  or no clouds.,,,3.9,6.3,1.0,12,,,,
07.03.2020 11:00,10.2,755.9,763.0,,82,Wind blowing from the south-west,1,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,10.2,,,2500 or more  or no clouds.,,,7.0,7.3,1.0,6,,,,
07.03.2020 08:00,6.9,755.7,762.8,1.2,95,Wind blowing from the north-east,1,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,7.5,,,2500 or more  or no clouds.,,,5.0,6.2,0.8,12,,,,
07.03.2020 05:00,6.8,754.5,761.6,,94,Wind blowing from the south-southeast,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,,7.5,,,,,,7.0,5.9,0.2,6,,,,
07.03.2020 02:00,6.7,755.1,762.2,,91,Wind blowing from the south-southeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,7.5,,,2500 or more  or no clouds.,,,11.0,5.3,0.2,12,,,,
06.03.2020 23:00,6.6,756.2,763.3,,89,Wind blowing from the south,3,,,, ,,,,7.5,,,,,,14.0,4.9,No precipitation,6,,,,
06.03.2020 20:00,6.4,755.8,763.0,0.1,85,Wind blowing from the south-southeast,5,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,7.5,,,2500 or more  or no clouds.,,,20.0,4.1,No precipitation,12,,,,
06.03.2020 17:00,6.4,755.7,762.9,,81,Wind blowing from the south-southeast,5,,10,90  or more  but not 100%, ,,,4.1,7.5,,,,,,19.0,3.4,No precipitation,6,,,,
06.03.2020 14:00,6.8,756.3,763.5,-2.2,78,Wind blowing from the south,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,7.5,,,2500 or more  or no clouds.,,,20.0,3.2,No precipitation,12,,,,
06.03.2020 11:00,7.0,758.5,765.7,,73,Wind blowing from the south,5,,,90  or more  but not 100%, ,,,3.8,7.5,,,,,,29.0,2.5,No precipitation,6,,,,
06.03.2020 08:00,5.9,759.2,766.4,,73,Wind blowing from the south,5,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,5.9,,,2500 or more  or no clouds.,,,21.0,1.4,No precipitation,12,,,,
06.03.2020 05:00,4.9,759.1,766.3,,79,Wind blowing from the south-southwest,2,,8,, ,,,,5.4,,,,,,15.0,1.6,No precipitation,6,,,,
06.03.2020 02:00,5.0,759.7,766.9,-0.8,80,Wind blowing from the south-southwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,5.4,,,2500 or more  or no clouds.,,,15.0,1.8,No precipitation,12,,,,
05.03.2020 23:00,4.6,760.5,767.8,,76,Wind blowing from the south,3,,,, ,,,,5.4,,,,,,22.0,0.7,No precipitation,6,,,,
05.03.2020 20:00,4.3,761.4,768.7,0.1,68,Wind blowing from the south,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,5.4,,,,,,30.0,-1.1,No precipitation,12,,,,
05.03.2020 17:00,4.5,761.3,768.7,,59,Wind blowing from the south,5,,,no clouds, ,,,-1.7,5.4,,,,,,30.0,-3.0,No precipitation,6,,,,
05.03.2020 14:00,5.0,763.0,770.3,-2.5,53,Wind blowing from the south,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,6.4,,,,,,30.0,-4.0,No precipitation,12,,,,
05.03.2020 11:00,4.3,765.5,772.9,,54,Wind blowing from the south,4,,7,no clouds, ,,,-1.7,6.4,,,,,,29.0,-4.2,No precipitation,6,,,,
05.03.2020 08:00,0.5,766.1,773.5,0.5,73,Wind blowing from the west-northwest,1,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,6.4,,,2500 or more  or no clouds.,,,12.0,-3.8,No precipitation,12,,,,
05.03.2020 05:00,-1.4,765.6,772.9,,52,Wind blowing from the east-southeast,1,,13,, ,,,-1.7,6.4,,,,,,29.0,-10.2,No precipitation,6,,,,
05.03.2020 02:00,-1.0,766.0,773.4,,51,Wind blowing from the north-northwest,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,6.4,,,2500 or more  or no clouds.,,,28.0,-9.9,No precipitation,12,,,,
04.03.2020 23:00,-0.4,766.6,774.0,,56,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,26.0,-8.3,,,,,,
04.03.2020 20:00,1.8,766.6,774.0,1.7,49,Wind blowing from the north-northwest,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,6.4,,,,,,30.0,-7.8,No precipitation,12,,,,
04.03.2020 17:00,4.4,764.9,772.3,,44,Wind blowing from the north-northwest,7,,13,no clouds, ,,,1.1,8.2,,,,,,28.0,-6.8,No precipitation,6,,,,
04.03.2020 14:00,6.0,764.8,772.0,-1.2,46,Wind blowing from the north-west,6,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,8.8,,,2500 or more  or no clouds.,,,19.0,-5.0,No precipitation,12,,,,
04.03.2020 11:00,3.9,766.0,773.3,,54,Wind blowing from the north,4,,8,20–30%., ,,,1.1,,,,2500 or more  or no clouds.,,,13.0,-4.6,No precipitation,6,,,,
04.03.2020 08:00,1.8,765.5,772.8,1.7,73,Wind blowing from the north,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,9.4,,,,,,9.0,-2.5,No precipitation,12,,,,
04.03.2020 05:00,2.1,763.8,771.1,,69,Wind blowing from the north-northwest,4,,10,, ,,,2.1,9.4,,,,,,22.0,-3.0,No precipitation,6,,,,
04.03.2020 02:00,3.5,763.1,770.3,-0.5,57,Wind blowing from the north-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,9.4,,,2500 or more  or no clouds.,,,30.0,-4.4,No precipitation,12,,,,
03.03.2020 23:00,4.2,763.6,770.8,,49,Wind blowing from the north-northwest,4,,,, ,,,3.8,9.4,,,,,,29.0,-5.8,No precipitation,6,,,,
03.03.2020 20:00,6.2,762.4,769.6,,51,Wind blowing from the north,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,9.4,,,2500 or more  or no clouds.,,,22.0,-3.2,No precipitation,12,,,,
03.03.2020 17:00,8.2,760.7,767.9,,46,Wind blowing from the north,5,,8,100%., ,,,3.6,9.4,,,2500 or more  or no clouds.,,,15.0,-2.7,No precipitation,6,,,,
03.03.2020 14:00,8.8,760.0,767.2,-1.8,54,Wind blowing from the north-west,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,9.4,,,2500 or more  or no clouds.,,,9.0,0.0,No precipitation,12,,,,
03.03.2020 11:00,7.4,761.8,769.0,,61,Wind blowing from the south-southwest,2,,,100%., ,,,,,,,2500 or more  or no clouds.,,,11.0,0.4,,,,,,
03.03.2020 08:00,5.2,761.8,769.1,0.1,74,Wind blowing from the south,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,6.4,,,,,,23.0,0.8,No precipitation,12,,,,
03.03.2020 05:00,3.9,761.7,769.0,,74,Wind blowing from the south-southwest,2,,7,, ,,,,,,,,,,19.0,-0.3,No precipitation,6,,,,
03.03.2020 02:00,4.0,762.2,769.5,-0.8,70,Wind blowing from the south-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,6.4,,,2500 or more  or no clouds.,,,21.0,-1.0,No precipitation,12,,,,
02.03.2020 23:00,4.0,763.0,770.3,,65,Wind blowing from the south,3,,,, ,,,,,,,,,,18.0,-2.0,,,,,,
02.03.2020 20:00,3.6,763.0,770.4,0.1,61,Wind blowing from the south-southeast,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,6.4,,,,,,19.0,-3.4,No precipitation,12,,,,
