Local time in Anqing,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 14:00,22.4,757.6,763.3,-2.1,33,Wind blowing from the south-southeast,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.4,,,,,,20.0,5.4,No precipitation,12,,,,
17.03.2020 11:00,19.9,759.7,765.4,,52,Wind blowing from the south-east,2,,4,no clouds, ,,,10.3,20.7,,,,,,9.0,9.8,No precipitation,6,,,,
17.03.2020 08:00,13.4,760.0,765.7,,83,Wind blowing from the north-east,1,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,20.7,,,2500 or more  or no clouds.,,,8.0,10.6,No precipitation,12,,,,
17.03.2020 05:00,12.4,758.8,764.5,,77,Wind blowing from the north-east,1,,,, ,,,9.6,20.7,,,,,,9.0,8.5,No precipitation,6,,,,
17.03.2020 02:00,13.3,759.4,765.1,,79,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,20.7,,,2500 or more  or no clouds.,,,8.0,9.7,No precipitation,12,,,,
16.03.2020 23:00,14.8,760.3,766.0,,69,Wind blowing from the north-west,2,,4,, ,,,9.2,20.7,,,,,,9.0,9.2,No precipitation,6,,,,
16.03.2020 20:00,16.3,760.2,765.9,,60,Wind blowing from the north-west,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,20.7,,,2500 or more  or no clouds.,,,13.0,8.5,No precipitation,12,,,,
16.03.2020 17:00,18.8,759.1,764.8,,42,Wind blowing from the north-northwest,1,,6,100%., ,,,9.2,20.7,,,2500 or more  or no clouds.,,,18.0,5.6,No precipitation,6,,,,
16.03.2020 14:00,20.1,759.4,765.1,,33,Wind blowing from the west-southwest,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,20.7,,,2500 or more  or no clouds.,,,23.0,3.3,No precipitation,12,,,,
16.03.2020 11:00,19.1,761.0,766.7,,39,Wind blowing from the south,2,,6,70 – 80%., ,,,9.2,20.4,,,2500 or more  or no clouds.,,,20.0,4.8,No precipitation,6,,,,
16.03.2020 08:00,12.3,761.2,767.0,,70,Wind blowing from the west-northwest,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,20.4,,,2500 or more  or no clouds.,,,12.0,7.0,No precipitation,12,,,,
16.03.2020 05:00,9.7,760.3,766.0,,72,Wind blowing from the north-east,1,,5,, ,,,6.4,20.4,,,,,,15.0,4.9,No precipitation,6,,,,
16.03.2020 02:00,10.3,760.6,766.3,,71,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.4,,,2500 or more  or no clouds.,,,15.0,5.3,No precipitation,12,,,,
15.03.2020 23:00,12.9,760.8,766.5,,58,Wind blowing from the east-northeast,1,,9,, ,,,6.4,20.4,,,,,,15.0,4.8,No precipitation,6,,,,
15.03.2020 20:00,15.6,759.5,765.3,,41,Wind blowing from the north-east,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.4,,,2500 or more  or no clouds.,,,18.0,2.4,No precipitation,12,,,,
15.03.2020 17:00,19.7,758.2,763.9,,34,Wind blowing from the south-southeast,3,,9,no clouds, ,,,6.4,20.4,,,,,,21.0,3.4,No precipitation,6,,,,
15.03.2020 14:00,20.3,758.8,764.5,-2.6,33,Wind blowing from the south-southeast,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,20.4,,,,,,19.0,3.5,No precipitation,12,,,,
15.03.2020 11:00,17.5,761.4,767.2,,53,Wind blowing from the east,3,,4,no clouds, ,,,6.4,17.5,,,,,,12.0,7.8,No precipitation,6,,,,
15.03.2020 08:00,9.0,761.7,767.5,1.1,88,Wind blowing from the north-east,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,16.7,,,,,,11.0,7.1,No precipitation,12,,,,
15.03.2020 05:00,7.6,760.6,766.4,,85,Wind blowing from the east-northeast,1,,6,, ,,,5.2,16.7,,,,,,13.0,5.2,No precipitation,6,,,,
15.03.2020 02:00,7.9,761.2,766.9,,77,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,16.7,,,2500 or more  or no clouds.,,,15.0,4.1,No precipitation,12,,,,
14.03.2020 23:00,9.8,761.4,767.2,,68,Wind blowing from the west,2,,8,, ,,,5.2,16.7,,,,,,16.0,4.2,No precipitation,6,,,,
14.03.2020 20:00,12.5,760.3,766.1,0.4,52,Wind blowing from the north-east,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,16.7,,,,,,17.0,2.9,No precipitation,12,,,,
14.03.2020 17:00,15.8,759.9,765.7,,46,Wind blowing from the south,4,,8,no clouds, ,,,5.2,16.7,,,,,,20.0,4.2,No precipitation,6,,,,
14.03.2020 14:00,16.1,761.0,766.8,-2.8,46,Wind blowing from the south-southeast,3,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,16.7,,,1500-2000,,,18.0,4.5,No precipitation,12,,,,
14.03.2020 11:00,13.6,763.8,769.6,,58,Wind blowing from the south,2,,11,no clouds, ,,,5.2,16.7,,,,,,15.0,5.3,No precipitation,6,,,,
14.03.2020 08:00,6.9,764.3,770.2,0.7,90,Wind blowing from the south-west,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,,,,,,,9.0,5.4,No precipitation,12,,,,
14.03.2020 05:00,5.9,763.6,769.4,,90,Wind blowing from the north-northeast,3,,19,, ,,,5.9,16.7,,,,,,11.0,4.4,No precipitation,6,,,,
14.03.2020 02:00,7.0,764.7,770.5,,86,Wind blowing from the east-northeast,1,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,16.7,,,2500 or more  or no clouds.,,,12.0,4.8,No precipitation,12,,,,
13.03.2020 23:00,8.7,764.7,770.5,,86,Wind blowing from the north-east,6,,19,, ,,,8.7,16.7,,,,,,9.0,6.5,No precipitation,6,,,,
13.03.2020 20:00,9.5,763.6,769.5,1.6,86,Wind blowing from the north-northeast,5,,19,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.7,,,300-600,,,12.0,7.3,No precipitation,12,,,,
13.03.2020 17:00,11.7,762.0,767.8,,86,Wind blowing from the north-northeast,8,,13,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.7,,,300-600,,,5.0,9.4,No precipitation,6,,,,
13.03.2020 14:00,16.0,760.6,766.3,-0.7,73,Wind blowing from the north-northeast,6,,10,100%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.7,,,600-1000,,,7.0,11.2,No precipitation,12,,,,
13.03.2020 11:00,14.6,761.3,767.1,,81,Wind blowing from the north-northeast,4,,8,100%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.9,,,300-600,,,10.0,11.4,No precipitation,6,,,,
13.03.2020 08:00,10.0,760.6,766.4,,99,Wind blowing from the west,1,,3,100%.,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.9,,,Less than  50,,,0.3,9.9,No precipitation,12,,,,
13.03.2020 05:00,9.8,758.8,764.5,,99,Wind blowing from the west-southwest,1,,5,,Mist. ,,,9.6,16.9,,,,,,1.7,9.7,No precipitation,6,,,,
13.03.2020 02:00,10.8,758.7,764.5,0.1,98,Wind blowing from the west,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,16.9,,,2500 or more  or no clouds.,,,5.0,10.5,0.4,12,,,,
12.03.2020 23:00,12.1,758.6,764.3,,95,Wind blowing from the north-northwest,1,,5,, ,,,9.7,16.9,,,,,,8.0,11.3,No precipitation,6,,,,
12.03.2020 20:00,12.6,757.3,763.1,,93,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,16.9,,,600-1000,,,8.0,11.5,0.4,12,,,,
12.03.2020 17:00,13.9,755.7,761.4,,90,Wind blowing from the east-southeast,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,17.5,,,,,,10.0,12.3,0.4,6,,,,
12.03.2020 14:00,15.4,756.0,761.7,-1.0,69,Wind blowing from the south-southeast,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,18.6,,,1000-1500,,,17.0,9.7,Trace of precipitation,12,,,,
12.03.2020 11:00,16.4,757.0,762.7,,58,Wind blowing from the south-east,3,,5,90  or more  but not 100%, ,,,9.7,18.6,,,1000-1500,,,12.0,8.1,No precipitation,6,,,,
12.03.2020 08:00,11.2,757.8,763.5,0.8,83,Wind blowing from the north-east,1,,2,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,18.6,,,2500 or more  or no clouds.,,,8.0,8.4,No precipitation,12,,,,
12.03.2020 05:00,11.5,757.0,762.7,,75,Wind blowing from the north-northwest,1,,3,, ,,,5.3,18.6,,,,,,10.0,7.2,No precipitation,6,,,,
12.03.2020 02:00,12.4,757.6,763.3,,64,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.6,,,2500 or more  or no clouds.,,,12.0,5.8,No precipitation,12,,,,
11.03.2020 23:00,13.5,758.5,764.2,,61,Wind blowing from the east-northeast,2,,6,, ,,,5.3,18.6,,,,,,13.0,6.1,No precipitation,6,,,,
11.03.2020 20:00,15.2,758.6,764.4,1.1,55,Wind blowing from the east-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.6,,,2500 or more  or no clouds.,,,13.0,6.2,No precipitation,12,,,,
11.03.2020 17:00,17.6,757.5,763.3,,44,Wind blowing from the south-east,2,,6,90  or more  but not 100%, ,,,5.3,18.6,,,2500 or more  or no clouds.,,,17.0,5.2,No precipitation,6,,,,
11.03.2020 14:00,18.1,758.8,764.5,-2.7,36,Wind blowing from the east-southeast,4,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.3,,,2500 or more  or no clouds.,,,15.0,2.8,No precipitation,12,,,,
11.03.2020 11:00,14.6,761.5,767.2,,64,Wind blowing from the east-southeast,3,,4,90  or more  but not 100%, ,,,5.3,15.2,,,2500 or more  or no clouds.,,,8.0,7.9,No precipitation,6,,,,
11.03.2020 08:00,7.0,761.2,767.0,0.9,99,Wind blowing from the north,0,,2,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,15.2,,,,,,2.2,6.9,No precipitation,12,,,,
11.03.2020 05:00,6.1,760.3,766.1,,97,Wind blowing from the north-northwest,1,,6,,Mist. ,,,6.1,15.2,,,,,,2.6,5.7,No precipitation,6,,,,
11.03.2020 02:00,7.2,760.9,766.7,-0.3,94,Wind blowing from the south-southwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,15.2,,,2500 or more  or no clouds.,,,3.9,6.3,No precipitation,12,,,,
10.03.2020 23:00,9.7,761.2,766.9,,87,Wind blowing from the south,1,,7,,Mist. ,,,9.4,15.2,,,,,,5.0,7.6,No precipitation,6,,,,
10.03.2020 20:00,11.7,760.3,766.0,,76,Wind blowing from the south-west,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,15.2,,,1000-1500,,,7.0,7.6,No precipitation,12,,,,
10.03.2020 17:00,12.9,759.8,765.6,,67,Wind blowing from the east-southeast,4,,8,70 – 80%., ,,,9.4,15.2,,,2000-2500,,,8.0,6.9,No precipitation,6,,,,
10.03.2020 14:00,15.2,760.2,766.0,-0.9,55,Wind blowing from the east-northeast,2,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,15.2,,,1000-1500,,,10.0,6.2,No precipitation,12,,,,
10.03.2020 11:00,12.8,761.1,766.9,,67,Wind blowing from the north-northeast,4,,8,60%., ,,,9.4,13.6,,,600-1000,,,9.0,6.8,No precipitation,6,,,,
10.03.2020 08:00,9.5,760.2,766.0,1.9,91,Wind blowing from the north,4,,14,70 – 80%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,12.2,,,300-600,,,4.7,8.1,1.0,12,,,,
10.03.2020 05:00,9.5,758.3,764.1,,92,Wind blowing from the north-northeast,4,,14,,Mist. ,,,9.5,12.2,,,,,,4.0,8.3,No precipitation,6,,,,
10.03.2020 02:00,9.6,758.8,764.6,,91,Wind blowing from the north-east,3,,14,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,12.2,,,2500 or more  or no clouds.,,,4.1,8.2,1.0,12,,,,
09.03.2020 20:00,11.8,756.6,762.4,2.7,74,Wind blowing from the north-northwest,5,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,12.4,,,2000-2500,,,5.0,7.3,0.8,12,,,,
09.03.2020 17:00,12.0,753.9,759.6,,80,Wind blowing from the north-northeast,4,,15,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,600-1000,,,7.0,8.7,0.4,6,,,,
09.03.2020 14:00,11.6,752.8,758.5,-0.4,93,Wind blowing from the north-east,3,,15,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,300-600,,,7.0,10.5,3.0,12,,,,
09.03.2020 11:00,11.6,753.2,758.9,,96,Wind blowing from the north-east,3,,15,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,200-300,,,7.0,11.0,0.7,6,,,,
09.03.2020 08:00,11.3,751.6,757.3,2.2,96,Wind blowing from the east-northeast,3,,15,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,200-300,,,13.0,10.7,11.0,12,,,,
09.03.2020 05:00,11.4,749.4,755.1,,97,Wind blowing from the north-east,8,,14,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.9,15.5,,,,,,3.8,10.9,4.0,6,,,,
09.03.2020 02:00,12.1,750.3,756.0,,98,Wind blowing from the north-east,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,15.5,,,2500 or more  or no clouds.,,,3.7,11.8,21.0,12,,,,
08.03.2020 23:00,11.9,750.6,756.3,,99,Wind blowing from the north-northwest,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.9,15.5,,,,,,2.1,11.7,18.0,6,,,,
08.03.2020 20:00,12.4,750.2,755.9,,95,Wind blowing from the south-west,1,,6,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,15.5,,,200-300,,,2.4,11.6,12.0,12,,,,
08.03.2020 17:00,13.5,749.8,755.5,,91,Wind blowing from the north-northwest,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,17.5,,,1000-1500,,,4.1,12.1,0.2,6,,,,
08.03.2020 14:00,14.9,751.0,756.7,-3.0,76,Wind blowing from the north-northeast,3,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.2,,,1000-1500,,,8.0,10.7,Trace of precipitation,12,,,,
08.03.2020 11:00,13.9,754.0,759.7,,79,Wind blowing from the east-northeast,2,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.2,,,,,,6.0,10.3,No precipitation,6,,,,
08.03.2020 08:00,11.3,753.8,759.5,,89,Wind blowing from the east,1,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.2,,,1000-1500,,,5.0,9.6,No precipitation,12,,,,
08.03.2020 05:00,10.0,753.4,759.1,,92,Wind blowing from the west-southwest,2,,6,,Mist. ,,,9.9,18.2,,,,,,5.0,8.8,No precipitation,6,,,,
08.03.2020 02:00,11.0,754.9,760.6,-0.6,89,Wind blowing from the west-southwest,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.2,,,2500 or more  or no clouds.,,,6.0,9.3,No precipitation,12,,,,
07.03.2020 23:00,13.3,755.5,761.2,,75,Wind blowing from the north-northeast,3,,9,, ,,,9.9,18.2,,,,,,11.0,9.0,No precipitation,6,,,,
07.03.2020 20:00,14.6,755.8,761.5,,69,Wind blowing from the north-east,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,18.2,,,,,,15.0,9.0,No precipitation,12,,,,
07.03.2020 17:00,17.5,755.0,760.7,,54,Wind blowing from the east-southeast,3,,9,no clouds, ,,,9.8,18.2,,,,,,20.0,8.1,No precipitation,6,,,,
07.03.2020 14:00,17.1,755.6,761.3,-1.8,61,Wind blowing from the south-east,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,17.4,,,600-1000,,,17.0,9.5,No precipitation,12,,,,
07.03.2020 11:00,15.2,757.4,763.2,,73,Wind blowing from the north-northeast,4,,6,no clouds, ,,,9.8,15.2,,,,,,13.0,10.4,No precipitation,6,,,,
07.03.2020 08:00,10.3,757.6,763.3,1.8,99,Wind blowing from the west-southwest,1,,2,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,50-100,,,3.7,10.1,No precipitation,12,,,,
07.03.2020 05:00,10.3,755.8,761.6,,99,Wind blowing from the south-southwest,1,,2,,Mist. ,,,,,,,,,,1.6,10.1,No precipitation,6,,,,
07.03.2020 02:00,10.1,756.0,761.8,-0.4,99,Wind blowing from the east,1,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,1.7,9.9,0.8,12,,,,
06.03.2020 23:00,9.9,756.4,762.1,,99,Wind blowing from the north,1,,3,,Mist. ,,,,11.3,,,,,,1.1,9.8,0.3,6,,,,
06.03.2020 20:00,9.9,756.2,762.0,0.7,99,Wind blowing from the north-west,1,,3,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,11.3,,,50-100,,,1.4,9.8,1.0,12,,,,
06.03.2020 17:00,10.0,755.5,761.2,,98,Wind blowing from the east-southeast,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,15.4,,,50-100,,,2.3,9.7,1.0,6,,,,
06.03.2020 14:00,10.0,755.6,761.5,-2.2,94,Wind blowing from the east,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,16.1,,,300-600,,,3.2,9.1,0.5,12,,,,
06.03.2020 11:00,11.1,757.8,763.6,,69,Wind blowing from the west-southwest,1,,3,100%., ,,,6.4,16.1,,,600-1000,,,10.0,5.6,No precipitation,6,,,,
06.03.2020 08:00,8.4,757.9,763.7,,79,Wind blowing from the east-northeast,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,16.1,,,1000-1500,,,10.0,5.0,No precipitation,12,,,,
06.03.2020 05:00,7.7,757.9,763.6,,76,Wind blowing from the south,1,,5,, ,,,5.5,16.1,,,,,,11.0,3.7,No precipitation,6,,,,
06.03.2020 02:00,6.8,759.1,764.9,-0.9,78,Wind blowing from the south-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,16.1,,,2500 or more  or no clouds.,,,11.0,3.1,No precipitation,12,,,,
05.03.2020 23:00,7.9,760.0,765.8,,75,Wind blowing from the west,2,,6,, ,,,5.5,16.1,,,,,,11.0,3.6,No precipitation,6,,,,
05.03.2020 20:00,11.4,760.1,766.0,,53,Wind blowing from the south,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,16.1,,,,,,14.0,2.2,No precipitation,12,,,,
05.03.2020 17:00,15.4,760.0,765.7,,41,Wind blowing from the north-northeast,3,,7,no clouds, ,,,5.5,16.1,,,,,,16.0,2.2,No precipitation,6,,,,
05.03.2020 14:00,14.9,761.5,767.2,-3.2,40,Wind blowing from the east-northeast,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,15.2,,,,,,13.0,1.4,No precipitation,12,,,,
05.03.2020 11:00,11.8,764.7,770.5,,57,Wind blowing from the north-northeast,2,,7,no clouds, ,,,5.5,14.1,,,,,,11.0,3.6,No precipitation,6,,,,
05.03.2020 08:00,6.5,764.8,770.7,0.4,83,Wind blowing from the north-northeast,3,,7,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,14.1,,,,,,7.0,3.8,No precipitation,12,,,,
05.03.2020 05:00,6.3,764.4,770.2,,83,Wind blowing from the north-northeast,2,,8,,Mist. ,,,5.8,14.1,,,,,,5.0,3.6,No precipitation,6,,,,
05.03.2020 02:00,8.2,764.6,770.5,,70,Wind blowing from the north-east,4,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,14.1,,,2500 or more  or no clouds.,,,7.0,2.9,No precipitation,12,,,,
04.03.2020 23:00,9.9,765.0,770.8,,65,Wind blowing from the north-east,2,,9,, ,,,7.8,14.1,,,,,,7.0,3.6,No precipitation,6,,,,
04.03.2020 20:00,10.7,764.5,770.3,0.8,64,Wind blowing from the north-northeast,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,14.1,,,1000-1500,,,10.0,4.0,No precipitation,12,,,,
04.03.2020 17:00,12.9,763.7,769.6,,55,Wind blowing from the north-northeast,4,,9,100%., ,,,7.8,14.1,,,1000-1500,,,11.0,4.1,No precipitation,6,,,,
04.03.2020 14:00,13.4,763.7,769.6,,54,Wind blowing from the north-northeast,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,14.1,,,1000-1500,,,11.0,4.3,No precipitation,12,,,,
04.03.2020 11:00,11.8,765.1,771.0,,60,Wind blowing from the north-northeast,5,,9,90  or more  but not 100%, ,,,7.1,11.9,,,2500 or more  or no clouds.,,,10.0,4.3,No precipitation,6,,,,
04.03.2020 08:00,8.4,764.8,770.6,1.3,76,Wind blowing from the north-northeast,3,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,9.8,,,2500 or more  or no clouds.,,,9.0,4.4,Trace of precipitation,12,,,,
04.03.2020 05:00,8.2,763.5,769.3,,73,Wind blowing from the north-northeast,4,,9,, ,,,,9.8,,,,,,10.0,3.5,No precipitation,6,,,,
04.03.2020 02:00,8.7,763.8,769.6,0.2,71,Wind blowing from the north-northeast,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.8,,,2500 or more  or no clouds.,,,10.0,3.7,No precipitation,12,,,,
03.03.2020 23:00,9.5,763.6,769.5,,72,Wind blowing from the north-northeast,4,,7,, ,,,4.5,9.8,,,,,,8.0,4.7,No precipitation,6,,,,
03.03.2020 20:00,9.5,763.3,769.2,1.3,72,Wind blowing from the north-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,9.8,,,2000-2500,,,9.0,4.7,0.1,12,,,,
03.03.2020 17:00,9.6,762.0,767.8,,71,Wind blowing from the north-east,3,,8,100%., ,,,4.5,9.7,,,2000-2500,,,9.0,4.6,0.1,6,,,,
