Local time in Hong Kong (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.03.2020 11:00,22.9,761.3,762.0,0.8,78,Wind blowing from the east,5,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,,16.0,18.9,,,,,,
19.03.2020 08:00,21.7,760.5,761.2,1.4,80,Wind blowing from the east,5,,,90  or more  but not 100%, ,,,20.2,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,18.0,18.0,No precipitation,12,,,,
19.03.2020 05:00,21.4,759.1,759.7,-0.7,83,Wind blowing from the east-southeast,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,15.0,18.3,,,,,,
19.03.2020 02:00,20.9,759.8,760.4,-1.4,85,Wind blowing from the east-northeast,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,11.0,18.2,No precipitation,6,,,,
18.03.2020 23:00,20.4,761.2,761.9,0.8,87,Wind blowing from the east,2,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,300-600,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,12.0,18.1,,,,,,
18.03.2020 20:00,20.8,760.4,761.1,1.3,87,Wind blowing from the east,3,,,50%.,Clouds generally forming or developing. ,Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,22.9,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,300-600,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,14.0,18.6,7.0,12,,,,
18.03.2020 17:00,22.3,759.1,759.7,-1.8,80,Wind blowing from the east,5,,,70 – 80%.,Clouds generally dissolving or becoming less developed. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,20–30%.,300-600,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,23.0,18.7,,,,,,
18.03.2020 14:00,21.6,760.9,761.6,-3.0,85,Wind blowing from the east-southeast,3,,,90  or more  but not 100%,Thunderstorm (with or without precipitation). ,Thunderstorm(s) with or without precipitation.,Shower(s).,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,300-600,Altocumulus translucidus at a single level.,,18.0,18.9,7.0,6,,,,
18.03.2020 11:00,20.2,763.9,764.5,1.8,89,Wind blowing from the north-east,5,,,90  or more  but not 100%,Thunderstorm  slight or moderate  without hail  but with rain and/or snow at time of observation. ,Thunderstorm(s) with or without precipitation.,Shower(s).,,,Cumulonimbus capillatus (often with an anvil)  with or without Cumulonimbus calvus  Cumulus  Stratocumulus  Stratus or pannus.,90  or more  but not 100%,300-600,,,4.0,18.4,,,,,,
18.03.2020 08:00,21.1,762.1,762.8,1.0,73,Wind blowing from the east-northeast,4,,,90  or more  but not 100%, ,,,20.4,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,Altocumulus translucidus at a single level.,,14.0,16.1,No precipitation,12,,,,
18.03.2020 05:00,20.6,761.1,761.8,-1.3,77,Wind blowing from the east,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,,12.0,16.4,,,,,,
18.03.2020 02:00,20.6,762.4,763.0,-0.6,75,Wind blowing from the east-northeast,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,14.0,15.9,No precipitation,6,,,,
17.03.2020 23:00,20.8,763.0,763.6,0.0,72,Wind blowing from the east-northeast,6,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,16.0,15.6,,,,,,
17.03.2020 20:00,21.1,763.0,763.6,1.1,77,Wind blowing from the east-northeast,5,,,90  or more  but not 100%, ,,,,23.0,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,600-1000,Altocumulus translucidus at a single level.,,14.0,16.8,No precipitation,12,,,,
17.03.2020 17:00,21.9,761.9,762.6,-0.9,72,Wind blowing from the east,6,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,,16.0,16.7,,,,,,
17.03.2020 14:00,22.0,762.8,763.5,-1.9,72,Wind blowing from the north-east,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,,14.0,16.7,No precipitation,6,,,,
17.03.2020 11:00,19.9,764.7,765.4,0.5,82,Wind blowing from the east,7,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,,12.0,16.7,,,,,,
17.03.2020 08:00,20.4,764.2,764.9,1.2,74,Wind blowing from the east,7,,,90  or more  but not 100%, ,,,19.8,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,15.0,15.5,No precipitation,12,,,,
17.03.2020 05:00,20.0,763.0,763.6,-0.9,81,Wind blowing from the east,7,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,300-600,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,12.0,16.7,,,,,,
17.03.2020 02:00,20.4,763.9,764.6,-0.9,84,Wind blowing from the east,7,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,300-600,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,10.0,17.5,No precipitation,6,,,,
16.03.2020 23:00,21.0,764.8,765.4,0.8,80,Wind blowing from the east,6,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,11.0,17.3,,,,,,
16.03.2020 20:00,21.0,764.0,764.7,0.9,78,Wind blowing from the east,7,,,70 – 80%., ,,,,24.2,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,600-1000,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,11.0,16.9,No precipitation,12,,,,
16.03.2020 17:00,22.2,763.1,763.7,-0.5,63,Wind blowing from the east,5,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,600-1000,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,17.0,14.8,,,,,,
16.03.2020 14:00,23.2,763.6,764.2,-1.5,54,Wind blowing from the east,7,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,600-1000,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,18.0,13.3,No precipitation,6,,,,
16.03.2020 11:00,22.7,765.1,765.7,0.6,58,Wind blowing from the east,7,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,600-1000,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,17.0,14.1,,,,,,
16.03.2020 08:00,19.4,764.5,765.2,1.0,70,Wind blowing from the east,7,,,90  or more  but not 100%, ,,,18.8,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,600-1000,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,16.0,13.7,No precipitation,12,,,,
16.03.2020 05:00,19.0,763.5,764.2,-0.3,71,Wind blowing from the east,6,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,Altocumulus translucidus at a single level.,,16.0,13.6,,,,,,
16.03.2020 02:00,19.2,763.8,764.5,-0.5,75,Wind blowing from the east,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,13.0,14.7,No precipitation,6,,,,
15.03.2020 23:00,20.2,764.3,765.0,0.7,71,Wind blowing from the east,6,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,1000-1500,Altocumulus translucidus at a single level.,,13.0,14.8,,,,,,
15.03.2020 20:00,20.3,763.6,764.3,1.1,67,Wind blowing from the east,5,,,90  or more  but not 100%, ,,,,23.3,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,1000-1500,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,14.0,13.9,No precipitation,12,,,,
15.03.2020 17:00,21.4,762.5,763.2,-0.8,56,Wind blowing from the east,7,,,20–30%., ,,,,,No Stratocumulus  Stratus  Cumulus or Cumulonimbus.,10%  or less  but not 0,2500 or more  or no clouds.,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,14.0,12.3,,,,,,
15.03.2020 14:00,21.3,763.3,763.9,-2.1,55,Wind blowing from the west,3,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,Altocumulus translucidus at a single level.,,13.0,11.9,No precipitation,6,,,,
15.03.2020 11:00,21.7,765.4,766.0,0.4,51,Wind blowing from the north-east,3,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,1000-1500,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,13.0,11.2,,,,,,
15.03.2020 08:00,20.2,765.0,765.7,1.2,53,Wind blowing from the north-east,3,,,40%., ,,,19.3,,No Stratocumulus  Stratus  Cumulus or Cumulonimbus.,10%  or less  but not 0,2500 or more  or no clouds.,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,13.0,10.2,No precipitation,12,,,,
15.03.2020 05:00,19.7,763.8,764.5,-0.4,56,Wind blowing from the north-east,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,,14.0,10.5,,,,,,
15.03.2020 02:00,20.5,764.2,764.9,-0.6,56,Wind blowing from the north-east,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,Altocumulus translucidus at a single level.,,14.0,11.3,No precipitation,6,,,,
14.03.2020 23:00,20.9,764.8,765.5,1.5,75,Wind blowing from the east-northeast,5,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,13.0,16.3,,,,,,
14.03.2020 20:00,21.7,763.3,763.9,1.7,72,Wind blowing from the east,7,,,90  or more  but not 100%, ,,,,24.4,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,Altocumulus translucidus at a single level.,,21.0,16.4,No precipitation,12,,,,
14.03.2020 17:00,24.2,761.6,762.3,-0.5,54,Wind blowing from the south-southwest,4,,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,1000-1500,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,13.0,14.4,,,,,,
14.03.2020 14:00,23.8,762.1,762.7,-1.8,55,Wind blowing from the north-west,5,,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,No Altocumulus  Altostratus or Nimbostratus.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,13.0,14.2,No precipitation,6,,,,
14.03.2020 11:00,22.1,763.9,764.6,0.0,56,Wind blowing from the north,2,,,20–30%., ,,,,,No Stratocumulus  Stratus  Cumulus or Cumulonimbus.,20–30%.,2500 or more  or no clouds.,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,20.0,12.8,,,,,,
14.03.2020 08:00,19.6,763.9,764.7,2.1,79,Wind blowing from the north-northeast,4,,,90  or more  but not 100%,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,19.2,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,35.0,15.9,4.0,12,,,,
14.03.2020 05:00,19.3,761.8,762.5,0.0,83,Wind blowing from the north-east,6,,,90  or more  but not 100%,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,90  or more  but not 100%,200-300,,,50.0,16.3,,,,,,
14.03.2020 02:00,20.3,761.8,762.5,0.3,96,Wind blowing from the north-west,7,,,100%.,Rain  not freezing  continuous  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,100-200,,,5.0,19.6,0.6,6,,,,
13.03.2020 23:00,23.0,761.5,762.2,0.9,87,Wind blowing from the north-east,6,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,5.0,20.7,,,,,,
13.03.2020 20:00,23.8,760.6,761.3,0.8,82,Wind blowing from the east-northeast,5,,,90  or more  but not 100%, ,,,,28.7,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,6.0,20.6,No precipitation,12,,,,
13.03.2020 17:00,25.6,759.8,760.4,-0.4,74,Wind blowing from the east-southeast,3,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altocumulus translucidus at a single level.,,12.0,20.7,,,,,,
13.03.2020 14:00,27.5,760.2,760.9,-1.9,66,Wind blowing from the north-east,3,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,200-300,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,13.0,20.7,No precipitation,6,,,,
13.03.2020 11:00,25.7,762.1,762.7,0.5,74,Wind blowing from the north-east,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,200-300,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,12.0,20.6,,,,,,
13.03.2020 08:00,21.9,761.6,762.3,1.3,90,Wind blowing from the east,5,,,90  or more  but not 100%, ,,,21.1,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,200-300,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,7.0,20.2,No precipitation,12,,,,
13.03.2020 05:00,23.2,760.3,761.0,-0.5,86,Wind blowing from the east,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,,10.0,20.7,,,,,,
13.03.2020 02:00,21.7,760.8,761.5,-0.1,89,Wind blowing from the east,5,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,,6.0,19.8,No precipitation,6,,,,
12.03.2020 23:00,22.2,760.9,761.6,0.9,89,Wind blowing from the east,8,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,,6.0,20.2,,,,,,
12.03.2020 20:00,23.2,760.0,760.6,1.0,83,Wind blowing from the east,4,,,90  or more  but not 100%,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,10.0,20.1,Trace of precipitation,12,,,,
12.03.2020 17:00,22.4,759.0,759.7,-1.0,85,Wind blowing from the east-northeast,5,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,8.0,19.7,,,,,,
12.03.2020 14:00,22.5,760.0,760.7,-1.5,81,Wind blowing from the north-east,6,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,8.0,19.0,No precipitation,6,,,,
12.03.2020 11:00,24.0,761.5,762.1,0.5,75,Wind blowing from the east-southeast,9,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,No Cirrus  Cirrocumulus or Cirrostratus.,13.0,19.2,,,,,,
12.03.2020 08:00,22.7,761.0,761.7,0.2,78,Wind blowing from the east,9,,,50%.,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,18.7,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,No Cirrus  Cirrocumulus or Cirrostratus.,12.0,18.6,Trace of precipitation,12,,,,
12.03.2020 05:00,19.0,760.8,761.5,-0.7,83,Wind blowing from the east-northeast,9,,,90  or more  but not 100%,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,10.0,16.0,,,,,,
12.03.2020 02:00,19.0,761.5,762.2,-0.5,83,Wind blowing from the east,11,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,,12.0,16.0,No precipitation,6,,,,
11.03.2020 23:00,18.8,762.0,762.7,0.5,79,Wind blowing from the east,12,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,,16.0,15.1,,,,,,
11.03.2020 20:00,19.3,761.5,762.1,0.3,69,Wind blowing from the east,9,,,90  or more  but not 100%, ,,,,21.3,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altostratus opacus or Nimbostratus.,,20.0,13.5,Trace of precipitation,12,,,,
11.03.2020 17:00,19.8,761.2,761.8,-1.2,64,Wind blowing from the east,9,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altostratus opacus or Nimbostratus.,,20.0,12.7,,,,,,
11.03.2020 14:00,20.4,762.4,763.1,-2.2,63,Wind blowing from the east,8,,,90  or more  but not 100%,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus or opacus in two or more layers  or Altocumulus opacus in a single layer  not progressively invading the sky  or Altocumulus with Altostratus or Nimbostratus.,,18.0,13.1,Trace of precipitation,6,,,,
11.03.2020 11:00,19.8,764.6,765.3,0.4,70,Wind blowing from the east,5,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,,16.0,14.1,,,,,,
11.03.2020 08:00,19.0,764.2,764.8,1.8,61,Wind blowing from the north-northeast,3,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,18.2,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,,27.0,11.2,Trace of precipitation,12,,,,
11.03.2020 05:00,18.4,762.4,763.1,0.0,54,Wind blowing from the north-east,4,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,1000-1500,Altocumulus translucidus at a single level.,,28.0,9.0,,,,,,
11.03.2020 02:00,19.5,762.4,763.1,-0.6,52,Wind blowing from the north-northeast,3,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,1000-1500,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,35.0,9.2,No precipitation,6,,,,
10.03.2020 23:00,20.5,763.0,763.6,1.8,48,Wind blowing from the north-east,8,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,1000-1500,Altocumulus translucidus at a single level.,,30.0,9.1,,,,,,
10.03.2020 20:00,23.2,761.2,761.8,1.5,48,Wind blowing from the east-northeast,5,,,90  or more  but not 100%, ,,,,24.4,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,1000-1500,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,40.0,11.6,No precipitation,12,,,,
10.03.2020 17:00,23.3,759.7,760.4,-0.7,59,Wind blowing from the north-west,6,,,90  or more  but not 100%, ,,,,,No Stratocumulus  Stratus  Cumulus or Cumulonimbus.,70 – 80%.,2000-2500,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,19.0,14.8,,,,,,
10.03.2020 14:00,23.0,760.4,761.1,-0.8,57,Wind blowing from the north-west,8,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,10%  or less  but not 0,1000-1500,Altocumulus translucidus at a single level.,Cirrus fibratus  sometimes uncinus  not progressively invading the sky.,18.0,14.1,No precipitation,6,,,,
10.03.2020 11:00,23.1,761.2,761.9,1.5,58,Wind blowing from the north-northwest,7,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,Altocumulus translucidus at a single level.,,30.0,14.3,,,,,,
10.03.2020 08:00,21.7,759.7,760.3,2.3,65,Wind blowing from the north-east,5,,,90  or more  but not 100%,Clouds generally dissolving or becoming less developed. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,20.9,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,,45.0,14.9,0.1,12,,,,
10.03.2020 05:00,21.9,757.4,758.1,0.5,85,Wind blowing from the north-northwest,4,,,90  or more  but not 100%,Clouds generally dissolving or becoming less developed. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,20.0,19.2,,,,,,
10.03.2020 02:00,24.4,756.9,757.5,0.3,88,Wind blowing from the west,2,,,90  or more  but not 100%, ,,,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,200-300,Altocumulus translucidus at a single level.,,10.0,22.3,No precipitation,6,,,,
09.03.2020 23:00,26.0,756.6,757.3,1.3,78,Wind blowing from the south-southwest,4,,,90  or more  but not 100%, ,,,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,300-600,Altocumulus translucidus at a single level.,,14.0,21.9,,,,,,
09.03.2020 20:00,25.7,755.3,755.9,1.0,78,Wind blowing from the south,4,,,90  or more  but not 100%, ,,,,26.4,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,300-600,Altocumulus translucidus at a single level.,,28.0,21.6,Trace of precipitation,12,,,,
09.03.2020 17:00,25.4,754.3,755.0,-0.6,79,Wind blowing from the south,5,,,90  or more  but not 100%, ,,,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,50%.,300-600,Altocumulus translucidus at a single level.,,20.0,21.5,,,,,,
09.03.2020 14:00,25.5,754.9,755.5,-1.8,77,Wind blowing from the south-east,6,,,90  or more  but not 100%,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Cumulus and Stratocumulus other than Stratocumulus cumulogenitus  with bases at different levels.,60%.,300-600,Altocumulus translucidus at a single level.,,30.0,21.1,Trace of precipitation,6,,,,
09.03.2020 11:00,25.9,756.7,757.4,0.4,73,Wind blowing from the south-east,9,,,60%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,No Cirrus  Cirrocumulus or Cirrostratus.,20.0,20.7,,,,,,
09.03.2020 08:00,23.5,756.3,757.0,1.2,84,Wind blowing from the south-southeast,6,,,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,23.2,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altocumulus translucidus at a single level.,,8.0,20.6,Trace of precipitation,12,,,,
09.03.2020 05:00,23.6,755.1,755.8,-1.1,81,Wind blowing from the east-southeast,5,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus at a single level.,,13.0,20.1,,,,,,
09.03.2020 02:00,23.7,756.2,756.9,-0.1,83,Wind blowing from the east-northeast,5,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus at a single level.,,25.0,20.7,No precipitation,6,,,,
08.03.2020 23:00,24.5,756.3,757.0,0.8,76,Wind blowing from the south-southeast,7,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus at a single level.,,35.0,20.0,,,,,,
08.03.2020 20:00,24.4,755.5,756.1,0.6,75,Wind blowing from the east-southeast,5,,,90  or more  but not 100%, ,,,,25.5,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus at a single level.,,30.0,19.6,No precipitation,12,,,,
08.03.2020 17:00,24.7,754.9,755.6,-1.6,74,Wind blowing from the south-east,6,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,No Cirrus  Cirrocumulus or Cirrostratus.,18.0,19.8,,,,,,
08.03.2020 14:00,25.0,756.5,757.2,-2.5,72,Wind blowing from the east-southeast,6,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altocumulus translucidus at a single level.,,20.0,19.6,No precipitation,6,,,,
08.03.2020 11:00,24.5,759.0,759.7,0.3,77,Wind blowing from the east-southeast,9,,,90  or more  but not 100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altocumulus translucidus at a single level.,,15.0,20.2,,,,,,
