Local time in Macheng,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 17:00,20.7,756.7,763.5,,29,Wind blowing from the south,3,,,no clouds, ,,,,,,,,,,17.0,2.0,,,,,,
15.03.2020 14:00,20.6,758.0,764.8,,30,Wind blowing from the south,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,20.7,,,,,,16.0,2.4,No precipitation,12,,,,
15.03.2020 11:00,17.3,760.6,767.5,,42,Wind blowing from the south-west,3,,,no clouds, ,,,,,,,,,,12.0,4.3,,,,,,
15.03.2020 08:00,8.5,760.8,767.7,1.1,100,Wind blowing from the east-northeast,1,,3,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,19.5,,,2500 or more  or no clouds.,,,5.0,8.5,No precipitation,12,,,,
15.03.2020 05:00,6.5,759.7,766.6,,100,Wind blowing from the east,1,,,,Mist. ,,,4.5,19.5,,,,,,3.8,6.5,No precipitation,6,,,,
15.03.2020 02:00,8.4,760.0,766.9,,87,Wind blowing from the east,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,19.5,,,2500 or more  or no clouds.,,,5.0,6.4,No precipitation,12,,,,
14.03.2020 20:00,13.7,759.4,766.3,0.6,56,Wind blowing from the south,2,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,19.5,,,2500 or more  or no clouds.,,,8.0,5.1,No precipitation,12,,,,
14.03.2020 17:00,18.4,758.8,765.7,,38,Wind blowing from the south-southwest,3,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,15.0,3.8,,,,,,
14.03.2020 14:00,17.7,760.4,767.3,-2.6,41,Wind blowing from the south-southwest,3,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,17.9,,,2500 or more  or no clouds.,,,13.0,4.3,No precipitation,12,,,,
14.03.2020 11:00,12.4,763.0,770.0,,65,Wind blowing from the south-southwest,2,,4,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,15.0,,,,,,5.0,6.0,No precipitation,6,,,,
14.03.2020 08:00,5.5,763.5,770.5,,100,Wind blowing from the north,2,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.5,15.3,,,2500 or more  or no clouds.,,,2.2,5.5,No precipitation,12,,,,
14.03.2020 05:00,4.8,762.8,769.8,,100,Wind blowing from the north-northwest,1,,9,,Mist. ,,,4.8,15.3,,,,,,1.9,4.8,No precipitation,6,,,,
14.03.2020 02:00,5.7,763.5,770.5,,100,Wind blowing from the north-northwest,2,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,15.3,,,2500 or more  or no clouds.,,,2.4,5.7,No precipitation,12,,,,
13.03.2020 20:00,9.9,762.6,769.5,0.9,78,Wind blowing from the north-northwest,3,,,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.3,,,2500 or more  or no clouds.,,,4.3,6.2,No precipitation,12,,,,
13.03.2020 17:00,11.4,761.7,768.6,,73,Calm  no wind,0,,,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.1,,,2500 or more  or no clouds.,,,3.1,6.7,No precipitation,6,,,,
13.03.2020 14:00,14.5,761.2,768.1,,56,Wind blowing from the north,8,,13,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.4,,,2500 or more  or no clouds.,,,5.0,5.8,No precipitation,12,,,,
13.03.2020 11:00,14.6,760.7,767.6,,64,Wind blowing from the north,6,,11,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.4,,,2500 or more  or no clouds.,,,3.7,7.9,No precipitation,6,,,,
13.03.2020 08:00,11.5,759.9,766.8,1.5,81,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.4,,,2500 or more  or no clouds.,,,7.0,8.4,No precipitation,12,,,,
13.03.2020 05:00,9.0,758.4,765.2,,95,Wind blowing from the north-northeast,1,,4,,Mist. ,,,8.9,16.4,,,,,,6.0,8.2,No precipitation,6,,,,
13.03.2020 02:00,9.5,758.2,765.0,,96,Wind blowing from the north,3,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,16.4,,,2500 or more  or no clouds.,,,6.0,8.9,No precipitation,12,,,,
12.03.2020 20:00,12.7,756.1,762.9,,73,Wind blowing from the north-northwest,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,16.4,,,2500 or more  or no clouds.,,,10.0,8.0,0.4,12,,,,
12.03.2020 17:00,16.1,753.9,760.6,,54,Wind blowing from the south-southeast,2,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,17.0,6.8,,,,,,
12.03.2020 14:00,14.7,754.6,761.4,-1.8,62,Wind blowing from the south-east,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,20.2,,,2500 or more  or no clouds.,,,12.0,7.5,0.4,12,,,,
12.03.2020 11:00,14.1,756.4,763.2,,65,Wind blowing from the west-southwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,,,,2500 or more  or no clouds.,,,9.0,7.6,Trace of precipitation,6,,,,
12.03.2020 08:00,11.6,755.7,762.5,0.8,72,Wind blowing from the east,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,20.2,,,2500 or more  or no clouds.,,,9.0,6.7,Trace of precipitation,12,,,,
12.03.2020 05:00,11.3,754.9,761.7,,66,Wind blowing from the south,2,,,, ,,,,,,,,,,11.0,5.2,,,,,,
12.03.2020 02:00,13.3,755.8,762.5,,60,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,20.2,,,2500 or more  or no clouds.,,,10.0,5.7,No precipitation,12,,,,
11.03.2020 20:00,15.6,756.1,763.0,0.6,46,Wind blowing from the south-southeast,4,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,20.2,,,2500 or more  or no clouds.,,,12.0,4.0,No precipitation,12,,,,
11.03.2020 17:00,19.0,755.5,762.3,,30,Wind blowing from the south-west,2,,,90  or more  but not 100%, ,,,,,,,,,,17.0,1.0,,,,,,
11.03.2020 14:00,19.4,756.8,763.6,-2.8,32,Wind blowing from the south-southeast,2,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,19.4,,,2500 or more  or no clouds.,,,14.0,2.3,No precipitation,12,,,,
11.03.2020 11:00,13.9,759.6,766.5,,60,Wind blowing from the south,2,,4,90  or more  but not 100%, ,,,5.1,17.4,,,2500 or more  or no clouds.,,,8.0,6.3,No precipitation,6,,,,
11.03.2020 08:00,8.4,759.2,766.1,,86,Wind blowing from the north,1,,4,90  or more  but not 100%,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,17.4,,,2500 or more  or no clouds.,,,6.0,6.2,Trace of precipitation,12,,,,
11.03.2020 05:00,6.0,758.7,765.6,,93,Wind blowing from the north,1,,,, ,,,,,,,,,,6.0,5.0,,,,,,
11.03.2020 02:00,7.5,759.4,766.3,,88,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,17.4,,,2500 or more  or no clouds.,,,7.0,5.6,No precipitation,12,,,,
10.03.2020 20:00,12.8,758.8,765.7,,57,Wind blowing from the south,1,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,17.4,,,2500 or more  or no clouds.,,,7.0,4.3,No precipitation,12,,,,
10.03.2020 17:00,16.3,758.2,765.0,,35,Wind blowing from the east,1,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,11.0,0.8,,,,,,
10.03.2020 14:00,15.8,759.4,766.3,,39,Wind blowing from the north,3,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,16.0,,,2500 or more  or no clouds.,,,8.0,1.9,No precipitation,12,,,,
10.03.2020 11:00,12.6,761.3,768.2,,67,Wind blowing from the north-west,3,,7,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,14.2,,,2500 or more  or no clouds.,,,4.5,6.6,No precipitation,6,,,,
10.03.2020 08:00,7.8,760.3,767.3,,93,Wind blowing from the north-northwest,2,,10,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,,,,2500 or more  or no clouds.,,,3.1,6.7,,,,,,
10.03.2020 05:00,7.6,759.0,765.9,,96,Wind blowing from the north,2,,10,,Mist. ,,,7.6,14.2,,,,,,2.3,7.0,No precipitation,6,,,,
10.03.2020 02:00,9.0,759.1,766.0,,91,Wind blowing from the north-northwest,2,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,14.2,,,2500 or more  or no clouds.,,,2.7,7.6,4.0,12,,,,
09.03.2020 20:00,9.7,757.4,764.3,2.8,97,Wind blowing from the north-northwest,6,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,14.3,,,2500 or more  or no clouds.,,,3.0,9.2,4.0,12,,,,
09.03.2020 17:00,11.1,754.6,761.5,,97,Wind blowing from the north-northwest,3,,14,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,,,,2500 or more  or no clouds.,,,1.9,10.6,1.0,6,,,,
09.03.2020 14:00,13.5,753.1,760.0,-0.1,65,Wind blowing from the north-northeast,8,,14,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,2500 or more  or no clouds.,,,4.5,7.1,4.0,12,,,,
09.03.2020 11:00,12.9,753.2,760.0,,78,Wind blowing from the north,8,,13,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,2500 or more  or no clouds.,,,4.8,9.2,No precipitation,6,,,,
09.03.2020 08:00,11.7,751.7,758.5,2.1,94,Wind blowing from the north,4,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,2500 or more  or no clouds.,,,5.0,10.8,8.0,12,,,,
09.03.2020 05:00,11.4,749.6,756.4,,100,Calm  no wind,0,,,,Rain (not freezing) not falling as shower(s). ,,,11.4,20.2,,,,,,3.5,11.4,6.0,6,,,,
09.03.2020 02:00,12.1,749.8,756.5,,100,Wind blowing from the north,4,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,20.2,,,2500 or more  or no clouds.,,,1.8,12.1,7.0,12,,,,
08.03.2020 20:00,14.3,748.4,755.2,0.5,100,Wind blowing from the north,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,20.2,,,2500 or more  or no clouds.,,,3.4,14.3,3.0,12,,,,
08.03.2020 17:00,18.2,747.9,754.6,,69,Wind blowing from the north,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,20.4,,,2500 or more  or no clouds.,,,17.0,12.4,No precipitation,6,,,,
08.03.2020 14:00,19.5,748.6,755.3,-2.7,61,Wind blowing from the south-east,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,21.7,,,2500 or more  or no clouds.,,,19.0,11.8,Trace of precipitation,12,,,,
08.03.2020 11:00,17.0,751.3,758.0,,63,Wind blowing from the north-northeast,3,,6,60%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,21.7,,,2500 or more  or no clouds.,,,11.0,9.9,No precipitation,6,,,,
08.03.2020 08:00,12.1,752.0,758.8,,96,Wind blowing from the north-northeast,2,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,21.7,,,2500 or more  or no clouds.,,,3.8,11.5,Trace of precipitation,12,,,,
08.03.2020 05:00,11.4,751.6,758.3,,99,Wind blowing from the north-east,1,,6,,Mist. ,,,10.1,21.7,,,,,,3.9,11.2,No precipitation,6,,,,
08.03.2020 02:00,11.7,753.0,759.7,,97,Wind blowing from the east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.7,,,2500 or more  or no clouds.,,,4.2,11.2,No precipitation,12,,,,
07.03.2020 20:00,15.5,753.5,760.3,,69,Wind blowing from the west-southwest,2,,6,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.7,,,2500 or more  or no clouds.,,,7.0,9.8,No precipitation,12,,,,
07.03.2020 17:00,20.4,752.4,759.1,,49,Wind blowing from the south-southwest,3,,,no clouds, ,,,,,,,,,,10.0,9.3,,,,,,
07.03.2020 14:00,21.1,753.4,760.2,-2.4,46,Wind blowing from the south-southeast,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,21.3,,,2500 or more  or no clouds.,,,11.0,9.0,No precipitation,12,,,,
07.03.2020 11:00,15.4,755.8,762.7,,64,Wind blowing from the north,3,,5,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,15.4,,,2500 or more  or no clouds.,,,6.0,8.6,No precipitation,6,,,,
07.03.2020 08:00,10.7,756.5,763.3,1.6,100,Wind blowing from the north,0,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,14.4,,,2500 or more  or no clouds.,,,3.0,10.7,No precipitation,12,,,,
07.03.2020 05:00,10.1,754.9,761.8,,100,Wind blowing from the north-northeast,1,,4,,Mist. ,,,7.1,14.4,,,,,,2.2,10.1,No precipitation,6,,,,
07.03.2020 02:00,10.0,755.2,762.1,,100,Wind blowing from the south-southwest,0,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.4,,,2500 or more  or no clouds.,,,2.5,10.0,No precipitation,12,,,,
06.03.2020 20:00,11.9,754.6,761.5,0.9,82,Wind blowing from the south-southwest,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.4,,,2500 or more  or no clouds.,,,5.0,8.9,No precipitation,12,,,,
06.03.2020 17:00,13.5,753.7,760.5,,71,Wind blowing from the south-southeast,2,,,100%., ,,,,,,,2500 or more  or no clouds.,,,9.0,8.4,,,,,,
06.03.2020 14:00,14.1,753.7,760.6,-2.2,66,Wind blowing from the south-southwest,4,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,17.2,,,2500 or more  or no clouds.,,,13.0,7.9,No precipitation,12,,,,
06.03.2020 11:00,12.3,755.9,762.7,,66,Calm  no wind,0,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,17.2,,,,,,6.0,6.1,No precipitation,6,,,,
06.03.2020 08:00,8.6,755.8,762.7,,85,Wind blowing from the north-northwest,1,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,17.2,,,2500 or more  or no clouds.,,,4.4,6.2,No precipitation,12,,,,
06.03.2020 05:00,9.2,755.8,762.6,,75,Wind blowing from the south-east,1,,4,,Haze. ,,,3.7,17.2,,,,,,6.0,5.0,No precipitation,6,,,,
06.03.2020 02:00,10.0,756.9,763.7,,68,Wind blowing from the south-east,2,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,17.2,,,2500 or more  or no clouds.,,,5.0,4.2,No precipitation,12,,,,
05.03.2020 20:00,12.4,757.9,764.8,,59,Wind blowing from the west-southwest,2,,9,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,17.2,,,2500 or more  or no clouds.,,,5.0,4.6,No precipitation,12,,,,
05.03.2020 17:00,16.2,757.6,764.5,,40,Wind blowing from the west,2,,,50%., ,,,,,,,2500 or more  or no clouds.,,,8.0,2.6,,,,,,
05.03.2020 14:00,16.0,759.7,766.6,-3.0,41,Wind blowing from the west,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,16.6,,,,,,8.0,2.8,No precipitation,12,,,,
05.03.2020 11:00,13.4,762.7,769.6,,53,Wind blowing from the south-southeast,1,,4,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,16.6,,,,,,5.0,3.8,No precipitation,6,,,,
05.03.2020 08:00,5.5,763.0,769.9,,100,Wind blowing from the north,2,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,16.6,,,2500 or more  or no clouds.,,,2.1,5.5,No precipitation,12,,,,
05.03.2020 05:00,5.4,762.4,769.3,,88,Wind blowing from the north-east,3,,7,,Mist. ,,,5.0,16.6,,,,,,3.1,3.6,No precipitation,6,,,,
05.03.2020 02:00,7.4,763.1,770.0,,74,Wind blowing from the east-northeast,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,16.6,,,2500 or more  or no clouds.,,,5.0,3.1,No precipitation,12,,,,
04.03.2020 20:00,11.3,762.6,769.6,1.1,54,Wind blowing from the north,3,,7,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,16.6,,,2500 or more  or no clouds.,,,7.0,2.3,No precipitation,12,,,,
04.03.2020 17:00,15.8,761.5,768.4,,36,Wind blowing from the west,2,,,100%., ,,,,,,,2500 or more  or no clouds.,,,17.0,0.8,,,,,,
04.03.2020 14:00,15.2,762.2,769.1,,35,Wind blowing from the west-southwest,3,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,15.6,,,2500 or more  or no clouds.,,,14.0,-0.1,No precipitation,12,,,,
04.03.2020 11:00,12.3,764.2,771.2,,47,Wind blowing from the north-west,2,,4,20–30%., ,,,5.5,12.3,,,2500 or more  or no clouds.,,,11.0,1.3,No precipitation,6,,,,
04.03.2020 08:00,6.6,764.1,771.1,1.7,74,Wind blowing from the north-northwest,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,10.7,,,2500 or more  or no clouds.,,,7.0,2.3,No precipitation,12,,,,
04.03.2020 05:00,6.2,762.4,769.4,,80,Wind blowing from the north-northwest,2,,5,, ,,,4.4,10.7,,,,,,8.0,3.0,No precipitation,6,,,,
04.03.2020 02:00,7.0,762.4,769.4,,77,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,10.7,,,2500 or more  or no clouds.,,,9.0,3.2,No precipitation,12,,,,
03.03.2020 20:00,8.5,762.1,769.2,,70,Wind blowing from the north-northwest,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,10.7,,,2500 or more  or no clouds.,,,11.0,3.3,No precipitation,12,,,,
03.03.2020 17:00,10.1,761.0,768.0,,64,Wind blowing from the north-west,2,,4,100%., ,,,4.4,10.7,,,2500 or more  or no clouds.,,,16.0,3.6,No precipitation,6,,,,
03.03.2020 14:00,10.4,760.7,767.7,-2.2,63,Wind blowing from the south-southeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,10.8,,,2500 or more  or no clouds.,,,14.0,3.7,No precipitation,12,,,,
03.03.2020 11:00,8.3,762.9,769.9,,72,Wind blowing from the north-west,2,,4,, ,,,4.4,11.4,,,,,,12.0,3.4,No precipitation,6,,,,
03.03.2020 08:00,5.1,762.0,769.0,,93,Wind blowing from the north,2,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,,,,2500 or more  or no clouds.,,,9.0,4.1,No precipitation,12,,,,
03.03.2020 05:00,5.4,760.4,767.5,,91,Wind blowing from the north,2,,,, ,,,,,,,,,,9.0,4.1,,,,,,
03.03.2020 02:00,6.4,761.6,768.6,,85,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,11.4,,,2500 or more  or no clouds.,,,10.0,4.1,0.8,12,,,,
02.03.2020 20:00,6.5,761.8,768.9,0.9,95,Wind blowing from the north-northwest,2,,8,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,11.4,,,2500 or more  or no clouds.,,,5.0,5.8,0.8,12,,,,
02.03.2020 17:00,7.7,760.9,767.9,,82,Wind blowing from the north,5,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,11.4,,,2500 or more  or no clouds.,,,6.0,4.8,0.5,6,,,,
02.03.2020 14:00,10.7,761.1,768.1,,53,Wind blowing from the north-northwest,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.2,,,2500 or more  or no clouds.,,,16.0,1.3,No precipitation,12,,,,
02.03.2020 11:00,11.1,762.4,769.4,,52,Wind blowing from the north,2,,5,90  or more  but not 100%, ,,,5.0,13.5,,,2500 or more  or no clouds.,,,13.0,1.6,No precipitation,6,,,,
02.03.2020 08:00,6.1,762.1,769.1,0.0,87,Wind blowing from the north-west,2,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.5,,,2500 or more  or no clouds.,,,7.0,4.1,No precipitation,12,,,,
02.03.2020 05:00,5.2,762.1,769.1,,90,Wind blowing from the east-southeast,1,,9,,Mist. ,,,5.0,13.5,,,,,,6.0,3.7,No precipitation,6,,,,
02.03.2020 02:00,5.9,762.3,769.3,,82,Wind blowing from the east,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,13.5,,,2500 or more  or no clouds.,,,8.0,3.1,No precipitation,12,,,,
01.03.2020 20:00,9.0,761.9,768.9,1.1,69,Wind blowing from the north,4,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,13.5,,,2500 or more  or no clouds.,,,10.0,3.6,No precipitation,12,,,,
01.03.2020 17:00,11.3,760.8,767.8,,62,Wind blowing from the north,5,,13,100%., ,,,6.6,13.5,,,2500 or more  or no clouds.,,,10.0,4.3,No precipitation,6,,,,
01.03.2020 14:00,13.1,759.9,766.8,-1.0,55,Wind blowing from the north,7,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,13.8,,,2500 or more  or no clouds.,,,13.0,4.3,No precipitation,12,,,,
01.03.2020 11:00,12.3,760.9,767.8,,62,Wind blowing from the north-northeast,4,,10,70 – 80%., ,,,6.6,13.8,,,2500 or more  or no clouds.,,,9.0,5.2,No precipitation,6,,,,
01.03.2020 08:00,9.0,759.8,766.7,,85,Wind blowing from the north,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,13.8,,,2500 or more  or no clouds.,,,9.0,6.6,No precipitation,12,,,,
01.03.2020 05:00,7.7,758.4,765.3,,100,Wind blowing from the north,3,,5,,Mist. ,,,5.8,13.8,,,,,,5.0,7.7,No precipitation,6,,,,
