Local time in Zhangwu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 05:00,-5.9,759.2,767.0,,37,Wind blowing from the south-west,3,,10,, ,,,-8.1,-0.3,,,,,,30.0,-18.3,No precipitation,6,,,,
16.03.2020 02:00,-6.2,760.8,768.6,,41,Wind blowing from the south-southwest,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,0.3,,,2500 or more  or no clouds.,,,30.0,-17.3,No precipitation,12,,,,
15.03.2020 23:00,-8.1,761.7,769.5,,60,Wind blowing from the south,1,,,, ,,,-8.1,1.7,,,,,,24.0,-14.5,No precipitation,6,,,,
15.03.2020 20:00,-4.5,761.8,769.6,1.2,38,Wind blowing from the north,1,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,3.6,,,,,,22.0,-16.7,No precipitation,12,,,,
15.03.2020 17:00,-1.5,760.6,768.3,,22,Wind blowing from the north,5,,15,no clouds, ,,,-3.2,,,,,,,30.0,-20.5,No precipitation,6,,,,
15.03.2020 14:00,-1.0,759.7,767.5,,23,Wind blowing from the north,5,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,,,,1000-1500,,,30.0,-19.5,No precipitation,12,,,,
15.03.2020 11:00,-1.0,758.7,766.3,,25,Wind blowing from the north,8,,14,10%  or less  but not 0, ,,,-3.2,,,,2500 or more  or no clouds.,,,30.0,-18.6,No precipitation,6,,,,
15.03.2020 08:00,-3.1,756.5,764.2,3.5,49,Wind blowing from the north-northwest,6,,13,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,9.7,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
15.03.2020 05:00,-0.6,753.0,760.5,,45,Wind blowing from the north-northwest,5,,12,, ,,,-2.6,9.7,,,,,,30.0,-11.1,No precipitation,6,,,,
15.03.2020 02:00,0.0,751.7,759.2,,52,Wind blowing from the west-northwest,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,9.7,,,2500 or more  or no clouds.,,,30.0,-8.9,No precipitation,12,,,,
14.03.2020 23:00,1.7,751.3,758.8,,44,Wind blowing from the west-northwest,3,,,, ,,,-5.0,9.7,,,,,,30.0,-9.5,No precipitation,6,,,,
14.03.2020 20:00,3.6,751.0,758.5,1.2,37,Wind blowing from the west-northwest,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,9.7,,,,,,30.0,-9.7,No precipitation,12,,,,
14.03.2020 17:00,7.8,749.8,757.3,,26,Wind blowing from the north-west,6,,11,70 – 80%., ,,,-5.0,9.7,,,600-1000,,,30.0,-10.5,No precipitation,6,,,,
14.03.2020 14:00,8.7,750.1,757.6,-1.9,23,Wind blowing from the north-west,5,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,9.3,,,600-1000,,,30.0,-11.3,No precipitation,12,,,,
14.03.2020 11:00,7.0,752.0,759.5,,26,Wind blowing from the west,4,,6,20–30%., ,,,-5.0,7.3,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,6,,,,
14.03.2020 08:00,0.5,753.2,760.8,,46,Wind blowing from the west,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,5.9,,,,,,30.0,-9.8,No precipitation,12,,,,
14.03.2020 05:00,-1.3,753.2,760.8,,48,Wind blowing from the west,3,,10,, ,,,-6.0,5.9,,,,,,30.0,-10.9,No precipitation,6,,,,
14.03.2020 02:00,-2.0,754.5,762.1,,56,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,5.9,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
13.03.2020 23:00,-0.9,755.8,763.5,,67,Wind blowing from the south-west,3,,,, ,,,-6.0,5.9,,,,,,30.0,-6.4,No precipitation,6,,,,
13.03.2020 20:00,0.6,756.9,764.5,-0.2,55,Wind blowing from the south-southwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,5.9,,,,,,30.0,-7.4,No precipitation,12,,,,
13.03.2020 17:00,4.7,757.1,764.8,,28,Wind blowing from the south-east,4,,9,no clouds, ,,,-6.0,5.9,,,,,,30.0,-12.3,No precipitation,6,,,,
13.03.2020 14:00,4.9,759.1,766.7,,18,Wind blowing from the west-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,5.1,,,,,,30.0,-17.4,No precipitation,12,,,,
13.03.2020 11:00,2.2,762.1,769.9,,21,Wind blowing from the west-northwest,2,,6,no clouds, ,,,-6.0,5.6,,,,,,30.0,-17.9,No precipitation,6,,,,
13.03.2020 08:00,-3.3,763.4,771.2,0.3,39,Wind blowing from the west,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,,,,,,,30.0,-15.3,No precipitation,12,,,,
13.03.2020 05:00,-5.2,763.1,770.8,,41,Wind blowing from the west-southwest,2,,10,, ,,,-5.6,5.6,,,,,,30.0,-16.4,No precipitation,6,,,,
13.03.2020 02:00,-4.0,763.7,771.4,0.4,35,Wind blowing from the west,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,5.6,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
12.03.2020 23:00,-3.4,763.3,771.0,,33,Wind blowing from the west-northwest,2,,,, ,,,-3.4,5.6,,,,,,30.0,-17.4,No precipitation,6,,,,
12.03.2020 20:00,-1.2,761.8,769.6,,23,Wind blowing from the north-northwest,5,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,5.6,,,,,,30.0,-19.7,No precipitation,12,,,,
12.03.2020 17:00,2.7,759.9,767.5,,18,Wind blowing from the north-west,4,,17,no clouds, ,,,0.0,5.6,,,,,,30.0,-19.3,No precipitation,6,,,,
12.03.2020 14:00,4.0,758.0,765.6,,18,Wind blowing from the north-west,9,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.0,6.4,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
12.03.2020 11:00,4.9,757.5,765.1,,27,Wind blowing from the north-northwest,6,,11,90  or more  but not 100%, ,,,0.0,6.4,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,6,,,,
12.03.2020 08:00,1.2,756.4,763.9,2.7,54,Wind blowing from the west,1,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,6.4,,,1000-1500,,,30.0,-7.3,No precipitation,12,,,,
12.03.2020 05:00,0.5,753.7,761.2,,59,Wind blowing from the west-northwest,2,,11,, ,,,-5.8,6.4,,,,,,30.0,-6.6,No precipitation,6,,,,
12.03.2020 02:00,0.4,752.0,759.5,1.3,82,Wind blowing from the south-west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,6.4,,,2500 or more  or no clouds.,,,14.0,-2.3,No precipitation,12,,,,
11.03.2020 23:00,2.8,750.7,758.2,,70,Wind blowing from the south-west,4,,,, ,,,,6.4,,,,,,30.0,-2.1,No precipitation,6,,,,
11.03.2020 20:00,3.4,750.1,757.7,-0.5,49,Wind blowing from the south,5,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,6.4,,,1000-1500,,,30.0,-6.3,No precipitation,12,,,,
11.03.2020 17:00,5.4,750.6,758.2,,37,Wind blowing from the south,5,,12,60%., ,,,-5.8,6.4,,,1000-1500,,,30.0,-8.1,No precipitation,6,,,,
11.03.2020 14:00,5.8,752.3,759.9,-2.3,38,Wind blowing from the south,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,5.8,,,,,,30.0,-7.4,No precipitation,12,,,,
11.03.2020 11:00,3.0,754.6,762.2,,36,Wind blowing from the south,5,,,no clouds, ,,,-5.8,4.3,,,,,,30.0,-10.6,No precipitation,6,,,,
11.03.2020 08:00,-1.4,755.6,763.3,,52,Wind blowing from the south-southeast,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,4.3,,,,,,13.0,-10.0,No precipitation,12,,,,
11.03.2020 05:00,-4.2,754.9,762.6,,55,Wind blowing from the west,3,,11,, ,,,-4.7,4.3,,,,,,30.0,-12.1,No precipitation,6,,,,
11.03.2020 02:00,-2.9,755.3,763.0,0.0,48,Wind blowing from the west-northwest,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,4.3,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
10.03.2020 23:00,-1.4,755.3,762.9,,43,Wind blowing from the north-west,3,,,, ,,,-4.7,4.3,,,,,,30.0,-12.4,No precipitation,6,,,,
10.03.2020 20:00,0.4,755.0,762.7,,35,Wind blowing from the north-northwest,5,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,4.3,,,,,,30.0,-13.3,No precipitation,12,,,,
10.03.2020 17:00,2.7,753.5,761.2,,29,Wind blowing from the north-west,5,,,no clouds, ,,,-4.7,4.3,,,,,,30.0,-13.6,No precipitation,6,,,,
10.03.2020 14:00,3.5,752.6,760.2,,32,Wind blowing from the north-west,6,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,5.2,,,,,,30.0,-11.6,No precipitation,12,,,,
10.03.2020 11:00,3.0,753.1,760.6,,39,Wind blowing from the west-northwest,6,,12,no clouds, ,,,-4.7,5.2,,,,,,30.0,-9.6,No precipitation,6,,,,
10.03.2020 08:00,-2.2,753.8,761.5,0.0,63,Wind blowing from the west-northwest,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,5.2,,,,,,26.0,-8.3,No precipitation,12,,,,
10.03.2020 05:00,-4.3,753.8,761.5,,67,Wind blowing from the west-northwest,2,,7,, ,,,-4.3,5.2,,,,,,30.0,-9.5,No precipitation,6,,,,
10.03.2020 02:00,-2.0,755.5,763.0,,53,Wind blowing from the north-west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,5.2,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
09.03.2020 20:00,1.0,757.4,765.1,0.0,48,Wind blowing from the north,2,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,5.2,,,1000-1500,,,30.0,-9.0,No precipitation,12,,,,
09.03.2020 17:00,3.9,757.4,765.0,,43,Wind blowing from the north-northeast,5,,11,70 – 80%., ,,,0.5,5.5,,,1000-1500,,,30.0,-7.8,No precipitation,6,,,,
09.03.2020 14:00,5.0,757.6,765.2,-1.4,35,Wind blowing from the north-northeast,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,5.9,,,1000-1500,,,30.0,-9.2,0.5,12,,,,
09.03.2020 11:00,2.2,759.0,766.6,,48,Wind blowing from the north-northeast,5,,10,100%., ,,,0.5,5.9,,,1000-1500,,,30.0,-7.7,No precipitation,6,,,,
09.03.2020 08:00,0.6,758.5,766.1,1.2,60,Wind blowing from the north-northeast,6,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,5.9,,,1500-2000,,,30.0,-6.3,1.0,12,,,,
09.03.2020 05:00,1.5,757.3,764.8,,83,Wind blowing from the north,4,,9,, ,,,1.5,5.9,,,,,,11.0,-1.1,1.0,6,,,,
09.03.2020 02:00,2.7,756.7,764.2,,94,Wind blowing from the north-northwest,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,5.9,,,2500 or more  or no clouds.,,,3.4,1.8,0.7,12,,,,
08.03.2020 23:00,3.4,755.1,762.6,,92,Wind blowing from the south-west,2,,,,Mist. ,,,2.0,5.9,,,,,,5.0,2.2,No precipitation,6,,,,
08.03.2020 20:00,4.0,754.6,762.1,1.6,89,Wind blowing from the south-southwest,3,,11,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,5.9,,,1000-1500,,,6.0,2.4,No precipitation,12,,,,
08.03.2020 17:00,5.5,753.0,760.5,,83,Wind blowing from the south-southwest,5,,11,100%., ,,,1.6,5.9,,,1000-1500,,,12.0,2.8,No precipitation,6,,,,
08.03.2020 14:00,5.3,752.8,760.3,-0.9,82,Wind blowing from the south-southwest,5,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,6.2,,,1000-1500,,,14.0,2.5,No precipitation,12,,,,
08.03.2020 11:00,4.3,753.7,761.2,,85,Wind blowing from the south-southwest,6,,,100%., ,,,1.6,6.2,,,1000-1500,,,13.0,2.0,No precipitation,6,,,,
08.03.2020 08:00,2.9,754.1,761.7,,91,Wind blowing from the south,4,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,,,,1000-1500,,,8.0,1.6,No precipitation,12,,,,
08.03.2020 05:00,3.0,754.0,761.5,,91,Wind blowing from the south-southwest,4,,9,, ,,,-0.5,6.2,,,,,,9.0,1.7,No precipitation,6,,,,
08.03.2020 02:00,2.7,755.0,762.5,-0.4,94,Wind blowing from the south,4,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,6.2,,,2500 or more  or no clouds.,,,5.0,1.8,No precipitation,12,,,,
07.03.2020 23:00,2.0,755.4,763.0,,95,Wind blowing from the south-southwest,2,,,,Mist. ,,,-0.5,6.2,,,,,,1.2,1.3,No precipitation,6,,,,
07.03.2020 20:00,1.8,755.5,763.0,0.2,92,Wind blowing from the south,4,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,6.2,,,1000-1500,,,5.0,0.6,Trace of precipitation,12,,,,
07.03.2020 17:00,4.5,755.3,762.9,,74,Wind blowing from the south,3,,5,no clouds, ,,,-0.5,6.4,,,,,,10.0,0.3,No precipitation,6,,,,
07.03.2020 14:00,5.8,755.2,762.7,-1.5,59,Wind blowing from the south-southeast,2,,6,no clouds,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,8.4,,,,,,17.0,-1.6,1.0,12,,,,
07.03.2020 11:00,2.3,756.7,764.2,,69,Wind blowing from the north,2,,6,60%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,8.4,,,1000-1500,,,15.0,-2.8,0.3,6,,,,
07.03.2020 08:00,-0.3,756.4,763.9,1.1,84,Wind blowing from the north-northwest,2,,6,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Rain.,-0.5,8.4,,,1000-1500,,,10.0,-2.7,1.0,12,,,,
07.03.2020 05:00,0.2,755.3,762.9,,92,Calm  no wind,0,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,-2.0,8.4,,,,,,2.3,-0.9,0.9,6,,,,
07.03.2020 02:00,2.5,754.6,762.1,,81,Wind blowing from the south-southwest,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,8.4,,,2500 or more  or no clouds.,,,13.0,-0.4,No precipitation,12,,,,
06.03.2020 23:00,2.8,754.0,761.5,,79,Wind blowing from the south,3,,,, ,,,-2.3,8.4,,,,,,14.0,-0.6,No precipitation,6,,,,
06.03.2020 20:00,4.0,753.7,761.3,1.3,66,Wind blowing from the south,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,8.4,,,1000-1500,,,18.0,-1.8,No precipitation,12,,,,
06.03.2020 17:00,6.4,752.4,760.0,,60,Wind blowing from the south,4,,11,100%., ,,,-2.3,8.4,,,1000-1500,,,18.0,-0.8,No precipitation,6,,,,
06.03.2020 14:00,8.2,751.7,759.2,-1.7,60,Wind blowing from the south,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,8.2,,,1000-1500,,,19.0,0.9,No precipitation,12,,,,
06.03.2020 11:00,4.0,753.4,761.0,,75,Wind blowing from the south-southwest,5,,,90  or more  but not 100%, ,,,-2.3,4.9,,,1000-1500,,,13.0,0.0,No precipitation,6,,,,
06.03.2020 08:00,0.6,753.7,761.3,,79,Wind blowing from the south,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1000-1500,,,14.0,-2.6,No precipitation,12,,,,
06.03.2020 05:00,-2.0,753.5,761.1,,69,Wind blowing from the south-southeast,3,,11,, ,,,,4.9,,,,,,30.0,-6.9,No precipitation,6,,,,
06.03.2020 02:00,-1.6,754.8,762.4,-0.3,71,Wind blowing from the south,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,4.9,,,2500 or more  or no clouds.,,,30.0,-6.2,No precipitation,12,,,,
05.03.2020 23:00,-1.3,755.1,762.7,,68,Wind blowing from the south-southwest,5,,,, ,,,,4.9,,,,,,30.0,-6.6,No precipitation,6,,,,
05.03.2020 20:00,-0.1,755.6,763.4,-0.2,58,Wind blowing from the south-southwest,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,4.9,,,,,,30.0,-7.4,No precipitation,12,,,,
05.03.2020 17:00,3.1,755.8,763.6,,49,Wind blowing from the south-southwest,6,,11,no clouds, ,,,-16.5,4.9,,,,,,30.0,-6.6,No precipitation,6,,,,
05.03.2020 14:00,3.8,757.0,764.8,-3.2,55,Wind blowing from the south,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.5,3.9,,,,,,23.0,-4.6,No precipitation,12,,,,
05.03.2020 11:00,-0.1,760.2,768.0,,60,Wind blowing from the south,6,,8,no clouds, ,,,-16.5,-0.1,,,,,,30.0,-7.1,No precipitation,6,,,,
05.03.2020 08:00,-9.1,762.2,770.2,-0.7,85,Wind blowing from the south-southeast,1,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.5,-1.7,,,,,,7.0,-11.2,No precipitation,12,,,,
05.03.2020 05:00,-14.5,762.9,770.8,,88,Wind blowing from the east,1,,,, ,,,-15.8,-1.7,,,,,,11.0,-16.0,No precipitation,6,,,,
05.03.2020 02:00,-12.0,763.9,771.8,,87,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,-1.7,,,2500 or more  or no clouds.,,,16.0,-13.7,No precipitation,12,,,,
04.03.2020 23:00,-6.1,764.2,772.0,,63,Wind blowing from the west,2,,,, ,,,-11.0,-1.7,,,,,,18.0,-12.0,No precipitation,6,,,,
04.03.2020 20:00,-6.9,764.5,772.5,0.6,65,Wind blowing from the west,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,-1.7,,,,,,30.0,-12.4,No precipitation,12,,,,
04.03.2020 17:00,-2.4,763.9,771.7,,51,Wind blowing from the north-west,3,,10,no clouds, ,,,-7.4,-0.6,,,,,,30.0,-11.2,No precipitation,6,,,,
04.03.2020 14:00,-2.1,763.7,771.5,-0.6,51,Wind blowing from the west-northwest,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,0.9,,,,,,30.0,-10.9,No precipitation,12,,,,
04.03.2020 11:00,-3.9,764.3,772.2,,57,Wind blowing from the north-west,5,,12,no clouds, ,,,-7.4,0.9,,,,,,30.0,-11.2,No precipitation,6,,,,
04.03.2020 08:00,-6.3,763.8,771.7,1.3,74,Wind blowing from the north-west,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,0.9,,,,,,29.0,-10.2,No precipitation,12,,,,
04.03.2020 05:00,-6.8,762.5,770.3,,78,Wind blowing from the north-west,2,,12,, ,,,-6.8,0.9,,,,,,26.0,-10.0,No precipitation,6,,,,
04.03.2020 02:00,-5.3,761.8,769.6,0.8,76,Wind blowing from the north-northwest,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,0.9,,,2500 or more  or no clouds.,,,25.0,-8.9,0.6,12,,,,
03.03.2020 23:00,-4.3,761.0,768.8,,78,Wind blowing from the north-northwest,6,,,,Snow not falling as shower(s). ,,,-5.8,0.9,,,,,,17.0,-7.6,No precipitation,6,,,,
03.03.2020 20:00,-2.5,759.7,767.4,,83,Wind blowing from the north-northwest,4,,8,40%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,0.9,,,1000-1500,,,13.0,-5.0,6.0,12,,,,
03.03.2020 17:00,-0.6,758.1,765.8,,87,Wind blowing from the west,3,,,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,0.9,,,1000-1500,,,9.0,-2.6,3.0,6,,,,
03.03.2020 14:00,0.3,757.9,765.7,-1.2,85,Wind blowing from the north-northeast,1,,7,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain and snow or other types of solid precipitation,-5.8,2.9,,,1000-1500,,,3.7,-1.9,9.0,12,,,,
03.03.2020 11:00,-1.0,759.1,766.8,,91,Wind blowing from the south-east,3,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-5.8,2.9,,,1000-1500,,,4.4,-2.3,5.0,6,,,,
03.03.2020 08:00,-2.4,759.7,767.5,-0.1,93,Wind blowing from the south-east,2,,5,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,,,,1000-1500,,,2.5,-3.4,3.0,12,,,,
03.03.2020 05:00,-3.2,759.8,767.5,,92,Wind blowing from the east-southeast,3,,5,,Intermittent fall of snowflakes  slight at time of observation. ,,,-7.9,2.9,,,,,,3.1,-4.3,2.0,6,,,,
03.03.2020 02:00,-2.9,761.1,768.8,-0.8,67,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,2.9,,,2500 or more  or no clouds.,,,22.0,-8.2,No precipitation,12,,,,
02.03.2020 23:00,-4.3,761.9,769.6,,68,Wind blowing from the east,1,,,, ,,,-7.9,2.9,,,,,,10.0,-9.3,No precipitation,6,,,,
02.03.2020 20:00,-1.6,762.1,769.9,0.5,55,Wind blowing from the east-southeast,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,2.9,,,,,,19.0,-9.5,No precipitation,12,,,,
02.03.2020 17:00,0.9,761.6,769.4,,44,Wind blowing from the south-east,4,,8,70 – 80%., ,,,-7.9,2.9,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,6,,,,
02.03.2020 14:00,2.5,762.1,769.8,,39,Wind blowing from the south,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,2.9,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
02.03.2020 11:00,0.1,763.7,771.5,,52,Wind blowing from the east-southeast,2,,7,no clouds, ,,,-7.9,3.2,,,,,,30.0,-8.6,No precipitation,6,,,,
02.03.2020 08:00,-6.6,763.6,771.4,0.7,62,Wind blowing from the north,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,3.2,,,,,,21.0,-12.7,No precipitation,12,,,,
