Local time in Xining,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
18.03.2020 11:00,5.8,572.0,766.6,,42,Wind blowing from the north-east,4,,,10%  or less  but not 0, ,,,,,,,2500 or more  or no clouds.,,,10.0,-6.1,,,,,,
18.03.2020 08:00,-2.2,571.1,767.6,1.3,77,Wind blowing from the east-northeast,1,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,10.4,,,2500 or more  or no clouds.,,,7.0,-5.7,No precipitation,12,,,,
18.03.2020 05:00,-1.0,569.8,764.0,,70,Wind blowing from the west,2,,7,, ,,,-2.8,10.4,,,,,,11.0,-5.8,No precipitation,6,,,,
18.03.2020 02:00,1.1,570.4,764.6,0.0,65,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.4,,,2500 or more  or no clouds.,,,11.0,-4.9,No precipitation,12,,,,
17.03.2020 23:00,4.2,570.4,765.4,,47,Wind blowing from the north,1,,,, ,,,,,,,,,,14.0,-6.1,,,,,,
17.03.2020 20:00,6.6,569.4,765.5,0.0,38,Wind blowing from the north,5,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,10.4,,,600-1000,,,20.0,-6.7,No precipitation,12,,,,
17.03.2020 17:00,10.2,569.4,763.9,,26,Wind blowing from the east-northeast,2,,8,60%., ,,,-2.8,10.4,,,600-1000,,,17.0,-8.4,No precipitation,6,,,,
17.03.2020 14:00,8.5,571.2,766.6,-2.3,31,Wind blowing from the east,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,9.2,,,600-1000,,,16.0,-7.7,No precipitation,12,,,,
17.03.2020 11:00,3.5,573.5,770.8,,53,Wind blowing from the north-east,2,,,10%  or less  but not 0, ,,,-2.8,6.4,,,2500 or more  or no clouds.,,,6.0,-5.2,No precipitation,6,,,,
17.03.2020 08:00,-2.4,573.7,772.5,0.4,81,Wind blowing from the north-northwest,1,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,6.4,,,1000-1500,,,5.0,-5.2,No precipitation,12,,,,
17.03.2020 05:00,-2.1,573.3,771.1,,80,Wind blowing from the west-northwest,2,,4,,Mist. ,,,-4.0,6.4,,,,,,5.0,-5.1,No precipitation,6,,,,
17.03.2020 02:00,-1.2,573.7,772.1,-0.2,75,Wind blowing from the west,3,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,6.4,,,2500 or more  or no clouds.,,,6.0,-5.1,No precipitation,12,,,,
16.03.2020 23:00,1.0,573.9,772.6,,57,Wind blowing from the east,1,,,, ,,,,,,,,,,12.0,-6.6,,,,,,
16.03.2020 20:00,3.5,572.8,771.9,1.0,43,Wind blowing from the north-northwest,1,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,6.4,,,2500 or more  or no clouds.,,,16.0,-7.9,No precipitation,12,,,,
16.03.2020 17:00,5.4,571.8,769.4,,38,Wind blowing from the east-northeast,3,,5,70 – 80%., ,,,-4.0,6.4,,,600-1000,,,17.0,-7.8,No precipitation,6,,,,
16.03.2020 14:00,3.2,572.7,771.2,-0.8,48,Wind blowing from the south,2,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,4.3,,,600-1000,,,15.0,-7.0,No precipitation,12,,,,
16.03.2020 11:00,0.6,573.5,773.0,,65,Wind blowing from the south-west,1,,,90  or more  but not 100%, ,,,,,,,1000-1500,,,10.0,-5.2,,,,,,
16.03.2020 08:00,-3.8,572.7,774.0,,92,Wind blowing from the north,0,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,,,,2500 or more  or no clouds.,,,8.0,-4.9,0.6,12,,,,
16.03.2020 05:00,-2.9,571.8,772.3,,88,Wind blowing from the south,3,,,, ,,,-2.9,,,,,,,13.0,-4.6,No precipitation,6,,,,
16.03.2020 02:00,-2.1,571.9,770.6,,90,Wind blowing from the east-southeast,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,3.3,,,2500 or more  or no clouds.,,,8.0,-3.5,3.0,12,,,,
15.03.2020 23:00,-1.5,572.1,770.4,,96,Wind blowing from the south,2,,,,Intermittent fall of snowflakes  heavy at time of observation. ,,,-2.1,5.3,,,,,,0.4,-2.1,2.0,6,,,,
15.03.2020 20:00,-2.1,570.9,770.2,1.2,96,Wind blowing from the north-west,1,,8,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,6.6,,,2500 or more  or no clouds.,,,1.4,-2.7,3.0,12,,,,
15.03.2020 17:00,-1.5,569.7,767.8,,94,Wind blowing from the west,2,,8,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,,,,2500 or more  or no clouds.,,,1.7,-2.3,1.0,6,,,,
15.03.2020 14:00,1.9,569.8,765.6,-0.2,46,Wind blowing from the east-southeast,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,,,,2500 or more  or no clouds.,,,17.0,-8.5,No precipitation,12,,,,
15.03.2020 11:00,2.5,570.0,764.8,,24,Wind blowing from the north-northeast,1,,,100%., ,,,,,,,2500 or more  or no clouds.,,,13.0,-16.0,,,,,,
15.03.2020 08:00,-0.7,569.7,765.2,0.0,35,Wind blowing from the west-southwest,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,11.8,,,2500 or more  or no clouds.,,,11.0,-14.3,No precipitation,12,,,,
15.03.2020 05:00,1.0,569.7,762.7,,24,Wind blowing from the east-northeast,1,,12,, ,,,-6.5,11.8,,,,,,18.0,-17.3,No precipitation,6,,,,
15.03.2020 02:00,3.3,570.3,763.8,-0.3,21,Wind blowing from the south-southeast,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,11.8,,,2500 or more  or no clouds.,,,18.0,-17.0,No precipitation,12,,,,
14.03.2020 23:00,5.3,570.6,766.0,,18,Wind blowing from the south-east,5,,,, ,,,,,,,,,,17.0,-17.1,,,,,,
14.03.2020 20:00,6.6,569.4,767.1,0.6,15,Wind blowing from the south-east,6,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,11.8,,,600-1000,,,19.0,-18.2,No precipitation,12,,,,
14.03.2020 17:00,10.9,568.8,763.9,,5,Wind blowing from the south-southeast,3,,5,90  or more  but not 100%, ,,,-6.5,11.8,,,2500 or more  or no clouds.,,,30.0,-27.3,No precipitation,6,,,,
14.03.2020 14:00,8.2,571.0,766.6,,15,Wind blowing from the east,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,8.3,,,2500 or more  or no clouds.,,,17.0,-16.9,No precipitation,12,,,,
14.03.2020 08:00,-6.4,573.4,773.5,0.6,55,Wind blowing from the west-northwest,2,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,7.5,,,2500 or more  or no clouds.,,,10.0,-14.0,No precipitation,12,,,,
14.03.2020 05:00,-4.8,572.8,770.8,,49,Wind blowing from the north-west,1,,13,, ,,,-7.9,7.5,,,,,,11.0,-13.9,No precipitation,6,,,,
14.03.2020 02:00,-1.5,573.5,772.2,0.5,39,Wind blowing from the east,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,7.5,,,2500 or more  or no clouds.,,,14.0,-13.7,No precipitation,12,,,,
13.03.2020 23:00,0.8,573.0,772.5,,32,Wind blowing from the south-east,6,,,, ,,,,,,,,,,13.0,-14.0,,,,,,
13.03.2020 20:00,4.2,571.6,771.6,0.2,16,Wind blowing from the south-east,1,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,7.5,,,2500 or more  or no clouds.,,,17.0,-19.4,No precipitation,12,,,,
13.03.2020 17:00,7.0,571.4,769.7,,15,Wind blowing from the east,2,,10,10%  or less  but not 0, ,,,-7.9,7.0,,,2500 or more  or no clouds.,,,15.0,-17.9,No precipitation,6,,,,
13.03.2020 14:00,2.7,573.1,773.0,,27,Wind blowing from the north-east,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,6.9,,,,,,12.0,-14.4,No precipitation,12,,,,
13.03.2020 11:00,-1.9,575.3,777.1,,49,Wind blowing from the south-east,2,,,20–30%., ,,,,,,,600-1000,,,12.0,-11.4,,,,,,
13.03.2020 08:00,-7.7,574.7,777.5,1.3,78,Wind blowing from the east-southeast,2,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,6.9,,,2500 or more  or no clouds.,,,11.0,-10.9,No precipitation,12,,,,
13.03.2020 05:00,-6.7,573.4,773.6,,65,Wind blowing from the south-east,4,,,, ,,,,,,,,,,13.0,-12.2,,,,,,
13.03.2020 02:00,-4.8,573.1,771.5,0.7,53,Wind blowing from the east-southeast,6,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,6.9,,,2500 or more  or no clouds.,,,13.0,-13.1,No precipitation,12,,,,
12.03.2020 23:00,-3.0,572.4,771.5,,39,Wind blowing from the east-southeast,5,,,, ,,,,,,,,,,13.0,-15.0,,,,,,
12.03.2020 20:00,0.0,569.3,767.9,3.2,23,Wind blowing from the east-southeast,9,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,6.9,,,2500 or more  or no clouds.,,,10.0,-18.7,No precipitation,12,,,,
12.03.2020 17:00,4.1,566.1,761.5,,20,Wind blowing from the south-east,9,,,90  or more  but not 100%, ,,,,,,,600-1000,,,15.0,-16.9,,,,,,
12.03.2020 14:00,6.3,565.8,759.5,-1.9,16,Wind blowing from the south,3,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,11.4,,,1000-1500,,,22.0,-17.7,No precipitation,12,,,,
12.03.2020 11:00,2.4,567.7,763.0,,18,Wind blowing from the south-east,5,,,, ,,,,,,,,,,23.0,-19.5,,,,,,
12.03.2020 08:00,-2.2,567.5,763.1,0.9,23,Wind blowing from the east-southeast,3,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,11.4,,,1000-1500,,,27.0,-20.6,No precipitation,12,,,,
12.03.2020 05:00,-1.1,566.6,759.6,,22,Wind blowing from the south-east,5,,,, ,,,,,,,,,,30.0,-20.1,,,,,,
12.03.2020 02:00,0.4,566.5,759.7,0.4,20,Wind blowing from the south-east,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,11.4,,,2500 or more  or no clouds.,,,30.0,-20.0,No precipitation,12,,,,
11.03.2020 23:00,2.4,566.1,761.1,,22,Wind blowing from the east-southeast,9,,,, ,,,,,,,,,,18.0,-17.2,,,,,,
11.03.2020 20:00,5.8,563.5,759.6,1.0,19,Wind blowing from the south-east,9,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,11.4,,,2500 or more  or no clouds.,,,14.0,-16.3,No precipitation,12,,,,
11.03.2020 17:00,10.6,562.5,755.8,,10,Wind blowing from the east-northeast,2,,6,no clouds, ,,,-6.7,11.0,,,,,,29.0,-19.8,No precipitation,6,,,,
11.03.2020 14:00,8.3,564.2,758.2,-2.2,12,Wind blowing from the east-northeast,3,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,9.1,,,600-1000,,,25.0,-19.5,No precipitation,12,,,,
11.03.2020 11:00,1.5,566.4,762.4,,27,Wind blowing from the east-southeast,2,,5,20–30%., ,,,-6.7,9.1,,,2500 or more  or no clouds.,,,16.0,-15.5,No precipitation,6,,,,
11.03.2020 08:00,-6.7,566.6,764.5,0.6,50,Wind blowing from the north-west,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,9.1,,,2500 or more  or no clouds.,,,11.0,-15.4,No precipitation,12,,,,
11.03.2020 05:00,-5.4,566.0,761.5,,43,Wind blowing from the north-west,1,,10,, ,,,-8.8,9.1,,,,,,14.0,-16.0,No precipitation,6,,,,
11.03.2020 02:00,-3.5,566.7,762.3,-0.5,33,Wind blowing from the west,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,9.1,,,2500 or more  or no clouds.,,,11.0,-17.5,No precipitation,12,,,,
10.03.2020 23:00,0.3,567.2,764.8,,17,Wind blowing from the south,1,,,, ,,,,,,,,,,17.0,-21.9,,,,,,
10.03.2020 20:00,4.0,566.2,764.8,,7,Wind blowing from the north-northwest,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,9.1,,,,,,30.0,-28.8,No precipitation,12,,,,
10.03.2020 17:00,8.1,566.3,762.8,,6,Wind blowing from the north-west,3,,13,10%  or less  but not 0, ,,,-8.8,9.1,,,2500 or more  or no clouds.,,,30.0,-27.4,No precipitation,6,,,,
10.03.2020 14:00,6.6,568.1,765.1,,18,Wind blowing from the east,3,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,6.6,,,2500 or more  or no clouds.,,,21.0,-16.0,No precipitation,12,,,,
10.03.2020 11:00,-1.7,570.5,770.7,,38,Wind blowing from the east,2,,,20–30%., ,,,-8.8,3.5,,,2500 or more  or no clouds.,,,16.0,-14.2,No precipitation,6,,,,
10.03.2020 08:00,-8.6,570.5,771.7,0.3,57,Wind blowing from the north-northeast,2,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,3.5,,,600-1000,,,19.0,-15.6,No precipitation,12,,,,
10.03.2020 05:00,-7.7,570.2,770.2,,60,Calm  no wind,0,,,, ,,,-7.7,3.5,,,,,,14.0,-14.1,No precipitation,6,,,,
10.03.2020 02:00,-5.8,571.1,770.9,,55,Wind blowing from the north-east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,3.5,,,2500 or more  or no clouds.,,,18.0,-13.4,No precipitation,12,,,,
09.03.2020 20:00,1.0,570.7,771.1,0.9,16,Wind blowing from the north-northeast,4,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,3.5,,,600-1000,,,30.0,-22.0,No precipitation,12,,,,
09.03.2020 17:00,3.0,569.8,768.7,,24,Wind blowing from the east-northeast,4,,13,20–30%., ,,,-6.4,3.5,,,600-1000,,,24.0,-15.6,No precipitation,6,,,,
09.03.2020 14:00,2.1,570.0,768.5,-0.9,39,Wind blowing from the east,4,,13,70 – 80%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,5.2,,,600-1000,,,20.0,-10.4,No precipitation,12,,,,
09.03.2020 11:00,-2.9,570.9,771.2,,58,Wind blowing from the south-east,6,,,60%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,5.2,,,600-1000,,,25.0,-10.2,No precipitation,6,,,,
09.03.2020 08:00,-6.2,569.8,770.3,0.9,77,Wind blowing from the east-southeast,6,,14,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,5.2,,,2500 or more  or no clouds.,,,17.0,-9.6,No precipitation,12,,,,
09.03.2020 05:00,-5.3,568.9,767.3,,77,Wind blowing from the east-southeast,5,,14,, ,,,-5.3,5.2,,,,,,11.0,-8.7,No precipitation,6,,,,
09.03.2020 02:00,-3.4,569.5,766.6,0.4,59,Wind blowing from the east-southeast,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,6.4,,,2500 or more  or no clouds.,,,27.0,-10.3,No precipitation,12,,,,
08.03.2020 23:00,-1.9,569.1,766.9,,53,Wind blowing from the east-southeast,7,,,, ,,,,,,,,,,27.0,-10.2,,,,,,
08.03.2020 20:00,-0.1,567.6,764.1,2.2,45,Wind blowing from the south-east,9,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.1,11.9,,,600-1000,,,23.0,-10.6,No precipitation,12,,,,
08.03.2020 17:00,3.2,565.4,758.8,,31,Wind blowing from the south-east,6,,,90  or more  but not 100%, ,,,,,,,600-1000,,,24.0,-12.3,,,,,,
08.03.2020 14:00,5.0,565.2,757.1,0.4,26,Wind blowing from the east-southeast,5,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,,,,600-1000,,,22.0,-12.9,No precipitation,12,,,,
08.03.2020 11:00,1.8,564.8,756.9,,27,Wind blowing from the east-southeast,9,,,90  or more  but not 100%, ,,,,,,,600-1000,,,17.0,-15.2,,,,,,
08.03.2020 08:00,1.8,562.5,752.4,3.0,36,Wind blowing from the east-southeast,6,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,15.9,,,600-1000,,,16.0,-11.7,No precipitation,12,,,,
08.03.2020 05:00,4.3,559.5,746.1,,42,Wind blowing from the south-east,8,,,, ,,,,,,,,,,19.0,-7.5,,,,,,
08.03.2020 02:00,6.2,559.4,746.9,-0.3,32,Wind blowing from the east,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,15.9,,,2500 or more  or no clouds.,,,14.0,-9.3,No precipitation,12,,,,
07.03.2020 23:00,8.4,559.7,749.2,,27,Wind blowing from the south-east,5,,,, ,,,,,,,,,,19.0,-9.7,,,,,,
07.03.2020 20:00,11.9,558.6,749.4,-0.1,19,Wind blowing from the east-southeast,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,15.9,,,600-1000,,,26.0,-11.0,No precipitation,12,,,,
07.03.2020 17:00,15.7,558.7,747.5,,12,Wind blowing from the east-southeast,3,,8,no clouds, ,,,-4.1,15.9,,,,,,30.0,-13.6,No precipitation,6,,,,
07.03.2020 14:00,11.1,561.7,752.4,-2.7,18,Wind blowing from the east,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,11.4,,,,,,17.0,-12.3,No precipitation,12,,,,
07.03.2020 11:00,4.0,564.4,757.5,,33,Wind blowing from the east,2,,6,no clouds, ,,,-4.1,11.1,,,,,,11.0,-10.8,No precipitation,6,,,,
07.03.2020 08:00,-4.0,564.4,759.1,-0.3,57,Wind blowing from the north-west,2,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,11.1,,,2500 or more  or no clouds.,,,12.0,-11.3,No precipitation,12,,,,
07.03.2020 05:00,-2.4,564.7,757.9,,50,Wind blowing from the west-northwest,1,,9,, ,,,-3.7,11.1,,,,,,13.0,-11.4,No precipitation,6,,,,
07.03.2020 02:00,0.1,565.5,759.2,-0.3,40,Wind blowing from the west-southwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,11.1,,,2500 or more  or no clouds.,,,15.0,-11.9,No precipitation,12,,,,
06.03.2020 23:00,3.4,565.8,760.4,,32,Wind blowing from the east-southeast,5,,,, ,,,,,,,,,,20.0,-11.7,,,,,,
06.03.2020 20:00,7.1,564.7,759.4,0.4,17,Wind blowing from the south-east,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,11.1,,,,,,29.0,-16.3,No precipitation,12,,,,
06.03.2020 17:00,9.8,564.3,756.7,,15,Wind blowing from the east-northeast,1,,7,no clouds, ,,,-3.7,12.7,,,,,,30.0,-15.6,No precipitation,6,,,,
06.03.2020 14:00,6.6,566.0,759.1,-1.8,24,Wind blowing from the east,2,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,12.7,,,2500 or more  or no clouds.,,,24.0,-12.5,No precipitation,12,,,,
06.03.2020 11:00,1.3,567.8,762.4,,38,Wind blowing from the east,2,,,100%., ,,,,,,,2500 or more  or no clouds.,,,16.0,-11.5,,,,,,
06.03.2020 08:00,-3.5,566.7,761.8,1.3,69,Wind blowing from the west,2,,12,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.7,,,2500 or more  or no clouds.,,,7.0,-8.5,No precipitation,12,,,,
06.03.2020 05:00,-0.7,565.4,757.2,,56,Wind blowing from the west,2,,,, ,,,,,,,,,,17.0,-8.6,,,,,,
06.03.2020 02:00,2.0,564.9,756.4,0.6,48,Wind blowing from the south-east,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.7,,,2500 or more  or no clouds.,,,22.0,-7.9,No precipitation,12,,,,
05.03.2020 23:00,5.0,564.3,757.7,,25,Wind blowing from the south-southeast,5,,,, ,,,,,,,,,,21.0,-13.4,,,,,,
05.03.2020 20:00,7.7,562.9,757.2,0.9,18,Wind blowing from the west,3,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.7,,,600-1000,,,30.0,-15.1,No precipitation,12,,,,
05.03.2020 17:00,12.1,562.0,754.1,,13,Wind blowing from the south-west,2,,7,20–30%., ,,,-4.7,12.4,,,600-1000,,,30.0,-15.5,No precipitation,6,,,,
05.03.2020 14:00,9.5,563.8,756.7,-2.3,13,Wind blowing from the east-southeast,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,9.7,,,2500 or more  or no clouds.,,,30.0,-17.6,No precipitation,12,,,,
05.03.2020 11:00,1.3,566.1,762.0,,31,Wind blowing from the east-southeast,2,,,70 – 80%., ,,,,,,,600-1000,,,18.0,-14.0,,,,,,
05.03.2020 08:00,-4.6,565.8,762.3,-0.1,46,Wind blowing from the west-northwest,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,9.7,,,2500 or more  or no clouds.,,,18.0,-14.5,No precipitation,12,,,,
05.03.2020 05:00,-4.3,565.9,760.5,,45,Wind blowing from the north-west,1,,7,, ,,,-6.3,9.7,,,,,,15.0,-14.5,No precipitation,6,,,,
05.03.2020 02:00,-2.3,566.5,761.4,-0.4,37,Wind blowing from the north-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,9.7,,,2500 or more  or no clouds.,,,18.0,-15.3,No precipitation,12,,,,
04.03.2020 23:00,0.3,566.9,763.3,,33,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,12.0,-14.1,,,,,,
04.03.2020 20:00,4.8,566.1,763.3,0.2,25,Wind blowing from the north-northeast,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,9.7,,,,,,24.0,-13.6,No precipitation,12,,,,
04.03.2020 17:00,9.1,565.9,760.9,,19,Wind blowing from the south-southwest,4,,7,20–30%., ,,,-6.3,9.7,,,2500 or more  or no clouds.,,,24.0,-13.3,No precipitation,6,,,,
