Local time in Dunhuang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.03.2020 11:00,14.3,667.6,764.0,,12,Wind blowing from the south-west,3,,,no clouds, ,,,,,,,,,,12.0,-14.7,,,,,,
19.03.2020 08:00,0.6,667.4,765.7,0.3,42,Wind blowing from the south-southwest,1,,4,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,18.1,,,2500 or more  or no clouds.,,,10.0,-11.1,No precipitation,12,,,,
19.03.2020 05:00,1.5,667.1,764.6,,37,Wind blowing from the south-west,1,,6,, ,,,-1.1,18.1,,,,,,11.0,-11.9,No precipitation,6,,,,
19.03.2020 02:00,3.5,667.6,765.2,-0.6,34,Wind blowing from the south-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,18.1,,,2500 or more  or no clouds.,,,8.0,-11.2,No precipitation,12,,,,
18.03.2020 23:00,11.4,668.2,765.4,,13,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,12.0,-16.0,,,,,,
18.03.2020 20:00,14.6,668.0,766.7,-0.2,11,Wind blowing from the west,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,18.1,,,2500 or more  or no clouds.,,,11.0,-15.5,No precipitation,12,,,,
18.03.2020 17:00,18.0,668.2,766.1,,9,Wind blowing from the west-northwest,3,,8,90  or more  but not 100%, ,,,-1.1,18.1,,,2500 or more  or no clouds.,,,12.0,-15.3,No precipitation,6,,,,
18.03.2020 14:00,15.9,669.8,767.9,-1.1,11,Wind blowing from the west-northwest,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,16.2,,,2500 or more  or no clouds.,,,11.0,-14.5,No precipitation,12,,,,
18.03.2020 11:00,10.3,670.9,769.6,,15,Wind blowing from the north-northeast,2,,,60%., ,,,,,,,2500 or more  or no clouds.,,,12.0,-15.2,,,,,,
18.03.2020 08:00,-1.1,670.2,769.6,1.1,38,Wind blowing from the south-southwest,1,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,16.2,,,2500 or more  or no clouds.,,,11.0,-13.9,No precipitation,12,,,,
18.03.2020 05:00,0.4,669.1,767.6,,34,Wind blowing from the east,1,,11,, ,,,-2.5,16.2,,,,,,10.0,-13.9,No precipitation,6,,,,
18.03.2020 02:00,2.3,669.5,767.8,-0.4,29,Wind blowing from the south,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.2,,,2500 or more  or no clouds.,,,9.0,-13.9,No precipitation,12,,,,
17.03.2020 23:00,6.0,669.9,768.2,,22,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,8.0,-14.1,,,,,,
17.03.2020 20:00,12.9,669.6,767.4,0.0,10,Wind blowing from the west,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.2,,,,,,13.0,-18.0,No precipitation,12,,,,
17.03.2020 17:00,15.3,669.6,768.5,,8,Wind blowing from the west,6,,10,no clouds, ,,,-2.5,16.4,,,,,,15.0,-18.8,No precipitation,6,,,,
17.03.2020 14:00,14.4,671.1,770.1,-1.4,8,Wind blowing from the west,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.4,,,,,,19.0,-19.4,No precipitation,12,,,,
17.03.2020 11:00,11.3,672.5,771.7,,8,Wind blowing from the west-southwest,4,,,no clouds, ,,,,,,,,,,18.0,-21.8,,,,,,
17.03.2020 08:00,6.7,672.2,770.5,0.4,13,Wind blowing from the west-southwest,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,16.4,,,,,,18.0,-19.8,No precipitation,12,,,,
17.03.2020 05:00,-1.8,671.8,771.0,,39,Wind blowing from the south-southwest,1,,4,, ,,,-3.6,16.4,,,,,,13.0,-14.2,No precipitation,6,,,,
17.03.2020 02:00,-0.1,672.0,771.4,0.2,35,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,16.4,,,2500 or more  or no clouds.,,,7.0,-13.7,No precipitation,12,,,,
16.03.2020 23:00,2.9,671.8,771.7,,28,Wind blowing from the south,1,,5,,Haze. ,,,-3.6,16.4,,,,,,5.0,-13.8,No precipitation,6,,,,
16.03.2020 20:00,12.2,671.5,771.5,0.5,9,Wind blowing from the south-southwest,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,16.4,,,2500 or more  or no clouds.,,,21.0,-19.7,No precipitation,12,,,,
16.03.2020 17:00,15.6,671.0,770.4,,7,Wind blowing from the west,2,,5,50%., ,,,-3.6,15.8,,,2500 or more  or no clouds.,,,27.0,-20.1,No precipitation,6,,,,
16.03.2020 14:00,12.9,671.9,771.4,-0.8,9,Wind blowing from the west,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.6,,,2500 or more  or no clouds.,,,21.0,-19.2,No precipitation,12,,,,
16.03.2020 11:00,7.6,672.7,772.6,,15,Calm  no wind,0,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,13.0,-17.4,,,,,,
16.03.2020 08:00,-3.0,671.8,772.2,1.4,38,Wind blowing from the south-southwest,1,,4,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,13.5,,,2500 or more  or no clouds.,,,12.0,-15.3,No precipitation,12,,,,
16.03.2020 05:00,-3.0,670.4,770.1,,42,Wind blowing from the south-east,1,,5,, ,,,-3.2,13.5,,,,,,9.0,-14.3,No precipitation,6,,,,
16.03.2020 02:00,-0.3,670.9,770.5,-0.4,36,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,13.5,,,2500 or more  or no clouds.,,,9.0,-13.8,No precipitation,12,,,,
15.03.2020 23:00,3.7,671.3,770.9,,27,Wind blowing from the south-southwest,1,,7,,Haze. ,,,3.7,13.5,,,,,,6.0,-13.5,No precipitation,6,,,,
15.03.2020 20:00,10.4,670.8,769.6,0.8,11,Wind blowing from the south-southwest,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,13.5,,,2500 or more  or no clouds.,,,21.0,-18.8,No precipitation,12,,,,
15.03.2020 17:00,13.4,670.0,768.2,,9,Wind blowing from the west-southwest,1,,7,90  or more  but not 100%, ,,,4.0,13.4,,,2500 or more  or no clouds.,,,23.0,-18.8,No precipitation,6,,,,
15.03.2020 14:00,11.0,671.3,769.9,-0.8,11,Wind blowing from the south-west,4,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.0,11.3,,,2500 or more  or no clouds.,,,19.0,-18.3,No precipitation,12,,,,
15.03.2020 11:00,7.7,672.1,771.2,,14,Wind blowing from the west-southwest,4,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,17.0,-18.1,,,,,,
15.03.2020 08:00,4.8,671.3,770.5,1.3,17,Wind blowing from the south-west,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.3,,,2500 or more  or no clouds.,,,18.0,-18.2,No precipitation,12,,,,
15.03.2020 05:00,4.3,670.0,768.7,,18,Wind blowing from the west-southwest,3,,7,, ,,,-6.2,11.3,,,,,,18.0,-17.9,No precipitation,6,,,,
15.03.2020 02:00,5.5,670.4,769.3,-0.3,16,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,11.3,,,2500 or more  or no clouds.,,,19.0,-18.3,No precipitation,12,,,,
14.03.2020 23:00,6.9,670.7,770.5,,16,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,19.0,-17.2,,,,,,
14.03.2020 20:00,9.0,669.7,770.7,0.4,15,Wind blowing from the west,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,11.3,,,2500 or more  or no clouds.,,,20.0,-16.2,No precipitation,12,,,,
14.03.2020 17:00,10.9,669.3,769.4,,13,Wind blowing from the west-southwest,3,,6,90  or more  but not 100%, ,,,-6.2,12.0,,,2500 or more  or no clouds.,,,20.0,-16.4,No precipitation,6,,,,
14.03.2020 14:00,8.8,670.9,771.1,-1.4,18,Wind blowing from the west,3,,6,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,12.0,,,2500 or more  or no clouds.,,,20.0,-14.2,No precipitation,12,,,,
14.03.2020 11:00,2.7,672.3,773.6,,29,Wind blowing from the north-northwest,2,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,15.0,-13.9,,,,,,
14.03.2020 08:00,-6.1,671.8,773.3,0.9,56,Wind blowing from the south-west,1,,2,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,12.0,,,2500 or more  or no clouds.,,,14.0,-13.6,No precipitation,12,,,,
14.03.2020 05:00,-3.8,670.9,771.1,,48,Wind blowing from the south-southeast,1,,6,, ,,,-8.1,12.0,,,,,,15.0,-13.4,No precipitation,6,,,,
14.03.2020 02:00,-0.6,671.1,771.4,-0.4,36,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,12.0,,,2500 or more  or no clouds.,,,13.0,-13.8,No precipitation,12,,,,
13.03.2020 23:00,0.7,671.5,773.1,,28,Wind blowing from the east,1,,9,, ,,,-8.1,12.0,,,,,,11.0,-15.7,No precipitation,6,,,,
13.03.2020 20:00,7.8,671.6,773.4,0.4,16,Wind blowing from the north-northeast,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,12.0,,,2500 or more  or no clouds.,,,16.0,-16.4,No precipitation,12,,,,
13.03.2020 17:00,11.9,671.2,772.0,,12,Wind blowing from the north-northeast,3,,9,20–30%., ,,,-8.1,11.9,,,2500 or more  or no clouds.,,,18.0,-16.6,No precipitation,6,,,,
13.03.2020 14:00,8.3,672.6,773.3,,20,Wind blowing from the north-east,4,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,8.4,,,2500 or more  or no clouds.,,,16.0,-13.3,No precipitation,12,,,,
13.03.2020 11:00,0.2,674.5,777.0,,42,Wind blowing from the north-east,2,,,no clouds, ,,,,,,,,,,19.0,-11.4,,,,,,
13.03.2020 08:00,-7.3,673.4,775.9,0.7,73,Wind blowing from the north-northeast,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,8.0,,,2500 or more  or no clouds.,,,18.0,-11.4,No precipitation,12,,,,
13.03.2020 05:00,-6.2,672.7,774.4,,61,Calm  no wind,0,,,, ,,,-6.2,8.0,,,,,,16.0,-12.6,No precipitation,6,,,,
13.03.2020 02:00,-1.7,673.0,774.7,-1.2,32,Wind blowing from the east-northeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.0,,,2500 or more  or no clouds.,,,12.0,-16.2,No precipitation,12,,,,
12.03.2020 23:00,-1.5,674.2,776.6,,34,Wind blowing from the south-southeast,1,,,,Haze. ,,,-4.5,8.0,,,,,,6.0,-15.3,No precipitation,6,,,,
12.03.2020 20:00,5.2,673.8,775.8,0.9,18,Wind blowing from the west-northwest,2,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.0,,,2500 or more  or no clouds.,,,14.0,-17.2,No precipitation,12,,,,
12.03.2020 17:00,8.0,672.9,773.6,,17,Wind blowing from the west,3,,8,20–30%., ,,,-4.5,8.9,,,2500 or more  or no clouds.,,,15.0,-15.5,No precipitation,6,,,,
12.03.2020 14:00,3.7,673.2,774.7,0.9,26,Wind blowing from the west,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.9,,,2500 or more  or no clouds.,,,14.0,-14.0,No precipitation,12,,,,
12.03.2020 11:00,0.4,672.3,773.8,,33,Wind blowing from the west,3,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,11.0,-14.3,,,,,,
12.03.2020 08:00,-4.2,670.3,771.4,1.8,43,Wind blowing from the north,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,8.9,,,2500 or more  or no clouds.,,,10.0,-15.1,No precipitation,12,,,,
12.03.2020 05:00,-1.2,668.5,768.4,,32,Wind blowing from the north-west,2,,8,,Haze. ,,,-1.9,8.9,,,,,,7.0,-16.1,No precipitation,6,,,,
12.03.2020 02:00,-0.9,667.7,767.8,0.3,38,Wind blowing from the south-southwest,0,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,8.9,,,2500 or more  or no clouds.,,,3.7,-13.7,No precipitation,12,,,,
11.03.2020 23:00,2.0,667.4,767.7,,27,Wind blowing from the south-southwest,1,,9,,Haze. ,,,1.5,8.9,,,,,,6.0,-15.4,No precipitation,6,,,,
11.03.2020 20:00,7.0,666.4,765.7,0.5,17,Wind blowing from the west-southwest,3,,9,100%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,8.9,,,2500 or more  or no clouds.,,,6.0,-16.4,No precipitation,12,,,,
11.03.2020 17:00,8.6,665.9,765.0,,15,Wind blowing from the west,4,,9,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,12.0,,,2500 or more  or no clouds.,,,7.0,-16.5,,,,,,
11.03.2020 14:00,6.6,667.0,766.5,-1.2,18,Wind blowing from the west-southwest,4,,9,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,12.0,,,2500 or more  or no clouds.,,,4.9,-16.0,No precipitation,12,,,,
11.03.2020 11:00,2.7,668.2,768.1,,34,Wind blowing from the south-west,5,,9,100%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,,,,2500 or more  or no clouds.,,,5.0,-11.9,No precipitation,6,,,,
11.03.2020 08:00,1.9,666.7,765.9,0.9,20,Wind blowing from the west-southwest,3,,7,100%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,12.0,,,2500 or more  or no clouds.,,,7.0,-18.7,No precipitation,12,,,,
11.03.2020 05:00,1.5,665.8,764.2,,21,Wind blowing from the west-southwest,3,,6,, ,,,-9.0,12.0,,,,,,7.0,-18.4,No precipitation,6,,,,
11.03.2020 02:00,2.4,666.1,764.9,-0.3,17,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.0,,,2500 or more  or no clouds.,,,19.0,-20.1,No precipitation,12,,,,
10.03.2020 23:00,4.2,666.4,766.3,,14,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,21.0,-20.9,,,,,,
10.03.2020 20:00,8.3,665.8,766.9,-0.3,10,Wind blowing from the west,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,12.0,,,,,,25.0,-21.5,No precipitation,12,,,,
10.03.2020 17:00,11.4,666.1,766.5,,9,Wind blowing from the west-northwest,2,,7,no clouds, ,,,-9.0,11.7,,,,,,28.0,-20.4,No precipitation,6,,,,
10.03.2020 14:00,8.7,668.2,768.8,-2.0,13,Wind blowing from the west,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,8.7,,,,,,21.0,-18.2,No precipitation,12,,,,
10.03.2020 11:00,1.6,670.2,772.0,,31,Wind blowing from the north-northwest,1,,3,no clouds, ,,,-9.0,5.5,,,,,,13.0,-14.0,No precipitation,6,,,,
10.03.2020 08:00,-8.8,670.2,772.9,-0.1,62,Wind blowing from the north-northeast,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.5,5.5,,,,,,16.0,-14.9,No precipitation,12,,,,
10.03.2020 05:00,-7.8,670.3,772.5,,57,Wind blowing from the south-southeast,1,,9,, ,,,-9.5,5.5,,,,,,14.0,-15.0,No precipitation,6,,,,
10.03.2020 02:00,-4.6,672.1,774.3,,45,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.5,5.5,,,2500 or more  or no clouds.,,,17.0,-14.9,No precipitation,12,,,,
09.03.2020 20:00,3.5,673.9,777.3,0.0,18,Wind blowing from the west-southwest,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.5,5.5,,,,,,20.0,-18.6,No precipitation,12,,,,
09.03.2020 17:00,5.2,673.9,776.7,,18,Wind blowing from the west,4,,9,no clouds, ,,,-9.5,5.2,,,,,,19.0,-17.2,No precipitation,6,,,,
09.03.2020 14:00,3.3,675.1,777.7,-1.2,22,Wind blowing from the west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.5,3.5,,,,,,15.0,-16.3,No precipitation,12,,,,
09.03.2020 11:00,-2.0,676.3,779.5,,40,Wind blowing from the north,2,,,no clouds, ,,,,,,,,,,11.0,-14.0,,,,,,
09.03.2020 08:00,-9.1,675.6,780.3,0.7,76,Wind blowing from the north,0,,7,20–30%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,3.8,,,2500 or more  or no clouds.,,,12.0,-12.6,0.4,12,,,,
09.03.2020 05:00,-7.9,674.9,778.4,,72,Wind blowing from the east-northeast,0,,10,, ,,,-7.9,3.8,,,,,,12.0,-12.1,No precipitation,6,,,,
09.03.2020 02:00,-4.8,675.6,778.6,0.1,54,Wind blowing from the south-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,3.8,,,2500 or more  or no clouds.,,,15.0,-12.8,0.4,12,,,,
08.03.2020 23:00,-1.3,675.5,777.5,,63,Wind blowing from the west,2,,,, ,,,,,,,,,,17.0,-7.6,,,,,,
08.03.2020 20:00,-2.0,674.7,777.1,2.4,83,Wind blowing from the west-southwest,5,,10,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,9.5,,,2500 or more  or no clouds.,,,5.0,-4.6,Trace of precipitation,12,,,,
08.03.2020 17:00,2.4,672.3,773.2,,50,Wind blowing from the west-northwest,3,,10,100%.,Rain and snow or ice pellets not falling as shower(s). ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,,,,2500 or more  or no clouds.,,,12.0,-7.1,No precipitation,6,,,,
08.03.2020 14:00,1.7,671.8,772.9,1.2,61,Wind blowing from the north-west,4,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,,,,2500 or more  or no clouds.,,,23.0,-5.1,Trace of precipitation,12,,,,
08.03.2020 11:00,3.7,670.6,770.2,,42,Wind blowing from the north-east,5,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,22.0,-8.3,,,,,,
08.03.2020 08:00,1.8,668.1,767.2,3.3,42,Wind blowing from the north-east,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,10.5,,,2500 or more  or no clouds.,,,23.0,-10.0,No precipitation,12,,,,
08.03.2020 05:00,2.7,664.8,763.1,,29,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,18.0,-13.5,,,,,,
08.03.2020 02:00,2.8,663.2,761.5,1.0,29,Wind blowing from the east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,10.5,,,2500 or more  or no clouds.,,,16.0,-13.8,No precipitation,12,,,,
07.03.2020 23:00,7.6,662.2,760.0,,20,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,22.0,-13.9,,,,,,
07.03.2020 20:00,9.5,660.7,759.8,1.4,15,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,10.5,,,2500 or more  or no clouds.,,,17.0,-15.8,No precipitation,12,,,,
07.03.2020 17:00,10.5,659.3,757.7,,14,Wind blowing from the west,2,,5,100%., ,,,-3.9,15.7,,,2500 or more  or no clouds.,,,23.0,-15.8,No precipitation,6,,,,
07.03.2020 14:00,9.3,659.6,757.4,-0.5,14,Wind blowing from the east,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.9,15.9,,,2500 or more  or no clouds.,,,25.0,-16.8,No precipitation,12,,,,
07.03.2020 11:00,6.1,660.1,758.6,,18,Wind blowing from the east,1,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,16.0,-16.4,,,,,,
07.03.2020 08:00,-3.6,659.8,758.5,0.7,43,Wind blowing from the west,2,,4,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,15.9,,,2500 or more  or no clouds.,,,14.0,-14.6,No precipitation,12,,,,
07.03.2020 05:00,-2.0,659.1,756.6,,41,Wind blowing from the west,1,,,, ,,,,,,,,,,12.0,-13.7,,,,,,
07.03.2020 02:00,2.4,658.9,756.0,0.0,26,Wind blowing from the west-northwest,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,15.9,,,2500 or more  or no clouds.,,,11.0,-15.1,No precipitation,12,,,,
06.03.2020 23:00,1.9,658.9,758.0,,35,Wind blowing from the south-east,1,,9,,Haze. ,,,-6.1,15.9,,,,,,5.0,-12.2,No precipitation,6,,,,
06.03.2020 20:00,10.6,659.2,758.2,0.0,15,Wind blowing from the north,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,15.9,,,,,,21.0,-14.9,No precipitation,12,,,,
06.03.2020 17:00,14.9,659.2,757.0,,10,Wind blowing from the east,3,,9,60%., ,,,-6.1,15.9,,,2500 or more  or no clouds.,,,25.0,-16.4,No precipitation,6,,,,
06.03.2020 14:00,13.1,661.3,759.2,-2.3,16,Wind blowing from the east-northeast,5,,9,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,13.2,,,2500 or more  or no clouds.,,,19.0,-12.1,No precipitation,12,,,,
06.03.2020 11:00,2.4,663.6,763.4,,32,Wind blowing from the east-northeast,2,,,no clouds, ,,,,,,,,,,15.0,-12.6,,,,,,
06.03.2020 08:00,-6.0,663.4,763.3,0.2,55,Wind blowing from the north-northeast,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,12.9,,,,,,17.0,-13.7,No precipitation,12,,,,
06.03.2020 05:00,-4.0,663.2,762.1,,55,Wind blowing from the north-east,1,,9,, ,,,-4.0,12.9,,,,,,10.0,-11.9,No precipitation,6,,,,
06.03.2020 02:00,-0.9,664.3,763.1,-0.8,43,Wind blowing from the east-southeast,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,12.9,,,2500 or more  or no clouds.,,,11.0,-12.1,No precipitation,12,,,,
05.03.2020 23:00,1.7,665.1,764.7,,40,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,8.0,-10.7,,,,,,
