Local time in Mudanjiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 14:00,0.8,732.1,761.0,-1.9,46,Wind blowing from the west-southwest,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,0.8,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
16.03.2020 11:00,-3.2,734.0,763.2,,58,Wind blowing from the west-southwest,4,,,90  or more  but not 100%, ,,,-9.6,0.2,,,,,,30.0,-10.3,No precipitation,6,,,,
16.03.2020 08:00,-5.8,735.4,764.7,,69,Wind blowing from the west-southwest,8,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,0.2,,,2500 or more  or no clouds.,,,27.0,-10.6,No precipitation,12,,,,
16.03.2020 05:00,-8.1,736.0,765.2,,76,Wind blowing from the south-west,5,,,, ,,,-9.6,0.2,,,,,,28.0,-11.6,No precipitation,6,,,,
16.03.2020 02:00,-8.1,736.1,765.3,,72,Wind blowing from the south-west,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,0.2,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
15.03.2020 23:00,-7.5,736.1,765.4,,75,Wind blowing from the west-southwest,2,,,, ,,,-8.2,0.2,,,,,,30.0,-11.2,No precipitation,6,,,,
15.03.2020 20:00,-5.0,735.0,764.2,2.0,57,Wind blowing from the north,1,,14,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,0.2,,,1500-2000,,,28.0,-12.2,0.6,12,,,,
15.03.2020 17:00,-0.7,733.0,761.8,,27,Wind blowing from the north-east,4,,14,20–30%., ,,,-4.8,0.3,,,1000-1500,,,30.0,-17.4,No precipitation,6,,,,
15.03.2020 14:00,-0.4,731.2,759.9,1.4,39,Wind blowing from the north,8,,14,60%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,3.4,,,1000-1500,,,30.0,-12.7,4.0,12,,,,
15.03.2020 11:00,-2.1,729.8,758.5,,68,Wind blowing from the north,6,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,,,,,,,29.0,-7.2,2.0,6,,,,
15.03.2020 08:00,-4.1,727.9,756.6,1.9,88,Wind blowing from the north,6,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,4.0,,,2500 or more  or no clouds.,,,1.8,-5.8,4.0,12,,,,
15.03.2020 05:00,-4.1,726.0,754.5,,92,Wind blowing from the north-west,2,,7,, ,,,-5.0,4.0,,,,,,17.0,-5.2,2.0,6,,,,
15.03.2020 02:00,-3.5,724.8,753.1,,86,Wind blowing from the east,1,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,4.0,,,2500 or more  or no clouds.,,,4.5,-5.5,No precipitation,12,,,,
14.03.2020 23:00,-2.5,725.3,753.7,,80,Wind blowing from the east-southeast,3,,,, ,,,-5.0,4.0,,,,,,30.0,-5.5,No precipitation,6,,,,
14.03.2020 20:00,-0.8,726.1,754.6,-0.2,49,Wind blowing from the south,2,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,4.0,,,1000-1500,,,30.0,-10.4,No precipitation,12,,,,
14.03.2020 17:00,0.4,726.3,754.9,,45,Wind blowing from the west,4,,,70 – 80%., ,,,,,,,1000-1500,,,30.0,-10.4,,,,,,
14.03.2020 14:00,3.1,726.3,754.6,-1.5,32,Wind blowing from the west-northwest,7,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,4.0,,,1000-1500,,,30.0,-12.0,No precipitation,12,,,,
14.03.2020 11:00,0.2,727.8,756.4,,46,Wind blowing from the west-southwest,8,,16,70 – 80%., ,,,-8.0,1.5,,,1000-1500,,,30.0,-10.1,No precipitation,6,,,,
14.03.2020 08:00,-3.6,728.8,757.7,-0.9,45,Wind blowing from the south-west,7,,16,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-1.9,,,1000-1500,,,30.0,-13.8,No precipitation,12,,,,
14.03.2020 05:00,-4.8,729.7,758.5,,47,Wind blowing from the south-west,6,,16,, ,,,,-1.9,,,,,,30.0,-14.6,No precipitation,6,,,,
14.03.2020 02:00,-4.4,731.2,760.1,-1.5,43,Wind blowing from the south-west,9,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-1.9,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
13.03.2020 23:00,-4.8,732.7,761.8,,39,Wind blowing from the south-west,7,,,, ,,,,-1.9,,,,,,30.0,-16.9,No precipitation,6,,,,
13.03.2020 20:00,-4.9,734.7,764.1,-0.3,32,Wind blowing from the south-southwest,4,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,-1.9,,,,,,30.0,-19.1,No precipitation,12,,,,
13.03.2020 17:00,-3.4,735.0,764.4,,29,Wind blowing from the west,4,,,no clouds, ,,,,,,,,,,30.0,-18.9,,,,,,
13.03.2020 14:00,-2.9,735.0,764.3,,25,Wind blowing from the west,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,4.0,,,,,,30.0,-20.2,No precipitation,12,,,,
13.03.2020 11:00,-5.1,736.3,765.7,,32,Wind blowing from the west,8,,,no clouds, ,,,-11.1,,,,,,,30.0,-19.2,No precipitation,6,,,,
13.03.2020 08:00,-9.2,737.1,766.6,0.8,38,Wind blowing from the west,6,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,4.3,,,,,,30.0,-20.9,No precipitation,12,,,,
13.03.2020 05:00,-10.7,736.3,765.7,,39,Wind blowing from the west-southwest,5,,20,, ,,,-10.7,4.3,,,,,,30.0,-22.0,No precipitation,6,,,,
13.03.2020 02:00,-9.7,735.7,764.7,1.6,40,Wind blowing from the west,8,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,4.3,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
12.03.2020 23:00,-6.6,734.1,763.0,,40,Wind blowing from the west,8,,,, ,,,-8.3,4.3,,,,,,30.0,-18.0,No precipitation,6,,,,
12.03.2020 20:00,-4.3,731.8,760.5,2.9,39,Wind blowing from the west,11,,20,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.3,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
12.03.2020 17:00,-1.4,728.9,757.8,,64,Wind blowing from the west,9,,20,90  or more  but not 100%, ,,,-8.3,4.3,,,,,,26.0,-7.5,No precipitation,6,,,,
12.03.2020 14:00,3.5,727.5,756.0,-0.8,34,Wind blowing from the west,8,,16,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,4.3,,,1000-1500,,,30.0,-10.9,No precipitation,12,,,,
12.03.2020 11:00,2.3,728.3,757.0,,63,Wind blowing from the south-west,10,,16,90  or more  but not 100%, ,,,-8.3,2.5,,,,,,25.0,-4.0,No precipitation,6,,,,
12.03.2020 08:00,0.1,728.9,757.6,-0.6,57,Wind blowing from the south-west,8,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,2.2,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
12.03.2020 05:00,-6.5,729.5,758.3,,71,Wind blowing from the east,1,,8,, ,,,-8.3,2.2,,,,,,30.0,-10.9,No precipitation,6,,,,
12.03.2020 02:00,-6.8,730.6,759.4,-1.2,62,Wind blowing from the east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,2.2,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
11.03.2020 23:00,-7.3,731.8,760.7,,61,Wind blowing from the south-east,3,,,, ,,,-7.5,2.2,,,,,,30.0,-13.7,No precipitation,6,,,,
11.03.2020 20:00,-3.8,731.9,760.9,1.0,47,Wind blowing from the south,1,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,2.2,,,1500-2000,,,30.0,-13.5,No precipitation,12,,,,
11.03.2020 17:00,-0.4,730.9,759.7,,46,Wind blowing from the west,4,,,40%., ,,,-7.2,2.2,,,1000-1500,,,30.0,-10.6,No precipitation,6,,,,
11.03.2020 14:00,0.7,730.1,758.9,0.3,49,Wind blowing from the west,8,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,0.7,,,1000-1500,,,30.0,-8.8,0.8,12,,,,
11.03.2020 11:00,-1.2,729.8,758.6,,55,Wind blowing from the west,6,,11,60%., ,,,-7.2,-0.6,,,1000-1500,,,30.0,-9.1,0.4,6,,,,
11.03.2020 08:00,-4.6,729.7,758.7,1.0,68,Wind blowing from the west,5,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,,,,,,,29.0,-9.6,1.0,12,,,,
11.03.2020 05:00,-6.2,728.7,757.6,,92,Wind blowing from the north-northwest,1,,10,,Intermittent fall of snowflakes  slight at time of observation. ,,,-6.6,-0.6,,,,,,2.7,-7.3,0.5,6,,,,
11.03.2020 02:00,-6.6,728.2,757.0,0.0,92,Wind blowing from the north-east,1,,10,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,-0.6,,,2500 or more  or no clouds.,,,4.7,-7.7,3.0,12,,,,
10.03.2020 23:00,-5.7,728.2,756.9,,88,Wind blowing from the north,2,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,-5.8,-0.6,,,,,,16.0,-7.4,1.0,6,,,,
10.03.2020 20:00,-5.1,728.1,756.9,,87,Wind blowing from the north,4,,12,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-5.8,-0.6,,,1000-1500,,,4.4,-6.9,2.0,12,,,,
10.03.2020 17:00,-3.1,727.6,756.4,,89,Calm  no wind,0,,,100%.,Rain or drizzle and snow  slight. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-5.8,1.2,,,1000-1500,,,4.8,-4.7,1.0,6,,,,
10.03.2020 14:00,-2.5,728.2,756.9,,77,Wind blowing from the east-northeast,6,,12,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Rain.,-5.8,2.3,,,1000-1500,,,6.0,-6.0,Trace of precipitation,12,,,,
10.03.2020 11:00,-0.7,730.2,758.8,,40,Wind blowing from the north-east,6,,10,100%., ,,,-5.8,4.3,,,1500-2000,,,30.0,-12.9,No precipitation,6,,,,
10.03.2020 08:00,-3.2,732.3,761.1,-1.0,66,Wind blowing from the west,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,4.3,,,2500 or more  or no clouds.,,,21.0,-8.8,No precipitation,12,,,,
10.03.2020 05:00,-5.6,733.3,762.1,,73,Wind blowing from the south-west,2,,4,, ,,,-5.6,4.3,,,,,,30.0,-9.7,No precipitation,6,,,,
10.03.2020 02:00,-2.8,735.0,763.6,,66,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,4.3,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
09.03.2020 20:00,-1.3,736.9,765.7,0.3,70,Wind blowing from the east-northeast,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,4.3,,,2500 or more  or no clouds.,,,29.0,-6.2,No precipitation,12,,,,
09.03.2020 17:00,1.2,736.6,765.1,,62,Wind blowing from the east,2,,8,90  or more  but not 100%, ,,,-0.2,4.9,,,,,,15.0,-5.3,No precipitation,6,,,,
09.03.2020 14:00,2.3,736.2,764.7,-0.5,63,Wind blowing from the north-northeast,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.2,6.5,,,2500 or more  or no clouds.,,,29.0,-4.0,No precipitation,12,,,,
09.03.2020 11:00,3.5,736.7,765.1,,63,Wind blowing from the west,3,,8,90  or more  but not 100%, ,,,-0.2,6.5,,,,,,19.0,-2.9,No precipitation,6,,,,
09.03.2020 08:00,1.7,736.0,764.6,2.1,80,Wind blowing from the west,5,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,21.0,-1.5,No precipitation,12,,,,
09.03.2020 05:00,1.5,733.9,762.2,,85,Wind blowing from the south-southeast,1,,5,,Rain (not freezing) not falling as shower(s). ,,,-4.7,6.5,,,,,,13.0,-0.7,No precipitation,6,,,,
09.03.2020 02:00,1.7,732.5,760.7,-0.9,75,Wind blowing from the east-northeast,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,6.5,,,2500 or more  or no clouds.,,,15.0,-2.4,No precipitation,12,,,,
08.03.2020 23:00,1.4,733.4,761.7,,76,Wind blowing from the south-southeast,2,,,, ,,,-4.7,6.5,,,,,,15.0,-2.4,No precipitation,6,,,,
08.03.2020 20:00,1.0,733.5,762.1,1.1,78,Wind blowing from the south,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,6.5,,,,,,12.0,-2.4,No precipitation,12,,,,
08.03.2020 17:00,4.9,732.4,760.9,,60,Wind blowing from the north-east,0,,7,100%., ,,,-4.7,6.5,,,2500 or more  or no clouds.,,,15.0,-2.2,No precipitation,6,,,,
08.03.2020 14:00,5.1,732.8,761.2,-1.4,60,Wind blowing from the north-northwest,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,6.2,,,2500 or more  or no clouds.,,,16.0,-2.0,No precipitation,12,,,,
08.03.2020 11:00,4.3,734.2,762.6,,65,Wind blowing from the west-northwest,2,,6,100%., ,,,-4.7,4.3,,,2500 or more  or no clouds.,,,12.0,-1.7,No precipitation,6,,,,
08.03.2020 08:00,-2.5,735.1,763.8,-0.3,94,Wind blowing from the west-northwest,0,,7,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,4.1,,,2500 or more  or no clouds.,,,4.5,-3.3,No precipitation,12,,,,
08.03.2020 05:00,-3.8,735.4,764.2,,94,Wind blowing from the south-southwest,1,,8,,Mist. ,,,-4.5,4.1,,,,,,2.4,-4.6,No precipitation,6,,,,
08.03.2020 02:00,-1.6,734.8,763.4,0.3,89,Wind blowing from the south-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,4.1,,,2500 or more  or no clouds.,,,14.0,-3.2,0.2,12,,,,
07.03.2020 23:00,0.1,734.5,763.0,,83,Wind blowing from the south-southwest,4,,,, ,,,,4.1,,,,,,18.0,-2.4,No precipitation,6,,,,
07.03.2020 20:00,1.7,734.0,762.7,1.0,80,Wind blowing from the south-west,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,4.1,,,2500 or more  or no clouds.,,,19.0,-1.4,0.2,12,,,,
07.03.2020 17:00,2.7,733.0,761.7,,79,Wind blowing from the south-southwest,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,4.1,,,,,,15.0,-0.6,0.2,6,,,,
07.03.2020 14:00,2.5,733.0,761.7,-0.8,83,Wind blowing from the south-southwest,4,,12,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,4.1,,,2500 or more  or no clouds.,,,12.0,-0.1,Trace of precipitation,12,,,,
07.03.2020 11:00,3.6,733.8,762.5,,63,Wind blowing from the south-west,6,,10,90  or more  but not 100%, ,,,-6.1,3.6,,,,,,20.0,-2.8,No precipitation,6,,,,
07.03.2020 08:00,-3.4,734.6,763.7,0.0,66,Wind blowing from the west-southwest,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,12.0,-9.0,No precipitation,12,,,,
07.03.2020 05:00,-4.5,734.6,763.5,,68,Wind blowing from the south-southeast,0,,3,, ,,,-13.9,2.8,,,,,,14.0,-9.5,No precipitation,6,,,,
07.03.2020 02:00,-4.7,735.1,763.9,-0.1,68,Wind blowing from the south-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,2.8,,,2500 or more  or no clouds.,,,15.0,-9.7,No precipitation,12,,,,
06.03.2020 23:00,-5.5,735.2,764.3,,69,Wind blowing from the north-northwest,1,,,, ,,,-14.7,2.8,,,,,,26.0,-10.3,No precipitation,6,,,,
06.03.2020 20:00,-4.8,736.0,765.6,1.0,65,Wind blowing from the north,1,,4,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,2.8,,,1500-2000,,,5.0,-10.4,No precipitation,12,,,,
06.03.2020 17:00,0.8,735.0,764.3,,42,Wind blowing from the north,1,,4,70 – 80%., ,,,-14.7,2.8,,,1500-2000,,,26.0,-10.7,No precipitation,6,,,,
06.03.2020 14:00,1.4,735.7,765.1,-1.4,41,Wind blowing from the north-northwest,2,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,1.8,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
06.03.2020 11:00,-3.2,737.1,766.6,,51,Wind blowing from the west-northwest,2,,5,70 – 80%., ,,,-14.7,-0.4,,,2500 or more  or no clouds.,,,28.0,-11.9,No precipitation,6,,,,
06.03.2020 08:00,-11.8,738.1,767.9,0.6,78,Wind blowing from the west-northwest,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,-0.4,,,,,,12.0,-14.9,No precipitation,12,,,,
06.03.2020 05:00,-13.7,737.5,767.2,,86,Wind blowing from the east-southeast,1,,5,, ,,,-14.7,-0.4,,,,,,30.0,-15.5,No precipitation,6,,,,
06.03.2020 02:00,-12.8,737.2,766.7,-0.1,81,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,-0.4,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
05.03.2020 23:00,-10.0,737.3,766.8,,71,Wind blowing from the south-east,1,,,, ,,,-12.8,-0.4,,,,,,30.0,-14.4,No precipitation,6,,,,
05.03.2020 20:00,-8.0,737.4,767.0,0.5,67,Wind blowing from the south-east,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,-0.4,,,,,,30.0,-13.2,No precipitation,12,,,,
05.03.2020 17:00,-2.8,736.9,766.4,,46,Wind blowing from the south-west,3,,8,90  or more  but not 100%, ,,,-12.8,-0.4,,,,,,30.0,-12.8,No precipitation,6,,,,
05.03.2020 14:00,-0.7,737.3,766.6,-1.4,45,Wind blowing from the west-southwest,6,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,-0.5,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
05.03.2020 11:00,-3.0,738.7,767.9,,50,Wind blowing from the west-southwest,5,,8,70 – 80%., ,,,-12.8,-1.8,,,1000-1500,,,30.0,-12.0,No precipitation,6,,,,
05.03.2020 08:00,-7.7,739.6,769.2,1.0,75,Wind blowing from the east-southeast,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,-1.8,,,,,,15.0,-11.4,0.1,12,,,,
05.03.2020 05:00,-11.3,738.6,768.2,,87,Wind blowing from the east-southeast,1,,5,, ,,,-11.3,-1.8,,,,,,18.0,-13.0,No precipitation,6,,,,
05.03.2020 02:00,-9.5,738.1,767.6,0.3,89,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.5,-1.8,,,2500 or more  or no clouds.,,,10.0,-11.0,0.1,12,,,,
04.03.2020 23:00,-5.3,737.8,767.0,,88,Wind blowing from the west-northwest,1,,,,Snow not falling as shower(s). ,,,-5.6,-1.8,,,,,,12.0,-7.0,0.1,6,,,,
04.03.2020 20:00,-4.8,737.2,766.4,1.5,87,Wind blowing from the north,3,,8,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,-1.8,,,2500 or more  or no clouds.,,,8.0,-6.6,0.8,12,,,,
04.03.2020 17:00,-3.3,735.7,764.9,,76,Wind blowing from the north,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,-1.8,,,,,,26.0,-6.9,0.3,6,,,,
04.03.2020 14:00,-2.7,735.4,764.5,-0.8,79,Wind blowing from the north,5,,8,100%.,Rain or drizzle and snow  slight. ,Snow and/or other types of solid precipitation,Rain.,-5.6,-1.0,,,1500-2000,,,11.0,-5.8,3.0,12,,,,
04.03.2020 11:00,-2.2,736.2,765.2,,82,Wind blowing from the north-northwest,3,,5,100%.,Rain and snow or ice pellets not falling as shower(s). ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-5.6,-0.6,,,1500-2000,,,7.0,-4.9,2.0,6,,,,
04.03.2020 08:00,-4.4,736.9,766.1,,89,Wind blowing from the north,1,,5,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,2.7,-5.9,3.0,12,,,,
04.03.2020 05:00,-5.5,736.7,765.9,,88,Calm  no wind,0,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,,-0.6,,,,,,3.6,-7.2,1.0,6,,,,
04.03.2020 02:00,-5.1,737.4,766.5,-1.0,90,Wind blowing from the east,1,,6,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-0.6,,,2500 or more  or no clouds.,,,3.0,-6.5,0.7,12,,,,
03.03.2020 23:00,-3.6,738.4,767.7,,66,Wind blowing from the east-southeast,1,,,, ,,,,-0.6,,,,,,22.0,-9.2,No precipitation,6,,,,
03.03.2020 20:00,-3.9,739.1,768.7,-0.4,69,Wind blowing from the south-east,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,-0.6,,,2500 or more  or no clouds.,,,6.0,-8.9,Trace of precipitation,12,,,,
03.03.2020 17:00,-2.5,739.5,769.1,,61,Wind blowing from the north-west,2,,6,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,-0.6,,,1500-2000,,,15.0,-9.0,No precipitation,6,,,,
03.03.2020 14:00,-1.0,740.4,769.9,-1.9,52,Wind blowing from the north-northwest,3,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,0.1,,,2500 or more  or no clouds.,,,13.0,-9.6,No precipitation,12,,,,
03.03.2020 11:00,-4.7,742.3,771.9,,63,Wind blowing from the north-northwest,3,,5,60%., ,,,-12.6,0.1,,,2500 or more  or no clouds.,,,8.0,-10.7,No precipitation,6,,,,
03.03.2020 08:00,-10.5,743.0,772.9,0.1,78,Wind blowing from the north-northeast,1,,5,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,0.1,,,,,,6.0,-13.6,No precipitation,12,,,,
03.03.2020 05:00,-11.4,742.9,772.6,,82,Wind blowing from the east-southeast,1,,7,, ,,,-11.4,0.1,,,,,,10.0,-13.9,No precipitation,6,,,,
