Local time in Shaoguan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 02:00,16.0,753.7,764.6,,88,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,22.2,,,2500 or more  or no clouds.,,,21.0,14.0,No precipitation,12,,,,
15.03.2020 23:00,16.7,754.0,764.9,,81,Wind blowing from the south-southeast,2,,5,, ,,,10.1,22.2,,,,,,24.0,13.4,No precipitation,6,,,,
15.03.2020 20:00,17.7,752.8,763.9,0.7,68,Wind blowing from the south-southeast,3,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,22.2,,,1000-1500,,,28.0,11.7,No precipitation,12,,,,
15.03.2020 17:00,21.4,752.1,763.0,,41,Wind blowing from the west,1,,5,90  or more  but not 100%, ,,,10.1,22.2,,,1500-2000,,,30.0,7.6,No precipitation,6,,,,
15.03.2020 14:00,21.5,753.2,764.1,,41,Wind blowing from the north-northwest,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,22.2,,,1000-1500,,,30.0,7.7,No precipitation,12,,,,
15.03.2020 11:00,18.0,756.3,767.2,,64,Wind blowing from the north-northwest,2,,5,no clouds, ,,,10.1,20.3,,,,,,17.0,11.1,No precipitation,6,,,,
15.03.2020 08:00,11.4,756.6,767.6,1.3,100,Wind blowing from the south-east,1,,3,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,20.3,,,,,,6.0,11.4,No precipitation,12,,,,
15.03.2020 05:00,10.8,755.3,766.3,,99,Wind blowing from the south-southeast,2,,6,,Mist. ,,,10.8,20.3,,,,,,5.0,10.6,No precipitation,6,,,,
15.03.2020 02:00,12.6,755.9,766.9,,97,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,20.3,,,2500 or more  or no clouds.,,,8.0,12.2,No precipitation,12,,,,
14.03.2020 23:00,14.5,756.3,767.2,,97,Wind blowing from the south-southeast,2,,10,, ,,,14.5,20.3,,,,,,10.0,14.0,No precipitation,6,,,,
14.03.2020 20:00,16.9,754.9,765.9,0.9,80,Wind blowing from the east-southeast,1,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,20.3,,,1000-1500,,,19.0,13.4,No precipitation,12,,,,
14.03.2020 17:00,18.5,754.0,764.9,,66,Wind blowing from the north-northwest,3,,10,100%., ,,,14.5,20.3,,,600-1000,,,27.0,12.0,No precipitation,6,,,,
14.03.2020 14:00,19.7,754.3,765.1,-1.8,57,Wind blowing from the north-northeast,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,20.3,,,600-1000,,,26.0,10.9,No precipitation,12,,,,
14.03.2020 11:00,19.1,756.1,767.1,,65,Wind blowing from the north,5,,9,20–30%., ,,,14.5,19.1,,,600-1000,,,28.0,12.3,No precipitation,6,,,,
14.03.2020 08:00,15.0,756.2,767.2,1.2,97,Wind blowing from the south-east,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,16.6,,,2500 or more  or no clouds.,,,24.0,14.5,0.4,12,,,,
14.03.2020 05:00,14.6,755.0,766.0,,96,Wind blowing from the north,2,,9,, ,,,14.3,16.6,,,,,,30.0,13.9,0.4,6,,,,
14.03.2020 02:00,14.7,755.8,766.8,,97,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,16.6,,,2500 or more  or no clouds.,,,30.0,14.3,0.9,12,,,,
13.03.2020 23:00,15.4,755.6,766.6,,94,Wind blowing from the north,4,,9,, ,,,14.2,16.6,,,,,,30.0,14.4,0.2,6,,,,
13.03.2020 20:00,15.9,753.8,764.8,1.9,97,Wind blowing from the north,4,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,16.6,,,600-1000,,,15.0,15.4,1.0,12,,,,
13.03.2020 17:00,16.5,751.9,762.9,,100,Wind blowing from the north-northeast,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,16.6,,,300-600,,,3.1,16.5,0.4,6,,,,
13.03.2020 14:00,16.1,752.1,763.0,,100,Calm  no wind,0,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,13.7,16.2,,,300-600,,,3.1,16.1,3.0,12,,,,
13.03.2020 11:00,16.0,753.4,764.3,,100,Wind blowing from the north-northwest,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,13.2,16.0,,,300-600,,,9.0,16.0,0.9,6,,,,
13.03.2020 08:00,14.8,752.4,763.3,1.3,100,Wind blowing from the east-southeast,1,,2,100%.,Drizzle (not freezing) or snow grains not falling as shower(s). ,Rain.,Fog or ice fog or thick haze.,,14.8,,,600-1000,,,1.0,14.8,3.0,12,,,,
13.03.2020 05:00,14.3,751.1,762.1,,100,Wind blowing from the west,0,,2,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,,14.4,,,,,,0.5,14.3,2.0,6,,,,
13.03.2020 02:00,14.3,751.6,762.7,-0.1,100,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.3,,,2500 or more  or no clouds.,,,1.7,14.3,4.0,12,,,,
12.03.2020 23:00,14.3,751.7,762.7,,100,Wind blowing from the south,1,,2,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.0,14.3,,,,,,1.2,14.3,2.0,6,,,,
12.03.2020 20:00,14.2,750.4,761.5,,100,Wind blowing from the north,0,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,14.3,,,300-600,,,1.4,14.2,8.0,12,,,,
12.03.2020 17:00,14.1,749.5,760.6,,100,Wind blowing from the north-west,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,16.1,,,300-600,,,3.9,14.1,6.0,6,,,,
12.03.2020 14:00,13.7,750.1,761.2,,100,Wind blowing from the north-east,1,,4,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,,,,600-1000,,,2.9,13.7,11.0,12,,,,
12.03.2020 11:00,13.3,752.1,763.1,,100,Wind blowing from the west-northwest,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,,,,600-1000,,,4.0,13.3,6.0,6,,,,
12.03.2020 08:00,12.9,752.1,763.1,0.8,100,Wind blowing from the south-east,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,12.0,,,,600-1000,,,3.6,12.9,14.0,12,,,,
12.03.2020 05:00,12.4,751.3,762.3,,100,Wind blowing from the west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.5,17.8,,,,,,0.7,12.4,7.0,6,,,,
12.03.2020 02:00,12.1,752.4,763.3,-0.7,100,Wind blowing from the south,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,17.8,,,2500 or more  or no clouds.,,,2.4,12.1,9.0,12,,,,
11.03.2020 23:00,12.6,753.1,764.1,,99,Wind blowing from the west-southwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.5,17.8,,,,,,3.0,12.4,3.0,6,,,,
11.03.2020 20:00,13.1,752.5,763.6,0.9,97,Wind blowing from the south,1,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,17.8,,,600-1000,,,5.0,12.7,3.0,12,,,,
11.03.2020 17:00,16.1,751.6,762.7,,63,Calm  no wind,0,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,19.2,,,1000-1500,,,22.0,9.0,0.1,6,,,,
11.03.2020 14:00,17.1,752.9,763.9,-2.3,61,Wind blowing from the north-northeast,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,19.2,,,1000-1500,,,29.0,9.5,1.0,12,,,,
11.03.2020 11:00,15.9,755.2,766.3,,69,Wind blowing from the north-west,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,19.2,,,1000-1500,,,20.0,10.2,1.0,6,,,,
11.03.2020 08:00,12.1,755.5,766.6,,96,Wind blowing from the south-east,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,19.2,,,1000-1500,,,13.0,11.4,No precipitation,12,,,,
11.03.2020 05:00,11.9,754.1,765.1,,96,Wind blowing from the south,2,,5,, ,,,11.8,19.2,,,,,,15.0,11.2,No precipitation,6,,,,
11.03.2020 02:00,12.4,754.4,765.4,-0.5,95,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,19.2,,,2500 or more  or no clouds.,,,22.0,11.6,No precipitation,12,,,,
10.03.2020 23:00,13.7,754.9,765.9,,91,Wind blowing from the south-southeast,2,,9,, ,,,13.7,19.2,,,,,,28.0,12.2,No precipitation,6,,,,
10.03.2020 20:00,17.0,753.7,764.6,,64,Wind blowing from the north-east,2,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,19.2,,,1000-1500,,,30.0,10.1,No precipitation,12,,,,
10.03.2020 17:00,19.1,752.8,763.7,,55,Wind blowing from the north-northeast,2,,9,40%., ,,,14.0,21.9,,,1000-1500,,,30.0,9.8,No precipitation,6,,,,
10.03.2020 14:00,17.7,753.4,764.4,,63,Wind blowing from the north-east,3,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,1000-1500,,,30.0,10.5,No precipitation,12,,,,
10.03.2020 11:00,16.0,754.6,765.6,,66,Wind blowing from the north-east,3,,13,100%., ,,,14.0,,,,1000-1500,,,30.0,9.6,No precipitation,6,,,,
10.03.2020 08:00,14.3,753.6,764.5,1.3,69,Wind blowing from the north,4,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,1000-1500,,,30.0,8.7,No precipitation,12,,,,
10.03.2020 05:00,14.5,752.3,763.2,,73,Wind blowing from the north,4,,13,, ,,,14.5,26.3,,,,,,20.0,9.7,No precipitation,6,,,,
10.03.2020 02:00,15.5,751.9,762.6,,72,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,26.3,,,2500 or more  or no clouds.,,,30.0,10.4,No precipitation,12,,,,
09.03.2020 20:00,18.4,747.5,758.2,3.4,80,Wind blowing from the north,5,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,26.3,,,600-1000,,,30.0,14.8,Trace of precipitation,12,,,,
09.03.2020 17:00,21.9,744.1,754.6,,83,Wind blowing from the north-northeast,2,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,26.3,,,600-1000,,,30.0,18.8,No precipitation,6,,,,
09.03.2020 14:00,25.4,743.6,754.1,-1.6,80,Wind blowing from the south,6,,13,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,25.8,,,600-1000,,,30.0,21.6,Trace of precipitation,12,,,,
09.03.2020 11:00,23.6,745.2,755.8,,86,Wind blowing from the south-southwest,4,,13,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,24.7,,,1000-1500,,,30.0,21.1,No precipitation,6,,,,
09.03.2020 08:00,22.9,744.5,755.1,1.0,87,Wind blowing from the south-southwest,6,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,24.7,,,1000-1500,,,30.0,20.6,0.4,12,,,,
09.03.2020 05:00,22.5,743.5,754.0,,88,Wind blowing from the south,6,,13,, ,,,19.6,24.7,,,,,,30.0,20.4,0.4,6,,,,
09.03.2020 02:00,22.1,744.6,755.2,,90,Wind blowing from the south,5,,,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,24.7,,,2500 or more  or no clouds.,,,30.0,20.3,0.4,12,,,,
08.03.2020 23:00,22.2,745.3,755.8,,88,Wind blowing from the south-southwest,4,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,,24.7,,,,,,30.0,20.1,No precipitation,6,,,,
08.03.2020 20:00,23.0,743.8,754.4,0.6,84,Wind blowing from the south-southwest,5,,11,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,24.7,,,1000-1500,,,30.0,20.1,Trace of precipitation,12,,,,
08.03.2020 17:00,23.8,743.2,753.8,,80,Wind blowing from the south,5,,11,20–30%., ,,,18.4,24.7,,,600-1000,,,30.0,20.1,No precipitation,6,,,,
08.03.2020 14:00,23.6,744.5,755.2,-3.0,80,Wind blowing from the south-southwest,4,,11,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,24.7,,,1000-1500,,,30.0,19.9,0.1,12,,,,
08.03.2020 11:00,22.8,747.5,758.2,,86,Wind blowing from the south-southwest,6,,9,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.4,23.5,,,1000-1500,,,25.0,20.3,No precipitation,6,,,,
08.03.2020 08:00,21.1,747.3,757.9,,93,Wind blowing from the south,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Fog or ice fog or thick haze.,17.1,21.6,,,1000-1500,,,18.0,20.0,0.1,12,,,,
08.03.2020 05:00,20.3,746.6,757.3,,99,Wind blowing from the south-west,5,,7,, ,,,16.7,21.6,,,,,,7.0,20.1,0.1,6,,,,
08.03.2020 02:00,18.8,747.8,758.5,-0.8,100,Wind blowing from the south-west,1,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,21.6,,,2500 or more  or no clouds.,,,2.9,18.8,No precipitation,12,,,,
07.03.2020 23:00,19.0,748.6,759.4,,99,Wind blowing from the north-east,1,,10,,Mist. ,,,16.7,21.6,,,,,,5.0,18.8,No precipitation,6,,,,
07.03.2020 20:00,20.1,747.9,758.7,0.6,94,Wind blowing from the south-west,2,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,21.6,,,1000-1500,,,14.0,19.1,0.3,12,,,,
07.03.2020 17:00,21.5,747.3,758.0,,86,Wind blowing from the south,4,,10,70 – 80%., ,,,16.7,21.6,,,1000-1500,,,30.0,19.0,No precipitation,6,,,,
07.03.2020 14:00,21.2,748.3,759.0,-2.6,85,Wind blowing from the south,3,,7,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,16.7,21.2,,,2500 or more  or no clouds.,,,30.0,18.5,5.0,12,,,,
07.03.2020 11:00,18.4,750.9,761.7,,100,Wind blowing from the east,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,15.6,18.7,,,600-1000,,,1.7,18.4,5.0,6,,,,
07.03.2020 08:00,17.0,750.5,761.4,1.0,100,Wind blowing from the east,1,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,14.6,18.7,,,600-1000,,,0.4,17.0,5.0,12,,,,
07.03.2020 05:00,16.8,749.5,760.3,,100,Wind blowing from the east,1,,8,,Rain (not freezing) not falling as shower(s). ,,,14.4,18.7,,,,,,1.3,16.8,0.4,6,,,,
07.03.2020 02:00,17.1,750.5,761.4,,97,Wind blowing from the west,1,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.7,,,2500 or more  or no clouds.,,,3.1,16.6,0.1,12,,,,
06.03.2020 23:00,18.6,751.1,762.0,,84,Wind blowing from the south,5,,,, ,,,14.4,18.6,,,,,,10.0,15.8,No precipitation,6,,,,
06.03.2020 20:00,18.1,750.7,761.5,0.5,86,Wind blowing from the south,5,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,18.2,,,1000-1500,,,13.0,15.7,Trace of precipitation,12,,,,
06.03.2020 17:00,18.1,750.2,761.1,,85,Wind blowing from the south-southwest,3,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,19.1,,,1000-1500,,,22.0,15.5,No precipitation,6,,,,
06.03.2020 14:00,18.0,751.1,762.0,-2.3,84,Wind blowing from the south,3,,5,100%.,Drizzle (not freezing) or snow grains not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,19.5,,,1000-1500,,,19.0,15.2,Trace of precipitation,12,,,,
06.03.2020 11:00,15.6,753.4,764.4,,88,Wind blowing from the south-east,3,,4,100%., ,,,14.3,,,,1000-1500,,,19.0,13.6,No precipitation,6,,,,
06.03.2020 08:00,14.6,752.8,763.8,,89,Wind blowing from the south-southwest,0,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,19.5,,,1000-1500,,,25.0,12.8,No precipitation,12,,,,
06.03.2020 05:00,14.5,752.5,763.3,,87,Wind blowing from the north,0,,3,, ,,,11.0,19.5,,,,,,30.0,12.3,No precipitation,6,,,,
06.03.2020 02:00,15.0,753.2,764.2,-1.1,82,Wind blowing from the west-northwest,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,19.5,,,2500 or more  or no clouds.,,,30.0,11.9,No precipitation,12,,,,
05.03.2020 23:00,15.9,754.3,765.2,,76,Wind blowing from the north-northeast,2,,4,, ,,,10.9,19.5,,,,,,30.0,11.6,No precipitation,6,,,,
05.03.2020 20:00,17.2,753.2,764.2,0.6,70,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,19.5,,,1000-1500,,,30.0,11.6,No precipitation,12,,,,
05.03.2020 17:00,19.0,752.6,763.6,,61,Wind blowing from the north-west,2,,4,90  or more  but not 100%, ,,,10.9,19.5,,,,,,30.0,11.3,No precipitation,6,,,,
05.03.2020 14:00,17.2,754.1,765.1,-3.0,64,Wind blowing from the north-northwest,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,17.2,,,2500 or more  or no clouds.,,,30.0,10.3,No precipitation,12,,,,
05.03.2020 11:00,14.4,757.1,768.2,,75,Wind blowing from the north,2,,6,90  or more  but not 100%, ,,,10.9,14.4,,,1000-1500,,,30.0,10.0,No precipitation,6,,,,
05.03.2020 08:00,12.0,757.0,768.1,1.1,93,Wind blowing from the north-northeast,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,12.4,,,1000-1500,,,30.0,10.9,0.2,12,,,,
05.03.2020 05:00,11.0,755.9,767.1,,97,Wind blowing from the north-northwest,2,,6,, ,,,10.9,,,,,,,30.0,10.5,No precipitation,6,,,,
05.03.2020 02:00,11.1,756.2,767.4,,97,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,12.7,,,2500 or more  or no clouds.,,,30.0,10.6,6.0,12,,,,
04.03.2020 23:00,11.4,756.8,768.0,,97,Wind blowing from the north-northwest,2,,7,, ,,,11.1,13.9,,,,,,30.0,10.9,2.0,6,,,,
04.03.2020 20:00,11.1,755.5,766.6,-0.7,97,Wind blowing from the north-northwest,3,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,11.1,,,,300-600,,,30.0,10.6,14.0,12,,,,
04.03.2020 17:00,11.2,756.2,767.4,,96,Wind blowing from the north-northwest,4,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,11.2,,,,300-600,,,18.0,10.5,5.0,6,,,,
04.03.2020 14:00,12.2,755.5,766.6,-1.8,97,Wind blowing from the north,3,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,300-600,,,22.0,11.7,14.0,12,,,,
04.03.2020 11:00,11.7,757.3,768.4,,97,Wind blowing from the west-northwest,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,600-1000,,,14.0,11.3,10.0,6,,,,
04.03.2020 08:00,12.1,755.8,766.9,1.7,97,Wind blowing from the north-northwest,3,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,17.5,,,600-1000,,,30.0,11.6,19.0,12,,,,
04.03.2020 05:00,12.4,754.1,765.1,,99,Calm  no wind,0,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.3,17.5,,,,,,15.0,12.2,8.0,6,,,,
04.03.2020 02:00,12.6,754.4,765.4,-0.8,99,Wind blowing from the north-west,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,18.5,,,2500 or more  or no clouds.,,,12.0,12.4,19.0,12,,,,
03.03.2020 23:00,13.9,755.2,766.1,,99,Wind blowing from the north-west,2,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,,,13.9,19.2,,,,,,8.0,13.7,10.0,6,,,,
03.03.2020 20:00,14.8,753.6,764.5,,99,Wind blowing from the north-northeast,2,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,19.6,,,2500 or more  or no clouds.,,,11.0,14.6,9.0,12,,,,
03.03.2020 17:00,14.4,753.2,764.2,,100,Wind blowing from the west,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,21.5,,,600-1000,,,4.9,14.4,6.0,6,,,,
03.03.2020 14:00,15.3,753.4,764.2,-0.6,99,Wind blowing from the north,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,22.3,,,600-1000,,,3.5,15.1,2.0,12,,,,
03.03.2020 11:00,17.3,754.0,764.9,,88,Wind blowing from the north-west,2,,4,100%., ,,,16.4,22.3,,,1000-1500,,,14.0,15.2,No precipitation,6,,,,
03.03.2020 08:00,16.4,753.7,764.5,1.5,91,Wind blowing from the north,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,22.3,,,1000-1500,,,12.0,14.9,No precipitation,12,,,,
03.03.2020 05:00,17.4,752.2,763.0,,81,Wind blowing from the north-east,2,,4,, ,,,15.3,22.3,,,,,,21.0,14.1,No precipitation,6,,,,
03.03.2020 02:00,18.5,753.0,763.8,-0.6,74,Wind blowing from the north,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,22.3,,,2500 or more  or no clouds.,,,27.0,13.7,No precipitation,12,,,,
02.03.2020 23:00,19.2,753.6,764.4,,75,Wind blowing from the south,1,,5,, ,,,15.3,22.3,,,,,,26.0,14.6,No precipitation,6,,,,
02.03.2020 20:00,19.5,752.8,763.7,1.5,75,Wind blowing from the south-southeast,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,22.3,,,1000-1500,,,30.0,14.9,No precipitation,12,,,,
02.03.2020 17:00,21.5,751.3,762.1,,57,Wind blowing from the east,1,,,100%., ,,,15.3,25.3,,,1000-1500,,,30.0,12.6,No precipitation,6,,,,
02.03.2020 14:00,21.4,751.7,762.5,,53,Wind blowing from the west-northwest,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,26.0,,,2500 or more  or no clouds.,,,30.0,11.4,No precipitation,12,,,,
02.03.2020 11:00,19.4,754.6,765.4,,59,Wind blowing from the west-northwest,3,,6,20–30%., ,,,15.3,26.0,,,600-1000,,,30.0,11.1,No precipitation,6,,,,
02.03.2020 08:00,15.5,754.6,765.4,1.4,77,Wind blowing from the north-northwest,2,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.3,26.0,,,1000-1500,,,30.0,11.4,No precipitation,12,,,,
02.03.2020 05:00,15.9,753.2,764.0,,77,Wind blowing from the north,2,,9,, ,,,15.9,26.0,,,,,,30.0,11.8,No precipitation,6,,,,
