Local time in Mengshan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 17:00,18.9,746.6,762.9,,52,Wind blowing from the south-southeast,2,,3,100%., ,,,14.8,21.8,,,2000-2500,,,16.0,8.8,No precipitation,6,,,,
15.03.2020 14:00,19.4,747.7,763.9,-2.7,54,Wind blowing from the south-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,23.0,,,2500 or more  or no clouds.,,,15.0,9.9,No precipitation,12,,,,
15.03.2020 11:00,18.0,750.4,766.8,,65,Wind blowing from the south,1,,4,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,23.0,,,1500-2000,,,6.0,11.3,No precipitation,6,,,,
15.03.2020 08:00,15.5,750.2,766.6,1.2,79,Wind blowing from the north-northwest,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,23.0,,,1500-2000,,,9.0,11.9,No precipitation,12,,,,
15.03.2020 05:00,15.2,749.0,765.2,,79,Wind blowing from the north,2,,8,, ,,,14.4,23.0,,,,,,11.0,11.6,No precipitation,6,,,,
15.03.2020 02:00,15.0,750.1,766.3,,81,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,23.0,,,2500 or more  or no clouds.,,,11.0,11.8,No precipitation,12,,,,
14.03.2020 20:00,19.1,748.9,765.2,1.4,57,Wind blowing from the north,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,23.0,,,1500-2000,,,14.0,10.4,No precipitation,12,,,,
14.03.2020 17:00,21.8,747.5,763.7,,51,Wind blowing from the north,4,,9,90  or more  but not 100%, ,,,14.4,23.0,,,1000-1500,,,13.0,11.2,No precipitation,6,,,,
14.03.2020 14:00,21.8,748.3,764.5,-2.9,56,Wind blowing from the west-northwest,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,21.8,,,1000-1500,,,11.0,12.6,No precipitation,12,,,,
14.03.2020 11:00,18.2,751.2,767.5,,61,Wind blowing from the north-west,5,,9,90  or more  but not 100%, ,,,14.4,18.4,,,2500 or more  or no clouds.,,,10.0,10.6,No precipitation,6,,,,
14.03.2020 08:00,15.1,750.4,766.8,1.5,72,Wind blowing from the north-northwest,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,17.6,,,2000-2500,,,10.0,10.1,No precipitation,12,,,,
14.03.2020 05:00,15.1,748.9,765.3,,71,Wind blowing from the north,1,,9,, ,,,15.1,17.6,,,,,,14.0,9.9,No precipitation,6,,,,
14.03.2020 02:00,15.8,749.8,766.2,,74,Wind blowing from the north-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,17.6,,,2500 or more  or no clouds.,,,17.0,11.2,No precipitation,12,,,,
13.03.2020 20:00,16.1,748.1,764.5,,87,Wind blowing from the north-west,5,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,17.6,,,600-1000,,,10.0,13.9,No precipitation,12,,,,
13.03.2020 17:00,16.7,746.5,762.7,,88,Wind blowing from the north-west,4,,10,100%., ,,,15.9,17.8,,,300-600,,,17.0,14.7,No precipitation,6,,,,
13.03.2020 14:00,17.4,746.5,762.7,,86,Wind blowing from the north-west,5,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,18.4,,,300-600,,,10.0,15.0,No precipitation,12,,,,
13.03.2020 11:00,17.1,747.8,764.1,,88,Wind blowing from the north-west,6,,9,100%., ,,,15.5,18.4,,,300-600,,,13.0,15.1,No precipitation,6,,,,
13.03.2020 08:00,16.0,746.8,763.1,,92,Wind blowing from the north-northwest,4,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,300-600,,,9.0,14.7,0.1,12,,,,
13.03.2020 05:00,15.9,745.0,761.2,,95,Wind blowing from the north-northwest,3,,6,,Rain (not freezing) not falling as shower(s). ,,,13.8,18.4,,,,,,4.7,15.1,No precipitation,6,,,,
13.03.2020 02:00,16.4,744.9,761.1,,91,Wind blowing from the north,3,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,18.4,,,2500 or more  or no clouds.,,,4.7,14.9,0.6,12,,,,
12.03.2020 20:00,16.5,743.5,759.7,1.2,95,Wind blowing from the north,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,18.4,,,300-600,,,1.7,15.7,0.9,12,,,,
12.03.2020 17:00,17.9,742.3,758.5,,91,Wind blowing from the north-northwest,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,18.4,,,300-600,,,3.1,16.4,0.2,6,,,,
12.03.2020 14:00,17.4,743.4,759.7,-2.5,92,Wind blowing from the south,2,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,18.1,,,300-600,,,9.0,16.1,2.0,12,,,,
12.03.2020 11:00,15.5,745.9,762.2,,96,Wind blowing from the north-west,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,18.1,,,300-600,,,7.0,14.9,1.0,6,,,,
12.03.2020 08:00,14.1,745.5,761.9,0.9,98,Wind blowing from the west,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,,,,300-600,,,3.5,13.8,4.0,12,,,,
12.03.2020 05:00,13.8,744.6,760.9,,98,Wind blowing from the south-southeast,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,13.0,18.1,,,,,,4.4,13.5,2.0,6,,,,
12.03.2020 02:00,13.7,745.9,762.2,,97,Wind blowing from the east,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,18.1,,,2500 or more  or no clouds.,,,5.0,13.2,3.0,12,,,,
11.03.2020 20:00,13.8,745.8,762.2,0.6,91,Wind blowing from the south-east,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,18.1,,,300-600,,,5.0,12.4,Trace of precipitation,12,,,,
11.03.2020 17:00,16.8,745.2,761.5,,62,Wind blowing from the south-east,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,21.5,,,1500-2000,,,17.0,9.5,No precipitation,6,,,,
11.03.2020 14:00,18.1,746.6,762.9,-2.3,51,Wind blowing from the south-southwest,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,23.0,,,1500-2000,,,19.0,7.8,No precipitation,12,,,,
11.03.2020 11:00,16.8,748.9,765.3,,56,Wind blowing from the north,1,,4,100%., ,,,13.0,,,,2000-2500,,,18.0,8.0,No precipitation,6,,,,
11.03.2020 08:00,13.7,748.8,765.1,1.7,82,Wind blowing from the north-northwest,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,23.0,,,2500 or more  or no clouds.,,,17.0,10.7,No precipitation,12,,,,
11.03.2020 05:00,14.6,747.1,763.3,,75,Wind blowing from the south,1,,6,, ,,,14.6,23.0,,,,,,20.0,10.2,No precipitation,6,,,,
11.03.2020 02:00,14.8,748.0,764.2,,75,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,23.0,,,2500 or more  or no clouds.,,,24.0,10.4,No precipitation,12,,,,
10.03.2020 20:00,17.8,746.9,763.2,0.7,59,Wind blowing from the north-northwest,2,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,23.0,,,2500 or more  or no clouds.,,,16.0,9.7,No precipitation,12,,,,
10.03.2020 17:00,21.3,746.2,762.4,,40,Wind blowing from the north-west,3,,11,90  or more  but not 100%, ,,,14.7,23.0,,,2500 or more  or no clouds.,,,23.0,7.2,No precipitation,6,,,,
10.03.2020 14:00,21.4,747.4,763.6,-2.1,42,Wind blowing from the north-west,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,28.3,,,,,,30.0,8.0,No precipitation,12,,,,
10.03.2020 11:00,17.4,749.5,765.7,,54,Wind blowing from the north-west,5,,11,no clouds, ,,,14.7,,,,,,,19.0,8.0,No precipitation,6,,,,
10.03.2020 08:00,14.8,748.3,764.5,2.4,67,Wind blowing from the north-northwest,5,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.7,28.6,,,1500-2000,,,17.0,8.7,No precipitation,12,,,,
10.03.2020 05:00,15.7,745.9,762.0,,64,Wind blowing from the north-northwest,4,,11,, ,,,15.7,28.6,,,,,,23.0,8.9,No precipitation,6,,,,
10.03.2020 02:00,16.7,745.7,761.6,,71,Wind blowing from the north-northwest,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,28.6,,,2500 or more  or no clouds.,,,30.0,11.4,No precipitation,12,,,,
09.03.2020 20:00,20.2,742.2,758.1,3.2,68,Wind blowing from the north-west,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,28.6,,,1500-2000,,,30.0,14.1,No precipitation,12,,,,
09.03.2020 17:00,23.1,739.0,754.7,,69,Wind blowing from the north-west,5,,12,90  or more  but not 100%, ,,,21.6,28.6,,,1000-1500,,,26.0,17.1,No precipitation,6,,,,
09.03.2020 14:00,28.1,737.7,753.3,-2.1,62,Wind blowing from the east,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,28.6,,,1000-1500,,,20.0,20.1,No precipitation,12,,,,
09.03.2020 11:00,25.6,739.8,755.5,,73,Wind blowing from the east-southeast,2,,4,90  or more  but not 100%, ,,,21.6,26.6,,,600-1000,,,21.0,20.4,No precipitation,6,,,,
09.03.2020 08:00,21.8,739.1,754.9,1.8,89,Wind blowing from the south-southwest,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.9,26.6,,,300-600,,,15.0,19.9,No precipitation,12,,,,
09.03.2020 05:00,22.2,737.3,753.0,,86,Wind blowing from the south-southeast,2,,6,, ,,,19.8,26.6,,,,,,18.0,19.7,No precipitation,6,,,,
09.03.2020 02:00,22.7,738.3,754.0,,84,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,26.6,,,2500 or more  or no clouds.,,,16.0,19.9,No precipitation,12,,,,
08.03.2020 20:00,24.3,737.0,752.8,1.3,80,Wind blowing from the south-southeast,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,26.6,,,600-1000,,,10.0,20.6,No precipitation,12,,,,
08.03.2020 17:00,26.0,735.7,751.3,,73,Wind blowing from the south-southeast,3,,,90  or more  but not 100%, ,,,18.8,26.6,,,600-1000,,,22.0,20.8,No precipitation,6,,,,
08.03.2020 14:00,26.2,737.7,753.4,-3.0,70,Wind blowing from the south,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,26.2,,,600-1000,,,21.0,20.3,0.1,12,,,,
08.03.2020 11:00,23.7,740.7,756.5,,81,Wind blowing from the south-east,2,,5,90  or more  but not 100%, ,,,18.2,23.7,,,600-1000,,,22.0,20.2,0.1,6,,,,
08.03.2020 08:00,20.8,740.4,756.3,,94,Wind blowing from the east-southeast,2,,3,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Fog or ice fog or thick haze.,16.3,22.9,,,300-600,,,9.0,19.8,0.1,12,,,,
08.03.2020 05:00,20.1,739.6,755.5,,98,Wind blowing from the south-east,1,,2,,Mist. ,,,15.9,22.9,,,,,,5.0,19.8,No precipitation,6,,,,
08.03.2020 02:00,18.8,740.8,756.8,,98,Wind blowing from the north-northeast,1,,3,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,22.9,,,2500 or more  or no clouds.,,,1.2,18.5,No precipitation,12,,,,
07.03.2020 20:00,20.9,741.2,757.3,0.8,94,Wind blowing from the north-northwest,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,22.9,,,1000-1500,,,3.3,19.9,No precipitation,12,,,,
07.03.2020 17:00,22.5,740.4,756.4,,84,Wind blowing from the east-southeast,2,,3,90  or more  but not 100%, ,,,15.8,22.9,,,600-1000,,,13.0,19.7,No precipitation,6,,,,
07.03.2020 14:00,20.7,742.3,758.3,-2.5,92,Wind blowing from the south,1,,2,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,20.7,,,300-600,,,7.0,19.4,0.3,12,,,,
07.03.2020 11:00,18.3,744.8,761.0,,98,Wind blowing from the south,1,,2,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,18.3,,,300-600,,,4.0,18.0,0.1,6,,,,
07.03.2020 08:00,16.2,744.5,760.8,1.0,99,Wind blowing from the west-northwest,1,,3,100%.,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Rain.,Fog or ice fog or thick haze.,,16.2,,,300-600,,,0.6,16.0,1.0,12,,,,
07.03.2020 05:00,15.9,743.5,759.7,,99,Wind blowing from the south-southwest,1,,3,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,,16.0,,,,,,0.3,15.7,0.6,6,,,,
07.03.2020 02:00,15.9,744.1,760.4,,99,Wind blowing from the north-west,0,,3,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Rain.,Fog or ice fog or thick haze.,,16.0,,,2500 or more  or no clouds.,,,0.2,15.7,2.0,12,,,,
06.03.2020 20:00,15.8,744.4,760.7,0.6,98,Wind blowing from the south,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,15.8,,,300-600,,,2.4,15.5,3.0,12,,,,
06.03.2020 17:00,15.8,743.8,760.1,,98,Wind blowing from the south-southeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,15.8,,,300-600,,,3.5,15.5,0.7,6,,,,
06.03.2020 14:00,15.4,744.8,761.2,-2.7,97,Wind blowing from the east-southeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,15.8,,,300-600,,,6.0,14.9,3.0,12,,,,
06.03.2020 11:00,14.3,747.5,763.9,,98,Wind blowing from the south-southeast,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,12.4,15.8,,,300-600,,,3.9,14.0,2.0,6,,,,
06.03.2020 08:00,13.1,746.8,763.2,0.7,98,Wind blowing from the west-southwest,1,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,15.8,,,300-600,,,1.8,12.8,2.0,12,,,,
06.03.2020 05:00,12.8,746.1,762.5,,98,Wind blowing from the south-southwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.0,15.8,,,,,,2.3,12.5,2.0,6,,,,
06.03.2020 02:00,12.6,747.4,763.8,,98,Wind blowing from the south-southwest,1,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,15.8,,,2500 or more  or no clouds.,,,1.4,12.3,1.0,12,,,,
05.03.2020 20:00,13.9,747.7,764.2,0.6,87,Wind blowing from the west-northwest,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,15.8,,,1500-2000,,,11.0,11.8,No precipitation,12,,,,
05.03.2020 17:00,15.3,747.1,763.6,,73,Wind blowing from the north-northwest,2,,8,100%., ,,,10.0,15.8,,,600-1000,,,23.0,10.5,No precipitation,6,,,,
05.03.2020 14:00,14.9,748.9,765.4,-2.7,69,Wind blowing from the north-east,1,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,15.0,,,600-1000,,,30.0,9.3,No precipitation,12,,,,
05.03.2020 11:00,12.5,751.6,768.3,,76,Wind blowing from the north-northwest,2,,8,100%., ,,,9.9,12.5,,,600-1000,,,24.0,8.4,No precipitation,6,,,,
05.03.2020 08:00,10.5,751.0,767.7,0.9,84,Wind blowing from the north-northwest,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,10.8,,,300-600,,,20.0,7.9,No precipitation,12,,,,
05.03.2020 05:00,10.2,750.1,766.9,,85,Wind blowing from the north-west,4,,9,, ,,,9.5,10.8,,,,,,24.0,7.8,No precipitation,6,,,,
05.03.2020 02:00,10.3,750.7,767.4,,85,Wind blowing from the north-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,10.8,,,2500 or more  or no clouds.,,,27.0,7.9,4.0,12,,,,
04.03.2020 20:00,10.5,750.7,767.5,1.7,90,Wind blowing from the north-west,5,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,11.7,,,300-600,,,25.0,8.9,11.0,12,,,,
04.03.2020 17:00,10.6,749.0,765.7,,89,Wind blowing from the north-northwest,4,,10,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,9.5,,,,300-600,,,29.0,8.9,8.0,6,,,,
04.03.2020 14:00,10.1,751.2,767.9,,92,Wind blowing from the north-west,4,,10,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,9.5,,,,300-600,,,22.0,8.9,18.0,12,,,,
04.03.2020 11:00,9.9,751.8,768.5,,92,Wind blowing from the north-west,4,,10,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,9.5,,,,300-600,,,16.0,8.7,7.0,6,,,,
04.03.2020 08:00,9.6,750.2,766.9,0.5,94,Wind blowing from the north-west,4,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,13.6,,,300-600,,,16.0,8.7,34.0,12,,,,
04.03.2020 05:00,9.9,749.7,766.3,,94,Wind blowing from the north-west,6,,,,Rain  not freezing  intermittent  moderate at time of observation. ,,,9.9,14.3,,,,,,4.6,9.0,9.0,6,,,,
04.03.2020 02:00,10.7,749.3,765.9,,92,Wind blowing from the north-west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,15.1,,,2500 or more  or no clouds.,,,30.0,9.5,33.0,12,,,,
03.03.2020 20:00,11.6,748.9,765.4,2.1,94,Wind blowing from the west,2,,15,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,16.3,,,300-600,,,12.0,10.7,13.0,12,,,,
03.03.2020 17:00,12.8,746.8,763.2,,95,Wind blowing from the north-northwest,3,,10,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,,,,300-600,,,4.0,12.0,4.0,6,,,,
03.03.2020 14:00,13.0,747.6,764.0,-1.3,93,Wind blowing from the north-west,5,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,17.2,,,300-600,,,9.0,11.9,6.0,12,,,,
03.03.2020 11:00,13.0,748.9,765.4,,92,Wind blowing from the north-northwest,4,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,12.9,,,,300-600,,,16.0,11.7,5.0,6,,,,
03.03.2020 08:00,13.6,747.6,764.0,1.7,95,Wind blowing from the north-west,5,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,19.2,,,300-600,,,7.0,12.8,8.0,12,,,,
03.03.2020 05:00,14.3,745.9,762.2,,96,Wind blowing from the north,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,14.3,19.2,,,,,,5.0,13.7,4.0,6,,,,
03.03.2020 02:00,15.1,746.8,763.1,,97,Wind blowing from the north,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,19.2,,,2500 or more  or no clouds.,,,2.3,14.6,16.0,12,,,,
02.03.2020 20:00,16.3,746.5,762.7,1.2,96,Wind blowing from the north-northwest,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,15.7,19.2,,,300-600,,,3.3,15.7,13.0,12,,,,
02.03.2020 17:00,16.6,745.3,761.6,,96,Wind blowing from the north,1,,6,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Rain.,15.7,19.2,,,300-600,,,4.2,16.0,9.0,6,,,,
02.03.2020 14:00,17.3,746.5,762.7,-1.8,86,Wind blowing from the south,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,,,,300-600,,,7.0,14.9,0.6,12,,,,
02.03.2020 11:00,17.9,748.3,764.5,,70,Wind blowing from the north-northwest,1,,9,90  or more  but not 100%, ,,,15.7,,,,600-1000,,,22.0,12.4,No precipitation,6,,,,
02.03.2020 08:00,15.9,747.7,763.9,0.9,77,Wind blowing from the north-northwest,2,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.7,,,,300-600,,,29.0,11.9,0.1,12,,,,
02.03.2020 05:00,16.0,746.8,763.0,,79,Wind blowing from the north-west,4,,10,,Rain (not freezing) not falling as shower(s). ,,,15.8,,,,,,,30.0,12.4,0.1,6,,,,
02.03.2020 02:00,16.4,747.1,763.3,,83,Wind blowing from the north-west,4,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,25.7,,,2500 or more  or no clouds.,,,26.0,13.5,0.1,12,,,,
01.03.2020 20:00,17.7,745.9,762.0,1.2,81,Wind blowing from the north-west,6,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.7,25.7,,,600-1000,,,15.0,14.4,No precipitation,12,,,,
01.03.2020 17:00,19.2,744.7,760.9,,80,Wind blowing from the north-west,5,,11,100%., ,,,18.7,25.7,,,600-1000,,,14.0,15.7,No precipitation,6,,,,
01.03.2020 14:00,22.7,744.9,760.9,-1.3,74,Wind blowing from the north-west,6,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,25.7,,,1000-1500,,,15.0,17.8,No precipitation,12,,,,
01.03.2020 11:00,23.7,746.2,762.1,,75,Wind blowing from the north-northeast,1,,3,90  or more  but not 100%, ,,,18.7,24.3,,,1000-1500,,,11.0,19.0,No precipitation,6,,,,
01.03.2020 08:00,19.3,745.6,761.6,1.8,94,Wind blowing from the north,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,24.3,,,1500-2000,,,8.0,18.3,0.4,12,,,,
01.03.2020 05:00,18.8,743.8,759.8,,96,Wind blowing from the west,1,,4,, ,,,17.4,24.3,,,,,,9.0,18.1,No precipitation,6,,,,
01.03.2020 02:00,19.0,744.2,760.2,,96,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.3,,,2500 or more  or no clouds.,,,8.0,18.3,0.4,12,,,,
29.02.2020 20:00,21.5,743.2,759.2,0.1,78,Wind blowing from the east-southeast,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.3,,,1500-2000,,,5.0,17.5,Trace of precipitation,12,,,,
29.02.2020 17:00,23.7,743.1,759.1,,68,Wind blowing from the south,2,,5,100%., ,,,17.2,24.3,,,1000-1500,,,22.0,17.4,No precipitation,6,,,,
