Local time in Delingha,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 08:00,-7.2,534.0,773.8,,78,Wind blowing from the east,1,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,,,,2500 or more  or no clouds.,,,23.0,-10.4,No precipitation,12,,,,
16.03.2020 05:00,-6.2,533.3,771.7,,75,Wind blowing from the north-east,1,,,, ,,,,,,,,,,23.0,-9.9,,,,,,
16.03.2020 02:00,-6.1,533.2,770.6,,78,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,2.5,,,2500 or more  or no clouds.,,,21.0,-9.3,0.4,12,,,,
15.03.2020 20:00,-4.5,532.8,767.5,0.6,77,Wind blowing from the east,2,,6,100%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,8.4,,,600-1000,,,20.0,-7.9,0.4,12,,,,
15.03.2020 17:00,-3.2,532.2,766.0,,54,Wind blowing from the north-northwest,2,,6,100%., ,,,-3.3,,,,2500 or more  or no clouds.,,,17.0,-11.2,No precipitation,6,,,,
15.03.2020 14:00,-1.5,532.5,765.3,0.8,20,Wind blowing from the south,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.0,,,2500 or more  or no clouds.,,,13.0,-21.6,No precipitation,12,,,,
15.03.2020 11:00,-2.2,531.7,763.2,,27,Wind blowing from the south-southwest,1,,,100%., ,,,,,,,2500 or more  or no clouds.,,,18.0,-18.7,,,,,,
15.03.2020 08:00,1.9,529.7,756.7,0.7,17,Wind blowing from the south,2,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,12.0,,,1000-1500,,,30.0,-20.6,No precipitation,12,,,,
15.03.2020 05:00,1.8,529.0,754.4,,16,Wind blowing from the east,2,,13,, ,,,-4.8,12.0,,,,,,30.0,-21.4,No precipitation,6,,,,
15.03.2020 02:00,2.6,529.7,755.7,,15,Wind blowing from the south-southeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,12.0,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
14.03.2020 20:00,8.4,528.3,757.9,0.1,10,Wind blowing from the east,3,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,12.0,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
14.03.2020 17:00,11.4,528.2,756.1,,6,Wind blowing from the east,3,,10,90  or more  but not 100%, ,,,-7.5,11.8,,,,,,30.0,-25.0,No precipitation,6,,,,
14.03.2020 14:00,9.9,530.5,760.8,-2.0,6,Wind blowing from the east-southeast,3,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,9.9,,,2500 or more  or no clouds.,,,30.0,-26.1,No precipitation,12,,,,
14.03.2020 11:00,3.1,532.5,767.0,,9,Wind blowing from the east-southeast,1,,10,90  or more  but not 100%, ,,,-7.5,4.4,,,,,,30.0,-26.8,No precipitation,6,,,,
14.03.2020 08:00,-4.6,532.9,767.9,0.2,18,Wind blowing from the east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,4.4,,,2500 or more  or no clouds.,,,30.0,-25.3,No precipitation,12,,,,
14.03.2020 05:00,-4.1,532.7,766.0,,18,Wind blowing from the south-southeast,1,,7,, ,,,-12.7,4.4,,,,,,30.0,-24.9,No precipitation,6,,,,
14.03.2020 02:00,-5.6,533.7,769.9,,19,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,4.4,,,2500 or more  or no clouds.,,,30.0,-25.6,No precipitation,12,,,,
13.03.2020 20:00,1.5,533.4,771.8,0.2,8,Wind blowing from the west,1,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,4.4,,,2500 or more  or no clouds.,,,30.0,-29.3,No precipitation,12,,,,
13.03.2020 17:00,4.1,533.2,770.8,,6,Wind blowing from the west-southwest,2,,8,90  or more  but not 100%, ,,,-12.7,4.4,,,,,,27.0,-30.4,No precipitation,6,,,,
13.03.2020 14:00,0.8,535.1,773.3,,11,Wind blowing from the east-southeast,2,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,5.3,,,2500 or more  or no clouds.,,,18.0,-26.4,No precipitation,12,,,,
13.03.2020 11:00,-2.6,536.2,775.3,,13,Wind blowing from the south-east,1,,,no clouds, ,,,,,,,,,,20.0,-27.3,,,,,,
13.03.2020 08:00,-11.0,535.4,775.6,,26,Wind blowing from the east-northeast,1,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,5.3,,,2500 or more  or no clouds.,,,24.0,-26.8,No precipitation,12,,,,
13.03.2020 05:00,-12.1,534.3,772.7,,36,Calm  no wind,0,,,, ,,,,,,,,,,20.0,-24.1,,,,,,
13.03.2020 02:00,-8.4,533.6,769.3,,26,Wind blowing from the east,1,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,5.3,,,2500 or more  or no clouds.,,,13.0,-24.5,No precipitation,12,,,,
12.03.2020 20:00,-0.2,530.9,767.2,,10,Wind blowing from the west,4,,19,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,5.3,,,2500 or more  or no clouds.,,,7.0,-28.2,No precipitation,12,,,,
12.03.2020 17:00,3.4,529.2,761.0,,11,Wind blowing from the west,7,,,90  or more  but not 100%, ,,,,,,,,,,5.0,-24.3,,,,,,
12.03.2020 14:00,4.4,528.4,757.3,-0.7,14,Wind blowing from the west-southwest,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,7.4,,,2500 or more  or no clouds.,,,7.0,-20.8,No precipitation,12,,,,
12.03.2020 11:00,-0.1,529.1,760.0,,17,Wind blowing from the south-southwest,2,,,90  or more  but not 100%, ,,,,,,,,,,29.0,-22.3,,,,,,
12.03.2020 08:00,-7.4,528.0,761.2,0.3,36,Wind blowing from the north,0,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,7.4,,,2500 or more  or no clouds.,,,23.0,-19.9,No precipitation,12,,,,
12.03.2020 05:00,-3.2,527.7,757.5,,22,Wind blowing from the south,1,,13,, ,,,-7.1,7.4,,,,,,27.0,-21.9,No precipitation,6,,,,
12.03.2020 02:00,0.9,527.8,756.5,,18,Wind blowing from the west,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,7.4,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
11.03.2020 20:00,3.5,526.3,758.2,0.3,12,Wind blowing from the west,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,7.4,,,,,,30.0,-23.3,No precipitation,12,,,,
11.03.2020 17:00,6.2,526.0,756.9,,9,Wind blowing from the south-west,3,,9,, ,,,-7.6,7.0,,,,,,30.0,-24.4,No precipitation,6,,,,
11.03.2020 14:00,4.2,527.4,759.5,-1.2,13,Wind blowing from the west-northwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,4.7,,,,,,30.0,-21.8,No precipitation,12,,,,
11.03.2020 11:00,0.7,528.6,763.3,,11,Wind blowing from the south-east,1,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,30.0,-26.5,,,,,,
11.03.2020 08:00,-6.2,528.1,763.6,0.4,19,Wind blowing from the east-northeast,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,2.6,,,2500 or more  or no clouds.,,,30.0,-26.1,No precipitation,12,,,,
11.03.2020 05:00,-7.1,527.7,761.2,,20,Wind blowing from the north-east,2,,6,, ,,,-12.1,2.6,,,,,,30.0,-26.3,No precipitation,6,,,,
11.03.2020 02:00,-6.3,528.8,763.2,,19,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,2.6,,,2500 or more  or no clouds.,,,30.0,-26.2,No precipitation,12,,,,
10.03.2020 20:00,-2.0,529.1,768.0,,8,Wind blowing from the east-northeast,0,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,2.6,,,2500 or more  or no clouds.,,,16.0,-32.0,No precipitation,12,,,,
10.03.2020 17:00,2.3,529.6,764.7,,6,Wind blowing from the west-southwest,2,,7,no clouds, ,,,-12.1,2.6,,,,,,30.0,-31.7,No precipitation,6,,,,
10.03.2020 14:00,0.7,531.3,767.0,-1.5,6,Wind blowing from the west,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,2.1,,,,,,30.0,-32.9,No precipitation,12,,,,
10.03.2020 11:00,-2.7,532.8,770.5,,12,Wind blowing from the south,2,,,no clouds, ,,,,,,,,,,26.0,-28.2,,,,,,
10.03.2020 08:00,-12.0,532.1,772.0,0.4,32,Wind blowing from the north-northeast,0,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,2.1,,,,,,30.0,-25.4,No precipitation,12,,,,
10.03.2020 05:00,-8.5,531.7,768.1,,23,Wind blowing from the south-southeast,1,,6,, ,,,-9.1,2.1,,,,,,30.0,-25.9,No precipitation,6,,,,
10.03.2020 02:00,-6.7,532.2,768.6,,20,Wind blowing from the east-northeast,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,2.1,,,2500 or more  or no clouds.,,,30.0,-25.9,No precipitation,12,,,,
09.03.2020 20:00,-1.5,532.2,770.3,0.1,9,Wind blowing from the west-southwest,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,2.1,,,,,,30.0,-30.3,No precipitation,12,,,,
09.03.2020 17:00,1.7,532.1,766.9,,5,Wind blowing from the south,3,,7,no clouds, ,,,-8.3,2.9,,,,,,30.0,-34.0,No precipitation,6,,,,
09.03.2020 14:00,0.3,533.1,767.6,-0.3,9,Wind blowing from the east-southeast,1,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,2.9,,,1000-1500,,,30.0,-28.9,No precipitation,12,,,,
09.03.2020 11:00,-3.5,533.4,769.0,,22,Wind blowing from the south-east,3,,,no clouds, ,,,,,,,,,,25.0,-22.2,,,,,,
09.03.2020 08:00,-8.2,531.7,768.1,1.9,39,Wind blowing from the east-southeast,2,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,2.9,,,2500 or more  or no clouds.,,,24.0,-19.7,No precipitation,12,,,,
09.03.2020 05:00,-5.2,529.8,763.1,,44,Wind blowing from the south-east,2,,,, ,,,,,,,,,,9.0,-15.6,,,,,,
09.03.2020 02:00,-2.4,529.3,762.4,,37,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,3.0,,,2500 or more  or no clouds.,,,7.0,-15.4,No precipitation,12,,,,
08.03.2020 20:00,1.2,528.4,760.3,0.8,25,Wind blowing from the south-southwest,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,6.6,,,2500 or more  or no clouds.,,,13.0,-16.7,No precipitation,12,,,,
08.03.2020 17:00,2.6,527.6,757.8,,24,Wind blowing from the south-southwest,3,,9,90  or more  but not 100%, ,,,-3.2,,,,,,,14.0,-15.9,No precipitation,6,,,,
08.03.2020 14:00,-0.1,528.6,758.6,0.5,28,Wind blowing from the south-east,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,,,,2500 or more  or no clouds.,,,18.0,-16.4,No precipitation,12,,,,
08.03.2020 11:00,-2.8,528.1,758.8,,40,Wind blowing from the east-southeast,4,,8,100%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,12.1,,,2500 or more  or no clouds.,,,7.0,-14.8,No precipitation,6,,,,
08.03.2020 08:00,-2.0,525.3,753.2,,31,Wind blowing from the east-southeast,2,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,12.1,,,2500 or more  or no clouds.,,,2.4,-16.9,No precipitation,12,,,,
08.03.2020 05:00,-0.7,522.7,746.6,,33,Wind blowing from the south,1,,7,,Haze. ,,,-3.6,12.1,,,,,,5.0,-15.0,No precipitation,6,,,,
08.03.2020 02:00,3.1,521.6,743.5,,23,Wind blowing from the south-southeast,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,12.1,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
07.03.2020 20:00,6.7,521.1,747.7,,17,Wind blowing from the north,1,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,12.1,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
07.03.2020 17:00,11.4,521.5,745.6,,13,Wind blowing from the south-southwest,2,,,90  or more  but not 100%, ,,,-3.6,12.1,,,,,,30.0,-16.1,No precipitation,6,,,,
07.03.2020 14:00,10.7,523.5,748.0,-2.4,14,Wind blowing from the south-southeast,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,10.9,,,,,,30.0,-15.7,No precipitation,12,,,,
07.03.2020 11:00,3.7,525.9,755.5,,14,Wind blowing from the east,3,,,no clouds, ,,,,,,,,,,30.0,-21.4,,,,,,
07.03.2020 08:00,-3.0,525.8,756.8,0.0,22,Wind blowing from the east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,6.9,,,2500 or more  or no clouds.,,,30.0,-21.7,No precipitation,12,,,,
07.03.2020 05:00,-2.3,525.8,754.0,,22,Wind blowing from the east,3,,7,, ,,,-8.8,6.9,,,,,,30.0,-21.1,No precipitation,6,,,,
07.03.2020 02:00,-0.5,527.0,755.7,,20,Wind blowing from the east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,6.9,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
06.03.2020 20:00,1.6,526.9,760.1,-0.1,15,Wind blowing from the north,0,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,6.9,,,2500 or more  or no clouds.,,,30.0,-22.3,No precipitation,12,,,,
06.03.2020 17:00,6.6,527.0,757.6,,10,Wind blowing from the west-southwest,2,,6,no clouds, ,,,-8.8,7.3,,,,,,30.0,-22.9,No precipitation,6,,,,
06.03.2020 14:00,4.9,528.3,760.3,-1.2,12,Wind blowing from the south,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,7.3,,,2500 or more  or no clouds.,,,30.0,-22.2,No precipitation,12,,,,
06.03.2020 11:00,1.3,529.5,760.6,,18,Wind blowing from the east-southeast,1,,,no clouds, ,,,,,,,,,,30.0,-20.4,,,,,,
06.03.2020 08:00,-6.4,528.6,761.5,,34,Wind blowing from the east,2,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,7.3,,,2500 or more  or no clouds.,,,30.0,-19.7,No precipitation,12,,,,
06.03.2020 05:00,-6.0,527.6,758.1,,33,Wind blowing from the east,1,,11,, ,,,-8.4,7.3,,,,,,30.0,-19.7,No precipitation,6,,,,
06.03.2020 02:00,-6.2,527.9,759.7,,29,Wind blowing from the south-east,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,7.3,,,2500 or more  or no clouds.,,,24.0,-21.3,No precipitation,12,,,,
05.03.2020 20:00,3.8,527.0,759.0,1.0,10,Wind blowing from the west,4,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,7.3,,,1000-1500,,,30.0,-25.1,No precipitation,12,,,,
05.03.2020 17:00,7.2,526.0,755.5,,13,Wind blowing from the west,2,,9,90  or more  but not 100%, ,,,-7.5,7.2,,,,,,30.0,-19.4,No precipitation,6,,,,
05.03.2020 14:00,5.1,527.4,757.9,-1.3,11,Wind blowing from the west-southwest,2,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,5.1,,,1000-1500,,,30.0,-23.0,No precipitation,12,,,,
05.03.2020 11:00,0.3,528.7,762.1,,18,Wind blowing from the east,2,,,20–30%., ,,,,,,,1000-1500,,,30.0,-21.3,,,,,,
05.03.2020 08:00,-6.1,528.0,762.3,0.0,29,Wind blowing from the east-northeast,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,4.6,,,,,,30.0,-21.3,No precipitation,12,,,,
05.03.2020 05:00,-5.3,528.0,759.8,,28,Wind blowing from the east-southeast,2,,7,, ,,,-8.6,4.6,,,,,,30.0,-21.0,No precipitation,6,,,,
05.03.2020 02:00,-4.0,528.9,761.6,,26,Wind blowing from the east-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,4.6,,,2500 or more  or no clouds.,,,30.0,-20.7,No precipitation,12,,,,
04.03.2020 20:00,0.2,528.8,764.4,0.1,20,Wind blowing from the north-west,1,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,4.6,,,2500 or more  or no clouds.,,,30.0,-20.1,No precipitation,12,,,,
04.03.2020 17:00,4.2,528.7,761.9,,15,Wind blowing from the north,1,,8,no clouds, ,,,-8.8,4.6,,,,,,30.0,-20.2,No precipitation,6,,,,
04.03.2020 14:00,1.9,530.3,765.7,-1.6,18,Wind blowing from the east-northeast,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,3.2,,,,,,29.0,-19.9,No precipitation,12,,,,
04.03.2020 11:00,-2.2,531.9,769.2,,26,Wind blowing from the east,2,,,no clouds, ,,,,,,,,,,30.0,-19.1,,,,,,
04.03.2020 08:00,-8.1,531.6,768.9,0.0,36,Wind blowing from the east-northeast,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,3.2,,,,,,30.0,-20.5,No precipitation,12,,,,
04.03.2020 05:00,-7.4,531.6,766.7,,37,Wind blowing from the east,2,,,, ,,,-8.8,3.2,,,,,,30.0,-19.6,No precipitation,6,,,,
04.03.2020 02:00,-8.2,532.4,769.1,,46,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,3.2,,,2500 or more  or no clouds.,,,30.0,-17.8,No precipitation,12,,,,
03.03.2020 20:00,-0.6,531.9,768.2,0.7,18,Wind blowing from the south-west,1,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,3.2,,,1000-1500,,,30.0,-22.0,No precipitation,12,,,,
03.03.2020 17:00,3.1,531.2,764.0,,17,Wind blowing from the north-northeast,1,,7,60%., ,,,-6.2,3.5,,,1000-1500,,,30.0,-19.6,No precipitation,6,,,,
03.03.2020 14:00,1.3,532.0,765.9,-1.1,18,Wind blowing from the west-southwest,3,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,3.5,,,1000-1500,,,30.0,-20.4,No precipitation,12,,,,
03.03.2020 11:00,-2.7,533.1,769.0,,31,Wind blowing from the south-east,3,,,20–30%., ,,,,,,,1000-1500,,,30.0,-17.5,,,,,,
03.03.2020 08:00,-5.9,531.9,767.5,0.6,74,Wind blowing from the east,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,3.5,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
03.03.2020 05:00,-3.4,531.3,764.2,,53,Wind blowing from the east-southeast,2,,,, ,,,-6.9,3.5,,,,,,30.0,-11.6,No precipitation,6,,,,
03.03.2020 02:00,-3.0,531.3,764.8,,49,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,3.5,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
02.03.2020 20:00,0.7,530.4,765.5,0.6,28,Wind blowing from the south-southwest,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,3.5,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
02.03.2020 17:00,2.9,529.8,764.0,,21,Wind blowing from the west,2,,7,90  or more  but not 100%, ,,,-7.3,3.0,,,,,,30.0,-17.3,No precipitation,6,,,,
02.03.2020 14:00,1.3,530.7,765.2,-1.2,30,Wind blowing from the south-east,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,3.2,,,2500 or more  or no clouds.,,,30.0,-14.4,No precipitation,12,,,,
02.03.2020 11:00,-1.7,531.9,766.4,,37,Wind blowing from the south-southwest,2,,,90  or more  but not 100%, ,,,,,,,,,,30.0,-14.5,,,,,,
02.03.2020 08:00,-6.3,530.8,766.6,,47,Wind blowing from the north-east,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,3.2,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
02.03.2020 05:00,-7.0,530.2,764.7,,60,Wind blowing from the east,1,,7,, ,,,-7.3,3.2,,,,,,30.0,-13.5,No precipitation,6,,,,
02.03.2020 02:00,-5.3,530.2,764.6,,67,Wind blowing from the north,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,3.2,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
01.03.2020 20:00,-0.2,529.4,762.4,0.3,57,Wind blowing from the north,1,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,3.2,,,1000-1500,,,30.0,-7.9,Trace of precipitation,12,,,,
01.03.2020 17:00,2.6,529.1,761.8,,42,Wind blowing from the west,2,,5,100%., ,,,-5.4,7.7,,,1000-1500,,,30.0,-9.0,No precipitation,6,,,,
01.03.2020 14:00,1.0,530.2,764.6,-0.8,48,Wind blowing from the west,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,7.7,,,2500 or more  or no clouds.,,,30.0,-8.8,Trace of precipitation,12,,,,
01.03.2020 11:00,-0.2,531.0,764.9,,31,Wind blowing from the south-west,1,,,90  or more  but not 100%, ,,,,,,,,,,30.0,-15.3,,,,,,
