Local time in Akqi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 17:00,11.2,605.5,769.2,,17,Wind blowing from the north,2,,9,20–30%., ,,,-0.7,11.2,,,1500-2000,,,21.0,-13.0,No precipitation,6,,,,
16.03.2020 14:00,7.9,606.9,771.8,-0.1,26,Wind blowing from the south-west,2,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.7,7.9,,,1500-2000,,,9.0,-10.4,No precipitation,12,,,,
16.03.2020 11:00,1.0,607.0,773.9,,50,Wind blowing from the west-southwest,5,,9,20–30%., ,,,-0.7,,,,1500-2000,,,8.0,-8.3,No precipitation,6,,,,
16.03.2020 08:00,-0.1,606.4,773.0,0.5,61,Wind blowing from the west-southwest,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,5.2,,,1500-2000,,,9.0,-6.9,No precipitation,12,,,,
16.03.2020 05:00,0.0,605.9,773.1,,63,Wind blowing from the west-southwest,4,,8,, ,,,-1.8,5.2,,,,,,9.0,-6.2,No precipitation,6,,,,
16.03.2020 02:00,0.5,606.0,771.7,,71,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,5.2,,,2500 or more  or no clouds.,,,7.0,-4.3,0.2,12,,,,
15.03.2020 20:00,2.9,604.8,771.4,0.0,56,Wind blowing from the east,1,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,-2.1,5.2,,,1500-2000,,,7.0,-5.0,0.2,12,,,,
15.03.2020 17:00,1.0,604.8,772.0,,88,Wind blowing from the east-northeast,2,,8,90  or more  but not 100%,Rain or drizzle and snow  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,7.0,,,1500-2000,,,2.9,-0.8,No precipitation,6,,,,
15.03.2020 14:00,4.7,604.6,770.9,0.1,30,Wind blowing from the west-northwest,1,,7,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,7.0,,,1500-2000,,,5.0,-11.4,No precipitation,12,,,,
15.03.2020 11:00,1.7,604.5,770.5,,37,Wind blowing from the south-west,3,,7,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,7.0,,,1500-2000,,,5.0,-11.4,No precipitation,6,,,,
15.03.2020 08:00,-1.1,604.1,769.9,-0.3,47,Wind blowing from the west-southwest,2,,6,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.1,7.0,,,1500-2000,,,5.0,-11.0,No precipitation,12,,,,
15.03.2020 05:00,-1.1,604.4,769.6,,49,Wind blowing from the west,2,,8,,Haze. ,,,-2.4,7.0,,,,,,5.0,-10.7,No precipitation,6,,,,
15.03.2020 02:00,-2.1,604.8,771.2,,54,Wind blowing from the west,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.0,,,2500 or more  or no clouds.,,,4.7,-10.2,No precipitation,12,,,,
14.03.2020 20:00,4.9,603.0,768.6,0.3,29,Wind blowing from the east-northeast,3,,8,40%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.0,,,1500-2000,,,5.0,-11.6,No precipitation,12,,,,
14.03.2020 17:00,6.8,602.7,767.7,,25,Wind blowing from the east,4,,8,50%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.2,,,1500-2000,,,6.0,-11.9,No precipitation,6,,,,
14.03.2020 14:00,4.6,603.9,770.0,-0.4,31,Wind blowing from the east,3,,7,20–30%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.2,,,2500 or more  or no clouds.,,,6.0,-11.1,No precipitation,12,,,,
14.03.2020 11:00,0.5,604.3,770.8,,38,Wind blowing from the south-west,2,,7,no clouds,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,,,,,,,5.0,-12.2,No precipitation,6,,,,
14.03.2020 08:00,-1.3,604.2,770.2,-0.6,45,Wind blowing from the south-west,2,,7,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.2,,,1500-2000,,,5.0,-11.7,No precipitation,12,,,,
14.03.2020 05:00,-1.8,604.8,770.2,,48,Wind blowing from the west,2,,8,,Haze. ,,,-3.0,8.2,,,,,,5.0,-11.4,No precipitation,6,,,,
14.03.2020 02:00,-2.0,606.0,772.9,,49,Wind blowing from the north-east,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,8.2,,,2500 or more  or no clouds.,,,5.0,-11.3,No precipitation,12,,,,
13.03.2020 20:00,4.1,604.3,770.5,0.1,35,Wind blowing from the east-northeast,3,,8,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,8.2,,,1500-2000,,,4.5,-10.0,No precipitation,12,,,,
13.03.2020 17:00,7.0,604.2,768.9,,32,Wind blowing from the south-west,2,,6,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,7.0,,,1500-2000,,,6.0,-8.6,No precipitation,6,,,,
13.03.2020 14:00,3.6,606.1,771.9,,47,Wind blowing from the south-southwest,2,,6,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,6.3,,,1500-2000,,,5.0,-6.9,No precipitation,12,,,,
13.03.2020 11:00,-0.7,607.5,774.8,,62,Wind blowing from the west-southwest,2,,4,60%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,6.3,,,1500-2000,,,3.8,-7.1,No precipitation,6,,,,
13.03.2020 08:00,-1.3,607.1,773.8,0.1,65,Wind blowing from the north-northeast,1,,5,20–30%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,6.3,,,1500-2000,,,3.9,-7.2,No precipitation,12,,,,
13.03.2020 05:00,0.0,607.0,772.7,,48,Wind blowing from the east,1,,6,,Haze. ,,,-3.6,6.3,,,,,,3.2,-9.7,No precipitation,6,,,,
13.03.2020 02:00,1.6,606.8,772.6,,49,Wind blowing from the east,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,6.3,,,2500 or more  or no clouds.,,,3.5,-8.2,No precipitation,12,,,,
12.03.2020 20:00,4.5,604.5,771.3,,38,Wind blowing from the east-northeast,3,,8,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,6.3,,,1500-2000,,,4.5,-8.6,No precipitation,12,,,,
12.03.2020 17:00,6.0,604.0,769.9,,28,Wind blowing from the east,3,,8,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,7.8,,,1500-2000,,,5.0,-11.1,No precipitation,6,,,,
12.03.2020 14:00,4.1,605.2,771.4,1.3,35,Wind blowing from the east,4,,8,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,7.9,,,1500-2000,,,4.6,-10.0,No precipitation,12,,,,
12.03.2020 11:00,0.5,603.9,770.6,,45,Wind blowing from the west-southwest,3,,5,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,,,,1500-2000,,,5.0,-10.3,No precipitation,6,,,,
12.03.2020 08:00,-3.5,602.5,768.5,0.4,64,Wind blowing from the west,1,,5,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,7.9,,,1500-2000,,,5.0,-9.5,No precipitation,12,,,,
12.03.2020 05:00,-2.7,602.1,767.1,,59,Wind blowing from the north-northwest,1,,7,,Mist. ,,,-3.0,7.9,,,,,,5.0,-9.8,No precipitation,6,,,,
12.03.2020 02:00,-1.1,601.4,765.5,,52,Wind blowing from the south-west,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.9,,,2500 or more  or no clouds.,,,5.0,-9.7,No precipitation,12,,,,
11.03.2020 20:00,5.3,599.1,763.6,0.6,32,Wind blowing from the east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.9,,,1500-2000,,,4.6,-10.1,No precipitation,12,,,,
11.03.2020 17:00,7.4,598.5,762.3,,20,Wind blowing from the east,4,,8,90  or more  but not 100%, ,,,-3.0,7.9,,,1500-2000,,,6.0,-14.1,No precipitation,6,,,,
11.03.2020 14:00,7.5,599.3,763.2,-0.6,14,Wind blowing from the south-east,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,7.5,,,1500-2000,,,12.0,-18.3,No precipitation,12,,,,
11.03.2020 11:00,0.1,599.9,766.3,,36,Wind blowing from the south-west,3,,6,90  or more  but not 100%, ,,,-3.2,,,,1500-2000,,,6.0,-13.2,No precipitation,6,,,,
11.03.2020 08:00,-1.8,599.3,765.1,-0.2,49,Wind blowing from the west-southwest,3,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,5.1,,,1500-2000,,,3.3,-11.1,No precipitation,12,,,,
11.03.2020 05:00,-2.2,599.5,764.5,,56,Wind blowing from the west,2,,8,,Mist. ,,,-5.5,5.1,,,,,,3.0,-10.0,No precipitation,6,,,,
11.03.2020 02:00,-2.0,600.2,765.9,,57,Wind blowing from the west-southwest,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,5.1,,,2500 or more  or no clouds.,,,2.8,-9.4,No precipitation,12,,,,
10.03.2020 20:00,1.6,599.4,766.4,0.1,42,Wind blowing from the east-northeast,3,,8,50%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,5.1,,,1500-2000,,,2.7,-10.2,No precipitation,12,,,,
10.03.2020 17:00,4.3,599.3,765.0,,32,Wind blowing from the east,4,,8,20–30%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,5.1,,,1500-2000,,,3.0,-10.9,No precipitation,6,,,,
10.03.2020 14:00,2.8,601.1,767.6,-1.4,33,Wind blowing from the east-northeast,3,,5,20–30%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,3.2,,,1500-2000,,,4.4,-11.9,No precipitation,12,,,,
10.03.2020 11:00,-3.2,602.5,770.8,,55,Wind blowing from the west-southwest,1,,5,40%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,,,,1500-2000,,,2.5,-11.0,No precipitation,6,,,,
10.03.2020 08:00,-5.3,602.4,770.6,-1.0,67,Wind blowing from the north-west,1,,5,90  or more  but not 100%,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,2.9,,,1500-2000,,,2.5,-10.5,No precipitation,12,,,,
10.03.2020 05:00,-4.2,603.4,771.0,,63,Wind blowing from the west,2,,6,,Mist. ,,,-5.1,2.9,,,,,,2.1,-10.2,No precipitation,6,,,,
10.03.2020 02:00,-3.7,605.2,773.1,,63,Wind blowing from the east,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,2.9,,,2500 or more  or no clouds.,,,1.9,-9.7,No precipitation,12,,,,
09.03.2020 20:00,0.6,605.0,773.5,-0.8,43,Wind blowing from the east-northeast,3,,7,60%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,5.2,,,1500-2000,,,2.9,-10.8,No precipitation,12,,,,
09.03.2020 17:00,2.1,605.8,773.4,,37,Wind blowing from the east-northeast,4,,7,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,7.7,,,1500-2000,,,3.0,-11.1,No precipitation,6,,,,
09.03.2020 14:00,1.8,607.8,776.3,-0.6,38,Wind blowing from the east,3,,4,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,7.7,,,1500-2000,,,5.0,-11.0,No precipitation,12,,,,
09.03.2020 11:00,-1.7,608.4,776.8,,46,Wind blowing from the west-southwest,1,,3,100%., ,,,-5.1,,,,1500-2000,,,8.0,-11.8,No precipitation,6,,,,
09.03.2020 08:00,-4.1,607.8,775.4,0.1,53,Wind blowing from the east,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,7.7,,,1500-2000,,,9.0,-12.3,No precipitation,12,,,,
09.03.2020 05:00,-2.2,607.9,774.4,,47,Wind blowing from the east-northeast,1,,7,, ,,,-5.5,7.7,,,,,,15.0,-12.0,No precipitation,6,,,,
09.03.2020 02:00,-3.3,607.7,774.7,,53,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,7.7,,,2500 or more  or no clouds.,,,9.0,-11.7,No precipitation,12,,,,
08.03.2020 20:00,5.2,604.3,771.5,0.6,15,Wind blowing from the east,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,7.7,,,1500-2000,,,23.0,-19.3,No precipitation,12,,,,
08.03.2020 17:00,7.1,603.7,769.7,,9,Wind blowing from the east-northeast,3,,8,60%., ,,,-5.5,7.6,,,1000-1500,,,30.0,-23.7,No precipitation,6,,,,
08.03.2020 14:00,6.1,604.2,768.4,0.0,9,Wind blowing from the east-southeast,2,,4,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,7.6,,,1500-2000,,,30.0,-24.5,No precipitation,12,,,,
08.03.2020 11:00,-0.6,604.2,769.9,,31,Wind blowing from the west,2,,6,50%., ,,,-5.5,7.6,,,1500-2000,,,30.0,-15.6,No precipitation,6,,,,
08.03.2020 08:00,-5.5,602.1,768.1,1.2,53,Wind blowing from the north-northwest,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,7.6,,,1500-2000,,,30.0,-13.6,No precipitation,12,,,,
08.03.2020 05:00,-4.4,600.9,766.0,,44,Wind blowing from the south-east,1,,6,, ,,,-4.5,7.6,,,,,,30.0,-14.8,No precipitation,6,,,,
08.03.2020 02:00,2.5,599.9,763.4,,17,Wind blowing from the south-west,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,7.6,,,2500 or more  or no clouds.,,,30.0,-20.1,No precipitation,12,,,,
07.03.2020 20:00,6.7,596.1,758.5,,17,Wind blowing from the east,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,7.6,,,1500-2000,,,30.0,-16.6,No precipitation,12,,,,
07.03.2020 17:00,7.2,595.2,756.9,,17,Wind blowing from the west,2,,6,90  or more  but not 100%, ,,,0.2,9.4,,,1500-2000,,,30.0,-16.2,No precipitation,6,,,,
07.03.2020 14:00,4.6,596.3,758.5,0.0,19,Wind blowing from the south-west,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.2,9.4,,,1500-2000,,,30.0,-17.1,No precipitation,12,,,,
07.03.2020 11:00,1.9,596.3,759.4,,26,Wind blowing from the west-southwest,2,,7,90  or more  but not 100%, ,,,0.2,,,,1500-2000,,,30.0,-15.6,No precipitation,6,,,,
07.03.2020 08:00,0.7,595.5,757.8,0.1,27,Wind blowing from the west-southwest,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.4,,,1500-2000,,,30.0,-16.2,No precipitation,12,,,,
07.03.2020 05:00,1.7,595.4,756.4,,27,Wind blowing from the west-southwest,3,,7,, ,,,-2.4,9.4,,,,,,30.0,-15.3,No precipitation,6,,,,
07.03.2020 02:00,3.3,595.8,757.0,,30,Wind blowing from the west-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.4,,,2500 or more  or no clouds.,,,15.0,-12.6,No precipitation,12,,,,
06.03.2020 20:00,6.3,594.0,756.8,-0.2,34,Wind blowing from the east,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.4,,,1500-2000,,,8.0,-8.4,No precipitation,12,,,,
06.03.2020 17:00,9.2,594.2,755.1,,24,Wind blowing from the west-southwest,2,,5,90  or more  but not 100%, ,,,-2.4,9.4,,,1000-1500,,,13.0,-10.3,No precipitation,6,,,,
06.03.2020 14:00,7.6,595.9,758.3,-1.0,30,Wind blowing from the south,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.6,,,1500-2000,,,12.0,-8.9,No precipitation,12,,,,
06.03.2020 11:00,1.8,596.9,760.7,,57,Wind blowing from the west-northwest,1,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,,,,1500-2000,,,5.0,-6.0,No precipitation,6,,,,
06.03.2020 08:00,-2.2,596.7,760.0,-0.7,69,Wind blowing from the north-west,1,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,9.6,,,1500-2000,,,8.0,-7.1,No precipitation,12,,,,
06.03.2020 05:00,1.3,597.4,759.1,,54,Wind blowing from the west,2,,7,, ,,,-2.7,9.6,,,,,,11.0,-7.2,No precipitation,6,,,,
06.03.2020 02:00,-0.3,598.1,761.3,,61,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,9.6,,,2500 or more  or no clouds.,,,10.0,-6.9,No precipitation,12,,,,
05.03.2020 20:00,7.1,597.0,760.2,0.0,33,Wind blowing from the east,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,9.6,,,1500-2000,,,9.0,-8.1,No precipitation,12,,,,
05.03.2020 17:00,9.5,597.0,759.5,,27,Wind blowing from the east,3,,7,70 – 80%., ,,,-3.2,9.6,,,1500-2000,,,12.0,-8.6,No precipitation,6,,,,
05.03.2020 14:00,6.8,598.8,762.7,-0.6,30,Wind blowing from the west-northwest,2,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,8.4,,,1500-2000,,,13.0,-9.6,No precipitation,12,,,,
05.03.2020 11:00,0.2,599.4,764.9,,49,Wind blowing from the west-southwest,3,,7,20–30%., ,,,-3.2,,,,1500-2000,,,12.0,-9.5,No precipitation,6,,,,
05.03.2020 08:00,-1.6,599.1,763.0,-0.2,58,Wind blowing from the west-southwest,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,8.4,,,2500 or more  or no clouds.,,,11.0,-8.8,No precipitation,12,,,,
05.03.2020 05:00,-1.5,599.3,762.9,,63,Wind blowing from the west,2,,7,, ,,,-3.2,8.4,,,,,,11.0,-7.8,No precipitation,6,,,,
05.03.2020 02:00,-2.0,599.4,763.6,,68,Wind blowing from the west-southwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,8.4,,,2500 or more  or no clouds.,,,10.0,-7.1,No precipitation,12,,,,
04.03.2020 20:00,6.9,597.9,761.5,0.6,32,Wind blowing from the east,3,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,8.4,,,1500-2000,,,9.0,-8.7,No precipitation,12,,,,
04.03.2020 17:00,7.9,597.3,760.5,,28,Wind blowing from the east,4,,7,70 – 80%., ,,,-2.3,8.4,,,1500-2000,,,10.0,-9.5,No precipitation,6,,,,
04.03.2020 14:00,6.8,598.9,762.7,-0.8,30,Wind blowing from the east-northeast,2,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,8.3,,,1500-2000,,,10.0,-9.6,No precipitation,12,,,,
04.03.2020 11:00,0.8,599.7,765.1,,45,Wind blowing from the west-southwest,3,,7,70 – 80%., ,,,-2.3,,,,1500-2000,,,9.0,-9.8,No precipitation,6,,,,
04.03.2020 08:00,-1.8,599.4,763.8,-0.3,60,Wind blowing from the west,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.3,,,1500-2000,,,9.0,-8.7,No precipitation,12,,,,
04.03.2020 05:00,-2.0,599.7,763.5,,62,Wind blowing from the west,2,,7,, ,,,-4.5,8.3,,,,,,9.0,-8.3,No precipitation,6,,,,
04.03.2020 02:00,-1.4,600.6,765.2,,64,Wind blowing from the west-southwest,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.3,,,2500 or more  or no clouds.,,,7.0,-7.5,No precipitation,12,,,,
03.03.2020 20:00,5.8,599.6,764.5,0.2,35,Wind blowing from the east-northeast,2,,7,70 – 80%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.3,,,1500-2000,,,6.0,-8.8,No precipitation,12,,,,
03.03.2020 17:00,8.2,599.4,763.0,,28,Wind blowing from the east,3,,6,50%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,8.3,,,1500-2000,,,8.0,-9.2,No precipitation,6,,,,
03.03.2020 14:00,5.6,601.5,766.3,-1.2,33,Wind blowing from the east,2,,4,20–30%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,7.2,,,1500-2000,,,7.0,-9.4,No precipitation,12,,,,
03.03.2020 11:00,-1.3,602.7,769.1,,58,Wind blowing from the west,1,,4,20–30%.,Widespread dust in suspension in the air  not raised by wind at or near the station at the time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,,,,1500-2000,,,6.0,-8.7,No precipitation,6,,,,
