Local time in Changling Economic Development Area,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 20:00,1.0,740.2,758.2,,48,Wind blowing from the south-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,3.7,,,2500 or more  or no clouds.,,,13.0,-9.0,No precipitation,12,,,,
16.03.2020 17:00,3.1,740.5,758.5,,28,Wind blowing from the south-southwest,3,,11,90  or more  but not 100%, ,,,-8.7,3.7,,,,,,14.0,-13.6,No precipitation,6,,,,
16.03.2020 14:00,3.3,741.2,759.2,-2.3,20,Wind blowing from the south-west,5,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,3.3,,,2500 or more  or no clouds.,,,16.0,-17.5,No precipitation,12,,,,
16.03.2020 11:00,0.1,743.5,761.7,,20,Wind blowing from the south-southwest,4,,11,60%., ,,,-8.7,0.1,,,2500 or more  or no clouds.,,,20.0,-20.2,No precipitation,6,,,,
16.03.2020 08:00,-5.5,745.9,764.3,,31,Wind blowing from the south-west,5,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,-2.6,,,2500 or more  or no clouds.,,,27.0,-19.9,No precipitation,12,,,,
16.03.2020 05:00,-8.3,747.3,765.7,,39,Wind blowing from the south,3,,8,, ,,,-8.7,-2.6,,,,,,26.0,-20.0,No precipitation,6,,,,
16.03.2020 02:00,-7.2,748.9,767.3,,29,Wind blowing from the south-west,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,-2.6,,,2500 or more  or no clouds.,,,26.0,-22.2,No precipitation,12,,,,
15.03.2020 20:00,-6.7,750.1,768.7,0.7,39,Wind blowing from the west,1,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,-0.9,,,,,,18.0,-18.6,No precipitation,12,,,,
15.03.2020 17:00,-3.0,749.4,767.8,,23,Wind blowing from the north,4,,17,no clouds, ,,,-8.3,4.5,,,,,,28.0,-21.2,No precipitation,6,,,,
15.03.2020 14:00,-2.9,748.5,766.7,0.7,16,Wind blowing from the north-northwest,7,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,,,,2500 or more  or no clouds.,,,29.0,-25.2,No precipitation,12,,,,
15.03.2020 11:00,-4.8,747.8,766.0,,26,Wind blowing from the north,8,,16,50%., ,,,-8.3,,,,2500 or more  or no clouds.,,,17.0,-21.3,No precipitation,6,,,,
15.03.2020 08:00,-8.0,746.0,764.2,3.5,58,Wind blowing from the north,7,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,6.5,,,,,,23.0,-14.9,Trace of precipitation,12,,,,
15.03.2020 05:00,-6.8,742.5,760.4,,79,Wind blowing from the north,7,,13,,Intermittent fall of snowflakes  slight at time of observation. ,,,-6.8,6.5,,,,,,12.0,-9.9,No precipitation,6,,,,
15.03.2020 02:00,-3.8,740.2,757.9,,49,Wind blowing from the north-northwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.5,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
14.03.2020 20:00,-0.9,738.4,756.2,1.5,52,Wind blowing from the west-northwest,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.5,,,2500 or more  or no clouds.,,,15.0,-9.7,No precipitation,12,,,,
14.03.2020 17:00,4.5,736.9,754.7,,24,Wind blowing from the west-northwest,7,,15,90  or more  but not 100%, ,,,-5.3,6.5,,,,,,17.0,-14.3,No precipitation,6,,,,
14.03.2020 14:00,5.4,737.5,755.2,-1.6,28,Wind blowing from the north-west,9,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,6.3,,,2500 or more  or no clouds.,,,15.0,-12.0,No precipitation,12,,,,
14.03.2020 11:00,4.8,739.1,756.8,,31,Wind blowing from the west-northwest,7,,11,no clouds, ,,,-5.3,4.8,,,,,,17.0,-11.2,No precipitation,6,,,,
14.03.2020 08:00,-2.3,740.8,758.6,-0.7,55,Wind blowing from the west-southwest,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,4.4,,,,,,21.0,-10.3,No precipitation,12,,,,
14.03.2020 05:00,-4.9,741.5,759.4,,55,Wind blowing from the west,2,,10,, ,,,-11.3,4.4,,,,,,30.0,-12.7,No precipitation,6,,,,
14.03.2020 02:00,-3.6,742.7,760.6,,51,Wind blowing from the west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,4.4,,,2500 or more  or no clouds.,,,27.0,-12.4,No precipitation,12,,,,
13.03.2020 20:00,1.3,744.7,762.8,-0.4,27,Wind blowing from the west-southwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,4.4,,,,,,24.0,-16.0,No precipitation,12,,,,
13.03.2020 17:00,3.7,745.1,763.3,,20,Wind blowing from the west,4,,12,, ,,,-11.4,4.4,,,,,,16.0,-17.1,No precipitation,6,,,,
13.03.2020 14:00,3.6,746.6,764.8,,22,Wind blowing from the west,7,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,3.7,,,,,,18.0,-16.1,No precipitation,12,,,,
13.03.2020 11:00,-0.4,749.6,767.9,,27,Wind blowing from the west,6,,9,no clouds, ,,,-11.4,1.2,,,,,,23.0,-17.1,No precipitation,6,,,,
13.03.2020 08:00,-7.5,751.1,769.6,,45,Wind blowing from the west-southwest,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,2.0,,,,,,19.0,-17.6,No precipitation,12,,,,
13.03.2020 05:00,-10.9,751.2,769.7,,46,Wind blowing from the west,3,,16,, ,,,-11.4,2.0,,,,,,29.0,-20.4,No precipitation,6,,,,
13.03.2020 02:00,-10.7,751.1,769.6,,34,Wind blowing from the west-northwest,3,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.7,2.0,,,2500 or more  or no clouds.,,,28.0,-23.5,No precipitation,12,,,,
12.03.2020 20:00,-6.0,749.5,767.8,,20,Wind blowing from the west-northwest,8,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,2.0,,,,,,13.0,-25.3,No precipitation,12,,,,
12.03.2020 17:00,-3.1,746.4,764.6,,13,Wind blowing from the west-northwest,11,,18,90  or more  but not 100%, ,,,-4.0,2.6,,,,,,8.0,-27.6,No precipitation,6,,,,
12.03.2020 14:00,-0.5,745.0,763.0,0.0,8,Wind blowing from the west-northwest,10,,,90  or more  but not 100%,Dust or sand raised by wind at or near the station at the time of observation  but no well-developed dust whirl(s) or sand whirl(s)  and no duststorm or sandstorm seen, or  in the case of ships  blowing spray at the station. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,3.3,,,2500 or more  or no clouds.,,,6.0,-30.8,No precipitation,12,,,,
12.03.2020 11:00,0.7,745.0,763.0,,18,Wind blowing from the west-northwest,11,,17,90  or more  but not 100%, ,,,-4.0,3.3,,,,,,10.0,-20.9,No precipitation,6,,,,
12.03.2020 08:00,-1.6,743.7,761.6,1.8,52,Wind blowing from the west,4,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,3.3,,,1500-2000,,,20.0,-10.3,No precipitation,12,,,,
12.03.2020 05:00,-3.8,741.9,759.8,,64,Wind blowing from the west,2,,9,, ,,,-8.4,3.3,,,,,,30.0,-9.7,No precipitation,6,,,,
12.03.2020 02:00,-1.6,740.2,758.0,,69,Wind blowing from the west-northwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,3.3,,,2500 or more  or no clouds.,,,24.0,-6.6,No precipitation,12,,,,
11.03.2020 20:00,0.2,740.5,758.5,-0.5,56,Wind blowing from the south,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,3.3,,,,,,24.0,-7.7,No precipitation,12,,,,
11.03.2020 17:00,2.6,741.0,759.0,,40,Wind blowing from the south-west,4,,9,no clouds, ,,,-8.4,3.3,,,,,,18.0,-9.9,No precipitation,6,,,,
11.03.2020 14:00,2.8,741.7,759.6,-2.1,42,Wind blowing from the south-west,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,3.2,,,,,,16.0,-9.1,No precipitation,12,,,,
11.03.2020 11:00,0.3,743.8,761.8,,47,Wind blowing from the south-west,3,,7,no clouds, ,,,-8.4,3.2,,,,,,19.0,-9.9,No precipitation,6,,,,
11.03.2020 08:00,-6.1,744.3,762.5,0.8,88,Wind blowing from the south-west,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,3.2,,,,,,9.0,-7.8,No precipitation,12,,,,
11.03.2020 05:00,-7.9,743.5,761.6,,90,Calm  no wind,0,,,, ,,,,,,,,,,12.0,-9.3,,,,,,
11.03.2020 02:00,-5.2,743.5,761.5,,89,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,3.2,,,2500 or more  or no clouds.,,,14.0,-6.8,No precipitation,12,,,,
10.03.2020 20:00,-2.6,742.4,760.5,,80,Wind blowing from the west-northwest,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,3.2,,,2500 or more  or no clouds.,,,20.0,-5.6,No precipitation,12,,,,
10.03.2020 17:00,0.8,741.1,759.1,,51,Wind blowing from the north-northwest,3,,9,90  or more  but not 100%, ,,,-8.8,3.2,,,,,,14.0,-8.4,No precipitation,6,,,,
10.03.2020 14:00,3.1,740.2,758.1,-1.5,28,Wind blowing from the north-northwest,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,3.2,,,2500 or more  or no clouds.,,,17.0,-14.0,No precipitation,12,,,,
10.03.2020 11:00,0.8,741.7,759.6,,37,Wind blowing from the north-west,3,,6,, ,,,-8.8,3.2,,,,,,18.0,-12.5,No precipitation,6,,,,
10.03.2020 08:00,-4.5,742.8,760.9,-0.7,83,Wind blowing from the north-west,0,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,3.2,,,2500 or more  or no clouds.,,,5.0,-7.0,No precipitation,12,,,,
10.03.2020 05:00,-8.1,743.5,761.6,,86,Wind blowing from the east-southeast,1,,,, ,,,-8.1,3.2,,,,,,21.0,-10.1,No precipitation,6,,,,
10.03.2020 02:00,-4.6,745.6,763.6,,70,Wind blowing from the east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,3.2,,,2500 or more  or no clouds.,,,24.0,-9.3,No precipitation,12,,,,
09.03.2020 20:00,-1.6,748.2,766.3,0.0,46,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,3.2,,,2500 or more  or no clouds.,,,21.0,-11.9,No precipitation,12,,,,
09.03.2020 17:00,1.9,748.2,766.3,,27,Wind blowing from the north-east,4,,7,no clouds, ,,,-3.4,4.2,,,,,,16.0,-15.1,No precipitation,6,,,,
09.03.2020 14:00,3.0,748.7,766.7,-1.2,25,Wind blowing from the north-northeast,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,4.6,,,2500 or more  or no clouds.,,,18.0,-15.1,No precipitation,12,,,,
09.03.2020 11:00,0.7,749.9,767.9,,36,Wind blowing from the north-northeast,3,,,90  or more  but not 100%, ,,,,,,,,,,20.0,-12.9,,,,,,
09.03.2020 08:00,-3.1,749.9,768.0,1.2,53,Wind blowing from the north-east,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,4.6,,,2500 or more  or no clouds.,,,16.0,-11.5,No precipitation,12,,,,
09.03.2020 05:00,-2.8,748.7,766.7,,61,Wind blowing from the north-east,3,,8,, ,,,-2.8,4.6,,,,,,29.0,-9.4,No precipitation,6,,,,
09.03.2020 02:00,-1.7,747.6,765.5,,82,Wind blowing from the north-northeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,4.6,,,2500 or more  or no clouds.,,,10.0,-4.4,No precipitation,12,,,,
08.03.2020 20:00,3.2,744.6,762.4,1.7,87,Wind blowing from the north-northwest,1,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,4.6,,,2500 or more  or no clouds.,,,6.0,1.2,No precipitation,12,,,,
08.03.2020 17:00,4.2,742.9,760.6,,82,Wind blowing from the south-southwest,2,,11,100%., ,,,-0.5,4.6,,,1500-2000,,,8.0,1.4,No precipitation,6,,,,
08.03.2020 14:00,4.4,742.3,760.0,-0.7,78,Wind blowing from the west-southwest,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,5.6,,,1500-2000,,,8.0,0.9,No precipitation,12,,,,
08.03.2020 11:00,3.3,743.0,760.8,,85,Wind blowing from the south-west,4,,,100%., ,,,-0.5,5.6,,,1500-2000,,,7.0,1.0,No precipitation,6,,,,
08.03.2020 08:00,2.2,743.1,760.9,,91,Wind blowing from the south-west,4,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,5.6,,,1500-2000,,,6.0,0.9,No precipitation,12,,,,
08.03.2020 05:00,1.2,743.2,760.9,,90,Wind blowing from the south-southwest,5,,11,,Mist. ,,,-6.1,5.6,,,,,,7.0,-0.3,No precipitation,6,,,,
08.03.2020 02:00,0.4,744.2,762.0,,94,Wind blowing from the south-west,4,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,5.6,,,2500 or more  or no clouds.,,,5.0,-0.4,No precipitation,12,,,,
07.03.2020 20:00,0.6,744.4,762.4,0.3,67,Wind blowing from the south-southwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,5.6,,,,,,14.0,-4.9,No precipitation,12,,,,
07.03.2020 17:00,4.6,744.1,762.1,,38,Wind blowing from the west-southwest,4,,8,no clouds, ,,,-6.1,5.6,,,,,,15.0,-8.8,No precipitation,6,,,,
07.03.2020 14:00,4.5,744.2,762.1,-1.4,33,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,4.5,,,2500 or more  or no clouds.,,,17.0,-10.7,No precipitation,12,,,,
07.03.2020 11:00,0.6,745.6,763.6,,44,Wind blowing from the west,4,,7,no clouds, ,,,-6.1,3.6,,,,,,20.0,-10.5,No precipitation,6,,,,
07.03.2020 08:00,-4.4,745.5,763.5,0.7,82,Wind blowing from the west-southwest,2,,5,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,3.6,,,,,,6.0,-7.1,No precipitation,12,,,,
07.03.2020 05:00,-5.1,744.8,762.8,,88,Wind blowing from the west,2,,5,,Mist. ,,,-5.1,3.6,,,,,,7.0,-6.8,No precipitation,6,,,,
07.03.2020 02:00,-2.6,744.3,762.2,,81,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,3.6,,,2500 or more  or no clouds.,,,10.0,-5.5,No precipitation,12,,,,
06.03.2020 20:00,1.9,743.5,761.4,0.9,79,Wind blowing from the south-west,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,3.6,,,2500 or more  or no clouds.,,,8.0,-1.4,No precipitation,12,,,,
06.03.2020 17:00,2.7,742.6,760.5,,73,Wind blowing from the west-southwest,2,,10,90  or more  but not 100%, ,,,-4.4,3.6,,,,,,7.0,-1.7,No precipitation,6,,,,
06.03.2020 14:00,3.2,742.3,760.1,-0.9,66,Wind blowing from the west-southwest,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,3.6,,,2500 or more  or no clouds.,,,9.0,-2.7,No precipitation,12,,,,
06.03.2020 11:00,2.5,743.2,761.1,,60,Wind blowing from the south-southwest,4,,,no clouds, ,,,-4.4,2.5,,,,,,12.0,-4.6,No precipitation,6,,,,
06.03.2020 08:00,-2.9,743.7,761.8,,66,Wind blowing from the south-southeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,17.0,-8.5,No precipitation,12,,,,
06.03.2020 05:00,-4.1,743.5,761.6,,67,Wind blowing from the south,3,,8,, ,,,,-0.1,,,,,,22.0,-9.4,No precipitation,6,,,,
06.03.2020 02:00,-3.6,744.2,762.3,,57,Wind blowing from the south,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-0.1,,,2500 or more  or no clouds.,,,27.0,-11.0,No precipitation,12,,,,
05.03.2020 20:00,-2.8,745.3,763.6,-0.3,69,Wind blowing from the south-east,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.1,-0.1,,,,,,16.0,-7.8,No precipitation,12,,,,
05.03.2020 17:00,-1.1,745.6,763.9,,62,Wind blowing from the south-west,4,,,60%., ,,,-10.1,-0.1,,,2500 or more  or no clouds.,,,16.0,-7.6,No precipitation,6,,,,
05.03.2020 14:00,-0.5,746.5,764.7,-2.2,50,Wind blowing from the south-west,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.1,-0.5,,,,,,17.0,-9.8,No precipitation,12,,,,
05.03.2020 11:00,-3.1,748.7,767.1,,54,Wind blowing from the south-west,4,,9,, ,,,-10.1,-1.7,,,,,,26.0,-11.2,No precipitation,6,,,,
05.03.2020 08:00,-8.3,750.3,768.8,-0.5,64,Wind blowing from the south,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.1,,,,,,,16.0,-14.0,No precipitation,12,,,,
05.03.2020 05:00,-8.6,750.8,769.3,,65,Wind blowing from the south-west,3,,7,, ,,,-9.6,-1.7,,,,,,23.0,-14.1,No precipitation,6,,,,
05.03.2020 02:00,-7.6,751.6,769.9,,68,Wind blowing from the south-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,-1.7,,,2500 or more  or no clouds.,,,23.0,-12.6,No precipitation,12,,,,
04.03.2020 20:00,-6.1,752.5,771.2,0.9,74,Wind blowing from the west,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,-1.7,,,,,,13.0,-10.1,No precipitation,12,,,,
04.03.2020 17:00,-2.5,751.6,770.1,,63,Wind blowing from the north-west,4,,9,no clouds, ,,,-9.6,-1.7,,,,,,25.0,-8.7,No precipitation,6,,,,
04.03.2020 14:00,-1.8,751.6,769.9,-0.4,63,Wind blowing from the north-northwest,5,,9,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,-1.8,,,2500 or more  or no clouds.,,,24.0,-8.0,No precipitation,12,,,,
04.03.2020 11:00,-5.3,752.0,770.5,,73,Wind blowing from the north-west,5,,8,no clouds, ,,,-9.6,-1.8,,,,,,28.0,-9.5,No precipitation,6,,,,
04.03.2020 08:00,-9.6,751.7,770.3,1.0,85,Wind blowing from the north-west,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,-1.8,,,,,,10.0,-11.7,Trace of precipitation,12,,,,
04.03.2020 05:00,-8.8,750.7,769.2,,90,Wind blowing from the north-northwest,3,,8,, ,,,-8.8,-1.8,,,,,,10.0,-10.2,No precipitation,6,,,,
04.03.2020 02:00,-7.0,750.3,768.7,,91,Wind blowing from the north,3,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,-1.8,,,2500 or more  or no clouds.,,,5.0,-8.3,Trace of precipitation,12,,,,
03.03.2020 20:00,-5.5,750.4,768.7,0.8,89,Wind blowing from the north-northeast,3,,9,90  or more  but not 100%,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,-1.8,,,2500 or more  or no clouds.,,,4.3,-7.1,Trace of precipitation,12,,,,
03.03.2020 17:00,-4.1,749.6,767.9,,85,Wind blowing from the north-east,4,,9,90  or more  but not 100%,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,0.0,,,,,,4.0,-6.3,Trace of precipitation,6,,,,
03.03.2020 14:00,-2.1,749.5,767.7,-1.4,53,Wind blowing from the east,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,1.0,,,2500 or more  or no clouds.,,,14.0,-10.6,No precipitation,12,,,,
03.03.2020 11:00,-2.8,750.9,769.2,,63,Wind blowing from the east,3,,7,100%., ,,,-4.8,,,,2500 or more  or no clouds.,,,8.0,-9.0,No precipitation,6,,,,
03.03.2020 08:00,-4.7,752.2,770.5,1.1,67,Wind blowing from the east,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,1.0,,,2500 or more  or no clouds.,,,9.0,-10.0,No precipitation,12,,,,
03.03.2020 05:00,-4.5,751.1,769.3,,65,Wind blowing from the east,4,,6,, ,,,-9.6,1.0,,,,,,13.0,-10.2,No precipitation,6,,,,
03.03.2020 02:00,-3.7,752.4,770.6,,65,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,1.0,,,2500 or more  or no clouds.,,,13.0,-9.4,No precipitation,12,,,,
02.03.2020 20:00,-2.3,752.7,771.1,0.8,50,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,1.0,,,2500 or more  or no clouds.,,,9.0,-11.5,No precipitation,12,,,,
02.03.2020 17:00,0.0,751.9,770.2,,42,Wind blowing from the west,0,,6,60%., ,,,-9.6,1.0,,,2500 or more  or no clouds.,,,20.0,-11.6,No precipitation,6,,,,
02.03.2020 14:00,0.1,751.7,770.1,-1.1,46,Wind blowing from the west-southwest,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,0.5,,,2500 or more  or no clouds.,,,17.0,-10.3,No precipitation,12,,,,
02.03.2020 11:00,-2.6,752.8,771.2,,72,Wind blowing from the west-southwest,2,,,40%., ,,,,,,,2500 or more  or no clouds.,,,15.0,-7.0,,,,,,
02.03.2020 08:00,-8.1,752.8,771.4,,93,Wind blowing from the west,1,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,0.1,,,,,,5.0,-9.1,No precipitation,12,,,,
02.03.2020 05:00,-7.9,751.8,770.2,,90,Calm  no wind,0,,,, ,,,-9.9,0.1,,,,,,14.0,-9.3,No precipitation,6,,,,
