Local time in Garze,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 02:00,9.1,502.2,745.9,,19,Wind blowing from the west,5,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,16.2,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
15.03.2020 23:00,11.1,501.9,744.9,,18,Wind blowing from the south-west,7,,21,, ,,,,16.2,,,,,,24.0,-12.3,No precipitation,6,,,,
15.03.2020 20:00,12.4,501.0,748.9,0.3,21,Wind blowing from the south,5,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,16.2,,,1500-2000,,,28.0,-9.3,No precipitation,12,,,,
15.03.2020 17:00,14.0,500.7,747.4,,17,Wind blowing from the north,2,,15,90  or more  but not 100%, ,,,1.1,17.9,,,,,,30.0,-10.7,No precipitation,6,,,,
15.03.2020 14:00,14.2,502.3,748.6,,14,Wind blowing from the west,6,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,17.9,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
15.03.2020 11:00,13.4,503.9,749.0,,17,Wind blowing from the east,3,,13,20–30%., ,,,1.1,17.9,,,1500-2000,,,30.0,-11.2,No precipitation,6,,,,
15.03.2020 08:00,1.7,504.3,754.5,0.9,42,Wind blowing from the north-northeast,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,17.9,,,2000-2500,,,30.0,-10.1,No precipitation,12,,,,
15.03.2020 05:00,2.0,503.4,749.6,,46,Wind blowing from the north-northeast,1,,11,, ,,,-5.3,17.9,,,,,,30.0,-8.4,No precipitation,6,,,,
15.03.2020 02:00,4.1,504.2,751.3,,34,Wind blowing from the east-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.9,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
14.03.2020 23:00,8.7,504.4,754.3,,20,Wind blowing from the north,2,,11,, ,,,,17.9,,,,,,30.0,-13.0,No precipitation,6,,,,
14.03.2020 20:00,11.1,503.7,757.3,0.1,16,Wind blowing from the south-west,1,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,17.9,,,1500-2000,,,30.0,-13.8,No precipitation,12,,,,
14.03.2020 17:00,17.7,503.6,752.8,,5,Wind blowing from the west-northwest,6,,11,70 – 80%., ,,,-5.3,17.7,,,1500-2000,,,30.0,-22.5,No precipitation,6,,,,
14.03.2020 14:00,14.5,505.4,755.7,-2.8,12,Wind blowing from the east-northeast,1,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,15.5,,,1500-2000,,,30.0,-14.6,No precipitation,12,,,,
14.03.2020 11:00,4.7,508.2,762.7,,26,Wind blowing from the south-southwest,1,,3,no clouds, ,,,-5.3,,,,,,,30.0,-13.2,No precipitation,6,,,,
14.03.2020 08:00,-5.1,507.8,765.1,1.3,63,Wind blowing from the south-east,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,,,,,,,30.0,-11.2,No precipitation,12,,,,
14.03.2020 05:00,-3.7,506.5,759.2,,63,Wind blowing from the south-southwest,1,,9,, ,,,-5.4,15.5,,,,,,30.0,-9.7,No precipitation,6,,,,
14.03.2020 02:00,-1.0,507.2,758.9,,43,Wind blowing from the north-northeast,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,15.5,,,2500 or more  or no clouds.,,,30.0,-12.0,No precipitation,12,,,,
13.03.2020 23:00,3.4,507.0,761.3,,36,Wind blowing from the south-west,1,,16,, ,,,-5.4,15.5,,,,,,30.0,-10.3,No precipitation,6,,,,
13.03.2020 20:00,8.0,505.6,761.6,0.3,19,Wind blowing from the north-east,1,,16,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,15.5,,,1500-2000,,,14.0,-14.2,No precipitation,12,,,,
13.03.2020 17:00,13.8,505.3,757.5,,10,Wind blowing from the west,6,,16,20–30%., ,,,-5.4,15.5,,,1500-2000,,,30.0,-17.3,No precipitation,6,,,,
13.03.2020 14:00,13.6,506.1,757.5,,12,Wind blowing from the south,3,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,13.6,,,1500-2000,,,30.0,-15.3,No precipitation,12,,,,
13.03.2020 11:00,4.1,508.5,764.0,,39,Wind blowing from the south-southwest,1,,3,no clouds, ,,,-5.4,11.8,,,,,,30.0,-8.9,No precipitation,6,,,,
13.03.2020 08:00,-4.8,507.9,765.8,0.9,74,Wind blowing from the south,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,11.8,,,,,,30.0,-8.7,No precipitation,12,,,,
13.03.2020 05:00,-3.9,507.0,761.3,,69,Calm  no wind,0,,,, ,,,-3.9,11.8,,,,,,30.0,-8.9,No precipitation,6,,,,
13.03.2020 02:00,-1.5,506.7,759.3,0.6,54,Wind blowing from the north,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.8,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
12.03.2020 23:00,2.7,506.1,759.8,,39,Wind blowing from the north-northwest,2,,15,, ,,,-2.5,11.8,,,,,,30.0,-9.9,No precipitation,6,,,,
12.03.2020 20:00,6.7,504.3,759.0,,33,Wind blowing from the west,1,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.8,,,1500-2000,,,30.0,-8.4,No precipitation,12,,,,
12.03.2020 17:00,11.4,503.0,754.3,,19,Wind blowing from the west,6,,15,50%., ,,,-2.5,11.8,,,1500-2000,,,22.0,-11.4,No precipitation,6,,,,
12.03.2020 14:00,11.8,503.4,753.6,,20,Wind blowing from the west-northwest,4,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.8,,,1500-2000,,,30.0,-10.4,No precipitation,12,,,,
12.03.2020 11:00,5.0,504.8,758.0,,46,Wind blowing from the south-southeast,1,,5,90  or more  but not 100%, ,,,-2.5,11.2,,,1500-2000,,,30.0,-5.9,No precipitation,6,,,,
12.03.2020 08:00,-2.4,504.3,761.0,0.8,72,Wind blowing from the north,0,,6,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,11.2,,,1500-2000,,,30.0,-6.8,No precipitation,12,,,,
12.03.2020 05:00,-2.1,503.5,756.7,,72,Calm  no wind,0,,,, ,,,-4.0,11.2,,,,,,30.0,-6.5,No precipitation,6,,,,
12.03.2020 02:00,0.0,503.6,754.5,0.2,67,Wind blowing from the north-east,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,11.2,,,2500 or more  or no clouds.,,,30.0,-5.4,No precipitation,12,,,,
11.03.2020 23:00,2.5,503.4,756.1,,50,Wind blowing from the north-northwest,3,,17,, ,,,-4.0,11.2,,,,,,30.0,-6.9,No precipitation,6,,,,
11.03.2020 20:00,3.2,502.8,759.2,2.7,55,Wind blowing from the west,3,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,11.2,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
11.03.2020 17:00,8.4,500.1,751.6,,27,Wind blowing from the west-southwest,3,,,90  or more  but not 100%, ,,,-4.0,11.2,,,,,,30.0,-9.5,No precipitation,6,,,,
11.03.2020 14:00,10.7,500.4,749.9,-2.4,17,Wind blowing from the west,7,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,11.6,,,1500-2000,,,30.0,-13.4,No precipitation,12,,,,
11.03.2020 11:00,4.7,502.8,754.8,,36,Wind blowing from the south,1,,6,50%., ,,,-4.0,11.6,,,1500-2000,,,30.0,-9.1,No precipitation,6,,,,
11.03.2020 08:00,-3.3,502.8,757.1,,68,Wind blowing from the south-east,1,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,11.6,,,1500-2000,,,30.0,-8.5,No precipitation,12,,,,
11.03.2020 05:00,-2.0,502.1,753.7,,54,Wind blowing from the north-west,1,,11,, ,,,-5.9,11.6,,,,,,30.0,-10.1,No precipitation,6,,,,
11.03.2020 02:00,-0.2,503.0,753.7,-0.1,50,Wind blowing from the west,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,11.6,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
10.03.2020 23:00,3.2,503.1,756.6,,39,Wind blowing from the south-east,3,,12,, ,,,-5.9,11.6,,,,,,30.0,-9.7,No precipitation,6,,,,
10.03.2020 20:00,7.1,501.3,756.1,,21,Wind blowing from the west,5,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,11.6,,,1500-2000,,,30.0,-13.8,No precipitation,12,,,,
10.03.2020 17:00,9.9,500.5,752.6,,11,Wind blowing from the west,6,,12,90  or more  but not 100%, ,,,-5.9,11.6,,,1500-2000,,,30.0,-19.2,No precipitation,6,,,,
10.03.2020 14:00,10.6,502.5,753.5,,13,Wind blowing from the north-west,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,10.6,,,1500-2000,,,30.0,-16.7,No precipitation,12,,,,
10.03.2020 11:00,2.2,505.7,760.9,,34,Wind blowing from the south-southeast,2,,5,10%  or less  but not 0, ,,,-5.9,9.6,,,1500-2000,,,30.0,-12.0,No precipitation,6,,,,
10.03.2020 08:00,-5.6,505.3,763.4,0.7,65,Wind blowing from the east-northeast,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,9.6,,,1500-2000,,,30.0,-11.3,No precipitation,12,,,,
10.03.2020 05:00,-4.3,504.6,759.9,,59,Wind blowing from the west,1,,9,, ,,,-5.7,9.6,,,,,,30.0,-11.3,No precipitation,6,,,,
10.03.2020 02:00,-1.2,505.1,759.5,,37,Wind blowing from the north-northwest,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,9.6,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
09.03.2020 20:00,4.7,504.0,761.1,1.8,25,Wind blowing from the north-northwest,3,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,9.6,,,1500-2000,,,30.0,-13.7,No precipitation,12,,,,
09.03.2020 17:00,7.7,502.2,756.0,,16,Wind blowing from the north-east,3,,14,90  or more  but not 100%, ,,,-5.7,9.6,,,1500-2000,,,30.0,-16.5,No precipitation,6,,,,
09.03.2020 14:00,6.8,502.7,756.0,-1.2,18,Wind blowing from the west,5,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,12.1,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
09.03.2020 11:00,2.3,503.9,758.9,,48,Wind blowing from the south-southeast,1,,5,10%  or less  but not 0, ,,,-5.7,12.1,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,6,,,,
09.03.2020 08:00,-5.0,503.4,760.3,0.7,79,Wind blowing from the west-southwest,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,12.1,,,1500-2000,,,30.0,-8.2,No precipitation,12,,,,
09.03.2020 05:00,-3.8,502.7,756.1,,81,Wind blowing from the north-northeast,1,,14,, ,,,-3.8,12.1,,,,,,30.0,-6.7,No precipitation,6,,,,
09.03.2020 02:00,-1.4,503.1,754.3,,70,Wind blowing from the north,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.1,,,2500 or more  or no clouds.,,,30.0,-6.2,No precipitation,12,,,,
08.03.2020 23:00,1.0,503.5,754.4,,75,Wind blowing from the east,1,,14,,Rain and snow or ice pellets not falling as shower(s). ,,,-2.2,12.1,,,,,,30.0,-2.9,No precipitation,6,,,,
08.03.2020 20:00,4.5,501.3,755.3,1.7,45,Wind blowing from the west-northwest,2,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.1,,,1500-2000,,,28.0,-6.4,Trace of precipitation,12,,,,
08.03.2020 17:00,8.9,499.6,749.7,,24,Wind blowing from the north-northwest,3,,14,100%., ,,,-2.2,12.1,,,1500-2000,,,30.0,-10.6,No precipitation,6,,,,
08.03.2020 14:00,11.2,499.5,747.6,-1.5,15,Wind blowing from the south-southwest,5,,14,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.2,12.7,,,1500-2000,,,30.0,-14.5,No precipitation,12,,,,
08.03.2020 11:00,9.6,501.0,748.9,,17,Wind blowing from the south-west,2,,6,50%., ,,,-2.2,12.7,,,1500-2000,,,30.0,-14.3,No precipitation,6,,,,
08.03.2020 08:00,-1.6,500.4,752.1,,50,Wind blowing from the north-west,1,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,12.7,,,1500-2000,,,24.0,-10.9,No precipitation,12,,,,
08.03.2020 05:00,-0.4,499.7,748.5,,48,Wind blowing from the east-southeast,2,,9,, ,,,-5.0,12.7,,,,,,30.0,-10.3,No precipitation,6,,,,
08.03.2020 02:00,0.9,500.1,748.1,-0.1,40,Wind blowing from the north-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,12.7,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
07.03.2020 23:00,4.4,500.2,749.9,,30,Wind blowing from the south-southwest,1,,11,, ,,,-5.0,12.7,,,,,,30.0,-11.7,No precipitation,6,,,,
07.03.2020 20:00,8.0,499.8,752.9,-0.6,21,Wind blowing from the south-east,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,12.7,,,1500-2000,,,30.0,-13.0,No precipitation,12,,,,
07.03.2020 17:00,11.4,500.4,751.0,,13,Wind blowing from the south-west,5,,,90  or more  but not 100%, ,,,-5.0,12.7,,,,,,30.0,-16.1,No precipitation,6,,,,
07.03.2020 14:00,11.9,502.1,752.0,-2.2,14,Wind blowing from the south-southwest,3,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,12.0,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
07.03.2020 11:00,5.4,504.3,756.9,,32,Wind blowing from the south-southwest,1,,5,no clouds, ,,,-5.0,11.0,,,,,,30.0,-10.0,No precipitation,6,,,,
07.03.2020 08:00,-4.8,504.3,760.6,1.2,72,Wind blowing from the north-northwest,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,11.0,,,,,,30.0,-9.1,No precipitation,12,,,,
07.03.2020 05:00,-3.3,503.1,755.9,,74,Wind blowing from the north-east,1,,12,, ,,,-3.7,11.0,,,,,,30.0,-7.3,No precipitation,6,,,,
07.03.2020 02:00,-0.7,503.2,755.2,,59,Wind blowing from the east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.0,,,2500 or more  or no clouds.,,,30.0,-7.9,No precipitation,12,,,,
06.03.2020 23:00,3.0,503.2,757.6,,42,Wind blowing from the north,2,,12,, ,,,-2.5,11.0,,,,,,30.0,-8.7,No precipitation,6,,,,
06.03.2020 20:00,6.2,502.2,756.2,0.8,30,Wind blowing from the north,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.0,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
06.03.2020 17:00,9.9,501.4,752.5,,19,Wind blowing from the south,5,,12,90  or more  but not 100%, ,,,-2.5,11.0,,,,,,30.0,-12.6,No precipitation,6,,,,
06.03.2020 14:00,8.9,503.1,754.3,-2.3,23,Wind blowing from the north,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,11.0,,,1500-2000,,,30.0,-11.1,1.0,12,,,,
06.03.2020 11:00,1.0,505.4,760.8,,65,Wind blowing from the south-southwest,2,,6,20–30%., ,,,-2.5,11.0,,,600-1000,,,30.0,-5.0,No precipitation,6,,,,
06.03.2020 08:00,-2.5,504.7,760.6,,77,Wind blowing from the north-northwest,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,11.0,,,2500 or more  or no clouds.,,,30.0,-6.1,1.0,12,,,,
06.03.2020 05:00,-1.6,504.0,758.3,,87,Wind blowing from the east,1,,10,, ,,,-4.8,11.0,,,,,,30.0,-3.5,1.0,6,,,,
06.03.2020 02:00,0.8,504.6,756.3,1.3,71,Wind blowing from the north-northwest,3,,12,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,11.0,,,2500 or more  or no clouds.,,,9.0,-3.9,No precipitation,12,,,,
05.03.2020 23:00,3.0,503.3,755.8,,45,Wind blowing from the north-east,1,,12,, ,,,-4.8,11.0,,,,,,30.0,-7.8,No precipitation,6,,,,
05.03.2020 20:00,5.1,501.9,757.6,0.8,32,Wind blowing from the west-northwest,1,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,11.0,,,1500-2000,,,30.0,-10.2,No precipitation,12,,,,
05.03.2020 17:00,6.2,501.1,754.5,,33,Wind blowing from the south,5,,12,90  or more  but not 100%, ,,,-4.8,11.0,,,,,,25.0,-8.9,No precipitation,6,,,,
05.03.2020 14:00,9.3,502.1,753.1,-2.2,15,Wind blowing from the west-southwest,5,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,9.9,,,1500-2000,,,30.0,-16.0,No precipitation,12,,,,
05.03.2020 11:00,4.5,504.3,758.2,,39,Wind blowing from the south-east,2,,3,10%  or less  but not 0, ,,,-4.8,8.7,,,1500-2000,,,30.0,-8.3,No precipitation,6,,,,
05.03.2020 08:00,-4.8,503.9,761.5,0.6,72,Wind blowing from the north-northeast,1,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,8.7,,,1500-2000,,,30.0,-9.1,No precipitation,12,,,,
05.03.2020 05:00,-2.4,503.3,757.0,,60,Wind blowing from the north,2,,8,, ,,,-5.7,8.7,,,,,,30.0,-9.3,No precipitation,6,,,,
05.03.2020 02:00,-0.1,503.4,756.3,,57,Wind blowing from the east-southeast,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,8.7,,,2500 or more  or no clouds.,,,30.0,-7.6,No precipitation,12,,,,
04.03.2020 23:00,1.2,503.7,759.7,,47,Wind blowing from the east-southeast,1,,10,, ,,,-5.7,8.7,,,,,,30.0,-8.9,No precipitation,6,,,,
04.03.2020 20:00,3.4,503.2,760.9,0.9,40,Wind blowing from the west,2,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,8.7,,,1500-2000,,,30.0,-9.2,No precipitation,12,,,,
04.03.2020 17:00,7.7,502.3,755.8,,23,Wind blowing from the south,3,,10,60%., ,,,-5.7,8.7,,,1500-2000,,,30.0,-12.1,No precipitation,6,,,,
04.03.2020 14:00,6.9,504.3,758.2,-2.4,24,Wind blowing from the south-southwest,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.7,6.9,,,1500-2000,,,30.0,-12.3,No precipitation,12,,,,
04.03.2020 11:00,0.1,506.7,765.2,,43,Wind blowing from the south-southwest,2,,7,10%  or less  but not 0, ,,,-5.7,7.4,,,1500-2000,,,30.0,-11.0,No precipitation,6,,,,
04.03.2020 08:00,-5.5,506.4,766.6,0.7,67,Wind blowing from the east-northeast,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,7.4,,,1500-2000,,,30.0,-10.7,Trace of precipitation,12,,,,
04.03.2020 05:00,-2.9,505.7,762.0,,44,Wind blowing from the north-northwest,1,,12,, ,,,-4.4,7.4,,,,,,30.0,-13.7,No precipitation,6,,,,
04.03.2020 02:00,-1.3,505.9,760.8,0.2,75,Wind blowing from the west-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,7.4,,,2500 or more  or no clouds.,,,30.0,-5.2,No precipitation,12,,,,
03.03.2020 23:00,-0.6,505.7,761.5,,76,Wind blowing from the west,5,,12,, ,,,-4.4,7.4,,,,,,30.0,-4.3,No precipitation,6,,,,
03.03.2020 20:00,1.7,504.0,761.9,,58,Wind blowing from the east,4,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,7.4,,,1500-2000,,,30.0,-5.7,No precipitation,12,,,,
03.03.2020 17:00,5.6,502.2,756.4,,33,Wind blowing from the north-northwest,2,,12,90  or more  but not 100%, ,,,-4.4,10.4,,,,,,30.0,-9.4,No precipitation,6,,,,
03.03.2020 14:00,6.8,502.8,755.2,-2.0,30,Wind blowing from the south-southeast,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,10.7,,,1500-2000,,,30.0,-9.6,No precipitation,12,,,,
03.03.2020 11:00,4.3,504.8,756.8,,38,Wind blowing from the south,2,,7,20–30%., ,,,-4.4,10.7,,,1500-2000,,,30.0,-8.8,No precipitation,6,,,,
03.03.2020 08:00,-3.3,503.7,758.3,1.4,70,Wind blowing from the south,1,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.4,10.7,,,1500-2000,,,28.0,-8.0,No precipitation,12,,,,
03.03.2020 05:00,-2.1,502.3,754.3,,51,Wind blowing from the north-northwest,2,,12,, ,,,-3.7,10.7,,,,,,30.0,-10.9,No precipitation,6,,,,
03.03.2020 02:00,0.6,502.3,752.9,0.1,45,Wind blowing from the north,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,10.7,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
02.03.2020 23:00,5.5,502.2,752.2,,31,Wind blowing from the west,5,,12,, ,,,,10.7,,,,,,30.0,-10.3,No precipitation,6,,,,
02.03.2020 20:00,7.3,500.7,753.7,0.4,21,Wind blowing from the south-southwest,2,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,10.7,,,1500-2000,,,30.0,-13.6,No precipitation,12,,,,
02.03.2020 17:00,9.7,500.3,751.1,,15,Wind blowing from the south-southeast,3,,12,70 – 80%., ,,,-3.7,10.7,,,1500-2000,,,30.0,-15.7,No precipitation,6,,,,
02.03.2020 14:00,9.5,501.5,751.3,,14,Wind blowing from the west-southwest,6,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,12.4,,,1500-2000,,,30.0,-16.7,No precipitation,12,,,,
02.03.2020 11:00,5.6,504.0,756.8,,31,Wind blowing from the south-east,1,,4,90  or more  but not 100%, ,,,-3.7,12.4,,,,,,30.0,-10.2,No precipitation,6,,,,
