Local time in Gaoyao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 02:00,18.5,758.7,764.1,,78,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,21.9,,,2500 or more  or no clouds.,,,8.0,14.6,No precipitation,12,,,,
15.03.2020 23:00,18.4,759.1,764.5,,75,Wind blowing from the east-southeast,1,,,, ,,,17.2,21.9,,,,,,12.0,13.8,No precipitation,6,,,,
15.03.2020 20:00,19.7,758.5,763.9,,58,Wind blowing from the north-northeast,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,21.9,,,1000-1500,,,14.0,11.2,No precipitation,12,,,,
15.03.2020 17:00,20.4,757.4,762.8,,58,Wind blowing from the east-northeast,2,,6,100%., ,,,17.2,22.3,,,1000-1500,,,13.0,11.8,No precipitation,6,,,,
15.03.2020 14:00,20.6,758.3,763.7,,51,Wind blowing from the east-northeast,4,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.5,,,1000-1500,,,18.0,10.1,No precipitation,12,,,,
15.03.2020 11:00,18.9,761.2,766.6,,63,Wind blowing from the north-northeast,2,,7,100%., ,,,17.2,,,,1000-1500,,,15.0,11.7,No precipitation,6,,,,
15.03.2020 08:00,17.9,760.7,766.1,1.2,72,Wind blowing from the east-northeast,1,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,24.5,,,1000-1500,,,10.0,12.7,No precipitation,12,,,,
15.03.2020 05:00,18.3,759.5,764.9,,70,Wind blowing from the south,1,,11,, ,,,17.6,24.5,,,,,,14.0,12.7,No precipitation,6,,,,
15.03.2020 02:00,18.9,760.0,765.4,,65,Wind blowing from the north-east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,24.5,,,2500 or more  or no clouds.,,,15.0,12.1,No precipitation,12,,,,
14.03.2020 23:00,19.9,760.6,766.0,,63,Wind blowing from the south-east,1,,11,, ,,,17.6,24.5,,,,,,20.0,12.6,No precipitation,6,,,,
14.03.2020 20:00,20.9,759.0,764.4,1.7,62,Wind blowing from the north-east,7,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,24.5,,,1000-1500,,,23.0,13.3,No precipitation,12,,,,
14.03.2020 17:00,22.3,757.3,762.7,,63,Wind blowing from the north-east,5,,9,100%., ,,,17.6,24.5,,,600-1000,,,28.0,14.9,No precipitation,6,,,,
14.03.2020 14:00,23.9,757.9,763.3,-2.3,54,Wind blowing from the north-east,3,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,23.9,,,1000-1500,,,30.0,14.0,0.5,12,,,,
14.03.2020 11:00,20.5,760.2,765.6,,62,Wind blowing from the north-northeast,5,,9,no clouds, ,,,17.6,24.5,,,,,,30.0,12.9,0.1,6,,,,
14.03.2020 08:00,17.8,760.1,765.5,,80,Wind blowing from the north-northeast,4,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,24.5,,,600-1000,,,30.0,14.3,11.0,12,,,,
14.03.2020 05:00,18.0,758.7,764.1,,83,Wind blowing from the north-east,3,,8,, ,,,18.0,24.5,,,,,,30.0,15.0,6.0,6,,,,
14.03.2020 02:00,18.3,758.5,763.9,,100,Wind blowing from the north-east,4,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.3,24.5,,,2500 or more  or no clouds.,,,2.7,18.3,12.0,12,,,,
13.03.2020 23:00,19.8,758.1,763.4,,100,Wind blowing from the south-east,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,19.2,24.5,,,,,,1.8,19.8,6.0,6,,,,
13.03.2020 20:00,21.6,755.9,761.2,1.2,99,Wind blowing from the north-northeast,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,18.9,24.5,,,600-1000,,,0.2,21.5,1.0,12,,,,
13.03.2020 17:00,22.4,754.7,760.0,,99,Wind blowing from the north-east,2,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,24.5,,,600-1000,,,1.4,22.2,No precipitation,6,,,,
13.03.2020 14:00,23.7,755.2,760.5,,96,Wind blowing from the north-northwest,1,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,24.5,,,2500 or more  or no clouds.,,,3.6,23.1,No precipitation,12,,,,
13.03.2020 11:00,24.0,757.0,762.4,,99,Wind blowing from the north-east,1,,2,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,24.0,,,600-1000,,,3.3,23.8,No precipitation,6,,,,
13.03.2020 08:00,20.1,756.6,762.0,1.5,100,Wind blowing from the south-southeast,1,,3,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.1,,,600-1000,,,1.1,20.1,No precipitation,12,,,,
13.03.2020 05:00,19.4,755.1,760.5,,99,Wind blowing from the east,1,,3,,Mist. ,,,,19.7,,,,,,0.9,19.2,No precipitation,6,,,,
13.03.2020 02:00,19.3,755.6,761.0,-0.2,100,Wind blowing from the north-east,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,19.7,,,2500 or more  or no clouds.,,,0.7,19.3,No precipitation,12,,,,
12.03.2020 23:00,19.2,755.8,761.2,,99,Wind blowing from the north-northwest,1,,3,,Mist. ,,,16.0,19.7,,,,,,1.1,19.0,No precipitation,6,,,,
12.03.2020 20:00,18.9,754.6,760.0,,100,Wind blowing from the north-east,1,,,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,19.7,,,2500 or more  or no clouds.,,,0.9,18.9,0.3,12,,,,
12.03.2020 17:00,19.6,753.9,759.3,,99,Wind blowing from the east-northeast,2,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,19.7,,,,,,1.4,19.4,No precipitation,6,,,,
12.03.2020 14:00,18.2,754.9,760.3,-2.3,100,Wind blowing from the east-northeast,2,,3,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,18.2,,,2500 or more  or no clouds.,,,0.7,18.2,0.8,12,,,,
12.03.2020 11:00,17.3,757.2,762.7,,100,Wind blowing from the south-east,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,15.4,17.5,,,2500 or more  or no clouds.,,,0.1,17.3,0.7,6,,,,
12.03.2020 08:00,16.3,756.7,762.1,0.6,100,Wind blowing from the east,2,,4,100%.,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Rain.,Drizzle.,15.2,17.5,,,600-1000,,,0.3,16.3,0.5,12,,,,
12.03.2020 05:00,16.0,756.1,761.5,,100,Wind blowing from the north-east,2,,4,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,14.6,17.5,,,,,,0.3,16.0,0.1,6,,,,
12.03.2020 02:00,16.6,757.1,762.6,,94,Wind blowing from the north,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.5,,,2500 or more  or no clouds.,,,4.6,15.6,No precipitation,12,,,,
11.03.2020 23:00,16.9,757.8,763.3,,82,Wind blowing from the north,1,,4,,Rain (not freezing) not falling as shower(s). ,,,14.6,18.6,,,,,,7.0,13.8,No precipitation,6,,,,
11.03.2020 20:00,16.7,756.8,762.3,0.4,77,Wind blowing from the east,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,20.2,,,600-1000,,,11.0,12.6,0.4,12,,,,
11.03.2020 17:00,17.1,756.4,761.9,,75,Wind blowing from the north-northeast,2,,6,100%., ,,,14.6,,,,1000-1500,,,17.0,12.6,No precipitation,6,,,,
11.03.2020 14:00,17.4,757.7,763.1,-2.4,61,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,,,,2500 or more  or no clouds.,,,21.0,9.8,0.4,12,,,,
11.03.2020 11:00,15.4,760.1,765.6,,75,Wind blowing from the east,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,23.5,,,1000-1500,,,12.0,11.0,0.4,6,,,,
11.03.2020 08:00,16.2,759.7,765.1,,71,Wind blowing from the east,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,23.5,,,1000-1500,,,26.0,10.9,No precipitation,12,,,,
11.03.2020 05:00,15.7,758.0,763.4,,79,Wind blowing from the east-northeast,1,,7,, ,,,15.7,23.5,,,,,,28.0,12.0,No precipitation,6,,,,
11.03.2020 02:00,17.4,758.7,764.1,0.1,65,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,23.5,,,2500 or more  or no clouds.,,,30.0,10.7,No precipitation,12,,,,
10.03.2020 23:00,18.6,758.6,764.0,,64,Wind blowing from the east-northeast,2,,7,, ,,,17.8,23.8,,,,,,30.0,11.6,No precipitation,6,,,,
10.03.2020 20:00,20.2,757.1,762.5,,56,Wind blowing from the north-east,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,25.1,,,,,,30.0,11.1,No precipitation,12,,,,
10.03.2020 17:00,23.0,755.8,761.2,,51,Wind blowing from the north-east,4,,8,no clouds, ,,,17.8,27.9,,,,,,30.0,12.3,No precipitation,6,,,,
10.03.2020 14:00,23.2,756.8,762.1,,51,Wind blowing from the north-east,3,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,28.7,,,1500-2000,,,30.0,12.5,0.1,12,,,,
10.03.2020 11:00,20.7,758.7,764.0,,56,Wind blowing from the north,3,,12,100%., ,,,17.8,,,,1000-1500,,,30.0,11.6,No precipitation,6,,,,
10.03.2020 08:00,17.8,756.7,762.0,,68,Wind blowing from the north-northeast,4,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.8,28.7,,,1000-1500,,,30.0,11.8,,,,,,
10.03.2020 05:00,18.6,754.8,760.1,,68,Wind blowing from the north-northeast,6,,12,, ,,,18.6,28.7,,,,,,30.0,12.5,10.0,6,,,,
10.03.2020 02:00,20.6,753.7,759.1,,84,Wind blowing from the north-east,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,28.7,,,2500 or more  or no clouds.,,,30.0,17.8,10.0,12,,,,
09.03.2020 20:00,25.1,749.9,755.2,1.6,90,Wind blowing from the east-southeast,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,28.7,,,1000-1500,,,21.0,23.3,No precipitation,12,,,,
09.03.2020 17:00,27.9,748.3,753.6,,75,Wind blowing from the south,2,,7,90  or more  but not 100%, ,,,22.6,28.7,,,1000-1500,,,30.0,23.0,No precipitation,6,,,,
09.03.2020 14:00,26.1,749.2,754.4,-1.8,83,Wind blowing from the north-northeast,1,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,26.8,,,600-1000,,,29.0,22.9,No precipitation,12,,,,
09.03.2020 11:00,24.9,751.0,756.2,,92,Wind blowing from the south,2,,6,100%., ,,,22.6,24.9,,,1000-1500,,,23.0,23.5,No precipitation,6,,,,
09.03.2020 08:00,23.2,750.4,755.7,1.1,99,Wind blowing from the south-east,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1000-1500,,,15.0,23.1,No precipitation,12,,,,
09.03.2020 05:00,22.7,749.3,754.6,,99,Wind blowing from the east,3,,10,, ,,,,24.5,,,,,,13.0,22.6,No precipitation,6,,,,
09.03.2020 02:00,22.8,750.5,755.8,,99,Wind blowing from the east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,24.5,,,2500 or more  or no clouds.,,,20.0,22.7,No precipitation,12,,,,
08.03.2020 23:00,23.2,751.0,756.3,,96,Wind blowing from the east-southeast,2,,10,, ,,,,24.5,,,,,,29.0,22.5,No precipitation,6,,,,
08.03.2020 20:00,22.9,749.6,754.9,0.3,98,Wind blowing from the south-east,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,24.5,,,600-1000,,,30.0,22.5,Trace of precipitation,12,,,,
08.03.2020 17:00,23.5,749.3,754.6,,88,Wind blowing from the south,4,,10,100%., ,,,20.8,24.5,,,600-1000,,,30.0,21.3,No precipitation,6,,,,
08.03.2020 14:00,23.9,750.6,755.8,-2.7,95,Wind blowing from the east-southeast,3,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,24.1,,,600-1000,,,14.0,23.0,Trace of precipitation,12,,,,
08.03.2020 11:00,22.8,753.3,758.6,,99,Wind blowing from the east,2,,,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,23.5,,,600-1000,,,5.0,22.7,No precipitation,6,,,,
08.03.2020 08:00,21.2,753.1,758.5,,99,Wind blowing from the east,3,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.5,,,600-1000,,,2.9,21.0,No precipitation,12,,,,
08.03.2020 05:00,20.9,752.1,757.4,,99,Wind blowing from the east,2,,6,,Mist. ,,,18.3,23.5,,,,,,2.3,20.7,No precipitation,6,,,,
08.03.2020 02:00,21.8,753.2,758.5,-0.5,99,Wind blowing from the east,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.5,,,2500 or more  or no clouds.,,,9.0,21.7,No precipitation,12,,,,
07.03.2020 23:00,22.1,753.7,759.1,,99,Wind blowing from the east,3,,6,,Mist. ,,,18.2,23.5,,,,,,4.9,21.9,No precipitation,6,,,,
07.03.2020 20:00,21.5,752.8,758.2,,99,Wind blowing from the east-northeast,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,23.5,,,600-1000,,,2.7,21.4,No precipitation,12,,,,
07.03.2020 17:00,23.3,752.1,757.4,,94,Wind blowing from the east-northeast,4,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,23.5,,,600-1000,,,4.3,22.2,No precipitation,6,,,,
07.03.2020 14:00,21.9,753.5,758.8,-2.7,97,Wind blowing from the east-northeast,3,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,22.0,,,600-1000,,,4.3,21.4,No precipitation,12,,,,
07.03.2020 11:00,19.7,756.2,761.6,,99,Wind blowing from the east-northeast,3,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.2,20.2,,,600-1000,,,1.7,19.5,No precipitation,6,,,,
07.03.2020 08:00,18.5,756.3,761.7,1.3,99,Wind blowing from the east,2,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,600-1000,,,1.5,18.3,Trace of precipitation,12,,,,
07.03.2020 05:00,18.3,755.0,760.4,,99,Wind blowing from the north-east,1,,4,,Mist. ,,,16.6,20.2,,,,,,1.9,18.1,No precipitation,6,,,,
07.03.2020 02:00,18.4,755.8,761.2,-0.9,99,Wind blowing from the north-east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,20.2,,,2500 or more  or no clouds.,,,2.6,18.2,No precipitation,12,,,,
06.03.2020 23:00,18.7,756.7,762.1,,100,Wind blowing from the east,2,,4,,Mist. ,,,,20.2,,,,,,5.0,18.7,No precipitation,6,,,,
06.03.2020 20:00,19.0,756.2,761.6,0.4,95,Wind blowing from the east-northeast,2,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,20.2,,,600-1000,,,7.0,18.1,No precipitation,12,,,,
06.03.2020 17:00,19.5,755.8,761.2,,86,Wind blowing from the east-southeast,2,,4,100%., ,,,16.3,20.2,,,600-1000,,,10.0,17.1,No precipitation,6,,,,
06.03.2020 14:00,19.8,756.6,762.0,-2.3,81,Wind blowing from the north-east,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.3,19.8,,,600-1000,,,11.0,16.4,No precipitation,12,,,,
06.03.2020 11:00,18.7,758.9,764.4,,87,Wind blowing from the south-east,2,,3,100%., ,,,16.2,18.9,,,600-1000,,,9.0,16.4,No precipitation,6,,,,
06.03.2020 08:00,16.7,758.5,763.9,,98,Wind blowing from the south-east,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,600-1000,,,3.4,16.3,No precipitation,12,,,,
06.03.2020 05:00,16.6,757.3,762.8,,98,Wind blowing from the east,2,,4,,Mist. ,,,14.0,18.5,,,,,,5.0,16.2,No precipitation,6,,,,
06.03.2020 02:00,16.3,758.2,763.7,-1.1,100,Wind blowing from the east-northeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,18.5,,,2500 or more  or no clouds.,,,8.0,16.3,No precipitation,12,,,,
05.03.2020 23:00,16.7,759.3,764.8,,94,Wind blowing from the east,1,,,, ,,,14.0,18.5,,,,,,12.0,15.8,No precipitation,6,,,,
05.03.2020 20:00,16.8,758.7,764.2,,85,Wind blowing from the north-east,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,18.5,,,1000-1500,,,19.0,14.2,No precipitation,12,,,,
05.03.2020 17:00,17.7,757.9,763.3,,75,Wind blowing from the east-southeast,2,,7,100%., ,,,14.0,18.5,,,1000-1500,,,30.0,13.2,No precipitation,6,,,,
05.03.2020 14:00,17.7,759.3,764.8,-2.3,76,Wind blowing from the east,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,18.3,,,1000-1500,,,30.0,13.4,0.4,12,,,,
05.03.2020 11:00,16.5,761.6,767.1,,79,Wind blowing from the north-northeast,2,,9,100%., ,,,14.0,18.0,,,1000-1500,,,30.0,12.8,No precipitation,6,,,,
05.03.2020 08:00,14.3,761.1,766.6,,100,Wind blowing from the south-southeast,1,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,1000-1500,,,19.0,14.3,0.9,12,,,,
05.03.2020 05:00,14.1,760.2,765.7,,96,Wind blowing from the north,4,,9,,Rain (not freezing) not falling as shower(s). ,,,14.0,18.0,,,,,,30.0,13.4,0.4,6,,,,
05.03.2020 02:00,14.6,759.7,765.1,,99,Wind blowing from the north-east,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.4,18.1,,,2500 or more  or no clouds.,,,29.0,14.4,9.0,12,,,,
04.03.2020 23:00,14.7,760.2,765.7,,97,Wind blowing from the north-northeast,2,,9,, ,,,14.4,19.8,,,,,,30.0,14.3,2.0,6,,,,
04.03.2020 20:00,15.1,759.1,764.6,0.1,99,Wind blowing from the east,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,15.1,20.9,,,300-600,,,16.0,14.9,11.0,12,,,,
04.03.2020 17:00,16.3,759.0,764.5,,99,Wind blowing from the north-east,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,16.1,,,,300-600,,,21.0,16.1,10.0,6,,,,
04.03.2020 14:00,16.4,759.3,764.8,,99,Wind blowing from the north,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.4,,,,300-600,,,7.0,16.2,5.0,12,,,,
04.03.2020 11:00,18.0,759.8,765.2,,98,Wind blowing from the north,2,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,22.1,,,300-600,,,16.0,17.6,0.5,6,,,,
04.03.2020 08:00,17.4,759.1,764.5,1.5,99,Wind blowing from the north-west,1,,6,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,22.1,,,300-600,,,5.0,17.2,10.0,12,,,,
04.03.2020 05:00,17.2,757.6,763.0,,100,Wind blowing from the east-southeast,2,,,,Rain (not freezing) not falling as shower(s). ,,,17.2,22.1,,,,,,4.1,17.2,10.0,6,,,,
04.03.2020 02:00,18.0,758.2,763.6,,99,Wind blowing from the east-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,22.1,,,2500 or more  or no clouds.,,,6.0,17.8,8.0,12,,,,
03.03.2020 23:00,19.8,758.6,764.0,,100,Wind blowing from the east-northeast,2,,6,,Mist. ,,,19.2,22.1,,,,,,3.6,19.8,0.2,6,,,,
03.03.2020 20:00,20.9,757.6,763.0,,89,Wind blowing from the north-northeast,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,22.1,,,1000-1500,,,7.0,19.0,Trace of precipitation,12,,,,
03.03.2020 17:00,21.4,756.4,761.8,,87,Wind blowing from the east-northeast,2,,6,100%., ,,,19.2,22.1,,,1000-1500,,,12.0,19.1,No precipitation,6,,,,
03.03.2020 14:00,21.6,757.1,762.5,-1.9,80,Wind blowing from the south-southeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,22.6,,,1500-2000,,,14.0,18.0,No precipitation,12,,,,
03.03.2020 11:00,20.7,759.0,764.4,,83,Wind blowing from the south-east,3,,6,100%., ,,,19.2,,,,1000-1500,,,15.0,17.7,No precipitation,6,,,,
03.03.2020 08:00,19.3,758.5,763.9,,89,Wind blowing from the east,2,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,,,,1000-1500,,,15.0,17.4,Trace of precipitation,12,,,,
03.03.2020 05:00,19.6,757.3,762.7,,86,Wind blowing from the east,3,,,, ,,,19.3,23.0,,,,,,18.0,17.1,No precipitation,6,,,,
03.03.2020 02:00,20.1,757.9,763.3,-0.8,91,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,23.0,,,2500 or more  or no clouds.,,,12.0,18.5,No precipitation,12,,,,
02.03.2020 23:00,20.0,758.7,764.1,,99,Wind blowing from the east,2,,7,,Mist. ,,,19.3,23.3,,,,,,5.0,19.8,No precipitation,6,,,,
02.03.2020 20:00,19.5,758.0,763.4,1.5,99,Wind blowing from the east-northeast,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,24.2,,,600-1000,,,1.5,19.3,Trace of precipitation,12,,,,
02.03.2020 17:00,21.7,756.5,761.8,,79,Wind blowing from the east-southeast,2,,8,100%., ,,,19.3,25.4,,,1000-1500,,,11.0,17.9,No precipitation,6,,,,
02.03.2020 14:00,22.6,756.9,762.2,,67,Wind blowing from the south-east,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,,,,1000-1500,,,23.0,16.1,No precipitation,12,,,,
02.03.2020 11:00,22.2,758.8,764.2,,64,Wind blowing from the east-northeast,5,,8,70 – 80%., ,,,19.3,,,,1000-1500,,,30.0,15.0,No precipitation,6,,,,
02.03.2020 08:00,19.7,758.2,763.5,1.6,76,Wind blowing from the east,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,29.2,,,1000-1500,,,30.0,15.3,No precipitation,12,,,,
02.03.2020 05:00,20.5,756.6,761.9,,80,Wind blowing from the south-east,1,,6,, ,,,18.9,29.2,,,,,,30.0,16.9,No precipitation,6,,,,
