Local time in Fujin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 23:00,-4.5,750.3,756.7,,57,Wind blowing from the west,5,,,, ,,,-8.0,1.3,,,,,,30.0,-11.9,No precipitation,6,,,,
16.03.2020 20:00,-2.8,750.7,757.1,0.3,52,Wind blowing from the west-southwest,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,1.3,,,,,,29.0,-11.3,No precipitation,12,,,,
16.03.2020 17:00,-0.2,750.4,756.9,,44,Wind blowing from the south-west,5,,14,20–30%., ,,,-8.0,1.3,,,2500 or more  or no clouds.,,,16.0,-11.0,No precipitation,6,,,,
16.03.2020 14:00,0.7,751.0,757.4,-1.2,37,Wind blowing from the west,7,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,1.0,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
16.03.2020 11:00,-0.8,752.2,758.7,,47,Wind blowing from the west,8,,14,no clouds, ,,,-8.0,0.3,,,,,,28.0,-10.7,No precipitation,6,,,,
16.03.2020 08:00,-2.8,753.8,760.3,,52,Wind blowing from the west,7,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,0.3,,,,,,30.0,-11.3,No precipitation,12,,,,
16.03.2020 05:00,-7.4,754.0,760.4,,57,Wind blowing from the west-southwest,3,,11,, ,,,-8.4,0.3,,,,,,29.0,-14.5,No precipitation,6,,,,
16.03.2020 02:00,-6.3,754.1,760.6,,53,Wind blowing from the west-northwest,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,0.3,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
15.03.2020 23:00,-5.9,754.8,761.2,,49,Wind blowing from the west-northwest,4,,,, ,,,-8.4,0.3,,,,,,30.0,-15.1,No precipitation,6,,,,
15.03.2020 20:00,-3.2,754.8,761.3,0.5,41,Wind blowing from the north-west,7,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,0.3,,,,,,30.0,-14.6,No precipitation,12,,,,
15.03.2020 17:00,-1.0,754.3,760.7,,46,Wind blowing from the west,4,,8,no clouds, ,,,-8.4,0.3,,,,,,25.0,-11.2,No precipitation,6,,,,
15.03.2020 14:00,-0.1,754.3,760.8,-0.6,38,Wind blowing from the north-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,1.5,,,,,,30.0,-13.0,No precipitation,12,,,,
15.03.2020 11:00,-1.9,754.9,761.3,,51,Wind blowing from the north,4,,8,no clouds, ,,,-8.4,1.5,,,,,,30.0,-10.9,No precipitation,6,,,,
15.03.2020 08:00,-5.8,754.2,760.7,2.6,67,Wind blowing from the east-northeast,6,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,,,,,,,8.0,-11.1,No precipitation,12,,,,
15.03.2020 05:00,-7.2,751.6,758.1,,72,Wind blowing from the east-northeast,3,,5,, ,,,-10.8,1.5,,,,,,22.0,-11.4,No precipitation,6,,,,
15.03.2020 02:00,-8.1,749.7,756.1,,92,Wind blowing from the east-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,1.5,,,2500 or more  or no clouds.,,,10.0,-9.2,No precipitation,12,,,,
14.03.2020 23:00,-5.6,749.1,755.5,,90,Wind blowing from the east-southeast,3,,,, ,,,-10.8,1.5,,,,,,11.0,-7.0,No precipitation,6,,,,
14.03.2020 20:00,-4.9,748.9,755.4,0.8,87,Wind blowing from the south-east,1,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,1.5,,,2500 or more  or no clouds.,,,12.0,-6.7,No precipitation,12,,,,
14.03.2020 17:00,0.1,748.1,754.6,,36,Wind blowing from the west,1,,9,50%., ,,,-10.8,1.5,,,600-1000,,,30.0,-13.5,No precipitation,6,,,,
14.03.2020 14:00,1.0,747.7,754.1,-0.8,36,Wind blowing from the north-west,3,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,1.5,,,600-1000,,,30.0,-12.7,No precipitation,12,,,,
14.03.2020 11:00,-1.1,748.5,754.9,,49,Wind blowing from the west-northwest,4,,7,no clouds, ,,,-10.8,-1.1,,,,,,30.0,-10.5,No precipitation,6,,,,
14.03.2020 08:00,-5.4,749.5,756.0,-0.2,61,Wind blowing from the west-northwest,4,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,-3.4,,,2500 or more  or no clouds.,,,26.0,-11.9,No precipitation,12,,,,
14.03.2020 05:00,-9.2,749.7,756.2,,66,Wind blowing from the south-southwest,1,,14,, ,,,-10.9,-3.4,,,,,,17.0,-14.4,No precipitation,6,,,,
14.03.2020 02:00,-6.9,751.1,757.6,-1.6,70,Wind blowing from the south-southwest,3,,14,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,-3.4,,,2500 or more  or no clouds.,,,22.0,-11.6,No precipitation,12,,,,
13.03.2020 23:00,-6.4,752.7,759.2,,53,Wind blowing from the west,3,,,, ,,,-10.9,-3.4,,,,,,30.0,-14.4,No precipitation,6,,,,
13.03.2020 20:00,-7.5,753.8,760.4,0.1,42,Wind blowing from the south-west,4,,17,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,-3.4,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
13.03.2020 17:00,-5.1,753.7,760.3,,33,Wind blowing from the west,4,,17,40%., ,,,-10.9,-0.4,,,2500 or more  or no clouds.,,,29.0,-18.9,No precipitation,6,,,,
13.03.2020 14:00,-3.8,753.2,759.7,,29,Wind blowing from the west,10,,17,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,3.4,,,600-1000,,,30.0,-19.2,No precipitation,12,,,,
13.03.2020 11:00,-6.1,754.0,760.6,,51,Wind blowing from the west,9,,19,20–30%., ,,,-10.9,,,,600-1000,,,30.0,-14.8,No precipitation,6,,,,
13.03.2020 08:00,-9.7,754.0,760.6,1.8,53,Wind blowing from the west-northwest,12,,19,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
13.03.2020 05:00,-10.7,752.2,758.8,,64,Wind blowing from the west,8,,19,, ,,,-10.7,3.8,,,,,,30.0,-16.2,No precipitation,6,,,,
13.03.2020 02:00,-10.2,751.1,757.6,1.2,61,Wind blowing from the west-southwest,8,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,3.8,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
12.03.2020 23:00,-9.1,749.9,756.4,,54,Wind blowing from the west,11,,,, ,,,-9.1,3.8,,,,,,30.0,-16.7,No precipitation,6,,,,
12.03.2020 20:00,-7.3,749.8,756.2,3.0,36,Wind blowing from the west-southwest,11,,19,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,3.8,,,2500 or more  or no clouds.,,,30.0,-19.8,No precipitation,12,,,,
12.03.2020 17:00,-0.3,746.8,753.1,,40,Wind blowing from the west,7,,17,50%., ,,,-5.8,3.8,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,6,,,,
12.03.2020 14:00,3.3,745.6,751.9,-1.0,42,Wind blowing from the west-southwest,10,,15,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,3.8,,,2500 or more  or no clouds.,,,20.0,-8.4,No precipitation,12,,,,
12.03.2020 11:00,1.5,746.6,753.0,,54,Wind blowing from the south,5,,11,90  or more  but not 100%, ,,,-5.8,2.8,,,2500 or more  or no clouds.,,,27.0,-7.0,No precipitation,6,,,,
12.03.2020 08:00,-1.6,748.3,754.7,-1.1,59,Wind blowing from the south,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,2.8,,,2500 or more  or no clouds.,,,21.0,-8.6,No precipitation,12,,,,
12.03.2020 05:00,-5.0,749.4,755.8,,67,Wind blowing from the south,4,,8,, ,,,-6.1,2.8,,,,,,30.0,-10.2,No precipitation,6,,,,
12.03.2020 02:00,-4.4,750.2,756.6,-0.6,60,Wind blowing from the west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,2.8,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
11.03.2020 23:00,-5.0,750.8,757.2,,65,Wind blowing from the south-west,3,,,, ,,,-6.4,2.8,,,,,,25.0,-10.6,No precipitation,6,,,,
11.03.2020 20:00,-2.9,750.4,756.9,1.3,52,Wind blowing from the west-northwest,2,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,2.8,,,2500 or more  or no clouds.,,,22.0,-11.4,No precipitation,12,,,,
11.03.2020 17:00,0.4,749.1,755.5,,35,Wind blowing from the north-west,5,,13,20–30%., ,,,-6.4,2.8,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,6,,,,
11.03.2020 14:00,2.5,748.4,754.8,-0.4,35,Wind blowing from the west-northwest,8,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,2.8,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
11.03.2020 11:00,1.3,748.8,755.2,,31,Wind blowing from the north-west,5,,9,20–30%., ,,,-6.4,1.3,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,6,,,,
11.03.2020 08:00,-3.1,749.2,755.6,0.4,43,Wind blowing from the north-northwest,4,,6,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,0.7,,,2500 or more  or no clouds.,,,16.0,-13.9,No precipitation,12,,,,
11.03.2020 05:00,-6.1,748.8,755.2,,54,Wind blowing from the north-northwest,2,,6,, ,,,-12.5,0.7,,,,,,30.0,-14.1,No precipitation,6,,,,
11.03.2020 02:00,-5.5,749.3,755.7,-0.8,60,Wind blowing from the north-northwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,0.7,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
10.03.2020 23:00,-4.7,750.1,756.6,,54,Wind blowing from the north-northwest,3,,,, ,,,-12.7,0.7,,,,,,30.0,-12.6,No precipitation,6,,,,
10.03.2020 20:00,-4.1,751.1,757.6,,63,Wind blowing from the north,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,0.7,,,2500 or more  or no clouds.,,,20.0,-10.1,No precipitation,12,,,,
10.03.2020 17:00,-1.2,752.1,758.6,,44,Wind blowing from the east-northeast,4,,9,70 – 80%., ,,,-12.7,0.7,,,2500 or more  or no clouds.,,,24.0,-11.9,No precipitation,6,,,,
10.03.2020 14:00,0.4,753.6,760.0,,38,Wind blowing from the north-east,4,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,0.7,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,12,,,,
10.03.2020 11:00,-1.0,756.1,762.6,,36,Wind blowing from the north-east,3,,6,50%., ,,,-12.7,0.6,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,6,,,,
10.03.2020 08:00,-4.9,757.9,764.5,-0.7,43,Wind blowing from the east,3,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,0.6,,,2500 or more  or no clouds.,,,19.0,-15.6,No precipitation,12,,,,
10.03.2020 05:00,-12.4,758.6,765.2,,77,Wind blowing from the east,2,,6,,Haze. ,,,-12.7,0.6,,,,,,4.0,-15.6,No precipitation,6,,,,
10.03.2020 02:00,-9.2,759.4,765.9,,59,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,0.6,,,2500 or more  or no clouds.,,,12.0,-15.9,No precipitation,12,,,,
09.03.2020 20:00,-5.8,760.0,766.6,0.6,46,Wind blowing from the west-northwest,2,,10,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,0.7,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
09.03.2020 17:00,-1.6,759.4,765.9,,32,Wind blowing from the north-west,4,,10,40%., ,,,-3.5,1.2,,,2500 or more  or no clouds.,,,26.0,-16.1,No precipitation,6,,,,
09.03.2020 14:00,0.4,758.8,765.3,-0.6,40,Wind blowing from the west-northwest,6,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.5,3.4,,,2500 or more  or no clouds.,,,30.0,-11.9,1.0,12,,,,
09.03.2020 11:00,-1.4,759.4,765.8,,47,Wind blowing from the north-west,6,,10,no clouds, ,,,-3.5,3.7,,,,,,30.0,-11.5,No precipitation,6,,,,
09.03.2020 08:00,-3.5,758.0,764.5,2.2,64,Wind blowing from the north-west,5,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,3.7,,,2500 or more  or no clouds.,,,28.0,-9.5,3.0,12,,,,
09.03.2020 05:00,-2.3,755.8,762.2,,88,Wind blowing from the north-northwest,5,,10,,Intermittent fall of snowflakes  slight at time of observation. ,,,,3.7,,,,,,3.4,-4.0,3.0,6,,,,
09.03.2020 02:00,-1.0,754.0,760.4,0.3,98,Wind blowing from the north-west,3,,5,,Intermittent fall of snowflakes  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,3.7,,,2500 or more  or no clouds.,,,0.9,-1.3,1.0,12,,,,
08.03.2020 23:00,0.6,753.7,760.1,,88,Wind blowing from the west,3,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,,3.7,,,,,,4.6,-1.2,No precipitation,6,,,,
08.03.2020 20:00,-1.0,754.0,760.4,0.0,88,Wind blowing from the south-southeast,2,,,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,3.7,,,2500 or more  or no clouds.,,,7.0,-2.7,No precipitation,12,,,,
08.03.2020 17:00,1.2,754.0,760.4,,78,Wind blowing from the south-east,3,,8,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,3.7,,,2500 or more  or no clouds.,,,5.0,-2.2,No precipitation,6,,,,
08.03.2020 14:00,3.4,754.5,760.9,-1.5,70,Wind blowing from the south-southeast,3,,,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,3.7,,,2500 or more  or no clouds.,,,5.0,-1.7,No precipitation,12,,,,
08.03.2020 11:00,0.4,756.0,762.4,,78,Wind blowing from the south-west,3,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,0.4,,,2500 or more  or no clouds.,,,4.2,-3.0,No precipitation,6,,,,
08.03.2020 08:00,-6.0,756.5,763.0,0.1,94,Wind blowing from the south,1,,3,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,-2.3,,,2500 or more  or no clouds.,,,4.8,-6.8,Trace of precipitation,12,,,,
08.03.2020 05:00,-7.8,756.4,762.9,,93,Wind blowing from the south-southeast,2,,3,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,-9.9,-2.3,,,,,,0.1,-8.7,No precipitation,6,,,,
08.03.2020 02:00,-6.2,755.9,762.4,0.4,96,Wind blowing from the south,2,,4,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,-2.3,,,2500 or more  or no clouds.,,,0.1,-6.7,0.2,12,,,,
07.03.2020 23:00,-5.0,755.5,762.1,,95,Wind blowing from the south,2,,,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,,-2.3,,,,,,0.2,-5.7,No precipitation,6,,,,
07.03.2020 20:00,-3.8,755.2,761.7,0.3,95,Wind blowing from the south-southeast,1,,9,40%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,-2.3,,,2500 or more  or no clouds.,,,5.0,-4.5,0.6,12,,,,
07.03.2020 17:00,-2.9,754.9,761.5,,92,Wind blowing from the south-southeast,2,,9,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,-2.2,,,2500 or more  or no clouds.,,,4.8,-4.0,0.6,6,,,,
07.03.2020 14:00,-2.7,754.9,761.5,-1.2,90,Wind blowing from the south-southeast,3,,9,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Rain.,-10.0,0.8,,,2500 or more  or no clouds.,,,2.0,-4.1,0.4,12,,,,
07.03.2020 11:00,-3.4,756.1,762.7,,66,Wind blowing from the south-east,4,,9,100%., ,,,-10.0,1.2,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,6,,,,
07.03.2020 08:00,-6.7,756.8,763.4,-1.0,71,Wind blowing from the east-southeast,5,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,,,,2500 or more  or no clouds.,,,17.0,-11.1,No precipitation,12,,,,
07.03.2020 05:00,-9.8,757.8,764.3,,76,Wind blowing from the east-southeast,4,,5,, ,,,-13.3,1.2,,,,,,20.0,-13.2,No precipitation,6,,,,
07.03.2020 02:00,-9.3,758.5,765.1,-0.9,78,Wind blowing from the east-southeast,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.3,1.2,,,2500 or more  or no clouds.,,,18.0,-12.4,No precipitation,12,,,,
06.03.2020 23:00,-8.1,759.4,766.0,,76,Wind blowing from the east-southeast,3,,,, ,,,-13.3,1.2,,,,,,19.0,-11.7,No precipitation,6,,,,
06.03.2020 20:00,-6.5,759.7,766.3,0.3,80,Wind blowing from the east-southeast,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.3,1.2,,,2500 or more  or no clouds.,,,10.0,-9.5,No precipitation,12,,,,
06.03.2020 17:00,-2.2,759.4,766.0,,56,Wind blowing from the south-east,2,,,, ,,,-13.3,1.2,,,,,,20.0,-10.0,No precipitation,6,,,,
06.03.2020 14:00,0.7,759.4,766.0,-0.9,39,Wind blowing from the south-southeast,3,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.3,1.2,,,,,,30.0,-11.7,No precipitation,12,,,,
06.03.2020 11:00,-0.6,760.3,766.9,,51,Wind blowing from the south-west,2,,,no clouds, ,,,-13.3,-0.5,,,,,,14.0,-9.5,No precipitation,6,,,,
06.03.2020 08:00,-7.1,760.3,766.9,0.9,76,Wind blowing from the south-southwest,1,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.3,-0.5,,,,,,6.0,-10.6,No precipitation,12,,,,
06.03.2020 05:00,-12.7,759.4,766.0,,83,Wind blowing from the south-southeast,1,,,, ,,,-12.7,-0.5,,,,,,13.0,-15.0,No precipitation,6,,,,
06.03.2020 02:00,-12.0,758.9,765.5,0.1,85,Wind blowing from the south,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.5,,,2500 or more  or no clouds.,,,6.0,-14.1,No precipitation,12,,,,
05.03.2020 23:00,-8.1,758.8,765.4,,74,Wind blowing from the west-northwest,1,,,, ,,,-12.3,-0.5,,,,,,18.0,-11.9,No precipitation,6,,,,
05.03.2020 20:00,-5.7,758.8,765.4,0.7,68,Wind blowing from the west,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.5,,,,,,9.0,-10.7,No precipitation,12,,,,
05.03.2020 17:00,-3.0,758.1,764.7,,55,Wind blowing from the west,4,,,no clouds, ,,,-12.3,-0.5,,,,,,17.0,-10.8,No precipitation,6,,,,
05.03.2020 14:00,-0.7,758.0,764.5,-1.0,46,Wind blowing from the west,6,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.5,,,,,,30.0,-10.9,No precipitation,12,,,,
05.03.2020 11:00,-3.2,759.0,765.5,,64,Wind blowing from the west,5,,,no clouds, ,,,-12.3,-1.5,,,,,,30.0,-9.2,No precipitation,6,,,,
05.03.2020 08:00,-10.3,759.7,766.3,0.5,77,Wind blowing from the west-northwest,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-1.5,,,,,,30.0,-13.6,No precipitation,12,,,,
05.03.2020 05:00,-11.9,759.2,765.8,,77,Wind blowing from the west-northwest,2,,,, ,,,-11.9,-1.5,,,,,,30.0,-15.1,No precipitation,6,,,,
05.03.2020 02:00,-9.9,759.1,765.7,-0.3,84,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-1.5,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
04.03.2020 23:00,-7.2,759.4,765.9,,92,Wind blowing from the north-northwest,1,,,, ,,,-8.6,-1.5,,,,,,8.0,-8.3,No precipitation,6,,,,
04.03.2020 20:00,-6.8,759.7,766.3,0.3,91,Wind blowing from the north-west,2,,6,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,-1.5,,,2500 or more  or no clouds.,,,4.1,-8.0,0.1,12,,,,
04.03.2020 17:00,-3.8,759.4,766.0,,75,Wind blowing from the north,2,,,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,-1.5,,,2500 or more  or no clouds.,,,4.9,-7.7,No precipitation,6,,,,
04.03.2020 14:00,-1.8,760.0,766.6,-1.4,71,Wind blowing from the north,4,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Rain.,-8.6,-0.7,,,1000-1500,,,27.0,-6.4,0.6,12,,,,
04.03.2020 11:00,-2.6,761.4,768.0,,80,Wind blowing from the east-northeast,2,,,100%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,-0.7,,,2500 or more  or no clouds.,,,11.0,-5.6,0.4,6,,,,
04.03.2020 08:00,-5.1,762.2,768.8,,91,Wind blowing from the east-northeast,3,,,90  or more  but not 100%,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,-0.7,,,2500 or more  or no clouds.,,,1.9,-6.3,0.5,12,,,,
04.03.2020 05:00,-7.0,762.5,769.1,,91,Calm  no wind,0,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,-9.9,-0.7,,,,,,1.9,-8.2,0.2,6,,,,
04.03.2020 02:00,-7.7,763.0,769.5,-0.6,92,Wind blowing from the east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-0.7,,,2500 or more  or no clouds.,,,4.4,-8.8,No precipitation,12,,,,
03.03.2020 23:00,-8.4,763.6,770.2,,92,Wind blowing from the east-southeast,1,,,,Mist. ,,,-9.9,-0.7,,,,,,6.0,-9.5,No precipitation,6,,,,
03.03.2020 20:00,-6.3,764.4,771.1,0.2,87,Wind blowing from the south,1,,7,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-0.7,,,,,,4.9,-8.1,No precipitation,12,,,,
03.03.2020 17:00,-3.4,764.2,770.8,,74,Wind blowing from the south-east,2,,,50%., ,,,-9.9,-0.7,,,2500 or more  or no clouds.,,,10.0,-7.4,No precipitation,6,,,,
