Local time in Anda,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 17:00,-5.3,751.9,766.6,,58,Wind blowing from the north-northwest,4,,14,no clouds, ,,,-11.0,1.1,,,,,,30.0,-12.3,No precipitation,6,,,,
15.03.2020 14:00,-5.1,751.3,765.9,,54,Wind blowing from the north-northwest,5,,14,40%., ,,,-11.0,3.3,,,1500-2000,,,30.0,-13.0,No precipitation,6,,,,
15.03.2020 11:00,-8.1,750.6,765.1,,53,Wind blowing from the north-northwest,8,,14,no clouds, ,,,-11.0,,,,,,,30.0,-16.0,No precipitation,6,,,,
15.03.2020 08:00,-10.8,748.9,763.5,2.4,53,Wind blowing from the north-northwest,8,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,3.3,,,1500-2000,,,30.0,-18.5,0.4,12,,,,
15.03.2020 05:00,-9.4,746.5,760.9,,61,Wind blowing from the north,7,,13,, ,,,-9.7,3.3,,,,,,30.0,-15.7,0.2,6,,,,
15.03.2020 02:00,-6.8,743.8,758.1,,68,Wind blowing from the north,6,,13,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,3.3,,,2500 or more  or no clouds.,,,30.0,-11.7,0.4,12,,,,
14.03.2020 20:00,-1.3,740.5,754.8,0.6,58,Wind blowing from the north-northwest,2,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,3.3,,,600-1000,,,17.0,-8.7,No precipitation,12,,,,
14.03.2020 17:00,1.1,739.9,754.1,,50,Wind blowing from the north-west,4,,9,40%., ,,,-9.8,3.3,,,600-1000,,,22.0,-8.4,No precipitation,6,,,,
14.03.2020 14:00,2.7,739.2,753.4,-1.4,52,Wind blowing from the south-southwest,4,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,3.1,,,600-1000,,,26.0,-6.4,No precipitation,12,,,,
14.03.2020 11:00,0.5,740.6,754.8,,58,Wind blowing from the south-southwest,4,,5,40%., ,,,-9.8,0.9,,,600-1000,,,28.0,-6.8,No precipitation,6,,,,
14.03.2020 08:00,-5.6,742.2,756.4,-0.7,67,Wind blowing from the south-southwest,3,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,0.9,,,600-1000,,,14.0,-10.9,No precipitation,12,,,,
14.03.2020 05:00,-9.5,742.9,757.2,,75,Wind blowing from the south-west,1,,7,, ,,,-16.3,0.9,,,,,,30.0,-13.1,No precipitation,6,,,,
14.03.2020 02:00,-7.1,743.9,758.2,,66,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,0.9,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
13.03.2020 20:00,-2.1,745.8,760.3,-0.1,61,Wind blowing from the south-southwest,2,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,0.9,,,600-1000,,,29.0,-8.6,No precipitation,12,,,,
13.03.2020 17:00,0.7,745.9,760.4,,53,Wind blowing from the west-southwest,4,,11,60%., ,,,-16.3,0.9,,,1500-2000,,,30.0,-8.0,No precipitation,6,,,,
13.03.2020 14:00,-0.5,747.7,762.2,,44,Wind blowing from the south-southwest,6,,11,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,-0.5,,,1500-2000,,,30.0,-11.5,No precipitation,12,,,,
13.03.2020 11:00,-5.2,750.9,765.6,,35,Wind blowing from the south-west,6,,10,20–30%., ,,,-16.3,-3.5,,,1500-2000,,,30.0,-18.3,No precipitation,6,,,,
13.03.2020 08:00,-12.8,752.5,767.4,0.2,54,Wind blowing from the south-southwest,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,-0.8,,,,,,30.0,-20.2,No precipitation,12,,,,
13.03.2020 05:00,-15.8,752.3,767.2,,59,Wind blowing from the south-west,2,,14,, ,,,-15.8,-0.8,,,,,,30.0,-22.0,No precipitation,6,,,,
13.03.2020 02:00,-14.0,752.2,766.9,,56,Wind blowing from the south-southwest,2,,19,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.0,-0.8,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
12.03.2020 20:00,-8.7,749.4,763.9,3.1,41,Wind blowing from the west-northwest,5,,19,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,-0.5,,,600-1000,,,30.0,-19.6,No precipitation,12,,,,
12.03.2020 17:00,-6.1,746.3,760.8,,32,Wind blowing from the west,7,,19,60%., ,,,-6.2,-0.5,,,600-1000,,,30.0,-20.1,No precipitation,6,,,,
12.03.2020 14:00,-5.2,745.0,759.4,,31,Wind blowing from the west,8,,16,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,1.2,,,600-1000,,,27.0,-19.7,No precipitation,12,,,,
12.03.2020 11:00,-3.6,744.3,758.5,,27,Wind blowing from the west-northwest,7,,16,no clouds, ,,,-6.2,1.2,,,,,,24.0,-19.9,No precipitation,6,,,,
12.03.2020 08:00,-2.8,742.9,757.2,1.2,55,Wind blowing from the west-southwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,1.2,,,,,,25.0,-10.6,No precipitation,12,,,,
12.03.2020 05:00,-4.7,741.7,755.8,,65,Wind blowing from the west-southwest,3,,8,, ,,,,1.2,,,,,,30.0,-10.3,No precipitation,6,,,,
12.03.2020 02:00,-2.5,741.6,755.7,,74,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,1.2,,,2500 or more  or no clouds.,,,30.0,-6.5,No precipitation,12,,,,
11.03.2020 20:00,-3.4,743.6,758.1,-0.4,71,Wind blowing from the south-east,3,,8,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,1.2,,,2500 or more  or no clouds.,,,11.0,-7.9,No precipitation,12,,,,
11.03.2020 17:00,-0.5,744.0,758.3,,60,Wind blowing from the south,2,,8,40%., ,,,-12.3,1.2,,,2500 or more  or no clouds.,,,21.0,-7.3,No precipitation,6,,,,
11.03.2020 14:00,0.5,744.6,758.9,-1.7,60,Wind blowing from the south-southwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,0.5,,,,,,20.0,-6.4,No precipitation,12,,,,
11.03.2020 11:00,-2.6,746.3,760.7,,66,Wind blowing from the south-west,3,,8,no clouds, ,,,-12.3,-1.2,,,,,,9.0,-8.1,No precipitation,6,,,,
11.03.2020 08:00,-10.2,746.5,761.0,,80,Wind blowing from the south-west,2,,8,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-1.2,,,,,,5.0,-13.1,No precipitation,12,,,,
11.03.2020 05:00,-8.8,745.8,760.3,,67,Wind blowing from the north-west,1,,8,, ,,,-11.4,-1.2,,,,,,13.0,-13.8,No precipitation,6,,,,
11.03.2020 02:00,-7.5,746.1,760.5,,72,Wind blowing from the west-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,-1.2,,,2500 or more  or no clouds.,,,15.0,-11.8,No precipitation,12,,,,
10.03.2020 20:00,-4.0,745.5,760.0,,57,Wind blowing from the north-west,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,-1.2,,,1500-2000,,,21.0,-11.3,No precipitation,12,,,,
10.03.2020 17:00,-2.5,745.0,759.5,,47,Wind blowing from the north,2,,6,100%., ,,,-11.6,-1.2,,,1500-2000,,,16.0,-12.3,No precipitation,6,,,,
10.03.2020 14:00,-1.4,744.4,758.9,,42,Wind blowing from the north,4,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,0.8,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
10.03.2020 11:00,-3.5,745.9,760.3,,53,Wind blowing from the north-east,3,,4,90  or more  but not 100%, ,,,-11.6,0.8,,,,,,15.0,-11.9,No precipitation,6,,,,
10.03.2020 08:00,-8.1,747.1,761.6,-0.8,68,Wind blowing from the east-northeast,2,,3,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,0.8,,,2500 or more  or no clouds.,,,5.0,-13.0,No precipitation,12,,,,
10.03.2020 05:00,-11.4,747.9,762.4,,86,Wind blowing from the north-east,2,,4,,Mist. ,,,-11.6,0.8,,,,,,6.0,-13.3,No precipitation,6,,,,
10.03.2020 02:00,-10.7,750.0,764.5,,84,Wind blowing from the north-east,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,0.8,,,2500 or more  or no clouds.,,,6.0,-12.9,No precipitation,12,,,,
09.03.2020 20:00,-6.8,752.6,767.2,0.1,78,Wind blowing from the north-east,1,,6,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,0.8,,,1500-2000,,,2.6,-10.0,No precipitation,12,,,,
09.03.2020 17:00,-2.1,752.5,767.0,,59,Wind blowing from the north-northeast,2,,8,70 – 80%., ,,,-8.0,0.8,,,2500 or more  or no clouds.,,,9.0,-9.2,No precipitation,6,,,,
09.03.2020 14:00,-0.1,752.6,767.0,-1.3,45,Wind blowing from the west-southwest,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,1.9,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
09.03.2020 11:00,-2.8,753.9,768.4,,45,Wind blowing from the north-northwest,2,,8,20–30%., ,,,-8.0,1.9,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,6,,,,
09.03.2020 08:00,-7.2,753.5,768.1,1.4,49,Wind blowing from the north-west,4,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,1.9,,,1500-2000,,,29.0,-16.3,No precipitation,12,,,,
09.03.2020 05:00,-5.9,752.1,766.5,,46,Wind blowing from the north-northwest,4,,8,, ,,,-5.9,1.9,,,,,,30.0,-15.7,No precipitation,6,,,,
09.03.2020 02:00,-5.2,751.1,765.4,,57,Wind blowing from the north-west,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,1.9,,,2500 or more  or no clouds.,,,30.0,-12.4,No precipitation,12,,,,
08.03.2020 20:00,-1.5,748.6,762.9,1.4,71,Wind blowing from the north-northwest,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,1.9,,,1500-2000,,,8.0,-6.1,No precipitation,12,,,,
08.03.2020 17:00,-0.3,747.2,761.5,,74,Wind blowing from the north-northwest,3,,8,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,1.9,,,1500-2000,,,7.0,-4.5,No precipitation,6,,,,
08.03.2020 14:00,1.6,746.1,760.3,-0.6,78,Wind blowing from the west-southwest,3,,8,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,1.7,,,1500-2000,,,4.8,-1.8,No precipitation,12,,,,
08.03.2020 11:00,0.6,746.7,760.9,,89,Wind blowing from the south-west,3,,8,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,0.7,,,2500 or more  or no clouds.,,,3.2,-1.0,No precipitation,6,,,,
08.03.2020 08:00,-0.6,746.2,760.5,,92,Wind blowing from the south,4,,8,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,-0.6,,,2500 or more  or no clouds.,,,2.8,-1.7,No precipitation,12,,,,
08.03.2020 05:00,-1.8,745.7,760.0,,86,Wind blowing from the south,3,,7,,Mist. ,,,-6.8,-0.8,,,,,,4.1,-3.8,No precipitation,6,,,,
08.03.2020 02:00,-2.6,746.3,760.6,,77,Wind blowing from the south-southeast,3,,6,, ,,,-6.8,-0.8,,,,,,10.0,-6.2,No precipitation,6,,,,
07.03.2020 20:00,-4.6,747.1,761.6,-0.2,81,Wind blowing from the south-east,2,,,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,-0.8,,,2500 or more  or no clouds.,,,4.0,-7.4,No precipitation,12,,,,
07.03.2020 17:00,-2.3,747.3,761.7,,74,Wind blowing from the south,2,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,-0.8,,,2500 or more  or no clouds.,,,7.0,-6.3,No precipitation,6,,,,
07.03.2020 14:00,-1.1,746.8,761.1,-0.6,63,Wind blowing from the south-west,4,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,0.5,,,2500 or more  or no clouds.,,,9.0,-7.4,No precipitation,12,,,,
07.03.2020 11:00,-3.6,747.4,761.8,,71,Wind blowing from the west-southwest,4,,7,70 – 80%., ,,,-6.8,0.5,,,2500 or more  or no clouds.,,,7.0,-8.1,No precipitation,6,,,,
07.03.2020 08:00,-5.8,747.3,761.7,1.1,81,Wind blowing from the south-west,3,,6,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,0.5,,,2500 or more  or no clouds.,,,5.0,-8.5,No precipitation,12,,,,
07.03.2020 05:00,-5.5,746.2,760.6,,83,Wind blowing from the south-west,3,,6,,Mist. ,,,,0.5,,,,,,6.0,-7.9,No precipitation,6,,,,
07.03.2020 02:00,-2.0,745.6,759.7,,82,Wind blowing from the south,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,0.5,,,2500 or more  or no clouds.,,,6.0,-4.7,No precipitation,12,,,,
06.03.2020 20:00,-1.8,746.9,761.4,-0.3,74,Wind blowing from the east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.9,0.5,,,2500 or more  or no clouds.,,,13.0,-5.8,No precipitation,12,,,,
06.03.2020 17:00,-1.1,747.2,761.8,,67,Wind blowing from the east,3,,6,90  or more  but not 100%, ,,,-12.9,0.5,,,2500 or more  or no clouds.,,,8.0,-6.6,No precipitation,6,,,,
06.03.2020 14:00,0.0,747.4,761.8,-1.2,57,Wind blowing from the east-southeast,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.9,0.3,,,2500 or more  or no clouds.,,,13.0,-7.5,No precipitation,12,,,,
06.03.2020 11:00,-3.3,748.6,763.0,,62,Wind blowing from the east,3,,,70 – 80%., ,,,-12.9,-0.3,,,2500 or more  or no clouds.,,,9.0,-9.7,No precipitation,6,,,,
06.03.2020 08:00,-10.1,748.9,763.6,0.3,76,Wind blowing from the east-northeast,2,,,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.9,-0.3,,,2500 or more  or no clouds.,,,6.0,-13.5,No precipitation,12,,,,
06.03.2020 05:00,-12.0,748.6,763.1,,81,Wind blowing from the north-east,2,,4,, ,,,-13.5,-0.3,,,,,,11.0,-14.7,No precipitation,6,,,,
06.03.2020 02:00,-11.2,749.0,763.6,,83,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,-0.3,,,2500 or more  or no clouds.,,,8.0,-13.5,No precipitation,12,,,,
05.03.2020 20:00,-5.3,749.4,764.0,0.5,67,Wind blowing from the south-east,2,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,-0.3,,,2500 or more  or no clouds.,,,10.0,-10.5,No precipitation,12,,,,
05.03.2020 17:00,-1.9,748.9,763.6,,56,Wind blowing from the south-southeast,2,,,70 – 80%., ,,,-13.6,-0.3,,,2500 or more  or no clouds.,,,16.0,-9.5,No precipitation,6,,,,
05.03.2020 14:00,-1.5,749.6,764.2,-1.6,58,Wind blowing from the south-southeast,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,-1.5,,,,,,18.0,-8.7,No precipitation,12,,,,
05.03.2020 11:00,-5.9,751.2,765.9,,60,Wind blowing from the south-southeast,3,,6,no clouds, ,,,-13.6,-1.7,,,,,,21.0,-12.4,No precipitation,6,,,,
05.03.2020 08:00,-10.9,752.5,767.4,-0.1,81,Wind blowing from the south,2,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,-1.7,,,,,,6.0,-13.5,No precipitation,12,,,,
05.03.2020 05:00,-12.9,752.6,767.3,,87,Wind blowing from the south,1,,3,, ,,,-13.6,-1.7,,,,,,9.0,-14.7,No precipitation,6,,,,
05.03.2020 02:00,-13.6,753.5,768.2,,86,Wind blowing from the south-southeast,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.6,-1.7,,,2500 or more  or no clouds.,,,6.0,-15.4,No precipitation,12,,,,
04.03.2020 20:00,-8.8,754.6,769.4,0.4,76,Wind blowing from the south-west,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.5,-1.7,,,2500 or more  or no clouds.,,,8.0,-12.3,No precipitation,12,,,,
04.03.2020 17:00,-3.3,754.2,768.8,,58,Wind blowing from the north-northwest,2,,9,20–30%., ,,,-9.5,-1.7,,,2500 or more  or no clouds.,,,22.0,-10.4,No precipitation,6,,,,
04.03.2020 14:00,-1.8,754.2,768.7,-0.7,54,Wind blowing from the north-northwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.5,-1.8,,,,,,30.0,-10.1,No precipitation,12,,,,
04.03.2020 11:00,-4.1,754.9,769.6,,60,Wind blowing from the north,3,,6,no clouds, ,,,-9.5,-4.1,,,,,,26.0,-10.9,No precipitation,6,,,,
04.03.2020 08:00,-8.3,754.9,769.6,0.9,68,Wind blowing from the north-northwest,3,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-4.2,,,600-1000,,,30.0,-13.3,No precipitation,12,,,,
04.03.2020 05:00,-8.7,754.0,768.7,,75,Wind blowing from the north-northwest,2,,7,,Intermittent fall of snowflakes  slight at time of observation. ,,,,-4.2,,,,,,16.0,-12.3,No precipitation,6,,,,
04.03.2020 02:00,-7.6,754.0,768.7,,72,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-4.2,,,2500 or more  or no clouds.,,,17.0,-11.9,No precipitation,12,,,,
03.03.2020 20:00,-6.3,755.5,770.4,-0.1,75,Wind blowing from the north-northwest,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.4,-4.2,,,2500 or more  or no clouds.,,,11.0,-10.0,No precipitation,12,,,,
03.03.2020 17:00,-5.0,755.6,770.5,,68,Wind blowing from the north,3,,6,100%., ,,,-17.4,-4.2,,,2500 or more  or no clouds.,,,7.0,-10.0,No precipitation,6,,,,
03.03.2020 14:00,-4.3,756.0,770.8,-1.9,63,Wind blowing from the north-east,3,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.4,-2.8,,,2500 or more  or no clouds.,,,10.0,-10.3,No precipitation,12,,,,
03.03.2020 11:00,-6.6,757.9,772.8,,72,Wind blowing from the east-northeast,2,,,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.4,-2.8,,,,,,3.1,-10.8,No precipitation,6,,,,
03.03.2020 08:00,-14.3,757.6,772.6,0.3,87,Wind blowing from the east-northeast,1,,3,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.4,-2.8,,,2500 or more  or no clouds.,,,1.2,-16.0,No precipitation,12,,,,
03.03.2020 05:00,-16.4,757.3,772.2,,84,Wind blowing from the north-east,2,,,,Mist. ,,,-16.8,-2.8,,,,,,3.1,-18.5,No precipitation,6,,,,
03.03.2020 02:00,-13.8,757.8,772.6,,85,Wind blowing from the north-east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.2,-2.8,,,2500 or more  or no clouds.,,,1.9,-15.8,No precipitation,12,,,,
02.03.2020 20:00,-10.1,757.1,772.2,0.8,80,Wind blowing from the east-northeast,1,,,60%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.2,-2.8,,,2500 or more  or no clouds.,,,2.9,-12.9,No precipitation,12,,,,
02.03.2020 17:00,-4.9,756.3,771.2,,63,Wind blowing from the south,2,,4,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.2,-2.8,,,2500 or more  or no clouds.,,,6.0,-10.9,No precipitation,6,,,,
02.03.2020 14:00,-3.5,755.5,770.4,,61,Wind blowing from the south-west,2,,4,20–30%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.2,-3.2,,,2500 or more  or no clouds.,,,8.0,-10.1,No precipitation,12,,,,
02.03.2020 11:00,-9.2,756.2,771.2,,87,Wind blowing from the south-west,1,,3,50%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.2,-3.1,,,2500 or more  or no clouds.,,,4.7,-11.0,No precipitation,6,,,,
02.03.2020 08:00,-15.4,756.3,771.4,1.0,86,Wind blowing from the south-east,1,,2,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.2,-3.1,,,2500 or more  or no clouds.,,,0.2,-17.2,No precipitation,12,,,,
02.03.2020 05:00,-16.0,755.3,770.2,,87,Wind blowing from the west-southwest,1,,2,,Fog or ice fog. ,,,-17.2,-3.1,,,,,,1.5,-17.7,No precipitation,6,,,,
02.03.2020 02:00,-14.3,754.9,769.8,,87,Calm  no wind,0,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,-3.1,,,2500 or more  or no clouds.,,,1.1,-16.0,No precipitation,12,,,,
01.03.2020 20:00,-9.7,754.0,768.8,0.7,88,Calm  no wind,0,,,100%.,Mist. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-3.1,,,600-1000,,,1.3,-11.3,0.1,12,,,,
01.03.2020 17:00,-5.5,753.3,767.9,,78,Wind blowing from the east-northeast,0,,,100%.,Haze. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,-3.1,,,600-1000,,,5.0,-8.7,No precipitation,6,,,,
01.03.2020 14:00,-3.7,752.8,767.4,-0.7,74,Wind blowing from the north-east,1,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,-3.1,,,600-1000,,,11.0,-7.7,0.2,12,,,,
01.03.2020 11:00,-4.3,753.5,768.1,,77,Wind blowing from the east-northeast,2,,,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,-3.4,,,600-1000,,,11.0,-7.7,0.2,6,,,,
01.03.2020 08:00,-6.6,753.7,768.4,0.3,87,Wind blowing from the west,1,,4,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,,,,600-1000,,,2.1,-8.5,0.1,12,,,,
01.03.2020 05:00,-6.4,753.4,768.0,,78,Wind blowing from the west-northwest,1,,5,, ,,,,-3.4,,,,,,16.0,-9.6,No precipitation,6,,,,
