Local time in Jiexiu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 14:00,21.0,698.1,762.3,-2.2,9,Wind blowing from the west-northwest,7,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,21.4,,,2500 or more  or no clouds.,,,12.0,-13.0,No precipitation,12,,,,
16.03.2020 11:00,17.0,700.3,764.9,,13,Wind blowing from the west-southwest,4,,6,70 – 80%., ,,,5.3,19.4,,,2500 or more  or no clouds.,,,11.0,-11.6,No precipitation,6,,,,
16.03.2020 08:00,7.4,700.6,766.2,,39,Wind blowing from the west,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,19.4,,,2500 or more  or no clouds.,,,9.0,-5.9,No precipitation,12,,,,
16.03.2020 05:00,7.3,700.1,765.1,,34,Wind blowing from the west,2,,7,, ,,,0.5,19.4,,,,,,24.0,-7.5,No precipitation,6,,,,
16.03.2020 02:00,9.7,700.1,764.8,,25,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,19.4,,,2500 or more  or no clouds.,,,25.0,-9.3,No precipitation,12,,,,
15.03.2020 20:00,13.4,699.7,765.5,1.8,18,Wind blowing from the west,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,19.4,,,2500 or more  or no clouds.,,,27.0,-10.4,No precipitation,12,,,,
15.03.2020 17:00,18.6,697.9,763.0,,10,Wind blowing from the east-northeast,2,,7,90  or more  but not 100%, ,,,0.5,19.4,,,,,,11.0,-13.6,No precipitation,6,,,,
15.03.2020 14:00,18.5,698.9,763.9,-2.4,12,Wind blowing from the east,2,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,18.5,,,2500 or more  or no clouds.,,,11.0,-11.4,No precipitation,12,,,,
15.03.2020 11:00,13.3,701.3,766.9,,14,Wind blowing from the south,2,,6,no clouds, ,,,0.5,14.4,,,,,,10.0,-13.6,No precipitation,6,,,,
15.03.2020 08:00,4.6,701.7,768.1,0.8,33,Wind blowing from the south-west,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,14.4,,,,,,9.0,-10.6,No precipitation,12,,,,
15.03.2020 05:00,5.1,700.9,766.9,,22,Wind blowing from the south-west,3,,9,, ,,,0.3,14.4,,,,,,25.0,-14.8,No precipitation,6,,,,
15.03.2020 02:00,6.3,700.8,766.5,,20,Wind blowing from the south-southwest,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,14.4,,,2500 or more  or no clouds.,,,24.0,-15.0,No precipitation,12,,,,
14.03.2020 20:00,9.8,700.3,766.8,0.6,16,Wind blowing from the west,3,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,14.4,,,,,,25.0,-14.8,No precipitation,12,,,,
14.03.2020 17:00,13.6,699.7,766.0,,11,Wind blowing from the west-northwest,6,,16,no clouds, ,,,0.3,14.4,,,,,,10.0,-16.3,No precipitation,6,,,,
14.03.2020 14:00,13.7,700.9,767.1,-2.3,11,Wind blowing from the west-northwest,10,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,13.7,,,,,,10.0,-16.2,No precipitation,12,,,,
14.03.2020 11:00,9.3,703.2,770.0,,13,Wind blowing from the west-southwest,6,,9,no clouds, ,,,0.3,11.9,,,,,,10.0,-17.7,No precipitation,6,,,,
14.03.2020 08:00,3.9,703.8,771.1,0.5,23,Wind blowing from the west,6,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.3,,,,,,,9.0,-15.3,No precipitation,12,,,,
14.03.2020 05:00,1.7,703.3,770.4,,29,Wind blowing from the south-southwest,2,,12,, ,,,1.5,11.9,,,,,,25.0,-14.4,No precipitation,6,,,,
14.03.2020 02:00,2.9,704.2,771.0,,26,Wind blowing from the south-west,4,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.0,11.9,,,2500 or more  or no clouds.,,,24.0,-14.7,No precipitation,12,,,,
13.03.2020 20:00,5.5,704.8,772.0,0.6,19,Wind blowing from the west-northwest,3,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,11.9,,,,,,25.0,-16.3,No precipitation,12,,,,
13.03.2020 17:00,9.7,704.2,770.9,,13,Wind blowing from the west-northwest,8,,15,, ,,,3.7,14.2,,,,,,10.0,-17.4,No precipitation,6,,,,
13.03.2020 14:00,11.2,704.2,770.5,,17,Wind blowing from the north-west,8,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,17.7,,,2500 or more  or no clouds.,,,10.0,-12.9,No precipitation,12,,,,
13.03.2020 11:00,9.0,705.6,772.1,,27,Wind blowing from the north-northwest,4,,9,100%., ,,,3.7,,,,2500 or more  or no clouds.,,,10.0,-8.9,No precipitation,6,,,,
13.03.2020 08:00,5.4,705.3,771.9,,48,Wind blowing from the south,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,17.7,,,2500 or more  or no clouds.,,,8.0,-4.9,No precipitation,12,,,,
13.03.2020 05:00,4.5,704.0,770.2,,49,Wind blowing from the south-southeast,1,,10,, ,,,1.1,17.7,,,,,,25.0,-5.5,No precipitation,6,,,,
13.03.2020 02:00,6.3,703.6,769.2,,41,Wind blowing from the east,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,17.7,,,2500 or more  or no clouds.,,,25.0,-6.2,No precipitation,12,,,,
12.03.2020 20:00,10.6,699.4,765.4,,20,Wind blowing from the north-northwest,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,17.7,,,2500 or more  or no clouds.,,,26.0,-11.4,No precipitation,12,,,,
12.03.2020 17:00,14.1,696.7,762.5,,21,Wind blowing from the north-northwest,5,,12,90  or more  but not 100%, ,,,1.1,17.7,,,,,,10.0,-7.8,No precipitation,6,,,,
12.03.2020 14:00,17.5,695.8,760.7,-0.8,12,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,18.4,,,2500 or more  or no clouds.,,,11.0,-12.2,No precipitation,12,,,,
12.03.2020 11:00,13.0,696.6,761.8,,23,Wind blowing from the north-west,3,,6,90  or more  but not 100%, ,,,1.1,18.4,,,,,,8.0,-7.6,No precipitation,6,,,,
12.03.2020 08:00,6.1,696.1,761.4,1.5,43,Wind blowing from the south-west,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,18.4,,,2500 or more  or no clouds.,,,8.0,-5.8,No precipitation,12,,,,
12.03.2020 05:00,2.0,694.6,759.7,,53,Wind blowing from the east,1,,8,, ,,,-4.2,18.4,,,,,,24.0,-6.7,No precipitation,6,,,,
12.03.2020 02:00,4.9,694.9,759.9,,38,Wind blowing from the south-southeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.4,,,2500 or more  or no clouds.,,,25.0,-8.5,No precipitation,12,,,,
11.03.2020 20:00,13.5,694.2,760.1,1.3,17,Wind blowing from the south-west,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.4,,,,,,27.0,-11.0,No precipitation,12,,,,
11.03.2020 17:00,17.5,692.9,758.5,,10,Wind blowing from the west-southwest,5,,11,no clouds, ,,,-4.2,18.4,,,,,,11.0,-14.4,No precipitation,6,,,,
11.03.2020 14:00,17.2,694.1,759.7,-3.0,12,Wind blowing from the west-southwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,17.6,,,,,,11.0,-12.4,No precipitation,12,,,,
11.03.2020 11:00,11.0,697.1,763.5,,21,Wind blowing from the east,1,,3,no clouds, ,,,-4.2,11.2,,,,,,8.0,-10.4,No precipitation,6,,,,
11.03.2020 08:00,-0.3,697.8,765.0,0.8,56,Wind blowing from the north-east,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,11.1,,,,,,8.0,-8.2,No precipitation,12,,,,
11.03.2020 05:00,-2.4,697.0,763.8,,54,Wind blowing from the south-southwest,1,,,, ,,,-2.6,11.1,,,,,,22.0,-10.6,No precipitation,6,,,,
11.03.2020 02:00,-1.3,698.1,764.9,,46,Wind blowing from the north,0,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.6,11.1,,,2500 or more  or no clouds.,,,22.0,-11.6,No precipitation,12,,,,
10.03.2020 20:00,5.8,699.1,766.3,,19,Wind blowing from the west,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,11.1,,,,,,24.0,-16.0,No precipitation,12,,,,
10.03.2020 17:00,10.2,698.5,765.0,,12,Wind blowing from the west-northwest,6,,13,no clouds, ,,,0.5,11.1,,,,,,9.0,-17.9,No precipitation,6,,,,
10.03.2020 14:00,10.1,699.4,765.8,-2.6,12,Wind blowing from the west,6,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,12.8,,,,,,10.0,-18.0,No precipitation,12,,,,
10.03.2020 11:00,6.4,702.0,768.9,,15,Wind blowing from the west-southwest,4,,9,no clouds, ,,,0.5,12.8,,,,,,9.0,-18.3,No precipitation,6,,,,
10.03.2020 08:00,1.5,701.8,769.1,1.0,22,Wind blowing from the west-southwest,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.5,12.8,,,,,,9.0,-17.9,No precipitation,12,,,,
10.03.2020 05:00,2.0,700.8,767.4,,20,Wind blowing from the west,4,,16,, ,,,1.8,12.8,,,,,,25.0,-18.6,No precipitation,6,,,,
10.03.2020 02:00,3.4,702.2,768.5,,19,Wind blowing from the west,5,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,12.8,,,2500 or more  or no clouds.,,,24.0,-18.0,No precipitation,12,,,,
09.03.2020 20:00,6.9,701.2,768.1,2.7,32,Wind blowing from the north-west,8,,18,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,12.8,,,2500 or more  or no clouds.,,,25.0,-8.6,No precipitation,12,,,,
09.03.2020 17:00,10.7,698.5,764.6,,28,Wind blowing from the north-west,10,,18,70 – 80%., ,,,3.7,12.8,,,2500 or more  or no clouds.,,,10.0,-7.0,No precipitation,6,,,,
09.03.2020 14:00,12.8,698.1,763.9,-1.8,33,Wind blowing from the south-east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,12.8,,,2500 or more  or no clouds.,,,10.0,-3.0,0.1,12,,,,
09.03.2020 11:00,9.1,699.9,766.2,,71,Wind blowing from the north-northwest,1,,4,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,9.3,,,2500 or more  or no clouds.,,,6.0,4.1,No precipitation,6,,,,
09.03.2020 08:00,4.0,698.8,765.4,1.2,99,Wind blowing from the south-west,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,9.0,,,2500 or more  or no clouds.,,,14.0,3.9,2.0,12,,,,
09.03.2020 05:00,4.7,697.6,763.9,,99,Wind blowing from the west-southwest,2,,4,, ,,,0.4,9.0,,,,,,24.0,4.6,0.5,6,,,,
09.03.2020 02:00,4.8,697.7,763.9,,99,Wind blowing from the west-northwest,3,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,9.0,,,2500 or more  or no clouds.,,,24.0,4.7,2.0,12,,,,
08.03.2020 20:00,6.8,695.0,761.5,1.4,76,Wind blowing from the south,3,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,10.3,,,2500 or more  or no clouds.,,,24.0,2.9,Trace of precipitation,12,,,,
08.03.2020 17:00,7.8,693.6,760.0,,56,Wind blowing from the south-east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,15.8,,,,,,7.0,-0.6,No precipitation,6,,,,
08.03.2020 14:00,8.5,693.6,759.7,-1.3,49,Wind blowing from the north,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,16.4,,,2500 or more  or no clouds.,,,7.0,-1.8,No precipitation,12,,,,
08.03.2020 11:00,6.8,694.9,760.9,,53,Wind blowing from the west-northwest,2,,3,, ,,,0.4,,,,,,,7.0,-2.3,No precipitation,6,,,,
08.03.2020 08:00,3.0,694.3,760.4,,72,Wind blowing from the west-northwest,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,16.4,,,2500 or more  or no clouds.,,,7.0,-1.6,No precipitation,12,,,,
08.03.2020 05:00,1.2,693.3,758.7,,67,Wind blowing from the west-northwest,1,,4,, ,,,-2.5,16.4,,,,,,24.0,-4.4,No precipitation,6,,,,
08.03.2020 02:00,2.2,694.3,759.8,,58,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.4,,,2500 or more  or no clouds.,,,23.0,-5.4,No precipitation,12,,,,
07.03.2020 20:00,9.2,693.4,759.7,,30,Wind blowing from the south,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.4,,,,,,24.0,-7.4,No precipitation,12,,,,
07.03.2020 17:00,15.7,693.4,759.0,,16,Wind blowing from the east-northeast,3,,5,no clouds, ,,,-2.5,16.4,,,,,,9.0,-10.0,No precipitation,6,,,,
07.03.2020 14:00,14.0,695.8,761.3,-2.2,19,Wind blowing from the east-northeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.8,,,,,,10.0,-9.2,No precipitation,12,,,,
07.03.2020 11:00,8.9,698.0,763.9,,30,Wind blowing from the north,2,,5,no clouds, ,,,-2.5,16.8,,,,,,8.0,-7.7,No precipitation,6,,,,
07.03.2020 08:00,0.4,698.5,765.1,1.3,59,Wind blowing from the south-west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.5,16.8,,,,,,8.0,-6.8,No precipitation,12,,,,
07.03.2020 05:00,-0.6,697.2,763.1,,56,Wind blowing from the north-west,1,,12,, ,,,-0.8,16.8,,,,,,23.0,-8.4,No precipitation,6,,,,
07.03.2020 02:00,3.4,697.0,762.4,,36,Wind blowing from the east,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,16.8,,,2500 or more  or no clouds.,,,24.0,-10.5,No precipitation,12,,,,
06.03.2020 20:00,10.1,695.2,761.4,2.0,27,Wind blowing from the west-northwest,2,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,16.8,,,2500 or more  or no clouds.,,,26.0,-8.0,No precipitation,12,,,,
06.03.2020 17:00,15.8,693.2,758.5,,22,Wind blowing from the north-west,7,,13,50%., ,,,0.1,16.8,,,2500 or more  or no clouds.,,,10.0,-5.8,No precipitation,6,,,,
06.03.2020 14:00,15.9,692.7,757.7,-1.9,35,Wind blowing from the south-west,6,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,16.4,,,2500 or more  or no clouds.,,,9.0,0.4,No precipitation,12,,,,
06.03.2020 11:00,10.3,694.6,760.3,,50,Wind blowing from the south-southwest,1,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,13.9,,,,,,7.0,0.3,No precipitation,6,,,,
06.03.2020 08:00,2.1,695.2,761.5,,88,Wind blowing from the south-east,2,,,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.0,13.9,,,,,,7.0,0.3,No precipitation,12,,,,
06.03.2020 05:00,1.6,695.0,760.9,,87,Wind blowing from the south-west,1,,7,, ,,,-3.4,13.9,,,,,,25.0,-0.4,No precipitation,6,,,,
06.03.2020 02:00,3.4,696.0,761.8,,75,Wind blowing from the north-west,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,13.9,,,2500 or more  or no clouds.,,,25.0,-0.7,No precipitation,12,,,,
05.03.2020 20:00,8.8,696.0,762.9,0.8,49,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,13.9,,,2500 or more  or no clouds.,,,25.0,-1.5,No precipitation,12,,,,
05.03.2020 17:00,12.9,695.2,761.5,,34,Wind blowing from the west-southwest,4,,8,20–30%., ,,,-3.4,13.9,,,2500 or more  or no clouds.,,,9.0,-2.5,No precipitation,6,,,,
05.03.2020 14:00,11.9,697.0,763.5,-3.7,37,Wind blowing from the north-east,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,12.0,,,,,,9.0,-2.3,No precipitation,12,,,,
05.03.2020 11:00,5.2,700.7,768.1,,48,Wind blowing from the north-east,2,,,no clouds, ,,,-3.4,9.7,,,,,,8.0,-5.1,No precipitation,6,,,,
05.03.2020 08:00,-2.1,701.6,769.6,0.0,91,Wind blowing from the west,1,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,9.7,,,,,,7.0,-3.4,No precipitation,12,,,,
05.03.2020 05:00,-2.1,701.6,769.0,,73,Wind blowing from the south,1,,5,, ,,,-4.2,9.7,,,,,,21.0,-6.4,No precipitation,6,,,,
05.03.2020 02:00,-0.8,702.2,769.6,,71,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,9.7,,,2500 or more  or no clouds.,,,24.0,-5.5,No precipitation,12,,,,
04.03.2020 20:00,4.4,701.8,769.8,0.6,45,Wind blowing from the south-southwest,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,9.7,,,,,,25.0,-6.7,No precipitation,12,,,,
04.03.2020 17:00,9.0,701.2,768.7,,31,Wind blowing from the north-northeast,3,,7,no clouds, ,,,-4.2,9.7,,,,,,9.0,-7.2,No precipitation,6,,,,
04.03.2020 14:00,7.8,702.5,769.9,-2.6,31,Wind blowing from the north-northeast,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.9,,,,,,9.0,-8.6,No precipitation,12,,,,
04.03.2020 11:00,3.3,705.1,772.9,,31,Wind blowing from the north,2,,5,no clouds, ,,,-4.2,10.9,,,,,,9.0,-12.2,No precipitation,6,,,,
04.03.2020 08:00,-1.9,704.7,773.0,1.8,50,Wind blowing from the north-east,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,10.9,,,,,,9.0,-11.1,No precipitation,12,,,,
04.03.2020 05:00,-3.4,702.9,770.5,,55,Wind blowing from the north,1,,10,, ,,,-3.4,10.9,,,,,,21.0,-11.3,No precipitation,6,,,,
04.03.2020 02:00,-0.3,702.9,770.1,,43,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,10.9,,,2500 or more  or no clouds.,,,24.0,-11.6,No precipitation,12,,,,
03.03.2020 20:00,4.3,702.3,769.9,1.1,23,Wind blowing from the west-northwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,10.9,,,,,,25.0,-15.0,No precipitation,12,,,,
03.03.2020 17:00,9.3,701.2,768.1,,12,Wind blowing from the west,5,,11,no clouds, ,,,-0.3,10.9,,,,,,10.0,-18.6,No precipitation,6,,,,
03.03.2020 14:00,9.6,701.9,768.7,-2.5,11,Wind blowing from the north-west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,10.5,,,,,,11.0,-19.4,No precipitation,12,,,,
03.03.2020 11:00,4.7,704.4,771.8,,13,Wind blowing from the south-west,4,,8,no clouds, ,,,-0.3,9.6,,,,,,10.0,-21.4,No precipitation,6,,,,
03.03.2020 08:00,1.0,704.4,772.2,1.7,29,Wind blowing from the west-southwest,4,,14,no clouds,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.3,9.6,,,,,,10.0,-15.0,0.2,12,,,,
03.03.2020 05:00,1.4,702.7,770.0,,32,Wind blowing from the west,4,,15,, ,,,0.1,9.6,,,,,,24.0,-13.8,No precipitation,6,,,,
03.03.2020 02:00,2.7,703.0,770.0,,53,Wind blowing from the west,3,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,9.6,,,2500 or more  or no clouds.,,,24.0,-6.1,0.2,12,,,,
02.03.2020 20:00,4.7,699.7,767.2,1.2,83,Wind blowing from the south-west,8,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,9.6,,,2500 or more  or no clouds.,,,24.0,2.1,No precipitation,12,,,,
02.03.2020 17:00,7.1,698.5,765.4,,63,Wind blowing from the south-west,10,,18,90  or more  but not 100%, ,,,0.1,11.0,,,,,,9.0,0.5,No precipitation,6,,,,
02.03.2020 14:00,8.9,698.8,765.4,-2.9,54,Wind blowing from the south-west,12,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,12.5,,,,,,9.0,-0.1,No precipitation,12,,,,
02.03.2020 11:00,7.9,701.7,768.4,,54,Wind blowing from the south-west,8,,13,60%., ,,,0.1,12.5,,,2500 or more  or no clouds.,,,8.0,-1.0,No precipitation,6,,,,
02.03.2020 08:00,0.3,702.4,769.9,,68,Wind blowing from the west-northwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,12.5,,,2500 or more  or no clouds.,,,9.0,-5.0,No precipitation,12,,,,
02.03.2020 05:00,1.4,702.1,768.8,,55,Wind blowing from the west,2,,7,, ,,,0.4,12.5,,,,,,24.0,-6.8,No precipitation,6,,,,
02.03.2020 02:00,2.2,702.4,769.1,,46,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,12.5,,,2500 or more  or no clouds.,,,24.0,-8.4,No precipitation,12,,,,
01.03.2020 20:00,7.2,702.4,769.4,1.1,19,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,12.5,,,2500 or more  or no clouds.,,,25.0,-14.8,No precipitation,12,,,,
01.03.2020 17:00,11.0,701.3,767.5,,12,Wind blowing from the west,4,,11,60%., ,,,1.5,12.5,,,2500 or more  or no clouds.,,,10.0,-17.3,No precipitation,6,,,,
