Local time in Tianjin,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 20:00,10.3,761.4,761.8,,45,Wind blowing from the north-northwest,2,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,14.5,,,2500 or more  or no clouds.,,,15.0,-1.1,No precipitation,12,,,,
16.03.2020 17:00,14.0,760.6,761.0,,32,Wind blowing from the west-southwest,3,,7,90  or more  but not 100%, ,,,1.6,14.5,,,2500 or more  or no clouds.,,,19.0,-2.4,No precipitation,6,,,,
16.03.2020 14:00,12.3,762.4,762.8,-3.2,33,Wind blowing from the west,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,15.4,,,2500 or more  or no clouds.,,,29.0,-3.5,No precipitation,12,,,,
16.03.2020 11:00,8.4,765.6,766.0,,42,Wind blowing from the south-southwest,3,,13,40%., ,,,1.6,15.5,,,2500 or more  or no clouds.,,,29.0,-3.8,No precipitation,6,,,,
16.03.2020 08:00,4.5,767.5,767.8,,52,Wind blowing from the east,2,,13,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.6,,,,2500 or more  or no clouds.,,,30.0,-4.5,No precipitation,12,,,,
16.03.2020 05:00,2.1,768.0,768.4,,61,Wind blowing from the east-southeast,2,,13,, ,,,2.1,15.6,,,,,,30.0,-4.8,No precipitation,6,,,,
16.03.2020 02:00,2.6,768.8,769.2,,59,Wind blowing from the east-southeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.5,15.6,,,2500 or more  or no clouds.,,,30.0,-4.8,No precipitation,12,,,,
15.03.2020 20:00,5.4,766.8,767.2,2.6,70,Wind blowing from the east-southeast,8,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,15.6,,,,,,30.0,0.4,No precipitation,12,,,,
15.03.2020 17:00,11.1,764.2,764.5,,36,Wind blowing from the south-southeast,7,,10,no clouds, ,,,5.4,15.8,,,,,,30.0,-3.4,No precipitation,6,,,,
15.03.2020 14:00,14.7,763.9,764.2,-0.7,30,Wind blowing from the south-southeast,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,16.3,,,,,,30.0,-2.7,No precipitation,12,,,,
15.03.2020 11:00,14.6,764.6,765.0,,25,Wind blowing from the east,5,,9,no clouds, ,,,5.4,16.3,,,,,,30.0,-5.2,No precipitation,6,,,,
15.03.2020 08:00,9.3,763.1,763.5,2.2,30,Wind blowing from the north,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,16.3,,,,,,23.0,-7.4,No precipitation,12,,,,
15.03.2020 05:00,6.8,760.9,761.2,,31,Wind blowing from the west-southwest,2,,13,, ,,,0.1,16.3,,,,,,26.0,-9.1,No precipitation,6,,,,
15.03.2020 02:00,7.5,761.2,761.6,,31,Wind blowing from the south-west,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,16.3,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
14.03.2020 20:00,12.4,761.2,761.5,0.8,16,Wind blowing from the west-northwest,3,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,16.3,,,,,,30.0,-12.7,No precipitation,12,,,,
14.03.2020 17:00,15.8,760.4,760.8,,11,Wind blowing from the north-west,7,,12,no clouds, ,,,0.1,16.3,,,,,,30.0,-14.6,No precipitation,6,,,,
14.03.2020 14:00,15.8,761.5,761.8,-2.1,11,Wind blowing from the west-northwest,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,16.0,,,,,,30.0,-14.6,No precipitation,12,,,,
14.03.2020 11:00,13.9,763.6,763.9,,11,Wind blowing from the north-west,6,,11,no clouds, ,,,0.1,14.0,,,,,,30.0,-16.1,No precipitation,6,,,,
14.03.2020 08:00,4.7,764.6,765.0,0.1,60,Wind blowing from the south,1,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.7,,,2500 or more  or no clouds.,,,11.0,-2.6,No precipitation,12,,,,
14.03.2020 05:00,1.8,764.5,764.8,,62,Wind blowing from the west-southwest,1,,8,, ,,,0.1,11.7,,,,,,17.0,-4.7,No precipitation,6,,,,
14.03.2020 02:00,4.7,765.7,766.0,,49,Wind blowing from the west-southwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.7,,,2500 or more  or no clouds.,,,20.0,-5.1,No precipitation,12,,,,
13.03.2020 20:00,8.0,768.0,768.4,-0.2,30,Wind blowing from the west-southwest,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.7,,,,,,26.0,-8.5,No precipitation,12,,,,
13.03.2020 17:00,10.9,768.2,768.6,,22,Wind blowing from the west,4,,11,no clouds, ,,,0.1,11.7,,,,,,30.0,-10.0,No precipitation,6,,,,
13.03.2020 14:00,10.2,769.7,770.1,,16,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,11.4,,,,,,30.0,-14.5,No precipitation,12,,,,
13.03.2020 11:00,8.6,772.8,773.2,,17,Wind blowing from the east,2,,4,no clouds, ,,,0.1,13.7,,,,,,30.0,-15.1,No precipitation,6,,,,
13.03.2020 08:00,3.4,774.0,774.4,,47,Wind blowing from the north-west,1,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.1,13.7,,,2500 or more  or no clouds.,,,23.0,-7.1,No precipitation,12,,,,
13.03.2020 05:00,1.0,772.6,773.0,,72,Wind blowing from the north,1,,9,, ,,,0.6,13.7,,,,,,22.0,-3.5,No precipitation,6,,,,
13.03.2020 02:00,1.6,772.3,772.7,,73,Wind blowing from the north,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,13.7,,,2500 or more  or no clouds.,,,27.0,-2.7,No precipitation,12,,,,
12.03.2020 20:00,6.0,768.5,768.9,,41,Wind blowing from the east-southeast,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.7,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,12,,,,
12.03.2020 17:00,7.5,765.7,766.1,,51,Wind blowing from the south-east,5,,11,100%., ,,,5.0,17.6,,,2500 or more  or no clouds.,,,29.0,-2.2,No precipitation,6,,,,
12.03.2020 14:00,11.2,764.0,764.4,1.1,31,Wind blowing from the south-east,5,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,18.4,,,2500 or more  or no clouds.,,,23.0,-5.3,No precipitation,12,,,,
12.03.2020 11:00,12.7,762.9,763.3,,35,Wind blowing from the north-east,5,,11,90  or more  but not 100%, ,,,5.0,18.4,,,,,,10.0,-2.4,No precipitation,6,,,,
12.03.2020 08:00,7.1,760.6,760.9,2.6,67,Wind blowing from the north,3,,5,60%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.3,18.4,,,2500 or more  or no clouds.,,,7.0,1.4,No precipitation,12,,,,
12.03.2020 05:00,7.8,758.0,758.4,,70,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,10.0,2.7,,,,,,
12.03.2020 02:00,7.4,758.0,758.4,,69,Wind blowing from the south-southeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,18.4,,,2500 or more  or no clouds.,,,10.0,2.1,No precipitation,12,,,,
11.03.2020 20:00,11.9,758.4,758.8,1.1,38,Wind blowing from the south,2,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,18.4,,,Less than  50,,,14.0,-2.0,No precipitation,12,,,,
11.03.2020 17:00,17.7,757.3,757.6,,18,Wind blowing from the west-southwest,4,,10,no clouds, ,,,0.4,18.4,,,,,,21.0,-6.9,No precipitation,6,,,,
11.03.2020 14:00,17.0,758.7,759.1,-3.1,22,Wind blowing from the west-southwest,5,,9,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,17.3,,,2500 or more  or no clouds.,,,15.0,-4.9,No precipitation,12,,,,
11.03.2020 11:00,12.2,761.8,762.1,,44,Wind blowing from the south-west,6,,9,no clouds, ,,,0.4,12.3,,,,,,10.0,0.3,No precipitation,6,,,,
11.03.2020 08:00,4.3,762.8,763.2,0.4,52,Wind blowing from the south,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,11.9,,,,,,23.0,-4.7,No precipitation,12,,,,
11.03.2020 05:00,1.7,762.4,762.7,,66,Wind blowing from the south,2,,6,, ,,,1.4,11.9,,,,,,22.0,-4.0,No precipitation,6,,,,
11.03.2020 02:00,1.8,763.7,764.1,,57,Wind blowing from the south,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,11.9,,,2500 or more  or no clouds.,,,28.0,-6.0,No precipitation,12,,,,
10.03.2020 20:00,5.8,763.9,764.3,,35,Wind blowing from the south,1,,13,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,11.9,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
10.03.2020 17:00,10.4,763.3,763.6,,14,Wind blowing from the north,4,,13,70 – 80%., ,,,1.4,11.9,,,1500-2000,,,30.0,-16.0,No precipitation,6,,,,
10.03.2020 14:00,11.2,763.6,764.0,-0.9,13,Wind blowing from the north,8,,12,20–30%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,11.4,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
10.03.2020 11:00,9.6,764.5,764.9,,22,Wind blowing from the north-west,7,,12,no clouds,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,9.8,,,,,,30.0,-11.1,No precipitation,6,,,,
10.03.2020 08:00,1.9,764.5,764.8,0.4,97,Wind blowing from the west-northwest,2,,4,100%.,Fog or ice fog at a distance at the time of observation  but not at the station during the preceding hour  the fog or ice fog extending to a level above that of the observer. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.4,8.7,,,1500-2000,,,0.1,1.5,No precipitation,12,,,,
10.03.2020 05:00,2.4,764.1,764.5,,95,Wind blowing from the west,1,,4,,Mist. ,,,2.2,8.7,,,,,,2.7,1.7,No precipitation,6,,,,
10.03.2020 02:00,3.3,765.4,765.8,,91,Wind blowing from the west-northwest,2,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,8.7,,,2500 or more  or no clouds.,,,4.4,2.0,No precipitation,12,,,,
09.03.2020 20:00,6.3,765.2,765.6,1.6,80,Wind blowing from the south-west,2,,8,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,8.7,,,2500 or more  or no clouds.,,,6.0,3.1,1.0,12,,,,
09.03.2020 17:00,7.7,763.6,763.9,,70,Wind blowing from the south-southeast,3,,,90  or more  but not 100%, ,,,5.8,8.7,,,,,,13.0,2.6,No precipitation,6,,,,
09.03.2020 14:00,7.7,764.3,764.7,-0.7,73,Wind blowing from the east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,9.8,,,2500 or more  or no clouds.,,,17.0,3.2,7.0,12,,,,
09.03.2020 11:00,6.3,765.0,765.4,,87,Wind blowing from the east,4,,8,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,5.4,,,,2500 or more  or no clouds.,,,9.0,4.3,4.0,6,,,,
09.03.2020 08:00,6.5,763.3,763.7,1.8,94,Wind blowing from the north-northeast,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,1.4,5.6,10.0,12,,,,
09.03.2020 05:00,6.0,761.5,761.9,,94,Wind blowing from the north-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.1,9.8,,,,,,1.2,5.1,6.0,6,,,,
09.03.2020 02:00,5.9,761.8,762.2,,93,Wind blowing from the north,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,9.8,,,2500 or more  or no clouds.,,,1.2,4.9,4.0,12,,,,
08.03.2020 20:00,7.2,761.2,761.6,1.2,81,Wind blowing from the east,1,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,9.8,,,2500 or more  or no clouds.,,,1.8,4.2,No precipitation,12,,,,
08.03.2020 17:00,8.4,760.0,760.4,,73,Wind blowing from the east,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,11.3,,,2500 or more  or no clouds.,,,2.2,3.8,No precipitation,6,,,,
08.03.2020 14:00,8.3,760.6,761.0,-2.1,70,Wind blowing from the south-east,2,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,14.6,,,2500 or more  or no clouds.,,,2.9,3.0,No precipitation,12,,,,
08.03.2020 11:00,5.5,762.7,763.1,,85,Wind blowing from the east-northeast,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,,,,2500 or more  or no clouds.,,,2.8,3.2,No precipitation,6,,,,
08.03.2020 08:00,3.2,762.5,762.9,,99,Wind blowing from the east-southeast,3,,7,100%.,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,,,,2500 or more  or no clouds.,,,0.8,3.1,No precipitation,12,,,,
08.03.2020 05:00,3.3,762.1,762.5,,99,Wind blowing from the south-southeast,3,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,2.1,14.6,,,,,,0.2,3.2,No precipitation,6,,,,
08.03.2020 02:00,3.2,762.7,763.0,,99,Wind blowing from the south-east,4,,9,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.6,,,2500 or more  or no clouds.,,,0.1,3.1,No precipitation,12,,,,
07.03.2020 20:00,6.3,762.6,763.0,1.2,82,Wind blowing from the south-east,5,,9,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.6,,,2500 or more  or no clouds.,,,3.1,3.5,No precipitation,12,,,,
07.03.2020 17:00,11.4,761.4,761.8,,57,Wind blowing from the south-southeast,6,,9,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.6,,,2500 or more  or no clouds.,,,3.4,3.2,No precipitation,6,,,,
07.03.2020 14:00,13.9,762.3,762.7,-1.4,37,Wind blowing from the east-northeast,2,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.6,,,2500 or more  or no clouds.,,,8.0,-0.5,No precipitation,12,,,,
07.03.2020 11:00,10.5,763.7,764.1,,60,Wind blowing from the east,3,,6,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.6,,,,,,4.3,3.1,No precipitation,6,,,,
07.03.2020 08:00,3.5,762.9,763.3,1.5,96,Wind blowing from the north-west,1,,7,20–30%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.6,,,2500 or more  or no clouds.,,,1.0,2.9,0.3,12,,,,
07.03.2020 05:00,3.6,761.4,761.8,,95,Wind blowing from the north,1,,7,,Mist. ,,,2.1,14.6,,,,,,1.1,2.9,No precipitation,6,,,,
07.03.2020 02:00,5.8,760.9,761.2,,87,Wind blowing from the north-northwest,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.6,,,2500 or more  or no clouds.,,,1.8,3.8,0.3,12,,,,
06.03.2020 20:00,10.9,759.5,759.9,1.2,52,Wind blowing from the north,1,,8,60%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.6,,,2500 or more  or no clouds.,,,5.0,1.4,No precipitation,12,,,,
06.03.2020 17:00,13.8,758.3,758.7,,39,Calm  no wind,0,,,50%., ,,,2.1,14.6,,,2500 or more  or no clouds.,,,8.0,0.1,No precipitation,6,,,,
06.03.2020 14:00,13.0,758.8,759.1,-2.1,40,Wind blowing from the south,4,,8,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,13.3,,,2500 or more  or no clouds.,,,7.0,-0.3,No precipitation,12,,,,
06.03.2020 11:00,9.9,760.9,761.3,,48,Wind blowing from the south-southwest,5,,8,70 – 80%., ,,,2.1,11.2,,,2500 or more  or no clouds.,,,9.0,-0.6,No precipitation,6,,,,
06.03.2020 08:00,4.5,761.9,762.3,,68,Wind blowing from the south,3,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,7.0,-0.9,No precipitation,12,,,,
06.03.2020 05:00,2.8,761.5,761.9,,73,Wind blowing from the south-southeast,3,,7,,Mist. ,,,-3.6,11.2,,,,,,6.0,-1.7,No precipitation,6,,,,
06.03.2020 02:00,4.5,762.6,763.0,,66,Wind blowing from the south,3,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,11.2,,,2500 or more  or no clouds.,,,7.0,-1.3,No precipitation,12,,,,
05.03.2020 20:00,5.1,763.9,764.2,0.0,53,Wind blowing from the south-east,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,11.2,,,,,,18.0,-3.7,No precipitation,12,,,,
05.03.2020 17:00,10.8,763.9,764.3,,28,Wind blowing from the south-southwest,4,,9,20–30%., ,,,-3.6,11.2,,,Less than  50,,,18.0,-7.0,No precipitation,6,,,,
05.03.2020 14:00,10.2,766.2,766.6,-3.4,19,Wind blowing from the south-west,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,10.6,,,,,,30.0,-12.4,No precipitation,12,,,,
05.03.2020 11:00,7.4,769.6,769.9,,22,Wind blowing from the south-southwest,5,,8,no clouds, ,,,-3.6,7.4,,,,,,29.0,-12.9,No precipitation,6,,,,
05.03.2020 08:00,-0.5,770.8,771.3,-0.2,53,Wind blowing from the south,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.6,6.0,,,,,,21.0,-9.1,No precipitation,12,,,,
05.03.2020 05:00,-2.9,771.0,771.4,,60,Wind blowing from the south,3,,6,, ,,,-3.2,6.0,,,,,,21.0,-9.6,No precipitation,6,,,,
05.03.2020 02:00,-2.6,772.1,772.6,,58,Wind blowing from the south-southeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.8,6.0,,,2500 or more  or no clouds.,,,17.0,-9.9,No precipitation,12,,,,
04.03.2020 20:00,1.1,773.0,773.5,0.6,37,Wind blowing from the south,3,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,6.0,,,,,,30.0,-12.0,No precipitation,12,,,,
04.03.2020 17:00,5.5,772.4,772.8,,18,Calm  no wind,0,,,no clouds, ,,,-1.3,7.9,,,,,,30.0,-17.0,No precipitation,6,,,,
04.03.2020 14:00,5.2,773.3,773.7,-1.9,18,Wind blowing from the north,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,8.9,,,,,,30.0,-17.2,No precipitation,12,,,,
04.03.2020 11:00,3.4,775.2,775.6,,22,Wind blowing from the north,7,,11,no clouds, ,,,-1.3,8.9,,,,,,30.0,-16.3,No precipitation,6,,,,
04.03.2020 08:00,-0.1,774.7,775.2,1.2,30,Wind blowing from the north,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.3,8.9,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
04.03.2020 05:00,-0.7,773.5,773.8,,30,Wind blowing from the north,6,,12,, ,,,-0.8,8.9,,,,,,30.0,-16.1,No precipitation,6,,,,
04.03.2020 02:00,0.4,772.4,772.8,,29,Wind blowing from the north,5,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,8.9,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
03.03.2020 20:00,4.7,770.4,770.8,1.8,22,Wind blowing from the north,7,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,8.9,,,,,,30.0,-15.2,No precipitation,12,,,,
03.03.2020 17:00,7.9,768.6,769.0,,15,Wind blowing from the north,7,,14,no clouds, ,,,-0.4,8.9,,,,,,30.0,-17.2,No precipitation,6,,,,
03.03.2020 14:00,8.5,768.0,768.4,-0.7,21,Wind blowing from the north-northwest,7,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,10.8,,,,,,30.0,-12.6,0.1,12,,,,
03.03.2020 11:00,6.0,768.7,769.1,,31,Wind blowing from the north-northwest,9,,14,no clouds, ,,,-0.4,10.8,,,,,,30.0,-9.8,No precipitation,6,,,,
03.03.2020 08:00,-0.3,768.2,768.6,2.0,95,Wind blowing from the west,2,,11,40%.,Mist. ,Rain.,Fog or ice fog or thick haze.,-0.4,10.8,,,2500 or more  or no clouds.,,,2.1,-1.0,1.0,12,,,,
03.03.2020 05:00,0.7,766.2,766.6,,96,Wind blowing from the north-northwest,3,,11,,Mist. ,,,-2.6,10.8,,,,,,1.1,0.1,1.0,6,,,,
03.03.2020 02:00,3.3,766.0,766.4,,92,Wind blowing from the west,1,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,10.8,,,2500 or more  or no clouds.,,,2.4,2.1,1.0,12,,,,
02.03.2020 20:00,7.3,765.4,765.7,0.0,51,Wind blowing from the south-southeast,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,10.8,,,2500 or more  or no clouds.,,,14.0,-2.2,No precipitation,12,,,,
02.03.2020 17:00,8.5,765.4,765.8,,41,Wind blowing from the south-east,6,,11,70 – 80%., ,,,-2.6,10.8,,,2500 or more  or no clouds.,,,18.0,-4.0,No precipitation,6,,,,
02.03.2020 14:00,10.5,767.0,767.4,-3.5,27,Wind blowing from the south-east,8,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,11.5,,,1500-2000,,,23.0,-7.7,No precipitation,12,,,,
02.03.2020 11:00,8.6,770.5,770.8,,32,Wind blowing from the south-southeast,6,,10,, ,,,-2.6,11.5,,,,,,20.0,-7.2,No precipitation,6,,,,
02.03.2020 08:00,0.9,771.2,771.6,,69,Wind blowing from the east-southeast,1,,3,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.6,11.5,,,2500 or more  or no clouds.,,,27.0,-4.3,No precipitation,12,,,,
02.03.2020 05:00,-1.9,771.1,771.4,,65,Calm  no wind,0,,,, ,,,-2.0,11.5,,,,,,30.0,-7.6,No precipitation,6,,,,
