Local time in Zaoyang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
14.03.2020 17:00,18.2,754.6,766.1,,32,Wind blowing from the east-northeast,1,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,16.0,1.2,,,,,,
14.03.2020 14:00,17.7,756.4,768.0,-2.7,40,Wind blowing from the west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,17.7,,,,,,12.0,3.9,No precipitation,12,,,,
14.03.2020 11:00,13.3,759.1,770.8,,62,Wind blowing from the west-northwest,2,,,no clouds, ,,,,,,,,,,7.0,6.2,,,,,,
14.03.2020 08:00,6.5,759.1,770.9,,85,Wind blowing from the east-northeast,1,,2,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,11.4,,,,,,4.4,4.2,No precipitation,12,,,,
14.03.2020 05:00,6.0,758.5,770.3,,88,Wind blowing from the east,1,,3,,Mist. ,,,6.0,11.9,,,,,,4.3,4.2,No precipitation,6,,,,
14.03.2020 02:00,6.7,759.3,771.1,,84,Wind blowing from the east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,12.9,,,2500 or more  or no clouds.,,,5.0,4.2,No precipitation,12,,,,
13.03.2020 20:00,9.2,759.6,771.3,0.5,69,Wind blowing from the east-northeast,1,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,,,,2500 or more  or no clouds.,,,7.0,3.8,No precipitation,12,,,,
13.03.2020 17:00,10.5,759.1,770.8,,62,Wind blowing from the north-west,1,,,100%., ,,,,,,,2500 or more  or no clouds.,,,9.0,3.5,,,,,,
13.03.2020 14:00,10.8,759.9,771.5,,53,Wind blowing from the north,2,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,,,,2500 or more  or no clouds.,,,12.0,1.6,No precipitation,12,,,,
13.03.2020 11:00,10.5,759.8,771.4,,55,Wind blowing from the north-northeast,3,,10,100%., ,,,10.5,,,,2500 or more  or no clouds.,,,10.0,1.8,No precipitation,6,,,,
13.03.2020 08:00,11.0,757.3,768.8,2.2,63,Wind blowing from the north-northeast,2,,9,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,20.9,,,2500 or more  or no clouds.,,,5.0,4.2,No precipitation,12,,,,
13.03.2020 05:00,11.9,755.1,766.5,,74,Wind blowing from the north,1,,5,,Haze. ,,,11.5,20.9,,,,,,5.0,7.4,No precipitation,6,,,,
13.03.2020 02:00,12.9,754.4,765.8,,82,Wind blowing from the east-northeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,20.9,,,2500 or more  or no clouds.,,,5.0,9.9,No precipitation,12,,,,
12.03.2020 20:00,16.8,750.9,762.3,,61,Wind blowing from the east-southeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,20.9,,,,,,11.0,9.2,No precipitation,12,,,,
12.03.2020 17:00,20.5,748.5,759.8,,44,Wind blowing from the west,1,,,no clouds, ,,,,,,,,,,15.0,7.8,,,,,,
12.03.2020 14:00,19.2,748.9,760.2,-1.8,55,Wind blowing from the south-west,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,20.9,,,600-1000,,,11.0,10.0,No precipitation,12,,,,
12.03.2020 11:00,14.9,750.7,762.1,,67,Wind blowing from the south,3,,6,100%., ,,,11.5,,,,2500 or more  or no clouds.,,,7.0,8.8,No precipitation,6,,,,
12.03.2020 08:00,12.0,750.7,762.1,1.0,68,Wind blowing from the east-southeast,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,20.9,,,2500 or more  or no clouds.,,,9.0,6.3,No precipitation,12,,,,
12.03.2020 05:00,12.4,749.7,761.0,,59,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,14.0,4.6,,,,,,
12.03.2020 02:00,13.1,750.7,762.1,,59,Wind blowing from the south-southeast,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,20.9,,,2500 or more  or no clouds.,,,14.0,5.3,No precipitation,12,,,,
11.03.2020 20:00,15.6,750.6,762.1,0.8,41,Wind blowing from the south,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,20.9,,,2500 or more  or no clouds.,,,15.0,2.4,No precipitation,12,,,,
11.03.2020 17:00,19.3,749.8,761.2,,38,Wind blowing from the south,3,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,18.0,4.6,,,,,,
11.03.2020 14:00,20.0,751.0,762.4,-2.8,33,Wind blowing from the south,2,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,20.0,,,2500 or more  or no clouds.,,,15.0,3.3,No precipitation,12,,,,
11.03.2020 11:00,15.7,753.8,765.4,,49,Wind blowing from the south-southeast,2,,,90  or more  but not 100%, ,,,,,,,,,,11.0,5.0,,,,,,
11.03.2020 08:00,9.9,753.9,765.4,,70,Wind blowing from the south-east,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,16.7,,,2500 or more  or no clouds.,,,9.0,4.7,No precipitation,12,,,,
11.03.2020 05:00,9.8,753.0,764.5,,67,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,13.0,3.8,,,,,,
11.03.2020 02:00,10.6,754.0,765.5,,56,Wind blowing from the south-east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,16.7,,,2500 or more  or no clouds.,,,14.0,2.2,No precipitation,12,,,,
10.03.2020 20:00,12.6,753.7,765.4,,51,Wind blowing from the east,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,16.7,,,,,,12.0,2.7,No precipitation,12,,,,
10.03.2020 17:00,16.6,753.6,765.2,,31,Wind blowing from the north-west,1,,,40%., ,,,,,,,2500 or more  or no clouds.,,,14.0,-0.6,,,,,,
10.03.2020 14:00,15.8,755.2,766.8,,32,Wind blowing from the north-west,2,,4,no clouds,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,15.9,,,,,,13.0,-0.8,0.1,12,,,,
10.03.2020 11:00,10.8,757.6,769.3,,85,Wind blowing from the west,2,,4,no clouds,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,12.9,,,,,,4.3,8.4,No precipitation,6,,,,
10.03.2020 08:00,5.2,756.6,768.4,,98,Wind blowing from the north,0,,4,100%.,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.3,12.9,,,2500 or more  or no clouds.,,,0.1,4.9,No precipitation,12,,,,
10.03.2020 05:00,4.0,755.0,766.8,,98,Wind blowing from the east-northeast,1,,,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,4.0,12.9,,,,,,0.1,3.7,0.1,6,,,,
10.03.2020 02:00,5.9,755.7,767.4,,97,Wind blowing from the north-east,0,,11,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,12.9,,,2500 or more  or no clouds.,,,0.9,5.5,3.0,12,,,,
09.03.2020 20:00,9.5,754.7,766.3,1.5,89,Wind blowing from the north,0,,11,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,13.7,,,2500 or more  or no clouds.,,,3.5,7.8,7.0,12,,,,
09.03.2020 17:00,10.3,753.2,764.8,,86,Wind blowing from the north,2,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,10.0,,,,2500 or more  or no clouds.,,,3.6,8.1,7.0,6,,,,
09.03.2020 14:00,11.1,751.6,763.2,0.0,84,Wind blowing from the north-northwest,4,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,,,,2500 or more  or no clouds.,,,3.3,8.5,4.0,12,,,,
09.03.2020 11:00,12.3,751.6,763.0,,88,Wind blowing from the north-northwest,2,,7,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,2500 or more  or no clouds.,,,1.9,10.4,No precipitation,6,,,,
09.03.2020 08:00,11.4,750.0,761.5,2.2,92,Wind blowing from the north-northwest,2,,7,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,2500 or more  or no clouds.,,,1.5,10.1,13.0,12,,,,
09.03.2020 05:00,11.8,747.8,759.2,,95,Wind blowing from the north-west,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.8,17.9,,,,,,1.0,11.0,4.0,6,,,,
09.03.2020 02:00,12.3,748.3,759.7,,96,Wind blowing from the north-northwest,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,17.9,,,2500 or more  or no clouds.,,,1.0,11.7,19.0,12,,,,
08.03.2020 20:00,13.8,746.1,757.5,2.1,93,Wind blowing from the north,2,,5,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,17.9,,,2500 or more  or no clouds.,,,1.9,12.7,6.0,12,,,,
08.03.2020 17:00,16.3,744.0,755.2,,76,Wind blowing from the west-northwest,1,,5,100%.,Haze. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,18.6,,,2500 or more  or no clouds.,,,4.1,12.1,No precipitation,6,,,,
08.03.2020 14:00,17.4,744.7,755.9,-2.4,64,Wind blowing from the south-east,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,18.6,,,2500 or more  or no clouds.,,,8.0,10.5,No precipitation,12,,,,
08.03.2020 11:00,17.1,747.1,758.5,,65,Wind blowing from the east,2,,,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,18.6,,,2500 or more  or no clouds.,,,5.0,10.5,No precipitation,6,,,,
08.03.2020 08:00,13.2,747.3,758.7,,78,Wind blowing from the east,2,,,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,3.0,9.5,No precipitation,12,,,,
08.03.2020 05:00,13.4,747.0,758.3,,76,Wind blowing from the east-southeast,2,,5,,Haze. ,,,7.1,18.6,,,,,,3.1,9.3,No precipitation,6,,,,
08.03.2020 02:00,13.2,748.1,759.4,,73,Wind blowing from the south-east,2,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,18.6,,,2500 or more  or no clouds.,,,3.2,8.5,No precipitation,12,,,,
07.03.2020 20:00,14.5,748.9,760.3,,78,Wind blowing from the east,1,,4,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,18.6,,,,,,4.4,10.7,No precipitation,12,,,,
07.03.2020 17:00,18.5,748.3,759.7,,63,Wind blowing from the west-northwest,1,,4,60%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,18.6,,,2500 or more  or no clouds.,,,6.0,11.3,No precipitation,6,,,,
07.03.2020 14:00,16.5,749.9,761.4,-2.1,71,Wind blowing from the north-west,2,,4,10%  or less  but not 0,Haze. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,16.8,,,2500 or more  or no clouds.,,,6.0,11.2,No precipitation,12,,,,
07.03.2020 11:00,10.3,752.0,763.6,,93,Wind blowing from the east,1,,4,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,,,,2500 or more  or no clouds.,,,3.4,9.2,No precipitation,6,,,,
07.03.2020 08:00,7.8,751.9,763.5,1.7,98,Wind blowing from the south-east,1,,4,100%.,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,16.5,,,2500 or more  or no clouds.,,,0.1,7.5,No precipitation,12,,,,
07.03.2020 05:00,7.9,750.2,761.7,,96,Wind blowing from the east,1,,4,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,7.9,16.5,,,,,,0.3,7.3,No precipitation,6,,,,
07.03.2020 02:00,10.0,750.4,761.8,,90,Wind blowing from the east-southeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,16.5,,,2500 or more  or no clouds.,,,3.8,8.4,No precipitation,12,,,,
06.03.2020 20:00,13.4,749.8,761.2,1.6,71,Wind blowing from the south-southeast,2,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,16.5,,,2500 or more  or no clouds.,,,6.0,8.3,No precipitation,12,,,,
06.03.2020 17:00,16.4,748.2,759.6,,57,Wind blowing from the south,1,,,90  or more  but not 100%, ,,,,,,,,,,8.0,7.9,,,,,,
06.03.2020 14:00,15.0,748.9,760.3,-2.1,62,Wind blowing from the south-southwest,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,17.2,,,2500 or more  or no clouds.,,,7.0,7.8,No precipitation,12,,,,
06.03.2020 11:00,13.1,751.0,762.4,,72,Wind blowing from the south-southwest,3,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,17.2,,,,,,6.0,8.2,No precipitation,6,,,,
06.03.2020 08:00,10.5,750.6,762.1,,73,Wind blowing from the east-southeast,2,,5,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.2,,,2500 or more  or no clouds.,,,4.5,5.9,No precipitation,12,,,,
06.03.2020 05:00,10.8,750.1,761.5,,76,Wind blowing from the east-southeast,1,,5,,Haze. ,,,4.1,17.2,,,,,,5.0,6.7,No precipitation,6,,,,
06.03.2020 02:00,11.2,751.7,763.2,,67,Wind blowing from the east-southeast,1,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,17.2,,,2500 or more  or no clouds.,,,6.0,5.3,No precipitation,12,,,,
05.03.2020 20:00,13.7,752.8,764.4,,55,Wind blowing from the south-east,2,,6,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,17.2,,,2500 or more  or no clouds.,,,6.0,4.8,No precipitation,12,,,,
05.03.2020 17:00,16.4,752.3,763.9,,40,Wind blowing from the south-east,2,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,9.0,2.8,,,,,,
05.03.2020 14:00,16.5,754.5,766.0,-3.5,43,Wind blowing from the south-southwest,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,16.8,,,600-1000,,,10.0,3.9,No precipitation,12,,,,
05.03.2020 11:00,12.9,758.0,769.6,,54,Wind blowing from the south-southeast,2,,6,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,16.8,,,,,,6.0,3.8,No precipitation,6,,,,
05.03.2020 08:00,5.8,757.9,769.7,,76,Wind blowing from the east,1,,6,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.1,16.8,,,2500 or more  or no clouds.,,,4.5,1.9,No precipitation,12,,,,
05.03.2020 05:00,5.0,757.9,769.6,,75,Calm  no wind,0,,,,Haze. ,,,3.2,16.8,,,,,,6.0,0.8,No precipitation,6,,,,
05.03.2020 02:00,7.9,758.5,770.2,,57,Wind blowing from the east-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,16.8,,,2500 or more  or no clouds.,,,9.0,-0.1,No precipitation,12,,,,
04.03.2020 20:00,12.0,758.1,769.9,1.0,53,Wind blowing from the east,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,16.8,,,,,,6.0,2.5,No precipitation,12,,,,
04.03.2020 17:00,15.8,757.1,768.8,,39,Calm  no wind,0,,,, ,,,,,,,,,,12.0,1.9,,,,,,
04.03.2020 14:00,15.5,758.1,769.8,,33,Wind blowing from the west,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,15.7,,,,,,13.0,-0.7,No precipitation,12,,,,
04.03.2020 11:00,12.8,760.0,771.7,,46,Wind blowing from the east-southeast,1,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,12.9,,,,,,7.0,1.5,No precipitation,6,,,,
04.03.2020 08:00,4.2,759.7,771.6,1.2,92,Wind blowing from the east-northeast,1,,2,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,12.5,,,2500 or more  or no clouds.,,,3.4,3.0,No precipitation,12,,,,
04.03.2020 05:00,3.9,758.5,770.2,,93,Wind blowing from the east,1,,3,,Mist. ,,,3.8,12.5,,,,,,3.9,2.9,No precipitation,6,,,,
04.03.2020 02:00,5.8,758.6,770.4,,90,Wind blowing from the east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,12.5,,,2500 or more  or no clouds.,,,3.8,4.3,No precipitation,12,,,,
03.03.2020 20:00,10.0,758.0,769.9,,74,Wind blowing from the south-southwest,1,,4,100%.,Haze. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,12.5,,,2500 or more  or no clouds.,,,4.8,5.6,Trace of precipitation,12,,,,
03.03.2020 17:00,11.6,756.6,768.4,,66,Wind blowing from the west-northwest,1,,4,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,12.5,,,2500 or more  or no clouds.,,,7.0,5.3,No precipitation,6,,,,
03.03.2020 14:00,11.0,756.9,768.7,-2.1,63,Wind blowing from the north-west,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,11.1,,,2500 or more  or no clouds.,,,7.0,4.2,No precipitation,12,,,,
03.03.2020 11:00,8.5,759.0,770.8,,68,Wind blowing from the west,1,,2,100%., ,,,3.9,10.6,,,2500 or more  or no clouds.,,,9.0,2.9,No precipitation,6,,,,
03.03.2020 08:00,4.3,758.1,769.9,,86,Wind blowing from the east-northeast,0,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,10.6,,,2500 or more  or no clouds.,,,6.0,2.2,No precipitation,12,,,,
03.03.2020 05:00,4.3,756.9,768.7,,89,Wind blowing from the east,1,,,, ,,,,,,,,,,7.0,2.6,,,,,,
03.03.2020 02:00,5.9,757.6,769.3,,83,Wind blowing from the east-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,10.6,,,2500 or more  or no clouds.,,,9.0,3.2,No precipitation,12,,,,
02.03.2020 20:00,7.5,757.9,769.6,0.7,68,Wind blowing from the north-east,0,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,11.3,,,2500 or more  or no clouds.,,,10.0,2.0,No precipitation,12,,,,
02.03.2020 17:00,9.6,757.2,769.0,,57,Wind blowing from the north-northeast,2,,,100%., ,,,,,,,2500 or more  or no clouds.,,,11.0,1.3,,,,,,
02.03.2020 14:00,10.0,757.6,769.3,,54,Wind blowing from the east,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,,,,2500 or more  or no clouds.,,,11.0,0.9,No precipitation,12,,,,
02.03.2020 11:00,8.6,759.4,771.2,,72,Wind blowing from the north-east,3,,6,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,,,,2500 or more  or no clouds.,,,5.0,3.8,No precipitation,6,,,,
02.03.2020 08:00,7.4,758.3,770.0,0.7,77,Wind blowing from the north-east,2,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,15.9,,,2500 or more  or no clouds.,,,5.0,3.5,No precipitation,12,,,,
02.03.2020 05:00,7.3,757.6,769.3,,82,Wind blowing from the east,1,,6,,Mist. ,,,7.0,15.9,,,,,,5.0,4.4,No precipitation,6,,,,
02.03.2020 02:00,9.2,758.7,770.3,,73,Wind blowing from the east-northeast,1,,8,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,15.9,,,2500 or more  or no clouds.,,,6.0,4.6,No precipitation,12,,,,
01.03.2020 20:00,11.3,757.3,769.0,1.5,68,Wind blowing from the east-southeast,2,,8,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,15.9,,,2500 or more  or no clouds.,,,5.0,5.6,No precipitation,12,,,,
01.03.2020 17:00,15.1,755.8,767.5,,45,Wind blowing from the north-northeast,3,,,no clouds, ,,,,,,,,,,7.0,3.3,,,,,,
01.03.2020 14:00,15.4,756.4,768.1,-1.2,47,Wind blowing from the north-east,4,,8,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,15.5,,,,,,5.0,4.2,No precipitation,12,,,,
01.03.2020 11:00,11.5,757.6,769.3,,71,Wind blowing from the north-northeast,2,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,11.5,,,,,,5.0,6.4,No precipitation,6,,,,
01.03.2020 08:00,7.7,756.6,768.4,,91,Wind blowing from the north-northwest,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,4.6,6.3,No precipitation,12,,,,
01.03.2020 05:00,7.0,754.8,766.5,,92,Wind blowing from the north,2,,4,,Mist. ,,,5.1,10.5,,,,,,4.6,5.8,No precipitation,6,,,,
01.03.2020 02:00,7.5,754.3,766.0,,91,Wind blowing from the north-northwest,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,10.5,,,2500 or more  or no clouds.,,,6.0,6.1,No precipitation,12,,,,
29.02.2020 20:00,6.9,752.2,764.0,1.5,92,Wind blowing from the north-west,1,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,10.5,,,,,,5.0,5.7,No precipitation,12,,,,
29.02.2020 17:00,10.0,750.7,762.3,,78,Wind blowing from the north-northwest,1,,4,20–30%., ,,,5.1,10.5,,Sky obscured by fog and/or other meteorological phenomena.,600-1000,,,10.0,6.3,No precipitation,6,,,,
29.02.2020 14:00,8.0,751.7,763.4,,83,Wind blowing from the east-southeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,9.6,,,2500 or more  or no clouds.,,,10.0,5.3,No precipitation,12,,,,
29.02.2020 11:00,6.5,753.1,764.9,,90,Wind blowing from the west-southwest,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,,,,2500 or more  or no clouds.,,,6.0,5.0,No precipitation,6,,,,
29.02.2020 08:00,5.2,752.7,764.5,0.9,96,Wind blowing from the south-west,2,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,9.8,,,2500 or more  or no clouds.,,,0.9,4.6,0.3,12,,,,
29.02.2020 05:00,6.3,751.8,763.5,,94,Wind blowing from the south-east,2,,4,,Mist. ,,,2.7,9.8,,,,,,4.8,5.4,0.2,6,,,,
29.02.2020 02:00,6.3,752.5,764.2,,93,Wind blowing from the east,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.7,9.8,,,2500 or more  or no clouds.,,,5.0,5.3,0.4,12,,,,
