Local time in Simao,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 23:00,19.5,652.9,758.0,,50,Wind blowing from the north-west,1,,9,, ,,,15.4,30.3,,,,,,11.0,8.8,No precipitation,6,,,,
17.03.2020 20:00,25.2,651.6,757.1,0.5,37,Wind blowing from the west,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,30.3,,,600-1000,,,8.0,9.5,No precipitation,12,,,,
17.03.2020 17:00,29.7,651.1,755.3,,23,Wind blowing from the west-southwest,3,,9,50%., ,,,15.4,30.5,,,600-1000,,,17.0,6.4,No precipitation,6,,,,
17.03.2020 14:00,29.5,652.8,757.3,-2.2,24,Wind blowing from the south-west,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,30.6,,,600-1000,,,17.0,6.8,No precipitation,12,,,,
17.03.2020 11:00,24.7,655.0,760.3,,45,Wind blowing from the south,1,,2,no clouds, ,,,15.4,30.6,,,,,,7.0,12.0,No precipitation,6,,,,
17.03.2020 08:00,15.6,654.1,759.9,,79,Wind blowing from the west,0,,2,10%  or less  but not 0,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.4,30.6,,,2500 or more  or no clouds.,,,4.0,12.0,No precipitation,12,,,,
17.03.2020 05:00,17.2,652.8,757.2,,65,Wind blowing from the west,0,,6,, ,,,15.6,30.6,,,,,,8.0,10.6,No precipitation,6,,,,
17.03.2020 02:00,17.9,653.0,757.6,,56,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,30.6,,,2500 or more  or no clouds.,,,10.0,9.0,No precipitation,12,,,,
16.03.2020 23:00,19.5,653.4,758.8,,47,Wind blowing from the north-west,1,,7,, ,,,15.6,30.6,,,,,,7.0,7.9,No precipitation,6,,,,
16.03.2020 20:00,25.8,652.0,757.5,,27,Wind blowing from the west-southwest,0,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,30.6,,,,,,11.0,5.4,No precipitation,12,,,,
16.03.2020 17:00,30.6,651.0,755.2,,26,Wind blowing from the west-southwest,3,,7,90  or more  but not 100%, ,,,15.6,30.9,,,,,,13.0,8.9,No precipitation,6,,,,
16.03.2020 14:00,28.7,652.6,757.3,,35,Wind blowing from the south-southwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,32.1,,,2500 or more  or no clouds.,,,7.0,11.7,No precipitation,12,,,,
16.03.2020 11:00,23.7,654.4,759.9,,51,Wind blowing from the west-southwest,1,,2,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,32.1,,,,,,4.2,13.0,No precipitation,6,,,,
16.03.2020 08:00,15.7,653.2,758.5,,71,Wind blowing from the west-northwest,0,,4,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,32.1,,,2500 or more  or no clouds.,,,4.8,10.5,No precipitation,12,,,,
16.03.2020 05:00,16.7,652.0,756.4,,57,Wind blowing from the west-southwest,1,,7,, ,,,13.5,32.1,,,,,,12.0,8.1,No precipitation,6,,,,
16.03.2020 02:00,17.0,652.8,757.2,,51,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,32.1,,,2500 or more  or no clouds.,,,14.0,6.8,No precipitation,12,,,,
15.03.2020 23:00,19.7,653.2,758.3,,41,Wind blowing from the north-northwest,1,,9,, ,,,13.5,32.1,,,,,,9.0,6.1,No precipitation,6,,,,
15.03.2020 20:00,27.0,651.6,757.2,,21,Wind blowing from the west,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,32.1,,,,,,19.0,2.8,No precipitation,12,,,,
15.03.2020 17:00,30.8,650.5,755.0,,21,Wind blowing from the west-southwest,3,,9,40%., ,,,13.5,32.1,,,600-1000,,,20.0,6.0,No precipitation,6,,,,
15.03.2020 14:00,30.5,652.6,757.3,-2.4,22,Wind blowing from the west-northwest,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,31.6,,,,,,20.0,6.4,No precipitation,12,,,,
15.03.2020 11:00,24.5,655.0,760.6,,35,Wind blowing from the south-southwest,1,,2,no clouds, ,,,13.5,31.6,,,,,,11.0,8.1,No precipitation,6,,,,
15.03.2020 08:00,13.5,654.1,760.3,0.9,72,Wind blowing from the north,0,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,31.6,,,,,,5.0,8.6,No precipitation,12,,,,
15.03.2020 05:00,14.6,653.2,757.9,,61,Wind blowing from the west,0,,6,, ,,,13.0,31.6,,,,,,18.0,7.2,No precipitation,6,,,,
15.03.2020 02:00,16.0,654.1,759.1,,57,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,31.6,,,2500 or more  or no clouds.,,,17.0,7.5,No precipitation,12,,,,
14.03.2020 23:00,19.2,654.0,759.3,,46,Wind blowing from the west-northwest,1,,7,, ,,,13.0,31.6,,,,,,17.0,7.3,No precipitation,6,,,,
14.03.2020 20:00,25.8,651.8,757.7,0.6,26,Wind blowing from the west,1,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,31.6,,,2500 or more  or no clouds.,,,11.0,4.9,No precipitation,12,,,,
14.03.2020 17:00,31.6,651.2,755.8,,18,Wind blowing from the west,2,,7,50%., ,,,13.0,31.6,,,2500 or more  or no clouds.,,,21.0,4.4,No precipitation,6,,,,
14.03.2020 14:00,29.3,653.5,758.5,-1.8,21,Wind blowing from the west,2,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,30.8,,,2500 or more  or no clouds.,,,17.0,4.7,No precipitation,12,,,,
14.03.2020 11:00,24.7,655.3,760.6,,37,Wind blowing from the south,1,,2,no clouds, ,,,13.0,30.8,,,,,,18.0,9.0,No precipitation,6,,,,
14.03.2020 08:00,13.0,654.4,760.6,1.1,76,Wind blowing from the west-northwest,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,30.8,,,2500 or more  or no clouds.,,,11.0,8.9,No precipitation,12,,,,
14.03.2020 05:00,14.1,653.3,758.4,,70,Wind blowing from the west,0,,5,, ,,,12.6,30.8,,,,,,16.0,8.7,No precipitation,6,,,,
14.03.2020 02:00,16.3,654.2,759.4,,62,Wind blowing from the west,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,30.8,,,2500 or more  or no clouds.,,,17.0,9.0,No precipitation,12,,,,
13.03.2020 23:00,20.0,654.7,759.9,,47,Wind blowing from the north-west,0,,8,, ,,,12.6,30.8,,,,,,16.0,8.4,No precipitation,6,,,,
13.03.2020 20:00,26.5,652.8,758.8,0.6,25,Wind blowing from the west-southwest,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,30.8,,,,,,20.0,4.9,No precipitation,12,,,,
13.03.2020 17:00,30.4,652.2,757.1,,22,Wind blowing from the west,3,,8,no clouds, ,,,12.6,30.7,,,,,,24.0,6.3,No precipitation,6,,,,
13.03.2020 14:00,28.5,654.1,759.2,-1.5,25,Wind blowing from the north-west,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,29.9,,,,,,27.0,6.6,No precipitation,12,,,,
13.03.2020 11:00,24.9,655.6,761.1,,30,Wind blowing from the west,2,,5,no clouds, ,,,12.6,29.9,,,,,,22.0,6.2,No precipitation,6,,,,
13.03.2020 08:00,12.9,654.5,760.9,,73,Wind blowing from the west,0,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,29.9,,,,,,10.0,8.2,No precipitation,12,,,,
13.03.2020 05:00,14.0,653.5,758.7,,67,Wind blowing from the west-northwest,0,,8,, ,,,12.2,29.9,,,,,,13.0,8.0,No precipitation,6,,,,
13.03.2020 02:00,16.1,653.8,758.8,-0.1,59,Wind blowing from the west-northwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,29.9,,,2500 or more  or no clouds.,,,12.0,8.1,No precipitation,12,,,,
12.03.2020 23:00,19.8,653.9,759.1,,44,Wind blowing from the north-northwest,1,,9,, ,,,12.2,29.9,,,,,,13.0,7.2,No precipitation,6,,,,
12.03.2020 20:00,25.6,652.0,758.2,,26,Wind blowing from the west-southwest,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,29.9,,,,,,20.0,4.7,No precipitation,12,,,,
12.03.2020 17:00,29.7,650.9,755.9,,20,Wind blowing from the west-southwest,3,,9,10%  or less  but not 0, ,,,12.2,29.9,,,600-1000,,,19.0,4.4,No precipitation,6,,,,
12.03.2020 14:00,29.1,652.7,757.9,-1.7,22,Wind blowing from the west-northwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,29.4,,,,,,18.0,5.2,No precipitation,12,,,,
12.03.2020 11:00,24.8,654.4,760.0,,31,Wind blowing from the east-southeast,1,,2,no clouds, ,,,12.2,29.4,,,,,,11.0,6.5,No precipitation,6,,,,
12.03.2020 08:00,12.4,653.5,760.0,1.5,68,Wind blowing from the west-southwest,1,,2,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,29.4,,,,,,7.0,6.7,No precipitation,12,,,,
12.03.2020 05:00,13.2,652.0,757.3,,64,Wind blowing from the west,1,,9,, ,,,10.8,29.4,,,,,,15.0,6.5,No precipitation,6,,,,
12.03.2020 02:00,14.7,652.3,757.7,,56,Wind blowing from the west,0,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,29.4,,,2500 or more  or no clouds.,,,18.0,6.0,No precipitation,12,,,,
11.03.2020 23:00,18.2,652.2,757.9,,42,Wind blowing from the north-northwest,1,,9,, ,,,10.8,29.4,,,,,,15.0,5.1,No precipitation,6,,,,
11.03.2020 20:00,24.7,650.4,756.7,0.7,22,Wind blowing from the west,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,29.4,,,,,,21.0,1.6,No precipitation,12,,,,
11.03.2020 17:00,29.2,649.7,754.9,,19,Wind blowing from the west-southwest,3,,9,no clouds, ,,,10.8,29.2,,,,,,20.0,3.2,No precipitation,6,,,,
11.03.2020 14:00,27.5,651.7,757.2,-1.8,18,Wind blowing from the west-southwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,28.8,,,,,,21.0,1.1,No precipitation,12,,,,
11.03.2020 11:00,21.9,653.5,759.8,,31,Wind blowing from the south,1,,2,no clouds, ,,,10.8,28.8,,,,,,17.0,4.0,No precipitation,6,,,,
11.03.2020 08:00,11.0,652.5,759.2,1.2,62,Wind blowing from the north-west,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,28.8,,,,,,16.0,4.0,No precipitation,12,,,,
11.03.2020 05:00,11.7,651.3,756.8,,60,Wind blowing from the west,0,,8,, ,,,10.7,28.8,,,,,,24.0,4.2,No precipitation,6,,,,
11.03.2020 02:00,13.8,652.0,757.6,0.0,50,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,28.8,,,2500 or more  or no clouds.,,,24.0,3.6,No precipitation,12,,,,
10.03.2020 23:00,16.7,652.0,757.8,,41,Wind blowing from the north-west,1,,10,, ,,,10.7,28.8,,,,,,19.0,3.4,No precipitation,6,,,,
10.03.2020 20:00,24.3,649.9,756.2,,19,Wind blowing from the west-southwest,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,28.8,,,,,,24.0,-0.8,No precipitation,12,,,,
10.03.2020 17:00,28.6,649.5,754.7,,13,Wind blowing from the west-southwest,3,,10,no clouds, ,,,10.7,28.8,,,,,,30.0,-2.5,No precipitation,6,,,,
10.03.2020 14:00,27.1,651.4,756.9,-1.5,16,Wind blowing from the west-southwest,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,27.4,,,,,,23.0,-0.9,No precipitation,12,,,,
10.03.2020 11:00,23.1,652.9,758.8,,31,Wind blowing from the north-east,1,,2,no clouds, ,,,10.7,27.4,,,,,,23.0,5.1,No precipitation,6,,,,
10.03.2020 08:00,10.8,651.7,758.5,1.2,72,Wind blowing from the west,0,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,27.4,,,,,,18.0,6.0,No precipitation,12,,,,
10.03.2020 05:00,11.8,650.5,756.3,,66,Wind blowing from the west-southwest,0,,7,, ,,,11.1,27.4,,,,,,24.0,5.7,No precipitation,6,,,,
10.03.2020 02:00,13.7,651.3,757.0,,56,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,27.4,,,2500 or more  or no clouds.,,,24.0,5.1,No precipitation,12,,,,
09.03.2020 20:00,23.4,649.3,755.7,0.9,28,Wind blowing from the west-southwest,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,27.4,,,,,,22.0,3.9,No precipitation,12,,,,
09.03.2020 17:00,26.9,648.4,753.4,,24,Wind blowing from the west-southwest,3,,10,no clouds, ,,,11.1,27.4,,,,,,30.0,4.6,No precipitation,6,,,,
09.03.2020 14:00,25.9,650.5,755.3,-1.7,26,Wind blowing from the north-northwest,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,27.4,,,,,,30.0,4.9,No precipitation,12,,,,
09.03.2020 11:00,21.6,652.2,757.8,,32,Wind blowing from the east-northeast,1,,,no clouds, ,,,11.1,27.4,,,,,,29.0,4.2,No precipitation,6,,,,
09.03.2020 08:00,11.2,651.0,757.8,0.8,69,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,27.4,,,2500 or more  or no clouds.,,,14.0,5.7,No precipitation,12,,,,
09.03.2020 05:00,13.8,650.2,755.6,,52,Wind blowing from the west,0,,10,, ,,,11.8,27.4,,,,,,29.0,4.1,No precipitation,6,,,,
09.03.2020 02:00,17.5,650.8,755.8,0.0,41,Wind blowing from the west-northwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,27.4,,,2500 or more  or no clouds.,,,30.0,4.1,No precipitation,12,,,,
08.03.2020 23:00,19.3,650.8,756.0,,37,Wind blowing from the north,1,,13,, ,,,11.8,27.4,,,,,,30.0,4.3,No precipitation,6,,,,
08.03.2020 20:00,22.4,649.3,755.7,,31,Wind blowing from the west-northwest,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,27.4,,,,,,29.0,4.5,No precipitation,12,,,,
08.03.2020 17:00,26.7,648.6,754.0,,24,Wind blowing from the west,4,,,20–30%., ,,,11.8,27.4,,,600-1000,,,30.0,4.5,No precipitation,6,,,,
08.03.2020 14:00,25.3,650.3,755.9,-2.1,28,Wind blowing from the west-southwest,4,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,26.9,,,600-1000,,,29.0,5.5,No precipitation,12,,,,
08.03.2020 11:00,22.6,652.4,758.2,,40,Wind blowing from the west,2,,5,20–30%., ,,,11.8,26.9,,,600-1000,,,21.0,8.3,No precipitation,6,,,,
08.03.2020 08:00,12.2,651.4,758.2,,73,Wind blowing from the north-northwest,1,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,26.9,,,600-1000,,,16.0,7.5,No precipitation,12,,,,
08.03.2020 05:00,12.3,650.8,756.7,,72,Wind blowing from the west,0,,10,, ,,,11.2,26.9,,,,,,19.0,7.4,No precipitation,6,,,,
08.03.2020 02:00,14.1,652.0,757.8,-0.6,63,Wind blowing from the west-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,26.9,,,2500 or more  or no clouds.,,,21.0,7.2,No precipitation,12,,,,
07.03.2020 23:00,17.1,652.6,758.8,,50,Wind blowing from the north,0,,10,, ,,,11.2,26.9,,,,,,13.0,6.6,No precipitation,6,,,,
07.03.2020 20:00,22.0,651.3,758.2,,31,Wind blowing from the west-northwest,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,26.9,,,,,,23.0,4.1,No precipitation,12,,,,
07.03.2020 17:00,25.9,650.7,756.6,,27,Wind blowing from the west,3,,8,70 – 80%., ,,,11.2,26.9,,,600-1000,,,30.0,5.5,No precipitation,6,,,,
07.03.2020 14:00,25.7,652.4,758.3,-2.2,32,Wind blowing from the west-southwest,3,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,25.8,,,600-1000,,,23.0,7.8,No precipitation,12,,,,
07.03.2020 11:00,21.5,654.6,761.3,,41,Wind blowing from the west-northwest,2,,4,no clouds, ,,,11.2,25.7,,,,,,17.0,7.7,No precipitation,6,,,,
07.03.2020 08:00,11.5,653.6,761.1,0.9,83,Wind blowing from the north-northwest,1,,2,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,25.7,,,,,,9.0,8.7,No precipitation,12,,,,
07.03.2020 05:00,12.1,652.7,759.4,,78,Wind blowing from the west,0,,7,, ,,,12.0,25.7,,,,,,10.0,8.4,No precipitation,6,,,,
07.03.2020 02:00,13.7,653.5,759.6,-0.3,72,Wind blowing from the west,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,25.7,,,2500 or more  or no clouds.,,,13.0,8.7,No precipitation,12,,,,
06.03.2020 23:00,15.7,653.8,760.4,,61,Wind blowing from the north-west,1,,9,, ,,,12.8,25.7,,,,,,13.0,8.2,No precipitation,6,,,,
06.03.2020 20:00,20.9,652.3,759.3,0.8,40,Wind blowing from the west-northwest,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,25.7,,,600-1000,,,18.0,6.8,No precipitation,12,,,,
06.03.2020 17:00,23.5,651.5,757.6,,35,Wind blowing from the west-northwest,2,,9,90  or more  but not 100%, ,,,12.8,26.0,,,,,,20.0,7.2,No precipitation,6,,,,
06.03.2020 14:00,25.6,652.5,758.2,-2.2,30,Wind blowing from the west-northwest,2,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,26.0,,,600-1000,,,24.0,6.8,No precipitation,12,,,,
06.03.2020 11:00,21.1,654.7,761.2,,52,Wind blowing from the south,1,,2,no clouds, ,,,12.8,26.0,,,,,,15.0,10.9,No precipitation,6,,,,
06.03.2020 08:00,12.9,653.4,760.3,,93,Wind blowing from the north-northwest,1,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,26.0,,,2500 or more  or no clouds.,,,7.0,11.8,No precipitation,12,,,,
06.03.2020 05:00,14.4,652.2,757.9,,88,Wind blowing from the north-west,1,,6,, ,,,11.1,26.0,,,,,,12.0,12.4,No precipitation,6,,,,
06.03.2020 02:00,15.2,652.6,758.6,0.0,77,Wind blowing from the north-northwest,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,26.0,,,2500 or more  or no clouds.,,,14.0,11.2,No precipitation,12,,,,
05.03.2020 23:00,17.1,652.6,758.9,,63,Wind blowing from the north-northwest,1,,6,, ,,,11.1,26.0,,,,,,17.0,10.0,No precipitation,6,,,,
05.03.2020 20:00,22.3,650.9,757.6,0.8,44,Wind blowing from the south-southwest,1,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,26.0,,,600-1000,,,13.0,9.5,No precipitation,12,,,,
05.03.2020 17:00,25.9,650.1,756.0,,32,Wind blowing from the south-west,2,,6,40%., ,,,11.1,26.2,,,600-1000,,,26.0,8.0,No precipitation,6,,,,
05.03.2020 14:00,23.9,652.5,759.0,-2.1,45,Wind blowing from the south-west,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,26.6,,,600-1000,,,20.0,11.3,No precipitation,12,,,,
05.03.2020 11:00,20.6,654.6,761.5,,61,Wind blowing from the east,2,,4,70 – 80%., ,,,11.1,26.6,,,600-1000,,,18.0,12.8,No precipitation,6,,,,
05.03.2020 08:00,11.9,653.3,760.6,,72,Wind blowing from the west,0,,2,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,26.6,,,600-1000,,,22.0,7.0,No precipitation,12,,,,
05.03.2020 05:00,11.4,652.0,758.2,,73,Wind blowing from the west-northwest,1,,7,, ,,,11.0,26.6,,,,,,20.0,6.7,No precipitation,6,,,,
05.03.2020 02:00,12.7,652.8,759.2,,66,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,26.6,,,2500 or more  or no clouds.,,,23.0,6.5,No precipitation,12,,,,
04.03.2020 23:00,15.2,652.8,759.9,,57,Wind blowing from the north-northwest,1,,8,, ,,,11.0,26.6,,,,,,24.0,6.7,No precipitation,6,,,,
04.03.2020 20:00,21.4,651.4,758.5,0.6,30,Wind blowing from the west-northwest,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,26.6,,,,,,8.0,3.1,No precipitation,12,,,,
04.03.2020 17:00,26.1,650.8,756.7,,22,Wind blowing from the west,3,,8,40%., ,,,11.0,26.6,,,600-1000,,,30.0,2.7,No precipitation,6,,,,
04.03.2020 14:00,24.3,652.7,758.8,,31,Wind blowing from the west,3,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,26.9,,,600-1000,,,30.0,6.1,No precipitation,12,,,,
04.03.2020 11:00,18.4,654.5,762.1,,56,Wind blowing from the south-west,1,,5,no clouds, ,,,11.0,26.9,,,,,,23.0,9.5,No precipitation,6,,,,
04.03.2020 08:00,11.0,653.3,761.2,1.3,92,Wind blowing from the north-northwest,1,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,26.9,,,600-1000,,,19.0,9.8,1.0,12,,,,
04.03.2020 05:00,12.1,652.0,758.3,,90,Wind blowing from the north-northwest,1,,11,, ,,,12.1,26.9,,,,,,19.0,10.5,0.9,6,,,,
04.03.2020 02:00,14.1,652.9,759.0,0.3,83,Wind blowing from the north,1,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,26.9,,,2500 or more  or no clouds.,,,19.0,11.3,2.0,12,,,,
03.03.2020 23:00,14.4,652.6,759.3,,82,Wind blowing from the north-northwest,1,,11,, ,,,13.4,26.9,,,,,,22.0,11.4,0.7,6,,,,
03.03.2020 20:00,19.2,650.6,757.6,,66,Wind blowing from the north,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,26.9,,,2500 or more  or no clouds.,,,16.0,12.7,0.3,12,,,,
