Local time in Mei County,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 23:00,19.1,755.5,765.8,,51,Wind blowing from the north-northwest,1,,5,, ,,,13.4,24.7,,,,,,30.0,8.7,No precipitation,6,,,,
16.03.2020 20:00,21.1,754.7,765.1,1.6,37,Wind blowing from the south-southeast,2,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,24.7,,,1000-1500,,,30.0,5.8,No precipitation,12,,,,
16.03.2020 17:00,23.8,753.1,763.4,,33,Wind blowing from the south-southeast,2,,5,90  or more  but not 100%, ,,,13.4,24.7,,,1000-1500,,,30.0,6.5,No precipitation,6,,,,
16.03.2020 14:00,24.1,753.6,763.9,-2.5,37,Wind blowing from the south-southeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,25.1,,,1000-1500,,,30.0,8.5,No precipitation,12,,,,
16.03.2020 11:00,21.6,756.1,766.5,,50,Wind blowing from the north-west,2,,5,no clouds, ,,,13.4,25.1,,,,,,24.0,10.7,No precipitation,6,,,,
16.03.2020 08:00,15.1,756.2,766.7,,80,Wind blowing from the west-northwest,1,,3,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,25.1,,,1000-1500,,,15.0,11.6,No precipitation,12,,,,
16.03.2020 05:00,13.8,755.1,765.4,,84,Wind blowing from the north-northwest,1,,4,, ,,,9.4,25.1,,,,,,16.0,11.1,No precipitation,6,,,,
16.03.2020 02:00,13.5,755.1,765.5,,80,Wind blowing from the west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,25.1,,,2500 or more  or no clouds.,,,21.0,10.1,No precipitation,12,,,,
15.03.2020 23:00,15.0,754.7,765.1,,63,Wind blowing from the west,1,,5,, ,,,9.4,25.1,,,,,,30.0,8.0,No precipitation,6,,,,
15.03.2020 20:00,18.6,753.4,763.9,0.9,47,Wind blowing from the south-southwest,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,25.1,,,,,,30.0,7.0,No precipitation,12,,,,
15.03.2020 17:00,24.5,752.5,762.9,,20,Wind blowing from the south-west,1,,5,no clouds, ,,,9.4,25.1,,,,,,30.0,0.0,No precipitation,6,,,,
15.03.2020 14:00,22.9,753.4,763.9,-3.0,24,Wind blowing from the north,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,23.1,,,,,,30.0,1.2,No precipitation,12,,,,
15.03.2020 11:00,19.2,756.4,766.9,,37,Wind blowing from the east-southeast,2,,5,no clouds, ,,,9.4,21.0,,,,,,30.0,4.1,No precipitation,6,,,,
15.03.2020 08:00,11.4,756.7,767.3,1.2,90,Wind blowing from the west,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,21.0,,,,,,17.0,9.8,No precipitation,12,,,,
15.03.2020 05:00,10.3,755.5,766.0,,94,Wind blowing from the west-northwest,1,,7,, ,,,10.2,21.0,,,,,,10.0,9.3,No precipitation,6,,,,
15.03.2020 02:00,11.8,755.7,766.2,-0.3,91,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,21.0,,,2500 or more  or no clouds.,,,15.0,10.3,No precipitation,12,,,,
14.03.2020 23:00,13.8,756.0,766.5,,79,Wind blowing from the west-northwest,2,,7,, ,,,13.7,21.0,,,,,,21.0,10.2,No precipitation,6,,,,
14.03.2020 20:00,17.4,754.7,765.2,1.6,57,Wind blowing from the west-northwest,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,21.0,,,1000-1500,,,30.0,8.8,No precipitation,12,,,,
14.03.2020 17:00,20.4,753.1,763.6,,52,Wind blowing from the north-west,3,,7,100%., ,,,15.0,21.0,,,1000-1500,,,30.0,10.2,No precipitation,6,,,,
14.03.2020 14:00,19.9,753.4,763.8,-2.2,56,Wind blowing from the north,4,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,21.3,,,1000-1500,,,30.0,10.8,2.0,12,,,,
14.03.2020 11:00,19.1,755.6,766.0,,67,Calm  no wind,0,,,100%., ,,,15.0,21.3,,,1000-1500,,,30.0,12.8,0.2,6,,,,
14.03.2020 08:00,15.6,755.7,766.1,2.0,89,Wind blowing from the west-northwest,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,21.3,,,1000-1500,,,28.0,13.7,15.0,12,,,,
14.03.2020 05:00,15.1,753.7,764.2,,95,Wind blowing from the west-northwest,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.1,21.3,,,,,,22.0,14.3,3.0,6,,,,
14.03.2020 02:00,16.4,753.7,764.1,0.0,95,Wind blowing from the west-northwest,3,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.4,21.3,,,2500 or more  or no clouds.,,,30.0,15.6,15.0,12,,,,
13.03.2020 23:00,17.7,753.7,764.0,,95,Wind blowing from the west-northwest,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.7,21.3,,,,,,12.0,16.8,14.0,6,,,,
13.03.2020 20:00,19.9,751.9,762.2,1.2,98,Wind blowing from the north-west,2,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,21.3,,,1000-1500,,,1.5,19.5,3.0,12,,,,
13.03.2020 17:00,20.9,750.7,761.0,,91,Wind blowing from the north,2,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,21.3,,,1000-1500,,,8.0,19.3,0.5,6,,,,
13.03.2020 14:00,21.1,751.3,761.7,,84,Wind blowing from the north-northeast,1,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,21.2,,,1000-1500,,,14.0,18.2,0.5,12,,,,
13.03.2020 11:00,19.7,753.1,763.4,,85,Wind blowing from the north-northwest,1,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.3,20.6,,,1000-1500,,,14.0,17.1,No precipitation,6,,,,
13.03.2020 08:00,18.5,752.8,763.2,1.2,92,Wind blowing from the north-west,1,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1000-1500,,,12.0,17.1,No precipitation,12,,,,
13.03.2020 05:00,18.1,751.6,762.0,,92,Wind blowing from the west-northwest,1,,3,, ,,,,20.6,,,,,,11.0,16.7,No precipitation,6,,,,
13.03.2020 02:00,18.0,752.0,762.4,-0.2,93,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,20.6,,,2500 or more  or no clouds.,,,11.0,16.8,No precipitation,12,,,,
12.03.2020 23:00,18.4,752.2,762.6,,90,Wind blowing from the north-northwest,1,,3,, ,,,14.6,20.6,,,,,,13.0,16.7,No precipitation,6,,,,
12.03.2020 20:00,18.7,751.1,761.5,1.0,85,Wind blowing from the north,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,20.6,,,1000-1500,,,17.0,16.1,No precipitation,12,,,,
12.03.2020 17:00,19.6,750.1,760.4,,80,Wind blowing from the north-northwest,2,,4,100%., ,,,14.6,20.6,,,1000-1500,,,21.0,16.0,No precipitation,6,,,,
12.03.2020 14:00,20.4,750.7,761.0,-2.1,72,Wind blowing from the north-east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,20.5,,,1000-1500,,,22.0,15.1,0.1,12,,,,
12.03.2020 11:00,17.2,752.8,763.2,,81,Wind blowing from the west-northwest,2,,4,90  or more  but not 100%, ,,,14.6,19.9,,,1000-1500,,,15.0,13.9,No precipitation,6,,,,
12.03.2020 08:00,15.2,753.1,763.6,0.5,90,Wind blowing from the north-west,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,19.9,,,1000-1500,,,10.0,13.5,8.0,12,,,,
12.03.2020 05:00,14.7,752.6,763.0,,94,Wind blowing from the west-northwest,2,,4,,Mist. ,,,11.7,19.9,,,,,,7.0,13.7,0.3,6,,,,
12.03.2020 02:00,14.9,752.9,763.3,-0.8,96,Wind blowing from the west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,19.9,,,2500 or more  or no clouds.,,,4.3,14.2,8.0,12,,,,
11.03.2020 23:00,15.5,753.7,764.2,,97,Wind blowing from the north,1,,4,,Rain (not freezing) not falling as shower(s). ,,,11.3,19.9,,,,,,2.1,15.0,7.0,6,,,,
11.03.2020 20:00,17.9,752.8,763.3,0.0,69,Wind blowing from the east,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,19.9,,,1000-1500,,,24.0,12.1,Trace of precipitation,12,,,,
11.03.2020 17:00,18.2,752.8,763.3,,62,Wind blowing from the north-northeast,2,,4,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,19.9,,,1000-1500,,,30.0,10.8,No precipitation,6,,,,
11.03.2020 14:00,19.4,753.6,764.1,-2.5,55,Wind blowing from the north-northeast,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,21.2,,,1000-1500,,,30.0,10.1,No precipitation,12,,,,
11.03.2020 11:00,16.3,756.1,766.6,,59,Wind blowing from the west,1,,4,90  or more  but not 100%, ,,,11.3,21.4,,,1000-1500,,,30.0,8.2,No precipitation,6,,,,
11.03.2020 08:00,13.0,755.5,766.1,1.1,75,Wind blowing from the north-west,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,,,,1000-1500,,,27.0,8.6,No precipitation,12,,,,
11.03.2020 05:00,12.0,754.4,764.9,,79,Wind blowing from the north-west,2,,9,, ,,,11.3,21.4,,,,,,26.0,8.4,No precipitation,6,,,,
11.03.2020 02:00,11.4,754.9,765.4,-0.3,82,Wind blowing from the west-northwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.3,21.4,,,2500 or more  or no clouds.,,,25.0,8.4,No precipitation,12,,,,
10.03.2020 23:00,13.0,755.2,765.7,,71,Wind blowing from the north-west,2,,10,, ,,,13.0,22.4,,,,,,30.0,7.8,No precipitation,6,,,,
10.03.2020 20:00,15.5,754.0,764.5,,57,Wind blowing from the north-northwest,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,24.0,,,,,,30.0,7.0,No precipitation,12,,,,
10.03.2020 17:00,18.4,752.9,763.3,,50,Wind blowing from the north-northwest,4,,10,70 – 80%., ,,,15.9,26.3,,,600-1000,,,30.0,7.8,No precipitation,6,,,,
10.03.2020 14:00,20.7,752.2,762.6,,49,Wind blowing from the north-northwest,4,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,26.3,,,600-1000,,,30.0,9.6,2.0,12,,,,
10.03.2020 11:00,18.6,753.6,763.9,,57,Wind blowing from the north-northwest,4,,8,90  or more  but not 100%, ,,,15.9,,,,600-1000,,,30.0,9.9,No precipitation,6,,,,
10.03.2020 08:00,16.9,752.5,762.7,2.2,67,Wind blowing from the north,4,,7,40%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,26.3,,,600-1000,,,30.0,10.7,18.0,12,,,,
10.03.2020 05:00,17.1,750.3,760.5,,92,Wind blowing from the north-northwest,2,,7,,Rain (not freezing) not falling as shower(s). ,,,17.0,26.3,,,,,,22.0,15.7,18.0,6,,,,
10.03.2020 02:00,18.2,749.2,759.4,,95,Wind blowing from the north,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.1,26.3,,,2500 or more  or no clouds.,,,30.0,17.3,16.0,12,,,,
09.03.2020 20:00,24.0,745.8,755.9,1.6,76,Wind blowing from the north-west,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,26.3,,,1000-1500,,,20.0,19.5,No precipitation,12,,,,
09.03.2020 17:00,26.1,744.2,754.3,,64,Wind blowing from the south-southwest,2,,5,50%., ,,,19.0,26.1,,,600-1000,,,30.0,18.7,No precipitation,6,,,,
09.03.2020 14:00,25.8,744.6,754.7,-2.3,64,Wind blowing from the south-southeast,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,26.3,,,600-1000,,,30.0,18.4,No precipitation,12,,,,
09.03.2020 11:00,23.7,746.9,757.0,,70,Wind blowing from the east,1,,3,90  or more  but not 100%, ,,,19.0,26.3,,,600-1000,,,30.0,17.9,No precipitation,6,,,,
09.03.2020 08:00,19.6,747.0,757.2,0.8,91,Wind blowing from the north-west,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,26.3,,,1000-1500,,,19.0,18.0,No precipitation,12,,,,
09.03.2020 05:00,19.0,746.2,756.4,,92,Wind blowing from the west-southwest,0,,8,, ,,,17.5,26.3,,,,,,12.0,17.6,No precipitation,6,,,,
09.03.2020 02:00,19.6,747.1,757.2,-0.6,89,Wind blowing from the south-southeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,26.3,,,2500 or more  or no clouds.,,,13.0,17.7,No precipitation,12,,,,
08.03.2020 23:00,20.9,747.7,757.9,,81,Wind blowing from the east-northeast,0,,8,, ,,,17.5,26.3,,,,,,12.0,17.5,No precipitation,6,,,,
08.03.2020 20:00,22.1,746.6,756.8,1.3,72,Wind blowing from the south-southeast,1,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,26.3,,,1000-1500,,,18.0,16.8,No precipitation,12,,,,
08.03.2020 17:00,24.6,745.3,755.5,,61,Wind blowing from the south-southeast,4,,7,20–30%., ,,,17.5,26.3,,,600-1000,,,30.0,16.5,No precipitation,6,,,,
08.03.2020 14:00,25.1,746.4,756.6,-3.1,62,Wind blowing from the east,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,26.1,,,1000-1500,,,30.0,17.3,No precipitation,12,,,,
08.03.2020 11:00,22.8,749.5,759.7,,76,Wind blowing from the east,2,,3,90  or more  but not 100%, ,,,17.5,25.7,,,1000-1500,,,21.0,18.3,No precipitation,6,,,,
08.03.2020 08:00,18.5,749.2,759.5,0.9,98,Wind blowing from the west-southwest,0,,3,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,25.7,,,1000-1500,,,7.0,18.1,No precipitation,12,,,,
08.03.2020 05:00,18.3,748.3,758.5,,96,Wind blowing from the north-west,1,,3,, ,,,17.5,25.7,,,,,,11.0,17.6,No precipitation,6,,,,
08.03.2020 02:00,18.4,749.0,759.2,-1.1,97,Wind blowing from the west-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,25.7,,,2500 or more  or no clouds.,,,9.0,17.9,No precipitation,12,,,,
07.03.2020 23:00,20.2,750.1,760.4,,89,Wind blowing from the west,1,,3,, ,,,17.5,25.7,,,,,,22.0,18.3,No precipitation,6,,,,
07.03.2020 20:00,21.5,748.8,759.1,0.8,78,Wind blowing from the north-west,2,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,25.7,,,1000-1500,,,15.0,17.5,No precipitation,12,,,,
07.03.2020 17:00,25.1,748.0,758.2,,60,Calm  no wind,0,,,70 – 80%., ,,,17.5,25.7,,,600-1000,,,30.0,16.7,No precipitation,6,,,,
07.03.2020 14:00,23.6,749.2,759.4,-2.9,61,Wind blowing from the east,2,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,23.7,,,600-1000,,,30.0,15.6,No precipitation,12,,,,
07.03.2020 11:00,21.0,752.1,762.4,,68,Wind blowing from the east,1,,3,90  or more  but not 100%, ,,,17.5,22.9,,,1000-1500,,,22.0,14.8,No precipitation,6,,,,
07.03.2020 08:00,17.8,752.0,762.4,1.3,86,Wind blowing from the north-northwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.2,22.9,,,1000-1500,,,21.0,15.4,No precipitation,12,,,,
07.03.2020 05:00,17.7,750.7,761.0,,82,Wind blowing from the south,1,,4,, ,,,14.6,22.9,,,,,,24.0,14.5,No precipitation,6,,,,
07.03.2020 02:00,18.0,751.5,761.8,-0.7,78,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,22.9,,,2500 or more  or no clouds.,,,27.0,14.1,No precipitation,12,,,,
06.03.2020 23:00,19.0,752.2,762.5,,71,Wind blowing from the east-southeast,1,,4,, ,,,14.6,22.9,,,,,,30.0,13.6,No precipitation,6,,,,
06.03.2020 20:00,20.3,751.6,761.9,0.9,66,Wind blowing from the south,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,22.9,,,1000-1500,,,30.0,13.7,No precipitation,12,,,,
06.03.2020 17:00,22.2,750.7,761.0,,58,Wind blowing from the south,1,,4,90  or more  but not 100%, ,,,14.6,22.9,,,1000-1500,,,30.0,13.5,No precipitation,6,,,,
06.03.2020 14:00,21.6,751.4,761.8,-2.9,58,Wind blowing from the east-northeast,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,22.0,,,600-1000,,,30.0,12.9,No precipitation,12,,,,
06.03.2020 11:00,19.5,754.3,764.8,,63,Wind blowing from the east-northeast,2,,,60%., ,,,14.2,19.6,,,600-1000,,,30.0,12.2,No precipitation,6,,,,
06.03.2020 08:00,15.2,754.5,765.0,0.8,82,Wind blowing from the east-northeast,2,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.2,,,1000-1500,,,24.0,12.1,No precipitation,12,,,,
06.03.2020 05:00,14.6,753.7,764.2,,96,Wind blowing from the north-west,1,,2,, ,,,,16.2,,,,,,8.0,13.9,0.1,6,,,,
06.03.2020 02:00,14.9,754.6,765.1,-0.6,93,Wind blowing from the south-southeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.2,,,2500 or more  or no clouds.,,,19.0,13.7,0.1,12,,,,
05.03.2020 23:00,15.2,755.2,765.7,,88,Wind blowing from the north-west,1,,3,, ,,,12.2,16.2,,,,,,25.0,13.2,No precipitation,6,,,,
05.03.2020 20:00,15.4,754.5,765.1,0.3,86,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,16.2,,,1000-1500,,,21.0,13.0,Trace of precipitation,12,,,,
05.03.2020 17:00,16.0,754.2,764.8,,78,Wind blowing from the north-northwest,1,,4,100%., ,,,12.2,16.2,,,1000-1500,,,30.0,12.1,No precipitation,6,,,,
05.03.2020 14:00,15.5,755.0,765.6,-2.0,78,Wind blowing from the south-east,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,15.7,,,1000-1500,,,30.0,11.6,0.4,12,,,,
05.03.2020 11:00,14.2,757.0,767.6,,82,Wind blowing from the south,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,16.8,,,1000-1500,,,30.0,11.1,0.2,6,,,,
05.03.2020 08:00,12.3,756.8,767.5,1.4,92,Wind blowing from the west,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.2,,,,1000-1500,,,30.0,11.0,4.0,12,,,,
05.03.2020 05:00,12.4,755.4,766.0,,91,Wind blowing from the west-northwest,2,,6,, ,,,12.4,,,,,,,30.0,10.9,2.0,6,,,,
05.03.2020 02:00,12.6,754.7,765.3,-1.4,96,Wind blowing from the north-west,2,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,17.3,,,2500 or more  or no clouds.,,,30.0,11.9,10.0,12,,,,
04.03.2020 23:00,13.0,756.1,766.6,,95,Wind blowing from the west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.8,18.3,,,,,,15.0,12.2,6.0,6,,,,
04.03.2020 20:00,13.4,755.9,766.5,1.3,95,Wind blowing from the west-northwest,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,20.3,,,1000-1500,,,24.0,12.6,7.0,12,,,,
04.03.2020 17:00,14.0,754.6,765.1,,96,Wind blowing from the west-northwest,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,,,,1000-1500,,,5.0,13.3,3.0,6,,,,
04.03.2020 14:00,15.2,753.8,764.3,-1.3,92,Wind blowing from the north-west,3,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,,,,1000-1500,,,15.0,13.9,7.0,12,,,,
04.03.2020 11:00,16.4,755.1,765.5,,90,Wind blowing from the north,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,22.8,,,1000-1500,,,30.0,14.7,6.0,6,,,,
04.03.2020 08:00,15.2,755.0,765.4,,97,Wind blowing from the north-west,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.1,22.8,,,1000-1500,,,30.0,14.7,9.0,12,,,,
04.03.2020 05:00,15.5,753.9,764.2,,96,Wind blowing from the west-northwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.5,22.8,,,,,,7.0,14.8,3.0,6,,,,
04.03.2020 02:00,17.3,753.7,764.0,-0.7,97,Wind blowing from the west,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,22.8,,,2500 or more  or no clouds.,,,30.0,16.8,2.0,12,,,,
03.03.2020 23:00,18.4,754.4,764.8,,89,Wind blowing from the north-west,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.5,22.8,,,,,,18.0,16.5,No precipitation,6,,,,
03.03.2020 20:00,20.3,753.4,763.7,1.1,77,Wind blowing from the west-northwest,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,22.8,,,1000-1500,,,23.0,16.1,No precipitation,12,,,,
03.03.2020 17:00,22.1,752.3,762.7,,68,Wind blowing from the west,0,,5,100%., ,,,17.5,22.8,,,1000-1500,,,30.0,15.9,No precipitation,6,,,,
03.03.2020 14:00,22.7,752.4,762.7,-2.8,61,Wind blowing from the north-northwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,22.8,,,1000-1500,,,30.0,14.8,No precipitation,12,,,,
03.03.2020 11:00,20.3,755.2,765.5,,67,Wind blowing from the north,1,,5,90  or more  but not 100%, ,,,17.5,20.5,,,1000-1500,,,23.0,13.9,No precipitation,6,,,,
03.03.2020 08:00,17.9,754.8,765.2,1.1,78,Wind blowing from the east-northeast,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.5,,,1000-1500,,,16.0,14.0,No precipitation,12,,,,
03.03.2020 05:00,17.6,753.7,764.0,,86,Wind blowing from the west-northwest,1,,4,, ,,,,20.5,,,,,,16.0,15.2,No precipitation,6,,,,
