Local time in Xainza,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 08:00,-15.0,431.7,771.1,0.1,46,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,-2.4,,,2500 or more  or no clouds.,,,30.0,-24.0,No precipitation,12,,,,
17.03.2020 05:00,-13.6,431.6,769.5,,37,Wind blowing from the west-southwest,1,,11,, ,,,-13.6,-2.4,,,,,,30.0,-25.2,No precipitation,6,,,,
17.03.2020 02:00,-11.3,432.3,769.0,,40,Wind blowing from the north-northeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,-2.4,,,2500 or more  or no clouds.,,,30.0,-22.2,No precipitation,12,,,,
16.03.2020 20:00,-3.8,431.2,767.2,0.0,22,Wind blowing from the north,1,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,-2.4,,,1500-2000,,,30.0,-22.4,No precipitation,12,,,,
16.03.2020 17:00,-3.6,431.2,767.3,,28,Wind blowing from the north-west,6,,13,70 – 80%., ,,,-12.0,-1.7,,,1500-2000,,,30.0,-19.5,No precipitation,6,,,,
16.03.2020 14:00,-3.7,431.7,765.7,-0.4,29,Wind blowing from the north-northwest,7,,13,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.0,0.0,,,1500-2000,,,30.0,-19.2,No precipitation,12,,,,
16.03.2020 11:00,-7.4,432.1,767.0,,35,Wind blowing from the west,7,,17,50%., ,,,-12.0,0.0,,,1500-2000,,,30.0,-20.2,No precipitation,6,,,,
16.03.2020 08:00,-11.4,430.8,766.3,0.8,25,Wind blowing from the south-southeast,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,0.0,,,2500 or more  or no clouds.,,,30.0,-27.5,No precipitation,12,,,,
16.03.2020 05:00,-11.7,430.0,763.6,,32,Wind blowing from the west-northwest,1,,17,, ,,,-11.7,0.0,,,,,,30.0,-25.1,No precipitation,6,,,,
16.03.2020 02:00,-8.3,430.4,760.9,,23,Wind blowing from the north-west,4,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,0.0,,,2500 or more  or no clouds.,,,30.0,-25.8,No precipitation,12,,,,
15.03.2020 20:00,-3.4,428.7,760.6,0.7,8,Wind blowing from the west,5,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,0.0,,,2500 or more  or no clouds.,,,30.0,-33.0,No precipitation,12,,,,
15.03.2020 17:00,-1.7,428.0,754.9,,5,Wind blowing from the west-southwest,8,,16,, ,,,-10.4,2.2,,,,,,30.0,-36.5,No precipitation,6,,,,
15.03.2020 14:00,-0.8,429.3,754.6,-1.2,5,Wind blowing from the west-southwest,6,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,4.4,,,2500 or more  or no clouds.,,,30.0,-35.9,No precipitation,12,,,,
15.03.2020 11:00,-3.4,430.5,757.9,,7,Wind blowing from the north,3,,18,, ,,,-10.4,4.4,,,,,,30.0,-34.4,No precipitation,6,,,,
15.03.2020 08:00,-9.1,430.4,761.8,0.8,16,Wind blowing from the east-northeast,2,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,4.4,,,2500 or more  or no clouds.,,,30.0,-30.4,No precipitation,12,,,,
15.03.2020 05:00,-5.0,429.6,755.8,,6,Wind blowing from the south-west,6,,19,, ,,,-6.0,4.4,,,,,,30.0,-37.2,No precipitation,6,,,,
15.03.2020 02:00,-2.6,429.6,752.5,,9,Wind blowing from the west-southwest,3,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.4,,,2500 or more  or no clouds.,,,30.0,-31.2,No precipitation,12,,,,
14.03.2020 20:00,-1.0,429.6,757.3,-0.3,38,Wind blowing from the south,10,,20,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,4.4,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
14.03.2020 17:00,1.0,429.9,755.9,,36,Wind blowing from the south,10,,20,90  or more  but not 100%, ,,,-6.0,5.1,,,,,,30.0,-12.4,No precipitation,6,,,,
14.03.2020 14:00,3.0,431.3,756.7,-1.1,13,Wind blowing from the south-west,5,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.0,5.5,,,2500 or more  or no clouds.,,,30.0,-22.8,No precipitation,12,,,,
14.03.2020 11:00,-1.0,432.4,760.3,,25,Wind blowing from the south,7,,17,70 – 80%., ,,,-6.0,5.5,,,1500-2000,,,30.0,-18.6,No precipitation,6,,,,
14.03.2020 08:00,-5.2,431.8,759.0,0.3,35,Wind blowing from the south,3,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.4,5.5,,,2500 or more  or no clouds.,,,30.0,-18.3,No precipitation,12,,,,
14.03.2020 05:00,-4.5,431.5,756.1,,36,Wind blowing from the south,6,,17,, ,,,-13.4,5.5,,,,,,30.0,-17.3,No precipitation,6,,,,
14.03.2020 02:00,-4.4,432.3,758.5,,28,Wind blowing from the south-west,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.4,5.5,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
13.03.2020 20:00,2.0,431.6,764.4,0.2,10,Wind blowing from the south-west,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.4,5.5,,,2500 or more  or no clouds.,,,30.0,-26.5,No precipitation,12,,,,
13.03.2020 17:00,4.5,431.4,758.0,,7,Wind blowing from the west,6,,15,, ,,,-13.4,5.5,,,,,,30.0,-28.4,No precipitation,6,,,,
13.03.2020 14:00,2.9,432.9,758.9,-1.7,5,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.4,5.4,,,2500 or more  or no clouds.,,,30.0,-33.2,No precipitation,12,,,,
13.03.2020 11:00,-4.7,434.6,770.8,,11,Wind blowing from the south-west,3,,10,70 – 80%., ,,,-13.4,5.4,,,2500 or more  or no clouds.,,,30.0,-30.7,No precipitation,6,,,,
13.03.2020 08:00,-12.8,434.1,770.1,0.5,17,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.0,5.4,,,2500 or more  or no clouds.,,,30.0,-32.8,No precipitation,12,,,,
13.03.2020 05:00,-7.5,433.6,762.2,,20,Wind blowing from the north,1,,20,, ,,,-9.3,5.4,,,,,,30.0,-26.6,No precipitation,6,,,,
13.03.2020 02:00,-3.4,433.1,759.4,,5,Wind blowing from the north-northeast,3,,22,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,5.4,,,2500 or more  or no clouds.,,,30.0,-37.8,No precipitation,12,,,,
12.03.2020 20:00,0.4,431.3,762.0,0.2,17,Wind blowing from the north-northwest,3,,22,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,5.4,,,2000-2500,,,30.0,-21.8,No precipitation,12,,,,
12.03.2020 17:00,4.2,431.1,756.7,,4,Wind blowing from the west-northwest,11,,22,20–30%., ,,,-9.3,5.4,,,2000-2500,,,30.0,-34.5,No precipitation,6,,,,
12.03.2020 14:00,2.6,432.4,758.5,-0.5,6,Wind blowing from the west,10,,22,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,3.3,,,2000-2500,,,30.0,-31.5,No precipitation,12,,,,
12.03.2020 11:00,-1.5,432.9,761.3,,12,Wind blowing from the west,7,,12,no clouds, ,,,-9.3,3.3,,,,,,30.0,-27.3,No precipitation,6,,,,
12.03.2020 08:00,-8.8,431.6,762.1,0.9,24,Wind blowing from the east-southeast,1,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,3.3,,,2000-2500,,,30.0,-25.7,No precipitation,12,,,,
12.03.2020 05:00,-6.1,430.7,757.4,,19,Wind blowing from the north-west,5,,18,, ,,,-10.3,3.3,,,,,,30.0,-26.0,No precipitation,6,,,,
12.03.2020 02:00,-3.8,430.5,757.3,,14,Wind blowing from the west,6,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,3.3,,,2500 or more  or no clouds.,,,30.0,-27.4,No precipitation,12,,,,
11.03.2020 20:00,0.9,428.4,755.6,-0.1,11,Wind blowing from the north-west,9,,20,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,3.3,,,1500-2000,,,30.0,-26.3,No precipitation,12,,,,
11.03.2020 17:00,2.3,428.5,754.7,,10,Wind blowing from the north-west,12,,20,70 – 80%., ,,,-10.3,3.0,,,1500-2000,,,30.0,-26.2,No precipitation,6,,,,
11.03.2020 14:00,-0.4,430.5,758.3,-0.2,13,Wind blowing from the west-northwest,11,,20,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,2.4,,,1500-2000,,,30.0,-25.5,No precipitation,12,,,,
11.03.2020 11:00,-3.2,430.7,760.8,,15,Wind blowing from the west-northwest,11,,17,, ,,,-10.3,2.4,,,,,,30.0,-26.2,No precipitation,6,,,,
11.03.2020 08:00,-7.7,429.5,759.5,0.5,17,Wind blowing from the west-southwest,6,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.1,2.4,,,2500 or more  or no clouds.,,,30.0,-28.6,No precipitation,12,,,,
11.03.2020 05:00,-7.5,429.0,755.9,,15,Wind blowing from the west,5,,18,, ,,,-13.1,2.4,,,,,,30.0,-29.7,No precipitation,6,,,,
11.03.2020 02:00,-5.1,429.2,756.4,,12,Wind blowing from the west,8,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.1,2.4,,,2500 or more  or no clouds.,,,30.0,-30.1,No precipitation,12,,,,
10.03.2020 20:00,-1.6,427.5,758.0,-0.6,19,Wind blowing from the north-northwest,4,,18,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.1,2.4,,,1500-2000,,,30.0,-22.2,No precipitation,12,,,,
10.03.2020 17:00,1.9,428.1,755.3,,5,Wind blowing from the north-northwest,10,,18,10%  or less  but not 0, ,,,-13.1,2.4,,,1500-2000,,,30.0,-33.9,No precipitation,6,,,,
10.03.2020 14:00,-0.9,430.4,759.3,-1.2,8,Wind blowing from the north-northwest,9,,15,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.1,1.6,,,1500-2000,,,30.0,-31.1,No precipitation,12,,,,
10.03.2020 11:00,-5.0,431.6,763.4,,10,Wind blowing from the north,4,,9,10%  or less  but not 0, ,,,-13.1,1.6,,,1500-2000,,,30.0,-32.0,No precipitation,6,,,,
10.03.2020 08:00,-10.2,430.4,763.3,0.2,16,Wind blowing from the north-northeast,2,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,1.6,,,1500-2000,,,30.0,-31.3,No precipitation,12,,,,
10.03.2020 05:00,-8.8,430.2,759.5,,20,Wind blowing from the north,5,,22,, ,,,-12.7,1.6,,,,,,30.0,-27.7,No precipitation,6,,,,
10.03.2020 02:00,-6.0,430.5,760.0,,12,Wind blowing from the north-northeast,2,,22,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,1.6,,,2500 or more  or no clouds.,,,30.0,-30.9,No precipitation,12,,,,
09.03.2020 20:00,-1.8,429.5,763.0,-0.4,9,Wind blowing from the north-west,8,,22,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,1.6,,,1500-2000,,,30.0,-30.6,No precipitation,12,,,,
09.03.2020 17:00,1.1,429.9,759.1,,4,Wind blowing from the north-west,13,,21,, ,,,-12.7,1.4,,,,,,30.0,-36.7,No precipitation,6,,,,
09.03.2020 14:00,-1.6,431.4,762.6,-0.4,9,Wind blowing from the north,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,0.0,,,2500 or more  or no clouds.,,,30.0,-30.4,No precipitation,12,,,,
09.03.2020 11:00,-5.7,431.8,766.0,,13,Wind blowing from the north-northwest,6,,10,, ,,,-12.7,0.0,,,,,,30.0,-29.8,No precipitation,6,,,,
09.03.2020 08:00,-12.0,430.7,766.2,1.0,22,Wind blowing from the east,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,0.0,,,,,,30.0,-29.4,No precipitation,12,,,,
09.03.2020 05:00,-9.0,429.9,760.3,,15,Calm  no wind,0,,,, ,,,-12.2,0.0,,,,,,30.0,-31.0,No precipitation,6,,,,
09.03.2020 02:00,-7.4,429.7,761.0,,16,Wind blowing from the north,6,,24,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.2,0.0,,,2500 or more  or no clouds.,,,30.0,-29.0,No precipitation,12,,,,
08.03.2020 20:00,-3.1,428.3,761.5,-0.2,16,Wind blowing from the north-west,7,,24,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.2,0.0,,,1500-2000,,,30.0,-25.4,No precipitation,12,,,,
08.03.2020 17:00,-0.3,428.5,758.5,,6,Wind blowing from the north-west,15,,24,70 – 80%., ,,,-12.2,0.0,,,1500-2000,,,13.0,-33.6,No precipitation,6,,,,
08.03.2020 14:00,-3.3,429.6,762.7,-0.9,12,Wind blowing from the north-northwest,10,,19,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.2,0.9,,,1500-2000,,,30.0,-28.7,No precipitation,12,,,,
08.03.2020 11:00,-7.3,430.5,763.6,,23,Wind blowing from the north-northwest,5,,14,no clouds, ,,,-12.2,,,,,,,30.0,-24.9,No precipitation,6,,,,
08.03.2020 08:00,-11.5,429.4,763.0,0.6,36,Wind blowing from the north,6,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.2,0.9,,,,,,30.0,-23.6,No precipitation,12,,,,
08.03.2020 05:00,-9.9,428.8,759.2,,30,Wind blowing from the north-west,6,,21,, ,,,-10.1,0.9,,,,,,30.0,-24.2,No precipitation,6,,,,
08.03.2020 02:00,-9.7,428.7,758.5,,75,Wind blowing from the north-northwest,4,,21,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,0.9,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
07.03.2020 20:00,-2.4,426.3,754.2,0.2,26,Wind blowing from the north-west,9,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,0.9,,,2500 or more  or no clouds.,,,30.0,-19.3,No precipitation,12,,,,
07.03.2020 17:00,-0.5,426.1,752.5,,22,Wind blowing from the south-southwest,6,,18,100%., ,,,-9.2,0.9,,,2500 or more  or no clouds.,,,30.0,-19.6,No precipitation,6,,,,
07.03.2020 14:00,0.0,427.2,752.5,-1.9,13,Wind blowing from the west,8,,16,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,0.3,,,2500 or more  or no clouds.,,,30.0,-25.2,No precipitation,12,,,,
07.03.2020 11:00,-4.4,429.1,757.8,,22,Wind blowing from the west-southwest,2,,11,90  or more  but not 100%, ,,,-9.2,0.3,,,,,,30.0,-22.9,No precipitation,6,,,,
07.03.2020 08:00,-7.2,428.4,757.6,0.1,26,Wind blowing from the south-east,2,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,0.3,,,2500 or more  or no clouds.,,,30.0,-23.5,No precipitation,12,,,,
07.03.2020 05:00,-7.5,428.3,756.7,,37,Wind blowing from the west-northwest,2,,16,, ,,,-10.9,0.3,,,,,,30.0,-19.7,No precipitation,6,,,,
07.03.2020 02:00,-5.3,429.0,756.1,,32,Wind blowing from the south,6,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,0.3,,,2500 or more  or no clouds.,,,30.0,-19.4,No precipitation,12,,,,
06.03.2020 20:00,-2.0,427.8,759.0,0.0,21,Wind blowing from the west-northwest,6,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,0.3,,,2000-2500,,,30.0,-21.4,No precipitation,12,,,,
06.03.2020 17:00,-0.9,427.8,757.0,,13,Wind blowing from the west-southwest,6,,18,100%., ,,,-10.9,0.1,,,2000-2500,,,30.0,-25.9,No precipitation,6,,,,
06.03.2020 14:00,-0.6,429.0,756.0,-0.6,12,Wind blowing from the west,11,,15,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,0.6,,,2000-2500,,,30.0,-26.5,No precipitation,12,,,,
06.03.2020 11:00,-4.0,429.6,758.3,,28,Wind blowing from the north-northeast,1,,8,60%., ,,,-10.9,0.6,,,2000-2500,,,30.0,-19.8,No precipitation,6,,,,
06.03.2020 08:00,-10.4,428.8,761.1,0.4,64,Wind blowing from the south-west,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,0.6,,,2000-2500,,,30.0,-15.9,No precipitation,12,,,,
06.03.2020 05:00,-9.0,428.4,758.3,,51,Wind blowing from the north-northeast,1,,9,, ,,,-11.3,0.6,,,,,,30.0,-17.3,No precipitation,6,,,,
06.03.2020 02:00,-5.1,428.8,755.8,,41,Wind blowing from the east-southeast,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,0.6,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
05.03.2020 20:00,-2.4,427.6,759.6,0.2,25,Wind blowing from the west,6,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,0.6,,,1500-2000,,,30.0,-19.8,No precipitation,12,,,,
05.03.2020 17:00,-1.3,427.4,756.4,,13,Wind blowing from the north-northwest,3,,14,90  or more  but not 100%, ,,,-11.3,0.7,,,1500-2000,,,30.0,-26.2,No precipitation,6,,,,
05.03.2020 14:00,-0.8,429.0,757.5,-0.9,10,Wind blowing from the west-northwest,6,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,0.7,,,1500-2000,,,30.0,-28.7,No precipitation,12,,,,
05.03.2020 11:00,-5.0,429.9,760.9,,19,Wind blowing from the north,5,,11,10%  or less  but not 0, ,,,-11.3,0.7,,,1500-2000,,,30.0,-25.1,No precipitation,6,,,,
05.03.2020 08:00,-11.2,429.0,762.0,0.6,38,Wind blowing from the north,4,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,0.7,,,1000-1500,,,30.0,-22.7,No precipitation,12,,,,
05.03.2020 05:00,-8.8,428.4,757.7,,23,Wind blowing from the north-east,1,,13,, ,,,-13.5,0.7,,,,,,30.0,-26.2,No precipitation,6,,,,
05.03.2020 02:00,-7.0,428.6,757.8,,22,Wind blowing from the north-west,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,0.7,,,2500 or more  or no clouds.,,,30.0,-25.2,No precipitation,12,,,,
04.03.2020 20:00,-2.4,427.2,759.8,0.0,11,Wind blowing from the north-northwest,5,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,0.7,,,1500-2000,,,30.0,-28.9,No precipitation,12,,,,
04.03.2020 17:00,-0.5,427.2,757.1,,10,Wind blowing from the north-northwest,5,,12,70 – 80%., ,,,-13.5,-0.4,,,1500-2000,,,30.0,-28.4,No precipitation,6,,,,
04.03.2020 14:00,-2.1,429.0,759.2,-1.0,15,Wind blowing from the north-northwest,5,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,-0.4,,,1500-2000,,,30.0,-25.3,No precipitation,12,,,,
04.03.2020 11:00,-6.5,430.0,762.4,,53,Wind blowing from the west-northwest,2,,8,20–30%., ,,,-13.5,-0.4,,,1500-2000,,,30.0,-14.5,No precipitation,6,,,,
04.03.2020 08:00,-12.4,428.8,763.4,0.4,75,Wind blowing from the south-west,2,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,-0.4,,,1500-2000,,,30.0,-15.9,No precipitation,12,,,,
04.03.2020 05:00,-10.8,428.4,759.3,,76,Wind blowing from the north-northeast,1,,10,, ,,,-14.9,-0.4,,,,,,30.0,-14.2,No precipitation,6,,,,
04.03.2020 02:00,-7.8,429.0,759.3,,63,Wind blowing from the south-southeast,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,-0.4,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
03.03.2020 20:00,-3.4,428.1,762.1,0.2,24,Wind blowing from the north-west,2,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,-0.4,,,1500-2000,,,30.0,-21.1,No precipitation,12,,,,
03.03.2020 17:00,-0.6,427.9,758.5,,16,Wind blowing from the west-northwest,5,,9,70 – 80%., ,,,-14.9,-0.6,,,1500-2000,,,30.0,-23.3,No precipitation,6,,,,
03.03.2020 14:00,-2.4,429.4,760.8,-1.1,11,Wind blowing from the west,2,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,-1.6,,,1500-2000,,,30.0,-28.9,No precipitation,12,,,,
03.03.2020 11:00,-6.7,430.5,764.8,,37,Calm  no wind,0,,,no clouds, ,,,-14.9,-2.1,,,,,,30.0,-19.0,No precipitation,6,,,,
03.03.2020 08:00,-12.4,429.6,766.1,0.2,53,Wind blowing from the south-east,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,-2.1,,,,,,30.0,-20.2,No precipitation,12,,,,
03.03.2020 05:00,-11.0,429.4,762.6,,44,Wind blowing from the south-southwest,1,,12,, ,,,-11.0,-2.1,,,,,,30.0,-20.9,No precipitation,6,,,,
03.03.2020 02:00,-8.7,429.9,762.7,,35,Wind blowing from the east-southeast,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,-2.1,,,2500 or more  or no clouds.,,,30.0,-21.4,No precipitation,12,,,,
02.03.2020 20:00,-4.9,428.9,761.5,0.0,28,Wind blowing from the north-west,4,,16,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,-1.9,,,1500-2000,,,30.0,-20.6,No precipitation,12,,,,
02.03.2020 17:00,-2.4,428.9,759.0,,24,Wind blowing from the north-northwest,9,,,70 – 80%., ,,,-8.6,1.0,,,1500-2000,,,30.0,-20.2,No precipitation,6,,,,
02.03.2020 14:00,-3.7,429.7,760.5,-0.8,33,Wind blowing from the north-northwest,8,,17,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,2.0,,,1500-2000,,,30.0,-17.6,0.3,12,,,,
