Local time in Ankang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 23:00,12.8,738.1,764.1,,59,Wind blowing from the north-east,1,,,, ,,,8.8,23.5,,,,,,28.0,5.0,No precipitation,6,,,,
17.03.2020 20:00,17.7,737.3,763.3,0.4,41,Wind blowing from the east-southeast,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,23.5,,,2500 or more  or no clouds.,,,27.0,4.3,No precipitation,12,,,,
17.03.2020 17:00,23.4,736.9,762.6,,24,Wind blowing from the north-northeast,1,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,30.0,1.7,,,,,,
17.03.2020 14:00,20.1,739.0,765.0,-3.2,39,Wind blowing from the north-northeast,2,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,20.1,,,2500 or more  or no clouds.,,,30.0,5.7,No precipitation,12,,,,
17.03.2020 11:00,15.2,742.2,768.4,,50,Wind blowing from the north-northeast,1,,,90  or more  but not 100%, ,,,,,,,,,,26.0,4.9,,,,,,
17.03.2020 08:00,9.2,742.3,768.6,0.9,78,Wind blowing from the east-northeast,2,,2,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,17.7,,,2500 or more  or no clouds.,,,24.0,5.6,No precipitation,12,,,,
17.03.2020 05:00,9.1,741.4,767.6,,79,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,25.0,5.7,,,,,,
17.03.2020 02:00,9.2,742.0,768.2,,78,Wind blowing from the east-southeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,17.7,,,2500 or more  or no clouds.,,,22.0,5.6,No precipitation,12,,,,
16.03.2020 23:00,10.3,741.7,768.0,,73,Wind blowing from the east-northeast,1,,3,, ,,,10.3,17.7,,,,,,21.0,5.7,No precipitation,6,,,,
16.03.2020 20:00,14.5,740.9,767.2,,52,Wind blowing from the east-southeast,1,,3,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,17.7,,,2500 or more  or no clouds.,,,24.0,4.8,No precipitation,12,,,,
16.03.2020 17:00,17.6,739.4,765.4,,40,Wind blowing from the south-west,1,,,90  or more  but not 100%, ,,,,,,,,,,26.0,3.9,,,,,,
16.03.2020 14:00,15.8,740.0,766.1,-1.1,54,Wind blowing from the south-southeast,0,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.6,18.0,,,2500 or more  or no clouds.,,,17.0,6.5,No precipitation,12,,,,
16.03.2020 11:00,13.1,741.1,767.2,,65,Wind blowing from the south-southeast,1,,3,100%., ,,,10.6,18.0,,,2500 or more  or no clouds.,,,17.0,6.7,No precipitation,6,,,,
16.03.2020 08:00,11.0,739.9,766.0,,75,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,18.0,,,2500 or more  or no clouds.,,,21.0,6.6,Trace of precipitation,12,,,,
16.03.2020 05:00,10.9,738.8,764.8,,75,Wind blowing from the north-east,1,,4,, ,,,5.3,18.0,,,,,,24.0,6.5,No precipitation,6,,,,
16.03.2020 02:00,12.5,738.8,764.8,,62,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.0,,,2500 or more  or no clouds.,,,23.0,5.4,No precipitation,12,,,,
15.03.2020 23:00,13.1,739.0,765.1,,60,Wind blowing from the west,1,,4,, ,,,5.3,18.0,,,,,,22.0,5.5,No precipitation,6,,,,
15.03.2020 20:00,14.9,738.1,764.5,1.8,50,Wind blowing from the east-northeast,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.0,,,2500 or more  or no clouds.,,,18.0,4.6,No precipitation,12,,,,
15.03.2020 17:00,17.2,736.3,762.5,,37,Wind blowing from the west,2,,,100%., ,,,,,,,1500-2000,,,30.0,2.4,,,,,,
15.03.2020 14:00,17.4,737.8,763.9,,37,Wind blowing from the west,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,21.3,,,2500 or more  or no clouds.,,,30.0,2.6,No precipitation,12,,,,
15.03.2020 11:00,12.9,740.8,767.2,,46,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,25.0,1.6,,,,,,
15.03.2020 08:00,6.1,741.7,768.1,1.2,75,Wind blowing from the east-northeast,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,21.3,,,,,,25.0,2.0,No precipitation,12,,,,
15.03.2020 05:00,6.4,740.5,766.6,,72,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,30.0,1.7,,,,,,
15.03.2020 02:00,8.2,740.6,766.8,,63,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,21.3,,,2500 or more  or no clouds.,,,30.0,1.4,No precipitation,12,,,,
14.03.2020 23:00,10.7,740.8,767.2,,51,Wind blowing from the north-east,1,,4,, ,,,5.3,21.3,,,,,,27.0,1.0,No precipitation,6,,,,
14.03.2020 20:00,15.8,739.6,766.0,0.5,34,Wind blowing from the south-east,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,21.3,,,,,,24.0,0.0,No precipitation,12,,,,
14.03.2020 17:00,21.0,739.1,765.2,,19,Wind blowing from the south-east,1,,,60%., ,,,,,,,2500 or more  or no clouds.,,,25.0,-3.5,,,,,,
14.03.2020 14:00,18.5,741.5,767.8,-3.5,29,Wind blowing from the north-east,1,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.5,,,2500 or more  or no clouds.,,,25.0,0.1,No precipitation,12,,,,
14.03.2020 11:00,12.1,745.0,771.5,,58,Wind blowing from the north-northwest,2,,,no clouds, ,,,,,,,,,,19.0,4.1,,,,,,
14.03.2020 08:00,5.5,745.6,772.3,,87,Wind blowing from the north-northeast,2,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,15.9,,,,,,18.0,3.5,No precipitation,12,,,,
14.03.2020 05:00,6.1,744.6,771.2,,83,Wind blowing from the east,1,,,, ,,,,,,,,,,21.0,3.4,,,,,,
14.03.2020 02:00,7.1,745.4,772.0,,79,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,16.6,,,2500 or more  or no clouds.,,,20.0,3.7,No precipitation,12,,,,
13.03.2020 23:00,9.1,745.7,772.2,,68,Wind blowing from the north-east,1,,6,, ,,,9.1,17.1,,,,,,21.0,3.5,No precipitation,6,,,,
13.03.2020 20:00,12.0,744.4,770.6,1.0,58,Wind blowing from the east-southeast,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,18.5,,,,,,25.0,3.8,No precipitation,12,,,,
13.03.2020 17:00,14.2,743.4,769.5,,46,Wind blowing from the north-northeast,2,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,28.0,2.8,,,,,,
13.03.2020 14:00,14.1,745.1,771.2,,46,Wind blowing from the north-east,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,,,,600-1000,,,30.0,2.7,No precipitation,12,,,,
13.03.2020 11:00,14.4,746.1,772.3,,35,Wind blowing from the north-east,3,,7,100%., ,,,14.2,,,,2500 or more  or no clouds.,,,27.0,-0.9,No precipitation,6,,,,
13.03.2020 08:00,14.8,742.6,768.5,2.3,45,Wind blowing from the north,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,22.5,,,600-1000,,,28.0,3.0,Trace of precipitation,12,,,,
13.03.2020 05:00,15.4,740.3,766.0,,38,Wind blowing from the east-northeast,2,,5,, ,,,8.3,22.5,,,,,,30.0,1.2,No precipitation,6,,,,
13.03.2020 02:00,16.6,739.8,765.4,1.7,48,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,22.5,,,2500 or more  or no clouds.,,,30.0,5.6,No precipitation,12,,,,
12.03.2020 23:00,16.6,738.1,763.9,,57,Wind blowing from the west-southwest,1,,3,, ,,,8.3,22.5,,,,,,23.0,8.1,No precipitation,6,,,,
12.03.2020 20:00,18.5,734.4,760.3,,48,Wind blowing from the east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,22.5,,,2500 or more  or no clouds.,,,20.0,7.3,No precipitation,12,,,,
12.03.2020 17:00,21.2,732.6,758.2,,35,Wind blowing from the north-east,1,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,30.0,5.1,,,,,,
12.03.2020 14:00,21.0,733.5,759.1,,36,Wind blowing from the east-southeast,1,,3,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.3,21.1,,,2500 or more  or no clouds.,,,30.0,5.4,No precipitation,12,,,,
12.03.2020 11:00,15.5,736.0,762.0,,51,Wind blowing from the west-northwest,1,,,50%., ,,,,,,,2500 or more  or no clouds.,,,21.0,5.4,,,,,,
12.03.2020 08:00,8.6,736.1,762.2,1.2,80,Wind blowing from the north,1,,3,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,18.8,,,2500 or more  or no clouds.,,,20.0,5.3,No precipitation,12,,,,
12.03.2020 05:00,9.9,734.9,760.8,,76,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,22.0,5.9,,,,,,
12.03.2020 02:00,11.0,735.2,761.1,-0.2,68,Wind blowing from the north-west,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,18.8,,,2500 or more  or no clouds.,,,21.0,5.3,No precipitation,12,,,,
11.03.2020 23:00,13.0,735.4,761.5,,61,Wind blowing from the north-east,1,,2,, ,,,5.9,18.8,,,,,,18.0,5.7,No precipitation,6,,,,
11.03.2020 20:00,15.9,734.2,760.3,1.3,46,Wind blowing from the north,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,18.8,,,2500 or more  or no clouds.,,,15.0,4.3,No precipitation,12,,,,
11.03.2020 17:00,18.5,732.9,758.8,,29,Wind blowing from the west,1,,,100%., ,,,,,,,2500 or more  or no clouds.,,,26.0,0.1,,,,,,
11.03.2020 14:00,17.3,734.8,760.9,-3.6,32,Wind blowing from the west,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,17.6,,,2500 or more  or no clouds.,,,27.0,0.5,No precipitation,12,,,,
11.03.2020 11:00,12.6,738.4,764.6,,45,Wind blowing from the north-west,1,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,24.0,1.0,,,,,,
11.03.2020 08:00,6.6,738.7,765.1,,78,Wind blowing from the north-east,1,,,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,17.6,,,2500 or more  or no clouds.,,,22.0,3.0,No precipitation,12,,,,
11.03.2020 05:00,6.6,738.0,764.2,,76,Wind blowing from the east-northeast,1,,,, ,,,,,,,,,,27.0,2.7,,,,,,
11.03.2020 02:00,8.3,738.7,765.0,-0.6,64,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,17.6,,,2500 or more  or no clouds.,,,28.0,1.9,No precipitation,12,,,,
10.03.2020 23:00,9.8,739.3,765.7,,57,Wind blowing from the east,1,,4,, ,,,5.2,17.6,,,,,,24.0,1.7,No precipitation,6,,,,
10.03.2020 20:00,14.2,737.9,764.3,,38,Wind blowing from the south-east,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,17.6,,,2500 or more  or no clouds.,,,17.0,0.1,No precipitation,12,,,,
10.03.2020 17:00,17.6,738.1,764.4,,25,Wind blowing from the east,1,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,27.0,-2.6,,,,,,
10.03.2020 14:00,15.7,740.4,766.7,,40,Wind blowing from the east-northeast,2,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,15.8,,,2500 or more  or no clouds.,,,28.0,2.2,No precipitation,12,,,,
10.03.2020 11:00,10.8,743.7,770.3,,68,Wind blowing from the east,1,,2,90  or more  but not 100%, ,,,5.2,15.3,,,,,,22.0,5.1,No precipitation,6,,,,
10.03.2020 08:00,5.6,743.4,770.1,1.4,90,Wind blowing from the north-northeast,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,15.3,,,2500 or more  or no clouds.,,,22.0,4.1,Trace of precipitation,12,,,,
10.03.2020 05:00,5.9,742.0,768.5,,89,Wind blowing from the north-east,1,,,, ,,,,,,,,,,28.0,4.2,,,,,,
10.03.2020 02:00,7.0,742.9,769.3,,84,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,15.3,,,2500 or more  or no clouds.,,,30.0,4.5,No precipitation,12,,,,
09.03.2020 20:00,12.1,740.9,767.2,2.2,57,Wind blowing from the east,1,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.3,,,2500 or more  or no clouds.,,,30.0,3.8,Trace of precipitation,12,,,,
09.03.2020 17:00,15.1,738.7,764.8,,42,Wind blowing from the south,2,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,30.0,2.3,,,,,,
09.03.2020 14:00,14.0,738.8,765.0,-0.8,52,Wind blowing from the south-east,3,,6,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,15.9,,,2500 or more  or no clouds.,,,30.0,4.3,Trace of precipitation,12,,,,
09.03.2020 11:00,12.8,739.6,765.9,,69,Wind blowing from the south-southeast,3,,5,90  or more  but not 100%, ,,,11.1,,,,2500 or more  or no clouds.,,,21.0,7.3,No precipitation,6,,,,
09.03.2020 08:00,11.3,737.8,764.1,1.9,87,Wind blowing from the west-southwest,2,,4,100%.,Shower(s) of hail  or of rain and hail. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,,,,1500-2000,,,5.0,9.2,0.9,12,,,,
09.03.2020 05:00,11.2,735.9,762.0,,96,Wind blowing from the north-northeast,1,,3,,Mist. ,,,11.1,,,,,,,1.7,10.6,0.2,6,,,,
09.03.2020 02:00,11.6,736.6,762.6,,96,Wind blowing from the east-northeast,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,16.0,,,2500 or more  or no clouds.,,,1.9,11.0,3.0,12,,,,
08.03.2020 23:00,11.8,736.1,762.1,,94,Wind blowing from the east,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.7,16.8,,,,,,3.3,10.9,2.0,6,,,,
08.03.2020 20:00,12.1,733.3,759.2,2.2,91,Wind blowing from the south-east,1,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,17.5,,,2500 or more  or no clouds.,,,4.0,10.7,2.0,12,,,,
08.03.2020 17:00,12.6,731.1,756.9,,85,Wind blowing from the south-southeast,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,20.3,,,2500 or more  or no clouds.,,,5.0,10.1,0.8,6,,,,
08.03.2020 14:00,15.9,730.3,755.8,-1.2,52,Wind blowing from the east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,,,,2500 or more  or no clouds.,,,11.0,6.1,No precipitation,12,,,,
08.03.2020 11:00,15.8,731.5,757.1,,52,Wind blowing from the east-northeast,1,,5,, ,,,13.2,,,,,,,11.0,6.0,No precipitation,6,,,,
08.03.2020 08:00,14.4,730.5,756.1,,59,Wind blowing from the east-southeast,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.9,,,2500 or more  or no clouds.,,,10.0,6.5,Trace of precipitation,12,,,,
08.03.2020 05:00,14.6,730.1,755.5,,60,Wind blowing from the south-east,1,,,, ,,,,,,,,,,13.0,6.9,,,,,,
08.03.2020 02:00,15.7,731.2,756.6,-0.9,51,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.9,,,2500 or more  or no clouds.,,,17.0,5.6,No precipitation,12,,,,
07.03.2020 23:00,16.8,732.1,757.8,,52,Wind blowing from the east-northeast,1,,,, ,,,6.2,20.9,,,,,,19.0,6.9,No precipitation,6,,,,
07.03.2020 20:00,17.5,731.3,757.3,1.0,55,Wind blowing from the east,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,20.9,,,2500 or more  or no clouds.,,,13.0,8.4,No precipitation,12,,,,
07.03.2020 17:00,20.3,730.3,756.1,,39,Wind blowing from the west,1,,,100%., ,,,,,,,2500 or more  or no clouds.,,,30.0,5.9,,,,,,
07.03.2020 14:00,20.2,732.4,758.1,-3.6,38,Wind blowing from the west-southwest,2,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,20.4,,,2500 or more  or no clouds.,,,26.0,5.4,No precipitation,12,,,,
07.03.2020 11:00,13.2,736.0,762.1,,62,Wind blowing from the north-northwest,1,,,no clouds, ,,,,,,,,,,17.0,5.9,,,,,,
07.03.2020 08:00,6.8,736.2,762.4,1.0,87,Wind blowing from the east-northeast,1,,2,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,20.4,,,2500 or more  or no clouds.,,,14.0,4.8,No precipitation,12,,,,
07.03.2020 05:00,7.5,735.2,761.2,,85,Wind blowing from the east,1,,,, ,,,,,,,,,,16.0,5.1,,,,,,
07.03.2020 02:00,9.4,735.4,761.4,,79,Wind blowing from the north-northeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,20.4,,,2500 or more  or no clouds.,,,16.0,5.9,No precipitation,12,,,,
06.03.2020 23:00,11.6,735.6,761.8,,67,Wind blowing from the north-east,0,,4,, ,,,7.4,20.4,,,,,,18.0,5.7,No precipitation,6,,,,
06.03.2020 20:00,15.0,734.1,760.2,1.5,57,Wind blowing from the east-northeast,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,20.4,,,,,,13.0,6.6,No precipitation,12,,,,
06.03.2020 17:00,20.1,732.6,758.4,,32,Wind blowing from the west,2,,,no clouds, ,,,,,,,,,,30.0,2.9,,,,,,
06.03.2020 14:00,17.9,733.8,759.6,-2.8,44,Wind blowing from the north-east,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,18.0,,,,,,11.0,5.5,No precipitation,12,,,,
06.03.2020 11:00,11.1,736.6,762.7,,68,Wind blowing from the east-northeast,1,,3,90  or more  but not 100%, ,,,7.4,18.0,,,2500 or more  or no clouds.,,,10.0,5.4,No precipitation,6,,,,
06.03.2020 08:00,8.1,735.7,761.8,,80,Wind blowing from the east-northeast,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,18.0,,,2500 or more  or no clouds.,,,13.0,4.9,Trace of precipitation,12,,,,
06.03.2020 05:00,8.7,734.8,760.7,,76,Wind blowing from the north-east,1,,,, ,,,,,,,,,,15.0,4.7,,,,,,
06.03.2020 02:00,10.7,735.6,761.6,-0.1,59,Wind blowing from the south-east,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.0,,,2500 or more  or no clouds.,,,16.0,3.0,No precipitation,12,,,,
05.03.2020 23:00,12.1,735.7,761.8,,63,Wind blowing from the north-east,1,,4,, ,,,5.3,18.0,,,,,,19.0,5.3,No precipitation,6,,,,
05.03.2020 20:00,14.8,734.8,761.1,0.3,45,Wind blowing from the south-east,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,18.0,,,2500 or more  or no clouds.,,,24.0,3.0,No precipitation,12,,,,
05.03.2020 17:00,17.4,734.5,760.4,,34,Wind blowing from the north-west,1,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,30.0,1.4,,,,,,
05.03.2020 14:00,15.8,736.9,763.0,-3.9,37,Wind blowing from the north,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,19.7,,,2500 or more  or no clouds.,,,20.0,1.2,No precipitation,12,,,,
05.03.2020 11:00,12.5,740.8,767.1,,45,Calm  no wind,0,,,no clouds, ,,,,,,,,,,16.0,0.9,,,,,,
05.03.2020 08:00,5.5,741.3,767.8,0.2,83,Wind blowing from the north,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,19.7,,,2500 or more  or no clouds.,,,12.0,2.8,No precipitation,12,,,,
05.03.2020 05:00,8.3,741.1,767.2,,65,Wind blowing from the south-east,1,,,, ,,,,,,,,,,13.0,2.1,,,,,,
05.03.2020 02:00,10.2,741.4,767.7,,60,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.7,,,2500 or more  or no clouds.,,,15.0,2.8,No precipitation,12,,,,
04.03.2020 23:00,10.2,740.8,767.2,,60,Wind blowing from the west,0,,4,, ,,,3.2,19.7,,,,,,26.0,2.6,No precipitation,6,,,,
04.03.2020 20:00,13.5,739.1,765.7,0.4,46,Wind blowing from the east-southeast,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.7,,,,,,20.0,2.1,No precipitation,12,,,,
04.03.2020 17:00,19.4,738.7,765.0,,21,Wind blowing from the north-west,1,,,60%., ,,,,,,,2500 or more  or no clouds.,,,30.0,-3.5,,,,,,
04.03.2020 14:00,15.9,740.9,767.4,-3.4,40,Wind blowing from the south-west,1,,3,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,15.9,,,2500 or more  or no clouds.,,,30.0,2.3,No precipitation,12,,,,
04.03.2020 11:00,9.6,744.3,771.1,,71,Wind blowing from the south-southeast,1,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,14.0,4.6,,,,,,
04.03.2020 08:00,3.6,744.6,771.5,1.2,95,Wind blowing from the north-northeast,1,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,13.6,,,2500 or more  or no clouds.,,,8.0,2.9,No precipitation,12,,,,
04.03.2020 05:00,3.8,743.4,770.1,,94,Wind blowing from the north-east,1,,,, ,,,,,,,,,,9.0,2.9,,,,,,
04.03.2020 02:00,4.9,743.5,770.2,-0.1,93,Wind blowing from the north-northwest,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,13.6,,,2500 or more  or no clouds.,,,10.0,3.9,No precipitation,12,,,,
03.03.2020 23:00,6.9,743.6,770.4,,84,Wind blowing from the east,1,,3,, ,,,6.5,13.6,,,,,,14.0,4.4,No precipitation,6,,,,
03.03.2020 20:00,10.0,742.0,768.7,,71,Wind blowing from the north-northeast,2,,3,20–30%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,13.6,,,2500 or more  or no clouds.,,,13.0,5.0,Trace of precipitation,12,,,,
03.03.2020 17:00,12.9,740.8,767.2,,53,Wind blowing from the north-northeast,1,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,18.0,3.6,,,,,,
