Local time in Kunming,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 05:00,11.8,609.0,757.4,,76,Wind blowing from the west,1,,10,, ,,,9.6,25.5,,,,,,9.0,7.7,No precipitation,6,,,,
17.03.2020 02:00,13.5,609.1,757.3,-0.3,63,Wind blowing from the south-southeast,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,25.5,,,2500 or more  or no clouds.,,,9.0,6.6,No precipitation,12,,,,
16.03.2020 23:00,15.0,609.4,757.7,,61,Wind blowing from the west-northwest,1,,16,, ,,,9.6,25.5,,,,,,13.0,7.5,No precipitation,6,,,,
16.03.2020 20:00,20.9,608.2,757.9,1.2,33,Wind blowing from the south-west,2,,16,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,25.5,,,600-1000,,,19.0,4.0,No precipitation,12,,,,
16.03.2020 17:00,24.6,607.0,754.9,,24,Wind blowing from the west,6,,16,60%., ,,,9.6,25.9,,,600-1000,,,22.0,2.7,No precipitation,6,,,,
16.03.2020 14:00,23.9,608.0,755.9,-2.1,25,Wind blowing from the west,8,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,26.4,,,2500 or more  or no clouds.,,,22.0,2.7,No precipitation,12,,,,
16.03.2020 11:00,21.8,610.1,757.9,,29,Wind blowing from the south-west,4,,9,no clouds, ,,,9.6,26.4,,,,,,20.0,3.0,No precipitation,6,,,,
16.03.2020 08:00,10.1,609.5,759.2,,68,Wind blowing from the south-southeast,0,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,26.4,,,600-1000,,,18.0,4.5,No precipitation,12,,,,
16.03.2020 05:00,11.9,608.5,756.5,,63,Wind blowing from the west,2,,11,, ,,,7.8,26.4,,,,,,15.0,4.9,No precipitation,6,,,,
16.03.2020 02:00,13.3,609.1,756.9,,46,Wind blowing from the north-east,0,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,26.4,,,2500 or more  or no clouds.,,,25.0,1.9,No precipitation,12,,,,
15.03.2020 23:00,17.7,609.0,756.7,,52,Wind blowing from the west-northwest,1,,,, ,,,7.8,26.4,,,,,,22.0,7.7,No precipitation,6,,,,
15.03.2020 20:00,22.2,607.4,757.0,1.1,24,Wind blowing from the west-southwest,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,26.4,,,,,,30.0,0.7,No precipitation,12,,,,
15.03.2020 17:00,25.7,606.3,754.3,,24,Wind blowing from the west-southwest,6,,14,20–30%., ,,,7.8,26.8,,,600-1000,,,29.0,3.6,No precipitation,6,,,,
15.03.2020 14:00,25.3,607.9,755.5,-2.6,22,Wind blowing from the west-southwest,7,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,27.1,,,2500 or more  or no clouds.,,,30.0,2.1,No precipitation,12,,,,
15.03.2020 11:00,20.9,610.5,759.0,,38,Wind blowing from the south-southwest,3,,,10%  or less  but not 0, ,,,7.8,27.1,,,2500 or more  or no clouds.,,,15.0,6.1,No precipitation,6,,,,
15.03.2020 08:00,8.5,610.1,760.2,0.4,96,Wind blowing from the south-southwest,1,,9,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.8,27.1,,,,,,3.5,7.9,No precipitation,12,,,,
15.03.2020 05:00,9.6,609.7,758.3,,86,Wind blowing from the north-northwest,1,,9,, ,,,9.6,27.1,,,,,,7.0,7.4,No precipitation,6,,,,
15.03.2020 02:00,13.4,610.4,759.2,0.4,68,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,27.1,,,2500 or more  or no clouds.,,,10.0,7.6,No precipitation,12,,,,
14.03.2020 23:00,16.5,610.0,759.5,,48,Wind blowing from the south-east,2,,9,, ,,,9.7,27.1,,,,,,21.0,5.5,No precipitation,6,,,,
14.03.2020 20:00,22.8,608.2,757.4,1.0,24,Wind blowing from the south-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,27.1,,,,,,30.0,1.2,No precipitation,12,,,,
14.03.2020 17:00,26.7,607.2,754.6,,16,Wind blowing from the west-southwest,4,,9,no clouds, ,,,9.7,27.1,,,,,,30.0,-1.2,No precipitation,6,,,,
14.03.2020 14:00,22.7,609.2,758.7,-2.6,38,Wind blowing from the south-southeast,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,26.5,,,,,,16.0,7.7,No precipitation,12,,,,
14.03.2020 11:00,16.6,611.8,762.4,,61,Wind blowing from the west-northwest,2,,5,no clouds, ,,,9.7,26.5,,,,,,7.0,9.1,No precipitation,6,,,,
14.03.2020 08:00,9.9,611.5,761.9,1.3,86,Wind blowing from the north-northwest,0,,5,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,26.5,,,,,,6.0,7.7,No precipitation,12,,,,
14.03.2020 05:00,11.9,610.2,758.5,,74,Wind blowing from the north-northeast,3,,11,, ,,,9.9,26.5,,,,,,10.0,7.4,No precipitation,6,,,,
14.03.2020 02:00,10.0,610.6,760.0,0.0,72,Wind blowing from the north-east,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,26.5,,,2500 or more  or no clouds.,,,11.0,5.2,No precipitation,12,,,,
13.03.2020 23:00,14.8,610.6,759.7,,44,Wind blowing from the west,1,,11,, ,,,10.9,26.5,,,,,,17.0,2.7,No precipitation,6,,,,
13.03.2020 20:00,21.3,608.8,757.6,0.9,25,Wind blowing from the south-southwest,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,26.5,,,,,,30.0,0.5,No precipitation,12,,,,
13.03.2020 17:00,26.1,607.9,754.6,,18,Wind blowing from the south-southwest,4,,11,no clouds, ,,,10.9,26.5,,,,,,30.0,0.0,No precipitation,6,,,,
13.03.2020 14:00,24.3,609.6,757.5,,17,Wind blowing from the west-southwest,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,25.1,,,,,,30.0,-2.3,No precipitation,12,,,,
13.03.2020 11:00,20.4,611.2,759.5,,27,Wind blowing from the west,4,,10,no clouds, ,,,10.9,25.1,,,,,,30.0,0.8,No precipitation,6,,,,
13.03.2020 08:00,13.8,609.9,759.1,1.1,44,Wind blowing from the south-west,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,25.1,,,,,,28.0,1.8,No precipitation,12,,,,
13.03.2020 05:00,15.3,608.8,756.3,,39,Wind blowing from the west,3,,12,, ,,,10.9,25.1,,,,,,30.0,1.4,No precipitation,6,,,,
13.03.2020 02:00,14.3,609.2,757.6,0.5,41,Wind blowing from the south-west,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.1,25.1,,,2500 or more  or no clouds.,,,29.0,1.2,No precipitation,12,,,,
12.03.2020 23:00,18.0,608.7,756.7,,32,Wind blowing from the south-west,3,,16,, ,,,14.2,25.1,,,,,,28.0,1.1,No precipitation,6,,,,
12.03.2020 20:00,20.6,606.8,754.9,1.1,28,Wind blowing from the south-west,3,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,25.1,,,,,,28.0,1.5,No precipitation,12,,,,
12.03.2020 17:00,24.4,605.7,752.5,,24,Wind blowing from the west-southwest,6,,16,no clouds, ,,,14.2,25.1,,,,,,30.0,2.5,No precipitation,6,,,,
12.03.2020 14:00,22.5,607.2,754.9,-1.8,27,Wind blowing from the west,8,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,23.2,,,,,,30.0,2.6,No precipitation,12,,,,
12.03.2020 11:00,19.3,609.0,758.1,,33,Wind blowing from the west-southwest,7,,15,no clouds, ,,,14.2,22.6,,,,,,30.0,2.6,No precipitation,6,,,,
12.03.2020 08:00,14.8,608.5,757.4,1.1,43,Wind blowing from the west-southwest,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,22.6,,,2500 or more  or no clouds.,,,30.0,2.4,No precipitation,12,,,,
12.03.2020 05:00,14.9,607.4,755.2,,41,Wind blowing from the west-southwest,4,,13,, ,,,5.7,22.6,,,,,,27.0,1.8,No precipitation,6,,,,
12.03.2020 02:00,15.0,607.6,755.5,0.5,38,Wind blowing from the south-west,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,22.6,,,2500 or more  or no clouds.,,,25.0,0.8,No precipitation,12,,,,
11.03.2020 23:00,14.6,607.1,756.7,,43,Wind blowing from the west-southwest,2,,16,, ,,,5.7,22.6,,,,,,15.0,2.2,No precipitation,6,,,,
11.03.2020 20:00,19.2,605.2,755.6,0.8,28,Wind blowing from the south-west,3,,16,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,22.6,,,600-1000,,,26.0,0.3,No precipitation,12,,,,
11.03.2020 17:00,22.3,604.4,753.3,,22,Wind blowing from the west-southwest,7,,16,20–30%., ,,,5.7,22.6,,,600-1000,,,27.0,-0.4,No precipitation,6,,,,
11.03.2020 14:00,22.3,606.4,756.0,-2.4,20,Wind blowing from the south-west,7,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,22.3,,,600-1000,,,21.0,-1.7,No precipitation,12,,,,
11.03.2020 11:00,16.1,608.8,760.4,,48,Wind blowing from the south-southwest,3,,6,70 – 80%., ,,,5.7,16.1,,,600-1000,,,10.0,5.1,No precipitation,6,,,,
11.03.2020 08:00,6.6,608.5,762.1,0.8,96,Wind blowing from the west-southwest,2,,5,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,16.0,,,600-1000,,,3.2,6.0,No precipitation,12,,,,
11.03.2020 05:00,8.3,607.7,759.4,,95,Wind blowing from the west-southwest,1,,7,,Mist. ,,,7.0,16.0,,,,,,2.7,7.5,No precipitation,6,,,,
11.03.2020 02:00,7.8,608.5,761.1,0.0,95,Wind blowing from the north-east,0,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,16.0,,,2500 or more  or no clouds.,,,5.0,7.1,No precipitation,12,,,,
10.03.2020 23:00,8.8,608.5,761.5,,81,Wind blowing from the east-northeast,1,,8,,Haze. ,,,7.0,16.0,,,,,,6.0,5.7,No precipitation,6,,,,
10.03.2020 20:00,11.4,607.1,759.1,,70,Wind blowing from the east-northeast,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,,,,,,,9.0,6.1,No precipitation,12,,,,
10.03.2020 17:00,15.5,606.7,757.7,,51,Wind blowing from the east,4,,8,10%  or less  but not 0, ,,,7.0,21.8,,,600-1000,,,13.0,5.4,No precipitation,6,,,,
10.03.2020 14:00,13.3,609.2,761.9,,55,Wind blowing from the east-southeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,,,,600-1000,,,14.0,4.5,No precipitation,12,,,,
10.03.2020 11:00,11.2,611.1,763.8,,65,Wind blowing from the east,4,,7,100%., ,,,7.0,,,,600-1000,,,13.0,4.7,No precipitation,6,,,,
10.03.2020 08:00,10.8,609.4,760.0,1.7,71,Wind blowing from the north-east,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,22.3,,,600-1000,,,10.0,5.8,No precipitation,12,,,,
10.03.2020 05:00,9.9,607.7,757.4,,61,Wind blowing from the north-east,3,,10,, ,,,7.0,22.3,,,,,,15.0,2.7,No precipitation,6,,,,
10.03.2020 02:00,8.4,607.5,757.6,,80,Wind blowing from the north-west,1,,11,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,22.3,,,2500 or more  or no clouds.,,,2.0,5.2,No precipitation,12,,,,
09.03.2020 20:00,17.9,605.8,755.5,1.9,29,Wind blowing from the south-west,3,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,22.3,,,600-1000,,,30.0,-0.4,No precipitation,12,,,,
09.03.2020 17:00,20.8,603.9,751.9,,24,Wind blowing from the west-southwest,4,,11,40%., ,,,10.1,22.3,,,600-1000,,,30.0,-0.5,No precipitation,6,,,,
09.03.2020 14:00,20.7,605.2,752.9,-1.8,27,Wind blowing from the south-west,5,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,21.9,,,600-1000,,,30.0,1.0,No precipitation,12,,,,
09.03.2020 11:00,16.8,607.0,755.8,,35,Wind blowing from the west,4,,14,no clouds, ,,,10.1,21.9,,,,,,30.0,1.3,No precipitation,6,,,,
09.03.2020 08:00,10.9,606.1,755.7,1.3,46,Wind blowing from the south,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,21.9,,,,,,30.0,-0.3,No precipitation,12,,,,
09.03.2020 05:00,12.7,604.8,752.8,,41,Wind blowing from the west-southwest,5,,14,, ,,,12.4,21.9,,,,,,30.0,-0.2,No precipitation,6,,,,
09.03.2020 02:00,14.6,605.3,753.3,-0.1,37,Wind blowing from the west,5,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,21.9,,,2500 or more  or no clouds.,,,30.0,0.1,No precipitation,12,,,,
08.03.2020 23:00,16.4,605.4,753.7,,32,Wind blowing from the west-southwest,6,,18,, ,,,12.4,21.9,,,,,,30.0,-0.3,No precipitation,6,,,,
08.03.2020 20:00,18.5,603.6,751.9,1.1,26,Wind blowing from the west-southwest,6,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,21.9,,,,,,30.0,-1.3,No precipitation,12,,,,
08.03.2020 17:00,21.5,602.5,750.0,,22,Wind blowing from the west-southwest,7,,18,10%  or less  but not 0, ,,,12.4,21.9,,,600-1000,,,30.0,-1.1,No precipitation,6,,,,
08.03.2020 14:00,20.1,603.9,751.9,-2.3,29,Wind blowing from the west,8,,18,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,21.9,,,600-1000,,,30.0,1.5,No precipitation,12,,,,
08.03.2020 11:00,17.1,606.2,755.2,,36,Wind blowing from the west-southwest,8,,17,20–30%., ,,,12.4,21.9,,,600-1000,,,30.0,1.9,No precipitation,6,,,,
08.03.2020 08:00,13.8,605.5,754.3,0.5,47,Wind blowing from the west,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,21.9,,,,,,30.0,2.7,No precipitation,12,,,,
08.03.2020 05:00,12.7,605.0,753.3,,46,Wind blowing from the south-west,2,,15,, ,,,11.2,21.9,,,,,,28.0,1.4,No precipitation,6,,,,
08.03.2020 02:00,13.5,606.4,754.9,-0.8,45,Wind blowing from the west-southwest,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,21.9,,,2500 or more  or no clouds.,,,30.0,1.8,No precipitation,12,,,,
07.03.2020 23:00,14.8,607.2,756.4,,37,Wind blowing from the south-west,2,,15,, ,,,11.2,21.9,,,,,,30.0,0.3,No precipitation,6,,,,
07.03.2020 20:00,18.2,606.1,755.4,0.6,30,Wind blowing from the west,6,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,21.9,,,,,,30.0,0.4,No precipitation,12,,,,
07.03.2020 17:00,20.7,605.5,754.3,,29,Wind blowing from the west-southwest,8,,15,20–30%., ,,,11.2,21.9,,,600-1000,,,30.0,2.0,No precipitation,6,,,,
07.03.2020 14:00,20.4,606.7,755.2,-2.1,31,Wind blowing from the west-southwest,8,,15,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,20.4,,,2500 or more  or no clouds.,,,30.0,2.7,No precipitation,12,,,,
07.03.2020 11:00,17.3,608.8,758.5,,40,Wind blowing from the west-southwest,7,,14,10%  or less  but not 0, ,,,11.2,20.0,,,2500 or more  or no clouds.,,,30.0,3.6,No precipitation,6,,,,
07.03.2020 08:00,12.3,608.2,758.5,0.6,53,Wind blowing from the west-southwest,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,20.0,,,,,,30.0,3.0,No precipitation,12,,,,
07.03.2020 05:00,11.3,607.6,757.4,,57,Wind blowing from the west-southwest,2,,14,, ,,,9.5,20.0,,,,,,28.0,3.1,No precipitation,6,,,,
07.03.2020 02:00,13.6,608.4,757.6,-0.4,49,Wind blowing from the west-southwest,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,20.0,,,2500 or more  or no clouds.,,,30.0,3.1,No precipitation,12,,,,
06.03.2020 23:00,14.6,608.8,758.5,,43,Wind blowing from the west-southwest,6,,19,, ,,,9.5,20.0,,,,,,30.0,2.2,No precipitation,6,,,,
06.03.2020 20:00,16.6,607.3,758.1,0.6,39,Wind blowing from the west-southwest,4,,19,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,20.0,,,600-1000,,,30.0,2.6,No precipitation,12,,,,
06.03.2020 17:00,18.8,606.7,756.7,,30,Wind blowing from the west-southwest,8,,19,40%., ,,,9.5,20.0,,,600-1000,,,30.0,0.9,No precipitation,6,,,,
06.03.2020 14:00,19.4,607.5,756.8,-1.8,33,Wind blowing from the west,8,,19,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,19.7,,,600-1000,,,27.0,2.7,No precipitation,12,,,,
06.03.2020 11:00,16.8,609.3,759.5,,40,Wind blowing from the west,7,,14,no clouds, ,,,9.5,19.6,,,,,,23.0,3.1,No precipitation,6,,,,
06.03.2020 08:00,9.8,608.5,759.7,1.1,71,Wind blowing from the south-west,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,19.6,,,,,,9.0,4.8,No precipitation,12,,,,
06.03.2020 05:00,10.2,607.4,757.4,,68,Wind blowing from the south-west,2,,12,, ,,,7.3,19.6,,,,,,15.0,4.6,No precipitation,6,,,,
06.03.2020 02:00,12.3,608.2,757.7,-0.3,56,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,19.6,,,2500 or more  or no clouds.,,,22.0,3.8,No precipitation,12,,,,
05.03.2020 23:00,13.4,608.5,759.0,,62,Wind blowing from the west,2,,14,, ,,,7.3,19.6,,,,,,16.0,6.3,No precipitation,6,,,,
05.03.2020 20:00,16.0,606.9,758.5,0.8,42,Wind blowing from the south-west,3,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,19.6,,,600-1000,,,26.0,3.1,No precipitation,12,,,,
05.03.2020 17:00,19.2,606.1,755.6,,34,Wind blowing from the west-southwest,6,,14,60%., ,,,7.3,19.6,,,600-1000,,,23.0,3.0,No precipitation,6,,,,
05.03.2020 14:00,19.2,607.8,757.8,-2.5,37,Wind blowing from the south-west,4,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,19.6,,,600-1000,,,26.0,4.2,No precipitation,12,,,,
05.03.2020 11:00,15.1,610.3,762.4,,64,Wind blowing from the south-west,2,,6,40%., ,,,7.3,18.5,,,600-1000,,,15.0,8.3,No precipitation,6,,,,
05.03.2020 08:00,7.5,609.2,762.3,0.6,95,Wind blowing from the west-northwest,1,,5,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,18.5,,,600-1000,,,2.0,6.8,No precipitation,12,,,,
05.03.2020 05:00,10.8,608.6,759.2,,85,Wind blowing from the south,3,,,, ,,,6.1,18.5,,,,,,7.0,8.4,No precipitation,6,,,,
05.03.2020 02:00,10.6,609.4,760.9,-0.1,84,Wind blowing from the south-east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,18.5,,,2500 or more  or no clouds.,,,12.0,8.0,0.1,12,,,,
04.03.2020 23:00,9.2,609.5,762.1,,87,Wind blowing from the east,1,,11,, ,,,6.1,18.5,,,,,,12.0,7.2,No precipitation,6,,,,
04.03.2020 20:00,12.9,608.3,761.0,1.1,71,Wind blowing from the east-northeast,3,,11,60%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,18.5,,,600-1000,,,14.0,7.8,0.1,12,,,,
04.03.2020 17:00,17.6,607.2,758.0,,47,Wind blowing from the south-southeast,4,,11,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,17.8,,,600-1000,,,27.0,6.2,0.1,6,,,,
04.03.2020 14:00,14.9,609.0,761.0,-2.2,58,Wind blowing from the south-southeast,3,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,20.7,,,2500 or more  or no clouds.,,,21.0,6.7,0.2,12,,,,
04.03.2020 11:00,13.2,611.2,764.1,,65,Wind blowing from the south-east,3,,10,60%., ,,,6.1,20.7,,,600-1000,,,14.0,6.8,0.2,6,,,,
04.03.2020 08:00,7.9,609.7,763.7,,89,Wind blowing from the east-southeast,1,,10,60%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,600-1000,,,5.0,6.2,0.2,12,,,,
04.03.2020 05:00,8.8,608.7,761.6,,86,Wind blowing from the west,1,,18,, ,,,5.5,,,,,,,9.0,6.6,No precipitation,6,,,,
04.03.2020 02:00,8.7,609.1,759.9,-0.6,83,Wind blowing from the west,1,,23,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,20.7,,,2500 or more  or no clouds.,,,12.0,6.0,2.0,12,,,,
03.03.2020 23:00,9.4,609.7,762.4,,84,Wind blowing from the south-west,3,,23,, ,,,5.5,20.7,,,,,,11.0,6.8,0.8,6,,,,
03.03.2020 20:00,9.6,608.8,763.2,1.1,86,Wind blowing from the south-southwest,1,,23,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,20.7,,,600-1000,,,30.0,7.4,3.0,12,,,,
03.03.2020 17:00,11.6,607.7,761.0,,76,Wind blowing from the west-northwest,13,,23,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,21.8,,,600-1000,,,6.0,7.5,1.0,6,,,,
03.03.2020 14:00,19.3,607.7,758.2,-2.6,33,Wind blowing from the west-southwest,4,,,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,22.4,,,600-1000,,,30.0,2.6,1.0,12,,,,
03.03.2020 11:00,12.5,610.3,761.8,,66,Wind blowing from the west-northwest,1,,12,40%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,22.4,,,600-1000,,,17.0,6.3,1.0,6,,,,
03.03.2020 08:00,5.9,608.6,760.6,0.9,91,Wind blowing from the south-southwest,1,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,22.4,,,1000-1500,,,15.0,4.5,No precipitation,12,,,,
03.03.2020 05:00,6.6,607.7,758.1,,88,Wind blowing from the west-northwest,1,,11,, ,,,5.4,22.4,,,,,,16.0,4.8,No precipitation,6,,,,
