Local time in Dongtai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 17:00,15.0,766.0,766.5,,45,Wind blowing from the south-east,2,,,100%., ,,,5.9,18.0,,,2500 or more  or no clouds.,,,19.0,3.2,No precipitation,6,,,,
16.03.2020 14:00,15.4,766.6,767.1,-2.3,43,Wind blowing from the south-southeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,19.0,,,2500 or more  or no clouds.,,,26.0,2.9,No precipitation,12,,,,
16.03.2020 11:00,12.0,768.9,769.3,,49,Wind blowing from the east-southeast,4,,8,100%., ,,,5.9,19.0,,,2500 or more  or no clouds.,,,28.0,1.6,No precipitation,6,,,,
16.03.2020 08:00,9.0,769.3,769.7,,63,Wind blowing from the east-southeast,3,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,2500 or more  or no clouds.,,,24.0,2.3,No precipitation,12,,,,
16.03.2020 05:00,6.1,768.5,769.0,,83,Wind blowing from the east,2,,11,, ,,,3.5,19.0,,,,,,22.0,3.4,No precipitation,6,,,,
16.03.2020 02:00,7.7,768.2,768.7,,78,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,19.0,,,2500 or more  or no clouds.,,,19.0,4.1,No precipitation,12,,,,
15.03.2020 23:00,8.8,767.5,767.9,,83,Wind blowing from the east-northeast,4,,,,Mist. ,,,3.5,19.0,,,,,,7.0,6.1,No precipitation,6,,,,
15.03.2020 20:00,10.1,764.7,765.1,1.9,71,Wind blowing from the west-southwest,1,,11,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,19.0,,,2500 or more  or no clouds.,,,5.0,5.1,No precipitation,12,,,,
15.03.2020 17:00,18.0,762.8,763.2,,31,Wind blowing from the west-northwest,3,,11,no clouds, ,,,3.5,19.0,,,,,,23.0,0.6,No precipitation,6,,,,
15.03.2020 14:00,18.4,762.7,763.0,-1.6,32,Wind blowing from the west,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,18.5,,,,,,19.0,1.4,No precipitation,12,,,,
15.03.2020 11:00,16.7,764.3,764.7,,35,Wind blowing from the west,5,,9,no clouds, ,,,3.5,16.9,,,,,,18.0,1.2,No precipitation,6,,,,
15.03.2020 08:00,8.3,764.8,765.2,0.8,73,Wind blowing from the west-southwest,3,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.5,13.5,,,,,,5.0,3.6,No precipitation,12,,,,
15.03.2020 05:00,5.3,764.0,764.5,,80,Wind blowing from the west-southwest,2,,6,,Haze. ,,,1.5,13.5,,,,,,6.0,2.1,No precipitation,6,,,,
15.03.2020 02:00,6.4,764.4,764.8,-0.4,79,Wind blowing from the south-west,2,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,13.5,,,2500 or more  or no clouds.,,,6.0,3.0,No precipitation,12,,,,
14.03.2020 23:00,7.7,764.8,765.2,,80,Wind blowing from the west-southwest,3,,,,Mist. ,,,1.5,13.5,,,,,,6.0,4.5,No precipitation,6,,,,
14.03.2020 20:00,7.7,764.6,765.1,1.0,96,Wind blowing from the west,0,,10,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,13.5,,,,,,4.6,7.1,No precipitation,12,,,,
14.03.2020 17:00,12.9,763.6,764.1,,57,Wind blowing from the west,3,,10,no clouds, ,,,1.5,13.5,,,,,,13.0,4.6,No precipitation,6,,,,
14.03.2020 14:00,12.5,765.0,765.4,-3.0,55,Wind blowing from the west,5,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.5,12.7,,,600-1000,,,18.0,3.7,No precipitation,12,,,,
14.03.2020 11:00,10.1,768.0,768.4,,61,Wind blowing from the west,5,,9,20–30%., ,,,1.5,10.5,,,600-1000,,,14.0,2.9,No precipitation,6,,,,
14.03.2020 08:00,4.9,768.8,769.3,0.4,100,Wind blowing from the west-northwest,2,,7,no clouds,Mist. ,Rain.,Fog or ice fog or thick haze.,1.5,11.0,,,,,,6.0,4.9,0.1,12,,,,
14.03.2020 05:00,1.9,768.4,768.8,,100,Wind blowing from the west,1,,8,,Mist. ,,,1.9,11.0,,,,,,3.4,1.9,No precipitation,6,,,,
14.03.2020 02:00,2.8,769.0,769.5,-1.3,100,Wind blowing from the west-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.8,11.0,,,2500 or more  or no clouds.,,,10.0,2.8,0.1,12,,,,
13.03.2020 23:00,5.5,770.3,770.8,,87,Wind blowing from the north,4,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,5.5,12.9,,,,,,14.0,3.5,0.1,6,,,,
13.03.2020 20:00,7.1,769.6,770.0,0.9,75,Wind blowing from the north,2,,12,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.2,,,600-1000,,,22.0,3.0,Trace of precipitation,12,,,,
13.03.2020 17:00,8.2,768.7,769.2,,74,Wind blowing from the north-northeast,4,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,,,,600-1000,,,18.0,3.7,No precipitation,6,,,,
13.03.2020 14:00,9.4,767.4,767.8,,68,Wind blowing from the north-east,7,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,,,,2500 or more  or no clouds.,,,16.0,3.8,No precipitation,12,,,,
13.03.2020 11:00,10.5,767.7,768.1,,100,Wind blowing from the north-east,5,,12,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,17.2,,,600-1000,,,2.9,10.5,No precipitation,6,,,,
13.03.2020 08:00,10.6,766.6,767.0,1.9,100,Wind blowing from the north-northeast,5,,9,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,17.2,,,600-1000,,,2.3,10.6,No precipitation,12,,,,
13.03.2020 05:00,9.3,764.7,765.1,,100,Wind blowing from the west-northwest,0,,5,,Mist. ,,,6.9,17.2,,,,,,0.9,9.3,No precipitation,6,,,,
13.03.2020 02:00,8.7,764.2,764.6,-0.3,100,Wind blowing from the east-southeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,17.2,,,2500 or more  or no clouds.,,,1.7,8.7,No precipitation,12,,,,
12.03.2020 23:00,13.0,764.5,764.8,,77,Wind blowing from the east-southeast,1,,,,Haze. ,,,6.9,17.2,,,,,,5.0,9.1,No precipitation,6,,,,
12.03.2020 20:00,14.2,762.7,763.0,1.2,72,Wind blowing from the east-southeast,1,,8,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,17.2,,,2500 or more  or no clouds.,,,4.6,9.2,No precipitation,12,,,,
12.03.2020 17:00,16.8,761.5,761.8,,60,Wind blowing from the south-east,2,,8,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,17.2,,,,,,7.0,9.0,No precipitation,6,,,,
12.03.2020 14:00,16.8,761.9,762.3,-2.0,60,Wind blowing from the east,3,,8,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,17.0,,,2500 or more  or no clouds.,,,4.3,9.0,No precipitation,12,,,,
12.03.2020 11:00,14.5,763.9,764.3,,65,Wind blowing from the south-east,3,,8,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,15.4,,,,,,4.5,8.0,No precipitation,6,,,,
12.03.2020 08:00,9.0,764.3,764.8,0.3,92,Wind blowing from the south-east,3,,,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,,,,2500 or more  or no clouds.,,,1.6,7.8,No precipitation,12,,,,
12.03.2020 05:00,7.0,764.0,764.5,,96,Wind blowing from the south-east,3,,,,Mist. ,,,4.6,15.4,,,,,,1.9,6.4,No precipitation,6,,,,
12.03.2020 02:00,7.8,764.8,765.2,-0.4,84,Wind blowing from the east-southeast,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,15.4,,,2500 or more  or no clouds.,,,3.0,5.3,No precipitation,12,,,,
11.03.2020 23:00,8.7,765.2,765.7,,65,Wind blowing from the east-southeast,3,,,,Haze. ,,,4.6,15.4,,,,,,5.0,2.5,No precipitation,6,,,,
11.03.2020 20:00,10.2,765.1,765.5,0.4,63,Wind blowing from the east-southeast,3,,7,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,15.4,,,,,,5.0,3.5,No precipitation,12,,,,
11.03.2020 17:00,14.5,764.7,765.1,,48,Wind blowing from the south,2,,7,no clouds, ,,,4.6,15.4,,,,,,7.0,3.6,No precipitation,6,,,,
11.03.2020 14:00,14.9,765.2,765.7,-1.7,41,Wind blowing from the west,2,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,15.0,,,2500 or more  or no clouds.,,,8.0,1.8,No precipitation,12,,,,
11.03.2020 11:00,13.2,766.9,767.4,,52,Wind blowing from the west,2,,4,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,13.3,,Sky obscured by fog and/or other meteorological phenomena.,600-1000,,,6.0,3.6,No precipitation,6,,,,
11.03.2020 08:00,7.7,766.6,767.1,1.4,100,Wind blowing from the west-southwest,2,,3,10%  or less  but not 0,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,,,,2500 or more  or no clouds.,,,2.4,7.7,No precipitation,12,,,,
11.03.2020 05:00,6.2,765.2,765.7,,96,Wind blowing from the west,1,,5,,Mist. ,,,6.2,13.2,,,,,,3.7,5.6,No precipitation,6,,,,
11.03.2020 02:00,8.7,766.0,766.4,0.2,79,Wind blowing from the west-southwest,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,13.2,,,2500 or more  or no clouds.,,,5.0,5.3,No precipitation,12,,,,
10.03.2020 23:00,6.8,765.8,766.3,,91,Wind blowing from the south-southwest,1,,,,Mist. ,,,6.8,13.2,,,,,,3.7,5.4,No precipitation,6,,,,
10.03.2020 20:00,7.3,765.1,765.5,,84,Wind blowing from the south-west,1,,9,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,13.2,,,600-1000,,,5.0,4.8,No precipitation,12,,,,
10.03.2020 17:00,11.7,764.1,764.5,,56,Wind blowing from the west-northwest,3,,9,20–30%., ,,,7.1,13.2,,,600-1000,,,13.0,3.2,No precipitation,6,,,,
10.03.2020 14:00,12.5,763.9,764.4,,55,Wind blowing from the north-northwest,3,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,12.8,,,600-1000,,,13.0,3.5,0.1,12,,,,
10.03.2020 11:00,9.1,764.7,765.1,,78,Wind blowing from the north-west,3,,8,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.7,,,,,,6.0,5.5,No precipitation,6,,,,
10.03.2020 08:00,7.7,763.5,763.9,1.3,99,Wind blowing from the north-west,3,,9,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,11.7,,,600-1000,,,3.6,7.6,3.0,12,,,,
10.03.2020 05:00,7.6,762.2,762.7,,100,Wind blowing from the north-northwest,3,,9,,Mist. ,,,7.4,11.7,,,,,,3.9,7.6,1.0,6,,,,
10.03.2020 02:00,7.7,761.9,762.4,,100,Wind blowing from the north-northwest,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,11.7,,,2500 or more  or no clouds.,,,5.0,7.7,8.0,12,,,,
09.03.2020 20:00,9.3,758.9,759.3,1.9,100,Wind blowing from the north,3,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,9.2,11.8,,,600-1000,,,5.0,9.3,11.0,12,,,,
09.03.2020 17:00,10.2,757.0,757.4,,100,Wind blowing from the north-northeast,4,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,10.2,13.6,,,300-600,,,2.7,10.2,6.0,6,,,,
09.03.2020 14:00,11.6,755.5,755.8,-1.5,100,Wind blowing from the north-east,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,,,,300-600,,,5.0,11.6,11.0,12,,,,
09.03.2020 11:00,11.2,757.0,757.3,,100,Wind blowing from the east-northeast,2,,8,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,,,,300-600,,,2.6,11.2,3.0,6,,,,
09.03.2020 08:00,10.6,756.4,756.8,0.0,100,Wind blowing from the east,3,,10,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,300-600,,,2.8,10.6,5.0,12,,,,
09.03.2020 05:00,10.5,756.4,756.7,,100,Wind blowing from the east-northeast,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,7.2,15.8,,,,,,4.4,10.5,5.0,6,,,,
09.03.2020 02:00,11.3,757.5,757.9,-1.3,100,Wind blowing from the east,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,15.8,,,2500 or more  or no clouds.,,,5.0,11.3,No precipitation,12,,,,
08.03.2020 23:00,11.6,758.8,759.2,,89,Wind blowing from the east,4,,,, ,,,7.2,15.8,,,,,,11.0,9.9,No precipitation,6,,,,
08.03.2020 20:00,11.3,759.2,759.7,0.7,79,Wind blowing from the east,4,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,15.8,,,600-1000,,,15.0,7.8,No precipitation,12,,,,
08.03.2020 17:00,13.6,758.5,758.9,,70,Wind blowing from the east,5,,10,20–30%., ,,,7.2,15.9,,,2500 or more  or no clouds.,,,15.0,8.2,No precipitation,6,,,,
08.03.2020 14:00,15.4,760.3,760.7,-3.0,56,Wind blowing from the east,6,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,18.6,,,,,,20.0,6.7,No precipitation,12,,,,
08.03.2020 11:00,12.0,763.3,763.7,,74,Wind blowing from the east,5,,8,70 – 80%., ,,,7.2,18.6,,,600-1000,,,13.0,7.5,No precipitation,6,,,,
08.03.2020 08:00,8.0,763.5,763.9,1.2,100,Wind blowing from the east-southeast,3,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,,,,600-1000,,,4.4,8.0,No precipitation,12,,,,
08.03.2020 05:00,7.5,762.3,762.7,,100,Wind blowing from the east,3,,8,,Mist. ,,,7.3,18.6,,,,,,2.0,7.5,No precipitation,6,,,,
08.03.2020 02:00,7.4,763.3,763.7,0.0,100,Wind blowing from the east-southeast,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,18.6,,,2500 or more  or no clouds.,,,2.1,7.4,No precipitation,12,,,,
07.03.2020 23:00,8.8,763.3,763.7,,100,Wind blowing from the east,2,,,,Mist. ,,,8.4,18.6,,,,,,2.4,8.8,No precipitation,6,,,,
07.03.2020 20:00,9.8,763.1,763.6,1.8,96,Wind blowing from the east-northeast,3,,8,50%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,18.6,,,600-1000,,,2.3,9.2,No precipitation,12,,,,
07.03.2020 17:00,16.0,761.3,761.7,,62,Wind blowing from the north-east,3,,6,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,18.6,,,1000-1500,,,5.0,8.7,No precipitation,6,,,,
07.03.2020 14:00,18.0,760.8,761.2,-1.6,45,Wind blowing from the north-northwest,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,18.1,,,,,,7.0,5.9,No precipitation,12,,,,
07.03.2020 11:00,15.4,762.4,762.7,,60,Wind blowing from the west,2,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,15.6,,,,,,4.7,7.7,No precipitation,6,,,,
07.03.2020 08:00,10.0,762.2,762.7,1.5,100,Wind blowing from the south-southwest,1,,6,40%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,3.0,10.0,Trace of precipitation,12,,,,
07.03.2020 05:00,9.4,760.7,761.1,,97,Wind blowing from the east-southeast,2,,7,,Mist. ,,,,14.0,,,,,,4.4,8.9,No precipitation,6,,,,
07.03.2020 02:00,9.8,761.0,761.4,-0.5,89,Wind blowing from the east,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.0,,,2500 or more  or no clouds.,,,6.0,8.1,No precipitation,12,,,,
06.03.2020 23:00,10.3,761.5,761.9,,79,Wind blowing from the east-southeast,2,,,, ,,,,14.0,,,,,,8.0,6.8,No precipitation,6,,,,
06.03.2020 20:00,10.3,761.6,762.1,0.4,80,Wind blowing from the east,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,14.0,,,2500 or more  or no clouds.,,,10.0,7.0,No precipitation,12,,,,
06.03.2020 17:00,12.1,761.2,761.7,,71,Wind blowing from the east,4,,9,90  or more  but not 100%, ,,,2.1,14.0,,,,,,11.0,7.0,No precipitation,6,,,,
06.03.2020 14:00,13.4,762.0,762.4,-2.5,56,Wind blowing from the south-east,4,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,13.9,,,2500 or more  or no clouds.,,,12.0,4.8,No precipitation,12,,,,
06.03.2020 11:00,11.1,764.5,765.0,,61,Wind blowing from the south-east,4,,8,no clouds, ,,,2.1,11.3,,,,,,12.0,3.9,No precipitation,6,,,,
06.03.2020 08:00,5.0,765.8,766.3,0.0,77,Wind blowing from the east-southeast,4,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.1,,,,2500 or more  or no clouds.,,,10.0,1.3,No precipitation,12,,,,
06.03.2020 05:00,2.4,765.8,766.3,,81,Wind blowing from the east-southeast,3,,7,, ,,,-0.9,11.3,,,,,,9.0,-0.5,No precipitation,6,,,,
06.03.2020 02:00,2.9,767.0,767.5,-1.0,75,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,11.3,,,2500 or more  or no clouds.,,,13.0,-1.1,No precipitation,12,,,,
05.03.2020 23:00,3.7,768.0,768.4,,66,Wind blowing from the east,3,,,, ,,,-0.9,11.3,,,,,,20.0,-2.1,No precipitation,6,,,,
05.03.2020 20:00,5.5,768.5,769.0,0.1,64,Wind blowing from the east,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,11.3,,,,,,18.0,-0.8,No precipitation,12,,,,
05.03.2020 17:00,9.9,768.4,768.8,,40,Wind blowing from the east,3,,6,no clouds, ,,,-0.9,11.3,,,,,,24.0,-3.1,No precipitation,6,,,,
05.03.2020 14:00,10.3,769.6,770.0,-2.7,37,Wind blowing from the south-east,2,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,12.2,,,600-1000,,,20.0,-3.7,No precipitation,12,,,,
05.03.2020 11:00,8.4,772.3,772.8,,44,Wind blowing from the east-southeast,2,,5,no clouds, ,,,-0.9,12.2,,,,,,21.0,-3.4,No precipitation,6,,,,
05.03.2020 08:00,2.8,772.9,773.3,0.5,99,Wind blowing from the south-west,1,,7,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,12.2,,,,,,4.0,2.7,No precipitation,12,,,,
05.03.2020 05:00,-0.4,772.4,772.9,,100,Wind blowing from the south-west,1,,8,,Mist. ,,,-0.7,12.2,,,,,,2.9,-0.4,No precipitation,6,,,,
05.03.2020 02:00,1.1,772.4,772.9,-0.5,86,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.1,12.2,,,2500 or more  or no clouds.,,,8.0,-1.0,No precipitation,12,,,,
04.03.2020 23:00,3.5,772.9,773.3,,68,Wind blowing from the north-east,2,,,, ,,,3.5,12.2,,,,,,14.0,-2.0,No precipitation,6,,,,
04.03.2020 20:00,5.1,772.6,773.0,1.4,57,Wind blowing from the north-east,4,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,12.2,,,2500 or more  or no clouds.,,,20.0,-2.7,No precipitation,12,,,,
04.03.2020 17:00,9.1,771.2,771.7,,40,Wind blowing from the north-east,5,,9,90  or more  but not 100%, ,,,5.2,12.2,,,,,,17.0,-3.8,No precipitation,6,,,,
04.03.2020 14:00,12.0,770.5,770.9,-1.6,30,Wind blowing from the north-northeast,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,12.2,,,2500 or more  or no clouds.,,,30.0,-5.0,No precipitation,12,,,,
04.03.2020 11:00,10.4,772.1,772.6,,50,Wind blowing from the north-northeast,3,,8,90  or more  but not 100%, ,,,5.2,12.3,,,,,,16.0,0.4,No precipitation,6,,,,
04.03.2020 08:00,6.7,771.4,771.8,,86,Wind blowing from the north-east,4,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,12.3,,,2500 or more  or no clouds.,,,7.0,4.5,No precipitation,12,,,,
04.03.2020 05:00,6.5,769.8,770.2,,98,Wind blowing from the north-east,1,,4,, ,,,4.9,12.3,,,,,,9.0,6.2,No precipitation,6,,,,
04.03.2020 02:00,7.3,769.3,769.7,0.3,94,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,12.3,,,2500 or more  or no clouds.,,,10.0,6.4,No precipitation,12,,,,
03.03.2020 23:00,8.3,769.0,769.5,,83,Wind blowing from the east-southeast,1,,,, ,,,4.9,12.3,,,,,,11.0,5.6,No precipitation,6,,,,
03.03.2020 20:00,9.2,768.1,768.5,1.0,74,Wind blowing from the north-northwest,1,,4,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,12.3,,,600-1000,,,5.0,4.8,No precipitation,12,,,,
03.03.2020 17:00,11.4,767.1,767.5,,55,Wind blowing from the north-northwest,2,,4,90  or more  but not 100%, ,,,4.9,12.3,,,,,,9.0,2.7,No precipitation,6,,,,
03.03.2020 14:00,11.9,767.2,767.7,-1.6,54,Wind blowing from the west,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,12.3,,,2500 or more  or no clouds.,,,9.0,2.9,No precipitation,12,,,,
03.03.2020 11:00,10.4,768.8,769.3,,59,Wind blowing from the south-west,1,,5,10%  or less  but not 0, ,,,4.9,10.4,,Sky obscured by fog and/or other meteorological phenomena.,1000-1500,,,12.0,2.7,No precipitation,6,,,,
03.03.2020 08:00,7.0,769.0,769.4,0.4,70,Wind blowing from the east-southeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,,,,,,,16.0,1.9,No precipitation,12,,,,
03.03.2020 05:00,5.3,768.6,769.0,,77,Wind blowing from the east-northeast,1,,8,, ,,,0.8,10.3,,,,,,16.0,1.6,No precipitation,6,,,,
03.03.2020 02:00,5.2,769.1,769.6,-0.7,75,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.8,10.3,,,2500 or more  or no clouds.,,,18.0,1.0,No precipitation,12,,,,
