Local time in Luzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
25.03.2020 14:00,27.6,720.1,751.3,-2.4,50,Wind blowing from the north,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,27.6,,,,,,21.0,16.2,No precipitation,12,,,,
25.03.2020 11:00,24.0,722.5,753.9,,64,Wind blowing from the north-northwest,2,,7,20–30%., ,,,16.7,26.9,,,2500 or more  or no clouds.,,,17.0,16.8,No precipitation,6,,,,
25.03.2020 08:00,17.5,722.4,754.0,0.1,92,Wind blowing from the south,1,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,26.9,,,2500 or more  or no clouds.,,,7.0,16.2,No precipitation,12,,,,
25.03.2020 05:00,17.9,722.3,753.8,,88,Wind blowing from the south-east,1,,,, ,,,,,,,,,,12.0,15.9,,,,,,
25.03.2020 02:00,20.0,722.8,754.3,,75,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,26.9,,,2500 or more  or no clouds.,,,22.0,15.4,No precipitation,12,,,,
24.03.2020 20:00,24.6,721.0,752.6,,55,Wind blowing from the north,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,26.9,,,,,,29.0,15.0,No precipitation,12,,,,
24.03.2020 14:00,26.1,723.0,754.4,-2.7,50,Wind blowing from the north-northeast,3,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,26.5,,,1000-1500,,,25.0,14.9,1.0,12,,,,
24.03.2020 11:00,22.6,725.7,757.3,,63,Wind blowing from the north,3,,5,no clouds, ,,,17.0,26.5,,,,,,14.0,15.2,0.1,6,,,,
24.03.2020 08:00,17.3,725.7,757.5,0.1,96,Wind blowing from the south-east,1,,5,20–30%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.8,26.5,,,2500 or more  or no clouds.,,,4.2,16.7,1.0,12,,,,
24.03.2020 05:00,17.6,725.6,757.3,,92,Wind blowing from the south-east,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,15.0,26.5,,,,,,6.0,16.3,1.0,6,,,,
24.03.2020 02:00,19.7,726.7,758.4,,77,Wind blowing from the west-northwest,2,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,26.5,,,2500 or more  or no clouds.,,,13.0,15.6,No precipitation,12,,,,
23.03.2020 20:00,24.3,725.1,757.0,1.0,47,Wind blowing from the north-east,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,26.5,,,2500 or more  or no clouds.,,,23.0,12.3,No precipitation,12,,,,
23.03.2020 17:00,25.9,724.1,755.8,,41,Wind blowing from the east-northeast,3,,,50%., ,,,,,,,2500 or more  or no clouds.,,,30.0,11.7,,,,,,
23.03.2020 14:00,26.2,726.3,758.0,-2.5,42,Wind blowing from the north-northeast,2,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,26.2,,,2500 or more  or no clouds.,,,28.0,12.3,No precipitation,12,,,,
23.03.2020 11:00,22.6,728.8,760.7,,59,Wind blowing from the north-northwest,1,,4,90  or more  but not 100%, ,,,15.0,26.2,,,2500 or more  or no clouds.,,,14.0,14.2,No precipitation,6,,,,
23.03.2020 08:00,15.7,728.2,760.3,0.9,84,Wind blowing from the north-northeast,3,,4,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,26.2,,,2500 or more  or no clouds.,,,12.0,13.0,No precipitation,12,,,,
23.03.2020 05:00,15.5,727.3,759.3,,84,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,20.0,12.8,,,,,,
23.03.2020 02:00,17.8,727.9,759.7,,72,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,26.2,,,2500 or more  or no clouds.,,,25.0,12.7,No precipitation,12,,,,
22.03.2020 20:00,23.7,726.9,758.9,1.1,41,Wind blowing from the east-northeast,1,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,26.2,,,2500 or more  or no clouds.,,,30.0,9.7,No precipitation,12,,,,
22.03.2020 17:00,25.1,725.8,757.6,,37,Wind blowing from the north-northeast,3,,,20–30%., ,,,,,,,1000-1500,,,30.0,9.4,,,,,,
22.03.2020 14:00,25.2,727.4,759.1,-2.1,43,Wind blowing from the south-southeast,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,28.1,,,,,,30.0,11.7,No precipitation,12,,,,
22.03.2020 11:00,21.4,729.5,761.4,,55,Wind blowing from the west-southwest,2,,6,10%  or less  but not 0, ,,,14.5,28.1,,,2500 or more  or no clouds.,,,29.0,12.0,No precipitation,6,,,,
22.03.2020 08:00,14.8,728.3,760.3,1.6,88,Wind blowing from the east-southeast,2,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,28.1,,,2500 or more  or no clouds.,,,12.0,12.8,No precipitation,12,,,,
22.03.2020 05:00,16.8,726.7,758.4,,74,Wind blowing from the north-west,1,,7,, ,,,14.5,28.1,,,,,,25.0,12.1,No precipitation,6,,,,
22.03.2020 02:00,19.1,726.4,758.0,,65,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,28.1,,,2500 or more  or no clouds.,,,25.0,12.4,No precipitation,12,,,,
21.03.2020 20:00,24.8,723.3,755.1,2.2,46,Wind blowing from the north-northeast,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,28.1,,,2500 or more  or no clouds.,,,24.0,12.4,No precipitation,12,,,,
21.03.2020 17:00,27.5,721.1,752.6,,37,Wind blowing from the north,2,,,40%., ,,,,,,,2500 or more  or no clouds.,,,30.0,11.5,,,,,,
21.03.2020 14:00,26.9,722.3,753.8,-1.3,37,Wind blowing from the north-northwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.5,27.0,,,,,,30.0,11.0,No precipitation,12,,,,
21.03.2020 11:00,22.1,723.6,755.3,,51,Wind blowing from the west-southwest,3,,6,no clouds, ,,,14.5,26.0,,,,,,15.0,11.5,No precipitation,6,,,,
21.03.2020 08:00,15.3,722.3,754.1,1.7,81,Wind blowing from the south-southwest,1,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,26.0,,,2500 or more  or no clouds.,,,12.0,12.1,No precipitation,12,,,,
21.03.2020 05:00,16.0,720.6,752.2,,76,Wind blowing from the south,2,,,, ,,,,,,,,,,17.0,11.8,,,,,,
21.03.2020 02:00,17.2,721.1,752.7,,70,Wind blowing from the south-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,26.0,,,2500 or more  or no clouds.,,,16.0,11.7,No precipitation,12,,,,
20.03.2020 20:00,23.4,720.7,752.5,0.7,44,Wind blowing from the north-west,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,26.0,,,,,,29.0,10.5,No precipitation,12,,,,
20.03.2020 17:00,25.8,720.0,751.6,,37,Wind blowing from the north-east,3,,,no clouds, ,,,,,,,,,,30.0,10.0,,,,,,
20.03.2020 14:00,24.8,723.1,754.9,-3.0,40,Wind blowing from the north-west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,25.2,,,,,,30.0,10.3,No precipitation,12,,,,
20.03.2020 11:00,19.7,726.1,758.1,,59,Wind blowing from the west-northwest,2,,4,no clouds, ,,,12.7,25.2,,,,,,19.0,11.5,No precipitation,6,,,,
20.03.2020 08:00,13.3,725.6,757.8,0.9,86,Wind blowing from the west-southwest,1,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,25.2,,,2500 or more  or no clouds.,,,14.0,11.0,No precipitation,12,,,,
20.03.2020 05:00,14.3,724.7,756.6,,79,Wind blowing from the east-northeast,1,,,, ,,,,,,,,,,20.0,10.7,,,,,,
20.03.2020 02:00,15.0,726.2,758.2,,70,Wind blowing from the south-east,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,25.2,,,2500 or more  or no clouds.,,,27.0,9.6,No precipitation,12,,,,
19.03.2020 20:00,22.1,726.7,758.9,,38,Wind blowing from the east-northeast,3,,7,70 – 80%., ,,,12.4,25.2,,,2500 or more  or no clouds.,,,30.0,7.1,No precipitation,6,,,,
19.03.2020 17:00,24.8,726.4,758.5,,31,Wind blowing from the north,3,,,20–30%., ,,,,,,,1000-1500,,,30.0,6.5,,,,,,
19.03.2020 14:00,24.8,729.1,761.2,-2.5,37,Wind blowing from the east,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,25.1,,,,,,30.0,9.1,No precipitation,12,,,,
19.03.2020 11:00,21.5,731.6,763.9,,42,Wind blowing from the south-west,3,,6,10%  or less  but not 0, ,,,12.4,21.8,,,1000-1500,,,30.0,8.1,No precipitation,6,,,,
19.03.2020 08:00,13.0,731.1,763.6,0.6,79,Wind blowing from the south-east,2,,4,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,21.8,,,2500 or more  or no clouds.,,,18.0,9.4,No precipitation,12,,,,
19.03.2020 05:00,13.2,730.5,762.9,,77,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,23.0,9.3,,,,,,
19.03.2020 02:00,15.2,731.0,763.4,,66,Wind blowing from the south-southwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,21.8,,,2500 or more  or no clouds.,,,17.0,8.9,No precipitation,12,,,,
18.03.2020 20:00,19.4,729.4,762.0,1.5,41,Wind blowing from the north,1,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,21.8,,,2500 or more  or no clouds.,,,30.0,5.8,No precipitation,12,,,,
18.03.2020 17:00,21.6,727.9,760.3,,39,Wind blowing from the north,2,,,no clouds, ,,,,,,,,,,30.0,7.1,,,,,,
18.03.2020 14:00,20.6,729.2,761.7,-2.0,41,Wind blowing from the north,3,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,20.9,,,1000-1500,,,30.0,6.9,No precipitation,12,,,,
18.03.2020 11:00,17.6,731.2,764.0,,59,Wind blowing from the south-east,1,,3,no clouds, ,,,10.0,17.6,,,,,,30.0,9.5,No precipitation,6,,,,
18.03.2020 08:00,11.0,730.6,763.6,0.6,83,Wind blowing from the east,1,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,17.1,,,2500 or more  or no clouds.,,,30.0,8.2,No precipitation,12,,,,
18.03.2020 05:00,11.5,730.0,762.7,,79,Wind blowing from the east,2,,,, ,,,,,,,,,,30.0,8.0,,,,,,
18.03.2020 02:00,11.6,731.8,764.7,,79,Wind blowing from the south-east,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.1,,,2500 or more  or no clouds.,,,30.0,8.1,No precipitation,12,,,,
17.03.2020 20:00,14.3,732.9,766.0,0.2,70,Wind blowing from the south-east,3,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,17.1,,,2500 or more  or no clouds.,,,30.0,8.9,No precipitation,12,,,,
17.03.2020 17:00,16.5,732.7,765.6,,60,Wind blowing from the south,3,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,30.0,8.7,,,,,,
17.03.2020 14:00,14.6,734.8,768.0,-1.9,73,Wind blowing from the south,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,14.6,,,2000-2500,,,30.0,9.8,3.0,12,,,,
17.03.2020 11:00,12.3,736.7,770.0,,87,Wind blowing from the south,2,,6,100%., ,,,10.5,13.0,,,1500-2000,,,29.0,10.2,0.5,6,,,,
17.03.2020 08:00,10.6,736.1,769.5,0.7,99,Wind blowing from the south-west,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,10.5,13.0,,,1500-2000,,,8.0,10.4,4.0,12,,,,
17.03.2020 05:00,10.7,735.4,768.7,,99,Wind blowing from the west,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.7,13.0,,,,,,1.4,10.5,3.0,6,,,,
17.03.2020 02:00,11.0,735.7,769.0,,98,Wind blowing from the west,3,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.0,,,2500 or more  or no clouds.,,,6.0,10.7,2.0,12,,,,
16.03.2020 20:00,11.7,734.3,767.6,1.8,99,Wind blowing from the west,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.0,,,1000-1500,,,2.6,11.5,0.9,12,,,,
16.03.2020 17:00,12.6,732.5,765.7,,89,Wind blowing from the north-northwest,3,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.8,,,1000-1500,,,18.0,10.8,0.1,6,,,,
16.03.2020 14:00,12.4,732.4,765.4,-0.9,95,Wind blowing from the north-west,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,14.2,,,1500-2000,,,10.0,11.6,3.0,12,,,,
16.03.2020 11:00,11.2,733.3,766.4,,99,Wind blowing from the west,2,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,10.9,,,,1500-2000,,,3.8,11.0,1.0,6,,,,
16.03.2020 08:00,11.0,731.5,764.6,1.4,99,Wind blowing from the west,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,10.9,14.2,,,1000-1500,,,2.3,10.8,5.0,12,,,,
16.03.2020 05:00,11.1,730.1,763.0,,99,Wind blowing from the west,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.1,14.2,,,,,,5.0,10.9,4.0,6,,,,
16.03.2020 02:00,11.9,730.9,763.8,,99,Wind blowing from the west,3,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,14.2,,,2500 or more  or no clouds.,,,1.5,11.7,3.0,12,,,,
15.03.2020 20:00,13.1,730.0,762.9,1.4,88,Wind blowing from the north-northwest,2,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,1500-2000,,,9.0,11.2,Trace of precipitation,12,,,,
15.03.2020 17:00,13.8,728.6,761.3,,81,Wind blowing from the north-northwest,2,,,100%., ,,,,,,,1000-1500,,,15.0,10.6,,,,,,
15.03.2020 14:00,14.2,730.6,763.3,-2.1,79,Wind blowing from the north-northwest,2,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,,,,1500-2000,,,16.0,10.6,Trace of precipitation,12,,,,
15.03.2020 11:00,13.9,732.7,765.6,,81,Wind blowing from the west,2,,3,100%., ,,,13.5,,,,2000-2500,,,15.0,10.7,No precipitation,6,,,,
15.03.2020 08:00,13.6,731.8,764.5,0.0,80,Wind blowing from the south-southwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,17.6,,,2000-2500,,,18.0,10.2,No precipitation,12,,,,
15.03.2020 05:00,13.7,731.8,764.5,,80,Wind blowing from the south,2,,,, ,,,,,,,,,,17.0,10.3,,,,,,
15.03.2020 02:00,14.2,733.3,766.0,,79,Wind blowing from the south-southeast,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,17.6,,,2500 or more  or no clouds.,,,14.0,10.6,No precipitation,12,,,,
14.03.2020 20:00,16.0,733.5,766.3,0.5,65,Wind blowing from the south-east,2,,4,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,17.6,,,1500-2000,,,6.0,9.4,No precipitation,12,,,,
14.03.2020 17:00,17.4,733.0,765.7,,58,Wind blowing from the south,2,,,100%., ,,,,,,,2000-2500,,,21.0,9.1,,,,,,
14.03.2020 14:00,17.0,734.9,767.7,-2.0,69,Wind blowing from the west,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.5,20.0,,,2000-2500,,,17.0,11.3,No precipitation,12,,,,
14.03.2020 11:00,14.6,736.9,769.9,,83,Wind blowing from the north-west,1,,5,100%., ,,,13.5,,,,2000-2500,,,11.0,11.7,No precipitation,6,,,,
14.03.2020 08:00,13.6,736.0,768.8,0.7,87,Wind blowing from the west,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,20.0,,,2000-2500,,,9.0,11.5,No precipitation,12,,,,
14.03.2020 05:00,14.1,735.3,768.0,,81,Wind blowing from the north-west,2,,,, ,,,,,,,,,,9.0,10.9,,,,,,
14.03.2020 02:00,14.8,736.0,768.7,,80,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,20.0,,,2500 or more  or no clouds.,,,9.0,11.4,No precipitation,12,,,,
13.03.2020 20:00,17.5,733.7,766.5,1.3,61,Wind blowing from the east,3,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,20.0,,,2500 or more  or no clouds.,,,10.0,9.9,No precipitation,12,,,,
13.03.2020 17:00,19.0,732.4,765.1,,53,Wind blowing from the north-east,2,,,100%., ,,,,,,,2500 or more  or no clouds.,,,19.0,9.2,,,,,,
13.03.2020 14:00,19.1,733.6,766.1,-1.8,56,Wind blowing from the north-west,2,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,19.8,,,1000-1500,,,15.0,10.1,No precipitation,12,,,,
13.03.2020 11:00,15.6,735.4,768.3,,73,Wind blowing from the west-southwest,1,,3,100%., ,,,13.0,19.8,,,2500 or more  or no clouds.,,,7.0,10.8,No precipitation,6,,,,
13.03.2020 08:00,13.6,733.9,766.6,,85,Wind blowing from the south-southwest,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,19.8,,,2500 or more  or no clouds.,,,9.0,11.1,No precipitation,12,,,,
13.03.2020 05:00,14.0,731.9,764.5,,82,Wind blowing from the south-east,1,,,, ,,,9.8,19.8,,,,,,11.0,11.0,No precipitation,6,,,,
13.03.2020 02:00,15.5,731.8,764.3,,67,Wind blowing from the north-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,19.8,,,2500 or more  or no clouds.,,,16.0,9.4,No precipitation,12,,,,
12.03.2020 20:00,17.5,728.2,760.9,2.6,54,Wind blowing from the east-northeast,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,19.8,,,2000-2500,,,22.0,8.1,No precipitation,12,,,,
12.03.2020 17:00,18.7,725.6,758.1,,49,Wind blowing from the north-east,4,,,90  or more  but not 100%, ,,,,,,,2000-2500,,,30.0,7.8,,,,,,
12.03.2020 14:00,18.6,727.0,759.5,-2.5,52,Wind blowing from the north-northeast,2,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,18.9,,,1000-1500,,,24.0,8.6,Trace of precipitation,12,,,,
12.03.2020 11:00,16.4,729.5,762.3,,65,Wind blowing from the south-east,2,,5,70 – 80%., ,,,9.8,16.5,,,1000-1500,,,17.0,9.8,No precipitation,6,,,,
12.03.2020 08:00,10.1,729.2,762.2,0.6,99,Wind blowing from the east-southeast,2,,5,no clouds,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,15.1,,,,,,2.7,9.9,Trace of precipitation,12,,,,
12.03.2020 05:00,11.0,728.6,761.5,,94,Wind blowing from the south-west,2,,5,,Mist. ,,,11.0,15.1,,,,,,7.0,10.1,No precipitation,6,,,,
12.03.2020 02:00,11.4,729.9,762.7,,92,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,15.1,,,2500 or more  or no clouds.,,,8.0,10.1,No precipitation,12,,,,
11.03.2020 20:00,13.2,727.2,760.0,1.5,77,Wind blowing from the east,3,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,15.4,,,1500-2000,,,10.0,9.3,No precipitation,12,,,,
11.03.2020 17:00,14.4,725.7,758.4,,71,Wind blowing from the east-northeast,2,,,100%., ,,,,,,,1500-2000,,,20.0,9.2,,,,,,
11.03.2020 14:00,14.8,727.5,760.1,-3.0,71,Wind blowing from the east,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,17.5,,,1500-2000,,,22.0,9.6,No precipitation,12,,,,
11.03.2020 11:00,12.8,730.5,763.3,,83,Wind blowing from the east-southeast,2,,,100%., ,,,,,,,2000-2500,,,18.0,10.0,,,,,,
11.03.2020 08:00,11.5,730.6,763.4,0.3,89,Wind blowing from the south,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,17.5,,,2000-2500,,,15.0,9.8,Trace of precipitation,12,,,,
11.03.2020 05:00,11.9,730.3,763.1,,86,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,17.0,9.6,,,,,,
11.03.2020 02:00,13.9,731.4,764.1,,71,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,17.5,,,2500 or more  or no clouds.,,,21.0,8.7,No precipitation,12,,,,
10.03.2020 20:00,15.4,730.3,763.3,-0.3,54,Wind blowing from the east-northeast,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,17.5,,,2500 or more  or no clouds.,,,30.0,6.1,No precipitation,12,,,,
10.03.2020 17:00,16.8,730.6,763.6,,45,Wind blowing from the east-southeast,3,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,30.0,4.8,,,,,,
10.03.2020 14:00,16.3,734.0,767.0,-3.3,53,Wind blowing from the south-west,2,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.4,,,1000-1500,,,30.0,6.7,0.5,12,,,,
10.03.2020 11:00,12.1,737.3,770.5,,75,Wind blowing from the west,2,,7,70 – 80%., ,,,8.9,16.3,,,1000-1500,,,26.0,7.8,0.1,6,,,,
10.03.2020 08:00,9.0,736.3,769.6,0.6,92,Wind blowing from the south-southwest,3,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,16.3,,,2000-2500,,,25.0,7.8,2.0,12,,,,
10.03.2020 05:00,9.2,735.7,769.0,,92,Wind blowing from the west-southwest,3,,7,,Rain (not freezing) not falling as shower(s). ,,,9.2,16.3,,,,,,22.0,8.0,2.0,6,,,,
10.03.2020 02:00,10.7,736.0,769.2,,88,Wind blowing from the west-northwest,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,16.3,,,2500 or more  or no clouds.,,,16.0,8.8,1.0,12,,,,
