Local time in Erenhot,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 05:00,-0.5,679.0,763.3,,35,Wind blowing from the west,6,,10,, ,,,-5.6,13.7,,,,,,12.0,-14.1,No precipitation,6,,,,
16.03.2020 02:00,-0.3,678.5,763.1,,36,Wind blowing from the west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,13.7,,,2500 or more  or no clouds.,,,21.0,-13.6,No precipitation,12,,,,
15.03.2020 23:00,4.4,678.2,762.9,,21,Wind blowing from the west-northwest,5,,10,, ,,,-5.6,13.7,,,,,,24.0,-16.0,No precipitation,6,,,,
15.03.2020 20:00,5.5,677.4,763.1,-0.4,22,Wind blowing from the west-southwest,3,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,13.7,,,1500-2000,,,27.0,-14.5,No precipitation,12,,,,
15.03.2020 17:00,13.4,677.8,762.4,,13,Wind blowing from the west-southwest,5,,10,no clouds, ,,,-5.6,13.6,,,,,,30.0,-14.5,No precipitation,6,,,,
15.03.2020 14:00,10.3,679.8,764.8,,28,Wind blowing from the south-southwest,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,10.3,,,,,,30.0,-7.4,No precipitation,12,,,,
15.03.2020 11:00,5.1,682.0,767.5,,41,Wind blowing from the south-west,3,,10,no clouds, ,,,-5.6,8.6,,,,,,30.0,-7.1,No precipitation,6,,,,
15.03.2020 08:00,-3.4,682.4,769.3,1.1,59,Wind blowing from the west-southwest,0,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,8.6,,,,,,28.0,-10.3,No precipitation,12,,,,
15.03.2020 05:00,-4.2,681.3,767.2,,65,Wind blowing from the west-northwest,2,,15,, ,,,-7.5,8.6,,,,,,30.0,-9.8,No precipitation,6,,,,
15.03.2020 02:00,-1.6,680.7,766.5,,57,Wind blowing from the west-northwest,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,8.6,,,2500 or more  or no clouds.,,,29.0,-9.2,No precipitation,12,,,,
14.03.2020 23:00,1.9,679.9,765.7,,41,Wind blowing from the west-northwest,5,,17,, ,,,-7.5,8.6,,,,,,30.0,-10.0,No precipitation,6,,,,
14.03.2020 20:00,2.9,679.1,766.0,0.4,35,Wind blowing from the west-northwest,4,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,8.6,,,,,,30.0,-11.1,No precipitation,12,,,,
14.03.2020 17:00,8.5,678.7,764.6,,23,Wind blowing from the west-northwest,10,,17,no clouds, ,,,-7.5,8.5,,,,,,27.0,-11.4,No precipitation,6,,,,
14.03.2020 14:00,5.9,680.5,766.9,-1.7,26,Wind blowing from the west-northwest,11,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,5.9,,,,,,28.0,-12.1,No precipitation,12,,,,
14.03.2020 11:00,1.5,682.2,769.3,,32,Wind blowing from the west-northwest,9,,13,no clouds, ,,,-7.5,3.2,,,,,,30.0,-13.4,No precipitation,6,,,,
14.03.2020 08:00,-5.9,681.8,769.6,,52,Wind blowing from the west-northwest,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,3.2,,,,,,28.0,-14.2,No precipitation,12,,,,
14.03.2020 05:00,-6.2,681.1,768.2,,47,Wind blowing from the west-northwest,7,,,, ,,,-9.8,3.2,,,,,,30.0,-15.7,No precipitation,6,,,,
14.03.2020 02:00,-5.2,681.6,768.7,,42,Wind blowing from the west-northwest,3,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,3.2,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
13.03.2020 23:00,-3.5,682.0,769.3,,33,Wind blowing from the west,4,,,, ,,,-9.8,3.2,,,,,,30.0,-17.5,No precipitation,6,,,,
13.03.2020 20:00,-0.5,682.3,770.2,0.2,27,Wind blowing from the west-northwest,5,,17,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,3.2,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
13.03.2020 17:00,3.0,682.1,769.9,,20,Wind blowing from the west-northwest,10,,17,no clouds, ,,,-9.8,3.2,,,,,,23.0,-17.8,No precipitation,6,,,,
13.03.2020 14:00,2.7,682.6,770.4,,17,Wind blowing from the west-northwest,12,,17,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,2.8,,,2500 or more  or no clouds.,,,21.0,-19.9,No precipitation,12,,,,
13.03.2020 11:00,-0.1,684.3,772.8,,23,Wind blowing from the west-northwest,11,,16,20–30%., ,,,-9.8,-0.1,,,2500 or more  or no clouds.,,,16.0,-18.8,No precipitation,6,,,,
13.03.2020 08:00,-7.0,685.0,774.3,-0.1,35,Wind blowing from the west-southwest,6,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,-0.3,,,2500 or more  or no clouds.,,,27.0,-19.9,No precipitation,12,,,,
13.03.2020 05:00,-9.4,685.1,773.9,,35,Wind blowing from the west-southwest,5,,8,, ,,,-9.4,-0.3,,,,,,30.0,-22.0,No precipitation,6,,,,
13.03.2020 02:00,-9.2,686.5,775.6,-0.6,35,Wind blowing from the west-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-0.3,,,2500 or more  or no clouds.,,,29.0,-21.9,No precipitation,12,,,,
12.03.2020 23:00,-8.9,687.1,776.6,,34,Wind blowing from the west,3,,8,, ,,,-8.9,-0.3,,,,,,29.0,-21.9,No precipitation,6,,,,
12.03.2020 20:00,-5.8,686.7,776.2,,22,Wind blowing from the north-west,5,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,1.4,,,,,,30.0,-24.1,No precipitation,12,,,,
12.03.2020 17:00,-0.7,685.3,773.5,,12,Wind blowing from the north-west,4,,10,no clouds, ,,,-7.7,6.5,,,,,,30.0,-26.6,No precipitation,6,,,,
12.03.2020 14:00,-1.4,685.3,773.3,,17,Wind blowing from the north-northwest,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,7.8,,,,,,30.0,-23.3,No precipitation,12,,,,
12.03.2020 11:00,-3.7,685.6,773.7,,31,Wind blowing from the north,3,,10,10%  or less  but not 0, ,,,-7.7,,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,6,,,,
12.03.2020 08:00,-7.6,684.6,772.6,2.1,48,Wind blowing from the north-northeast,3,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,7.8,,,2500 or more  or no clouds.,,,28.0,-16.7,No precipitation,12,,,,
12.03.2020 05:00,-5.8,682.5,769.1,,43,Wind blowing from the north-northeast,6,,10,, ,,,-6.9,7.8,,,,,,27.0,-16.4,No precipitation,6,,,,
12.03.2020 02:00,-4.2,680.6,766.6,1.9,59,Wind blowing from the north-northeast,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.9,7.8,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
11.03.2020 23:00,-1.5,678.7,764.7,,43,Wind blowing from the north-northeast,4,,10,, ,,,-6.9,7.8,,,,,,30.0,-12.5,No precipitation,6,,,,
11.03.2020 20:00,1.4,676.3,762.9,2.9,29,Wind blowing from the north,5,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.9,7.8,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,12,,,,
11.03.2020 17:00,6.6,673.4,758.8,,22,Wind blowing from the north,7,,10,70 – 80%., ,,,-6.9,7.8,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,6,,,,
11.03.2020 14:00,7.0,672.5,757.3,-0.4,18,Wind blowing from the north-west,4,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.9,7.0,,,2500 or more  or no clouds.,,,24.0,-15.7,No precipitation,12,,,,
11.03.2020 11:00,2.9,672.9,758.5,,26,Wind blowing from the north-west,5,,9,20–30%., ,,,-6.9,4.2,,,2500 or more  or no clouds.,,,16.0,-14.7,No precipitation,6,,,,
11.03.2020 08:00,-4.8,672.4,758.9,,49,Wind blowing from the south-west,3,,9,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,19.0,-13.9,No precipitation,12,,,,
11.03.2020 05:00,-5.4,671.8,757.3,,48,Wind blowing from the south-west,4,,9,, ,,,-12.9,4.2,,,,,,20.0,-14.7,No precipitation,6,,,,
11.03.2020 02:00,-2.9,672.8,758.6,-1.1,39,Wind blowing from the west-southwest,7,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.9,4.2,,,2500 or more  or no clouds.,,,15.0,-14.9,No precipitation,12,,,,
10.03.2020 23:00,-3.3,673.9,760.7,,37,Wind blowing from the south-west,3,,9,, ,,,-12.9,4.2,,,,,,21.0,-15.9,No precipitation,6,,,,
10.03.2020 20:00,-1.8,675.2,763.0,,34,Wind blowing from the east-southeast,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.9,4.2,,,,,,24.0,-15.6,No precipitation,12,,,,
10.03.2020 17:00,4.1,676.5,763.6,,18,Wind blowing from the west-northwest,1,,9,no clouds, ,,,-12.9,4.1,,,,,,28.0,-18.1,No precipitation,6,,,,
10.03.2020 14:00,1.2,678.7,766.3,,23,Wind blowing from the west,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.9,1.2,,,,,,30.0,-17.7,No precipitation,12,,,,
10.03.2020 11:00,-3.2,681.0,769.2,,33,Wind blowing from the west-northwest,5,,10,no clouds, ,,,-12.9,0.6,,,,,,30.0,-17.2,No precipitation,6,,,,
10.03.2020 08:00,-9.8,681.4,769.9,0.3,58,Wind blowing from the west,3,,10,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.9,0.6,,,2500 or more  or no clouds.,,,29.0,-16.5,No precipitation,12,,,,
10.03.2020 05:00,-10.6,681.1,769.3,,59,Wind blowing from the west-northwest,4,,13,, ,,,-10.7,0.6,,,,,,28.0,-17.1,No precipitation,6,,,,
10.03.2020 02:00,-8.9,682.0,770.4,,54,Wind blowing from the west-northwest,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,0.6,,,2500 or more  or no clouds.,,,27.0,-16.5,No precipitation,12,,,,
09.03.2020 20:00,-2.0,680.2,768.1,-0.1,27,Wind blowing from the west-northwest,6,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,0.6,,,,,,13.0,-18.5,No precipitation,12,,,,
09.03.2020 17:00,0.4,680.3,767.8,,22,Wind blowing from the west-northwest,9,,15,no clouds, ,,,-7.7,0.6,,,,,,22.0,-18.9,No precipitation,6,,,,
09.03.2020 14:00,-1.1,681.2,769.0,-1.1,23,Wind blowing from the west-northwest,8,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,0.8,,,,,,28.0,-19.6,No precipitation,12,,,,
09.03.2020 11:00,-4.4,682.3,770.5,,49,Wind blowing from the west-northwest,9,,,40%., ,,,-7.7,,,,2500 or more  or no clouds.,,,20.0,-13.5,No precipitation,6,,,,
09.03.2020 08:00,-6.5,681.7,769.8,0.5,78,Wind blowing from the west-northwest,7,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,1.8,,,1500-2000,,,21.0,-9.7,No precipitation,12,,,,
09.03.2020 05:00,-6.7,681.2,769.0,,82,Wind blowing from the east-southeast,2,,8,, ,,,-7.7,1.8,,,,,,19.0,-9.3,No precipitation,6,,,,
09.03.2020 02:00,-6.2,681.7,769.2,,77,Wind blowing from the east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,1.8,,,2500 or more  or no clouds.,,,24.0,-9.6,No precipitation,12,,,,
08.03.2020 23:00,-4.3,681.8,769.2,,67,Wind blowing from the east-northeast,4,,8,, ,,,-4.3,1.8,,,,,,25.0,-9.5,No precipitation,6,,,,
08.03.2020 20:00,-2.2,680.7,767.7,2.0,56,Wind blowing from the east,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,2.3,,,2500 or more  or no clouds.,,,25.0,-10.0,No precipitation,12,,,,
08.03.2020 17:00,-0.1,678.7,765.4,,50,Wind blowing from the east,5,,9,90  or more  but not 100%, ,,,-3.0,,,,2500 or more  or no clouds.,,,22.0,-9.3,No precipitation,6,,,,
08.03.2020 14:00,0.8,677.4,763.6,0.8,55,Wind blowing from the east-northeast,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,,,,2500 or more  or no clouds.,,,22.0,-7.4,No precipitation,12,,,,
08.03.2020 11:00,0.1,676.6,762.4,,58,Wind blowing from the north-west,4,,9,90  or more  but not 100%, ,,,-3.0,,,,2500 or more  or no clouds.,,,21.0,-7.2,No precipitation,6,,,,
08.03.2020 08:00,-0.8,674.2,759.7,,49,Wind blowing from the west-northwest,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,,,,2500 or more  or no clouds.,,,23.0,-10.2,No precipitation,12,,,,
08.03.2020 05:00,-2.8,672.4,756.7,,63,Wind blowing from the west-northwest,2,,9,, ,,,-7.2,10.0,,,,,,14.0,-8.9,No precipitation,6,,,,
08.03.2020 02:00,-1.2,672.6,757.1,0.7,55,Wind blowing from the south-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,10.0,,,2500 or more  or no clouds.,,,17.0,-9.1,No precipitation,12,,,,
07.03.2020 23:00,0.8,671.9,756.7,,53,Wind blowing from the east-southeast,3,,11,, ,,,-7.4,10.0,,,,,,18.0,-7.9,No precipitation,6,,,,
07.03.2020 20:00,2.1,671.5,757.3,-0.2,45,Wind blowing from the east-southeast,2,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,10.0,,,2500 or more  or no clouds.,,,21.0,-8.6,No precipitation,12,,,,
07.03.2020 17:00,9.8,671.7,756.5,,23,Wind blowing from the south-west,6,,12,90  or more  but not 100%, ,,,-7.4,10.0,,,2500 or more  or no clouds.,,,26.0,-10.3,No precipitation,6,,,,
07.03.2020 14:00,7.3,673.3,758.9,-2.4,32,Wind blowing from the south-west,7,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,7.3,,,2500 or more  or no clouds.,,,27.0,-8.3,No precipitation,12,,,,
07.03.2020 11:00,3.1,675.7,762.0,,45,Wind blowing from the south-west,7,,12,90  or more  but not 100%, ,,,-7.4,5.1,,,2500 or more  or no clouds.,,,27.0,-7.7,No precipitation,6,,,,
07.03.2020 08:00,-4.8,676.4,763.6,-0.1,71,Wind blowing from the west-southwest,6,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,,,,,,,27.0,-9.4,No precipitation,12,,,,
07.03.2020 05:00,-6.4,676.5,762.8,,70,Wind blowing from the south-west,4,,7,, ,,,-7.4,5.1,,,,,,27.0,-11.0,No precipitation,6,,,,
07.03.2020 02:00,-7.2,677.5,764.4,,76,Wind blowing from the west-southwest,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.1,,,2500 or more  or no clouds.,,,28.0,-10.7,No precipitation,12,,,,
06.03.2020 23:00,-5.5,677.8,765.1,,73,Wind blowing from the east-southeast,1,,9,, ,,,-7.4,5.1,,,,,,26.0,-9.7,No precipitation,6,,,,
06.03.2020 20:00,-2.5,677.9,765.5,1.6,52,Wind blowing from the north-west,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.1,,,,,,27.0,-11.2,No precipitation,12,,,,
06.03.2020 17:00,4.5,676.3,762.4,,26,Wind blowing from the west-northwest,4,,9,10%  or less  but not 0, ,,,-7.4,9.5,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,6,,,,
06.03.2020 14:00,3.0,675.7,761.7,-0.1,32,Wind blowing from the west-northwest,5,,8,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,11.0,,,2500 or more  or no clouds.,,,26.0,-12.1,No precipitation,12,,,,
06.03.2020 11:00,-1.0,675.8,762.2,,51,Wind blowing from the west-northwest,4,,7,90  or more  but not 100%, ,,,-7.4,,,,1500-2000,,,23.0,-9.9,No precipitation,6,,,,
06.03.2020 08:00,-5.9,675.1,761.2,,70,Wind blowing from the north,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,11.0,,,1500-2000,,,26.0,-10.5,No precipitation,12,,,,
06.03.2020 05:00,-5.5,674.3,759.4,,67,Wind blowing from the west-northwest,3,,10,, ,,,-9.6,11.0,,,,,,24.0,-10.7,No precipitation,6,,,,
06.03.2020 02:00,-3.5,674.6,759.3,0.4,62,Wind blowing from the west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.5,11.0,,,2500 or more  or no clouds.,,,27.0,-9.9,No precipitation,12,,,,
05.03.2020 23:00,-2.0,674.2,759.9,,56,Wind blowing from the west-northwest,2,,13,, ,,,,11.0,,,,,,20.0,-9.8,No precipitation,6,,,,
05.03.2020 20:00,4.2,673.3,759.4,1.2,27,Wind blowing from the west-northwest,6,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.5,11.0,,,2500 or more  or no clouds.,,,20.0,-13.1,No precipitation,12,,,,
05.03.2020 17:00,9.6,672.1,757.4,,18,Wind blowing from the west,8,,,40%., ,,,-10.5,11.0,,,2500 or more  or no clouds.,,,21.0,-13.6,No precipitation,6,,,,
05.03.2020 14:00,10.2,672.6,758.0,-2.0,19,Wind blowing from the west,8,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.5,10.2,,,2500 or more  or no clouds.,,,22.0,-12.4,No precipitation,12,,,,
05.03.2020 11:00,2.3,674.6,761.2,,29,Wind blowing from the south-west,8,,,60%., ,,,-10.5,2.3,,,2500 or more  or no clouds.,,,21.0,-13.9,No precipitation,6,,,,
05.03.2020 08:00,-7.2,675.9,763.8,-0.8,52,Wind blowing from the west-southwest,4,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.4,-0.5,,,2500 or more  or no clouds.,,,20.0,-15.4,No precipitation,12,,,,
05.03.2020 05:00,-9.1,676.7,764.4,,57,Wind blowing from the west-southwest,2,,7,, ,,,-16.6,-0.5,,,,,,21.0,-16.1,No precipitation,6,,,,
05.03.2020 02:00,-9.9,678.2,766.6,,64,Wind blowing from the west-southwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.6,-0.5,,,2500 or more  or no clouds.,,,25.0,-15.4,No precipitation,12,,,,
04.03.2020 23:00,-7.2,679.5,768.1,,58,Wind blowing from the east-southeast,3,,10,, ,,,-16.6,-0.5,,,,,,28.0,-14.1,No precipitation,6,,,,
04.03.2020 20:00,-4.8,681.0,771.1,-1.4,53,Wind blowing from the east-southeast,3,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.6,-0.5,,,,,,30.0,-12.9,No precipitation,12,,,,
04.03.2020 17:00,-0.7,682.4,772.0,,32,Wind blowing from the west-southwest,5,,10,10%  or less  but not 0, ,,,-16.6,-0.5,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,6,,,,
04.03.2020 14:00,-2.6,684.6,774.4,-2.3,35,Wind blowing from the west-southwest,5,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.6,-2.3,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
04.03.2020 11:00,-5.8,686.9,777.2,,51,Wind blowing from the west-southwest,4,,6,, ,,,-16.6,-4.1,,,,,,24.0,-14.3,No precipitation,6,,,,
04.03.2020 08:00,-15.5,687.2,778.8,0.3,84,Wind blowing from the east-southeast,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.6,-4.1,,,,,,22.0,-17.6,No precipitation,12,,,,
04.03.2020 05:00,-15.7,686.9,778.0,,83,Wind blowing from the south-east,1,,6,, ,,,-15.8,-4.1,,,,,,22.0,-17.9,No precipitation,6,,,,
04.03.2020 02:00,-14.0,687.1,777.9,-0.1,82,Wind blowing from the east,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.8,-4.1,,,2500 or more  or no clouds.,,,24.0,-16.4,No precipitation,12,,,,
03.03.2020 23:00,-11.4,687.2,778.0,,74,Wind blowing from the east-southeast,0,,,, ,,,-14.8,-4.1,,,,,,23.0,-15.1,No precipitation,6,,,,
03.03.2020 20:00,-8.7,686.9,778.1,,67,Wind blowing from the west-southwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.8,-4.1,,,,,,30.0,-13.7,No precipitation,12,,,,
03.03.2020 17:00,-5.6,686.3,777.0,,52,Wind blowing from the south-west,3,,6,90  or more  but not 100%, ,,,-14.8,-2.8,,,1500-2000,,,30.0,-14.1,No precipitation,6,,,,
03.03.2020 14:00,-5.6,686.6,776.9,-1.2,48,Wind blowing from the west-southwest,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.8,-1.4,,,1500-2000,,,26.0,-14.9,No precipitation,12,,,,
03.03.2020 11:00,-8.3,687.8,778.3,,73,Wind blowing from the west-northwest,2,,13,70 – 80%., ,,,-14.8,-1.4,,,1500-2000,,,18.0,-12.4,No precipitation,6,,,,
03.03.2020 08:00,-13.6,687.1,778.1,1.4,84,Wind blowing from the west-northwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.8,-1.4,,,2500 or more  or no clouds.,,,16.0,-15.7,No precipitation,12,,,,
03.03.2020 05:00,-14.1,685.7,775.8,,85,Wind blowing from the west-northwest,4,,15,, ,,,-14.4,-1.4,,,,,,17.0,-16.1,No precipitation,6,,,,
03.03.2020 02:00,-11.8,685.3,774.7,1.7,81,Wind blowing from the west-northwest,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.8,-1.4,,,2500 or more  or no clouds.,,,20.0,-14.5,0.2,12,,,,
02.03.2020 23:00,-9.2,683.6,772.6,,75,Wind blowing from the east-northeast,8,,18,, ,,,-9.2,-1.4,,,,,,18.0,-12.8,0.2,6,,,,
02.03.2020 20:00,-7.0,681.2,769.9,3.9,79,Wind blowing from the east-northeast,7,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Rain.,-7.0,-1.4,,,1500-2000,,,15.0,-10.0,0.2,12,,,,
02.03.2020 17:00,-2.9,677.3,764.8,,73,Wind blowing from the west-northwest,9,,18,70 – 80%.,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.3,-0.7,,,1500-2000,,,1.2,-7.1,No precipitation,6,,,,
