Local time in Enshi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 11:00,13.0,725.9,766.4,,83,Wind blowing from the west,1,,2,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,13.6,,,2500 or more  or no clouds.,,,4.2,10.2,No precipitation,6,,,,
16.03.2020 08:00,11.1,724.9,765.4,,90,Wind blowing from the south-southwest,1,,1,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,13.6,,,2500 or more  or no clouds.,,,4.5,9.5,Trace of precipitation,12,,,,
16.03.2020 05:00,11.3,724.0,764.5,,88,Wind blowing from the west-southwest,0,,2,,Mist. ,,,8.7,13.6,,,,,,4.6,9.4,No precipitation,6,,,,
16.03.2020 02:00,11.6,724.4,764.8,,88,Wind blowing from the west,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,13.6,,,2500 or more  or no clouds.,,,4.1,9.7,No precipitation,12,,,,
15.03.2020 23:00,12.2,725.8,766.3,,84,Wind blowing from the west-southwest,0,,2,,Mist. ,,,,13.6,,,,,,3.7,9.6,No precipitation,6,,,,
15.03.2020 20:00,12.9,725.0,765.7,,77,Wind blowing from the west,0,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,16.7,,,2500 or more  or no clouds.,,,5.0,9.0,No precipitation,12,,,,
15.03.2020 17:00,13.5,723.6,764.1,,71,Calm  no wind,0,,,100%., ,,,,,,,2500 or more  or no clouds.,,,10.0,8.4,,,,,,
15.03.2020 14:00,13.0,725.4,765.9,-1.8,72,Wind blowing from the west-northwest,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,,,,2500 or more  or no clouds.,,,10.0,8.1,No precipitation,12,,,,
15.03.2020 11:00,11.9,727.2,767.8,,78,Wind blowing from the west-northwest,1,,4,100%., ,,,8.7,,,,2500 or more  or no clouds.,,,10.0,8.2,No precipitation,6,,,,
15.03.2020 08:00,9.1,727.2,767.7,0.7,89,Wind blowing from the south,1,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,21.7,,,2500 or more  or no clouds.,,,5.0,7.4,No precipitation,12,,,,
15.03.2020 05:00,9.5,726.5,766.6,,87,Wind blowing from the west-southwest,0,,3,,Mist. ,,,9.5,21.7,,,,,,5.0,7.4,No precipitation,6,,,,
15.03.2020 02:00,11.2,726.7,766.7,-0.3,84,Wind blowing from the west-southwest,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,21.7,,,2500 or more  or no clouds.,,,9.0,8.6,No precipitation,12,,,,
14.03.2020 23:00,13.2,727.0,767.3,,76,Calm  no wind,0,,,, ,,,11.1,21.7,,,,,,7.0,9.1,No precipitation,6,,,,
14.03.2020 20:00,16.8,725.2,765.4,0.6,60,Wind blowing from the south-west,0,,4,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,21.7,,,2500 or more  or no clouds.,,,7.0,9.0,No precipitation,12,,,,
14.03.2020 17:00,21.2,724.6,764.5,,37,Wind blowing from the north-east,1,,,40%., ,,,,,,,600-1000,,,26.0,5.9,,,,,,
14.03.2020 14:00,20.1,727.0,767.0,-2.9,48,Wind blowing from the south-west,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,20.1,,,600-1000,,,21.0,8.8,No precipitation,12,,,,
14.03.2020 11:00,15.7,729.9,770.3,,57,Wind blowing from the south-southeast,1,,,50%., ,,,,,,,600-1000,,,16.0,7.2,,,,,,
14.03.2020 08:00,11.3,730.0,770.6,0.8,85,Wind blowing from the south-southwest,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,16.1,,,2500 or more  or no clouds.,,,14.0,8.9,Trace of precipitation,12,,,,
14.03.2020 05:00,11.3,729.2,769.7,,83,Wind blowing from the south,1,,,, ,,,,,,,,,,16.0,8.5,,,,,,
14.03.2020 02:00,11.8,730.0,770.5,,77,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,16.1,,,2500 or more  or no clouds.,,,20.0,7.9,No precipitation,12,,,,
13.03.2020 23:00,13.0,730.6,771.1,,69,Wind blowing from the east,2,,,, ,,,12.8,16.1,,,,,,21.0,7.5,No precipitation,6,,,,
13.03.2020 20:00,14.3,728.7,769.2,2.0,62,Wind blowing from the north,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,16.1,,,2500 or more  or no clouds.,,,12.0,7.1,No precipitation,12,,,,
13.03.2020 17:00,16.0,726.7,766.9,,57,Wind blowing from the north-east,2,,,100%., ,,,,,,,2500 or more  or no clouds.,,,11.0,7.5,,,,,,
13.03.2020 14:00,15.8,726.7,766.9,-1.2,75,Wind blowing from the south-southwest,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,,,,1500-2000,,,9.0,11.4,No precipitation,12,,,,
13.03.2020 11:00,14.4,727.9,768.3,,82,Wind blowing from the east,0,,,100%., ,,,12.8,,,,1500-2000,,,10.0,11.4,No precipitation,6,,,,
13.03.2020 08:00,12.8,725.9,766.1,,90,Wind blowing from the south-west,0,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,20.4,,,1500-2000,,,10.0,11.2,No precipitation,12,,,,
13.03.2020 05:00,13.1,724.6,764.5,,88,Wind blowing from the north-west,1,,5,,Rain (not freezing) not falling as shower(s). ,,,9.2,20.4,,,,,,9.0,11.2,No precipitation,6,,,,
13.03.2020 02:00,13.6,724.3,764.2,1.6,87,Wind blowing from the east,0,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,20.4,,,2500 or more  or no clouds.,,,7.0,11.5,No precipitation,12,,,,
12.03.2020 23:00,13.8,722.7,762.8,,85,Wind blowing from the south-east,1,,4,,Mist. ,,,9.2,20.4,,,,,,5.0,11.3,No precipitation,6,,,,
12.03.2020 20:00,15.9,720.3,760.4,,72,Wind blowing from the north,0,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,20.4,,,600-1000,,,13.0,10.9,No precipitation,12,,,,
12.03.2020 17:00,19.8,718.2,757.9,,50,Wind blowing from the north,1,,,70 – 80%., ,,,,,,,600-1000,,,29.0,9.1,,,,,,
12.03.2020 14:00,17.9,719.8,759.8,-2.9,52,Wind blowing from the west-southwest,1,,4,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,18.3,,,600-1000,,,25.0,7.9,No precipitation,12,,,,
12.03.2020 11:00,13.5,722.7,763.1,,69,Wind blowing from the south-southeast,1,,,70 – 80%., ,,,,,,,600-1000,,,21.0,7.9,,,,,,
12.03.2020 08:00,9.3,722.8,763.5,1.2,95,Wind blowing from the west,1,,3,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.8,,,2500 or more  or no clouds.,,,6.0,8.5,Trace of precipitation,12,,,,
12.03.2020 05:00,9.6,721.6,762.2,,94,Wind blowing from the north,0,,,, ,,,,,,,,,,9.0,8.7,,,,,,
12.03.2020 02:00,9.6,722.8,763.4,,94,Wind blowing from the south,1,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,11.8,,,2500 or more  or no clouds.,,,8.0,8.7,0.2,12,,,,
11.03.2020 23:00,10.3,723.5,764.2,,91,Calm  no wind,0,,,, ,,,9.1,11.8,,,,,,14.0,8.9,No precipitation,6,,,,
11.03.2020 20:00,10.6,722.2,762.8,0.6,92,Wind blowing from the west,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Drizzle.,9.1,14.1,,,300-600,,,11.0,9.4,0.6,12,,,,
11.03.2020 17:00,11.3,721.6,762.1,,88,Wind blowing from the east-southeast,0,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,9.1,,,,300-600,,,10.0,9.4,0.2,6,,,,
11.03.2020 14:00,11.7,723.1,763.6,-2.3,81,Wind blowing from the south-southwest,0,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,,,,2500 or more  or no clouds.,,,19.0,8.6,2.0,12,,,,
11.03.2020 11:00,11.0,725.4,766.0,,85,Wind blowing from the north,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Rain.,9.1,,,,300-600,,,15.0,8.6,2.0,6,,,,
11.03.2020 08:00,9.3,725.2,765.7,0.6,91,Wind blowing from the east-southeast,0,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,19.3,,,300-600,,,14.0,7.9,1.0,12,,,,
11.03.2020 05:00,9.8,724.6,764.8,,84,Wind blowing from the west,1,,,, ,,,,,,,,,,19.0,7.2,,,,,,
11.03.2020 02:00,10.3,725.1,765.4,-0.1,80,Wind blowing from the east-northeast,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,19.3,,,2500 or more  or no clouds.,,,19.0,7.0,No precipitation,12,,,,
10.03.2020 23:00,11.1,725.2,765.8,,79,Calm  no wind,0,,,, ,,,8.0,19.3,,,,,,12.0,7.6,No precipitation,6,,,,
10.03.2020 20:00,14.1,723.5,764.0,,61,Wind blowing from the west-northwest,0,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,19.3,,,,,,10.0,6.7,No precipitation,12,,,,
10.03.2020 17:00,18.9,723.4,763.6,,34,Wind blowing from the north-east,1,,,60%., ,,,,,,,2500 or more  or no clouds.,,,29.0,2.7,,,,,,
10.03.2020 14:00,17.0,725.7,766.0,-3.5,37,Wind blowing from the west-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,17.0,,,2500 or more  or no clouds.,,,24.0,2.2,No precipitation,12,,,,
10.03.2020 11:00,10.9,729.2,770.1,,76,Wind blowing from the west,1,,3,90  or more  but not 100%, ,,,8.0,12.8,,,600-1000,,,29.0,6.8,No precipitation,6,,,,
10.03.2020 08:00,8.7,728.4,769.3,1.5,89,Wind blowing from the east-northeast,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,12.8,,,600-1000,,,30.0,7.0,No precipitation,12,,,,
10.03.2020 05:00,8.4,726.9,767.8,,96,Wind blowing from the east-southeast,1,,4,, ,,,8.0,12.8,,,,,,10.0,7.8,No precipitation,6,,,,
10.03.2020 02:00,9.2,726.4,767.2,,95,Wind blowing from the east,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,12.8,,,2500 or more  or no clouds.,,,13.0,8.4,0.3,12,,,,
09.03.2020 20:00,11.8,724.9,765.4,2.5,77,Wind blowing from the east-northeast,0,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,13.3,,,2500 or more  or no clouds.,,,30.0,7.9,5.0,12,,,,
09.03.2020 17:00,12.2,722.4,762.7,,79,Calm  no wind,0,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,11.8,,,,300-600,,,29.0,8.7,2.0,6,,,,
09.03.2020 14:00,12.7,721.3,761.5,-0.3,86,Wind blowing from the north-northwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,14.1,,,300-600,,,22.0,10.4,4.0,12,,,,
09.03.2020 11:00,12.3,721.6,761.8,,95,Wind blowing from the west-northwest,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,14.1,,,300-600,,,2.3,11.5,3.0,6,,,,
09.03.2020 08:00,11.9,719.4,759.5,2.0,95,Wind blowing from the south-east,1,,3,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,14.1,,,2500 or more  or no clouds.,,,3.0,11.1,Trace of precipitation,12,,,,
09.03.2020 05:00,12.0,717.4,757.3,,94,Wind blowing from the east,0,,3,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.5,14.1,,,,,,3.8,11.1,No precipitation,6,,,,
09.03.2020 02:00,12.6,717.5,757.5,,92,Wind blowing from the north,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,14.1,,,2500 or more  or no clouds.,,,3.5,11.3,No precipitation,12,,,,
08.03.2020 23:00,12.7,717.7,757.7,,91,Wind blowing from the south-west,1,,2,,Mist. ,,,11.5,14.1,,,,,,3.6,11.3,No precipitation,6,,,,
08.03.2020 20:00,13.3,715.9,755.8,,87,Calm  no wind,0,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,14.1,,,2500 or more  or no clouds.,,,3.7,11.2,1.0,12,,,,
08.03.2020 17:00,13.8,714.4,754.2,,81,Wind blowing from the north,1,,,100%., ,,,,,,,600-1000,,,5.0,10.6,,,,,,
08.03.2020 14:00,13.4,714.8,754.6,-2.1,87,Wind blowing from the north,0,,2,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,15.2,,,300-600,,,3.8,11.3,1.0,12,,,,
08.03.2020 11:00,12.3,716.9,756.9,,93,Wind blowing from the west-southwest,0,,2,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,,,,300-600,,,3.2,11.2,1.0,6,,,,
08.03.2020 08:00,11.6,716.8,756.7,,94,Calm  no wind,0,,,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,15.2,,,2500 or more  or no clouds.,,,3.6,10.7,Trace of precipitation,12,,,,
08.03.2020 05:00,11.8,716.6,756.4,,92,Calm  no wind,0,,,,Mist. ,,,8.9,15.2,,,,,,3.2,10.5,No precipitation,6,,,,
08.03.2020 02:00,12.1,718.7,758.7,-1.4,92,Wind blowing from the north,0,,2,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.2,,,2500 or more  or no clouds.,,,3.3,10.8,No precipitation,12,,,,
07.03.2020 23:00,12.7,720.1,760.3,,88,Wind blowing from the south-west,1,,3,,Mist. ,,,8.9,15.2,,,,,,3.3,10.8,No precipitation,6,,,,
07.03.2020 20:00,13.4,719.3,759.6,,81,Calm  no wind,0,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.2,,,2500 or more  or no clouds.,,,5.0,10.2,No precipitation,12,,,,
07.03.2020 17:00,14.9,718.4,758.5,,71,Calm  no wind,0,,,100%., ,,,,,,,2500 or more  or no clouds.,,,9.0,9.7,,,,,,
07.03.2020 14:00,14.7,720.1,760.3,-2.1,70,Wind blowing from the south-west,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.1,,,2500 or more  or no clouds.,,,8.0,9.3,No precipitation,12,,,,
07.03.2020 11:00,12.7,722.2,762.7,,77,Wind blowing from the west-southwest,1,,3,90  or more  but not 100%, ,,,8.9,15.1,,,2500 or more  or no clouds.,,,10.0,8.8,No precipitation,6,,,,
07.03.2020 08:00,9.1,721.9,762.4,0.6,94,Wind blowing from the south-southwest,1,,3,10%  or less  but not 0,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.1,,,2500 or more  or no clouds.,,,6.0,8.2,No precipitation,12,,,,
07.03.2020 05:00,9.4,721.3,761.6,,92,Calm  no wind,0,,,, ,,,,,,,,,,8.0,8.2,,,,,,
07.03.2020 02:00,9.7,722.0,762.4,-0.1,90,Wind blowing from the west,0,,3,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.1,,,2500 or more  or no clouds.,,,7.0,8.1,No precipitation,12,,,,
06.03.2020 23:00,9.7,722.1,762.7,,91,Wind blowing from the west,1,,3,,Mist. ,,,8.9,15.1,,,,,,5.0,8.3,No precipitation,6,,,,
06.03.2020 20:00,12.0,720.1,760.6,1.1,81,Wind blowing from the north,0,,3,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,15.1,,,2500 or more  or no clouds.,,,10.0,8.8,No precipitation,12,,,,
06.03.2020 17:00,14.8,719.0,759.1,,64,Wind blowing from the south-west,1,,,90  or more  but not 100%, ,,,,,,,600-1000,,,24.0,8.1,,,,,,
06.03.2020 14:00,13.6,720.2,760.5,-2.0,62,Wind blowing from the west,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,13.8,,,600-1000,,,30.0,6.5,No precipitation,12,,,,
06.03.2020 11:00,11.1,722.2,762.7,,77,Wind blowing from the south-west,1,,2,100%., ,,,8.9,13.1,,,2500 or more  or no clouds.,,,16.0,7.2,No precipitation,6,,,,
06.03.2020 08:00,9.0,721.7,762.3,,88,Wind blowing from the west-southwest,1,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,13.1,,,2500 or more  or no clouds.,,,12.0,7.1,No precipitation,12,,,,
06.03.2020 05:00,9.4,721.4,761.8,,86,Wind blowing from the west,1,,,, ,,,,,,,,,,14.0,7.2,,,,,,
06.03.2020 02:00,10.0,722.6,763.1,-1.4,78,Wind blowing from the north,0,,2,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.1,,,2500 or more  or no clouds.,,,15.0,6.3,No precipitation,12,,,,
05.03.2020 23:00,10.5,724.0,764.6,,76,Wind blowing from the west,0,,3,, ,,,,13.1,,,,,,11.0,6.5,No precipitation,6,,,,
05.03.2020 20:00,11.2,723.1,764.0,,73,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,13.1,,,2500 or more  or no clouds.,,,9.0,6.5,No precipitation,12,,,,
05.03.2020 17:00,12.6,722.6,763.4,,58,Wind blowing from the east-southeast,0,,,100%., ,,,,,,,2500 or more  or no clouds.,,,23.0,4.6,,,,,,
05.03.2020 14:00,12.2,724.7,765.5,-3.0,56,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,14.4,,,2500 or more  or no clouds.,,,26.0,3.7,No precipitation,12,,,,
05.03.2020 11:00,10.7,727.7,768.7,,72,Wind blowing from the south-west,1,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,19.0,5.9,,,,,,
05.03.2020 08:00,6.0,727.9,769.0,,93,Wind blowing from the east-southeast,0,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,14.4,,,2500 or more  or no clouds.,,,16.0,5.0,No precipitation,12,,,,
05.03.2020 05:00,6.0,727.3,768.1,,93,Wind blowing from the west-southwest,0,,,, ,,,,,,,,,,13.0,5.0,,,,,,
05.03.2020 02:00,7.3,727.9,768.9,,91,Wind blowing from the north,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,14.4,,,2500 or more  or no clouds.,,,18.0,5.9,No precipitation,12,,,,
04.03.2020 23:00,9.4,728.0,769.0,,87,Wind blowing from the west,1,,5,, ,,,6.6,14.4,,,,,,10.0,7.3,No precipitation,6,,,,
04.03.2020 20:00,11.8,727.2,768.2,0.6,72,Calm  no wind,0,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,14.4,,,2500 or more  or no clouds.,,,13.0,6.9,No precipitation,12,,,,
04.03.2020 17:00,14.3,726.6,767.4,,54,Wind blowing from the south-southwest,1,,,90  or more  but not 100%, ,,,,,,,,,,26.0,5.1,,,,,,
04.03.2020 14:00,13.0,728.5,769.4,,58,Wind blowing from the south-southwest,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,13.1,,,2500 or more  or no clouds.,,,27.0,4.9,No precipitation,12,,,,
04.03.2020 11:00,10.2,730.0,771.2,,73,Wind blowing from the south-southwest,2,,3,90  or more  but not 100%, ,,,6.6,10.9,,,600-1000,,,26.0,5.6,No precipitation,6,,,,
04.03.2020 08:00,6.9,729.5,770.8,0.7,93,Wind blowing from the north-west,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,10.9,,,2500 or more  or no clouds.,,,13.0,5.8,No precipitation,12,,,,
04.03.2020 05:00,6.8,728.8,770.0,,93,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,14.0,5.7,,,,,,
04.03.2020 02:00,7.6,729.0,770.2,-0.1,90,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,10.9,,,2500 or more  or no clouds.,,,18.0,6.1,No precipitation,12,,,,
03.03.2020 23:00,8.0,729.1,770.4,,92,Calm  no wind,0,,,, ,,,7.3,10.9,,,,,,14.0,6.8,No precipitation,6,,,,
03.03.2020 20:00,9.6,727.8,769.0,,86,Wind blowing from the west-southwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,10.9,,,2500 or more  or no clouds.,,,20.0,7.4,Trace of precipitation,12,,,,
03.03.2020 17:00,10.9,726.4,767.4,,72,Calm  no wind,0,,,100%., ,,,,,,,1500-2000,,,30.0,5.9,,,,,,
03.03.2020 14:00,10.4,726.9,767.9,-1.6,70,Wind blowing from the north-northwest,0,,2,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,10.4,,,2500 or more  or no clouds.,,,30.0,5.2,4.0,12,,,,
03.03.2020 11:00,8.6,728.5,769.8,,87,Wind blowing from the east,1,,2,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.7,8.6,,,2500 or more  or no clouds.,,,29.0,6.6,3.0,6,,,,
03.03.2020 08:00,7.3,727.9,769.1,,91,Wind blowing from the west-northwest,1,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,5.5,8.6,,,300-600,,,15.0,5.9,4.0,12,,,,
03.03.2020 05:00,7.7,726.1,767.3,,93,Wind blowing from the north-west,1,,3,,Rain (not freezing) not falling as shower(s). ,,,,,,,,,,15.0,6.6,0.9,6,,,,
03.03.2020 02:00,8.0,726.7,767.9,-0.8,89,Wind blowing from the south-west,1,,3,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,17.0,6.3,No precipitation,12,,,,
02.03.2020 23:00,8.2,727.5,768.9,,88,Wind blowing from the east,0,,3,, ,,,5.5,,,,,,,19.0,6.3,No precipitation,6,,,,
02.03.2020 20:00,8.5,726.6,767.8,0.7,82,Wind blowing from the west-northwest,0,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,,,,2500 or more  or no clouds.,,,28.0,5.6,11.0,12,,,,
02.03.2020 17:00,8.4,725.9,766.7,,82,Wind blowing from the north,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,5.5,20.7,,,300-600,,,30.0,5.5,0.6,6,,,,
02.03.2020 14:00,7.6,726.2,767.0,-1.4,85,Wind blowing from the south-southwest,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Shower(s).,Rain.,5.5,22.1,,,300-600,,,24.0,5.2,21.0,12,,,,
02.03.2020 11:00,5.7,727.6,768.6,,90,Wind blowing from the north-northwest,1,,7,100%.,Rain shower(s)  slight. ,Shower(s).,Rain.,5.5,22.1,,,300-600,,,10.0,4.2,20.0,6,,,,
02.03.2020 08:00,7.9,726.4,766.9,,87,Wind blowing from the north,2,,6,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Drizzle.,7.9,22.1,,,300-600,,,6.0,5.9,10.0,12,,,,
02.03.2020 05:00,12.1,724.4,764.2,,53,Calm  no wind,0,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,10.0,22.1,,,,,,19.0,2.8,No precipitation,6,,,,
02.03.2020 02:00,13.3,725.5,765.3,-0.5,62,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,22.1,,,2500 or more  or no clouds.,,,19.0,6.2,No precipitation,12,,,,
