Local time in Huai'an,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 14:00,21.0,760.4,761.6,-1.8,46,Wind blowing from the west-southwest,4,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,21.0,,,2500 or more  or no clouds.,,,11.0,9.0,No precipitation,12,,,,
17.03.2020 11:00,18.3,762.2,763.5,,48,Wind blowing from the south-west,5,,7,20–30%., ,,,7.2,18.5,,,2500 or more  or no clouds.,,,10.0,7.1,No precipitation,6,,,,
17.03.2020 08:00,11.6,762.7,763.9,0.2,73,Wind blowing from the south,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,15.6,,,,,,9.0,6.9,No precipitation,12,,,,
17.03.2020 05:00,7.7,762.5,763.8,,79,Wind blowing from the south,3,,5,no clouds, ,,,4.9,15.6,,,,,,10.0,4.3,No precipitation,6,,,,
17.03.2020 02:00,10.3,763.2,764.5,,71,Wind blowing from the south,3,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,15.6,,,2500 or more  or no clouds.,,,11.0,5.3,No precipitation,12,,,,
16.03.2020 23:00,11.7,764.4,765.7,,62,Wind blowing from the south,3,,7,90  or more  but not 100%, ,,,4.9,15.6,,,,,,15.0,4.7,No precipitation,6,,,,
16.03.2020 20:00,11.4,764.8,766.1,,64,Wind blowing from the south-east,1,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,15.6,,,2500 or more  or no clouds.,,,11.0,4.8,No precipitation,12,,,,
16.03.2020 17:00,14.2,764.6,765.9,,53,Wind blowing from the south-southeast,3,,,90  or more  but not 100%, ,,,4.9,18.6,,,,,,20.0,4.8,No precipitation,6,,,,
16.03.2020 14:00,14.9,765.7,767.0,-2.0,49,Wind blowing from the south-southeast,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,19.8,,,2500 or more  or no clouds.,,,19.0,4.3,No precipitation,12,,,,
16.03.2020 11:00,11.4,767.7,769.0,,53,Wind blowing from the south-east,5,,9,100%., ,,,4.9,19.8,,,2500 or more  or no clouds.,,,23.0,2.2,No precipitation,6,,,,
16.03.2020 08:00,8.8,768.3,769.6,,65,Wind blowing from the east-southeast,5,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,19.8,,,2500 or more  or no clouds.,,,27.0,2.6,No precipitation,12,,,,
16.03.2020 05:00,5.0,767.2,768.5,,82,Wind blowing from the east-southeast,3,,9,no clouds, ,,,3.2,19.8,,,,,,18.0,2.2,No precipitation,6,,,,
16.03.2020 02:00,7.3,767.4,768.7,,68,Wind blowing from the east-southeast,3,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.8,,,2500 or more  or no clouds.,,,25.0,1.8,No precipitation,12,,,,
15.03.2020 23:00,8.7,767.1,768.4,,61,Wind blowing from the east,4,,10,40%., ,,,3.2,19.8,,,,,,14.0,1.6,No precipitation,6,,,,
15.03.2020 20:00,12.3,764.3,765.6,2.2,43,Wind blowing from the north-northeast,4,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.8,,,2500 or more  or no clouds.,,,11.0,0.1,No precipitation,12,,,,
15.03.2020 17:00,18.6,762.1,763.3,,24,Wind blowing from the north-west,3,,10,10%  or less  but not 0, ,,,3.2,19.8,,,2500 or more  or no clouds.,,,26.0,-2.3,No precipitation,6,,,,
15.03.2020 14:00,19.4,762.0,763.3,,22,Wind blowing from the west-northwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,19.4,,,,,,20.0,-2.8,No precipitation,12,,,,
15.03.2020 11:00,15.2,763.6,764.9,,46,Wind blowing from the west,3,,8,no clouds, ,,,3.2,15.2,,,,,,15.0,3.7,No precipitation,6,,,,
15.03.2020 08:00,8.7,763.6,764.9,0.9,71,Wind blowing from the south-west,3,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,13.5,,,,,,9.0,3.7,No precipitation,12,,,,
15.03.2020 05:00,3.2,762.7,764.0,,86,Wind blowing from the south,2,,7,no clouds, ,,,1.9,13.5,,,,,,9.0,1.1,No precipitation,6,,,,
15.03.2020 02:00,4.4,763.4,764.7,,81,Wind blowing from the south-southwest,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,13.5,,,,,,9.0,1.4,No precipitation,12,,,,
14.03.2020 23:00,7.9,764.0,765.3,,71,Wind blowing from the south-west,2,,10,no clouds, ,,,1.9,13.5,,,,,,10.0,3.0,No precipitation,6,,,,
14.03.2020 20:00,7.7,763.5,764.8,0.6,74,Wind blowing from the south-west,2,,10,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,13.5,,,,,,7.0,3.4,No precipitation,12,,,,
14.03.2020 17:00,12.8,762.9,764.2,,53,Wind blowing from the west,4,,10,20–30%., ,,,1.9,13.5,,,600-1000,,,10.0,3.5,No precipitation,6,,,,
14.03.2020 14:00,12.4,763.9,765.2,-2.9,65,Wind blowing from the west-southwest,5,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,12.6,,,600-1000,,,10.0,6.0,No precipitation,12,,,,
14.03.2020 11:00,9.8,766.8,768.1,,73,Wind blowing from the west-southwest,4,,8,20–30%., ,,,1.9,10.0,,,600-1000,,,12.0,5.2,No precipitation,6,,,,
14.03.2020 08:00,3.8,767.8,769.1,0.0,95,Wind blowing from the west,2,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,9.2,,,,,,5.0,3.1,No precipitation,12,,,,
14.03.2020 05:00,2.3,767.8,769.0,,96,Wind blowing from the west-southwest,2,,4,no clouds,Mist. ,,,2.0,9.2,,,,,,6.0,1.7,No precipitation,6,,,,
14.03.2020 02:00,2.3,768.5,769.8,,95,Wind blowing from the west,1,,10,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,10.5,,,,,,5.0,1.6,0.8,12,,,,
13.03.2020 23:00,3.3,769.7,771.0,,95,Wind blowing from the south-west,1,,13,no clouds, ,,,3.3,11.4,,,,,,6.0,2.6,No precipitation,6,,,,
13.03.2020 20:00,5.8,769.8,771.1,1.1,84,Wind blowing from the north-west,0,,,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.3,12.0,,,1000-1500,,,19.0,3.3,0.8,12,,,,
13.03.2020 17:00,5.8,768.7,770.0,,84,Wind blowing from the east-northeast,2,,15,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,5.3,,,,600-1000,,,20.0,3.3,0.8,6,,,,
13.03.2020 14:00,7.1,768.6,769.9,,65,Wind blowing from the north-northeast,5,,15,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,,,,600-1000,,,21.0,0.8,Trace of precipitation,12,,,,
13.03.2020 11:00,8.6,769.0,770.2,,61,Wind blowing from the north-east,7,,15,100%., ,,,8.1,,,,600-1000,,,19.0,1.5,No precipitation,6,,,,
13.03.2020 08:00,8.2,767.4,768.7,2.3,79,Wind blowing from the north-east,7,,13,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,18.1,,,1000-1500,,,8.0,4.8,No precipitation,12,,,,
13.03.2020 05:00,8.9,765.1,766.3,,93,Wind blowing from the north-northeast,5,,9,100%.,Mist. ,,,7.1,18.1,,,200-300,,,2.3,7.8,No precipitation,6,,,,
13.03.2020 02:00,10.0,763.4,764.7,-0.2,94,Wind blowing from the east,1,,,50%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,18.1,,,2500 or more  or no clouds.,,,1.8,9.1,No precipitation,12,,,,
12.03.2020 23:00,11.4,763.6,764.8,,87,Wind blowing from the north,1,,7,90  or more  but not 100%,Mist. ,,,7.0,18.1,,,,,,2.7,9.3,No precipitation,6,,,,
12.03.2020 20:00,12.2,761.8,763.1,,81,Wind blowing from the north,1,,7,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,18.1,,,2500 or more  or no clouds.,,,3.2,9.0,No precipitation,12,,,,
12.03.2020 17:00,16.0,760.3,761.5,,59,Wind blowing from the south,3,,7,90  or more  but not 100%, ,,,7.0,18.1,,,,,,8.0,8.0,No precipitation,6,,,,
12.03.2020 14:00,17.8,760.7,762.0,,54,Wind blowing from the south,3,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,17.9,,,2500 or more  or no clouds.,,,6.0,8.4,No precipitation,12,,,,
12.03.2020 11:00,15.8,762.4,763.7,,62,Wind blowing from the south-east,2,,,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,16.3,,,,,,4.0,8.5,No precipitation,6,,,,
12.03.2020 08:00,9.5,762.6,763.9,0.4,80,Wind blowing from the south-southeast,4,,,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,16.3,,,2500 or more  or no clouds.,,,2.7,6.2,No precipitation,12,,,,
12.03.2020 05:00,7.2,762.2,763.5,,82,Wind blowing from the south-east,2,,8,10%  or less  but not 0,Mist. ,,,1.9,16.3,,,,,,3.3,4.3,No precipitation,6,,,,
12.03.2020 02:00,8.8,763.1,764.4,-0.3,75,Wind blowing from the south-southeast,3,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,16.3,,,,,,5.0,4.6,No precipitation,12,,,,
11.03.2020 23:00,9.9,763.4,764.7,,69,Wind blowing from the south-southeast,3,,,no clouds, ,,,1.9,16.3,,,,,,7.0,4.5,No precipitation,6,,,,
11.03.2020 20:00,11.6,762.9,764.2,0.2,59,Wind blowing from the south-east,3,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,16.3,,,2500 or more  or no clouds.,,,8.0,3.9,No precipitation,12,,,,
11.03.2020 17:00,14.5,762.7,763.9,,46,Wind blowing from the south-southwest,4,,8,70 – 80%., ,,,1.9,16.3,,,2500 or more  or no clouds.,,,15.0,3.0,No precipitation,6,,,,
11.03.2020 14:00,15.6,763.7,765.0,-2.1,36,Wind blowing from the south-west,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,15.8,,,,,,13.0,0.6,No precipitation,12,,,,
11.03.2020 11:00,13.3,765.8,767.1,,66,Wind blowing from the south-southwest,3,,7,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,13.4,,Sky obscured by fog and/or other meteorological phenomena.,600-1000,,,6.0,7.1,No precipitation,6,,,,
11.03.2020 08:00,6.9,765.7,766.9,,99,Wind blowing from the south-east,1,,4,70 – 80%.,Fog or ice fog. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.9,13.4,,,2500 or more  or no clouds.,,,2.5,6.8,No precipitation,12,,,,
11.03.2020 05:00,4.1,764.3,765.6,,98,Wind blowing from the west,0,,5,no clouds,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,3.9,13.4,,,,,,0.1,3.8,No precipitation,6,,,,
11.03.2020 02:00,7.4,765.1,766.4,0.2,90,Wind blowing from the west,1,,7,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,13.4,,,2500 or more  or no clouds.,,,3.8,5.9,No precipitation,12,,,,
10.03.2020 23:00,9.6,764.9,766.2,,78,Wind blowing from the west-southwest,2,,7,50%.,Haze. ,,,5.9,13.4,,,,,,7.0,6.0,No precipitation,6,,,,
10.03.2020 20:00,9.1,764.2,765.5,,75,Wind blowing from the south-southwest,2,,9,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,13.4,,,1500-2000,,,7.0,4.9,No precipitation,12,,,,
10.03.2020 17:00,12.2,763.3,764.6,,49,Wind blowing from the west-northwest,2,,9,90  or more  but not 100%, ,,,5.9,13.4,,,,,,12.0,1.8,No precipitation,6,,,,
10.03.2020 14:00,12.7,763.6,764.8,,48,Wind blowing from the north,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,12.8,,,,,,14.0,2.0,0.1,12,,,,
10.03.2020 11:00,10.2,764.8,766.1,,68,Wind blowing from the north-west,3,,9,20–30%., ,,,5.9,10.4,,,600-1000,,,10.0,4.6,No precipitation,6,,,,
10.03.2020 08:00,6.8,763.7,765.0,1.2,92,Wind blowing from the north,4,,7,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,10.4,,,1000-1500,,,4.1,5.6,3.0,12,,,,
10.03.2020 05:00,6.2,762.5,763.8,,95,Wind blowing from the north-west,2,,9,100%.,Mist. ,,,6.2,10.4,,,2500 or more  or no clouds.,,,3.5,5.5,1.0,6,,,,
10.03.2020 02:00,7.4,762.4,763.6,,95,Wind blowing from the north-northwest,3,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,10.4,,,1000-1500,,,3.4,6.7,10.0,12,,,,
09.03.2020 20:00,8.6,760.3,761.5,2.0,96,Wind blowing from the north,4,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.6,12.0,,,200-300,,,11.0,8.0,9.0,12,,,,
09.03.2020 17:00,9.3,758.3,759.6,,96,Wind blowing from the north,5,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.8,,,,200-300,,,6.0,8.7,5.0,6,,,,
09.03.2020 14:00,9.9,756.9,758.2,-0.7,97,Wind blowing from the north-northeast,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.8,,,,200-300,,,3.1,9.4,4.0,12,,,,
09.03.2020 11:00,10.2,757.6,758.9,,98,Wind blowing from the north-northeast,5,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,8.8,,,,200-300,,,3.6,9.9,1.0,6,,,,
09.03.2020 08:00,9.5,757.0,758.2,0.7,99,Wind blowing from the north,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,14.5,,,100-200,,,1.9,9.4,5.0,12,,,,
09.03.2020 05:00,9.0,756.3,757.6,,98,Wind blowing from the north-east,3,,9,100%.,Mist. ,,,6.0,14.5,,,100-200,,,2.6,8.7,5.0,6,,,,
09.03.2020 02:00,8.9,757.6,758.9,,96,Wind blowing from the north-northeast,3,,9,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,14.5,,,300-600,,,2.6,8.3,3.0,12,,,,
08.03.2020 23:00,10.0,758.3,759.6,,79,Wind blowing from the north-east,4,,9,100%., ,,,6.0,14.5,,,1000-1500,,,14.0,6.5,No precipitation,6,,,,
08.03.2020 20:00,12.0,758.1,759.4,0.8,70,Wind blowing from the east-northeast,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,14.5,,,2500 or more  or no clouds.,,,10.0,6.7,No precipitation,12,,,,
08.03.2020 17:00,14.0,757.3,758.6,,64,Wind blowing from the east,5,,9,60%., ,,,6.0,15.1,,,2500 or more  or no clouds.,,,14.0,7.3,No precipitation,6,,,,
08.03.2020 14:00,12.7,759.2,760.5,-2.8,72,Wind blowing from the east,6,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,17.2,,,600-1000,,,7.0,7.8,No precipitation,12,,,,
08.03.2020 11:00,10.8,762.0,763.3,,77,Wind blowing from the east-southeast,6,,9,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,17.2,,,600-1000,,,4.6,6.9,No precipitation,6,,,,
08.03.2020 08:00,6.3,762.1,763.4,,99,Wind blowing from the east,4,,8,100%.,Fog or ice fog. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,17.2,,,50-100,,,0.8,6.2,No precipitation,12,,,,
08.03.2020 05:00,6.5,761.2,762.5,,98,Wind blowing from the east,3,,,100%.,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,4.4,17.2,,,50-100,,,0.6,6.2,No precipitation,6,,,,
08.03.2020 02:00,6.6,762.1,763.3,-0.2,95,Wind blowing from the east,3,,6,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,17.2,,,,,,1.8,5.9,No precipitation,12,,,,
07.03.2020 23:00,8.0,762.3,763.6,,82,Wind blowing from the south-east,2,,6,10%  or less  but not 0,Mist. ,,,4.4,17.2,,,,,,4.9,5.1,No precipitation,6,,,,
07.03.2020 20:00,10.7,761.8,763.0,1.0,79,Wind blowing from the east,3,,6,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,17.2,,,,,,3.3,7.2,No precipitation,12,,,,
07.03.2020 17:00,15.1,760.8,762.1,,65,Wind blowing from the north-northeast,2,,6,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,17.2,,,,,,4.5,8.6,No precipitation,6,,,,
07.03.2020 14:00,16.5,760.3,761.6,-1.5,58,Wind blowing from the north,3,,5,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,17.0,,,600-1000,,,6.0,8.2,No precipitation,12,,,,
07.03.2020 11:00,14.7,761.8,763.1,,62,Wind blowing from the west,2,,5,no clouds, ,,,4.4,14.9,,,,,,7.0,7.5,No precipitation,6,,,,
07.03.2020 08:00,7.6,761.5,762.8,1.5,99,Wind blowing from the north,0,,3,no clouds,Fog or ice fog. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.4,12.5,,,,,,1.8,7.5,No precipitation,12,,,,
07.03.2020 05:00,6.5,760.0,761.2,,93,Wind blowing from the north-northeast,1,,6,10%  or less  but not 0,Mist. ,,,3.8,12.5,,,,,,3.1,5.5,No precipitation,6,,,,
07.03.2020 02:00,9.3,760.1,761.4,,85,Wind blowing from the north-northeast,1,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.5,,,1500-2000,,,6.0,6.9,No precipitation,12,,,,
06.03.2020 23:00,10.0,760.5,761.8,,77,Wind blowing from the east-southeast,2,,7,100%.,Haze. ,,,,12.5,,,2000-2500,,,6.0,6.2,No precipitation,6,,,,
06.03.2020 20:00,10.6,760.6,761.8,0.6,70,Wind blowing from the east,2,,9,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,12.5,,,2500 or more  or no clouds.,,,7.0,5.4,No precipitation,12,,,,
06.03.2020 17:00,11.7,760.0,761.2,,61,Wind blowing from the east-southeast,4,,9,100%., ,,,3.8,12.5,,,2500 or more  or no clouds.,,,10.0,4.4,No precipitation,6,,,,
06.03.2020 14:00,11.3,760.8,762.1,-2.2,60,Wind blowing from the east-southeast,4,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.8,12.0,,,2500 or more  or no clouds.,,,10.0,3.8,No precipitation,12,,,,
06.03.2020 11:00,9.2,763.0,764.3,,62,Wind blowing from the south-east,4,,9,90  or more  but not 100%, ,,,3.8,11.6,,,,,,11.0,2.3,No precipitation,6,,,,
06.03.2020 08:00,5.1,764.3,765.6,,74,Wind blowing from the south-east,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.6,,,,2500 or more  or no clouds.,,,10.0,0.7,No precipitation,12,,,,
06.03.2020 05:00,4.1,763.9,765.2,,72,Wind blowing from the south-east,5,,9,20–30%., ,,,0.6,11.6,,,,,,12.0,-0.5,No precipitation,6,,,,
06.03.2020 02:00,4.5,765.4,766.7,-0.9,54,Wind blowing from the south-east,5,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,11.6,,,2500 or more  or no clouds.,,,22.0,-4.2,No precipitation,12,,,,
05.03.2020 23:00,5.9,766.3,767.5,,56,Wind blowing from the south-east,4,,9,no clouds, ,,,0.6,11.6,,,,,,17.0,-2.2,No precipitation,6,,,,
05.03.2020 20:00,6.3,766.9,768.1,0.1,54,Wind blowing from the east-southeast,3,,7,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,11.6,,,,,,5.0,-2.3,No precipitation,12,,,,
05.03.2020 17:00,10.2,766.8,768.1,,41,Wind blowing from the south-east,2,,,no clouds, ,,,0.6,11.6,,,,,,12.0,-2.5,No precipitation,6,,,,
05.03.2020 14:00,11.2,768.5,769.8,-2.8,37,Wind blowing from the south-east,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,12.1,,,,,,17.0,-2.9,No precipitation,12,,,,
05.03.2020 11:00,7.8,771.3,772.6,,43,Wind blowing from the south-east,4,,,no clouds, ,,,0.6,12.1,,,,,,20.0,-4.0,No precipitation,6,,,,
05.03.2020 08:00,3.6,772.0,773.3,0.3,59,Wind blowing from the east,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.6,12.1,,,,,,14.0,-3.7,No precipitation,12,,,,
05.03.2020 05:00,1.0,771.7,772.9,,74,Wind blowing from the east,2,,7,no clouds, ,,,0.7,12.1,,,,,,10.0,-3.1,No precipitation,6,,,,
05.03.2020 02:00,2.0,771.8,773.1,,63,Wind blowing from the east,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.1,,,,,,14.0,-4.3,No precipitation,12,,,,
04.03.2020 23:00,2.9,772.0,773.3,,54,Wind blowing from the east,2,,7,no clouds, ,,,1.3,12.1,,,,,,20.0,-5.5,No precipitation,6,,,,
04.03.2020 20:00,5.7,771.7,772.9,1.2,41,Wind blowing from the east-northeast,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.1,,,,,,22.0,-6.8,No precipitation,12,,,,
04.03.2020 17:00,10.6,770.5,771.7,,28,Wind blowing from the north,3,,7,no clouds, ,,,1.3,12.1,,,,,,23.0,-7.1,No precipitation,6,,,,
04.03.2020 14:00,11.4,770.2,771.4,-1.6,33,Wind blowing from the north-northeast,2,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.5,,,2500 or more  or no clouds.,,,28.0,-4.3,No precipitation,12,,,,
04.03.2020 11:00,9.4,771.8,773.1,,36,Wind blowing from the east-northeast,4,,7,20–30%., ,,,1.3,12.7,,,2500 or more  or no clouds.,,,26.0,-4.9,No precipitation,6,,,,
04.03.2020 08:00,4.4,771.3,772.6,1.7,81,Wind blowing from the north-northeast,2,,5,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.3,12.7,,,,,,6.0,1.4,No precipitation,12,,,,
04.03.2020 05:00,2.5,769.6,770.8,,91,Wind blowing from the north-east,2,,5,no clouds,Mist. ,,,0.4,12.7,,,,,,3.7,1.2,No precipitation,6,,,,
04.03.2020 02:00,5.7,768.8,770.1,0.4,77,Wind blowing from the north-northeast,3,,5,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,12.7,,,2500 or more  or no clouds.,,,4.9,2.0,No precipitation,12,,,,
03.03.2020 23:00,7.6,768.4,769.7,,71,Wind blowing from the north,2,,5,100%.,Haze. ,,,,12.7,,,2500 or more  or no clouds.,,,6.0,2.7,No precipitation,6,,,,
03.03.2020 20:00,9.1,768.0,769.3,,67,Wind blowing from the west-northwest,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.4,12.7,,,2500 or more  or no clouds.,,,8.0,3.3,No precipitation,12,,,,
