Local time in Tonghe,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
14.03.2020 17:00,-0.2,743.8,754.3,,74,Wind blowing from the south,4,,,60%., ,,,-9.4,2.4,,,600-1000,,,26.0,-4.3,No precipitation,6,,,,
14.03.2020 14:00,1.5,744.0,754.4,-1.4,52,Wind blowing from the west,6,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.0,,,600-1000,,,30.0,-7.3,No precipitation,12,,,,
14.03.2020 11:00,-1.3,745.4,755.9,,63,Wind blowing from the west,5,,7,no clouds, ,,,-9.4,-1.2,,,,,,26.0,-7.6,No precipitation,6,,,,
14.03.2020 08:00,-5.9,746.1,756.7,,73,Wind blowing from the west,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-4.5,,,,,,23.0,-10.1,No precipitation,12,,,,
14.03.2020 05:00,-8.5,746.5,757.0,,77,Wind blowing from the north-east,2,,8,, ,,,,-4.5,,,,,,25.0,-11.8,No precipitation,6,,,,
14.03.2020 02:00,-7.2,748.0,758.6,,68,Wind blowing from the north-east,1,,13,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-4.5,,,2500 or more  or no clouds.,,,22.0,-12.1,No precipitation,12,,,,
13.03.2020 23:00,-6.5,749.2,759.9,,67,Wind blowing from the south-west,1,,,, ,,,,-4.5,,,,,,21.0,-11.6,No precipitation,6,,,,
13.03.2020 20:00,-5.8,750.9,761.6,-1.8,56,Wind blowing from the south-southwest,4,,16,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.7,-4.9,,,2500 or more  or no clouds.,,,30.0,-13.2,No precipitation,12,,,,
13.03.2020 17:00,-5.4,752.7,763.5,,52,Wind blowing from the south-west,1,,16,20–30%., ,,,-13.7,-4.9,,,2500 or more  or no clouds.,,,30.0,-13.7,No precipitation,6,,,,
13.03.2020 14:00,-5.8,753.7,764.5,,47,Wind blowing from the west,9,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.7,-1.6,,,,,,30.0,-15.3,No precipitation,12,,,,
13.03.2020 11:00,-8.5,755.3,766.2,,53,Wind blowing from the west,10,,15,no clouds, ,,,-13.7,,,,,,,30.0,-16.4,No precipitation,6,,,,
13.03.2020 08:00,-11.8,755.8,766.6,1.2,59,Wind blowing from the west,9,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.7,,,,,,,30.0,-18.2,No precipitation,12,,,,
13.03.2020 05:00,-13.3,754.6,765.5,,64,Wind blowing from the west,8,,14,, ,,,-13.4,-0.1,,,,,,30.0,-18.7,No precipitation,6,,,,
13.03.2020 02:00,-11.9,754.0,764.7,1.4,66,Wind blowing from the west,8,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,-0.1,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
12.03.2020 23:00,-11.0,752.6,763.3,,66,Wind blowing from the west,7,,,, ,,,-11.3,-0.1,,,,,,30.0,-16.1,No precipitation,6,,,,
12.03.2020 20:00,-9.8,750.7,761.4,,63,Wind blowing from the west,7,,18,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,-0.1,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
12.03.2020 17:00,-6.5,748.6,759.1,,50,Wind blowing from the west-northwest,8,,18,100%., ,,,-8.3,-0.1,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,6,,,,
12.03.2020 14:00,-1.5,745.6,756.1,,66,Wind blowing from the west-southwest,9,,18,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,-0.1,,,2500 or more  or no clouds.,,,20.0,-7.2,No precipitation,12,,,,
12.03.2020 11:00,-0.3,745.9,756.3,,61,Wind blowing from the west,12,,15,no clouds, ,,,-8.3,-0.1,,,,,,30.0,-7.1,No precipitation,6,,,,
12.03.2020 08:00,-4.5,745.4,756.0,-0.2,73,Wind blowing from the west-southwest,3,,5,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,-0.7,,,2500 or more  or no clouds.,,,19.0,-8.6,No precipitation,12,,,,
12.03.2020 05:00,-4.8,745.6,756.1,,68,Wind blowing from the south,1,,6,, ,,,-9.4,-0.7,,,,,,27.0,-9.8,No precipitation,6,,,,
12.03.2020 02:00,-6.5,746.9,757.4,-1.8,80,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-0.7,,,2500 or more  or no clouds.,,,16.0,-9.5,No precipitation,12,,,,
11.03.2020 23:00,-6.2,748.7,759.3,,75,Wind blowing from the south,2,,,, ,,,-9.4,-0.7,,,,,,15.0,-9.9,No precipitation,6,,,,
11.03.2020 20:00,-7.0,749.2,759.9,0.5,76,Wind blowing from the south,1,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-0.7,,,,,,25.0,-10.5,No precipitation,12,,,,
11.03.2020 17:00,-2.4,748.7,759.3,,62,Wind blowing from the west,6,,11,no clouds, ,,,-9.4,-0.7,,,,,,30.0,-8.7,No precipitation,6,,,,
11.03.2020 14:00,-1.4,748.3,758.8,-0.4,64,Wind blowing from the west,9,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-0.3,,,2500 or more  or no clouds.,,,25.0,-7.5,0.1,12,,,,
11.03.2020 11:00,-2.9,748.7,759.2,,74,Wind blowing from the west,8,,11,20–30%., ,,,-9.4,-0.3,,,2500 or more  or no clouds.,,,15.0,-6.9,No precipitation,6,,,,
11.03.2020 08:00,-6.0,748.6,759.2,,87,Wind blowing from the west,7,,10,50%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-0.3,,,2500 or more  or no clouds.,,,11.0,-7.8,0.6,12,,,,
11.03.2020 05:00,-7.9,747.9,758.5,,91,Wind blowing from the west-southwest,2,,9,, ,,,-9.7,-0.3,,,,,,30.0,-9.1,0.6,6,,,,
11.03.2020 02:00,-4.6,747.9,758.3,0.1,93,Wind blowing from the west-northwest,2,,12,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,-0.3,,,2500 or more  or no clouds.,,,3.2,-5.6,0.5,12,,,,
10.03.2020 23:00,-5.0,747.8,758.3,,89,Wind blowing from the north-northeast,1,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,-9.7,-0.3,,,,,,9.0,-6.5,No precipitation,6,,,,
10.03.2020 20:00,-3.2,747.9,758.4,,76,Wind blowing from the east-northeast,3,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,-0.3,,,2500 or more  or no clouds.,,,27.0,-6.8,No precipitation,12,,,,
10.03.2020 17:00,-2.8,747.4,757.9,,77,Wind blowing from the east-northeast,5,,13,100%., ,,,-9.7,-0.1,,,2500 or more  or no clouds.,,,12.0,-6.3,No precipitation,6,,,,
10.03.2020 14:00,-0.6,746.9,757.4,,45,Wind blowing from the east-northeast,6,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,1.6,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
10.03.2020 11:00,-0.9,748.9,759.4,,45,Wind blowing from the east-northeast,8,,12,70 – 80%., ,,,-9.7,1.7,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,6,,,,
10.03.2020 08:00,-4.4,751.0,761.5,-1.3,59,Wind blowing from the east-northeast,6,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,1.7,,,2500 or more  or no clouds.,,,29.0,-11.4,No precipitation,12,,,,
10.03.2020 05:00,-7.8,752.3,762.9,,75,Wind blowing from the east-northeast,3,,5,, ,,,-9.2,1.7,,,,,,30.0,-11.5,No precipitation,6,,,,
10.03.2020 02:00,-7.7,753.9,764.5,,74,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,1.7,,,2500 or more  or no clouds.,,,24.0,-11.5,No precipitation,12,,,,
09.03.2020 20:00,-5.0,755.5,766.1,0.1,76,Wind blowing from the west,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,1.7,,,1500-2000,,,23.0,-8.6,0.2,12,,,,
09.03.2020 17:00,-0.1,755.4,765.9,,71,Wind blowing from the west-southwest,2,,7,60%., ,,,-1.7,2.9,,,1500-2000,,,10.0,-4.7,No precipitation,6,,,,
09.03.2020 14:00,1.3,755.5,765.9,-1.1,64,Wind blowing from the west-southwest,2,,9,70 – 80%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,3.8,,,1500-2000,,,30.0,-4.8,0.4,12,,,,
09.03.2020 11:00,0.1,756.6,767.0,,66,Wind blowing from the east-southeast,2,,,100%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,4.0,,,2500 or more  or no clouds.,,,29.0,-5.5,0.4,6,,,,
09.03.2020 08:00,-1.3,755.7,766.1,2.5,85,Wind blowing from the east-southeast,3,,9,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,4.0,,,2500 or more  or no clouds.,,,7.0,-3.5,0.2,12,,,,
09.03.2020 05:00,-1.3,753.2,763.6,,92,Wind blowing from the west,5,,9,,Mist. ,,,,4.0,,,,,,3.0,-2.4,No precipitation,6,,,,
09.03.2020 02:00,0.1,751.3,761.6,,96,Wind blowing from the west,6,,9,,Rain and snow or ice pellets not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,4.0,,,2500 or more  or no clouds.,,,2.7,-0.5,No precipitation,12,,,,
08.03.2020 23:00,1.2,750.5,760.9,,96,Wind blowing from the west,3,,,,Mist. ,,,,4.0,,,,,,1.0,0.6,No precipitation,6,,,,
08.03.2020 20:00,1.4,750.7,761.2,0.4,83,Wind blowing from the west-northwest,1,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,4.0,,,2500 or more  or no clouds.,,,7.0,-1.2,No precipitation,12,,,,
08.03.2020 17:00,2.9,750.3,760.8,,75,Wind blowing from the south-southwest,3,,7,100%., ,,,-9.4,4.0,,,2500 or more  or no clouds.,,,8.0,-1.1,No precipitation,6,,,,
08.03.2020 14:00,3.7,750.7,761.2,-0.9,71,Wind blowing from the south,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,4.0,,,2500 or more  or no clouds.,,,10.0,-1.1,No precipitation,12,,,,
08.03.2020 11:00,2.6,751.6,762.1,,70,Wind blowing from the south,3,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,2.6,,,,,,6.0,-2.3,No precipitation,6,,,,
08.03.2020 08:00,-5.4,752.2,762.7,,88,Wind blowing from the north-northeast,1,,4,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,0.6,,,,,,2.0,-7.1,No precipitation,12,,,,
08.03.2020 05:00,-7.5,752.5,763.0,,89,Wind blowing from the north-east,2,,7,,Mist. ,,,-9.4,0.6,,,,,,3.4,-9.0,No precipitation,6,,,,
08.03.2020 02:00,-8.7,752.7,763.3,0.2,91,Wind blowing from the north-east,2,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,0.6,,,2500 or more  or no clouds.,,,2.4,-9.9,No precipitation,12,,,,
07.03.2020 23:00,-7.4,752.5,763.1,,88,Calm  no wind,0,,,,Mist. ,,,-7.5,0.6,,,,,,3.5,-9.0,No precipitation,6,,,,
07.03.2020 20:00,-3.8,752.3,762.9,0.9,81,Wind blowing from the south-southwest,3,,8,60%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,0.6,,,1500-2000,,,4.9,-6.7,0.7,12,,,,
07.03.2020 17:00,-0.8,751.4,761.9,,70,Wind blowing from the west-southwest,6,,8,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,0.6,,,2500 or more  or no clouds.,,,7.0,-5.6,,,,,,
07.03.2020 14:00,-1.1,750.7,761.2,-0.8,79,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,0.6,,,2500 or more  or no clouds.,,,8.0,-4.3,1.0,12,,,,
07.03.2020 11:00,-3.4,751.5,762.0,,84,Wind blowing from the east-northeast,2,,,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,0.6,,,2500 or more  or no clouds.,,,11.0,-5.7,0.9,6,,,,
07.03.2020 08:00,-4.9,751.7,762.3,0.1,88,Wind blowing from the east,4,,9,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,0.6,,,2500 or more  or no clouds.,,,1.8,-6.6,0.4,12,,,,
07.03.2020 05:00,-3.8,751.6,762.1,,64,Wind blowing from the east,5,,9,,Snow not falling as shower(s). ,,,,0.6,,,,,,23.0,-9.6,No precipitation,6,,,,
07.03.2020 02:00,-2.7,752.0,762.4,,59,Wind blowing from the east,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,0.6,,,2500 or more  or no clouds.,,,27.0,-9.8,No precipitation,12,,,,
06.03.2020 23:00,-2.1,752.7,763.2,,53,Wind blowing from the east-northeast,5,,,, ,,,,0.6,,,,,,30.0,-10.4,No precipitation,6,,,,
06.03.2020 20:00,-2.6,753.5,764.2,0.7,53,Wind blowing from the east-northeast,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,0.6,,,,,,27.0,-10.9,No precipitation,12,,,,
06.03.2020 17:00,-0.8,752.8,763.6,,55,Wind blowing from the east-northeast,5,,8,no clouds, ,,,-14.7,0.6,,,,,,22.0,-8.9,No precipitation,6,,,,
06.03.2020 14:00,0.2,753.6,764.2,-1.3,52,Wind blowing from the east,5,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,0.3,,,,,,21.0,-8.7,No precipitation,12,,,,
06.03.2020 11:00,-1.5,754.9,765.6,,54,Wind blowing from the east,4,,,no clouds, ,,,-14.7,-1.2,,,,,,30.0,-9.8,No precipitation,6,,,,
06.03.2020 08:00,-9.6,755.8,766.6,,74,Wind blowing from the north-east,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,-1.2,,,,,,14.0,-13.4,No precipitation,12,,,,
06.03.2020 05:00,-14.6,755.2,766.0,,82,Wind blowing from the north-east,1,,4,, ,,,-15.7,-1.2,,,,,,21.0,-17.0,No precipitation,6,,,,
06.03.2020 02:00,-12.8,755.4,766.2,-0.1,84,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.7,-1.2,,,2500 or more  or no clouds.,,,17.0,-14.9,No precipitation,12,,,,
05.03.2020 23:00,-12.0,755.5,766.3,,85,Wind blowing from the east-northeast,2,,,,Mist. ,,,-15.7,-1.2,,,,,,2.0,-14.0,No precipitation,6,,,,
05.03.2020 20:00,-8.1,755.6,766.5,0.5,77,Wind blowing from the south-east,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.7,-1.2,,,2500 or more  or no clouds.,,,8.0,-11.4,No precipitation,12,,,,
05.03.2020 17:00,-4.1,755.1,766.0,,61,Wind blowing from the south,3,,5,no clouds, ,,,-15.7,-1.2,,,,,,24.0,-10.5,No precipitation,6,,,,
05.03.2020 14:00,-2.6,755.8,766.6,-1.5,56,Wind blowing from the south-southwest,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.7,-1.3,,,,,,23.0,-10.2,No precipitation,12,,,,
05.03.2020 11:00,-6.4,757.3,768.0,,74,Wind blowing from the south,3,,7,no clouds, ,,,-15.7,-1.3,,,,,,10.0,-10.4,No precipitation,6,,,,
05.03.2020 08:00,-13.7,758.3,769.2,0.8,87,Wind blowing from the south,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.7,-1.3,,,2500 or more  or no clouds.,,,5.0,-15.4,0.2,12,,,,
05.03.2020 05:00,-15.5,757.5,768.4,,87,Wind blowing from the south-west,3,,7,, ,,,-15.5,-1.3,,,,,,10.0,-17.2,No precipitation,6,,,,
05.03.2020 02:00,-11.6,757.3,768.1,,83,Wind blowing from the west,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,-1.3,,,2500 or more  or no clouds.,,,14.0,-13.9,0.7,12,,,,
04.03.2020 23:00,-5.5,757.1,767.8,,93,Wind blowing from the west,1,,,, ,,,-6.0,-1.3,,,,,,9.0,-6.5,0.7,6,,,,
04.03.2020 20:00,-4.7,757.0,767.6,1.0,91,Wind blowing from the west,1,,11,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,-1.3,,,2500 or more  or no clouds.,,,1.7,-5.9,0.9,12,,,,
04.03.2020 17:00,-3.2,756.0,766.6,,75,Wind blowing from the east,3,,11,100%., ,,,-5.0,-1.3,,,2500 or more  or no clouds.,,,11.0,-7.0,0.2,6,,,,
04.03.2020 14:00,-1.6,755.6,766.2,-0.8,64,Wind blowing from the east-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,-1.3,,,2500 or more  or no clouds.,,,30.0,-7.5,0.6,12,,,,
04.03.2020 11:00,-3.4,756.4,766.9,,81,Wind blowing from the east-northeast,6,,,70 – 80%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,-1.4,,,1500-2000,,,3.8,-6.3,0.4,6,,,,
04.03.2020 08:00,-4.4,756.5,767.2,0.4,80,Wind blowing from the east-northeast,6,,10,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-1.4,,,2500 or more  or no clouds.,,,10.0,-7.3,0.2,12,,,,
04.03.2020 05:00,-4.9,756.1,766.7,,87,Wind blowing from the east-northeast,7,,10,,Intermittent fall of snowflakes  slight at time of observation. ,,,,-1.4,,,,,,2.9,-6.7,No precipitation,6,,,,
04.03.2020 02:00,-4.6,756.5,767.1,-0.8,85,Wind blowing from the east-northeast,6,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-1.4,,,2500 or more  or no clouds.,,,5.0,-6.7,No precipitation,12,,,,
03.03.2020 23:00,-3.3,757.3,768.0,,68,Wind blowing from the east-northeast,6,,,, ,,,,-1.4,,,,,,15.0,-8.4,No precipitation,6,,,,
03.03.2020 20:00,-3.2,758.2,769.0,,71,Wind blowing from the east-northeast,6,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.4,-1.4,,,1500-2000,,,10.0,-7.7,No precipitation,12,,,,
03.03.2020 17:00,-1.7,758.6,769.5,,59,Wind blowing from the east-northeast,4,,6,100%., ,,,-19.4,-1.4,,,2500 or more  or no clouds.,,,12.0,-8.7,No precipitation,6,,,,
03.03.2020 14:00,-1.8,759.4,770.3,-1.8,57,Wind blowing from the east,2,,3,70 – 80%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.4,-1.7,,,1500-2000,,,10.0,-9.4,No precipitation,12,,,,
03.03.2020 11:00,-6.6,761.2,772.0,,79,Wind blowing from the west-northwest,1,,3,no clouds,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.4,-2.5,,,,,,8.0,-9.6,No precipitation,6,,,,
03.03.2020 08:00,-14.5,761.9,772.9,0.1,87,Wind blowing from the north-east,1,,4,no clouds,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.4,-2.5,,,,,,0.5,-16.2,No precipitation,12,,,,
03.03.2020 05:00,-18.1,761.8,772.8,,82,Wind blowing from the south-southwest,1,,6,,Mist. ,,,-18.1,-2.5,,,,,,1.6,-20.4,No precipitation,6,,,,
03.03.2020 02:00,-15.6,761.8,772.7,0.3,85,Wind blowing from the west-southwest,1,,8,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.6,-2.5,,,2500 or more  or no clouds.,,,2.4,-17.5,No precipitation,12,,,,
02.03.2020 23:00,-11.9,761.5,772.4,,89,Wind blowing from the south-west,3,,,,Mist. ,,,-11.9,-2.5,,,,,,4.6,-13.3,No precipitation,6,,,,
02.03.2020 20:00,-9.2,760.9,771.8,1.2,83,Wind blowing from the west-southwest,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,-2.5,,,,,,9.0,-11.6,0.6,12,,,,
02.03.2020 17:00,-5.2,759.7,770.5,,78,Wind blowing from the west,5,,8,no clouds, ,,,-10.0,-2.5,,,,,,11.0,-8.4,0.3,6,,,,
02.03.2020 14:00,-2.5,759.0,769.7,,69,Wind blowing from the west-southwest,3,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,-2.0,,,2500 or more  or no clouds.,,,17.0,-7.4,0.7,12,,,,
02.03.2020 11:00,-4.4,759.6,770.3,,78,Wind blowing from the west,2,,,70 – 80%.,Haze. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,-2.0,,,2500 or more  or no clouds.,,,7.0,-7.7,0.4,6,,,,
02.03.2020 08:00,-6.8,759.6,770.4,1.2,85,Wind blowing from the north-northwest,0,,6,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.0,-2.0,,,2500 or more  or no clouds.,,,2.5,-8.9,0.1,12,,,,
02.03.2020 05:00,-8.6,758.4,769.1,,86,Wind blowing from the south,2,,6,, ,,,-13.0,-2.0,,,,,,7.0,-10.5,No precipitation,6,,,,
02.03.2020 02:00,-8.8,757.7,768.4,0.3,83,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,-2.0,,,2500 or more  or no clouds.,,,9.0,-11.2,No precipitation,12,,,,
01.03.2020 23:00,-7.4,757.4,768.1,,83,Wind blowing from the north-east,1,,,,Mist. ,,,,-2.0,,,,,,6.0,-9.9,No precipitation,6,,,,
01.03.2020 20:00,-5.8,757.3,768.1,0.7,73,Wind blowing from the east,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,-2.0,,,1500-2000,,,14.0,-9.9,0.1,12,,,,
01.03.2020 17:00,-4.1,756.6,767.4,,73,Wind blowing from the east,3,,,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,-2.0,,,2500 or more  or no clouds.,,,6.0,-8.2,0.3,6,,,,
01.03.2020 14:00,-2.9,756.4,767.2,-0.9,71,Wind blowing from the north-northwest,1,,3,70 – 80%.,Haze. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,-2.9,,,2500 or more  or no clouds.,,,6.0,-7.4,0.5,12,,,,
01.03.2020 11:00,-5.3,757.3,768.1,,74,Wind blowing from the west,1,,4,, ,,,-15.0,-5.2,,,,,,12.0,-9.2,0.2,6,,,,
