Local time in Beihai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 02:00,21.9,761.0,762.2,-1.2,92,Wind blowing from the east,4,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,22.9,,,2500 or more  or no clouds.,,,6.0,20.5,No precipitation,12,,,,
16.03.2020 23:00,22.0,762.2,763.5,,91,Wind blowing from the east,5,,10,,Mist. ,,,19.8,22.9,,,,,,6.0,20.5,No precipitation,6,,,,
16.03.2020 20:00,22.0,760.9,762.2,1.0,89,Wind blowing from the east-southeast,5,,10,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,22.9,,,600-1000,,,6.0,20.1,2.0,12,,,,
16.03.2020 17:00,22.5,759.9,761.1,,88,Wind blowing from the east,4,,10,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,22.9,,,600-1000,,,7.0,20.4,0.1,6,,,,
16.03.2020 14:00,22.4,760.7,762.0,-1.9,90,Wind blowing from the east-southeast,3,,9,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,23.2,,,600-1000,,,6.0,20.7,6.0,12,,,,
16.03.2020 11:00,21.1,762.6,763.9,,97,Wind blowing from the east-southeast,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,,,,300-600,,,3.1,20.6,5.0,6,,,,
16.03.2020 08:00,20.3,761.5,762.8,,98,Wind blowing from the east,4,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,24.0,,,300-600,,,1.6,20.0,4.0,12,,,,
16.03.2020 05:00,19.9,760.3,761.5,,96,Wind blowing from the east,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,19.8,24.0,,,,,,2.0,19.2,2.0,6,,,,
16.03.2020 02:00,19.9,760.8,762.0,,95,Wind blowing from the east-southeast,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.8,24.0,,,2500 or more  or no clouds.,,,2.8,19.1,0.4,12,,,,
15.03.2020 23:00,21.1,761.9,763.1,,81,Wind blowing from the east,4,,8,,Mist. ,,,20.0,24.0,,,,,,4.9,17.7,No precipitation,6,,,,
15.03.2020 20:00,21.4,761.1,762.4,0.9,75,Wind blowing from the east,4,,8,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,24.0,,,600-1000,,,5.0,16.8,No precipitation,12,,,,
15.03.2020 17:00,22.7,760.2,761.4,,67,Wind blowing from the east,3,,8,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,24.0,,,600-1000,,,6.0,16.3,No precipitation,6,,,,
15.03.2020 14:00,23.2,761.2,762.4,-2.7,64,Wind blowing from the east-southeast,3,,8,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,24.0,,,600-1000,,,6.0,16.0,No precipitation,12,,,,
15.03.2020 11:00,22.9,763.9,765.1,,70,Wind blowing from the east,4,,7,90  or more  but not 100%, ,,,20.0,23.2,,,600-1000,,,7.0,17.1,No precipitation,6,,,,
15.03.2020 08:00,20.5,763.0,764.2,1.0,81,Wind blowing from the east,2,,,90  or more  but not 100%,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,23.2,,,600-1000,,,4.1,17.1,Trace of precipitation,12,,,,
15.03.2020 05:00,20.5,762.0,763.2,,73,Wind blowing from the north-east,1,,6,,Mist. ,,,18.9,23.2,,,,,,6.0,15.5,No precipitation,6,,,,
15.03.2020 02:00,21.1,762.8,764.1,-0.4,70,Wind blowing from the north-northeast,1,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,23.2,,,2500 or more  or no clouds.,,,7.0,15.4,No precipitation,12,,,,
14.03.2020 23:00,21.8,763.2,764.5,,68,Wind blowing from the east,1,,9,,Rain (not freezing) not falling as shower(s). ,,,18.9,23.2,,,,,,7.0,15.6,No precipitation,6,,,,
14.03.2020 20:00,22.6,761.6,762.9,1.3,63,Wind blowing from the north,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,26.9,,,600-1000,,,8.0,15.2,No precipitation,12,,,,
14.03.2020 17:00,23.0,760.3,761.5,,60,Wind blowing from the north-northeast,3,,9,90  or more  but not 100%, ,,,18.9,29.0,,,600-1000,,,10.0,14.8,No precipitation,6,,,,
14.03.2020 14:00,22.2,761.5,762.7,-1.8,59,Wind blowing from the north-east,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,,,,600-1000,,,10.0,13.8,No precipitation,12,,,,
14.03.2020 11:00,20.1,763.3,764.6,,66,Wind blowing from the north-northeast,3,,9,100%., ,,,18.9,,,,600-1000,,,11.0,13.6,No precipitation,6,,,,
14.03.2020 08:00,19.0,762.3,763.5,1.7,73,Wind blowing from the north-northeast,2,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,30.0,,,600-1000,,,12.0,14.1,No precipitation,12,,,,
14.03.2020 05:00,19.6,760.6,761.8,,77,Wind blowing from the north,2,,9,, ,,,19.6,30.0,,,,,,11.0,15.5,No precipitation,6,,,,
14.03.2020 02:00,20.9,760.9,762.1,0.1,77,Wind blowing from the north-east,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.9,30.0,,,2500 or more  or no clouds.,,,12.0,16.7,No precipitation,12,,,,
13.03.2020 23:00,22.5,760.8,762.0,,84,Wind blowing from the north-northeast,2,,8,,Mist. ,,,22.0,30.0,,,,,,5.0,19.7,No precipitation,6,,,,
13.03.2020 20:00,26.9,758.9,760.1,1.3,78,Wind blowing from the east-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,30.0,,,600-1000,,,9.0,22.7,No precipitation,12,,,,
13.03.2020 17:00,29.0,757.6,758.8,,67,Wind blowing from the east-northeast,3,,5,70 – 80%., ,,,22.0,30.0,,,600-1000,,,11.0,22.3,No precipitation,6,,,,
13.03.2020 14:00,28.7,758.6,759.8,,67,Wind blowing from the north-northwest,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,29.2,,,600-1000,,,12.0,22.0,No precipitation,12,,,,
13.03.2020 11:00,26.6,760.3,761.5,,78,Wind blowing from the north-east,2,,4,90  or more  but not 100%, ,,,22.0,27.1,,,600-1000,,,10.0,22.4,No precipitation,6,,,,
13.03.2020 08:00,22.6,759.4,760.6,1.6,97,Wind blowing from the east-southeast,1,,3,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,,,,600-1000,,,2.3,22.1,No precipitation,12,,,,
13.03.2020 05:00,22.7,757.8,759.0,,96,Wind blowing from the east,0,,,,Mist. ,,,21.5,27.1,,,,,,3.7,22.0,No precipitation,6,,,,
13.03.2020 02:00,22.8,758.0,759.2,-0.2,96,Wind blowing from the north-northwest,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,27.1,,,2500 or more  or no clouds.,,,6.0,22.1,No precipitation,12,,,,
12.03.2020 23:00,23.2,758.2,759.4,,94,Wind blowing from the west-northwest,1,,6,, ,,,20.4,27.1,,,,,,8.0,22.2,No precipitation,6,,,,
12.03.2020 20:00,24.1,757.0,758.2,0.6,88,Wind blowing from the west,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,27.1,,,600-1000,,,12.0,22.0,No precipitation,12,,,,
12.03.2020 17:00,26.4,756.4,757.6,,76,Wind blowing from the south-southwest,2,,6,90  or more  but not 100%, ,,,20.2,27.1,,,600-1000,,,21.0,21.8,No precipitation,6,,,,
12.03.2020 14:00,26.3,757.7,758.9,-2.1,77,Wind blowing from the south,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,27.1,,,600-1000,,,20.0,21.9,0.1,12,,,,
12.03.2020 11:00,25.1,759.8,761.0,,86,Wind blowing from the south-southeast,3,,9,90  or more  but not 100%, ,,,20.2,25.1,,,600-1000,,,9.0,22.6,0.1,6,,,,
12.03.2020 08:00,22.1,759.3,760.5,1.1,98,Wind blowing from the east-southeast,2,,9,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,22.1,,,600-1000,,,3.4,21.8,0.2,12,,,,
12.03.2020 05:00,21.5,758.2,759.4,,97,Wind blowing from the east-southeast,2,,9,,Mist. ,,,19.0,21.5,,,,,,4.6,21.0,0.1,6,,,,
12.03.2020 02:00,21.0,759.1,760.3,-0.6,96,Wind blowing from the west,1,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,21.2,,,2500 or more  or no clouds.,,,4.5,20.3,0.1,12,,,,
11.03.2020 23:00,20.5,759.7,761.0,,94,Wind blowing from the east,4,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,,21.2,,,,,,4.1,19.5,No precipitation,6,,,,
11.03.2020 20:00,20.3,758.9,760.2,0.1,89,Wind blowing from the east,4,,9,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,21.7,,,600-1000,,,4.8,18.4,Trace of precipitation,12,,,,
11.03.2020 17:00,20.9,758.8,760.1,,81,Wind blowing from the east,3,,8,100%., ,,,18.9,23.1,,,600-1000,,,7.0,17.5,No precipitation,6,,,,
11.03.2020 14:00,21.1,760.1,761.4,-1.9,74,Wind blowing from the east,4,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,23.1,,,600-1000,,,11.0,16.3,1.0,12,,,,
11.03.2020 11:00,21.0,762.0,763.3,,69,Wind blowing from the east,4,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,23.1,,,600-1000,,,13.0,15.1,No precipitation,6,,,,
11.03.2020 08:00,19.0,761.5,762.7,1.3,78,Wind blowing from the east-northeast,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,23.1,,,600-1000,,,9.0,15.1,1.0,12,,,,
11.03.2020 05:00,19.4,760.2,761.4,,69,Wind blowing from the east-northeast,2,,10,,Rain (not freezing) not falling as shower(s). ,,,18.9,23.1,,,,,,10.0,13.6,1.0,6,,,,
11.03.2020 02:00,20.3,760.9,762.1,-0.1,62,Wind blowing from the north-east,2,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.7,23.5,,,2500 or more  or no clouds.,,,9.0,12.8,No precipitation,12,,,,
10.03.2020 23:00,21.0,761.0,762.3,,60,Wind blowing from the north-northwest,2,,10,, ,,,19.7,24.3,,,,,,13.0,12.9,No precipitation,6,,,,
10.03.2020 20:00,21.6,759.7,760.9,,57,Wind blowing from the north-east,3,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.7,25.3,,,600-1000,,,13.0,12.7,No precipitation,12,,,,
10.03.2020 17:00,23.0,758.7,759.9,,53,Wind blowing from the north-east,4,,10,50%., ,,,19.7,27.2,,,1500-2000,,,15.0,12.9,No precipitation,6,,,,
10.03.2020 14:00,22.3,759.9,761.1,,55,Wind blowing from the north-northeast,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.7,28.3,,,600-1000,,,14.0,12.8,No precipitation,12,,,,
10.03.2020 11:00,21.3,761.2,762.4,,62,Wind blowing from the north-northeast,4,,10,90  or more  but not 100%, ,,,19.7,28.4,,,600-1000,,,21.0,13.7,No precipitation,6,,,,
10.03.2020 08:00,19.8,759.3,760.5,3.0,70,Wind blowing from the north-northeast,3,,10,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.7,28.4,,,600-1000,,,28.0,14.2,No precipitation,12,,,,
10.03.2020 05:00,20.7,756.3,757.5,,72,Wind blowing from the north-east,4,,10,, ,,,20.7,28.4,,,,,,19.0,15.5,No precipitation,6,,,,
10.03.2020 02:00,23.5,755.8,757.0,,72,Wind blowing from the north-east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,28.4,,,2500 or more  or no clouds.,,,12.0,18.2,No precipitation,12,,,,
09.03.2020 20:00,25.3,753.1,754.3,1.2,81,Wind blowing from the west,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,28.4,,,,,,12.0,21.8,No precipitation,12,,,,
09.03.2020 17:00,27.1,751.9,753.1,,75,Wind blowing from the north-northwest,2,,7,no clouds, ,,,21.3,28.4,,,,,,12.0,22.3,No precipitation,6,,,,
09.03.2020 14:00,27.8,752.3,753.5,-1.8,71,Wind blowing from the west-southwest,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,28.4,,,,,,13.0,22.1,No precipitation,12,,,,
09.03.2020 11:00,26.9,754.1,755.3,,75,Wind blowing from the east-southeast,2,,5,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,27.5,,,600-1000,,,6.0,22.1,No precipitation,6,,,,
09.03.2020 08:00,22.5,753.4,754.6,1.5,99,Wind blowing from the east,2,,3,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,27.5,,,300-600,,,2.2,22.3,No precipitation,12,,,,
09.03.2020 05:00,21.8,751.9,753.1,,99,Wind blowing from the east-northeast,1,,6,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,20.5,27.5,,,,,,0.2,21.6,No precipitation,6,,,,
09.03.2020 02:00,21.4,752.5,753.7,-0.6,97,Wind blowing from the south-east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,27.5,,,2500 or more  or no clouds.,,,3.3,20.9,No precipitation,12,,,,
08.03.2020 23:00,22.2,753.1,754.3,,96,Wind blowing from the north-east,1,,6,,Mist. ,,,20.3,27.5,,,,,,4.6,21.5,No precipitation,6,,,,
08.03.2020 20:00,24.0,751.9,753.1,0.6,84,Wind blowing from the south-southeast,1,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,27.5,,,600-1000,,,10.0,21.1,No precipitation,12,,,,
08.03.2020 17:00,26.2,751.3,752.5,,72,Wind blowing from the south-southwest,3,,6,10%  or less  but not 0, ,,,20.3,27.5,,,600-1000,,,19.0,20.8,No precipitation,6,,,,
08.03.2020 14:00,26.4,753.2,754.4,-3.0,75,Wind blowing from the south-east,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,26.5,,,,,,10.0,21.6,No precipitation,12,,,,
08.03.2020 11:00,25.4,756.2,757.4,,81,Wind blowing from the south-southeast,2,,4,90  or more  but not 100%, ,,,20.3,25.4,,,600-1000,,,10.0,21.9,No precipitation,6,,,,
08.03.2020 08:00,21.6,755.7,756.9,1.0,99,Wind blowing from the east-southeast,1,,3,100%.,Fog or ice fog. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,24.8,,,600-1000,,,2.1,21.4,No precipitation,12,,,,
08.03.2020 05:00,20.5,754.7,755.9,,99,Wind blowing from the east,1,,3,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,20.3,24.8,,,,,,0.2,20.3,No precipitation,6,,,,
08.03.2020 02:00,20.4,755.8,757.0,-1.3,98,Wind blowing from the east-northeast,1,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,24.8,,,2500 or more  or no clouds.,,,3.7,20.1,No precipitation,12,,,,
07.03.2020 23:00,22.4,757.1,758.3,,89,Wind blowing from the east-southeast,1,,5,, ,,,21.1,24.8,,,,,,14.0,20.5,No precipitation,6,,,,
07.03.2020 20:00,22.8,755.8,757.0,0.3,87,Wind blowing from the south-west,1,,5,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,24.8,,,600-1000,,,12.0,20.5,No precipitation,12,,,,
07.03.2020 17:00,24.3,755.5,756.7,,81,Wind blowing from the south,1,,5,90  or more  but not 100%, ,,,21.1,24.5,,,600-1000,,,17.0,20.8,No precipitation,6,,,,
07.03.2020 14:00,23.5,757.3,758.5,-2.2,88,Wind blowing from the south-southwest,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,23.6,,,600-1000,,,8.0,21.4,0.1,12,,,,
07.03.2020 11:00,22.9,759.5,760.7,,93,Wind blowing from the east-southeast,2,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.5,23.0,,,600-1000,,,6.0,21.7,0.1,6,,,,
07.03.2020 08:00,21.3,759.3,760.5,1.5,98,Wind blowing from the south,0,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,600-1000,,,3.8,21.0,0.4,12,,,,
07.03.2020 05:00,21.3,757.8,759.0,,98,Wind blowing from the south-east,1,,6,,Mist. ,,,,23.0,,,,,,3.4,21.0,0.1,6,,,,
07.03.2020 02:00,21.3,758.5,759.7,-0.7,98,Wind blowing from the east,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.0,,,2500 or more  or no clouds.,,,3.8,21.0,0.3,12,,,,
06.03.2020 23:00,21.1,759.2,760.5,,98,Wind blowing from the south-east,2,,6,,Mist. ,,,15.2,23.0,,,,,,3.2,20.8,0.2,6,,,,
06.03.2020 20:00,21.6,758.7,760.0,0.7,96,Wind blowing from the east-southeast,2,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,23.0,,,600-1000,,,3.9,20.9,0.5,12,,,,
06.03.2020 17:00,22.7,758.0,759.3,,89,Wind blowing from the south-east,3,,6,100%., ,,,15.0,23.0,,,600-1000,,,13.0,20.8,0.1,6,,,,
06.03.2020 14:00,21.6,759.7,760.9,-1.7,94,Wind blowing from the east-southeast,2,,,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,21.7,,,600-1000,,,6.0,20.6,4.0,12,,,,
06.03.2020 11:00,19.5,761.4,762.7,,98,Wind blowing from the east-southeast,3,,,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.9,19.5,,,300-600,,,3.6,19.2,0.9,6,,,,
06.03.2020 08:00,16.6,761.0,762.3,0.7,99,Wind blowing from the east,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,16.6,,,300-600,,,2.5,16.4,4.0,12,,,,
06.03.2020 05:00,15.7,760.3,761.6,,99,Calm  no wind,0,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,,16.2,,,,,,1.8,15.5,3.0,6,,,,
06.03.2020 02:00,15.5,761.3,762.6,-1.2,98,Wind blowing from the north-west,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.2,,,2500 or more  or no clouds.,,,2.6,15.2,0.8,12,,,,
05.03.2020 23:00,15.2,762.5,763.8,,94,Wind blowing from the north-northwest,1,,6,,Mist. ,,,,16.2,,,,,,4.4,14.2,No precipitation,6,,,,
05.03.2020 20:00,15.1,761.8,763.0,0.7,88,Wind blowing from the north,1,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,16.2,,,600-1000,,,8.0,13.1,Trace of precipitation,12,,,,
05.03.2020 17:00,15.6,761.1,762.4,,83,Wind blowing from the north-west,2,,7,100%., ,,,12.8,16.2,,,600-1000,,,11.0,12.7,No precipitation,6,,,,
05.03.2020 14:00,15.9,762.1,763.4,-2.5,81,Wind blowing from the north-northwest,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,16.1,,,600-1000,,,12.0,12.6,Trace of precipitation,12,,,,
05.03.2020 11:00,14.8,764.6,765.9,,82,Wind blowing from the north-northeast,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,14.8,,,600-1000,,,12.0,11.8,No precipitation,6,,,,
05.03.2020 08:00,13.6,764.0,765.3,1.4,89,Wind blowing from the north,1,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,,,,600-1000,,,11.0,11.8,5.0,12,,,,
05.03.2020 05:00,13.4,762.6,763.9,,88,Wind blowing from the north-east,3,,9,, ,,,12.8,,,,,,,12.0,11.5,No precipitation,6,,,,
05.03.2020 02:00,13.3,763.2,764.5,-0.9,88,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,,,,2500 or more  or no clouds.,,,15.0,11.4,11.0,12,,,,
04.03.2020 23:00,12.9,764.1,765.4,,93,Wind blowing from the north-northeast,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.8,,,,,,,11.0,11.8,9.0,6,,,,
04.03.2020 20:00,13.4,763.0,764.2,1.3,95,Wind blowing from the north-northwest,3,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,13.3,,,,300-600,,,5.0,12.6,21.0,12,,,,
04.03.2020 17:00,14.3,761.7,763.0,,95,Wind blowing from the north-east,3,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,13.3,23.2,,,300-600,,,5.0,13.5,15.0,6,,,,
04.03.2020 14:00,13.6,762.7,764.0,-1.3,95,Wind blowing from the north,3,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,13.3,23.7,,,300-600,,,7.0,12.8,18.0,12,,,,
04.03.2020 11:00,13.7,764.0,765.3,,95,Wind blowing from the north-northwest,4,,9,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,23.7,,,300-600,,,4.3,12.9,5.0,6,,,,
04.03.2020 08:00,15.5,761.9,763.2,,96,Wind blowing from the north,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,23.7,,,300-600,,,4.5,14.9,4.0,12,,,,
04.03.2020 05:00,18.7,760.0,761.2,,96,Wind blowing from the north-northwest,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,18.7,23.7,,,,,,2.2,18.0,1.0,6,,,,
04.03.2020 02:00,21.3,760.6,761.8,-0.6,90,Wind blowing from the east-northeast,3,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,23.7,,,2500 or more  or no clouds.,,,6.0,19.6,No precipitation,12,,,,
03.03.2020 23:00,21.6,761.2,762.4,,89,Wind blowing from the east,3,,10,,Rain (not freezing) not falling as shower(s). ,,,21.5,23.7,,,,,,6.0,19.7,No precipitation,6,,,,
03.03.2020 20:00,22.4,760.0,761.2,1.5,86,Wind blowing from the east,4,,10,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,23.7,,,600-1000,,,6.0,19.9,Trace of precipitation,12,,,,
03.03.2020 17:00,23.2,758.5,759.7,,85,Wind blowing from the east,4,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,25.1,,,600-1000,,,8.0,20.5,No precipitation,6,,,,
03.03.2020 14:00,23.0,759.8,761.0,-2.3,86,Wind blowing from the south-southeast,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,,,,600-1000,,,12.0,20.5,0.1,12,,,,
03.03.2020 11:00,23.1,762.1,763.3,,86,Wind blowing from the south-east,3,,9,100%., ,,,21.5,,,,600-1000,,,9.0,20.6,0.1,6,,,,
03.03.2020 08:00,21.7,761.1,762.3,1.4,94,Wind blowing from the east,4,,9,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,,,,300-600,,,6.0,20.7,0.1,12,,,,
03.03.2020 05:00,22.1,759.7,760.9,,90,Wind blowing from the east-southeast,3,,9,, ,,,21.4,27.0,,,,,,8.0,20.4,No precipitation,6,,,,
