Local time in Longzi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 14:00,5.5,476.2,756.7,-1.6,7,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,8.8,,,2500 or more  or no clouds.,,,30.0,-27.7,No precipitation,12,,,,
16.03.2020 11:00,0.4,477.8,761.2,,18,Wind blowing from the west,1,,7,no clouds, ,,,-9.3,8.8,,,,,,30.0,-21.2,No precipitation,6,,,,
16.03.2020 08:00,-9.1,477.0,765.0,0.6,43,Wind blowing from the north-northwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,8.8,,,2500 or more  or no clouds.,,,19.0,-19.4,No precipitation,12,,,,
16.03.2020 05:00,-5.1,476.4,758.3,,25,Wind blowing from the north,1,,12,, ,,,-5.1,8.8,,,,,,30.0,-22.1,No precipitation,6,,,,
16.03.2020 02:00,-1.1,477.2,756.4,,26,Wind blowing from the west-southwest,3,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,8.8,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
15.03.2020 20:00,2.4,476.1,757.0,0.1,33,Wind blowing from the west,4,,17,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,8.8,,,600-1000,,,30.0,-12.2,No precipitation,12,,,,
15.03.2020 17:00,7.4,476.0,753.4,,18,Wind blowing from the west-southwest,5,,17,50%., ,,,0.9,12.1,,,600-1000,,,30.0,-15.4,No precipitation,6,,,,
15.03.2020 14:00,8.4,477.6,754.4,-0.7,8,Wind blowing from the south-west,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,13.5,,,1000-1500,,,30.0,-24.0,No precipitation,12,,,,
15.03.2020 11:00,6.2,478.3,756.1,,25,Wind blowing from the south-southwest,5,,,, ,,,0.9,13.5,,,,,,30.0,-12.4,No precipitation,6,,,,
15.03.2020 08:00,1.0,477.8,756.8,0.8,61,Wind blowing from the north-east,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,13.5,,,2500 or more  or no clouds.,,,30.0,-5.7,No precipitation,12,,,,
15.03.2020 05:00,1.9,477.0,752.5,,59,Wind blowing from the south,2,,,, ,,,-5.3,13.5,,,,,,30.0,-5.3,No precipitation,6,,,,
15.03.2020 02:00,3.4,478.1,754.0,,55,Wind blowing from the east-southeast,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,13.5,,,2500 or more  or no clouds.,,,30.0,-4.8,No precipitation,12,,,,
14.03.2020 20:00,7.3,476.5,758.5,0.8,35,Wind blowing from the south,5,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,13.5,,,600-1000,,,30.0,-7.1,No precipitation,12,,,,
14.03.2020 17:00,11.5,475.7,753.7,,25,Wind blowing from the west-southwest,6,,13,90  or more  but not 100%, ,,,-5.3,13.5,,,,,,30.0,-7.8,No precipitation,6,,,,
14.03.2020 14:00,10.4,477.6,755.3,-2.3,23,Wind blowing from the south,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.3,15.2,,,2500 or more  or no clouds.,,,30.0,-9.8,No precipitation,12,,,,
14.03.2020 11:00,4.5,479.9,759.4,,41,Wind blowing from the north,1,,7,, ,,,-5.3,,,,,,,30.0,-7.6,No precipitation,6,,,,
14.03.2020 08:00,-5.2,479.3,762.7,0.4,72,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,12,,,,
14.03.2020 05:00,-3.6,478.9,757.9,,66,Wind blowing from the north-northwest,1,,,, ,,,-6.8,15.2,,,,,,30.0,-9.2,No precipitation,6,,,,
14.03.2020 02:00,-0.2,479.3,756.7,,48,Wind blowing from the east,1,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,15.2,,,2500 or more  or no clouds.,,,30.0,-10.1,No precipitation,12,,,,
13.03.2020 20:00,7.8,477.6,760.6,0.7,25,Wind blowing from the south-west,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,15.2,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
13.03.2020 17:00,12.9,476.9,754.9,,9,Wind blowing from the south-west,7,,16,70 – 80%., ,,,-6.8,16.9,,,1000-1500,,,30.0,-19.2,No precipitation,6,,,,
13.03.2020 14:00,12.7,478.3,754.9,-2.4,8,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,,,,2500 or more  or no clouds.,,,30.0,-20.8,No precipitation,12,,,,
13.03.2020 11:00,2.9,480.7,762.7,,52,Wind blowing from the south-east,1,,9,70 – 80%., ,,,-6.8,,,,1000-1500,,,30.0,-6.0,No precipitation,6,,,,
13.03.2020 08:00,-6.0,479.9,762.6,,85,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
13.03.2020 05:00,-3.8,478.5,755.2,,82,Wind blowing from the north,1,,10,, ,,,-8.0,16.9,,,,,,30.0,-6.4,No precipitation,6,,,,
13.03.2020 02:00,0.1,478.3,754.9,,69,Wind blowing from the east-southeast,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.9,,,2500 or more  or no clouds.,,,30.0,-4.9,No precipitation,12,,,,
12.03.2020 20:00,10.3,474.8,755.5,1.2,20,Wind blowing from the west,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,16.9,,,,,,30.0,-11.7,No precipitation,12,,,,
12.03.2020 17:00,16.6,473.6,748.2,,5,Wind blowing from the west-northwest,4,,,10%  or less  but not 0, ,,,-8.0,16.6,,,1000-1500,,,30.0,-23.2,No precipitation,6,,,,
12.03.2020 14:00,12.8,475.9,751.6,-2.1,8,Wind blowing from the west-southwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,,,,,,,30.0,-20.7,No precipitation,12,,,,
12.03.2020 11:00,1.9,478.0,759.4,,55,Wind blowing from the north-east,1,,8,, ,,,-8.0,,,,,,,30.0,-6.4,No precipitation,6,,,,
12.03.2020 08:00,-7.7,476.9,759.1,1.1,84,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,,,,2500 or more  or no clouds.,,,30.0,-9.9,No precipitation,12,,,,
12.03.2020 05:00,-5.0,475.8,752.2,,77,Wind blowing from the north-northeast,1,,11,, ,,,-8.3,16.6,,,,,,30.0,-8.4,No precipitation,6,,,,
12.03.2020 02:00,-0.7,475.5,750.8,,60,Wind blowing from the north-northeast,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,16.6,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
11.03.2020 20:00,9.9,471.9,751.5,0.9,17,Wind blowing from the west,3,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,16.6,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
11.03.2020 17:00,15.7,471.0,745.0,,8,Wind blowing from the west,6,,17,, ,,,-8.3,16.6,,,,,,30.0,-18.5,No precipitation,6,,,,
11.03.2020 14:00,12.8,473.1,747.3,-2.7,10,Wind blowing from the west,6,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,13.9,,,1000-1500,,,28.0,-18.1,No precipitation,12,,,,
11.03.2020 11:00,1.5,475.8,756.7,,54,Wind blowing from the east-southeast,1,,8,, ,,,-8.3,,,,,,,30.0,-7.0,No precipitation,6,,,,
11.03.2020 08:00,-8.3,475.0,758.2,0.7,84,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
11.03.2020 05:00,-5.6,474.3,751.5,,80,Wind blowing from the west-northwest,1,,12,, ,,,-9.6,13.9,,,,,,30.0,-8.5,No precipitation,6,,,,
11.03.2020 02:00,-0.9,474.4,751.4,,65,Wind blowing from the east,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.9,,,2500 or more  or no clouds.,,,30.0,-6.8,No precipitation,12,,,,
10.03.2020 20:00,7.2,471.9,754.0,0.8,21,Wind blowing from the west,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,13.9,,,,,,30.0,-13.7,No precipitation,12,,,,
10.03.2020 17:00,13.6,471.1,747.1,,8,Wind blowing from the west-southwest,5,,,no clouds, ,,,-9.6,13.6,,,,,,30.0,-20.1,No precipitation,6,,,,
10.03.2020 14:00,9.2,474.1,751.2,-2.7,12,Wind blowing from the south,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,12.0,,,,,,30.0,-18.8,No precipitation,12,,,,
10.03.2020 11:00,0.0,476.8,759.4,,50,Wind blowing from the west-northwest,1,,8,, ,,,-9.6,,,,,,,30.0,-9.2,No precipitation,6,,,,
10.03.2020 08:00,-9.5,476.0,760.0,0.8,84,Wind blowing from the north-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.5,12.0,,,2500 or more  or no clouds.,,,30.0,-11.7,No precipitation,12,,,,
10.03.2020 05:00,-6.8,475.2,754.8,,76,Wind blowing from the north,1,,15,, ,,,-9.1,12.0,,,,,,30.0,-10.3,No precipitation,6,,,,
10.03.2020 02:00,-1.3,475.8,753.5,,60,Wind blowing from the east-southeast,2,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.0,,,2500 or more  or no clouds.,,,30.0,-8.1,No precipitation,12,,,,
09.03.2020 20:00,7.9,472.8,754.6,0.4,4,Wind blowing from the west,4,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,12.0,,,,,,30.0,-31.9,No precipitation,12,,,,
09.03.2020 17:00,11.7,472.4,750.1,,3,Wind blowing from the north-west,8,,17,no clouds, ,,,-9.1,12.2,,,,,,30.0,-32.2,No precipitation,6,,,,
09.03.2020 14:00,9.7,474.2,751.6,-1.9,5,Wind blowing from the west,5,,16,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,12.3,,,1000-1500,,,30.0,-28.2,No precipitation,12,,,,
09.03.2020 11:00,0.6,476.1,758.2,,47,Wind blowing from the south-east,2,,8,, ,,,-9.1,,,,,,,30.0,-9.4,No precipitation,6,,,,
09.03.2020 08:00,-8.9,475.0,758.6,0.7,83,Wind blowing from the north-northwest,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,12.3,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,12,,,,
09.03.2020 05:00,-6.4,474.3,752.8,,82,Wind blowing from the north,1,,12,, ,,,-9.7,12.3,,,,,,30.0,-9.0,No precipitation,6,,,,
09.03.2020 02:00,-2.2,474.6,752.6,,67,Wind blowing from the north-northwest,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.3,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,12,,,,
08.03.2020 20:00,7.1,471.5,753.5,0.5,18,Wind blowing from the west,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,12.3,,,2500 or more  or no clouds.,,,30.0,-15.6,No precipitation,12,,,,
08.03.2020 17:00,12.1,471.0,748.0,,5,Wind blowing from the west-northwest,6,,15,, ,,,-9.7,12.3,,,,,,30.0,-26.5,No precipitation,6,,,,
08.03.2020 14:00,9.0,473.5,749.5,-2.0,10,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,9.7,,,2500 or more  or no clouds.,,,30.0,-21.0,No precipitation,12,,,,
08.03.2020 11:00,1.1,475.5,756.5,,37,Wind blowing from the north-east,1,,8,, ,,,-9.7,9.7,,,,,,30.0,-12.0,No precipitation,6,,,,
08.03.2020 08:00,-9.7,474.6,760.9,1.0,73,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,9.7,,,2500 or more  or no clouds.,,,17.0,-13.6,No precipitation,12,,,,
08.03.2020 05:00,-7.0,473.6,753.9,,63,Calm  no wind,0,,,, ,,,-7.9,9.7,,,,,,30.0,-13.0,No precipitation,6,,,,
08.03.2020 02:00,0.2,474.4,754.9,,36,Wind blowing from the east-southeast,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,9.7,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
07.03.2020 20:00,3.1,473.0,756.4,0.5,26,Wind blowing from the south-southwest,4,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,9.7,,,,,,30.0,-14.6,No precipitation,12,,,,
07.03.2020 17:00,9.2,472.5,751.9,,13,Wind blowing from the west-southwest,6,,15,, ,,,-7.9,9.7,,,,,,30.0,-17.8,No precipitation,6,,,,
07.03.2020 14:00,2.5,475.6,759.4,-1.4,37,Wind blowing from the east,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,8.5,,,2500 or more  or no clouds.,,,30.0,-10.7,No precipitation,12,,,,
07.03.2020 11:00,-2.7,477.0,762.1,,64,Wind blowing from the east,1,,4,, ,,,-7.9,,,,,,,30.0,-8.6,No precipitation,6,,,,
07.03.2020 08:00,-6.6,476.0,761.4,0.5,78,Wind blowing from the north-west,1,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,8.5,,,1000-1500,,,30.0,-9.8,No precipitation,12,,,,
07.03.2020 05:00,-6.6,475.5,758.1,,80,Wind blowing from the north-northeast,1,,,, ,,,-9.3,8.5,,,,,,30.0,-9.5,No precipitation,6,,,,
07.03.2020 02:00,-4.0,476.3,757.6,,55,Wind blowing from the north-northeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,8.5,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
06.03.2020 20:00,2.9,474.0,760.0,1.0,27,Wind blowing from the south-southwest,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,8.5,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
06.03.2020 17:00,7.0,473.0,754.2,,20,Wind blowing from the south-west,5,,,, ,,,-9.3,8.5,,,,,,30.0,-14.4,No precipitation,6,,,,
06.03.2020 14:00,7.0,474.3,753.7,-2.1,18,Wind blowing from the north-west,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,9.1,,,2500 or more  or no clouds.,,,30.0,-15.7,No precipitation,12,,,,
06.03.2020 11:00,-0.5,476.4,760.6,,46,Wind blowing from the east,1,,6,, ,,,-9.3,9.1,,,,,,30.0,-10.7,No precipitation,6,,,,
06.03.2020 08:00,-9.3,475.8,762.9,0.9,82,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,9.1,,,2500 or more  or no clouds.,,,22.0,-11.8,No precipitation,12,,,,
06.03.2020 05:00,-6.9,474.9,756.4,,73,Wind blowing from the north-northwest,1,,11,, ,,,-8.9,9.1,,,,,,30.0,-10.9,No precipitation,6,,,,
06.03.2020 02:00,-2.8,475.3,755.8,,62,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,9.1,,,2500 or more  or no clouds.,,,30.0,-9.1,No precipitation,12,,,,
05.03.2020 20:00,2.9,473.3,758.2,0.9,25,Wind blowing from the south-southwest,4,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,9.1,,,1000-1500,,,30.0,-15.2,No precipitation,12,,,,
05.03.2020 17:00,8.3,472.4,751.2,,13,Wind blowing from the west-southwest,5,,10,, ,,,-8.9,9.2,,,,,,30.0,-18.5,No precipitation,6,,,,
05.03.2020 14:00,6.3,474.4,753.7,-1.9,24,Wind blowing from the north-east,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,9.2,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
05.03.2020 11:00,-0.1,476.3,759.1,,50,Wind blowing from the south,1,,,, ,,,-8.9,9.2,,,,,,30.0,-9.3,No precipitation,6,,,,
05.03.2020 08:00,-8.4,475.2,761.2,0.4,77,Wind blowing from the north-west,1,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,9.2,,,600-1000,,,30.0,-11.7,No precipitation,12,,,,
05.03.2020 05:00,-4.9,474.8,754.6,,73,Wind blowing from the west-southwest,1,,10,, ,,,-5.5,9.2,,,,,,30.0,-9.0,No precipitation,6,,,,
05.03.2020 02:00,-1.8,475.0,755.4,,57,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.2,,,2500 or more  or no clouds.,,,30.0,-9.4,No precipitation,12,,,,
04.03.2020 20:00,3.2,472.7,754.3,0.9,28,Wind blowing from the south-southwest,5,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,9.2,,,1000-1500,,,30.0,-13.6,No precipitation,12,,,,
04.03.2020 17:00,8.9,471.8,749.1,,13,Wind blowing from the west-southwest,5,,11,70 – 80%., ,,,-5.5,9.0,,,1000-1500,,,30.0,-18.0,No precipitation,6,,,,
04.03.2020 14:00,5.2,474.2,754.6,-1.9,27,Wind blowing from the south-southeast,2,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,8.5,,,1000-1500,,,30.0,-12.3,No precipitation,12,,,,
04.03.2020 11:00,1.0,476.1,759.4,,47,Wind blowing from the east,3,,7,20–30%., ,,,-5.5,8.5,,,600-1000,,,30.0,-9.3,No precipitation,6,,,,
04.03.2020 08:00,-4.0,474.9,760.0,0.3,70,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,,,,2500 or more  or no clouds.,,,30.0,-8.8,No precipitation,12,,,,
04.03.2020 05:00,-3.6,474.6,755.3,,72,Wind blowing from the east,3,,,, ,,,-10.4,8.5,,,,,,30.0,-7.9,No precipitation,6,,,,
04.03.2020 02:00,-2.6,475.0,755.2,,72,Wind blowing from the east-southeast,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,8.5,,,2500 or more  or no clouds.,,,30.0,-7.1,No precipitation,12,,,,
03.03.2020 20:00,-0.4,473.2,761.5,1.7,75,Wind blowing from the east,5,,12,,Intermittent fall of snowflakes  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,8.5,,,2500 or more  or no clouds.,,,11.0,-4.3,No precipitation,12,,,,
03.03.2020 17:00,6.1,471.5,752.8,,17,Wind blowing from the west,3,,,90  or more  but not 100%, ,,,-10.4,8.5,,,,,,30.0,-17.1,No precipitation,6,,,,
03.03.2020 14:00,6.4,473.7,754.0,-2.1,21,Wind blowing from the south,2,,5,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,8.2,,,1000-1500,,,30.0,-14.3,No precipitation,12,,,,
03.03.2020 11:00,-1.0,475.8,759.7,,49,Wind blowing from the west-northwest,1,,4,, ,,,-10.4,8.2,,,,,,30.0,-10.4,No precipitation,6,,,,
03.03.2020 08:00,-10.3,475.0,762.0,0.7,84,Wind blowing from the north,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,8.2,,,,,,30.0,-12.5,No precipitation,12,,,,
03.03.2020 05:00,-7.7,474.3,756.5,,70,Wind blowing from the north-east,1,,12,, ,,,-8.4,8.2,,,,,,30.0,-12.2,No precipitation,6,,,,
03.03.2020 02:00,-4.2,474.6,756.4,,50,Wind blowing from the west-northwest,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,8.2,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
02.03.2020 20:00,3.2,473.4,757.7,0.9,24,Wind blowing from the south-west,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,8.2,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
02.03.2020 17:00,7.5,472.5,752.4,,15,Wind blowing from the west-southwest,5,,,10%  or less  but not 0, ,,,-8.4,8.7,,,1000-1500,,,30.0,-17.5,No precipitation,6,,,,
02.03.2020 14:00,5.0,473.9,753.5,-2.1,24,Wind blowing from the north-northwest,3,,11,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,9.9,,,1000-1500,,,30.0,-13.9,No precipitation,12,,,,
02.03.2020 11:00,0.3,476.0,758.8,,55,Wind blowing from the east-southeast,1,,9,, ,,,-8.4,9.9,,,,,,30.0,-7.7,No precipitation,6,,,,
02.03.2020 08:00,-7.7,475.2,759.9,0.2,83,Wind blowing from the north-northwest,1,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,9.9,,,1000-1500,,,30.0,-10.1,No precipitation,12,,,,
02.03.2020 05:00,-5.6,475.0,755.8,,76,Wind blowing from the west-northwest,1,,,, ,,,-9.8,9.9,,,,,,30.0,-9.2,No precipitation,6,,,,
02.03.2020 02:00,-1.5,475.8,756.4,,59,Wind blowing from the east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,9.9,,,2500 or more  or no clouds.,,,30.0,-8.5,No precipitation,12,,,,
01.03.2020 20:00,4.3,474.0,759.4,0.4,25,Wind blowing from the south-southwest,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,9.9,,,2500 or more  or no clouds.,,,30.0,-14.0,No precipitation,12,,,,
01.03.2020 17:00,8.3,473.6,754.6,,14,Wind blowing from the south-west,3,,9,70 – 80%., ,,,-9.8,9.9,,,1000-1500,,,30.0,-17.7,No precipitation,6,,,,
01.03.2020 14:00,5.3,475.7,757.0,-1.9,21,Wind blowing from the west-southwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,9.1,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
