Local time in Ruili,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 08:00,14.2,696.5,760.9,0.8,86,Wind blowing from the west,0,,2,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,32.0,,,600-1000,,,7.0,11.9,No precipitation,12,,,,
15.03.2020 05:00,15.5,695.7,759.2,,80,Wind blowing from the south-southwest,2,,5,,Haze. ,,,13.4,32.0,,,,,,6.0,12.1,No precipitation,6,,,,
15.03.2020 02:00,17.3,696.5,760.3,,73,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,32.0,,,2500 or more  or no clouds.,,,11.0,12.4,No precipitation,12,,,,
14.03.2020 20:00,26.5,694.0,758.2,0.5,36,Wind blowing from the east-northeast,0,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,32.0,,,1000-1500,,,11.0,10.2,No precipitation,12,,,,
14.03.2020 17:00,31.7,693.5,757.0,,28,Wind blowing from the south-southwest,2,,6,20–30%., ,,,13.4,31.9,,,1000-1500,,,18.0,11.0,No precipitation,6,,,,
14.03.2020 14:00,28.0,696.2,760.2,-2.6,34,Wind blowing from the south-west,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,32.0,,,,,,16.0,10.7,No precipitation,12,,,,
14.03.2020 11:00,19.3,698.8,763.6,,59,Wind blowing from the south-southwest,1,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,,,,,,,7.0,11.1,No precipitation,6,,,,
14.03.2020 08:00,13.7,697.5,762.1,0.9,83,Wind blowing from the west-northwest,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,32.0,,,,,,15.0,10.9,No precipitation,12,,,,
14.03.2020 05:00,14.2,696.6,760.4,,81,Wind blowing from the west-northwest,1,,8,, ,,,14.2,32.0,,,,,,8.0,11.0,No precipitation,6,,,,
14.03.2020 02:00,15.9,697.3,761.3,,75,Wind blowing from the west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,32.0,,,2500 or more  or no clouds.,,,10.0,11.5,No precipitation,12,,,,
13.03.2020 20:00,25.6,695.6,759.9,,35,Wind blowing from the north-northwest,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,32.0,,,,,,24.0,9.0,No precipitation,12,,,,
13.03.2020 17:00,31.5,695.2,758.8,,23,Wind blowing from the west-northwest,3,,7,no clouds, ,,,14.2,32.0,,,,,,22.0,7.9,No precipitation,6,,,,
13.03.2020 14:00,28.1,697.2,761.2,,36,Wind blowing from the west-southwest,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,31.0,,,,,,12.0,11.6,No precipitation,12,,,,
13.03.2020 11:00,19.9,699.0,763.8,,60,Wind blowing from the south,1,,4,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,,,,,,,5.0,11.9,No precipitation,6,,,,
13.03.2020 08:00,15.2,697.8,762.4,,73,Wind blowing from the south-east,1,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,31.0,,,1000-1500,,,9.0,10.4,No precipitation,12,,,,
13.03.2020 05:00,14.9,696.7,760.6,,80,Wind blowing from the west,1,,9,,Haze. ,,,13.3,31.0,,,,,,1.7,11.5,No precipitation,6,,,,
13.03.2020 02:00,16.4,697.2,761.1,,77,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,31.0,,,2500 or more  or no clouds.,,,9.0,12.4,No precipitation,12,,,,
12.03.2020 20:00,24.9,695.2,759.7,0.8,38,Wind blowing from the north-west,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,31.0,,,,,,21.0,9.6,No precipitation,12,,,,
12.03.2020 17:00,30.4,694.4,758.2,,23,Wind blowing from the west,4,,8,no clouds, ,,,13.3,31.0,,,,,,24.0,7.0,No precipitation,6,,,,
12.03.2020 14:00,29.0,696.0,759.7,-1.9,31,Wind blowing from the south-west,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,30.3,,,,,,16.0,10.2,No precipitation,12,,,,
12.03.2020 11:00,19.9,697.9,762.5,,60,Wind blowing from the south,1,,3,10%  or less  but not 0,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,30.3,,,600-1000,,,5.0,11.9,No precipitation,6,,,,
12.03.2020 08:00,13.4,696.6,761.2,1.2,88,Calm  no wind,0,,,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,30.3,,,600-1000,,,4.9,11.5,No precipitation,12,,,,
12.03.2020 05:00,14.2,695.4,759.2,,86,Wind blowing from the west-southwest,1,,9,,Haze. ,,,12.3,30.3,,,,,,4.8,11.9,No precipitation,6,,,,
12.03.2020 02:00,16.6,695.2,759.2,,78,Wind blowing from the west,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,30.3,,,2500 or more  or no clouds.,,,6.0,12.8,No precipitation,12,,,,
11.03.2020 20:00,25.0,692.7,757.0,0.5,39,Wind blowing from the south-southwest,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,30.3,,,,,,12.0,10.1,No precipitation,12,,,,
11.03.2020 17:00,30.3,692.2,755.8,,26,Wind blowing from the west-southwest,3,,6,no clouds, ,,,12.3,30.3,,,,,,15.0,8.7,No precipitation,6,,,,
11.03.2020 14:00,26.3,694.7,758.8,-2.2,37,Wind blowing from the south-west,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,29.3,,,,,,9.0,10.5,No precipitation,12,,,,
11.03.2020 11:00,17.7,696.9,761.8,,64,Wind blowing from the south-west,1,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.3,,,,,,,6.0,10.8,No precipitation,6,,,,
11.03.2020 08:00,12.4,695.5,760.3,1.1,87,Wind blowing from the west,0,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,29.3,,,,,,12.0,10.3,No precipitation,12,,,,
11.03.2020 05:00,13.4,694.4,758.4,,85,Wind blowing from the west-southwest,1,,6,,Mist. ,,,11.7,29.3,,,,,,6.0,10.9,No precipitation,6,,,,
11.03.2020 02:00,15.7,694.6,758.5,,76,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,29.3,,,2500 or more  or no clouds.,,,10.0,11.5,No precipitation,12,,,,
10.03.2020 20:00,23.7,692.4,757.0,0.1,41,Wind blowing from the west,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,29.3,,,,,,16.0,9.7,No precipitation,12,,,,
10.03.2020 17:00,28.8,692.3,756.1,,25,Wind blowing from the west,3,,8,no clouds, ,,,11.7,29.3,,,,,,21.0,6.8,No precipitation,6,,,,
10.03.2020 14:00,26.6,694.6,758.8,-1.7,26,Wind blowing from the south-west,2,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,27.9,,,1000-1500,,,15.0,5.5,No precipitation,12,,,,
10.03.2020 11:00,18.7,696.3,761.2,,58,Wind blowing from the east-southeast,1,,2,no clouds, ,,,11.7,27.9,,,,,,8.0,10.3,No precipitation,6,,,,
10.03.2020 08:00,11.8,694.9,759.8,1.3,90,Wind blowing from the west-southwest,1,,3,10%  or less  but not 0,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,27.9,,,600-1000,,,3.8,10.2,No precipitation,12,,,,
10.03.2020 05:00,12.9,693.6,757.7,,85,Wind blowing from the west-southwest,1,,7,,Mist. ,,,12.5,27.9,,,,,,6.0,10.4,No precipitation,6,,,,
10.03.2020 02:00,14.7,694.4,758.5,,82,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,27.9,,,2500 or more  or no clouds.,,,9.0,11.7,No precipitation,12,,,,
09.03.2020 20:00,22.3,692.6,757.3,0.7,46,Wind blowing from the north,0,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,27.9,,,1000-1500,,,20.0,10.1,No precipitation,12,,,,
09.03.2020 17:00,27.4,691.9,755.8,,31,Wind blowing from the west-northwest,4,,9,20–30%., ,,,12.5,27.9,,,1000-1500,,,20.0,8.8,No precipitation,6,,,,
09.03.2020 14:00,26.8,693.6,757.6,-1.5,33,Wind blowing from the west-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,27.8,,,2500 or more  or no clouds.,,,17.0,9.2,No precipitation,12,,,,
09.03.2020 11:00,19.6,695.1,759.8,,55,Wind blowing from the south-southwest,1,,3,10%  or less  but not 0, ,,,12.5,27.8,,,1000-1500,,,8.0,10.3,No precipitation,6,,,,
09.03.2020 08:00,12.6,694.3,759.1,1.1,84,Wind blowing from the south-west,1,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,27.8,,,1000-1500,,,7.0,10.0,No precipitation,12,,,,
09.03.2020 05:00,14.2,693.2,757.2,,76,Wind blowing from the west,1,,7,,Haze. ,,,14.2,27.8,,,,,,1.8,10.0,No precipitation,6,,,,
09.03.2020 02:00,15.0,694.3,758.4,,74,Wind blowing from the north-west,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,27.8,,,2500 or more  or no clouds.,,,13.0,10.4,No precipitation,12,,,,
08.03.2020 20:00,22.0,693.5,758.1,0.3,43,Wind blowing from the north-west,1,,13,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,27.8,,,1000-1500,,,18.0,8.9,No precipitation,12,,,,
08.03.2020 17:00,27.5,693.2,757.0,,28,Wind blowing from the west,4,,,60%., ,,,14.2,27.8,,,1000-1500,,,22.0,7.4,No precipitation,6,,,,
08.03.2020 14:00,26.6,694.5,758.2,-1.8,32,Wind blowing from the west,4,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,28.8,,,1000-1500,,,29.0,8.6,No precipitation,12,,,,
08.03.2020 11:00,20.3,696.3,760.6,,60,Wind blowing from the south,2,,3,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,28.8,,,1000-1500,,,7.0,12.3,No precipitation,6,,,,
08.03.2020 08:00,14.4,695.0,759.6,,83,Wind blowing from the west-southwest,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,28.8,,,1000-1500,,,7.0,11.6,No precipitation,12,,,,
08.03.2020 05:00,15.9,694.1,758.0,,80,Wind blowing from the north-northwest,1,,10,, ,,,12.7,28.8,,,,,,7.0,12.5,No precipitation,6,,,,
08.03.2020 02:00,18.4,695.4,759.1,,70,Wind blowing from the south,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,28.8,,,2500 or more  or no clouds.,,,10.0,12.8,No precipitation,12,,,,
07.03.2020 20:00,23.0,694.9,759.7,0.0,46,Wind blowing from the west-northwest,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,28.8,,,1000-1500,,,19.0,10.8,No precipitation,12,,,,
07.03.2020 17:00,26.8,694.9,759.0,,29,Wind blowing from the west,4,,9,90  or more  but not 100%, ,,,12.7,28.8,,,1000-1500,,,20.0,7.3,No precipitation,6,,,,
07.03.2020 14:00,27.2,696.2,760.1,-1.9,37,Wind blowing from the west-southwest,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,27.2,,,1000-1500,,,20.0,11.3,No precipitation,12,,,,
07.03.2020 11:00,19.2,698.1,762.9,,64,Wind blowing from the south-southeast,2,,3,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,26.4,,,,,,6.0,12.2,No precipitation,6,,,,
07.03.2020 08:00,12.8,696.7,761.8,1.1,89,Wind blowing from the west,1,,3,10%  or less  but not 0,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,26.4,,,600-1000,,,5.0,11.0,No precipitation,12,,,,
07.03.2020 05:00,14.3,695.6,759.9,,86,Wind blowing from the north-northwest,1,,6,,Mist. ,,,11.9,26.4,,,,,,7.0,12.0,No precipitation,6,,,,
07.03.2020 02:00,17.5,696.6,761.2,,75,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,26.4,,,2500 or more  or no clouds.,,,9.0,13.0,No precipitation,12,,,,
06.03.2020 20:00,22.2,695.2,760.2,0.6,48,Wind blowing from the west,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,26.4,,,1000-1500,,,12.0,10.7,No precipitation,12,,,,
06.03.2020 17:00,26.3,694.6,759.0,,38,Wind blowing from the west-southwest,2,,5,20–30%., ,,,11.9,26.4,,,1000-1500,,,15.0,10.9,No precipitation,6,,,,
06.03.2020 14:00,21.6,697.0,762.0,-1.2,55,Wind blowing from the west,1,,3,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,24.0,,,600-1000,,,6.0,12.2,No precipitation,12,,,,
06.03.2020 11:00,15.8,698.2,763.8,,76,Wind blowing from the south-west,1,,2,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,600-1000,,,4.6,11.6,No precipitation,6,,,,
06.03.2020 08:00,11.9,696.7,762.1,1.3,91,Wind blowing from the west,1,,2,60%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,24.0,,,600-1000,,,3.4,10.5,No precipitation,12,,,,
06.03.2020 05:00,13.2,695.4,760.3,,88,Wind blowing from the west,1,,2,,Mist. ,,,12.1,24.0,,,,,,4.6,11.3,No precipitation,6,,,,
06.03.2020 02:00,14.7,696.0,760.8,,82,Wind blowing from the west,0,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,24.0,,,2500 or more  or no clouds.,,,6.0,11.7,0.1,12,,,,
05.03.2020 20:00,19.9,694.3,759.4,0.2,64,Wind blowing from the north-northwest,1,,4,20–30%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,24.0,,,1000-1500,,,10.0,12.9,0.1,12,,,,
05.03.2020 17:00,22.2,694.1,758.8,,48,Wind blowing from the south,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,27.8,,,1000-1500,,,11.0,10.7,0.1,6,,,,
05.03.2020 14:00,21.7,695.8,760.4,-1.6,48,Wind blowing from the west-southwest,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,27.8,,,1000-1500,,,9.0,10.2,No precipitation,12,,,,
05.03.2020 11:00,18.5,697.4,762.2,,58,Wind blowing from the south-west,2,,3,20–30%., ,,,12.1,27.8,,,1000-1500,,,9.0,10.1,No precipitation,6,,,,
05.03.2020 08:00,12.2,696.1,761.2,0.9,84,Wind blowing from the west,1,,3,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.1,27.8,,,1000-1500,,,15.0,9.6,No precipitation,12,,,,
05.03.2020 05:00,13.4,695.2,759.4,,81,Wind blowing from the west,1,,8,, ,,,12.6,27.8,,,,,,7.0,10.2,No precipitation,6,,,,
05.03.2020 02:00,15.7,695.8,760.1,,74,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,27.8,,,2500 or more  or no clouds.,,,9.0,11.1,No precipitation,12,,,,
04.03.2020 20:00,22.5,694.1,758.9,0.7,42,Wind blowing from the west,1,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,27.8,,,1000-1500,,,18.0,9.0,No precipitation,12,,,,
04.03.2020 17:00,27.8,693.4,757.3,,29,Wind blowing from the west-southwest,2,,7,50%., ,,,12.6,27.8,,,1000-1500,,,25.0,8.2,No precipitation,6,,,,
04.03.2020 14:00,25.1,695.7,760.0,,33,Wind blowing from the south-southwest,1,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,25.2,,,1000-1500,,,22.0,7.7,No precipitation,12,,,,
04.03.2020 11:00,18.0,697.6,762.6,,66,Wind blowing from the west-northwest,1,,4,no clouds, ,,,12.6,24.4,,,,,,7.0,11.6,No precipitation,6,,,,
04.03.2020 08:00,12.6,696.3,761.5,,88,Wind blowing from the west-southwest,1,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.0,24.4,,,600-1000,,,7.0,10.7,No precipitation,12,,,,
04.03.2020 02:00,16.8,695.2,759.8,,75,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,,,11.7,24.4,,,2500 or more  or no clouds.,,,14.0,12.3,No precipitation,12,,,,
03.03.2020 20:00,21.0,693.4,758.4,0.2,51,Wind blowing from the east,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,24.4,,,1000-1500,,,25.0,10.5,No precipitation,12,,,,
03.03.2020 17:00,23.9,693.2,757.7,,41,Wind blowing from the east,3,,6,40%., ,,,11.7,28.7,,,1000-1500,,,25.0,9.9,No precipitation,6,,,,
03.03.2020 14:00,23.6,695.2,759.7,-2.1,40,Wind blowing from the east,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,29.0,,,1000-1500,,,22.0,9.2,No precipitation,12,,,,
03.03.2020 11:00,17.9,697.3,762.4,,65,Wind blowing from the east,1,,4,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.7,,,,600-1000,,,5.0,11.2,No precipitation,6,,,,
03.03.2020 08:00,12.0,695.3,760.2,1.3,89,Wind blowing from the west,1,,3,50%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,29.0,,,600-1000,,,5.0,10.2,No precipitation,12,,,,
03.03.2020 05:00,13.0,694.0,758.0,,86,Wind blowing from the west,0,,7,,Mist. ,,,10.4,29.0,,,,,,5.0,10.7,No precipitation,6,,,,
03.03.2020 02:00,14.6,694.7,759.0,,79,Wind blowing from the west-southwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,29.0,,,2500 or more  or no clouds.,,,12.0,11.0,No precipitation,12,,,,
02.03.2020 20:00,23.1,693.4,758.2,0.5,42,Wind blowing from the south-west,1,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,29.0,,,1000-1500,,,15.0,9.5,No precipitation,12,,,,
02.03.2020 17:00,28.8,692.9,756.9,,28,Wind blowing from the west,3,,7,50%., ,,,10.4,29.0,,,1000-1500,,,24.0,8.5,No precipitation,6,,,,
02.03.2020 14:00,25.3,695.0,759.4,-2.3,34,Wind blowing from the south-southeast,1,,3,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,28.4,,,1000-1500,,,18.0,8.3,No precipitation,12,,,,
02.03.2020 11:00,17.8,697.3,762.5,,55,Wind blowing from the north-northeast,1,,3,no clouds, ,,,10.4,28.4,,,,,,10.0,8.6,No precipitation,6,,,,
02.03.2020 08:00,10.5,696.2,761.5,1.2,89,Wind blowing from the west-southwest,0,,2,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,28.4,,,,,,8.0,8.8,No precipitation,12,,,,
02.03.2020 05:00,12.2,695.0,759.3,,82,Wind blowing from the west,1,,7,, ,,,9.9,28.4,,,,,,9.0,9.2,No precipitation,6,,,,
02.03.2020 02:00,14.4,695.7,760.2,,77,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,28.4,,,2500 or more  or no clouds.,,,9.0,10.4,No precipitation,12,,,,
01.03.2020 20:00,22.1,693.8,758.9,0.0,44,Wind blowing from the west-northwest,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,28.4,,,,,,13.0,9.3,No precipitation,12,,,,
01.03.2020 17:00,28.3,693.8,758.1,,21,Wind blowing from the west,3,,7,10%  or less  but not 0, ,,,9.9,28.4,,,1000-1500,,,27.0,3.9,No precipitation,6,,,,
01.03.2020 14:00,24.7,695.9,760.6,-2.0,34,Wind blowing from the south-southwest,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,26.8,,,,,,20.0,7.8,No precipitation,12,,,,
01.03.2020 11:00,16.6,697.9,763.3,,61,Wind blowing from the south,1,,3,no clouds, ,,,9.9,26.8,,,,,,8.0,9.1,No precipitation,6,,,,
01.03.2020 08:00,10.0,697.0,762.4,0.9,90,Wind blowing from the west,1,,3,10%  or less  but not 0,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,26.8,,,600-1000,,,6.0,8.4,No precipitation,12,,,,
01.03.2020 05:00,11.1,696.1,760.8,,87,Wind blowing from the west-southwest,0,,6,, ,,,11.1,26.8,,,,,,7.0,9.0,No precipitation,6,,,,
01.03.2020 02:00,13.2,696.4,761.2,,80,Wind blowing from the south,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,26.8,,,2500 or more  or no clouds.,,,17.0,9.8,No precipitation,12,,,,
29.02.2020 20:00,21.6,694.6,759.6,1.2,42,Wind blowing from the west,1,,6,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,26.8,,,1000-1500,,,23.0,8.2,No precipitation,12,,,,
29.02.2020 17:00,26.5,693.4,757.7,,30,Wind blowing from the south-southwest,3,,6,no clouds, ,,,11.4,26.6,,,,,,28.0,7.5,No precipitation,6,,,,
29.02.2020 14:00,23.5,695.5,760.2,-2.1,37,Wind blowing from the west-southwest,2,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,26.3,,,1000-1500,,,16.0,8.0,No precipitation,12,,,,
29.02.2020 11:00,15.2,697.6,763.2,,77,Wind blowing from the west,1,,4,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,,,,600-1000,,,5.0,11.2,No precipitation,6,,,,
