Local time in Da Qaidam,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 05:00,-7.3,520.3,767.6,,31,Wind blowing from the east-northeast,1,,,, ,,,,,,,,,,14.0,-21.6,,,,,,
16.03.2020 02:00,-5.4,520.2,767.0,,29,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.4,3.3,,,2500 or more  or no clouds.,,,13.0,-20.6,No precipitation,12,,,,
15.03.2020 23:00,-2.7,520.3,767.6,,16,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,9.0,-25.1,,,,,,
15.03.2020 20:00,-0.1,519.3,766.3,1.4,11,Wind blowing from the south-east,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,4.0,,,2500 or more  or no clouds.,,,16.0,-27.1,No precipitation,12,,,,
15.03.2020 17:00,3.2,517.9,762.5,,11,Wind blowing from the south,2,,8,70 – 80%., ,,,-5.2,8.0,,,2500 or more  or no clouds.,,,28.0,-24.5,No precipitation,6,,,,
15.03.2020 14:00,1.9,518.5,762.8,,10,Wind blowing from the west-southwest,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.2,8.0,,,2500 or more  or no clouds.,,,27.0,-26.6,No precipitation,12,,,,
15.03.2020 11:00,-1.5,518.6,763.9,,15,Wind blowing from the west,2,,,90  or more  but not 100%, ,,,,,,,,,,30.0,-24.8,,,,,,
15.03.2020 08:00,-4.2,517.3,761.1,0.5,27,Calm  no wind,0,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,8.0,,,2500 or more  or no clouds.,,,30.0,-20.4,No precipitation,12,,,,
15.03.2020 05:00,-4.4,516.8,758.5,,28,Calm  no wind,0,,,, ,,,-12.1,8.0,,,,,,30.0,-20.2,No precipitation,6,,,,
15.03.2020 02:00,-2.0,517.5,759.8,,18,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.0,,,2500 or more  or no clouds.,,,21.0,-23.2,No precipitation,12,,,,
14.03.2020 23:00,-0.5,517.5,763.6,,21,Wind blowing from the south-west,2,,,, ,,,,,,,,,,30.0,-20.2,,,,,,
14.03.2020 20:00,4.0,516.8,763.5,0.1,17,Calm  no wind,0,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,8.0,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
14.03.2020 17:00,7.7,516.7,761.5,,6,Wind blowing from the west,1,,5,, ,,,-12.1,7.7,,,,,,30.0,-27.7,No precipitation,6,,,,
14.03.2020 14:00,4.7,518.7,764.4,-1.7,8,Wind blowing from the west-southwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,4.7,,,2500 or more  or no clouds.,,,30.0,-26.8,No precipitation,12,,,,
14.03.2020 11:00,-4.0,520.4,769.3,,42,Wind blowing from the north-west,1,,,90  or more  but not 100%, ,,,,,,,,,,30.0,-15.0,,,,,,
14.03.2020 08:00,-10.1,520.2,770.1,,28,Wind blowing from the north,0,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.8,3.7,,,2500 or more  or no clouds.,,,24.0,-25.2,No precipitation,12,,,,
14.03.2020 05:00,-10.2,520.4,769.5,,46,Calm  no wind,0,,,, ,,,-16.3,3.7,,,,,,30.0,-19.6,No precipitation,6,,,,
14.03.2020 02:00,-7.1,521.1,770.4,,21,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,3.7,,,2500 or more  or no clouds.,,,24.0,-25.8,No precipitation,12,,,,
13.03.2020 23:00,-3.0,521.7,773.1,,11,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,30.0,-29.4,,,,,,
13.03.2020 20:00,1.0,520.8,773.6,0.1,8,Wind blowing from the north,0,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,3.7,,,2500 or more  or no clouds.,,,30.0,-29.7,No precipitation,12,,,,
13.03.2020 17:00,2.8,520.7,771.6,,3,Wind blowing from the north,1,,5,, ,,,-16.3,2.9,,,,,,30.0,-38.4,No precipitation,6,,,,
13.03.2020 14:00,0.1,522.2,773.8,,6,Wind blowing from the west-southwest,1,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,0.1,,,2500 or more  or no clouds.,,,30.0,-33.3,No precipitation,12,,,,
13.03.2020 11:00,-7.3,523.2,778.1,,36,Calm  no wind,0,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,23.0,-19.8,,,,,,
13.03.2020 08:00,-14.7,522.3,779.5,1.1,41,Wind blowing from the north-northeast,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,-0.7,,,2500 or more  or no clouds.,,,22.0,-25.0,No precipitation,12,,,,
13.03.2020 05:00,-13.2,521.2,775.0,,32,Wind blowing from the north-east,1,,13,, ,,,-14.9,-0.7,,,,,,24.0,-26.4,No precipitation,6,,,,
13.03.2020 02:00,-10.4,521.5,773.2,-0.1,26,Wind blowing from the north-east,1,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,-0.7,,,2500 or more  or no clouds.,,,16.0,-26.2,No precipitation,12,,,,
12.03.2020 23:00,-8.1,521.6,772.6,,27,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,26.0,-23.8,,,,,,
12.03.2020 20:00,-5.6,519.8,771.7,,27,Wind blowing from the west,4,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,0.0,,,,,,28.0,-21.6,No precipitation,12,,,,
12.03.2020 17:00,-2.0,519.0,769.6,,12,Wind blowing from the west-northwest,8,,,90  or more  but not 100%, ,,,,,,,,,,7.0,-27.7,,,,,,
12.03.2020 14:00,-0.8,518.7,766.1,,15,Wind blowing from the west-northwest,8,,16,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,4.2,,,1000-1500,,,4.8,-24.2,No precipitation,12,,,,
12.03.2020 11:00,-1.9,517.6,764.1,,21,Wind blowing from the west-northwest,6,,,90  or more  but not 100%, ,,,,,,,,,,23.0,-21.3,,,,,,
12.03.2020 08:00,-7.6,516.3,763.6,0.6,29,Wind blowing from the south-southeast,1,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,4.2,,,2500 or more  or no clouds.,,,18.0,-22.6,No precipitation,12,,,,
12.03.2020 05:00,-9.4,515.7,761.4,,48,Calm  no wind,0,,,, ,,,-9.9,4.2,,,,,,30.0,-18.6,No precipitation,6,,,,
12.03.2020 02:00,-5.1,516.4,761.3,-0.1,23,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,4.2,,,2500 or more  or no clouds.,,,30.0,-23.0,No precipitation,12,,,,
11.03.2020 23:00,-3.1,516.5,762.4,,22,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,30.0,-21.8,,,,,,
11.03.2020 20:00,0.0,514.8,762.0,0.0,19,Wind blowing from the west-northwest,3,,10,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,4.2,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
11.03.2020 17:00,4.2,514.8,759.6,,17,Wind blowing from the west,5,,10,60%., ,,,-11.1,4.2,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,6,,,,
11.03.2020 14:00,2.0,515.6,762.3,-0.6,11,Wind blowing from the west-northwest,3,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,2.0,,,2500 or more  or no clouds.,,,30.0,-25.4,No precipitation,12,,,,
11.03.2020 11:00,-1.8,516.2,763.2,,15,Wind blowing from the north,0,,,60%., ,,,,,,,2500 or more  or no clouds.,,,22.0,-25.1,,,,,,
11.03.2020 08:00,-8.8,515.8,765.1,,31,Wind blowing from the north,0,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.5,1.1,,,2500 or more  or no clouds.,,,22.0,-22.9,No precipitation,12,,,,
11.03.2020 05:00,-8.5,515.3,762.1,,29,Wind blowing from the north-east,1,,6,, ,,,-15.0,1.1,,,,,,30.0,-23.4,No precipitation,6,,,,
11.03.2020 02:00,-9.2,516.3,765.4,-0.6,38,Calm  no wind,0,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,1.1,,,2500 or more  or no clouds.,,,30.0,-20.9,No precipitation,12,,,,
10.03.2020 23:00,-5.4,516.9,766.2,,25,Wind blowing from the south-east,1,,,, ,,,,,,,,,,30.0,-22.3,,,,,,
10.03.2020 20:00,-2.9,516.7,769.6,,18,Wind blowing from the north,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,1.1,,,2500 or more  or no clouds.,,,30.0,-23.9,No precipitation,12,,,,
10.03.2020 17:00,0.7,517.2,766.4,,7,Wind blowing from the west-southwest,3,,6,no clouds, ,,,-15.0,0.8,,,,,,30.0,-31.3,No precipitation,6,,,,
10.03.2020 14:00,-1.7,518.7,768.4,,7,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,0.2,,,2500 or more  or no clouds.,,,30.0,-33.1,No precipitation,12,,,,
10.03.2020 11:00,-5.4,520.1,770.9,,22,Wind blowing from the east-southeast,1,,,no clouds, ,,,,,,,,,,30.0,-23.8,,,,,,
10.03.2020 08:00,-14.5,519.6,774.4,0.3,55,Wind blowing from the north-east,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,0.2,,,,,,30.0,-21.6,No precipitation,12,,,,
10.03.2020 05:00,-11.3,519.3,770.0,,36,Calm  no wind,0,,,, ,,,-12.8,0.2,,,,,,30.0,-23.4,No precipitation,6,,,,
10.03.2020 02:00,-8.1,520.2,770.9,,16,Wind blowing from the east,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,0.2,,,2500 or more  or no clouds.,,,30.0,-29.5,No precipitation,12,,,,
09.03.2020 20:00,-3.9,519.9,773.8,0.3,17,Wind blowing from the west,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,0.2,,,,,,30.0,-25.4,No precipitation,12,,,,
09.03.2020 17:00,0.1,519.6,770.4,,9,Wind blowing from the west-southwest,4,,9,no clouds, ,,,-12.8,2.3,,,,,,30.0,-29.1,No precipitation,6,,,,
09.03.2020 14:00,-2.6,520.7,771.2,-0.2,19,Wind blowing from the south-west,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,2.3,,,600-1000,,,30.0,-23.1,No precipitation,12,,,,
09.03.2020 11:00,-7.0,520.9,772.1,,38,Wind blowing from the south-west,1,,,no clouds, ,,,,,,,,,,25.0,-18.9,,,,,,
09.03.2020 08:00,-12.5,519.9,772.9,1.0,60,Calm  no wind,0,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.5,2.3,,,2500 or more  or no clouds.,,,22.0,-18.7,No precipitation,12,,,,
09.03.2020 05:00,-11.2,518.9,768.2,,47,Wind blowing from the north,1,,11,, ,,,-11.2,2.3,,,,,,28.0,-20.3,No precipitation,6,,,,
09.03.2020 02:00,-7.1,519.0,767.4,,46,Wind blowing from the west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,2.3,,,2500 or more  or no clouds.,,,25.0,-16.8,No precipitation,12,,,,
08.03.2020 23:00,-3.8,518.4,766.9,,33,Wind blowing from the west,5,,,, ,,,,,,,,,,18.0,-17.7,,,,,,
08.03.2020 20:00,-2.2,516.7,765.0,1.3,37,Wind blowing from the west,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,6.7,,,2500 or more  or no clouds.,,,4.4,-14.9,No precipitation,12,,,,
08.03.2020 17:00,2.0,515.4,758.3,,23,Wind blowing from the west-southwest,4,,9,90  or more  but not 100%, ,,,-7.0,9.4,,,,,,30.0,-17.0,No precipitation,6,,,,
08.03.2020 14:00,-0.1,516.2,758.8,0.1,29,Wind blowing from the west,3,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,9.4,,,2500 or more  or no clouds.,,,29.0,-16.0,No precipitation,12,,,,
08.03.2020 11:00,-4.1,516.1,760.3,,33,Wind blowing from the west,1,,,90  or more  but not 100%, ,,,,,,,,,,30.0,-18.0,,,,,,
08.03.2020 08:00,-6.9,514.0,756.2,,46,Wind blowing from the west,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,9.4,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
08.03.2020 05:00,-2.2,511.9,749.8,,38,Wind blowing from the west,1,,,, ,,,,,,,,,,30.0,-14.6,,,,,,
08.03.2020 02:00,1.1,510.6,746.2,0.9,34,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.4,,,2500 or more  or no clouds.,,,30.0,-13.0,No precipitation,12,,,,
07.03.2020 23:00,2.0,509.7,748.2,,23,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,30.0,-17.0,,,,,,
07.03.2020 20:00,6.7,509.0,750.1,-0.7,14,Wind blowing from the east,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,9.4,,,2500 or more  or no clouds.,,,23.0,-18.9,No precipitation,12,,,,
07.03.2020 17:00,8.6,509.7,749.5,,15,Wind blowing from the south-west,6,,9,90  or more  but not 100%, ,,,-9.7,9.2,,,,,,30.0,-16.6,No precipitation,6,,,,
07.03.2020 14:00,8.6,510.8,749.5,-1.6,14,Wind blowing from the south,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,8.9,,,2500 or more  or no clouds.,,,30.0,-17.4,No precipitation,12,,,,
07.03.2020 11:00,1.0,512.4,753.0,,18,Wind blowing from the north,1,,4,, ,,,-9.7,5.9,,,,,,30.0,-20.7,No precipitation,6,,,,
07.03.2020 08:00,-9.2,513.2,758.6,-0.4,46,Calm  no wind,0,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,5.9,,,2500 or more  or no clouds.,,,30.0,-18.7,No precipitation,12,,,,
07.03.2020 05:00,-8.1,513.6,757.0,,42,Wind blowing from the east,0,,4,, ,,,-11.1,5.9,,,,,,30.0,-19.0,No precipitation,6,,,,
07.03.2020 02:00,-5.0,514.5,757.7,,34,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,5.9,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
06.03.2020 23:00,0.6,515.1,759.1,,14,Wind blowing from the east,2,,,, ,,,,,,,,,,30.0,-23.9,,,,,,
06.03.2020 20:00,2.2,514.5,761.0,-0.1,16,Wind blowing from the north,0,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,5.9,,,600-1000,,,30.0,-21.0,No precipitation,12,,,,
06.03.2020 17:00,5.5,514.6,758.5,,11,Wind blowing from the west-southwest,2,,6,20–30%., ,,,-11.1,5.9,,,2500 or more  or no clouds.,,,30.0,-22.7,No precipitation,6,,,,
06.03.2020 14:00,3.2,516.0,759.6,-0.8,13,Wind blowing from the west,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.1,4.7,,,,,,30.0,-22.6,No precipitation,12,,,,
06.03.2020 11:00,-3.3,516.8,764.8,,31,Wind blowing from the north,1,,,no clouds, ,,,,,,,,,,30.0,-18.0,,,,,,
06.03.2020 08:00,-10.1,516.0,764.9,,43,Calm  no wind,0,,,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,4.7,,,2500 or more  or no clouds.,,,27.0,-20.3,No precipitation,12,,,,
06.03.2020 05:00,-8.4,515.4,760.3,,45,Wind blowing from the south-southeast,1,,11,, ,,,-12.6,4.7,,,,,,30.0,-18.2,No precipitation,6,,,,
06.03.2020 02:00,-4.3,515.9,760.0,-0.2,27,Wind blowing from the east-southeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,4.7,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,12,,,,
05.03.2020 23:00,-5.4,516.1,764.2,,45,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,30.0,-15.7,,,,,,
05.03.2020 20:00,-0.7,515.3,765.1,0.3,19,Wind blowing from the north-west,2,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,4.7,,,,,,30.0,-21.5,No precipitation,12,,,,
05.03.2020 17:00,4.5,515.0,761.3,,16,Wind blowing from the west,5,,12,no clouds, ,,,-12.6,4.7,,,,,,25.0,-19.2,No precipitation,6,,,,
05.03.2020 14:00,2.2,515.8,761.2,-0.8,13,Wind blowing from the west,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,2.7,,,,,,30.0,-23.4,No precipitation,12,,,,
05.03.2020 11:00,-4.0,516.6,763.3,,28,Calm  no wind,0,,,40%., ,,,,,,,2500 or more  or no clouds.,,,30.0,-19.8,,,,,,
05.03.2020 08:00,-12.6,515.7,765.7,-0.3,63,Wind blowing from the south,0,,4,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,2.7,,,2500 or more  or no clouds.,,,30.0,-18.2,No precipitation,12,,,,
05.03.2020 05:00,-11.5,516.0,763.9,,53,Calm  no wind,0,,,, ,,,-13.5,2.7,,,,,,30.0,-19.2,No precipitation,6,,,,
05.03.2020 02:00,-6.9,516.4,763.0,,34,Wind blowing from the east-southeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,2.7,,,2500 or more  or no clouds.,,,19.0,-20.1,No precipitation,12,,,,
04.03.2020 23:00,-2.2,516.9,765.1,,17,Wind blowing from the east,2,,,, ,,,,,,,,,,30.0,-24.0,,,,,,
04.03.2020 20:00,-0.4,516.5,767.1,0.2,17,Wind blowing from the north-northwest,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,2.7,,,2500 or more  or no clouds.,,,30.0,-22.5,No precipitation,12,,,,
04.03.2020 17:00,2.3,516.3,764.5,,9,Wind blowing from the south-southwest,2,,7,90  or more  but not 100%, ,,,-13.5,2.6,,,,,,30.0,-27.4,No precipitation,6,,,,
04.03.2020 14:00,0.5,517.8,765.3,-1.4,14,Wind blowing from the west-southwest,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,0.7,,,,,,30.0,-23.9,No precipitation,12,,,,
04.03.2020 11:00,-6.7,519.2,770.4,,45,Wind blowing from the west,1,,,no clouds, ,,,,,,,,,,30.0,-16.9,,,,,,
04.03.2020 08:00,-13.2,519.0,772.1,0.3,58,Wind blowing from the north-east,0,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,0.7,,,,,,29.0,-19.7,No precipitation,12,,,,
04.03.2020 05:00,-11.5,518.7,769.1,,51,Wind blowing from the south,1,,6,, ,,,-11.5,0.7,,,,,,30.0,-19.6,No precipitation,6,,,,
04.03.2020 02:00,-7.1,519.1,768.4,-0.5,29,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,0.7,,,2500 or more  or no clouds.,,,30.0,-22.1,No precipitation,12,,,,
03.03.2020 23:00,-5.6,519.6,770.3,,26,Wind blowing from the north-east,1,,,, ,,,,,,,,,,30.0,-22.1,,,,,,
03.03.2020 20:00,-2.8,519.3,770.8,,24,Calm  no wind,0,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,0.7,,,,,,30.0,-20.6,No precipitation,12,,,,
03.03.2020 17:00,0.1,519.0,767.7,,16,Wind blowing from the west-southwest,2,,6,no clouds, ,,,-10.3,1.5,,,,,,30.0,-22.8,No precipitation,6,,,,
03.03.2020 14:00,-1.9,520.2,769.5,-0.8,20,Wind blowing from the west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,1.6,,,,,,30.0,-21.9,No precipitation,12,,,,
03.03.2020 11:00,-5.6,521.0,771.6,,35,Wind blowing from the west-southwest,2,,,no clouds, ,,,,,,,,,,30.0,-18.6,,,,,,
03.03.2020 08:00,-9.9,520.0,771.8,0.7,47,Wind blowing from the south-southeast,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,1.6,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
03.03.2020 05:00,-7.9,519.3,767.2,,48,Calm  no wind,0,,,, ,,,-9.8,1.6,,,,,,30.0,-17.2,No precipitation,6,,,,
03.03.2020 02:00,-6.1,519.4,767.7,0.1,47,Wind blowing from the south-southeast,0,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,1.6,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
02.03.2020 23:00,-4.0,519.3,768.2,,33,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,30.0,-17.9,,,,,,
02.03.2020 20:00,-2.8,518.1,768.9,0.3,31,Wind blowing from the west,2,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,1.6,,,2500 or more  or no clouds.,,,30.0,-17.6,No precipitation,12,,,,
02.03.2020 17:00,1.5,517.8,764.8,,22,Wind blowing from the west,4,,9,90  or more  but not 100%, ,,,-9.8,1.9,,,,,,30.0,-17.9,No precipitation,6,,,,
02.03.2020 14:00,-0.7,518.6,766.6,,29,Wind blowing from the west-southwest,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,3.1,,,2500 or more  or no clouds.,,,30.0,-16.5,No precipitation,12,,,,
02.03.2020 11:00,-3.9,519.2,767.9,,50,Wind blowing from the south-west,1,,,60%., ,,,,,,,2500 or more  or no clouds.,,,30.0,-12.8,,,,,,
02.03.2020 08:00,-9.6,518.4,769.0,0.4,65,Calm  no wind,0,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,3.1,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
02.03.2020 05:00,-7.5,518.0,765.1,,49,Wind blowing from the east,1,,7,, ,,,-7.9,3.1,,,,,,30.0,-16.4,No precipitation,6,,,,
