Local time in Chenzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 02:00,15.7,732.0,764.4,,67,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,21.5,,,2500 or more  or no clouds.,,,30.0,9.6,No precipitation,12,,,,
15.03.2020 23:00,16.7,732.4,765.0,,60,Wind blowing from the east-southeast,1,,,, ,,,,21.5,,,,,,30.0,8.9,No precipitation,6,,,,
15.03.2020 20:00,17.3,731.5,764.4,,57,Wind blowing from the north-west,2,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,21.5,,,2500 or more  or no clouds.,,,30.0,8.7,No precipitation,12,,,,
15.03.2020 17:00,19.0,730.3,763.1,,53,Wind blowing from the north,5,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,30.0,9.2,,,,,,
15.03.2020 14:00,20.1,731.5,764.2,-3.0,52,Wind blowing from the east-northeast,2,,5,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,20.6,,,2500 or more  or no clouds.,,,30.0,9.9,No precipitation,12,,,,
15.03.2020 11:00,16.4,734.5,767.5,,67,Wind blowing from the north-northwest,2,,4,20–30%., ,,,8.6,16.5,,,2500 or more  or no clouds.,,,30.0,10.3,No precipitation,6,,,,
15.03.2020 08:00,10.2,734.4,767.7,0.8,91,Wind blowing from the south-southeast,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,13.0,,,1500-2000,,,30.0,8.8,No precipitation,12,,,,
15.03.2020 05:00,9.3,733.6,766.9,,95,Wind blowing from the south,2,,,, ,,,,,,,,,,30.0,8.5,,,,,,
15.03.2020 02:00,10.1,734.5,767.9,,94,Wind blowing from the north-northwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,13.0,,,2500 or more  or no clouds.,,,30.0,9.2,No precipitation,12,,,,
14.03.2020 23:00,10.8,735.1,768.5,,89,Wind blowing from the south,1,,8,, ,,,10.0,13.0,,,,,,30.0,9.1,No precipitation,6,,,,
14.03.2020 20:00,11.9,734.3,767.6,0.2,87,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,13.0,,,2500 or more  or no clouds.,,,30.0,9.8,No precipitation,12,,,,
14.03.2020 17:00,12.4,734.1,767.3,,85,Wind blowing from the north,2,,,100%., ,,,,,,,1500-2000,,,30.0,10.0,,,,,,
14.03.2020 14:00,11.4,734.8,768.1,-1.8,87,Wind blowing from the north,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,12.1,,,1500-2000,,,30.0,9.3,No precipitation,12,,,,
14.03.2020 11:00,10.7,736.6,770.0,,90,Wind blowing from the north-northwest,5,,7,100%., ,,,10.0,12.7,,,300-600,,,30.0,9.1,No precipitation,6,,,,
14.03.2020 08:00,10.1,735.7,769.1,0.9,97,Wind blowing from the north,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.1,12.7,,,300-600,,,30.0,9.6,1.0,12,,,,
14.03.2020 05:00,10.9,734.8,768.1,,99,Wind blowing from the north,4,,8,,Mist. ,,,10.9,12.7,,,,,,6.0,10.7,0.3,6,,,,
14.03.2020 02:00,11.4,735.4,768.7,,99,Wind blowing from the north-west,3,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,12.7,,,2500 or more  or no clouds.,,,3.0,11.2,2.0,12,,,,
13.03.2020 23:00,11.5,735.8,769.1,,99,Wind blowing from the north-west,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.5,12.7,,,,,,1.0,11.3,2.0,6,,,,
13.03.2020 20:00,11.8,734.2,767.4,1.3,99,Wind blowing from the north-northwest,5,,9,100%.,Drizzle  not freezing  intermittent  moderate at time of observation. ,Rain.,Fog or ice fog or thick haze.,11.8,12.7,,,300-600,,,0.6,11.6,2.0,12,,,,
13.03.2020 17:00,11.8,732.9,766.0,,99,Wind blowing from the north-northwest,5,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,,,,,,,1.7,11.6,0.3,6,,,,
13.03.2020 14:00,12.0,732.4,765.5,-1.2,99,Wind blowing from the north,6,,8,100%.,Rain (not freezing) not falling as shower(s). ,Drizzle.,Fog or ice fog or thick haze.,11.9,,,,300-600,,,4.2,11.8,1.0,12,,,,
13.03.2020 11:00,12.3,733.6,766.7,,99,Wind blowing from the north,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,0.9,12.1,1.0,6,,,,
13.03.2020 08:00,12.0,732.1,765.2,,99,Wind blowing from the north-west,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,,,,,300-600,,,0.7,11.8,0.5,12,,,,
13.03.2020 05:00,12.0,730.0,763.0,,99,Wind blowing from the north-northwest,3,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.0,13.1,,,,,,0.6,11.8,No precipitation,6,,,,
13.03.2020 02:00,12.2,730.4,763.4,0.1,99,Wind blowing from the north,3,,5,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.1,,,2500 or more  or no clouds.,,,0.4,12.0,No precipitation,12,,,,
12.03.2020 23:00,12.2,730.3,763.3,,99,Wind blowing from the east-southeast,1,,,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,10.9,13.1,,,,,,0.6,12.0,No precipitation,6,,,,
12.03.2020 20:00,12.2,728.5,761.5,,99,Wind blowing from the north,3,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,13.8,,,300-600,,,1.5,12.0,12.0,12,,,,
12.03.2020 17:00,12.9,727.3,760.2,,99,Wind blowing from the north,1,,,100%., ,,,,,,,600-1000,,,29.0,12.7,,,,,,
12.03.2020 14:00,12.1,728.1,761.1,-1.9,99,Wind blowing from the south-east,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,5.0,11.9,19.0,12,,,,
12.03.2020 11:00,11.4,730.0,763.0,,99,Wind blowing from the north-west,2,,10,,Rain  not freezing  intermittent  moderate at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,10.9,,,,,,,0.5,11.2,10.0,6,,,,
12.03.2020 08:00,11.2,729.4,762.4,0.5,99,Wind blowing from the north-northwest,4,,11,100%.,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.2,14.8,,,300-600,,,0.6,11.0,13.0,12,,,,
12.03.2020 05:00,11.1,728.9,761.8,,99,Wind blowing from the north,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.1,14.8,,,,,,0.5,10.9,9.0,6,,,,
12.03.2020 02:00,11.0,729.8,762.7,,99,Wind blowing from the north-east,2,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,14.8,,,2500 or more  or no clouds.,,,0.9,10.8,7.0,12,,,,
11.03.2020 23:00,12.2,730.3,763.3,,90,Wind blowing from the south-southeast,7,,11,,Rain  not freezing  intermittent  moderate at time of observation. ,,,9.1,14.8,,,,,,30.0,10.6,4.0,6,,,,
11.03.2020 20:00,13.0,729.3,762.3,0.1,85,Wind blowing from the north-east,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,14.8,,,1500-2000,,,30.0,10.5,Trace of precipitation,12,,,,
11.03.2020 17:00,14.1,729.2,762.2,,77,Wind blowing from the north-east,2,,,100%., ,,,,,,,1500-2000,,,30.0,10.1,,,,,,
11.03.2020 14:00,14.2,730.6,763.6,-3.0,73,Wind blowing from the east,2,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,15.4,,,1500-2000,,,30.0,9.4,2.0,12,,,,
11.03.2020 11:00,12.4,733.6,766.7,,90,Wind blowing from the north,1,,7,, ,,,9.1,15.4,,,,,,30.0,10.8,2.0,6,,,,
11.03.2020 08:00,10.6,732.3,765.4,0.7,90,Wind blowing from the east-northeast,1,,7,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,15.4,,,1000-1500,,,30.0,9.0,2.0,12,,,,
11.03.2020 05:00,9.3,731.6,764.7,,93,Calm  no wind,0,,,,Rain (not freezing) not falling as shower(s). ,,,8.7,15.4,,,,,,30.0,8.2,No precipitation,6,,,,
11.03.2020 02:00,10.4,732.7,765.8,-0.7,77,Wind blowing from the south,1,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.4,,,2500 or more  or no clouds.,,,30.0,6.5,No precipitation,12,,,,
10.03.2020 23:00,11.5,733.4,766.7,,72,Wind blowing from the south,2,,6,, ,,,8.7,15.4,,,,,,30.0,6.6,No precipitation,6,,,,
10.03.2020 20:00,13.2,732.6,765.8,,64,Wind blowing from the south-west,2,,7,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.4,,,2500 or more  or no clouds.,,,30.0,6.5,No precipitation,12,,,,
10.03.2020 17:00,14.9,732.5,765.6,,60,Wind blowing from the north,2,,,90  or more  but not 100%, ,,,,,,,1500-2000,,,30.0,7.2,,,,,,
10.03.2020 14:00,13.9,733.6,766.8,-1.8,66,Wind blowing from the north-east,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,14.0,,,2500 or more  or no clouds.,,,30.0,7.7,No precipitation,12,,,,
10.03.2020 11:00,9.8,735.4,768.8,,87,Wind blowing from the north,4,,12,100%., ,,,8.7,,,,600-1000,,,30.0,7.7,No precipitation,6,,,,
10.03.2020 08:00,8.8,733.9,767.4,1.8,91,Wind blowing from the north-northwest,3,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,,,,600-1000,,,30.0,7.4,0.2,12,,,,
10.03.2020 05:00,9.5,732.1,765.4,,92,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,30.0,8.3,,,,,,
10.03.2020 02:00,9.8,732.7,766.0,,95,Wind blowing from the north-northwest,7,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,,,,2500 or more  or no clouds.,,,30.0,9.0,2.0,12,,,,
09.03.2020 20:00,10.7,729.8,762.8,3.1,99,Wind blowing from the north-northwest,9,,13,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,,,,300-600,,,5.0,10.5,3.0,12,,,,
09.03.2020 17:00,12.5,726.7,759.2,,99,Wind blowing from the north-northwest,6,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,,,,300-600,,,30.0,12.3,0.8,6,,,,
09.03.2020 14:00,13.3,725.8,758.1,-0.6,99,Wind blowing from the north,5,,12,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,26.0,,,300-600,,,28.0,13.1,2.0,12,,,,
09.03.2020 11:00,13.7,726.4,758.6,,99,Wind blowing from the north-northwest,5,,17,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,26.0,,,,,,30.0,13.5,1.0,6,,,,
09.03.2020 08:00,13.8,724.8,756.9,2.9,99,Wind blowing from the north,7,,18,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,26.0,,,2500 or more  or no clouds.,,,30.0,13.6,No precipitation,12,,,,
09.03.2020 05:00,16.8,721.9,753.6,,99,Wind blowing from the north,4,,18,, ,,,12.8,26.0,,,,,,21.0,16.6,No precipitation,6,,,,
09.03.2020 02:00,21.1,721.7,753.1,-0.4,80,Wind blowing from the south-southeast,9,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,26.0,,,2500 or more  or no clouds.,,,30.0,17.5,No precipitation,12,,,,
08.03.2020 23:00,21.6,722.1,753.6,,79,Wind blowing from the south-southeast,11,,18,, ,,,,26.0,,,,,,30.0,17.8,No precipitation,6,,,,
08.03.2020 20:00,22.3,721.1,753.1,,75,Wind blowing from the south-southeast,10,,18,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,26.0,,,1000-1500,,,30.0,17.7,No precipitation,12,,,,
08.03.2020 17:00,24.0,720.0,751.8,,69,Wind blowing from the south-southeast,10,,,90  or more  but not 100%, ,,,,,,,1000-1500,,,30.0,18.0,,,,,,
08.03.2020 14:00,25.7,721.5,753.3,-2.6,64,Wind blowing from the south-southeast,9,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,25.9,,,1000-1500,,,30.0,18.4,0.2,12,,,,
08.03.2020 11:00,23.4,724.1,756.1,,74,Wind blowing from the south-southeast,12,,17,40%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,23.4,,,1000-1500,,,30.0,18.5,0.1,6,,,,
08.03.2020 08:00,13.1,725.1,757.7,,99,Wind blowing from the north-northeast,2,,5,100%.,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.8,,,,200-300,,,0.9,12.9,0.3,12,,,,
08.03.2020 05:00,13.0,724.8,757.1,,99,Wind blowing from the north-northwest,2,,8,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,12.9,21.8,,,,,,0.4,12.8,0.2,6,,,,
08.03.2020 02:00,12.9,726.1,758.4,-1.3,99,Wind blowing from the north,2,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.9,21.8,,,2500 or more  or no clouds.,,,0.5,12.7,1.0,12,,,,
07.03.2020 23:00,13.7,727.4,760.0,,99,Wind blowing from the north-northwest,2,,9,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,13.0,21.8,,,,,,0.3,13.5,1.0,6,,,,
07.03.2020 20:00,14.2,726.4,759.0,,99,Wind blowing from the north-northwest,4,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,21.8,,,1500-2000,,,29.0,14.0,1.0,12,,,,
07.03.2020 17:00,18.9,725.2,757.5,,80,Wind blowing from the north,6,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,21.8,,,1000-1500,,,30.0,15.4,Trace of precipitation,6,,,,
07.03.2020 14:00,20.8,726.1,758.2,-2.5,69,Wind blowing from the north-northeast,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,21.1,,,1500-2000,,,30.0,14.9,No precipitation,12,,,,
07.03.2020 11:00,16.7,728.6,761.0,,85,Calm  no wind,0,,,90  or more  but not 100%, ,,,13.0,18.9,,,,,,30.0,14.2,No precipitation,6,,,,
07.03.2020 08:00,13.3,728.2,760.8,0.7,99,Wind blowing from the north,2,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.0,18.9,,,2500 or more  or no clouds.,,,30.0,13.1,No precipitation,12,,,,
07.03.2020 05:00,13.0,727.5,760.0,,99,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,30.0,12.8,,,,,,
07.03.2020 02:00,16.3,727.9,760.3,-0.6,89,Wind blowing from the south-southeast,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.9,,,2500 or more  or no clouds.,,,30.0,14.5,No precipitation,12,,,,
06.03.2020 23:00,16.7,728.5,760.9,,86,Wind blowing from the south,7,,16,, ,,,,18.9,,,,,,30.0,14.3,No precipitation,6,,,,
06.03.2020 20:00,16.7,727.6,760.1,0.9,85,Wind blowing from the south-southeast,7,,17,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,18.9,,,1500-2000,,,30.0,14.2,Trace of precipitation,12,,,,
06.03.2020 17:00,17.4,726.7,759.4,,80,Wind blowing from the south-southeast,9,,,100%., ,,,,,,,1500-2000,,,30.0,13.9,,,,,,
06.03.2020 14:00,18.2,727.3,760.0,-2.1,75,Wind blowing from the south,10,,17,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,18.6,,,2500 or more  or no clouds.,,,30.0,13.7,No precipitation,12,,,,
06.03.2020 11:00,16.2,729.4,762.2,,78,Wind blowing from the south-southeast,8,,17,40%., ,,,8.3,16.2,,,1000-1500,,,30.0,12.4,No precipitation,6,,,,
06.03.2020 08:00,14.7,728.9,761.8,,83,Wind blowing from the south-southeast,10,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,14.7,,,2500 or more  or no clouds.,,,30.0,11.8,No precipitation,12,,,,
06.03.2020 05:00,9.4,729.2,762.4,,99,Wind blowing from the south-southeast,1,,5,,Rain (not freezing) not falling as shower(s). ,,,,10.7,,,,,,8.0,9.3,No precipitation,6,,,,
06.03.2020 02:00,9.2,730.5,763.8,-1.5,99,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.7,,,2500 or more  or no clouds.,,,12.0,9.1,No precipitation,12,,,,
05.03.2020 23:00,9.5,732.0,765.4,,99,Wind blowing from the west-northwest,1,,5,,Rain (not freezing) not falling as shower(s). ,,,6.9,10.7,,,,,,30.0,9.4,No precipitation,6,,,,
05.03.2020 20:00,9.8,731.8,765.4,0.1,97,Wind blowing from the north,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,10.7,,,1500-2000,,,30.0,9.3,0.1,12,,,,
05.03.2020 17:00,10.1,731.7,765.2,,94,Wind blowing from the north-northwest,3,,,100%., ,,,,,,,1000-1500,,,30.0,9.2,,,,,,
05.03.2020 14:00,10.0,733.3,766.9,-2.4,98,Wind blowing from the north-west,3,,4,100%.,Cloud development not observed or not observable. ,Rain.,Fog or ice fog or thick haze.,6.5,10.5,,,1000-1500,,,30.0,9.7,0.5,12,,,,
05.03.2020 11:00,8.5,735.7,769.4,,99,Wind blowing from the north-northwest,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,8.6,,,,,,3.8,8.4,0.2,6,,,,
05.03.2020 08:00,7.3,735.2,769.0,,99,Wind blowing from the north,2,,5,100%.,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,7.4,,,300-600,,,0.5,7.2,1.0,12,,,,
05.03.2020 05:00,7.1,734.4,768.2,,99,Wind blowing from the north-northwest,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,,7.2,,,,,,0.6,7.0,0.6,6,,,,
05.03.2020 02:00,7.0,735.0,768.9,,99,Wind blowing from the north-west,2,,9,,Drizzle  not freezing  intermittent  moderate at time of observation. ,Rain.,Fog or ice fog or thick haze.,5.8,7.1,,,2500 or more  or no clouds.,,,0.6,6.9,2.0,12,,,,
04.03.2020 23:00,6.9,735.7,769.6,,99,Wind blowing from the north-northwest,2,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,5.8,7.1,,,,,,0.5,6.8,0.9,6,,,,
04.03.2020 20:00,6.7,735.9,769.9,2.0,99,Wind blowing from the north-northwest,5,,9,100%.,Drizzle  not freezing  intermittent  heavy (dense) at time of observation. ,Rain.,Fog or ice fog or thick haze.,5.8,7.1,,,100-200,,,0.4,6.6,5.0,12,,,,
04.03.2020 17:00,6.9,733.9,767.8,,99,Wind blowing from the north-northwest,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,7.3,,,300-600,,,1.2,6.8,1.0,6,,,,
04.03.2020 14:00,6.5,735.7,769.7,,99,Wind blowing from the north-northwest,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,,,,2500 or more  or no clouds.,,,0.6,6.4,9.0,12,,,,
04.03.2020 11:00,6.5,736.8,770.8,,99,Wind blowing from the north-west,4,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,5.8,,,,300-600,,,1.2,6.4,6.0,6,,,,
04.03.2020 08:00,5.9,736.1,770.1,1.8,99,Wind blowing from the north-northwest,3,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,,,,2500 or more  or no clouds.,,,0.7,5.8,11.0,12,,,,
04.03.2020 05:00,5.8,734.3,768.2,,99,Wind blowing from the north-northwest,5,,8,,Fog or ice fog. ,,,5.8,8.6,,,,,,0.9,5.7,5.0,6,,,,
04.03.2020 02:00,6.0,734.8,768.6,-0.2,99,Wind blowing from the north,2,,8,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.0,8.7,,,2500 or more  or no clouds.,,,0.7,5.9,11.0,12,,,,
03.03.2020 23:00,6.3,735.0,768.8,,99,Wind blowing from the north-northwest,2,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,6.2,9.7,,,,,,1.4,6.2,6.0,6,,,,
03.03.2020 20:00,6.6,735.0,768.8,,99,Wind blowing from the north-northwest,5,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.6,10.3,,,300-600,,,1.8,6.5,32.0,12,,,,
03.03.2020 17:00,7.3,732.5,766.1,,99,Wind blowing from the north,5,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,,,,,,,2.9,7.2,22.0,6,,,,
03.03.2020 14:00,8.2,733.1,766.7,-2.1,99,Wind blowing from the north-west,3,,9,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,7.5,,,,300-600,,,1.9,8.1,26.0,12,,,,
03.03.2020 11:00,7.6,735.2,768.9,,99,Wind blowing from the east,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,7.5,11.1,,,300-600,,,5.0,7.5,8.0,6,,,,
03.03.2020 08:00,8.2,733.0,766.4,,99,Wind blowing from the north-northwest,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Drizzle.,Fog or ice fog or thick haze.,8.2,11.1,,,2500 or more  or no clouds.,,,0.9,8.1,3.0,12,,,,
03.03.2020 05:00,8.6,731.8,765.1,,99,Wind blowing from the north-northwest,3,,7,,Drizzle  not freezing  intermittent  moderate at time of observation. ,,,8.5,11.1,,,,,,0.5,8.5,1.0,6,,,,
03.03.2020 02:00,8.5,733.3,766.7,-0.6,99,Wind blowing from the north-northwest,4,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,11.1,,,2500 or more  or no clouds.,,,0.9,8.4,1.0,12,,,,
02.03.2020 23:00,9.7,733.9,767.4,,99,Wind blowing from the north,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.2,11.1,,,,,,30.0,9.6,0.2,6,,,,
02.03.2020 20:00,10.3,732.8,766.2,1.9,99,Wind blowing from the north-northwest,4,,7,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.1,,,300-600,,,30.0,10.1,0.2,12,,,,
02.03.2020 17:00,10.8,730.9,764.2,,99,Wind blowing from the north,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,11.0,,,300-600,,,30.0,10.6,No precipitation,6,,,,
02.03.2020 14:00,10.4,731.3,764.6,-1.8,99,Wind blowing from the north,1,,7,100%.,Rain (not freezing) not falling as shower(s). ,Drizzle.,Fog or ice fog or thick haze.,9.2,11.7,,,300-600,,,14.0,10.2,0.8,12,,,,
