Local time in Jixi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 17:00,-1.0,735.8,761.8,,36,Wind blowing from the north-west,5,,11,no clouds, ,,,-8.3,0.0,,,,,,30.0,-14.2,No precipitation,6,,,,
15.03.2020 14:00,-0.4,734.5,760.3,,33,Wind blowing from the north-northwest,7,,11,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,1.9,,,600-1000,,,30.0,-14.7,No precipitation,12,,,,
15.03.2020 11:00,-1.4,733.9,759.6,,37,Wind blowing from the north-east,5,,9,20–30%., ,,,-8.3,1.9,,,600-1000,,,30.0,-14.2,No precipitation,6,,,,
15.03.2020 08:00,-4.8,732.7,758.5,2.6,81,Wind blowing from the east-northeast,5,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,1.9,,,2500 or more  or no clouds.,,,16.0,-7.6,No precipitation,12,,,,
15.03.2020 05:00,-7.9,730.1,755.8,,91,Wind blowing from the east-northeast,1,,5,,Mist. ,,,-7.9,1.9,,,,,,7.0,-9.2,No precipitation,6,,,,
15.03.2020 02:00,-6.3,728.8,754.4,,87,Wind blowing from the east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,1.9,,,2500 or more  or no clouds.,,,8.0,-8.1,No precipitation,12,,,,
14.03.2020 23:00,-4.5,728.9,754.4,,84,Wind blowing from the east-northeast,2,,,, ,,,-7.4,1.9,,,,,,15.0,-6.9,No precipitation,6,,,,
14.03.2020 20:00,-3.6,729.4,755.2,0.3,78,Wind blowing from the east-northeast,3,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,1.9,,,1000-1500,,,10.0,-6.9,No precipitation,12,,,,
14.03.2020 17:00,-0.5,729.1,754.7,,51,Wind blowing from the south-east,2,,13,70 – 80%., ,,,-7.4,1.9,,,1000-1500,,,20.0,-9.4,No precipitation,6,,,,
14.03.2020 14:00,0.4,729.0,754.6,-0.8,55,Wind blowing from the south-west,5,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,1.4,,,600-1000,,,30.0,-7.8,No precipitation,12,,,,
14.03.2020 11:00,0.0,729.8,755.5,,44,Wind blowing from the south-west,7,,13,20–30%., ,,,-7.4,0.1,,,600-1000,,,27.0,-10.8,No precipitation,6,,,,
14.03.2020 08:00,-4.8,731.4,757.3,,45,Wind blowing from the south-west,6,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,-4.5,,,600-1000,,,24.0,-14.9,No precipitation,12,,,,
14.03.2020 05:00,-6.2,731.9,757.9,,47,Wind blowing from the south-west,7,,10,, ,,,,-4.5,,,,,,30.0,-15.7,No precipitation,6,,,,
14.03.2020 02:00,-6.6,733.5,759.4,,43,Wind blowing from the south-west,5,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,-4.5,,,2500 or more  or no clouds.,,,30.0,-17.1,No precipitation,12,,,,
13.03.2020 23:00,-6.5,735.0,761.1,,40,Wind blowing from the south,2,,,, ,,,-10.8,-4.5,,,,,,30.0,-17.9,No precipitation,6,,,,
13.03.2020 20:00,-6.9,736.9,763.2,0.4,35,Wind blowing from the west-southwest,4,,18,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,-4.5,,,2500 or more  or no clouds.,,,30.0,-19.8,No precipitation,12,,,,
13.03.2020 17:00,-5.5,736.5,762.8,,26,Wind blowing from the west,7,,18,no clouds, ,,,-10.8,-0.5,,,,,,30.0,-22.0,No precipitation,6,,,,
13.03.2020 14:00,-4.6,736.0,762.3,,25,Wind blowing from the west,8,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,2.7,,,,,,30.0,-21.7,No precipitation,12,,,,
13.03.2020 11:00,-6.9,737.2,763.5,,31,Wind blowing from the west-southwest,10,,18,no clouds, ,,,-10.8,,,,,,,30.0,-21.2,No precipitation,6,,,,
13.03.2020 08:00,-9.1,737.1,763.4,0.8,39,Wind blowing from the west,9,,18,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,,,,,,,30.0,-20.5,No precipitation,12,,,,
13.03.2020 05:00,-10.6,736.3,762.4,,48,Wind blowing from the west-southwest,7,,18,, ,,,-10.6,3.3,,,,,,30.0,-19.5,No precipitation,6,,,,
13.03.2020 02:00,-10.2,736.0,761.8,1.0,43,Wind blowing from the west,9,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,3.3,,,2500 or more  or no clouds.,,,30.0,-20.4,No precipitation,12,,,,
12.03.2020 23:00,-8.4,735.0,760.8,,37,Wind blowing from the west,9,,,, ,,,-8.4,3.3,,,,,,30.0,-20.5,No precipitation,6,,,,
12.03.2020 20:00,-6.5,733.3,759.1,,47,Wind blowing from the west,10,,18,40%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,3.3,,,1000-1500,,,30.0,-16.0,Trace of precipitation,12,,,,
12.03.2020 17:00,-0.5,730.0,755.6,,49,Wind blowing from the west,8,,18,40%., ,,,-6.2,3.3,,,1000-1500,,,30.0,-9.9,No precipitation,6,,,,
12.03.2020 14:00,2.7,728.9,754.3,,33,Wind blowing from the west-southwest,8,,15,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,3.3,,,1000-1500,,,30.0,-12.0,No precipitation,12,,,,
12.03.2020 11:00,1.4,730.0,755.4,,50,Wind blowing from the south-west,9,,14,40%., ,,,-6.2,1.4,,,2500 or more  or no clouds.,,,24.0,-8.1,No precipitation,6,,,,
12.03.2020 08:00,-3.0,731.4,757.0,-0.9,52,Wind blowing from the south-west,2,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.2,1.4,,,2500 or more  or no clouds.,,,22.0,-11.7,No precipitation,12,,,,
12.03.2020 05:00,-5.4,732.3,757.9,,55,Wind blowing from the south-west,2,,10,, ,,,-5.5,1.4,,,,,,30.0,-13.2,No precipitation,6,,,,
12.03.2020 02:00,-4.9,733.3,758.9,-0.6,51,Wind blowing from the south-southwest,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,1.4,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
11.03.2020 23:00,-4.2,733.9,759.7,,50,Wind blowing from the south-west,6,,,, ,,,-5.8,1.4,,,,,,29.0,-13.1,No precipitation,6,,,,
11.03.2020 20:00,-2.6,733.6,759.4,1.5,45,Wind blowing from the west-southwest,5,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,1.4,,,,,,28.0,-12.9,No precipitation,12,,,,
11.03.2020 17:00,0.0,732.1,757.7,,37,Wind blowing from the west,5,,14,no clouds, ,,,-5.8,1.4,,,,,,30.0,-13.0,No precipitation,6,,,,
11.03.2020 14:00,1.1,731.2,756.8,0.0,31,Wind blowing from the north-west,8,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,1.4,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
11.03.2020 11:00,-1.1,731.2,756.9,,34,Wind blowing from the west-northwest,9,,13,70 – 80%., ,,,-5.8,-0.9,,,600-1000,,,30.0,-15.0,No precipitation,6,,,,
11.03.2020 08:00,-4.2,731.2,757.0,,61,Wind blowing from the west-northwest,5,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.8,-1.9,,,2500 or more  or no clouds.,,,30.0,-10.6,Trace of precipitation,12,,,,
11.03.2020 05:00,-5.4,730.3,756.1,,64,Wind blowing from the west,2,,8,, ,,,-9.2,-1.9,,,,,,28.0,-11.3,No precipitation,6,,,,
11.03.2020 02:00,-5.5,730.0,755.7,-0.6,71,Wind blowing from the west,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-1.9,,,2500 or more  or no clouds.,,,30.0,-9.9,0.2,12,,,,
10.03.2020 23:00,-5.7,730.6,756.4,,80,Wind blowing from the west,4,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,-9.2,-1.9,,,,,,29.0,-8.6,0.2,6,,,,
10.03.2020 20:00,-4.7,731.3,757.2,,84,Wind blowing from the west,4,,11,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-1.9,,,2500 or more  or no clouds.,,,27.0,-7.1,0.2,12,,,,
10.03.2020 17:00,-3.0,731.5,757.4,,57,Wind blowing from the north-east,3,,11,90  or more  but not 100%, ,,,-9.2,-0.8,,,2500 or more  or no clouds.,,,13.0,-10.5,No precipitation,6,,,,
10.03.2020 14:00,-2.3,732.6,758.4,,37,Wind blowing from the east,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,1.0,,,2500 or more  or no clouds.,,,30.0,-15.3,No precipitation,12,,,,
10.03.2020 11:00,-2.8,735.3,761.2,,40,Wind blowing from the east,5,,9,90  or more  but not 100%, ,,,-9.2,1.2,,,2500 or more  or no clouds.,,,27.0,-14.8,No precipitation,6,,,,
10.03.2020 08:00,-5.5,737.0,763.0,-1.0,55,Wind blowing from the east,3,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,1.2,,,2500 or more  or no clouds.,,,13.0,-13.1,No precipitation,12,,,,
10.03.2020 05:00,-7.6,738.0,764.0,,67,Wind blowing from the east-northeast,2,,,, ,,,-7.7,1.5,,,,,,21.0,-12.7,No precipitation,6,,,,
10.03.2020 02:00,-6.0,739.4,765.3,,64,Wind blowing from the east-northeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,1.5,,,2500 or more  or no clouds.,,,21.0,-11.7,No precipitation,12,,,,
09.03.2020 20:00,-3.0,740.9,766.8,0.6,54,Wind blowing from the east-northeast,1,,9,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,1.5,,,2500 or more  or no clouds.,,,17.0,-11.0,No precipitation,12,,,,
09.03.2020 17:00,-0.8,740.3,766.0,,33,Wind blowing from the north,2,,12,90  or more  but not 100%, ,,,-1.7,1.6,,,1000-1500,,,28.0,-15.1,No precipitation,6,,,,
09.03.2020 14:00,0.8,740.0,765.7,-0.4,34,Wind blowing from the north-west,3,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,,,,1000-1500,,,30.0,-13.3,Trace of precipitation,12,,,,
09.03.2020 11:00,0.2,740.4,766.0,,55,Wind blowing from the north-northwest,2,,12,90  or more  but not 100%, ,,,-1.7,,,,1000-1500,,,25.0,-7.8,Trace of precipitation,6,,,,
09.03.2020 08:00,-1.4,739.0,764.7,2.9,80,Wind blowing from the north-west,6,,12,90  or more  but not 100%,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,,,,2500 or more  or no clouds.,,,17.0,-4.4,Trace of precipitation,12,,,,
09.03.2020 05:00,0.9,736.1,761.5,,81,Wind blowing from the west,4,,7,,Intermittent fall of snowflakes  slight at time of observation. ,,,,,,,,,,7.0,-2.0,No precipitation,6,,,,
09.03.2020 02:00,-0.6,735.4,760.7,,83,Wind blowing from the west-northwest,2,,4,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.7,,,2500 or more  or no clouds.,,,4.7,-3.1,No precipitation,12,,,,
08.03.2020 23:00,0.0,736.0,761.4,,78,Calm  no wind,0,,,,Haze. ,,,-7.4,5.7,,,,,,7.0,-3.5,No precipitation,6,,,,
08.03.2020 20:00,0.9,736.0,761.6,0.4,72,Wind blowing from the east,1,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.7,,,2500 or more  or no clouds.,,,9.0,-3.6,No precipitation,12,,,,
08.03.2020 17:00,1.6,735.6,761.2,,71,Wind blowing from the east-northeast,2,,6,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.7,,,2500 or more  or no clouds.,,,6.0,-3.1,No precipitation,6,,,,
08.03.2020 14:00,5.4,735.8,761.4,-1.7,56,Wind blowing from the south,3,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,5.4,,,2500 or more  or no clouds.,,,18.0,-2.7,No precipitation,12,,,,
08.03.2020 11:00,3.4,737.5,763.1,,58,Wind blowing from the south-southwest,4,,6,60%., ,,,-7.4,3.5,,,2500 or more  or no clouds.,,,17.0,-4.1,No precipitation,6,,,,
08.03.2020 08:00,-2.5,738.1,764.1,,85,Wind blowing from the north-west,1,,4,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.5,-1.8,,,2500 or more  or no clouds.,,,4.0,-4.7,No precipitation,12,,,,
08.03.2020 05:00,-4.5,738.1,764.0,,87,Wind blowing from the south-east,1,,4,, ,,,-8.7,-1.8,,,,,,7.0,-6.3,No precipitation,6,,,,
08.03.2020 02:00,-6.0,737.7,763.7,0.4,91,Wind blowing from the west-northwest,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-1.8,,,2500 or more  or no clouds.,,,4.7,-7.2,0.3,12,,,,
07.03.2020 23:00,-3.7,737.3,763.3,,89,Wind blowing from the west,1,,,, ,,,-9.9,-1.8,,,,,,7.0,-5.2,0.2,6,,,,
07.03.2020 20:00,-4.3,736.8,762.9,0.8,91,Wind blowing from the north-northeast,1,,4,90  or more  but not 100%,Mist. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-1.8,,,2500 or more  or no clouds.,,,4.8,-5.5,2.0,12,,,,
07.03.2020 17:00,-2.9,736.0,762.1,,83,Wind blowing from the east-northeast,2,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-1.8,,,2500 or more  or no clouds.,,,6.0,-5.4,0.2,6,,,,
07.03.2020 14:00,-2.8,736.0,762.1,-1.5,77,Wind blowing from the east,3,,4,70 – 80%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,-0.1,,,2500 or more  or no clouds.,,,9.0,-6.3,1.0,12,,,,
07.03.2020 11:00,-6.2,737.5,763.8,,84,Wind blowing from the east-northeast,2,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,,,,2500 or more  or no clouds.,,,3.5,-8.5,1.0,6,,,,
07.03.2020 08:00,-7.5,738.1,764.4,-0.3,69,Wind blowing from the east,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,,,,2500 or more  or no clouds.,,,19.0,-12.2,No precipitation,12,,,,
07.03.2020 05:00,-8.6,738.4,764.6,,73,Wind blowing from the north-northeast,1,,7,, ,,,-14.5,0.0,,,,,,12.0,-12.6,No precipitation,6,,,,
07.03.2020 02:00,-9.9,738.9,765.0,,72,Wind blowing from the east-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.5,0.0,,,2500 or more  or no clouds.,,,14.0,-14.0,No precipitation,12,,,,
06.03.2020 23:00,-7.3,739.5,765.5,,63,Wind blowing from the east,4,,,, ,,,-14.5,0.0,,,,,,20.0,-13.3,No precipitation,6,,,,
06.03.2020 20:00,-6.6,739.9,766.4,0.3,66,Wind blowing from the east-northeast,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.5,0.0,,,,,,15.0,-11.9,No precipitation,12,,,,
06.03.2020 17:00,-2.9,739.6,766.1,,40,Wind blowing from the east,4,,6,no clouds, ,,,-14.5,0.0,,,,,,21.0,-14.6,No precipitation,6,,,,
06.03.2020 14:00,-0.5,739.6,765.9,-1.3,39,Wind blowing from the east-northeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.5,0.0,,,,,,21.0,-12.8,No precipitation,12,,,,
06.03.2020 11:00,-1.3,740.9,767.2,,44,Wind blowing from the west-northwest,1,,4,no clouds, ,,,-14.5,-0.7,,,,,,15.0,-12.0,No precipitation,6,,,,
06.03.2020 08:00,-9.7,741.4,767.8,,73,Wind blowing from the south-east,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.5,-0.7,,,,,,10.0,-13.6,No precipitation,12,,,,
06.03.2020 05:00,-13.8,740.6,767.1,,82,Wind blowing from the west-southwest,2,,5,, ,,,-13.8,-0.7,,,,,,13.0,-16.2,No precipitation,6,,,,
06.03.2020 02:00,-11.3,740.3,766.6,-0.1,79,Wind blowing from the west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,-0.7,,,2500 or more  or no clouds.,,,15.0,-14.2,No precipitation,12,,,,
05.03.2020 23:00,-9.4,740.4,766.6,,70,Wind blowing from the west,1,,,, ,,,-9.8,-0.7,,,,,,17.0,-14.0,No precipitation,6,,,,
05.03.2020 20:00,-5.9,740.2,766.6,0.7,54,Wind blowing from the south-southwest,2,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,-0.7,,,1000-1500,,,18.0,-13.7,No precipitation,12,,,,
05.03.2020 17:00,-2.6,739.5,765.7,,44,Wind blowing from the south-southwest,4,,11,40%., ,,,-9.8,-0.7,,,600-1000,,,20.0,-13.2,No precipitation,6,,,,
05.03.2020 14:00,-1.2,739.5,765.4,-0.8,33,Wind blowing from the west,7,,11,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,-0.7,,,600-1000,,,24.0,-15.4,No precipitation,12,,,,
05.03.2020 11:00,-3.0,740.3,766.4,,54,Wind blowing from the south-west,6,,9,no clouds, ,,,-9.8,-3.0,,,,,,23.0,-11.0,No precipitation,6,,,,
05.03.2020 08:00,-7.4,741.1,767.5,0.5,78,Wind blowing from the west-southwest,3,,8,no clouds,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,-4.4,,,,,,12.0,-10.7,0.4,12,,,,
05.03.2020 05:00,-8.7,740.6,766.9,,85,Wind blowing from the south-west,3,,8,, ,,,-8.8,-4.4,,,,,,17.0,-10.8,0.4,6,,,,
05.03.2020 02:00,-5.7,740.2,766.4,,79,Wind blowing from the west,3,,8,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-4.4,,,2500 or more  or no clouds.,,,16.0,-8.8,0.9,12,,,,
04.03.2020 23:00,-5.6,740.2,766.4,,90,Wind blowing from the west-northwest,3,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,,-4.4,,,,,,7.0,-7.0,0.2,6,,,,
04.03.2020 20:00,-4.8,739.9,766.1,0.7,90,Wind blowing from the west-northwest,2,,7,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-8.2,-4.4,,,2500 or more  or no clouds.,,,7.0,-6.2,3.0,12,,,,
04.03.2020 17:00,-5.0,739.2,765.4,,89,Wind blowing from the east-northeast,1,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-8.2,-3.3,,,2500 or more  or no clouds.,,,8.0,-6.5,2.0,6,,,,
04.03.2020 14:00,-4.7,739.5,765.7,-1.2,85,Wind blowing from the east-northeast,4,,7,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,-0.5,,,2500 or more  or no clouds.,,,4.1,-6.8,4.0,12,,,,
04.03.2020 11:00,-5.9,740.7,767.0,,87,Wind blowing from the east-northeast,4,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-8.2,,,,2500 or more  or no clouds.,,,2.5,-7.7,3.0,6,,,,
04.03.2020 08:00,-7.0,741.6,767.9,0.2,87,Wind blowing from the east,3,,7,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.1,,,,2500 or more  or no clouds.,,,4.4,-8.8,1.0,12,,,,
04.03.2020 05:00,-8.2,741.4,767.7,,89,Wind blowing from the east,4,,7,,Intermittent fall of snowflakes  slight at time of observation. ,,,-12.7,-0.5,,,,,,3.6,-9.7,0.1,6,,,,
04.03.2020 02:00,-7.7,742.0,768.2,-1.2,86,Wind blowing from the east-northeast,4,,7,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,-0.5,,,2500 or more  or no clouds.,,,9.0,-9.6,No precipitation,12,,,,
03.03.2020 23:00,-7.1,743.2,769.5,,79,Wind blowing from the east-northeast,4,,,, ,,,-12.7,-0.5,,,,,,13.0,-10.1,No precipitation,6,,,,
03.03.2020 20:00,-5.7,743.8,770.4,,75,Wind blowing from the east,4,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,-0.5,,,2500 or more  or no clouds.,,,11.0,-9.4,No precipitation,12,,,,
03.03.2020 17:00,-3.2,744.0,770.5,,58,Wind blowing from the east,3,,,no clouds, ,,,-12.7,-0.5,,,,,,19.0,-10.3,No precipitation,6,,,,
03.03.2020 14:00,-1.0,744.4,770.8,-1.2,42,Wind blowing from the west,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,-0.3,,,,,,19.0,-12.3,No precipitation,12,,,,
03.03.2020 11:00,-2.6,745.6,772.0,,59,Wind blowing from the east-southeast,2,,5,no clouds, ,,,-12.7,-0.3,,,,,,16.0,-9.5,No precipitation,6,,,,
03.03.2020 08:00,-10.1,746.5,773.2,0.5,85,Wind blowing from the west-southwest,1,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.7,-0.3,,,2500 or more  or no clouds.,,,9.0,-12.1,No precipitation,12,,,,
03.03.2020 05:00,-12.3,746.0,772.7,,87,Wind blowing from the west,2,,6,, ,,,-12.3,-0.3,,,,,,10.0,-14.0,No precipitation,6,,,,
03.03.2020 02:00,-10.0,745.4,771.8,0.1,82,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.2,-0.3,,,2500 or more  or no clouds.,,,14.0,-12.5,No precipitation,12,,,,
02.03.2020 23:00,-8.9,745.3,771.7,,76,Wind blowing from the west,1,,,, ,,,-12.2,-0.3,,,,,,14.0,-12.4,No precipitation,6,,,,
02.03.2020 20:00,-5.7,744.7,771.4,1.3,65,Wind blowing from the west,1,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.2,-0.3,,,2500 or more  or no clouds.,,,22.0,-11.4,No precipitation,12,,,,
02.03.2020 17:00,-3.8,743.4,769.9,,62,Wind blowing from the north-northwest,4,,7,70 – 80%., ,,,-12.2,-0.3,,,2500 or more  or no clouds.,,,16.0,-10.0,No precipitation,6,,,,
02.03.2020 14:00,-0.8,742.1,768.4,,49,Wind blowing from the north-west,5,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.2,-0.5,,,2500 or more  or no clouds.,,,19.0,-10.4,No precipitation,12,,,,
02.03.2020 11:00,-3.1,742.9,769.2,,66,Wind blowing from the west-northwest,3,,4,50%., ,,,-12.2,-2.4,,,2500 or more  or no clouds.,,,15.0,-8.7,No precipitation,6,,,,
