Local time in Shangzhi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 17:00,-3.3,746.1,764.4,,71,Wind blowing from the west-southwest,4,,11,no clouds, ,,,-4.8,1.1,,,,,,13.0,-7.8,No precipitation,6,,,,
15.03.2020 14:00,-0.2,744.1,762.1,,40,Wind blowing from the north-east,6,,11,20–30%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,2.5,,,1000-1500,,,30.0,-12.2,0.7,6,,,,
15.03.2020 11:00,-2.0,742.6,760.6,,73,Wind blowing from the east-northeast,3,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,,,,,,,14.0,-6.2,4.0,6,,,,
15.03.2020 08:00,-3.9,740.3,758.4,2.5,86,Wind blowing from the north-northwest,2,,4,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,2.5,,,2500 or more  or no clouds.,,,3.0,-5.9,4.0,12,,,,
15.03.2020 05:00,-4.7,737.8,755.8,,91,Wind blowing from the west,2,,7,,Intermittent fall of snowflakes  slight at time of observation. ,,,-6.4,2.5,,,,,,3.9,-5.9,0.8,6,,,,
15.03.2020 02:00,-3.7,736.4,754.3,,93,Wind blowing from the south-southwest,1,,8,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,2.5,,,2500 or more  or no clouds.,,,20.0,-4.7,4.0,12,,,,
14.03.2020 20:00,-1.5,736.4,754.3,-0.1,93,Wind blowing from the south-southwest,1,,,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,2.5,,,2500 or more  or no clouds.,,,2.9,-2.5,3.0,12,,,,
14.03.2020 17:00,0.2,736.5,754.5,,66,Wind blowing from the south-west,3,,10,,Intermittent fall of snowflakes  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,2.5,,,,,,14.0,-5.4,No precipitation,6,,,,
14.03.2020 14:00,2.1,737.4,755.2,-1.6,49,Wind blowing from the west-southwest,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.4,2.1,,,2500 or more  or no clouds.,,,22.0,-7.5,No precipitation,12,,,,
14.03.2020 11:00,-0.5,739.0,756.9,,56,Wind blowing from the south-west,5,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,-0.3,,,,,,20.0,-8.4,No precipitation,6,,,,
14.03.2020 08:00,-3.6,739.6,757.6,0.0,65,Wind blowing from the west-southwest,5,,8,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-2.6,,,2500 or more  or no clouds.,,,13.0,-9.4,No precipitation,12,,,,
14.03.2020 05:00,-5.8,739.6,757.9,,68,Wind blowing from the west-southwest,3,,7,,Intermittent fall of snowflakes  slight at time of observation. ,,,,-2.6,,,,,,22.0,-10.9,No precipitation,6,,,,
14.03.2020 02:00,-4.6,741.2,759.4,,62,Wind blowing from the west-southwest,2,,11,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-2.6,,,2500 or more  or no clouds.,,,30.0,-10.8,No precipitation,12,,,,
13.03.2020 20:00,-3.8,744.1,762.6,-1.6,45,Wind blowing from the south-west,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,-3.1,,,2500 or more  or no clouds.,,,13.0,-14.0,No precipitation,12,,,,
13.03.2020 17:00,-4.3,745.7,764.3,,40,Wind blowing from the south-southwest,3,,12,, ,,,-13.9,-3.1,,,,,,5.0,-15.9,No precipitation,6,,,,
13.03.2020 14:00,-4.5,747.1,765.7,,38,Wind blowing from the west-southwest,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,0.3,,,,,,30.0,-16.7,No precipitation,12,,,,
13.03.2020 11:00,-7.1,748.6,767.2,,37,Wind blowing from the west-southwest,7,,11,, ,,,-13.9,1.7,,,,,,21.0,-19.6,No precipitation,6,,,,
13.03.2020 08:00,-10.7,749.6,768.3,0.5,53,Wind blowing from the west-southwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,1.8,,,2500 or more  or no clouds.,,,22.0,-18.6,No precipitation,12,,,,
13.03.2020 05:00,-13.4,749.1,767.8,,58,Wind blowing from the south-west,3,,10,,Snow not falling as shower(s). ,,,-13.4,1.8,,,,,,30.0,-19.9,No precipitation,6,,,,
13.03.2020 02:00,-11.4,748.3,766.7,,57,Wind blowing from the west-southwest,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.5,1.8,,,2500 or more  or no clouds.,,,28.0,-18.4,No precipitation,12,,,,
12.03.2020 20:00,-6.3,744.6,762.8,2.9,36,Wind blowing from the west,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,1.8,,,2500 or more  or no clouds.,,,30.0,-18.9,No precipitation,12,,,,
12.03.2020 17:00,-3.1,741.7,759.9,,29,Wind blowing from the west,5,,16,20–30%., ,,,-8.7,1.8,,,1000-1500,,,27.0,-18.6,No precipitation,6,,,,
12.03.2020 14:00,0.3,739.6,757.6,,52,Wind blowing from the west,5,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,1.8,,,1000-1500,,,30.0,-8.4,No precipitation,12,,,,
12.03.2020 11:00,0.7,740.4,758.5,,44,Wind blowing from the west,5,,12,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.7,1.8,,,,,,29.0,-10.2,No precipitation,6,,,,
12.03.2020 08:00,-2.0,739.7,757.9,0.7,68,Wind blowing from the west-southwest,5,,8,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.8,0.3,,,2500 or more  or no clouds.,,,11.0,-7.1,No precipitation,12,,,,
12.03.2020 05:00,-7.0,739.0,757.1,,83,Wind blowing from the south,0,,5,,Mist. ,,,-9.6,0.3,,,,,,6.0,-9.4,No precipitation,6,,,,
12.03.2020 02:00,-7.6,739.8,757.9,,87,Wind blowing from the west,1,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,0.3,,,2500 or more  or no clouds.,,,3.5,-9.4,No precipitation,12,,,,
11.03.2020 20:00,-7.3,742.3,760.7,0.0,80,Wind blowing from the south-east,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,0.3,,,2500 or more  or no clouds.,,,3.9,-10.2,No precipitation,12,,,,
11.03.2020 17:00,-1.5,742.3,760.5,,57,Wind blowing from the west-southwest,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,0.3,,,,,,13.0,-9.1,No precipitation,6,,,,
11.03.2020 14:00,-1.7,742.0,760.2,-0.7,58,Wind blowing from the west-southwest,6,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,-1.6,,,2500 or more  or no clouds.,,,14.0,-8.9,0.1,12,,,,
11.03.2020 11:00,-4.0,742.7,760.9,,65,Wind blowing from the south-west,4,,7,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,-2.0,,,,,,11.0,-9.6,No precipitation,6,,,,
11.03.2020 08:00,-8.7,742.5,760.9,,84,Wind blowing from the west-southwest,2,,6,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,-2.0,,,2500 or more  or no clouds.,,,9.0,-10.9,0.8,12,,,,
11.03.2020 05:00,-6.9,740.8,759.0,,91,Wind blowing from the south-west,1,,6,,Snow not falling as shower(s). ,,,-8.6,-2.0,,,,,,14.0,-8.1,0.5,6,,,,
11.03.2020 02:00,-5.4,740.8,759.0,,90,Wind blowing from the west-southwest,1,,7,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,-2.0,,,2500 or more  or no clouds.,,,7.0,-6.8,3.0,12,,,,
10.03.2020 20:00,-3.8,740.2,758.5,,91,Wind blowing from the east-northeast,1,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,-1.3,,,2500 or more  or no clouds.,,,12.0,-5.1,3.0,12,,,,
10.03.2020 17:00,-2.8,739.4,757.6,,91,Wind blowing from the north-east,2,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,0.5,,,,,,2.1,-4.1,2.0,6,,,,
10.03.2020 14:00,-2.0,739.1,757.2,,85,Wind blowing from the north-east,2,,9,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,2.4,,,2500 or more  or no clouds.,,,2.2,-4.2,0.2,12,,,,
10.03.2020 11:00,-2.7,740.5,758.5,,66,Wind blowing from the north-northeast,4,,9,90  or more  but not 100%, ,,,-8.6,2.4,,,,,,22.0,-8.2,No precipitation,6,,,,
10.03.2020 08:00,-6.4,742.5,760.6,-1.4,75,Wind blowing from the north-northeast,4,,7,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,2.4,,,2500 or more  or no clouds.,,,14.0,-10.1,No precipitation,12,,,,
10.03.2020 05:00,-8.0,743.9,762.1,,69,Wind blowing from the north,2,,6,,Intermittent fall of snowflakes  slight at time of observation. ,,,-8.1,2.4,,,,,,22.0,-12.7,No precipitation,6,,,,
10.03.2020 02:00,-5.9,746.0,764.2,,63,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,2.4,,,2500 or more  or no clouds.,,,27.0,-11.8,No precipitation,12,,,,
09.03.2020 20:00,-1.3,748.3,766.5,0.2,59,Wind blowing from the north-east,2,,5,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,3.3,,,2500 or more  or no clouds.,,,18.0,-8.3,No precipitation,12,,,,
09.03.2020 17:00,0.5,748.1,766.1,,69,Wind blowing from the east,1,,,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,3.4,,,,,,11.0,-4.5,No precipitation,6,,,,
09.03.2020 14:00,1.9,748.0,766.0,-1.0,49,Wind blowing from the east-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,4.6,,,2500 or more  or no clouds.,,,21.0,-7.7,No precipitation,12,,,,
09.03.2020 11:00,1.7,749.0,766.9,,52,Wind blowing from the north-east,2,,5,100%., ,,,-1.0,4.7,,,1000-1500,,,19.0,-7.3,No precipitation,6,,,,
09.03.2020 08:00,-0.3,748.3,766.3,1.8,74,Wind blowing from the north-west,2,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,4.7,,,2500 or more  or no clouds.,,,6.0,-4.5,0.9,12,,,,
09.03.2020 05:00,0.3,746.5,764.4,,82,Wind blowing from the west-northwest,2,,7,,Intermittent fall of snowflakes  slight at time of observation. ,,,-4.6,4.7,,,,,,6.0,-2.4,0.5,6,,,,
09.03.2020 02:00,1.1,744.7,762.4,,96,Wind blowing from the east-northeast,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,4.7,,,2500 or more  or no clouds.,,,2.6,0.5,0.9,12,,,,
08.03.2020 20:00,2.6,743.8,761.8,0.3,79,Wind blowing from the south-southwest,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,4.7,,,2500 or more  or no clouds.,,,5.0,-0.7,No precipitation,12,,,,
08.03.2020 17:00,3.4,743.5,761.5,,71,Wind blowing from the south-west,2,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,4.7,,,,,,6.0,-1.5,No precipitation,6,,,,
08.03.2020 14:00,4.5,743.8,761.8,-0.9,64,Wind blowing from the south-west,3,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,4.7,,,2500 or more  or no clouds.,,,10.0,-1.9,No precipitation,12,,,,
08.03.2020 11:00,3.8,744.7,762.7,,66,Wind blowing from the south-west,3,,5,100%., ,,,-6.6,3.8,,,1000-1500,,,9.0,-2.0,No precipitation,6,,,,
08.03.2020 08:00,-1.1,744.9,763.0,,95,Wind blowing from the south-east,0,,2,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,2.4,,,1000-1500,,,1.5,-1.8,No precipitation,12,,,,
08.03.2020 05:00,-4.7,745.2,763.3,,94,Wind blowing from the south-east,0,,4,,Mist. ,,,-6.6,2.4,,,,,,2.3,-5.5,No precipitation,6,,,,
08.03.2020 02:00,-6.4,745.7,763.9,,93,Wind blowing from the south-west,0,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,2.4,,,,,,2.1,-7.3,No precipitation,6,,,,
07.03.2020 20:00,-4.2,745.3,763.5,0.6,87,Wind blowing from the east,0,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.3,2.4,,,2500 or more  or no clouds.,,,1.8,-6.0,2.0,12,,,,
07.03.2020 17:00,0.3,744.7,762.8,,67,Wind blowing from the west,2,,10,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,2.4,,,,,,4.5,-5.1,,,,,,
07.03.2020 14:00,2.3,743.9,761.9,-0.5,59,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.1,2.4,,,2500 or more  or no clouds.,,,8.0,-4.9,3.0,12,,,,
07.03.2020 11:00,0.5,744.4,762.4,,93,Wind blowing from the west-southwest,4,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,0.8,,,,,,2.4,-0.5,3.0,6,,,,
07.03.2020 08:00,-3.3,744.3,762.4,0.1,92,Wind blowing from the south-southwest,1,,4,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,1.3,-4.4,1.0,12,,,,
07.03.2020 05:00,-4.0,744.2,762.4,,75,Wind blowing from the east,1,,,,Intermittent fall of snowflakes  slight at time of observation. ,,,,0.5,,,,,,16.0,-7.8,No precipitation,6,,,,
07.03.2020 02:00,-4.0,744.7,762.8,,69,Wind blowing from the north,1,,5,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,0.5,,,2500 or more  or no clouds.,,,18.0,-9.0,No precipitation,12,,,,
06.03.2020 20:00,-3.1,745.8,764.2,0.9,66,Wind blowing from the north-east,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,0.5,,,1000-1500,,,15.0,-8.7,No precipitation,12,,,,
06.03.2020 17:00,-1.6,744.9,763.3,,58,Wind blowing from the north,2,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,0.5,,,,,,11.0,-8.8,No precipitation,6,,,,
06.03.2020 14:00,-0.1,745.6,764.0,-1.5,50,Wind blowing from the north-northeast,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,0.0,,,1000-1500,,,15.0,-9.5,No precipitation,12,,,,
06.03.2020 11:00,-3.8,747.1,765.7,,55,Wind blowing from the north-northeast,2,,3,, ,,,-13.9,-1.6,,,,,,16.0,-11.7,No precipitation,6,,,,
06.03.2020 08:00,-10.9,747.8,766.6,0.5,74,Wind blowing from the north-northwest,1,,3,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.9,,,,2500 or more  or no clouds.,,,6.0,-14.6,No precipitation,12,,,,
06.03.2020 05:00,-12.4,747.3,765.9,,77,Wind blowing from the north-northwest,1,,3,, ,,,-14.9,-1.6,,,,,,22.0,-15.6,No precipitation,6,,,,
06.03.2020 02:00,-12.9,747.4,765.9,,77,Wind blowing from the east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,-1.6,,,2500 or more  or no clouds.,,,17.0,-16.1,No precipitation,12,,,,
05.03.2020 20:00,-9.6,748.2,767.0,0.2,75,Wind blowing from the south-east,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,-1.6,,,2500 or more  or no clouds.,,,5.0,-13.2,No precipitation,12,,,,
05.03.2020 17:00,-3.2,748.0,766.6,,51,Wind blowing from the south-west,2,,9,no clouds, ,,,-14.9,-1.6,,,,,,11.0,-12.1,No precipitation,6,,,,
05.03.2020 14:00,-2.0,748.6,767.2,-1.7,49,Wind blowing from the west-southwest,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,-1.9,,,,,,25.0,-11.5,No precipitation,12,,,,
05.03.2020 11:00,-4.8,750.3,768.9,,69,Wind blowing from the south-southwest,3,,6,, ,,,-14.9,-1.9,,,,,,8.0,-9.6,No precipitation,6,,,,
05.03.2020 08:00,-11.9,751.3,770.1,0.4,89,Wind blowing from the south-west,1,,5,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,-1.9,,,2500 or more  or no clouds.,,,4.3,-13.3,No precipitation,12,,,,
05.03.2020 05:00,-13.5,750.9,769.6,,89,Wind blowing from the south-west,3,,5,,Intermittent fall of snowflakes  slight at time of observation. ,,,-13.8,-1.9,,,,,,6.0,-14.9,No precipitation,6,,,,
05.03.2020 02:00,-13.2,750.8,769.5,,89,Wind blowing from the south-southwest,2,,5,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,-1.9,,,2500 or more  or no clouds.,,,6.0,-14.6,No precipitation,12,,,,
04.03.2020 20:00,-5.2,750.0,768.4,1.2,91,Wind blowing from the south-west,1,,6,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,-1.9,,,2500 or more  or no clouds.,,,3.1,-6.4,0.1,12,,,,
04.03.2020 17:00,-3.6,748.8,767.2,,84,Wind blowing from the north-northeast,1,,6,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,-1.9,,,,,,8.0,-5.9,No precipitation,6,,,,
04.03.2020 14:00,-2.2,748.2,766.5,-0.4,75,Wind blowing from the east-northeast,2,,7,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.6,-1.9,,,2500 or more  or no clouds.,,,13.0,-6.0,1.0,12,,,,
04.03.2020 11:00,-3.8,748.6,766.9,,82,Wind blowing from the east-northeast,3,,7,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-3.2,,,,,,4.2,-6.4,0.2,6,,,,
04.03.2020 08:00,-4.8,748.5,766.9,0.5,89,Wind blowing from the east-northeast,2,,7,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-3.2,,,2500 or more  or no clouds.,,,4.4,-6.3,2.0,12,,,,
04.03.2020 05:00,-5.4,748.0,766.3,,91,Wind blowing from the north-east,3,,7,,Intermittent fall of snowflakes  slight at time of observation. ,,,,-3.2,,,,,,1.7,-6.6,1.0,6,,,,
04.03.2020 02:00,-5.4,748.3,766.6,,90,Wind blowing from the north-east,4,,8,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-3.2,,,2500 or more  or no clouds.,,,3.3,-6.8,0.7,12,,,,
03.03.2020 20:00,-4.2,750.1,768.7,-0.3,71,Wind blowing from the north-east,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.7,-3.2,,,2500 or more  or no clouds.,,,9.0,-8.7,No precipitation,12,,,,
03.03.2020 17:00,-3.6,750.4,769.3,,63,Wind blowing from the north-east,4,,8,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.7,-3.2,,,,,,9.0,-9.8,No precipitation,6,,,,
03.03.2020 14:00,-3.5,751.2,769.9,-2.2,65,Wind blowing from the north-east,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.7,-2.9,,,2500 or more  or no clouds.,,,9.0,-9.3,No precipitation,12,,,,
03.03.2020 11:00,-8.7,753.4,772.3,,90,Wind blowing from the north,2,,4,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.7,-2.9,,,,,,4.4,-10.0,No precipitation,6,,,,
03.03.2020 08:00,-12.8,753.8,772.7,-0.5,91,Wind blowing from the north-east,1,,2,,Intermittent fall of snowflakes  heavy at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.7,-2.9,,,2500 or more  or no clouds.,,,0.4,-14.0,No precipitation,12,,,,
03.03.2020 05:00,-16.6,754.3,773.2,,88,Wind blowing from the south,1,,3,,Fog or ice fog. ,,,-16.7,-2.9,,,,,,1.9,-18.1,No precipitation,6,,,,
03.03.2020 02:00,-14.6,754.3,773.2,,87,Wind blowing from the south-southeast,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-2.9,,,2500 or more  or no clouds.,,,3.1,-16.3,0.4,12,,,,
02.03.2020 20:00,-6.7,753.7,772.5,1.1,80,Wind blowing from the south-west,1,,6,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-2.9,,,2500 or more  or no clouds.,,,5.0,-9.6,0.6,12,,,,
02.03.2020 17:00,-4.3,752.6,771.2,,87,Wind blowing from the south,1,,6,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-2.9,,,,,,2.0,-6.1,0.4,6,,,,
02.03.2020 14:00,-3.2,751.7,770.2,,69,Wind blowing from the west-southwest,3,,5,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-1.5,,,2500 or more  or no clouds.,,,5.0,-8.1,0.3,12,,,,
02.03.2020 11:00,-4.6,752.2,770.7,,77,Wind blowing from the south-southwest,3,,5,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-1.5,,,,,,3.4,-8.0,0.2,6,,,,
