Local time in Weichang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 17:00,9.7,681.8,761.8,,21,Wind blowing from the west-northwest,4,,17,40%., ,,,-11.2,11.1,,,600-1000,,,30.0,-11.6,No precipitation,6,,,,
16.03.2020 14:00,10.6,682.0,761.4,-0.8,18,Wind blowing from the west-northwest,6,,17,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,11.0,,,,,,15.0,-12.7,No precipitation,12,,,,
16.03.2020 11:00,4.8,682.8,762.8,,36,Wind blowing from the south,2,,5,no clouds, ,,,-11.2,5.4,,,,,,24.0,-9.0,No precipitation,6,,,,
16.03.2020 08:00,-8.4,685.2,767.0,,73,Wind blowing from the north-east,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,5.4,,,2500 or more  or no clouds.,,,16.0,-12.4,No precipitation,12,,,,
16.03.2020 05:00,-9.4,685.0,766.3,,74,Wind blowing from the north-east,1,,8,, ,,,-9.4,5.4,,,,,,30.0,-13.2,No precipitation,6,,,,
16.03.2020 02:00,-6.6,686.2,767.0,,61,Wind blowing from the north-east,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,5.4,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
15.03.2020 20:00,-0.8,687.8,768.7,1.3,35,Wind blowing from the north,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,5.4,,,,,,30.0,-14.4,No precipitation,12,,,,
15.03.2020 17:00,3.8,686.5,766.4,,24,Wind blowing from the west,5,,14,no clouds, ,,,-1.5,5.4,,,,,,30.0,-14.9,No precipitation,6,,,,
15.03.2020 14:00,4.7,686.2,766.0,-0.1,24,Wind blowing from the west,5,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.5,4.7,,,,,,30.0,-14.2,No precipitation,12,,,,
15.03.2020 11:00,2.8,686.3,766.2,,20,Wind blowing from the north-northeast,6,,14,no clouds, ,,,-1.5,3.6,,,,,,30.0,-18.0,No precipitation,6,,,,
15.03.2020 08:00,-0.6,685.9,766.3,2.2,33,Wind blowing from the north,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.4,3.6,,,,,,30.0,-14.9,No precipitation,12,,,,
15.03.2020 05:00,0.6,683.7,763.5,,42,Wind blowing from the north,5,,13,, ,,,,3.6,,,,,,30.0,-11.1,No precipitation,6,,,,
15.03.2020 02:00,0.0,682.3,761.9,,62,Wind blowing from the north,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,3.6,,,2500 or more  or no clouds.,,,30.0,-6.6,No precipitation,12,,,,
14.03.2020 20:00,1.8,682.4,762.7,-0.4,44,Wind blowing from the west-northwest,2,,17,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,3.6,,,600-1000,,,30.0,-9.4,No precipitation,12,,,,
14.03.2020 17:00,2.2,682.8,763.3,,42,Wind blowing from the west-northwest,6,,17,90  or more  but not 100%, ,,,-7.7,3.6,,,600-1000,,,30.0,-9.4,No precipitation,6,,,,
14.03.2020 14:00,3.0,682.9,763.5,-0.3,31,Wind blowing from the west,6,,17,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,3.8,,,600-1000,,,22.0,-12.5,No precipitation,12,,,,
14.03.2020 11:00,2.3,683.2,763.6,,31,Wind blowing from the west,8,,17,50%., ,,,-7.7,3.8,,,600-1000,,,11.0,-13.1,No precipitation,6,,,,
14.03.2020 08:00,-3.4,683.8,764.5,-0.1,49,Wind blowing from the west,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,3.8,,,,,,29.0,-12.8,No precipitation,12,,,,
14.03.2020 05:00,-5.0,683.9,764.5,,49,Wind blowing from the east-northeast,0,,12,, ,,,-14.6,3.8,,,,,,30.0,-14.1,No precipitation,6,,,,
14.03.2020 02:00,-5.8,684.6,765.3,,50,Wind blowing from the east,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,3.8,,,2500 or more  or no clouds.,,,30.0,-14.6,No precipitation,12,,,,
13.03.2020 20:00,0.4,686.5,768.9,0.3,31,Wind blowing from the north-west,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,3.8,,,,,,20.0,-14.8,No precipitation,12,,,,
13.03.2020 17:00,2.9,686.2,768.0,,19,Wind blowing from the west,6,,15,no clouds, ,,,-14.6,3.8,,,,,,11.0,-18.5,No precipitation,6,,,,
13.03.2020 14:00,3.2,687.2,768.9,,14,Wind blowing from the west-northwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,3.3,,,,,,20.0,-21.8,No precipitation,12,,,,
13.03.2020 11:00,-0.3,689.7,772.0,,17,Wind blowing from the west-northwest,5,,12,no clouds, ,,,-14.6,2.4,,,,,,23.0,-22.4,No precipitation,6,,,,
13.03.2020 08:00,-12.2,690.8,774.5,,61,Wind blowing from the west,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,2.4,,,,,,24.0,-18.2,No precipitation,12,,,,
13.03.2020 05:00,-11.2,691.0,774.0,,54,Wind blowing from the north,1,,11,, ,,,-11.8,2.4,,,,,,30.0,-18.7,No precipitation,6,,,,
13.03.2020 02:00,-10.1,692.0,774.5,,53,Wind blowing from the north-northeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,2.4,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
12.03.2020 20:00,-4.4,691.0,773.3,,27,Wind blowing from the north,3,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,2.4,,,,,,30.0,-20.6,No precipitation,12,,,,
12.03.2020 17:00,-0.7,688.6,770.2,,15,Wind blowing from the west,5,,14,no clouds, ,,,-4.6,9.5,,,,,,30.0,-24.2,No precipitation,6,,,,
12.03.2020 14:00,1.8,686.7,767.2,0.5,15,Wind blowing from the west,6,,14,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,10.1,,,2500 or more  or no clouds.,,,29.0,-22.1,No precipitation,12,,,,
12.03.2020 11:00,1.4,686.2,766.9,,26,Wind blowing from the west,9,,14,no clouds, ,,,-4.6,10.1,,,,,,27.0,-16.0,No precipitation,6,,,,
12.03.2020 08:00,-3.3,685.3,766.0,2.4,56,Wind blowing from the north-northeast,2,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.5,10.1,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
12.03.2020 05:00,-4.2,682.9,762.1,,60,Wind blowing from the north-northeast,2,,14,, ,,,-13.4,10.1,,,,,,30.0,-10.8,No precipitation,6,,,,
12.03.2020 02:00,-1.6,681.9,760.9,,50,Wind blowing from the north-northeast,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.1,,,2500 or more  or no clouds.,,,29.0,-10.7,No precipitation,12,,,,
11.03.2020 20:00,1.7,679.4,760.6,1.6,40,Wind blowing from the east,0,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,10.1,,,,,,30.0,-10.5,No precipitation,12,,,,
11.03.2020 17:00,9.6,677.8,757.7,,19,Wind blowing from the south-west,2,,12,no clouds, ,,,-13.4,10.1,,,,,,25.0,-12.9,No precipitation,6,,,,
11.03.2020 14:00,8.6,678.3,758.3,-2.7,18,Wind blowing from the south-west,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.4,9.0,,,,,,30.0,-14.4,No precipitation,12,,,,
11.03.2020 11:00,0.2,681.0,762.3,,32,Wind blowing from the south-west,1,,5,no clouds, ,,,-13.4,0.2,,,,,,25.0,-14.6,No precipitation,6,,,,
11.03.2020 08:00,-11.6,682.3,765.2,-0.5,68,Wind blowing from the north,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.4,0.1,,,,,,27.0,-16.3,No precipitation,12,,,,
11.03.2020 05:00,-12.3,682.8,764.9,,71,Wind blowing from the north,2,,9,, ,,,-12.7,0.1,,,,,,30.0,-16.5,No precipitation,6,,,,
11.03.2020 02:00,-11.3,684.1,766.2,,69,Wind blowing from the north-northeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,0.1,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
10.03.2020 20:00,-6.2,684.5,766.9,,47,Wind blowing from the east,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.1,0.1,,,,,,30.0,-15.7,No precipitation,12,,,,
10.03.2020 17:00,-0.5,684.1,766.0,,26,Wind blowing from the west,4,,,no clouds, ,,,,,,,,,,30.0,-17.7,,,,,,
10.03.2020 14:00,-0.6,684.1,765.8,-0.5,26,Wind blowing from the west-northwest,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.1,6.4,,,,,,30.0,-17.7,No precipitation,12,,,,
10.03.2020 11:00,-2.5,684.6,765.9,,30,Wind blowing from the west,4,,12,no clouds, ,,,-10.1,6.4,,,,,,30.0,-17.7,No precipitation,6,,,,
10.03.2020 08:00,-7.3,685.0,766.6,1.3,44,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.1,6.4,,,,,,30.0,-17.7,No precipitation,12,,,,
10.03.2020 05:00,-9.8,683.7,764.9,,79,Wind blowing from the north-northeast,1,,12,, ,,,-10.1,6.4,,,,,,30.0,-12.8,No precipitation,6,,,,
10.03.2020 02:00,-8.6,684.6,765.4,,76,Wind blowing from the east-northeast,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.6,6.4,,,2500 or more  or no clouds.,,,30.0,-12.1,No precipitation,12,,,,
09.03.2020 20:00,-0.7,685.9,766.6,1.3,44,Wind blowing from the north-west,2,,12,no clouds,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,6.4,,,,,,30.0,-11.7,Trace of precipitation,12,,,,
09.03.2020 17:00,3.4,684.6,764.5,,37,Wind blowing from the west,3,,10,60%., ,,,-0.9,6.4,,,600-1000,,,30.0,-9.9,No precipitation,6,,,,
09.03.2020 14:00,5.5,684.4,763.8,-1.8,36,Wind blowing from the south-west,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.9,5.6,,,600-1000,,,30.0,-8.7,No precipitation,12,,,,
09.03.2020 11:00,2.9,686.2,766.1,,39,Wind blowing from the north-northeast,1,,7,20–30%., ,,,-0.9,5.3,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,6,,,,
09.03.2020 08:00,-0.7,686.1,766.3,0.8,46,Wind blowing from the north-east,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.9,5.3,,,2500 or more  or no clouds.,,,30.0,-10.9,Trace of precipitation,12,,,,
09.03.2020 05:00,-0.3,685.3,765.0,,67,Wind blowing from the north-northeast,1,,5,, ,,,-6.6,5.3,,,,,,30.0,-5.7,No precipitation,6,,,,
09.03.2020 02:00,0.7,685.0,764.5,,81,Wind blowing from the east-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,5.3,,,2500 or more  or no clouds.,,,19.0,-2.3,No precipitation,12,,,,
08.03.2020 20:00,2.1,683.1,763.3,1.6,78,Wind blowing from the north-east,1,,6,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,5.3,,,600-1000,,,3.2,-1.3,No precipitation,12,,,,
08.03.2020 17:00,4.6,681.5,761.8,,65,Wind blowing from the south,1,,6,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,7.6,,,600-1000,,,4.0,-1.4,No precipitation,6,,,,
08.03.2020 14:00,5.1,680.9,760.9,-1.7,61,Wind blowing from the south,2,,6,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,8.6,,,600-1000,,,4.4,-1.8,No precipitation,12,,,,
08.03.2020 11:00,2.4,682.6,762.7,,66,Wind blowing from the west,1,,3,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,8.6,,,600-1000,,,4.3,-3.3,No precipitation,6,,,,
08.03.2020 08:00,-2.9,682.6,763.0,,73,Wind blowing from the north,0,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,8.6,,,600-1000,,,14.0,-7.1,No precipitation,12,,,,
08.03.2020 05:00,-6.7,682.3,762.1,,85,Wind blowing from the north-northeast,1,,5,, ,,,-8.2,8.6,,,,,,14.0,-8.8,No precipitation,6,,,,
08.03.2020 02:00,-5.6,682.4,762.3,,78,Wind blowing from the north-east,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,8.6,,,2500 or more  or no clouds.,,,23.0,-8.8,No precipitation,12,,,,
07.03.2020 20:00,0.6,681.9,763.0,0.3,53,Wind blowing from the east-southeast,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,8.6,,,,,,30.0,-7.9,No precipitation,12,,,,
07.03.2020 17:00,7.6,681.6,761.3,,32,Wind blowing from the south-west,2,,6,no clouds, ,,,-8.2,8.6,,,,,,30.0,-8.0,No precipitation,6,,,,
07.03.2020 14:00,6.7,682.6,762.0,-2.0,39,Wind blowing from the south-southwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,6.7,,,,,,28.0,-6.3,No precipitation,12,,,,
07.03.2020 11:00,0.1,684.6,764.9,,69,Wind blowing from the south,2,,6,no clouds, ,,,-8.2,4.9,,,,,,13.0,-4.9,No precipitation,6,,,,
07.03.2020 08:00,-7.9,684.8,766.6,1.0,88,Wind blowing from the north-northeast,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,4.9,,,2500 or more  or no clouds.,,,10.0,-9.5,No precipitation,12,,,,
07.03.2020 05:00,-6.1,683.8,764.9,,89,Wind blowing from the north-east,2,,4,, ,,,-11.0,4.9,,,,,,10.0,-7.6,No precipitation,6,,,,
07.03.2020 02:00,-2.0,683.1,762.9,,93,Wind blowing from the north-northeast,1,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,4.9,,,2500 or more  or no clouds.,,,4.1,-3.0,2.0,12,,,,
06.03.2020 20:00,-1.2,682.0,763.6,0.8,96,Wind blowing from the east,1,,10,100%.,Mist. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,4.9,,,2500 or more  or no clouds.,,,1.2,-1.8,2.0,12,,,,
06.03.2020 17:00,0.3,681.2,762.5,,94,Wind blowing from the north,1,,10,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Rain and snow or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,4.9,,,2500 or more  or no clouds.,,,0.5,-0.6,0.8,6,,,,
06.03.2020 14:00,4.4,680.3,760.6,-1.2,40,Wind blowing from the south-west,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,4.9,,,600-1000,,,11.0,-8.3,No precipitation,12,,,,
06.03.2020 11:00,0.8,681.5,762.1,,42,Wind blowing from the south-west,2,,5,70 – 80%., ,,,-11.0,4.9,,,2500 or more  or no clouds.,,,12.0,-10.7,No precipitation,6,,,,
06.03.2020 08:00,-9.4,682.9,764.7,,74,Wind blowing from the north,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.4,4.9,,,2500 or more  or no clouds.,,,9.0,-13.3,No precipitation,12,,,,
06.03.2020 05:00,-9.0,682.1,763.0,,72,Wind blowing from the north-northeast,1,,6,, ,,,-18.0,4.9,,,,,,14.0,-13.1,No precipitation,6,,,,
06.03.2020 02:00,-7.8,683.2,764.1,,68,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,4.9,,,2500 or more  or no clouds.,,,14.0,-12.7,No precipitation,12,,,,
05.03.2020 20:00,-1.5,683.3,766.3,0.9,45,Wind blowing from the south-southeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.0,4.9,,,,,,23.0,-11.9,No precipitation,12,,,,
05.03.2020 17:00,3.1,682.4,764.8,,30,Wind blowing from the south,4,,8,no clouds, ,,,-18.0,4.9,,,,,,26.0,-12.8,No precipitation,6,,,,
05.03.2020 14:00,3.0,683.3,765.4,-3.2,28,Wind blowing from the south-southwest,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.0,3.3,,,,,,28.0,-13.7,No precipitation,12,,,,
05.03.2020 11:00,-4.7,686.5,769.9,,42,Wind blowing from the south-southwest,2,,6,no clouds, ,,,-18.0,-2.6,,,,,,25.0,-15.9,No precipitation,6,,,,
05.03.2020 08:00,-16.4,688.3,773.2,-0.7,71,Wind blowing from the north,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.0,-2.6,,,,,,16.0,-20.4,No precipitation,12,,,,
05.03.2020 05:00,-17.5,689.0,773.3,,77,Wind blowing from the north-northeast,1,,6,, ,,,-17.5,-2.6,,,,,,28.0,-20.6,No precipitation,6,,,,
05.03.2020 02:00,-15.2,690.2,774.1,,74,Wind blowing from the north-northeast,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.2,-2.6,,,2500 or more  or no clouds.,,,27.0,-18.9,No precipitation,12,,,,
04.03.2020 20:00,-9.0,691.2,775.6,0.4,54,Wind blowing from the north-east,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.7,-2.6,,,,,,30.0,-16.8,No precipitation,12,,,,
04.03.2020 17:00,-4.0,690.8,774.5,,31,Wind blowing from the west-northwest,4,,10,no clouds, ,,,-13.7,-2.6,,,,,,30.0,-18.6,No precipitation,6,,,,
04.03.2020 14:00,-3.3,691.1,774.8,-1.0,27,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.7,-3.1,,,,,,30.0,-19.6,No precipitation,12,,,,
04.03.2020 11:00,-5.6,692.1,776.2,,32,Wind blowing from the west-northwest,2,,7,no clouds, ,,,-13.7,-3.1,,,,,,30.0,-19.7,No precipitation,6,,,,
04.03.2020 08:00,-11.7,692.5,777.1,1.1,52,Wind blowing from the north,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.7,-3.1,,,,,,30.0,-19.6,No precipitation,12,,,,
04.03.2020 05:00,-12.6,691.4,775.4,,54,Wind blowing from the north,3,,11,, ,,,-13.5,-3.1,,,,,,30.0,-20.0,No precipitation,6,,,,
04.03.2020 02:00,-12.8,691.3,775.0,,58,Wind blowing from the west-northwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,-3.1,,,2500 or more  or no clouds.,,,30.0,-19.5,No precipitation,12,,,,
03.03.2020 20:00,-9.0,691.0,774.7,1.8,43,Wind blowing from the north-west,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,-2.5,,,,,,30.0,-19.3,No precipitation,12,,,,
03.03.2020 17:00,-5.4,689.2,772.6,,36,Wind blowing from the west,5,,14,no clouds, ,,,-11.6,1.3,,,,,,29.0,-18.1,No precipitation,6,,,,
03.03.2020 14:00,-3.3,687.7,769.9,0.8,40,Wind blowing from the west,5,,14,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,2.1,,,600-1000,,,27.0,-15.0,No precipitation,12,,,,
03.03.2020 11:00,-4.9,686.9,768.8,,44,Wind blowing from the west,4,,14,20–30%., ,,,-11.6,2.1,,,600-1000,,,25.0,-15.3,No precipitation,6,,,,
03.03.2020 08:00,-7.9,685.9,768.0,1.2,81,Wind blowing from the west-northwest,2,,6,40%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.8,2.1,,,600-1000,,,13.0,-10.6,1.0,12,,,,
03.03.2020 05:00,-10.4,684.7,766.4,,86,Wind blowing from the north-northeast,1,,9,, ,,,-15.1,2.1,,,,,,11.0,-12.3,0.2,6,,,,
03.03.2020 02:00,-7.0,685.0,766.2,,90,Wind blowing from the east,2,,10,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.1,2.1,,,2500 or more  or no clouds.,,,3.8,-8.4,1.0,12,,,,
02.03.2020 20:00,-2.4,685.8,769.0,2.2,78,Wind blowing from the south,2,,11,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.1,2.1,,,2500 or more  or no clouds.,,,2.6,-5.7,0.1,12,,,,
02.03.2020 17:00,1.3,683.6,765.7,,34,Wind blowing from the south-southeast,6,,11,70 – 80%., ,,,-15.1,2.1,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,6,,,,
02.03.2020 14:00,1.8,684.6,766.3,-3.2,31,Wind blowing from the south-southeast,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.1,2.0,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
02.03.2020 11:00,-4.0,687.8,770.8,,46,Wind blowing from the west,1,,7,no clouds, ,,,-15.1,-2.2,,,,,,21.0,-13.9,No precipitation,6,,,,
02.03.2020 08:00,-14.9,690.1,774.4,,76,Wind blowing from the north,0,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.1,-2.2,,,,,,20.0,-18.2,No precipitation,12,,,,
02.03.2020 05:00,-13.6,690.0,773.6,,75,Wind blowing from the north-northeast,2,,8,, ,,,-13.6,-2.2,,,,,,30.0,-17.2,No precipitation,6,,,,
02.03.2020 02:00,-10.6,690.4,773.5,,68,Wind blowing from the north-northeast,4,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,-2.2,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
01.03.2020 20:00,-6.1,689.5,772.7,1.2,51,Wind blowing from the north,1,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,-2.2,,,,,,28.0,-14.6,No precipitation,12,,,,
01.03.2020 17:00,-3.0,688.3,770.6,,35,Wind blowing from the west,5,,,20–30%., ,,,-10.2,-2.0,,,600-1000,,,30.0,-16.3,No precipitation,6,,,,
