Local time in Qionghai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 23:00,22.2,760.9,763.0,,96,Wind blowing from the east-northeast,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,,,20.8,23.3,,,,,,3.4,21.5,0.2,6,,,,
15.03.2020 20:00,22.6,760.0,762.2,0.9,92,Wind blowing from the east-northeast,1,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,23.3,,,300-600,,,6.0,21.2,0.1,12,,,,
15.03.2020 17:00,23.3,759.1,761.2,,86,Wind blowing from the east,3,,9,90  or more  but not 100%, ,,,20.8,23.3,,,300-600,,,17.0,20.8,No precipitation,6,,,,
15.03.2020 14:00,22.8,760.1,762.3,-2.5,90,Wind blowing from the east,2,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,22.8,,,300-600,,,8.0,21.1,12.0,12,,,,
15.03.2020 11:00,22.4,762.6,764.8,,92,Wind blowing from the north-east,3,,9,100%., ,,,20.8,,,,300-600,,,8.0,21.0,0.2,6,,,,
15.03.2020 08:00,20.8,761.8,763.9,1.8,93,Wind blowing from the east-northeast,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,,,,300-600,,,2.9,19.6,15.0,12,,,,
15.03.2020 05:00,21.7,760.0,762.2,,96,Wind blowing from the north-east,3,,7,,Rain (not freezing) not falling as shower(s). ,,,21.0,,,,,,,9.0,21.0,14.0,6,,,,
15.03.2020 02:00,22.1,760.5,762.7,-0.9,96,Wind blowing from the north-east,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,,,,2500 or more  or no clouds.,,,3.7,21.4,4.0,12,,,,
14.03.2020 23:00,21.5,761.4,763.6,,96,Wind blowing from the north,2,,9,,Mist. ,,,21.0,26.5,,,,,,3.9,20.8,1.0,6,,,,
14.03.2020 20:00,21.0,760.1,762.3,1.1,96,Wind blowing from the north-northeast,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,26.5,,,300-600,,,1.5,20.3,4.0,12,,,,
14.03.2020 17:00,21.6,759.0,761.2,,95,Wind blowing from the north-east,3,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,28.6,,,300-600,,,2.2,20.8,3.0,6,,,,
14.03.2020 14:00,22.4,759.3,761.5,-1.5,94,Wind blowing from the east-northeast,5,,9,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.4,30.8,,,300-600,,,6.0,21.4,3.0,12,,,,
14.03.2020 11:00,26.3,760.8,762.9,,81,Wind blowing from the east,1,,3,90  or more  but not 100%, ,,,23.0,31.1,,,300-600,,,18.0,22.8,No precipitation,6,,,,
14.03.2020 08:00,23.5,759.9,762.0,2.2,93,Wind blowing from the east-northeast,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,600-1000,,,9.0,22.3,No precipitation,12,,,,
14.03.2020 05:00,23.0,757.7,759.8,,93,Calm  no wind,0,,,, ,,,23.0,31.1,,,,,,10.0,21.8,No precipitation,6,,,,
14.03.2020 02:00,24.1,757.9,760.0,,90,Wind blowing from the south,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,31.1,,,2500 or more  or no clouds.,,,16.0,22.4,No precipitation,12,,,,
13.03.2020 23:00,25.1,758.8,760.9,,86,Wind blowing from the south-southwest,2,,11,, ,,,23.8,31.1,,,,,,23.0,22.6,No precipitation,6,,,,
13.03.2020 20:00,26.0,757.3,759.4,,83,Wind blowing from the south,3,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,31.1,,,600-1000,,,25.0,22.9,No precipitation,12,,,,
13.03.2020 17:00,28.6,756.1,758.2,,72,Wind blowing from the south,4,,11,10%  or less  but not 0, ,,,23.8,31.1,,,600-1000,,,27.0,23.1,No precipitation,6,,,,
13.03.2020 14:00,30.7,757.0,759.1,,66,Wind blowing from the south-southeast,4,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,31.1,,,600-1000,,,28.0,23.6,No precipitation,12,,,,
13.03.2020 11:00,30.4,758.8,760.9,,65,Wind blowing from the south,3,,,40%., ,,,23.8,30.4,,,600-1000,,,29.0,23.1,No precipitation,6,,,,
13.03.2020 08:00,24.7,758.3,760.4,,86,Wind blowing from the south,3,,,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.8,,,,600-1000,,,26.0,22.2,No precipitation,12,,,,
13.03.2020 05:00,24.0,757.0,759.1,,88,Wind blowing from the south,3,,12,, ,,,23.7,29.5,,,,,,29.0,21.9,No precipitation,6,,,,
13.03.2020 02:00,24.5,757.4,759.5,-0.5,86,Wind blowing from the south,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.7,29.5,,,2500 or more  or no clouds.,,,30.0,22.0,No precipitation,12,,,,
12.03.2020 23:00,24.9,757.9,760.0,,87,Wind blowing from the south,4,,12,, ,,,23.7,29.5,,,,,,29.0,22.6,No precipitation,6,,,,
12.03.2020 20:00,25.4,756.9,759.0,1.1,84,Wind blowing from the south,4,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.7,29.5,,,600-1000,,,30.0,22.5,No precipitation,12,,,,
12.03.2020 17:00,28.1,755.8,757.9,,74,Wind blowing from the south,5,,12,50%., ,,,23.7,29.5,,,600-1000,,,24.0,23.0,No precipitation,6,,,,
12.03.2020 14:00,28.9,757.0,759.1,-2.1,72,Wind blowing from the south-southeast,4,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.7,29.3,,,600-1000,,,27.0,23.3,No precipitation,12,,,,
12.03.2020 11:00,27.8,759.1,761.2,,77,Wind blowing from the south,4,,,70 – 80%., ,,,22.9,28.0,,,600-1000,,,26.0,23.4,No precipitation,6,,,,
12.03.2020 08:00,24.2,758.8,760.9,1.4,93,Wind blowing from the south,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,24.5,,,600-1000,,,15.0,23.0,No precipitation,12,,,,
12.03.2020 05:00,23.9,757.4,759.5,,94,Wind blowing from the south,2,,6,, ,,,,24.5,,,,,,13.0,22.9,No precipitation,6,,,,
12.03.2020 02:00,24.4,758.5,760.6,-0.7,93,Wind blowing from the south-southeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,24.5,,,2500 or more  or no clouds.,,,11.0,23.2,0.3,12,,,,
11.03.2020 23:00,24.3,759.2,761.3,,94,Wind blowing from the south-east,2,,,, ,,,21.6,24.4,,,,,,8.0,23.3,No precipitation,6,,,,
11.03.2020 20:00,23.9,757.9,760.1,0.3,94,Wind blowing from the east-southeast,2,,7,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,24.3,,,300-600,,,6.0,22.9,0.9,12,,,,
11.03.2020 17:00,24.3,757.6,759.7,,91,Wind blowing from the east-southeast,3,,7,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,24.3,,,300-600,,,8.0,22.7,0.9,6,,,,
11.03.2020 14:00,24.0,758.8,760.9,-1.9,90,Wind blowing from the east,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,24.6,,,600-1000,,,13.0,22.3,0.6,12,,,,
11.03.2020 11:00,23.0,760.7,762.9,,90,Wind blowing from the east-northeast,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,,,,300-600,,,10.0,21.3,No precipitation,6,,,,
11.03.2020 08:00,21.7,760.2,762.4,,92,Wind blowing from the north-east,2,,4,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,,,,300-600,,,7.0,20.3,No precipitation,6,,,,
11.03.2020 05:00,22.1,758.8,760.9,,84,Wind blowing from the north-northeast,1,,8,, ,,,21.8,,,,,,,16.0,19.3,No precipitation,6,,,,
11.03.2020 02:00,22.0,759.3,761.5,-0.7,80,Wind blowing from the north,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.8,27.9,,,2500 or more  or no clouds.,,,17.0,18.4,No precipitation,12,,,,
10.03.2020 23:00,22.1,760.0,762.1,,80,Wind blowing from the west-northwest,1,,10,, ,,,21.8,27.9,,,,,,17.0,18.5,No precipitation,6,,,,
10.03.2020 20:00,21.9,758.5,760.6,1.4,77,Wind blowing from the north-northeast,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.8,27.9,,,600-1000,,,15.0,17.7,No precipitation,12,,,,
10.03.2020 17:00,22.7,757.1,759.2,,76,Wind blowing from the east-northeast,4,,10,90  or more  but not 100%, ,,,22.4,,,,600-1000,,,16.0,18.3,No precipitation,6,,,,
10.03.2020 14:00,24.6,757.2,759.3,-0.9,75,Wind blowing from the east-northeast,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.4,,,,600-1000,,,18.0,19.9,No precipitation,12,,,,
10.03.2020 11:00,25.4,758.1,760.2,,84,Wind blowing from the north,3,,8,90  or more  but not 100%, ,,,22.4,,,,600-1000,,,15.0,22.5,No precipitation,6,,,,
10.03.2020 08:00,23.5,756.2,758.3,2.2,94,Wind blowing from the north-northwest,2,,3,50%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.4,32.3,,,600-1000,,,6.0,22.5,No precipitation,12,,,,
10.03.2020 05:00,22.8,754.0,756.1,,96,Calm  no wind,0,,,,Mist. ,,,22.6,32.3,,,,,,2.2,22.1,No precipitation,6,,,,
10.03.2020 02:00,23.4,753.8,755.9,,95,Wind blowing from the south-southwest,1,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,32.3,,,2500 or more  or no clouds.,,,5.0,22.6,No precipitation,12,,,,
09.03.2020 20:00,26.6,752.2,754.3,2.3,81,Wind blowing from the south,1,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,32.3,,,600-1000,,,16.0,23.1,No precipitation,12,,,,
09.03.2020 17:00,30.6,749.9,752.0,,66,Wind blowing from the south,5,,11,20–30%., ,,,22.5,32.3,,,600-1000,,,21.0,23.5,No precipitation,6,,,,
09.03.2020 14:00,31.8,751.3,753.4,-2.4,59,Wind blowing from the south,5,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,32.1,,,600-1000,,,23.0,22.8,No precipitation,12,,,,
09.03.2020 11:00,29.9,753.7,755.8,,63,Wind blowing from the south,5,,10,20–30%., ,,,22.5,30.5,,,600-1000,,,23.0,22.1,No precipitation,6,,,,
09.03.2020 08:00,24.4,753.4,755.5,1.3,85,Wind blowing from the south,3,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,,,,600-1000,,,18.0,21.7,No precipitation,12,,,,
09.03.2020 05:00,22.6,752.1,754.2,,89,Wind blowing from the south,2,,12,, ,,,22.2,30.5,,,,,,20.0,20.7,No precipitation,6,,,,
09.03.2020 02:00,23.6,752.6,754.7,-0.5,86,Wind blowing from the south,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,30.5,,,2500 or more  or no clouds.,,,21.0,21.1,No precipitation,12,,,,
08.03.2020 23:00,24.0,753.1,755.2,,87,Wind blowing from the south,3,,12,, ,,,22.2,30.5,,,,,,21.0,21.7,No precipitation,6,,,,
08.03.2020 20:00,25.4,751.7,753.8,0.5,78,Wind blowing from the south,7,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,30.5,,,600-1000,,,26.0,21.3,No precipitation,12,,,,
08.03.2020 17:00,29.1,751.2,753.3,,66,Wind blowing from the south,6,,12,10%  or less  but not 0, ,,,22.2,30.5,,,600-1000,,,27.0,22.1,No precipitation,6,,,,
08.03.2020 14:00,29.8,752.8,754.9,-3.3,63,Wind blowing from the south,6,,12,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,30.1,,,600-1000,,,29.0,22.0,No precipitation,12,,,,
08.03.2020 11:00,28.2,756.1,758.2,,67,Wind blowing from the south,5,,,20–30%., ,,,22.2,29.2,,,600-1000,,,29.0,21.5,No precipitation,6,,,,
08.03.2020 08:00,22.9,755.5,757.6,,92,Wind blowing from the south,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,,,,600-1000,,,16.0,21.5,No precipitation,12,,,,
08.03.2020 05:00,22.8,754.6,756.7,,93,Wind blowing from the south,2,,8,, ,,,22.5,29.2,,,,,,17.0,21.6,No precipitation,6,,,,
08.03.2020 02:00,22.8,755.7,757.8,-1.1,95,Wind blowing from the south,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,29.2,,,2500 or more  or no clouds.,,,11.0,22.0,No precipitation,12,,,,
07.03.2020 23:00,23.4,756.8,758.9,,90,Wind blowing from the south-southeast,1,,9,, ,,,22.5,29.2,,,,,,24.0,21.7,No precipitation,6,,,,
07.03.2020 20:00,24.3,755.2,757.3,0.5,85,Wind blowing from the south,2,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,29.2,,,600-1000,,,29.0,21.6,No precipitation,12,,,,
07.03.2020 17:00,27.1,754.7,756.8,,74,Wind blowing from the south-southeast,3,,9,40%., ,,,22.5,29.2,,,600-1000,,,27.0,22.1,No precipitation,6,,,,
07.03.2020 14:00,28.8,756.1,758.2,-2.8,70,Wind blowing from the south-east,3,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,29.1,,,600-1000,,,26.0,22.8,No precipitation,12,,,,
07.03.2020 11:00,27.5,758.9,761.0,,72,Wind blowing from the south,3,,6,90  or more  but not 100%, ,,,22.5,27.5,,,600-1000,,,29.0,22.0,No precipitation,6,,,,
07.03.2020 08:00,22.9,759.0,761.2,1.7,96,Wind blowing from the south-southwest,1,,5,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,,,,600-1000,,,8.0,22.2,Trace of precipitation,12,,,,
07.03.2020 05:00,22.8,757.3,759.4,,95,Wind blowing from the south-southeast,1,,5,, ,,,21.8,25.3,,,,,,10.0,22.0,No precipitation,6,,,,
07.03.2020 02:00,23.2,757.4,759.5,-1.7,94,Wind blowing from the south-southeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,25.3,,,2500 or more  or no clouds.,,,15.0,22.2,No precipitation,12,,,,
06.03.2020 23:00,23.5,759.1,761.2,,92,Wind blowing from the south,2,,,, ,,,21.5,25.3,,,,,,20.0,22.1,No precipitation,6,,,,
06.03.2020 20:00,23.5,758.3,760.4,0.6,90,Wind blowing from the south-southeast,1,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,25.3,,,600-1000,,,21.0,21.8,1.0,12,,,,
06.03.2020 17:00,25.2,757.7,759.8,,81,Wind blowing from the south-east,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,25.2,,,600-1000,,,25.0,21.7,1.0,6,,,,
06.03.2020 14:00,23.4,758.9,761.1,-1.9,93,Wind blowing from the south-east,3,,9,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,24.2,,,300-600,,,4.5,22.2,3.0,12,,,,
06.03.2020 11:00,23.7,760.8,763.0,,88,Wind blowing from the south-east,4,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,24.2,,,300-600,,,12.0,21.6,0.3,6,,,,
06.03.2020 08:00,22.9,759.9,762.1,1.0,89,Wind blowing from the east-southeast,3,,7,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,23.2,,,600-1000,,,17.0,21.0,3.0,12,,,,
06.03.2020 05:00,21.8,758.9,761.1,,95,Wind blowing from the east-southeast,2,,7,,Rain (not freezing) not falling as shower(s). ,,,,23.2,,,,,,13.0,21.0,2.0,6,,,,
06.03.2020 02:00,22.0,759.7,761.9,-0.7,94,Wind blowing from the east,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.2,,,2500 or more  or no clouds.,,,6.0,21.0,7.0,12,,,,
05.03.2020 23:00,22.3,760.4,762.6,,90,Wind blowing from the east-southeast,4,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,20.0,23.2,,,,,,8.0,20.6,5.0,6,,,,
05.03.2020 20:00,21.6,759.4,761.5,0.8,96,Wind blowing from the east-northeast,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,24.0,,,300-600,,,4.5,20.9,8.0,12,,,,
05.03.2020 17:00,21.6,758.6,760.8,,95,Wind blowing from the east-northeast,4,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,25.7,,,300-600,,,2.9,20.8,2.0,6,,,,
05.03.2020 14:00,22.3,759.9,762.1,-1.4,90,Wind blowing from the north-east,3,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,27.5,,,300-600,,,7.0,20.6,1.0,12,,,,
05.03.2020 11:00,23.1,761.3,763.5,,86,Wind blowing from the east-northeast,6,,10,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,,,,300-600,,,17.0,20.6,0.9,6,,,,
05.03.2020 08:00,20.3,761.2,763.3,1.2,94,Wind blowing from the north-northeast,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,27.6,,,50-100,,,6.0,19.3,0.2,12,,,,
05.03.2020 05:00,20.3,760.0,762.2,,89,Wind blowing from the north-northeast,2,,9,,Rain  not freezing  intermittent  slight at time of observation. ,,,20.3,27.6,,,,,,11.0,18.4,No precipitation,6,,,,
05.03.2020 02:00,20.6,760.3,762.4,-1.0,86,Wind blowing from the east-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,27.6,,,2500 or more  or no clouds.,,,25.0,18.2,No precipitation,12,,,,
04.03.2020 23:00,21.0,761.3,763.5,,85,Wind blowing from the north-east,5,,9,, ,,,20.7,27.6,,,,,,22.0,18.4,No precipitation,6,,,,
04.03.2020 20:00,24.0,759.5,761.7,1.2,83,Wind blowing from the east-northeast,3,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,27.6,,,600-1000,,,18.0,20.9,No precipitation,12,,,,
04.03.2020 17:00,25.7,758.3,760.4,,71,Wind blowing from the east,2,,8,90  or more  but not 100%, ,,,20.7,27.6,,,600-1000,,,26.0,20.0,No precipitation,6,,,,
04.03.2020 14:00,27.2,759.0,761.1,,64,Wind blowing from the south-east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,27.7,,,600-1000,,,24.0,19.8,No precipitation,12,,,,
04.03.2020 11:00,26.2,760.4,762.5,,71,Wind blowing from the south-east,4,,8,90  or more  but not 100%, ,,,20.7,27.8,,,600-1000,,,23.0,20.5,No precipitation,6,,,,
04.03.2020 08:00,21.1,760.0,762.1,1.6,96,Wind blowing from the west-southwest,1,,3,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,,,,600-1000,,,7.0,20.4,No precipitation,12,,,,
04.03.2020 05:00,21.0,758.4,760.5,,95,Wind blowing from the east-northeast,0,,6,, ,,,21.0,27.8,,,,,,8.0,20.2,No precipitation,6,,,,
04.03.2020 02:00,21.5,759.0,761.1,-0.7,94,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,27.8,,,2500 or more  or no clouds.,,,14.0,20.5,No precipitation,12,,,,
03.03.2020 23:00,22.4,759.7,761.8,,91,Wind blowing from the south-east,1,,8,, ,,,21.6,27.8,,,,,,15.0,20.9,No precipitation,6,,,,
03.03.2020 20:00,23.2,758.8,761.0,0.9,87,Wind blowing from the east-southeast,2,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,27.8,,,600-1000,,,16.0,20.9,No precipitation,12,,,,
03.03.2020 17:00,25.8,757.9,760.0,,70,Wind blowing from the east,4,,8,70 – 80%., ,,,21.6,27.8,,,600-1000,,,28.0,19.9,No precipitation,6,,,,
03.03.2020 14:00,27.4,759.1,761.2,-2.1,64,Wind blowing from the east-southeast,3,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,27.8,,,600-1000,,,25.0,20.0,0.1,12,,,,
03.03.2020 11:00,25.1,761.2,763.4,,77,Wind blowing from the east-southeast,5,,8,90  or more  but not 100%, ,,,21.6,27.3,,,600-1000,,,19.0,20.8,0.1,6,,,,
03.03.2020 08:00,23.0,760.6,762.7,1.7,90,Wind blowing from the south-east,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,,,,600-1000,,,17.0,21.3,0.1,12,,,,
03.03.2020 05:00,21.7,758.9,761.0,,92,Wind blowing from the south-southeast,1,,7,, ,,,20.1,27.3,,,,,,21.0,20.3,No precipitation,6,,,,
03.03.2020 02:00,22.6,759.4,761.5,-0.6,87,Wind blowing from the east-southeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,27.3,,,2500 or more  or no clouds.,,,27.0,20.3,No precipitation,12,,,,
02.03.2020 23:00,23.2,760.0,762.1,,86,Wind blowing from the east-southeast,3,,8,, ,,,20.1,27.3,,,,,,25.0,20.7,No precipitation,6,,,,
02.03.2020 20:00,23.5,759.1,761.3,1.1,84,Wind blowing from the east-southeast,3,,8,40%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,27.3,,,600-1000,,,28.0,20.6,Trace of precipitation,12,,,,
02.03.2020 17:00,25.3,758.0,760.2,,76,Wind blowing from the east-southeast,5,,8,70 – 80%., ,,,20.1,27.3,,,600-1000,,,30.0,20.8,No precipitation,6,,,,
02.03.2020 14:00,26.2,758.6,760.7,-1.9,72,Wind blowing from the east,4,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,27.9,,,600-1000,,,30.0,20.8,No precipitation,12,,,,
02.03.2020 11:00,25.9,760.5,762.6,,76,Wind blowing from the south-east,3,,6,70 – 80%., ,,,20.1,28.1,,,600-1000,,,30.0,21.3,No precipitation,6,,,,
02.03.2020 08:00,20.5,759.7,761.9,1.5,97,Wind blowing from the north,0,,2,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,,,,600-1000,,,10.0,20.0,No precipitation,12,,,,
02.03.2020 05:00,20.4,758.2,760.3,,96,Wind blowing from the south-east,1,,6,, ,,,20.4,28.1,,,,,,8.0,19.7,No precipitation,6,,,,
02.03.2020 02:00,21.2,758.5,760.6,-0.3,96,Wind blowing from the west-southwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,28.1,,,2500 or more  or no clouds.,,,11.0,20.5,No precipitation,12,,,,
