Local time in Haikou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
18.03.2020 14:00,27.0,754.0,759.7,-2.4,67,Wind blowing from the east-southeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,27.0,,,300-600,,,24.0,20.4,No precipitation,12,,,,
18.03.2020 11:00,25.0,756.4,762.0,,78,Wind blowing from the south-east,3,,8,90  or more  but not 100%, ,,,21.9,26.9,,,300-600,,,19.0,20.9,No precipitation,6,,,,
18.03.2020 08:00,22.4,755.8,761.4,1.2,91,Wind blowing from the east,1,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,26.9,,,300-600,,,14.0,20.9,No precipitation,12,,,,
18.03.2020 05:00,22.1,754.6,760.2,,91,Wind blowing from the east,3,,8,, ,,,21.9,26.9,,,,,,15.0,20.6,No precipitation,6,,,,
18.03.2020 02:00,22.3,755.4,761.0,-1.3,89,Wind blowing from the east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,26.9,,,2500 or more  or no clouds.,,,16.0,20.4,No precipitation,12,,,,
17.03.2020 23:00,23.1,756.7,762.4,,84,Wind blowing from the east,3,,9,, ,,,21.9,26.9,,,,,,18.0,20.2,No precipitation,6,,,,
17.03.2020 20:00,24.5,756.1,761.7,1.4,76,Wind blowing from the east-southeast,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,26.9,,,300-600,,,20.0,20.0,No precipitation,12,,,,
17.03.2020 17:00,26.1,754.7,760.3,,66,Wind blowing from the south-east,4,,9,90  or more  but not 100%, ,,,21.9,26.9,,,300-600,,,23.0,19.3,No precipitation,6,,,,
17.03.2020 14:00,26.2,755.8,761.5,-2.0,67,Wind blowing from the south-east,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,26.3,,,300-600,,,22.0,19.6,No precipitation,12,,,,
17.03.2020 11:00,25.3,757.8,763.4,,73,Wind blowing from the south-east,5,,9,90  or more  but not 100%, ,,,21.9,26.2,,,300-600,,,20.0,20.1,No precipitation,6,,,,
17.03.2020 08:00,22.6,757.6,763.3,1.7,88,Wind blowing from the south-east,4,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,26.2,,,2500 or more  or no clouds.,,,16.0,20.5,No precipitation,12,,,,
17.03.2020 05:00,22.2,755.9,761.5,,91,Wind blowing from the east-southeast,4,,11,, ,,,21.8,26.2,,,,,,14.0,20.7,No precipitation,6,,,,
17.03.2020 02:00,22.4,756.7,762.4,-0.7,92,Wind blowing from the east-southeast,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,26.2,,,2500 or more  or no clouds.,,,12.0,21.0,No precipitation,12,,,,
16.03.2020 23:00,23.2,757.4,763.0,,89,Wind blowing from the east-southeast,6,,11,, ,,,21.6,26.2,,,,,,14.0,21.3,No precipitation,6,,,,
16.03.2020 20:00,24.3,756.9,762.6,1.4,83,Wind blowing from the east-southeast,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.2,26.2,,,300-600,,,12.0,21.2,No precipitation,12,,,,
16.03.2020 17:00,25.2,755.5,761.2,,76,Wind blowing from the east-southeast,4,,9,90  or more  but not 100%, ,,,21.2,26.2,,,300-600,,,16.0,20.7,No precipitation,6,,,,
16.03.2020 14:00,25.5,756.2,761.8,-1.7,76,Wind blowing from the south-east,6,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.2,26.2,,,300-600,,,17.0,21.0,No precipitation,12,,,,
16.03.2020 11:00,25.0,757.9,763.6,,77,Wind blowing from the east-southeast,5,,9,90  or more  but not 100%, ,,,21.2,25.0,,,300-600,,,16.0,20.7,No precipitation,6,,,,
16.03.2020 08:00,22.4,757.3,763.0,,90,Wind blowing from the east-southeast,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.2,23.4,,,300-600,,,10.0,20.7,Trace of precipitation,12,,,,
16.03.2020 05:00,21.8,755.6,761.3,,91,Wind blowing from the east,4,,7,, ,,,21.2,23.4,,,,,,11.0,20.3,No precipitation,6,,,,
16.03.2020 02:00,21.6,756.1,761.8,,92,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.2,23.4,,,2500 or more  or no clouds.,,,10.0,20.2,0.1,12,,,,
15.03.2020 23:00,21.7,757.5,763.2,,91,Wind blowing from the east,3,,10,, ,,,20.8,23.4,,,,,,10.0,20.2,0.1,6,,,,
15.03.2020 20:00,21.2,756.7,762.4,1.2,96,Wind blowing from the east,3,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,23.4,,,300-600,,,3.5,20.5,0.1,12,,,,
15.03.2020 17:00,22.6,755.5,761.2,,84,Wind blowing from the east,3,,10,100%., ,,,20.8,23.4,,,300-600,,,10.0,19.8,No precipitation,6,,,,
15.03.2020 14:00,23.1,756.5,762.2,-2.5,80,Wind blowing from the east,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,23.4,,,300-600,,,14.0,19.5,No precipitation,12,,,,
15.03.2020 11:00,23.2,759.0,764.7,,76,Wind blowing from the east,5,,10,90  or more  but not 100%, ,,,20.8,23.4,,,300-600,,,14.0,18.7,No precipitation,6,,,,
15.03.2020 08:00,21.7,758.3,764.0,1.3,83,Wind blowing from the east,5,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,,,,300-600,,,13.0,18.7,2.0,12,,,,
15.03.2020 05:00,21.7,757.0,762.7,,83,Wind blowing from the east-northeast,4,,11,, ,,,20.8,,,,,,,18.0,18.7,0.8,6,,,,
15.03.2020 02:00,21.2,757.5,763.2,-0.7,87,Wind blowing from the east,3,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,,,,2500 or more  or no clouds.,,,21.0,19.0,2.0,12,,,,
14.03.2020 23:00,20.9,758.2,763.9,,94,Wind blowing from the east-northeast,3,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,20.8,,,,,,,3.2,19.9,0.8,6,,,,
14.03.2020 20:00,21.2,756.9,762.6,1.0,81,Wind blowing from the east,4,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,27.2,,,300-600,,,17.0,17.8,No precipitation,12,,,,
14.03.2020 17:00,21.0,755.9,761.6,,84,Wind blowing from the east-northeast,4,,12,90  or more  but not 100%, ,,,20.9,,,,300-600,,,17.0,18.2,No precipitation,6,,,,
14.03.2020 14:00,21.2,756.2,761.9,-1.9,89,Wind blowing from the east-northeast,4,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,29.4,,,300-600,,,13.0,19.3,No precipitation,12,,,,
14.03.2020 11:00,21.5,758.1,763.8,,83,Wind blowing from the east-northeast,6,,12,90  or more  but not 100%, ,,,21.5,31.8,,,300-600,,,17.0,18.5,No precipitation,6,,,,
14.03.2020 08:00,23.6,756.5,762.1,2.0,95,Wind blowing from the east-northeast,1,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.1,31.8,,,300-600,,,5.0,22.8,No precipitation,12,,,,
14.03.2020 05:00,23.2,754.5,760.1,,94,Wind blowing from the north,1,,6,, ,,,23.0,31.8,,,,,,8.0,22.2,No precipitation,6,,,,
14.03.2020 02:00,24.8,754.2,759.7,-0.8,90,Wind blowing from the east-southeast,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,31.8,,,2500 or more  or no clouds.,,,22.0,23.0,No precipitation,12,,,,
13.03.2020 23:00,25.8,755.0,760.6,,85,Wind blowing from the east-southeast,3,,8,, ,,,23.0,31.8,,,,,,26.0,23.1,No precipitation,6,,,,
13.03.2020 20:00,27.3,753.8,759.4,1.6,80,Wind blowing from the east-southeast,2,,8,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,31.8,,,300-600,,,27.0,23.5,No precipitation,12,,,,
13.03.2020 17:00,28.2,752.2,757.8,,73,Wind blowing from the north-east,2,,8,50%., ,,,23.0,31.8,,,300-600,,,30.0,22.9,No precipitation,6,,,,
13.03.2020 14:00,28.9,753.1,758.7,,70,Wind blowing from the north-east,3,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,32.0,,,300-600,,,30.0,22.9,No precipitation,12,,,,
13.03.2020 11:00,29.9,755.2,760.7,,57,Wind blowing from the south-southeast,2,,7,50%., ,,,23.0,32.0,,,300-600,,,30.0,20.5,No precipitation,6,,,,
13.03.2020 08:00,24.3,754.6,760.2,1.6,81,Wind blowing from the east-southeast,1,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,300-600,,,30.0,20.8,No precipitation,12,,,,
13.03.2020 05:00,23.8,753.0,758.5,,83,Wind blowing from the south,2,,7,, ,,,23.3,32.0,,,,,,30.0,20.7,No precipitation,6,,,,
13.03.2020 02:00,24.4,753.1,758.7,-0.6,83,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.3,32.0,,,2500 or more  or no clouds.,,,30.0,21.3,No precipitation,12,,,,
12.03.2020 23:00,25.3,753.7,759.2,,83,Wind blowing from the south-southeast,3,,,, ,,,23.3,32.0,,,,,,30.0,22.2,No precipitation,6,,,,
12.03.2020 20:00,26.8,752.5,758.2,0.9,79,Wind blowing from the south-southeast,2,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.3,32.0,,,300-600,,,30.0,22.9,No precipitation,12,,,,
12.03.2020 17:00,29.7,751.6,757.1,,69,Wind blowing from the south-southeast,4,,,90  or more  but not 100%, ,,,23.3,32.0,,,300-600,,,30.0,23.4,No precipitation,6,,,,
12.03.2020 14:00,31.3,752.8,758.4,-2.4,58,Wind blowing from the south-east,4,,8,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.5,31.4,,,300-600,,,30.0,22.0,No precipitation,12,,,,
12.03.2020 11:00,28.3,755.2,760.9,,68,Wind blowing from the south,3,,10,70 – 80%., ,,,22.5,28.4,,,300-600,,,30.0,21.8,No precipitation,6,,,,
12.03.2020 08:00,24.0,754.6,760.3,1.2,90,Wind blowing from the south-east,4,,10,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,24.5,,,300-600,,,22.0,22.3,No precipitation,12,,,,
12.03.2020 05:00,23.3,753.4,759.1,,95,Wind blowing from the south-east,4,,10,, ,,,,24.5,,,,,,15.0,22.5,No precipitation,6,,,,
12.03.2020 02:00,23.8,754.3,759.9,-0.9,94,Wind blowing from the south-east,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,24.5,,,2500 or more  or no clouds.,,,13.0,22.8,No precipitation,12,,,,
11.03.2020 23:00,23.9,755.2,760.9,,92,Wind blowing from the south-east,4,,8,, ,,,21.5,24.5,,,,,,13.0,22.5,No precipitation,6,,,,
11.03.2020 20:00,24.3,754.4,760.0,0.6,87,Wind blowing from the east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,24.5,,,2500 or more  or no clouds.,,,15.0,22.0,No precipitation,12,,,,
11.03.2020 17:00,24.4,753.8,759.4,,83,Wind blowing from the east,4,,10,90  or more  but not 100%, ,,,21.5,24.4,,,300-600,,,12.0,21.3,No precipitation,6,,,,
11.03.2020 14:00,22.9,755.1,760.8,-2.2,87,Wind blowing from the east-northeast,3,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,24.0,,,300-600,,,12.0,20.6,No precipitation,12,,,,
11.03.2020 11:00,23.2,757.3,763.0,,82,Wind blowing from the east,3,,10,90  or more  but not 100%, ,,,21.5,23.2,,,300-600,,,15.0,20.0,No precipitation,6,,,,
11.03.2020 08:00,21.6,756.9,762.6,1.6,80,Wind blowing from the east,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.5,23.2,,,300-600,,,18.0,18.0,No precipitation,12,,,,
11.03.2020 05:00,22.0,755.3,761.0,,72,Wind blowing from the east,5,,11,, ,,,21.8,,,,,,,22.0,16.7,No precipitation,6,,,,
11.03.2020 02:00,22.2,755.9,761.6,-0.6,73,Wind blowing from the east,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.8,,,,2500 or more  or no clouds.,,,19.0,17.1,No precipitation,12,,,,
10.03.2020 23:00,22.2,756.5,762.2,,74,Wind blowing from the east,2,,13,, ,,,21.8,,,,,,,24.0,17.3,No precipitation,6,,,,
10.03.2020 20:00,22.6,754.7,760.4,,67,Wind blowing from the east,4,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,300-600,,,27.0,16.2,No precipitation,12,,,,
10.03.2020 17:00,22.3,753.8,759.4,,66,Wind blowing from the east-northeast,5,,14,90  or more  but not 100%, ,,,21.8,,,,300-600,,,30.0,15.6,No precipitation,6,,,,
10.03.2020 14:00,22.4,754.6,760.3,,70,Wind blowing from the east-northeast,6,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.8,,,,300-600,,,30.0,16.7,No precipitation,12,,,,
10.03.2020 11:00,22.6,755.3,760.9,,83,Wind blowing from the east-northeast,7,,14,90  or more  but not 100%, ,,,21.8,,,,300-600,,,17.0,19.6,No precipitation,6,,,,
10.03.2020 08:00,22.4,753.3,758.9,2.6,97,Wind blowing from the north-east,3,,8,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.1,,,,300-600,,,2.0,21.9,No precipitation,12,,,,
10.03.2020 05:00,23.5,750.7,756.3,,89,Wind blowing from the east,2,,,, ,,,23.2,,,,,,,8.0,21.6,No precipitation,6,,,,
10.03.2020 02:00,23.9,750.5,756.1,,87,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.2,34.9,,,2500 or more  or no clouds.,,,12.0,21.6,No precipitation,12,,,,
09.03.2020 20:00,26.9,748.9,754.5,,69,Wind blowing from the south,2,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.2,34.9,,,300-600,,,11.0,20.7,No precipitation,12,,,,
09.03.2020 14:00,32.0,747.4,752.8,-2.0,53,Wind blowing from the north,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.2,34.9,,,300-600,,,25.0,21.2,No precipitation,12,,,,
09.03.2020 11:00,30.4,749.4,754.9,,57,Wind blowing from the south,4,,8,50%., ,,,23.2,33.4,,,300-600,,,24.0,20.9,No precipitation,6,,,,
09.03.2020 08:00,24.6,748.8,754.3,1.3,75,Wind blowing from the south-southeast,3,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.8,33.4,,,300-600,,,28.0,19.9,No precipitation,12,,,,
09.03.2020 05:00,23.2,747.5,753.1,,82,Wind blowing from the south-southeast,3,,7,, ,,,22.2,33.4,,,,,,29.0,20.0,No precipitation,6,,,,
09.03.2020 02:00,23.6,748.3,753.7,-0.5,85,Wind blowing from the south-southeast,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,33.4,,,2500 or more  or no clouds.,,,25.0,20.9,No precipitation,12,,,,
08.03.2020 23:00,25.4,748.8,754.3,,80,Wind blowing from the south-east,3,,6,, ,,,22.2,33.4,,,,,,27.0,21.7,No precipitation,6,,,,
08.03.2020 20:00,28.1,747.6,753.1,0.5,73,Wind blowing from the south-east,4,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,33.4,,,300-600,,,29.0,22.8,No precipitation,12,,,,
08.03.2020 17:00,31.2,747.1,752.7,,56,Wind blowing from the north-east,2,,9,40%., ,,,22.2,33.4,,,300-600,,,30.0,21.4,No precipitation,6,,,,
08.03.2020 14:00,33.1,748.6,754.2,-3.1,47,Wind blowing from the south-southeast,2,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,33.2,,,300-600,,,30.0,20.3,No precipitation,12,,,,
08.03.2020 11:00,29.1,751.7,757.3,,62,Wind blowing from the south-southeast,2,,9,20–30%., ,,,22.2,31.3,,,300-600,,,30.0,21.1,No precipitation,6,,,,
08.03.2020 08:00,22.8,751.3,757.0,0.9,91,Wind blowing from the south-southeast,3,,9,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,,,,300-600,,,25.0,21.3,No precipitation,12,,,,
08.03.2020 05:00,22.5,750.4,755.9,,93,Wind blowing from the south-east,4,,8,, ,,,21.6,31.3,,,,,,22.0,21.3,No precipitation,6,,,,
08.03.2020 02:00,22.7,751.3,756.8,-1.3,93,Wind blowing from the south-southeast,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,31.3,,,2500 or more  or no clouds.,,,26.0,21.5,No precipitation,12,,,,
07.03.2020 23:00,23.6,752.6,758.2,,89,Wind blowing from the south-east,5,,8,, ,,,21.6,31.3,,,,,,28.0,21.7,No precipitation,6,,,,
07.03.2020 20:00,24.8,751.7,757.3,1.3,83,Wind blowing from the south-southeast,1,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,31.3,,,300-600,,,27.0,21.7,No precipitation,12,,,,
07.03.2020 17:00,28.2,750.4,755.9,,69,Wind blowing from the north-northeast,3,,7,40%., ,,,21.6,31.3,,,300-600,,,30.0,22.0,No precipitation,6,,,,
07.03.2020 14:00,31.0,752.0,757.6,-3.1,54,Wind blowing from the south-southeast,3,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,31.0,,,300-600,,,30.0,20.6,No precipitation,12,,,,
07.03.2020 11:00,27.6,755.1,760.7,,66,Wind blowing from the south-southeast,3,,7,50%., ,,,21.6,27.7,,,300-600,,,30.0,20.7,No precipitation,6,,,,
07.03.2020 08:00,22.6,755.1,760.7,1.5,95,Wind blowing from the east-southeast,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,26.4,,,300-600,,,18.0,21.8,Trace of precipitation,12,,,,
07.03.2020 05:00,22.5,753.6,759.2,,94,Wind blowing from the south-east,2,,,, ,,,20.9,26.4,,,,,,26.0,21.5,No precipitation,6,,,,
07.03.2020 02:00,22.9,754.0,759.6,-0.9,93,Wind blowing from the south-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,26.4,,,2500 or more  or no clouds.,,,25.0,21.7,No precipitation,12,,,,
06.03.2020 23:00,23.0,754.9,760.5,,91,Wind blowing from the south-east,3,,9,,Rain (not freezing) not falling as shower(s). ,,,20.6,26.4,,,,,,26.0,21.5,No precipitation,6,,,,
06.03.2020 20:00,24.1,754.3,759.9,0.6,82,Wind blowing from the south-east,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,26.4,,,300-600,,,30.0,20.8,2.0,12,,,,
06.03.2020 17:00,25.9,753.7,759.3,,72,Wind blowing from the south-southeast,4,,9,90  or more  but not 100%, ,,,19.7,26.4,,,300-600,,,30.0,20.5,No precipitation,6,,,,
06.03.2020 14:00,25.5,754.9,760.6,-2.1,74,Wind blowing from the south-southeast,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.7,25.9,,,300-600,,,30.0,20.5,5.0,12,,,,
06.03.2020 11:00,23.0,757.0,762.7,,92,Wind blowing from the south-east,3,,,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,23.0,,,300-600,,,13.0,21.6,3.0,6,,,,
06.03.2020 08:00,21.1,756.5,762.2,1.3,96,Wind blowing from the east-northeast,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,21.1,,,300-600,,,4.9,20.4,5.0,12,,,,
06.03.2020 05:00,20.8,755.2,760.9,,96,Wind blowing from the east,3,,7,,Rain (not freezing) not falling as shower(s). ,,,19.2,20.8,,,,,,10.0,20.1,4.0,6,,,,
06.03.2020 02:00,20.7,756.4,762.1,-0.9,97,Wind blowing from the east,3,,9,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,20.7,,,2500 or more  or no clouds.,,,7.0,20.2,3.0,12,,,,
05.03.2020 23:00,20.6,757.3,763.0,,97,Wind blowing from the east,3,,10,,Rain (not freezing) not falling as shower(s). ,,,18.9,20.6,,,,,,3.6,20.1,1.0,6,,,,
05.03.2020 20:00,20.2,756.2,761.9,0.5,97,Wind blowing from the east,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,20.3,,,300-600,,,4.6,19.7,0.6,12,,,,
05.03.2020 17:00,19.8,755.7,761.4,,94,Wind blowing from the east-northeast,3,,10,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.4,,,300-600,,,4.5,18.8,0.1,6,,,,
05.03.2020 14:00,19.7,756.6,762.3,-2.2,93,Wind blowing from the east-northeast,4,,10,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,,,,300-600,,,5.0,18.5,No precipitation,12,,,,
05.03.2020 11:00,19.4,758.8,764.6,,93,Wind blowing from the east-northeast,4,,11,90  or more  but not 100%, ,,,18.5,,,,300-600,,,10.0,18.2,No precipitation,6,,,,
05.03.2020 08:00,20.0,758.0,763.8,1.1,90,Wind blowing from the east-northeast,4,,13,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,,,,300-600,,,24.0,18.3,2.0,12,,,,
05.03.2020 05:00,19.8,756.9,762.6,,88,Wind blowing from the east-northeast,4,,13,, ,,,18.5,,,,,,,27.0,17.8,0.1,6,,,,
05.03.2020 02:00,19.5,757.1,762.8,-1.4,88,Wind blowing from the east-northeast,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,,,,2500 or more  or no clouds.,,,30.0,17.5,7.0,12,,,,
04.03.2020 23:00,19.4,758.5,764.2,,86,Wind blowing from the east-northeast,6,,13,, ,,,18.5,26.8,,,,,,26.0,17.0,7.0,6,,,,
04.03.2020 20:00,18.8,757.1,762.8,1.3,96,Wind blowing from the north-east,3,,13,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.5,26.8,,,300-600,,,5.0,18.1,5.0,12,,,,
04.03.2020 17:00,20.4,755.8,761.5,,94,Wind blowing from the east-northeast,5,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,27.4,,,300-600,,,10.0,19.4,0.2,6,,,,
04.03.2020 14:00,22.0,755.8,761.5,-1.1,92,Wind blowing from the north-northeast,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,28.6,,,300-600,,,11.0,20.6,No precipitation,12,,,,
04.03.2020 11:00,25.7,756.9,762.5,,72,Wind blowing from the south-east,4,,8,90  or more  but not 100%, ,,,22.0,28.6,,,300-600,,,27.0,20.3,No precipitation,6,,,,
