Local time in Sanya (weather station),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 14:00,23.3,725.9,762.0,-1.7,89,Wind blowing from the east,6,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,23.5,,,300-600,,,17.0,21.4,No precipitation,12,,,,
17.03.2020 11:00,22.7,727.6,763.9,,88,Wind blowing from the east,6,,11,70 – 80%., ,,,20.5,23.0,,,300-600,,,15.0,20.6,No precipitation,6,,,,
17.03.2020 08:00,20.6,727.1,763.4,1.3,100,Wind blowing from the east,7,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,,,,100-200,,,15.0,20.6,No precipitation,12,,,,
17.03.2020 05:00,20.5,725.8,761.9,,100,Wind blowing from the east,6,,11,,Mist. ,,,20.5,22.9,,,,,,2.0,20.5,No precipitation,6,,,,
17.03.2020 02:00,20.6,726.3,762.5,,100,Wind blowing from the east-northeast,5,,11,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,22.9,,,2500 or more  or no clouds.,,,2.0,20.6,No precipitation,12,,,,
16.03.2020 23:00,21.2,727.3,763.5,,100,Wind blowing from the east,6,,11,,Mist. ,,,20.8,22.9,,,,,,1.0,21.2,No precipitation,6,,,,
16.03.2020 20:00,21.3,726.5,762.7,,100,Wind blowing from the east,6,,13,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,22.9,,,2500 or more  or no clouds.,,,7.0,21.3,0.1,12,,,,
16.03.2020 17:00,22.1,725.5,761.7,,96,Wind blowing from the east,5,,13,70 – 80%., ,,,20.6,22.9,,,300-600,,,10.0,21.4,No precipitation,6,,,,
16.03.2020 14:00,22.0,726.4,762.6,-1.0,98,Wind blowing from the east,5,,13,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,22.3,,,300-600,,,10.0,21.7,2.0,12,,,,
16.03.2020 11:00,21.5,727.4,763.7,,100,Wind blowing from the east,7,,13,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,21.6,,,,,,2.2,21.5,1.0,6,,,,
16.03.2020 08:00,21.5,726.7,762.9,,100,Wind blowing from the east,7,,12,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,21.5,,,2500 or more  or no clouds.,,,less than 0.1,21.5,2.0,12,,,,
16.03.2020 05:00,21.3,725.0,761.2,,100,Wind blowing from the east,6,,12,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,20.5,21.7,,,,,,less than 0.1,21.3,0.7,6,,,,
16.03.2020 02:00,20.9,725.6,761.8,,100,Wind blowing from the east,5,,12,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,,,,2500 or more  or no clouds.,,,less than 0.1,20.9,0.9,12,,,,
15.03.2020 23:00,20.9,726.5,762.8,,100,Wind blowing from the east-northeast,5,,13,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,20.5,,,,,,,less than 0.1,20.9,0.6,6,,,,
15.03.2020 20:00,20.7,725.8,762.0,1.2,100,Wind blowing from the east-northeast,6,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,,,,200-300,,,20.0,20.7,0.3,12,,,,
15.03.2020 17:00,20.7,724.6,760.8,,100,Wind blowing from the east-northeast,6,,15,70 – 80%., ,,,20.5,,,,200-300,,,25.0,20.7,No precipitation,6,,,,
15.03.2020 14:00,20.7,725.6,761.8,,100,Wind blowing from the east-northeast,6,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,,,,2500 or more  or no clouds.,,,25.0,20.7,0.3,12,,,,
15.03.2020 11:00,20.9,727.9,764.2,,100,Wind blowing from the east-northeast,7,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,,,,,,,25.0,20.9,0.3,6,,,,
15.03.2020 08:00,21.0,726.8,763.0,1.3,100,Wind blowing from the north-east,9,,14,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.8,,,,2500 or more  or no clouds.,,,9.0,21.0,No precipitation,12,,,,
15.03.2020 05:00,20.8,725.5,761.6,,100,Wind blowing from the east-northeast,4,,9,, ,,,20.8,,,,,,,9.0,20.8,No precipitation,6,,,,
15.03.2020 02:00,21.1,726.2,762.3,,100,Wind blowing from the east-northeast,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,26.1,,,2500 or more  or no clouds.,,,8.0,21.1,No precipitation,12,,,,
14.03.2020 23:00,21.5,726.9,762.9,,100,Wind blowing from the east-northeast,5,,9,, ,,,21.3,26.1,,,,,,10.0,21.5,No precipitation,6,,,,
14.03.2020 20:00,22.2,725.7,761.7,1.0,100,Wind blowing from the east,5,,8,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,26.1,,,2500 or more  or no clouds.,,,0.2,22.2,No precipitation,12,,,,
14.03.2020 17:00,22.5,724.7,760.8,,100,Wind blowing from the east,3,,8,70 – 80%., ,,,21.3,26.1,,,300-600,,,30.0,22.5,No precipitation,6,,,,
14.03.2020 14:00,23.6,725.4,761.4,-1.7,98,Wind blowing from the east-southeast,5,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,26.1,,,300-600,,,17.0,23.3,No precipitation,12,,,,
14.03.2020 11:00,24.9,727.1,763.0,,77,Wind blowing from the east,2,,4,60%., ,,,21.3,26.1,,,300-600,,,30.0,20.6,No precipitation,6,,,,
14.03.2020 08:00,22.8,726.1,762.1,2.1,94,Wind blowing from the east,3,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,,,,200-300,,,29.0,21.8,No precipitation,12,,,,
14.03.2020 05:00,21.5,724.0,760.0,,100,Wind blowing from the north-northeast,3,,6,, ,,,21.5,26.1,,,,,,7.0,21.5,No precipitation,6,,,,
14.03.2020 02:00,21.9,724.6,760.4,,100,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,26.1,,,2500 or more  or no clouds.,,,11.0,21.9,No precipitation,12,,,,
13.03.2020 23:00,22.3,725.6,761.5,,100,Wind blowing from the east,2,,7,,Mist. ,,,21.9,26.1,,,,,,6.0,22.3,No precipitation,6,,,,
13.03.2020 20:00,22.4,724.5,760.5,0.8,100,Wind blowing from the south-southeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,26.1,,,2500 or more  or no clouds.,,,20.0,22.4,No precipitation,12,,,,
13.03.2020 17:00,23.8,723.7,759.6,,95,Wind blowing from the south-southeast,3,,7,70 – 80%., ,,,21.9,26.1,,,300-600,,,23.0,23.0,No precipitation,6,,,,
13.03.2020 14:00,25.3,724.8,760.6,,89,Wind blowing from the south-east,4,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.9,26.1,,,300-600,,,30.0,23.4,No precipitation,12,,,,
13.03.2020 11:00,24.8,726.5,762.4,,92,Wind blowing from the south-southeast,3,,,60%., ,,,21.9,25.8,,,300-600,,,30.0,23.4,No precipitation,6,,,,
13.03.2020 08:00,22.3,725.6,761.6,1.2,100,Wind blowing from the east-southeast,3,,8,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,,,,2500 or more  or no clouds.,,,0.1,22.3,No precipitation,12,,,,
13.03.2020 05:00,22.1,724.4,760.3,,100,Wind blowing from the south-southeast,3,,,, ,,,21.6,25.8,,,,,,13.0,22.1,No precipitation,6,,,,
13.03.2020 02:00,22.3,724.8,760.6,-0.7,100,Wind blowing from the south-east,3,,8,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,25.8,,,2500 or more  or no clouds.,,,0.8,22.3,No precipitation,12,,,,
12.03.2020 23:00,22.6,725.5,761.5,,100,Wind blowing from the south-southeast,3,,,,Mist. ,,,21.6,25.8,,,,,,2.6,22.6,No precipitation,6,,,,
12.03.2020 20:00,22.5,724.5,760.5,,100,Wind blowing from the south-southeast,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,25.8,,,2500 or more  or no clouds.,,,20.0,22.5,No precipitation,12,,,,
12.03.2020 17:00,24.2,723.7,759.6,,92,Wind blowing from the south,3,,7,, ,,,21.6,25.8,,,,,,30.0,22.8,No precipitation,6,,,,
12.03.2020 14:00,24.4,724.7,760.6,,94,Wind blowing from the south-southeast,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,24.8,,,2500 or more  or no clouds.,,,18.0,23.4,No precipitation,12,,,,
12.03.2020 11:00,23.2,726.3,762.3,,100,Wind blowing from the south-east,5,,9,60%., ,,,21.6,25.1,,,300-600,,,30.0,23.2,No precipitation,6,,,,
12.03.2020 08:00,21.8,725.6,761.7,1.3,100,Wind blowing from the east-southeast,4,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.1,,,,2500 or more  or no clouds.,,,15.0,21.8,No precipitation,12,,,,
12.03.2020 05:00,21.8,724.3,760.3,,100,Wind blowing from the east-southeast,5,,10,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,20.3,,,,,,,less than 0.1,21.8,No precipitation,6,,,,
12.03.2020 02:00,22.1,725.0,760.9,-0.8,100,Wind blowing from the south-east,4,,11,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,25.2,,,2500 or more  or no clouds.,,,less than 0.1,22.1,No precipitation,12,,,,
11.03.2020 23:00,22.2,725.8,761.6,,100,Wind blowing from the east-southeast,4,,12,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,20.0,25.2,,,,,,less than 0.1,22.2,No precipitation,6,,,,
11.03.2020 20:00,22.1,724.3,760.4,0.3,100,Wind blowing from the east,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,25.2,,,2500 or more  or no clouds.,,,12.0,22.1,No precipitation,12,,,,
11.03.2020 17:00,22.8,724.0,760.0,,100,Wind blowing from the east,6,,15,90  or more  but not 100%, ,,,20.0,25.2,,,,,,20.0,22.8,No precipitation,6,,,,
11.03.2020 14:00,24.2,724.6,760.6,-2.1,92,Wind blowing from the east,8,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,25.4,,,2500 or more  or no clouds.,,,17.0,22.8,No precipitation,12,,,,
11.03.2020 11:00,25.2,726.7,762.7,,81,Wind blowing from the east,5,,15,90  or more  but not 100%, ,,,20.0,26.7,,,,,,30.0,21.7,No precipitation,6,,,,
11.03.2020 08:00,21.5,725.7,761.9,,97,Wind blowing from the north-east,6,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,,,,2500 or more  or no clouds.,,,23.0,21.0,No precipitation,12,,,,
11.03.2020 05:00,20.6,724.0,760.0,,99,Wind blowing from the east-northeast,8,,18,, ,,,20.0,,,,,,,21.0,20.4,No precipitation,6,,,,
11.03.2020 02:00,20.6,724.5,760.4,-0.5,99,Wind blowing from the east-northeast,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,26.7,,,2500 or more  or no clouds.,,,14.0,20.4,No precipitation,12,,,,
10.03.2020 23:00,20.2,725.0,760.9,,100,Wind blowing from the north-east,5,,18,,Mist. ,,,20.2,26.7,,,,,,4.4,20.2,No precipitation,6,,,,
10.03.2020 20:00,20.4,723.0,759.0,,100,Wind blowing from the east-northeast,11,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,26.7,,,2500 or more  or no clouds.,,,20.0,20.4,No precipitation,12,,,,
10.03.2020 17:00,22.3,722.0,757.9,,100,Wind blowing from the east-northeast,8,,13,90  or more  but not 100%, ,,,21.7,26.7,,,,,,20.0,22.3,No precipitation,6,,,,
10.03.2020 14:00,25.4,722.7,758.4,,87,Wind blowing from the east,8,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,26.7,,,2500 or more  or no clouds.,,,14.0,23.1,No precipitation,12,,,,
10.03.2020 11:00,26.3,723.7,759.4,,80,Wind blowing from the east,6,,8,70 – 80%., ,,,21.7,26.5,,,300-600,,,17.0,22.6,No precipitation,6,,,,
10.03.2020 08:00,22.9,722.2,758.1,1.7,96,Wind blowing from the east-northeast,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.7,,,,300-600,,,13.0,22.2,No precipitation,12,,,,
10.03.2020 05:00,21.9,720.5,756.1,,100,Wind blowing from the east-southeast,2,,7,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,21.6,26.5,,,,,,0.2,21.9,No precipitation,6,,,,
10.03.2020 02:00,22.3,720.8,756.4,,100,Wind blowing from the south,3,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,26.5,,,2500 or more  or no clouds.,,,2.0,22.3,No precipitation,12,,,,
09.03.2020 20:00,22.4,719.8,755.5,1.0,100,Wind blowing from the south-east,2,,9,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,26.5,,,200-300,,,20.0,22.4,No precipitation,12,,,,
09.03.2020 17:00,25.0,718.8,754.3,,91,Wind blowing from the south,2,,,70 – 80%., ,,,21.3,26.5,,,300-600,,,15.0,23.4,No precipitation,6,,,,
09.03.2020 14:00,25.3,719.9,755.5,-1.8,87,Wind blowing from the south-southwest,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.3,26.3,,,2500 or more  or no clouds.,,,17.0,23.0,No precipitation,12,,,,
09.03.2020 11:00,24.9,721.7,757.4,,92,Wind blowing from the south,2,,,70 – 80%., ,,,21.3,25.8,,,300-600,,,17.0,23.5,No precipitation,6,,,,
09.03.2020 08:00,22.6,720.7,756.5,1.2,98,Wind blowing from the south,5,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.7,,,,300-600,,,15.0,22.3,No precipitation,12,,,,
09.03.2020 05:00,21.6,719.5,755.2,,100,Wind blowing from the south,4,,,,Mist. ,,,20.3,25.8,,,,,,1.2,21.6,No precipitation,6,,,,
09.03.2020 02:00,21.7,720.0,755.6,,100,Wind blowing from the south-west,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,25.8,,,2500 or more  or no clouds.,,,8.0,21.7,No precipitation,12,,,,
08.03.2020 23:00,21.7,720.8,756.6,,100,Wind blowing from the south,4,,,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,20.3,25.8,,,,,,0.5,21.7,No precipitation,6,,,,
08.03.2020 20:00,21.7,719.8,755.8,0.2,100,Wind blowing from the south-southeast,6,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,25.8,,,2500 or more  or no clouds.,,,20.0,21.7,No precipitation,12,,,,
08.03.2020 17:00,23.9,719.6,755.4,,89,Wind blowing from the south,3,,,60%., ,,,20.3,25.8,,,300-600,,,28.0,22.0,No precipitation,6,,,,
08.03.2020 14:00,24.9,721.3,757.0,-2.6,87,Wind blowing from the south,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.3,25.6,,,2500 or more  or no clouds.,,,27.0,22.6,No precipitation,12,,,,
08.03.2020 11:00,23.9,723.9,759.8,,90,Wind blowing from the south-southeast,3,,9,70 – 80%., ,,,20.3,25.5,,,300-600,,,22.0,22.2,No precipitation,6,,,,
08.03.2020 08:00,20.8,722.8,758.8,,100,Wind blowing from the south-east,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,18.0,20.8,No precipitation,12,,,,
08.03.2020 05:00,20.7,721.6,757.6,,99,Wind blowing from the south-east,3,,,, ,,,20.3,,,,,,,29.0,20.5,No precipitation,6,,,,
08.03.2020 02:00,21.0,722.9,758.8,-0.6,100,Wind blowing from the south,2,,7,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.9,25.5,,,2500 or more  or no clouds.,,,0.2,21.0,No precipitation,12,,,,
07.03.2020 23:00,21.0,723.5,759.4,,100,Wind blowing from the east-southeast,3,,7,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,19.9,25.5,,,,,,0.2,21.0,No precipitation,6,,,,
07.03.2020 20:00,21.0,722.4,758.5,0.3,100,Wind blowing from the south-southeast,5,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.9,25.5,,,2500 or more  or no clouds.,,,21.0,21.0,No precipitation,12,,,,
07.03.2020 17:00,22.5,722.1,758.1,,97,Wind blowing from the south-southeast,5,,7,90  or more  but not 100%, ,,,19.9,25.5,,,,,,29.0,22.0,No precipitation,6,,,,
07.03.2020 14:00,24.0,723.4,759.4,-2.5,87,Wind blowing from the south-east,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.9,25.5,,,2500 or more  or no clouds.,,,30.0,21.7,No precipitation,12,,,,
07.03.2020 11:00,24.5,725.9,761.9,,76,Wind blowing from the south-east,2,,,90  or more  but not 100%, ,,,19.9,24.6,,,,,,28.0,20.0,No precipitation,6,,,,
07.03.2020 08:00,20.9,725.2,761.4,1.5,100,Wind blowing from the east,2,,7,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.9,,,,2500 or more  or no clouds.,,,0.2,20.9,No precipitation,12,,,,
07.03.2020 05:00,20.5,723.7,759.9,,100,Wind blowing from the south-southeast,3,,7,,Mist. ,,,19.9,,,,,,,1.6,20.5,No precipitation,6,,,,
07.03.2020 02:00,20.4,724.3,760.4,,100,Wind blowing from the south-southeast,3,,7,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.1,22.8,,,2500 or more  or no clouds.,,,0.2,20.4,No precipitation,12,,,,
06.03.2020 23:00,20.7,725.5,761.8,,100,Wind blowing from the south-east,2,,8,, ,,,19.7,,,,,,,3.4,20.7,No precipitation,6,,,,
06.03.2020 20:00,20.7,724.5,760.7,0.2,100,Wind blowing from the south-east,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,,,,2500 or more  or no clouds.,,,15.0,20.7,No precipitation,12,,,,
06.03.2020 17:00,21.2,724.3,760.5,,100,Wind blowing from the south-east,3,,9,, ,,,19.6,22.8,,,,,,16.0,21.2,No precipitation,6,,,,
06.03.2020 14:00,21.3,725.3,761.5,-1.7,100,Wind blowing from the south-east,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,,,,2500 or more  or no clouds.,,,20.0,21.3,1.0,12,,,,
06.03.2020 11:00,20.9,727.0,763.4,,100,Wind blowing from the east,6,,9,90  or more  but not 100%, ,,,19.6,,,,,,,20.0,20.9,1.0,6,,,,
06.03.2020 08:00,20.5,726.1,762.4,,100,Wind blowing from the east-southeast,4,,9,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.6,,,,2500 or more  or no clouds.,,,less than 0.1,20.5,8.0,12,,,,
06.03.2020 05:00,20.3,724.8,761.0,,100,Wind blowing from the east,5,,9,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,19.0,,,,,,,less than 0.1,20.3,2.0,6,,,,
06.03.2020 02:00,20.4,725.6,761.8,-0.8,100,Wind blowing from the east,6,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,24.3,,,2500 or more  or no clouds.,,,less than 0.1,20.4,8.0,12,,,,
05.03.2020 23:00,19.9,726.4,762.7,,100,Wind blowing from the east,5,,12,,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,,,18.9,24.3,,,,,,less than 0.1,19.9,7.0,6,,,,
05.03.2020 20:00,19.9,725.6,762.0,1.1,100,Wind blowing from the east,3,,17,,Drizzle  not freezing  intermittent  heavy (dense) at time of observation. ,Rain.,Fog or ice fog or thick haze.,18.9,24.3,,,2500 or more  or no clouds.,,,0.1,19.9,2.0,12,,,,
05.03.2020 17:00,21.1,724.5,760.8,,96,Wind blowing from the east-northeast,4,,18,90  or more  but not 100%, ,,,18.9,24.3,,,,,,27.0,20.4,No precipitation,6,,,,
05.03.2020 14:00,22.6,725.5,761.6,-1.8,89,Wind blowing from the east-northeast,4,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,24.0,,,2500 or more  or no clouds.,,,30.0,20.7,No precipitation,12,,,,
05.03.2020 11:00,21.2,727.3,763.6,,95,Wind blowing from the east-northeast,7,,18,90  or more  but not 100%, ,,,18.9,24.3,,,,,,30.0,20.4,No precipitation,6,,,,
05.03.2020 08:00,19.9,726.0,762.3,1.0,95,Wind blowing from the north-east,11,,18,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.9,,,,2500 or more  or no clouds.,,,27.0,19.1,No precipitation,12,,,,
05.03.2020 05:00,19.1,725.0,761.2,,98,Wind blowing from the north-east,11,,18,, ,,,18.9,24.3,,,,,,30.0,18.8,No precipitation,6,,,,
05.03.2020 02:00,19.7,725.4,761.5,,99,Wind blowing from the north-east,9,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,24.3,,,2500 or more  or no clouds.,,,26.0,19.5,No precipitation,12,,,,
04.03.2020 23:00,20.7,726.1,762.3,,100,Wind blowing from the east-northeast,7,,13,, ,,,19.0,24.3,,,,,,14.0,20.7,No precipitation,6,,,,
04.03.2020 20:00,20.4,725.2,761.5,1.3,100,Wind blowing from the east-northeast,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,24.3,,,2500 or more  or no clouds.,,,11.0,20.4,No precipitation,12,,,,
04.03.2020 17:00,21.6,723.9,760.1,,93,Wind blowing from the east,8,,12,, ,,,19.0,24.3,,,,,,21.0,20.4,No precipitation,6,,,,
04.03.2020 14:00,23.4,724.9,761.0,-1.6,82,Wind blowing from the east,6,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,24.3,,,300-600,,,27.0,20.2,No precipitation,12,,,,
04.03.2020 11:00,23.2,726.5,762.7,,86,Wind blowing from the east,7,,12,70 – 80%., ,,,19.0,23.6,,,300-600,,,23.0,20.7,No precipitation,6,,,,
04.03.2020 08:00,19.5,725.7,762.1,1.9,100,Wind blowing from the east,6,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,,,,100-200,,,15.0,19.5,No precipitation,12,,,,
04.03.2020 05:00,19.2,723.8,760.0,,100,Wind blowing from the east-northeast,8,,11,,Mist. ,,,19.2,23.6,,,,,,4.5,19.2,No precipitation,6,,,,
04.03.2020 02:00,19.7,724.6,760.7,-0.9,100,Wind blowing from the east-northeast,6,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,23.6,,,2500 or more  or no clouds.,,,4.5,19.7,No precipitation,12,,,,
