Local time in Tailai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 17:00,-3.3,754.0,767.6,,32,Wind blowing from the north-northwest,3,,15,10%  or less  but not 0, ,,,-10.8,3.6,,,2500 or more  or no clouds.,,,30.0,-17.6,No precipitation,6,,,,
15.03.2020 14:00,-2.9,754.0,767.5,,29,Wind blowing from the north,7,,15,10%  or less  but not 0, ,,,-10.8,5.0,,,2500 or more  or no clouds.,,,14.0,-18.5,No precipitation,6,,,,
15.03.2020 11:00,-6.2,754.0,767.6,,28,Wind blowing from the north,9,,15,no clouds, ,,,-10.8,,,,,,,9.0,-21.7,No precipitation,6,,,,
15.03.2020 08:00,-9.1,753.1,766.6,2.6,32,Wind blowing from the north,9,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.8,6.1,,,,,,20.0,-22.8,Trace of precipitation,12,,,,
15.03.2020 05:00,-9.9,750.5,763.9,,41,Wind blowing from the north,8,,15,, ,,,-9.9,6.1,,,,,,30.0,-20.7,No precipitation,6,,,,
15.03.2020 02:00,-7.9,747.7,760.9,,48,Wind blowing from the north-northeast,8,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,6.1,,,2500 or more  or no clouds.,,,28.0,-17.2,No precipitation,12,,,,
14.03.2020 20:00,-0.2,743.0,756.1,1.4,31,Wind blowing from the north-northwest,7,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,6.1,,,,,,30.0,-15.3,No precipitation,12,,,,
14.03.2020 17:00,3.6,741.6,754.7,,24,Wind blowing from the north-northwest,6,,15,40%., ,,,-7.4,6.1,,,1500-2000,,,30.0,-15.1,No precipitation,6,,,,
14.03.2020 14:00,4.3,740.6,753.7,-0.8,23,Wind blowing from the north-northwest,8,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,6.1,,,1500-2000,,,23.0,-15.0,No precipitation,12,,,,
14.03.2020 11:00,5.0,741.4,754.4,,27,Wind blowing from the north-west,7,,13,20–30%., ,,,-7.4,5.0,,,1500-2000,,,30.0,-12.4,No precipitation,6,,,,
14.03.2020 08:00,-2.7,742.9,756.0,-1.1,56,Wind blowing from the west,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,3.3,,,,,,18.0,-10.3,No precipitation,12,,,,
14.03.2020 05:00,-5.9,744.0,757.1,,62,Wind blowing from the west-southwest,2,,8,, ,,,-14.3,3.3,,,,,,30.0,-12.0,No precipitation,6,,,,
14.03.2020 02:00,-6.6,745.6,758.8,,59,Wind blowing from the west-northwest,3,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,3.3,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
13.03.2020 20:00,-0.7,746.8,760.2,0.0,44,Wind blowing from the west-northwest,3,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.9,3.3,,,,,,19.0,-11.7,No precipitation,12,,,,
13.03.2020 17:00,2.7,746.8,760.3,,25,Wind blowing from the west-southwest,5,,13,20–30%., ,,,-15.9,3.3,,,1500-2000,,,27.0,-15.4,No precipitation,6,,,,
13.03.2020 14:00,2.5,748.1,761.5,,28,Wind blowing from the west,7,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.9,3.0,,,2500 or more  or no clouds.,,,30.0,-14.2,No precipitation,12,,,,
13.03.2020 11:00,-1.4,750.7,764.2,,30,Wind blowing from the south-west,7,,10,, ,,,-15.9,-0.9,,,,,,30.0,-16.7,No precipitation,6,,,,
13.03.2020 08:00,-8.4,753.2,766.9,-0.7,33,Wind blowing from the west-southwest,4,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.9,-1.5,,,,,,17.0,-21.8,No precipitation,12,,,,
13.03.2020 05:00,-14.1,753.9,767.7,,45,Wind blowing from the south-west,3,,16,, ,,,-15.9,-1.5,,,,,,30.0,-23.5,No precipitation,6,,,,
13.03.2020 02:00,-12.9,754.4,768.1,,31,Wind blowing from the west,3,,21,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.3,-1.5,,,2500 or more  or no clouds.,,,30.0,-26.5,No precipitation,12,,,,
12.03.2020 20:00,-9.4,752.6,766.1,3.2,24,Wind blowing from the north-northwest,2,,22,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,1.4,,,,,,30.0,-26.3,No precipitation,12,,,,
12.03.2020 17:00,-6.0,749.4,762.8,,15,Wind blowing from the north-northwest,9,,22,no clouds, ,,,-6.0,2.4,,,,,,22.0,-28.5,No precipitation,6,,,,
12.03.2020 14:00,-3.6,747.0,760.3,,12,Wind blowing from the north-west,13,,22,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,,,,,,,7.0,-28.9,No precipitation,12,,,,
12.03.2020 11:00,-4.1,747.7,760.9,,12,Wind blowing from the north-west,11,,21,, ,,,-5.5,,,,,,,12.0,-29.3,0.1,6,,,,
12.03.2020 08:00,-2.1,745.9,759.0,1.8,31,Wind blowing from the north-west,7,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.7,4.0,,,2500 or more  or no clouds.,,,30.0,-17.0,No precipitation,12,,,,
12.03.2020 05:00,-4.1,744.1,757.2,,46,Wind blowing from the west,6,,9,, ,,,-12.2,4.0,,,,,,30.0,-14.0,No precipitation,6,,,,
12.03.2020 02:00,-2.4,743.9,757.0,,45,Wind blowing from the west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,4.0,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
11.03.2020 20:00,1.1,743.3,756.5,-0.4,39,Wind blowing from the south-southwest,3,,,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,4.0,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
11.03.2020 17:00,2.4,743.7,757.0,,32,Wind blowing from the south-southwest,4,,,50%., ,,,-12.6,4.0,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,6,,,,
11.03.2020 14:00,2.9,744.6,757.9,-2.2,34,Wind blowing from the south-southwest,6,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,3.1,,,2500 or more  or no clouds.,,,30.0,-11.4,No precipitation,12,,,,
11.03.2020 11:00,-0.1,746.8,760.2,,38,Wind blowing from the south-southwest,4,,7,10%  or less  but not 0, ,,,-12.6,1.5,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,6,,,,
11.03.2020 08:00,-6.7,747.7,761.2,,65,Wind blowing from the west,2,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,,,,,,,6.0,-12.2,No precipitation,12,,,,
11.03.2020 05:00,-12.1,747.4,760.9,,83,Wind blowing from the west-northwest,1,,5,,Mist. ,,,-12.6,1.5,,,,,,6.0,-14.4,No precipitation,6,,,,
11.03.2020 02:00,-9.0,748.0,761.3,,81,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,1.5,,,2500 or more  or no clouds.,,,8.0,-11.7,No precipitation,12,,,,
10.03.2020 20:00,-6.2,748.1,761.6,,74,Wind blowing from the north-northwest,3,,7,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,1.5,,,1500-2000,,,5.0,-10.2,No precipitation,12,,,,
10.03.2020 17:00,-1.2,746.4,759.7,,42,Wind blowing from the north-west,3,,7,90  or more  but not 100%, ,,,-9.6,1.5,,,1500-2000,,,25.0,-12.5,No precipitation,6,,,,
10.03.2020 14:00,0.6,745.6,758.9,,41,Wind blowing from the north-northwest,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,1.5,,,1500-2000,,,17.0,-11.4,No precipitation,12,,,,
10.03.2020 11:00,-0.4,746.8,760.2,,46,Wind blowing from the south-southwest,1,,4,90  or more  but not 100%, ,,,-9.6,1.0,,,,,,22.0,-10.6,No precipitation,6,,,,
10.03.2020 08:00,-6.9,747.7,761.2,-0.7,73,Wind blowing from the south-southeast,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,1.0,,,2500 or more  or no clouds.,,,16.0,-10.9,No precipitation,12,,,,
10.03.2020 05:00,-9.0,748.4,761.8,,72,Wind blowing from the east-southeast,2,,4,, ,,,-9.6,1.0,,,,,,27.0,-13.1,No precipitation,6,,,,
10.03.2020 02:00,-8.5,750.5,763.9,,69,Wind blowing from the south,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.6,1.0,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
09.03.2020 20:00,-4.3,753.1,766.6,-0.7,42,Wind blowing from the south-southwest,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,1.0,,,,,,30.0,-15.3,No precipitation,12,,,,
09.03.2020 17:00,-0.6,753.8,767.3,,26,Wind blowing from the west-northwest,2,,8,no clouds, ,,,-9.2,1.0,,,,,,30.0,-17.7,No precipitation,6,,,,
09.03.2020 14:00,1.0,754.1,767.5,-1.5,24,Wind blowing from the north-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,2.1,,,,,,30.0,-17.3,No precipitation,12,,,,
09.03.2020 11:00,-0.9,755.6,769.0,,28,Wind blowing from the north-northwest,4,,8,no clouds, ,,,-9.2,3.0,,,,,,30.0,-17.1,No precipitation,6,,,,
09.03.2020 08:00,-5.4,755.8,769.3,1.3,38,Wind blowing from the north-northwest,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,3.0,,,,,,30.0,-17.5,No precipitation,12,,,,
09.03.2020 05:00,-8.0,754.5,768.0,,40,Wind blowing from the north-northwest,2,,8,, ,,,-8.0,3.0,,,,,,19.0,-19.2,No precipitation,6,,,,
09.03.2020 02:00,-3.9,753.6,766.9,,45,Wind blowing from the north,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.8,3.0,,,2500 or more  or no clouds.,,,30.0,-14.1,No precipitation,12,,,,
08.03.2020 20:00,-2.2,750.8,764.1,1.6,65,Wind blowing from the north,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,3.0,,,,,,11.0,-7.9,No precipitation,12,,,,
08.03.2020 17:00,-0.1,749.2,762.4,,55,Wind blowing from the north-northwest,5,,9,90  or more  but not 100%, ,,,-3.1,3.0,,,,,,11.0,-8.1,No precipitation,6,,,,
08.03.2020 14:00,1.8,747.6,760.7,-0.2,51,Wind blowing from the north-northwest,6,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,3.2,,,2500 or more  or no clouds.,,,9.0,-7.5,No precipitation,12,,,,
08.03.2020 11:00,1.0,747.8,760.9,,51,Wind blowing from the north-west,4,,8,no clouds, ,,,-3.1,3.2,,,,,,7.0,-8.0,No precipitation,6,,,,
08.03.2020 08:00,-2.2,747.3,760.5,,72,Wind blowing from the north,3,,8,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,3.2,,,2500 or more  or no clouds.,,,4.6,-6.7,No precipitation,12,,,,
08.03.2020 05:00,-1.4,745.9,759.1,,70,Wind blowing from the south-west,2,,8,, ,,,,3.2,,,,,,10.0,-6.3,No precipitation,6,,,,
08.03.2020 02:00,-0.2,745.8,758.8,,65,Wind blowing from the south-southwest,2,,8,, ,,,,3.2,,,,,,11.0,-6.0,No precipitation,6,,,,
07.03.2020 20:00,0.2,746.5,759.8,-0.3,49,Wind blowing from the south-southwest,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.4,3.2,,,2500 or more  or no clouds.,,,26.0,-9.5,No precipitation,12,,,,
07.03.2020 17:00,2.2,746.8,760.2,,41,Wind blowing from the south-southwest,4,,7,20–30%., ,,,-12.4,3.2,,,2500 or more  or no clouds.,,,28.0,-9.7,No precipitation,6,,,,
07.03.2020 14:00,1.8,747.6,760.9,-1.4,44,Wind blowing from the south-west,3,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.4,2.0,,,2500 or more  or no clouds.,,,11.0,-9.4,No precipitation,12,,,,
07.03.2020 11:00,-2.2,749.0,762.4,,60,Wind blowing from the west,3,,6,40%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.4,-1.7,,,2500 or more  or no clouds.,,,5.0,-8.9,No precipitation,6,,,,
07.03.2020 08:00,-9.1,749.4,763.0,0.8,80,Wind blowing from the west-northwest,2,,6,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.6,-1.7,,,2500 or more  or no clouds.,,,2.6,-11.9,No precipitation,12,,,,
07.03.2020 05:00,-11.4,748.6,762.2,,82,Wind blowing from the west-northwest,2,,7,,Mist. ,,,-14.6,-1.7,,,,,,3.6,-13.9,No precipitation,6,,,,
07.03.2020 02:00,-10.4,748.5,762.0,,80,Wind blowing from the north-west,2,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-1.7,,,2500 or more  or no clouds.,,,4.1,-13.2,No precipitation,12,,,,
06.03.2020 20:00,-7.6,748.8,762.4,0.4,75,Wind blowing from the north,3,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-1.7,,,2500 or more  or no clouds.,,,4.7,-11.3,No precipitation,12,,,,
06.03.2020 17:00,-3.6,748.4,762.0,,65,Wind blowing from the north,4,,7,90  or more  but not 100%, ,,,-14.6,0.4,,,,,,5.0,-9.4,No precipitation,6,,,,
06.03.2020 14:00,-2.8,748.2,761.8,-0.9,59,Wind blowing from the north-west,4,,7,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,2.2,,,2500 or more  or no clouds.,,,5.0,-9.7,No precipitation,12,,,,
06.03.2020 11:00,-6.2,749.1,762.6,,66,Wind blowing from the north-northwest,5,,6,no clouds, ,,,-14.6,2.2,,,,,,5.0,-11.5,No precipitation,6,,,,
06.03.2020 08:00,-12.6,749.5,763.1,0.3,85,Wind blowing from the north-northeast,3,,5,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,2.2,,,2500 or more  or no clouds.,,,3.3,-14.6,No precipitation,12,,,,
06.03.2020 05:00,-14.1,749.2,762.7,,82,Wind blowing from the north,2,,4,,Mist. ,,,-14.5,2.2,,,,,,5.0,-16.5,No precipitation,6,,,,
06.03.2020 02:00,-12.7,749.4,762.8,,80,Wind blowing from the north,2,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.5,2.2,,,2500 or more  or no clouds.,,,4.1,-15.4,No precipitation,12,,,,
05.03.2020 20:00,-2.7,749.0,762.5,0.7,50,Wind blowing from the south,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.5,2.2,,,,,,28.0,-11.7,No precipitation,12,,,,
05.03.2020 17:00,0.5,748.3,761.8,,39,Wind blowing from the south,3,,10,40%., ,,,-14.5,2.2,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,6,,,,
05.03.2020 14:00,1.5,748.6,762.1,-2.2,30,Wind blowing from the south-southwest,6,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.5,1.7,,,,,,30.0,-14.2,No precipitation,12,,,,
05.03.2020 11:00,-1.6,750.8,764.2,,45,Wind blowing from the south-west,4,,7,no clouds, ,,,-14.5,-1.1,,,,,,30.0,-12.0,No precipitation,6,,,,
05.03.2020 08:00,-11.1,752.3,766.0,-0.7,73,Wind blowing from the south-southwest,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.5,-1.1,,,,,,16.0,-15.1,No precipitation,12,,,,
05.03.2020 05:00,-13.6,753.0,766.6,,75,Wind blowing from the south,2,,4,, ,,,-13.6,-1.1,,,,,,30.0,-17.1,No precipitation,6,,,,
05.03.2020 02:00,-11.3,754.0,767.5,,74,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,-1.1,,,2500 or more  or no clouds.,,,20.0,-15.0,No precipitation,12,,,,
04.03.2020 20:00,-6.4,755.6,769.3,0.1,65,Wind blowing from the south,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,-1.1,,,,,,18.0,-11.9,No precipitation,12,,,,
04.03.2020 17:00,-2.1,755.5,769.1,,44,Wind blowing from the north-northwest,1,,8,20–30%., ,,,-11.6,-1.1,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,6,,,,
04.03.2020 14:00,-1.8,756.1,769.7,-1.3,45,Wind blowing from the north-northwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,-1.4,,,,,,30.0,-12.2,No precipitation,12,,,,
04.03.2020 11:00,-3.7,757.4,771.1,,53,Wind blowing from the north,5,,8,no clouds, ,,,-11.6,-3.6,,,,,,20.0,-11.9,No precipitation,6,,,,
04.03.2020 08:00,-9.6,757.7,771.4,0.7,75,Wind blowing from the north-northwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.6,-4.4,,,,,,12.0,-13.2,No precipitation,12,,,,
04.03.2020 05:00,-10.8,757.0,770.7,,80,Wind blowing from the north,3,,7,, ,,,-11.3,-4.4,,,,,,13.0,-13.6,No precipitation,6,,,,
04.03.2020 02:00,-10.1,756.8,770.5,,80,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,-4.4,,,2500 or more  or no clouds.,,,12.0,-13.0,No precipitation,12,,,,
03.03.2020 20:00,-7.5,757.5,771.2,0.2,75,Wind blowing from the north-northeast,3,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.7,-4.4,,,2500 or more  or no clouds.,,,7.0,-11.2,No precipitation,12,,,,
03.03.2020 17:00,-5.6,757.3,771.1,,67,Wind blowing from the north-northwest,3,,7,100%., ,,,-11.7,-3.3,,,2500 or more  or no clouds.,,,16.0,-10.9,No precipitation,6,,,,
03.03.2020 14:00,-4.6,757.5,771.1,-1.3,66,Wind blowing from the north-northwest,4,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.7,-1.6,,,2500 or more  or no clouds.,,,8.0,-10.0,No precipitation,12,,,,
03.03.2020 11:00,-7.3,758.8,772.6,,71,Wind blowing from the north-west,3,,5,90  or more  but not 100%, ,,,-11.7,-1.5,,,,,,5.0,-11.7,No precipitation,6,,,,
03.03.2020 08:00,-9.8,758.7,772.5,0.5,83,Wind blowing from the north-northeast,3,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.7,,,,2500 or more  or no clouds.,,,4.6,-12.1,No precipitation,12,,,,
03.03.2020 05:00,-11.0,758.2,771.9,,85,Wind blowing from the north-east,2,,4,,Mist. ,,,-16.3,-1.5,,,,,,2.9,-13.0,No precipitation,6,,,,
03.03.2020 02:00,-9.5,758.2,771.9,,86,Wind blowing from the north-east,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,-1.5,,,2500 or more  or no clouds.,,,3.2,-11.5,No precipitation,12,,,,
02.03.2020 20:00,-7.9,757.9,771.7,1.1,74,Wind blowing from the north-east,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,-1.5,,,,,,5.0,-11.7,No precipitation,12,,,,
02.03.2020 17:00,-3.3,756.8,770.6,,58,Wind blowing from the north-west,3,,5,no clouds, ,,,-16.3,-1.5,,,,,,10.0,-10.4,No precipitation,6,,,,
02.03.2020 14:00,-1.8,756.3,769.9,,54,Wind blowing from the north-west,3,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,-1.5,,,,,,10.0,-9.9,No precipitation,12,,,,
02.03.2020 11:00,-3.9,757.3,770.9,,57,Wind blowing from the north-west,2,,4,no clouds, ,,,-16.3,-1.3,,,,,,10.0,-11.2,No precipitation,6,,,,
02.03.2020 08:00,-10.7,757.4,771.2,1.0,85,Wind blowing from the north-west,2,,3,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.3,-1.3,,,,,,4.3,-12.7,No precipitation,12,,,,
02.03.2020 05:00,-15.0,756.4,770.1,,80,Wind blowing from the north-northwest,1,,3,, ,,,-17.8,-1.3,,,,,,7.0,-17.7,No precipitation,6,,,,
02.03.2020 02:00,-12.0,756.3,769.9,,83,Wind blowing from the north,0,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.8,-1.3,,,2500 or more  or no clouds.,,,8.0,-14.4,No precipitation,12,,,,
01.03.2020 20:00,-8.2,755.3,769.1,1.0,79,Wind blowing from the south-east,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.8,-1.3,,,2500 or more  or no clouds.,,,11.0,-11.2,No precipitation,12,,,,
01.03.2020 17:00,-3.0,754.3,768.1,,58,Wind blowing from the west-northwest,1,,5,70 – 80%., ,,,-17.8,-1.3,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,6,,,,
01.03.2020 14:00,-1.9,753.8,767.5,-1.1,51,Wind blowing from the west-northwest,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.8,-1.3,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
01.03.2020 11:00,-4.4,754.9,768.6,,66,Wind blowing from the west-northwest,2,,4,20–30%., ,,,-17.8,-3.1,,,2500 or more  or no clouds.,,,6.0,-9.8,No precipitation,6,,,,
01.03.2020 08:00,-12.2,755.2,769.0,0.1,85,Wind blowing from the north-east,1,,,40%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.8,-3.1,,,2500 or more  or no clouds.,,,2.8,-14.3,No precipitation,12,,,,
01.03.2020 05:00,-17.3,755.1,769.0,,80,Wind blowing from the north-northwest,1,,5,, ,,,-17.6,-3.1,,,,,,7.0,-19.9,No precipitation,6,,,,
01.03.2020 02:00,-14.6,755.4,769.1,,81,Wind blowing from the west,1,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.8,-3.1,,,2500 or more  or no clouds.,,,7.0,-17.1,No precipitation,12,,,,
29.02.2020 20:00,-9.8,755.1,768.8,0.7,75,Wind blowing from the west-southwest,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,-3.1,,,,,,15.0,-13.4,No precipitation,12,,,,
29.02.2020 17:00,-5.0,754.4,768.0,,63,Wind blowing from the north,4,,9,no clouds, ,,,-8.8,-3.1,,,,,,28.0,-11.1,No precipitation,6,,,,
