Local time in Xingtai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 17:00,19.6,746.2,762.6,,17,Wind blowing from the east,4,,9,90  or more  but not 100%, ,,,8.9,21.9,,,2500 or more  or no clouds.,,,30.0,-6.1,No precipitation,6,,,,
15.03.2020 14:00,21.3,746.6,763.0,-1.4,11,Wind blowing from the south-southeast,4,,9,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,21.9,,,2500 or more  or no clouds.,,,30.0,-10.3,No precipitation,12,,,,
15.03.2020 11:00,19.8,748.0,764.5,,11,Wind blowing from the north,4,,9,70 – 80%., ,,,8.9,20.1,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,6,,,,
15.03.2020 08:00,14.0,748.1,764.7,1.0,14,Wind blowing from the west,5,,8,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,20.0,,,2500 or more  or no clouds.,,,30.0,-13.1,No precipitation,12,,,,
15.03.2020 05:00,12.2,747.1,763.5,,13,Wind blowing from the west-northwest,3,,7,, ,,,5.2,20.0,,,,,,30.0,-15.4,No precipitation,6,,,,
15.03.2020 02:00,11.4,747.0,763.5,,15,Wind blowing from the west-northwest,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,20.0,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
14.03.2020 23:00,9.6,747.1,763.7,,24,Wind blowing from the west-northwest,4,,15,, ,,,5.0,20.0,,,,,,30.0,-10.0,No precipitation,6,,,,
14.03.2020 20:00,13.1,746.7,763.3,1.6,20,Wind blowing from the north-northwest,1,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,20.0,,,,,,30.0,-9.3,No precipitation,12,,,,
14.03.2020 17:00,19.0,745.1,761.7,,7,Wind blowing from the east,4,,15,no clouds, ,,,5.0,20.0,,,,,,30.0,-17.6,No precipitation,6,,,,
14.03.2020 14:00,18.1,746.5,763.2,-2.7,7,Wind blowing from the west-northwest,6,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,18.2,,,,,,30.0,-18.3,No precipitation,12,,,,
14.03.2020 11:00,15.3,749.2,765.9,,9,Wind blowing from the west,5,,,no clouds, ,,,5.0,15.3,,,,,,30.0,-17.4,No precipitation,6,,,,
14.03.2020 08:00,10.6,750.1,766.9,0.0,12,Wind blowing from the west-northwest,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,11.4,,,,,,30.0,-17.6,No precipitation,12,,,,
14.03.2020 05:00,5.3,750.1,767.1,,24,Wind blowing from the west-northwest,3,,7,, ,,,3.1,11.4,,,,,,30.0,-13.6,No precipitation,6,,,,
14.03.2020 02:00,5.8,751.5,768.4,-1.0,29,Wind blowing from the west-northwest,5,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,11.4,,,2500 or more  or no clouds.,,,30.0,-10.9,No precipitation,12,,,,
13.03.2020 23:00,6.2,752.5,769.6,,36,Wind blowing from the west,4,,9,, ,,,3.1,11.4,,,,,,26.0,-7.8,No precipitation,6,,,,
13.03.2020 20:00,8.5,752.7,769.8,0.7,34,Wind blowing from the south,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,11.4,,,2500 or more  or no clouds.,,,24.0,-6.5,No precipitation,12,,,,
13.03.2020 17:00,10.7,752.0,769.0,,27,Wind blowing from the south-southeast,4,,9,70 – 80%., ,,,3.1,13.2,,,2500 or more  or no clouds.,,,30.0,-7.5,No precipitation,6,,,,
13.03.2020 14:00,10.2,753.6,770.6,,24,Wind blowing from the south-southeast,5,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,15.0,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,12,,,,
13.03.2020 11:00,9.0,756.7,773.8,,26,Wind blowing from the east,3,,8,no clouds, ,,,3.1,16.0,,,,,,30.0,-9.5,No precipitation,6,,,,
13.03.2020 08:00,5.0,757.0,774.2,1.5,50,Wind blowing from the north,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,,,,2500 or more  or no clouds.,,,19.0,-4.8,No precipitation,12,,,,
13.03.2020 05:00,4.1,755.5,772.5,,54,Wind blowing from the north,6,,10,, ,,,3.8,17.9,,,,,,20.0,-4.6,No precipitation,6,,,,
13.03.2020 02:00,5.7,754.6,771.4,1.3,49,Wind blowing from the north,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,17.9,,,2500 or more  or no clouds.,,,14.0,-4.2,No precipitation,12,,,,
12.03.2020 23:00,6.7,753.3,770.2,,49,Wind blowing from the north-northwest,4,,,, ,,,6.0,17.9,,,,,,12.0,-3.3,No precipitation,6,,,,
12.03.2020 20:00,9.2,751.3,768.1,3.3,49,Wind blowing from the east-northeast,3,,16,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.2,17.9,,,2500 or more  or no clouds.,,,7.0,-1.0,No precipitation,12,,,,
12.03.2020 17:00,13.3,748.0,764.7,,25,Wind blowing from the north-northeast,7,,16,100%., ,,,10.0,19.1,,,2500 or more  or no clouds.,,,22.0,-6.3,No precipitation,6,,,,
12.03.2020 14:00,15.0,745.9,762.4,0.9,25,Wind blowing from the north-northeast,9,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,20.0,,,2500 or more  or no clouds.,,,14.0,-4.9,No precipitation,12,,,,
12.03.2020 11:00,13.9,745.0,761.5,,29,Wind blowing from the north-northeast,8,,13,90  or more  but not 100%, ,,,10.0,20.0,,,2500 or more  or no clouds.,,,13.0,-3.8,No precipitation,6,,,,
12.03.2020 08:00,13.3,743.0,759.4,1.6,20,Wind blowing from the west-northwest,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.9,20.0,,,2500 or more  or no clouds.,,,26.0,-9.2,No precipitation,12,,,,
12.03.2020 05:00,10.6,741.4,757.7,,25,Wind blowing from the west-northwest,3,,11,, ,,,3.9,20.0,,,,,,30.0,-8.6,No precipitation,6,,,,
12.03.2020 02:00,10.1,741.9,758.2,-0.4,31,Wind blowing from the west-northwest,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,20.0,,,2500 or more  or no clouds.,,,22.0,-6.3,No precipitation,12,,,,
11.03.2020 23:00,12.5,742.3,758.7,,34,Wind blowing from the south-west,3,,14,, ,,,3.9,20.0,,,,,,14.0,-2.9,No precipitation,6,,,,
11.03.2020 20:00,14.1,741.7,758.3,1.1,32,Wind blowing from the south-east,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,20.0,,,,,,15.0,-2.3,No precipitation,12,,,,
11.03.2020 17:00,19.1,740.6,757.1,,18,Wind blowing from the south-southeast,8,,14,no clouds, ,,,3.9,20.0,,,,,,20.0,-5.8,No precipitation,6,,,,
11.03.2020 14:00,18.6,742.0,758.6,-3.0,15,Wind blowing from the south-southeast,8,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,19.1,,,,,,18.0,-8.5,No precipitation,12,,,,
11.03.2020 11:00,16.1,745.0,761.5,,12,Wind blowing from the south,7,,11,no clouds, ,,,3.9,16.2,,,,,,19.0,-13.3,No precipitation,6,,,,
11.03.2020 08:00,7.0,746.1,762.9,0.5,21,Wind blowing from the west,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,14.9,,,,,,28.0,-13.8,No precipitation,12,,,,
11.03.2020 05:00,4.8,745.6,762.3,,29,Wind blowing from the west-northwest,4,,8,, ,,,4.1,14.9,,,,,,26.0,-11.7,No precipitation,6,,,,
11.03.2020 02:00,4.7,746.9,763.7,-1.1,35,Wind blowing from the west-northwest,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,14.9,,,2500 or more  or no clouds.,,,21.0,-9.5,No precipitation,12,,,,
10.03.2020 23:00,7.6,748.0,764.7,,28,Wind blowing from the west-southwest,1,,9,, ,,,3.9,14.9,,,,,,16.0,-9.7,No precipitation,6,,,,
10.03.2020 20:00,10.1,747.4,764.2,,23,Wind blowing from the south,4,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,14.9,,,,,,20.0,-10.1,No precipitation,12,,,,
10.03.2020 17:00,13.7,746.2,762.9,,17,Wind blowing from the south-east,4,,9,no clouds, ,,,3.9,14.9,,,,,,26.0,-10.9,No precipitation,6,,,,
10.03.2020 14:00,14.1,747.1,763.9,,13,Wind blowing from the east-southeast,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,14.5,,,,,,19.0,-13.9,No precipitation,12,,,,
10.03.2020 11:00,12.8,749.4,766.3,,14,Wind blowing from the south,2,,7,no clouds, ,,,3.9,13.3,,,,,,22.0,-14.0,No precipitation,6,,,,
10.03.2020 08:00,7.6,749.0,766.0,0.4,22,Wind blowing from the north-west,5,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,13.3,,,,,,24.0,-12.8,No precipitation,12,,,,
10.03.2020 05:00,5.5,748.6,765.4,,36,Wind blowing from the west,4,,7,, ,,,3.9,13.3,,,,,,26.0,-8.7,No precipitation,6,,,,
10.03.2020 02:00,4.6,749.8,766.6,,99,Wind blowing from the west,2,,11,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,13.3,,,2500 or more  or no clouds.,,,2.9,4.5,No precipitation,12,,,,
09.03.2020 20:00,8.1,748.6,765.6,1.8,87,Wind blowing from the east,2,,11,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,13.3,,,2500 or more  or no clouds.,,,4.8,6.1,No precipitation,12,,,,
09.03.2020 17:00,11.0,746.8,763.7,,73,Wind blowing from the east,4,,11,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,13.3,,,2500 or more  or no clouds.,,,5.0,6.2,No precipitation,6,,,,
09.03.2020 14:00,12.6,746.6,763.4,-1.2,56,Wind blowing from the north-east,6,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,13.0,,,2500 or more  or no clouds.,,,7.0,4.1,0.5,12,,,,
09.03.2020 11:00,12.1,747.8,764.6,,61,Wind blowing from the north-northeast,5,,9,90  or more  but not 100%, ,,,5.4,12.2,,,2500 or more  or no clouds.,,,7.0,4.8,No precipitation,6,,,,
09.03.2020 08:00,6.6,746.8,763.6,1.5,99,Wind blowing from the north-west,5,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Fog or ice fog or thick haze.,5.4,12.2,,,2500 or more  or no clouds.,,,0.8,6.5,0.5,12,,,,
09.03.2020 05:00,5.7,745.3,762.1,,99,Wind blowing from the north-northeast,4,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,4.6,12.2,,,,,,0.4,5.6,0.5,6,,,,
09.03.2020 02:00,6.1,745.2,762.0,-0.1,99,Wind blowing from the north-northeast,3,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.2,,,2500 or more  or no clouds.,,,0.8,6.0,No precipitation,12,,,,
08.03.2020 23:00,7.7,745.3,762.0,,89,Wind blowing from the north,2,,5,,Rain (not freezing) not falling as shower(s). ,,,4.6,12.2,,,,,,1.3,6.0,No precipitation,6,,,,
08.03.2020 20:00,9.0,744.1,760.9,1.6,80,Wind blowing from the north-northeast,2,,5,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.2,,,2500 or more  or no clouds.,,,1.5,5.7,Trace of precipitation,12,,,,
08.03.2020 17:00,10.4,742.5,759.2,,67,Wind blowing from the north-northeast,4,,5,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,15.4,,,2500 or more  or no clouds.,,,2.5,4.5,No precipitation,6,,,,
08.03.2020 14:00,12.0,743.0,759.7,-1.7,58,Wind blowing from the east,1,,,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,16.8,,,2500 or more  or no clouds.,,,2.9,3.8,No precipitation,12,,,,
08.03.2020 11:00,11.0,744.7,761.3,,59,Wind blowing from the east-northeast,2,,5,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,16.8,,,2500 or more  or no clouds.,,,3.6,3.1,No precipitation,6,,,,
08.03.2020 08:00,6.1,744.6,761.4,0.9,65,Wind blowing from the west-northwest,3,,6,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,16.8,,,2500 or more  or no clouds.,,,6.0,0.0,No precipitation,12,,,,
08.03.2020 05:00,6.1,743.7,760.3,,63,Wind blowing from the west-northwest,3,,7,,Haze. ,,,4.8,16.8,,,,,,7.0,-0.6,No precipitation,6,,,,
08.03.2020 02:00,9.2,744.5,761.0,-0.8,58,Wind blowing from the south,2,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,16.8,,,2500 or more  or no clouds.,,,5.0,1.4,No precipitation,12,,,,
07.03.2020 23:00,10.7,745.3,761.8,,55,Wind blowing from the south,3,,,,Haze. ,,,4.8,16.8,,,,,,6.0,2.0,No precipitation,6,,,,
07.03.2020 20:00,11.5,744.8,761.6,0.5,50,Wind blowing from the south-southwest,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,16.8,,,2500 or more  or no clouds.,,,8.0,1.4,No precipitation,12,,,,
07.03.2020 17:00,15.5,744.3,760.9,,31,Wind blowing from the south-east,5,,9,90  or more  but not 100%, ,,,4.8,16.8,,,2500 or more  or no clouds.,,,11.0,-1.5,No precipitation,6,,,,
07.03.2020 14:00,16.2,745.3,762.0,-1.6,27,Wind blowing from the east-southeast,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.8,16.3,,,2500 or more  or no clouds.,,,15.0,-2.8,No precipitation,12,,,,
07.03.2020 11:00,14.6,746.9,763.6,,23,Wind blowing from the north-east,3,,6,90  or more  but not 100%, ,,,4.8,15.0,,,2500 or more  or no clouds.,,,30.0,-6.3,No precipitation,6,,,,
07.03.2020 08:00,6.0,746.7,763.5,1.4,57,Wind blowing from the west-northwest,3,,13,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.2,15.0,,,2500 or more  or no clouds.,,,5.0,-1.9,No precipitation,12,,,,
07.03.2020 05:00,5.4,745.3,762.0,,74,Wind blowing from the west-northwest,3,,13,,Mist. ,,,2.2,15.0,,,,,,3.0,1.1,No precipitation,6,,,,
07.03.2020 02:00,6.9,745.3,761.9,0.6,64,Wind blowing from the west-northwest,2,,13,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,15.0,,,2500 or more  or no clouds.,,,3.5,0.4,No precipitation,12,,,,
06.03.2020 23:00,8.4,744.7,761.5,,60,Wind blowing from the north-northwest,5,,13,,Haze. ,,,2.2,15.0,,,,,,3.7,0.9,No precipitation,6,,,,
06.03.2020 20:00,10.9,742.5,759.3,2.1,57,Wind blowing from the north-west,2,,9,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,15.0,,,2500 or more  or no clouds.,,,3.9,2.7,No precipitation,12,,,,
06.03.2020 17:00,14.4,740.4,757.0,,48,Wind blowing from the east-southeast,3,,7,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,15.0,,,2500 or more  or no clouds.,,,7.0,3.5,No precipitation,6,,,,
06.03.2020 14:00,14.1,741.1,757.7,-2.6,46,Wind blowing from the east-southeast,3,,,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,14.2,,,2500 or more  or no clouds.,,,5.0,2.7,No precipitation,12,,,,
06.03.2020 11:00,10.8,743.7,760.4,,40,Wind blowing from the east,2,,6,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.2,13.4,,,2500 or more  or no clouds.,,,6.0,-2.3,No precipitation,6,,,,
06.03.2020 08:00,3.2,744.2,761.1,0.4,76,Wind blowing from the west-northwest,3,,9,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,13.4,,,2500 or more  or no clouds.,,,4.4,-0.6,No precipitation,12,,,,
06.03.2020 05:00,2.8,743.8,760.6,,76,Wind blowing from the west-northwest,2,,12,,Mist. ,,,-0.8,13.4,,,,,,4.6,-1.0,No precipitation,6,,,,
06.03.2020 02:00,4.9,745.2,762.0,-0.8,66,Wind blowing from the north-northwest,2,,12,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,13.4,,,2500 or more  or no clouds.,,,5.0,-0.9,No precipitation,12,,,,
05.03.2020 23:00,8.5,746.0,762.8,,61,Wind blowing from the south,4,,12,,Haze. ,,,,13.4,,,,,,5.0,1.4,No precipitation,6,,,,
05.03.2020 20:00,9.7,746.2,763.3,0.3,52,Wind blowing from the south,6,,12,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,13.4,,,,,,7.0,0.3,No precipitation,12,,,,
05.03.2020 17:00,12.1,745.9,762.7,,40,Wind blowing from the south-southeast,8,,12,20–30%., ,,,-0.8,13.4,,,2500 or more  or no clouds.,,,9.0,-1.1,No precipitation,6,,,,
05.03.2020 14:00,12.4,747.7,764.6,-3.6,28,Wind blowing from the south,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,12.4,,,,,,15.0,-5.6,No precipitation,12,,,,
05.03.2020 11:00,8.5,751.3,768.4,,24,Wind blowing from the south,6,,10,40%., ,,,-0.8,8.5,,,2500 or more  or no clouds.,,,25.0,-10.9,No precipitation,6,,,,
05.03.2020 08:00,-0.6,752.9,770.3,-0.4,48,Wind blowing from the north-northwest,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.8,7.0,,,2500 or more  or no clouds.,,,24.0,-10.3,No precipitation,12,,,,
05.03.2020 05:00,1.7,753.3,770.5,,37,Wind blowing from the south,3,,6,, ,,,-0.5,7.0,,,,,,24.0,-11.4,No precipitation,6,,,,
05.03.2020 02:00,2.3,754.4,771.7,-1.2,33,Wind blowing from the south,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,7.0,,,2500 or more  or no clouds.,,,27.0,-12.3,No precipitation,12,,,,
04.03.2020 23:00,4.0,755.6,772.9,,27,Wind blowing from the south-southwest,4,,9,, ,,,,7.0,,,,,,30.0,-13.3,No precipitation,6,,,,
04.03.2020 20:00,4.4,756.0,773.4,0.8,26,Wind blowing from the south,3,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,7.0,,,2500 or more  or no clouds.,,,29.0,-13.4,No precipitation,12,,,,
04.03.2020 17:00,6.0,755.2,772.5,,21,Wind blowing from the east-southeast,3,,9,20–30%., ,,,-0.5,9.7,,,2500 or more  or no clouds.,,,30.0,-14.7,No precipitation,6,,,,
04.03.2020 14:00,5.8,756.1,773.5,-2.7,23,Wind blowing from the east,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,12.1,,,,,,30.0,-13.7,No precipitation,12,,,,
04.03.2020 11:00,4.4,758.8,776.2,,20,Wind blowing from the south-east,2,,6,90  or more  but not 100%, ,,,-0.5,,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,6,,,,
04.03.2020 08:00,0.8,758.3,775.7,,30,Wind blowing from the east-northeast,3,,6,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,12.1,,,2500 or more  or no clouds.,,,30.0,-14.8,No precipitation,12,,,,
04.03.2020 05:00,0.2,756.1,773.4,,37,Wind blowing from the north-northeast,3,,7,, ,,,0.2,12.1,,,,,,30.0,-12.8,No precipitation,6,,,,
04.03.2020 02:00,2.0,755.3,772.5,0.5,36,Wind blowing from the west-northwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.2,12.1,,,2500 or more  or no clouds.,,,30.0,-11.5,No precipitation,12,,,,
03.03.2020 23:00,2.6,754.8,772.0,,42,Wind blowing from the west-northwest,3,,13,, ,,,2.6,12.1,,,,,,30.0,-9.0,No precipitation,6,,,,
03.03.2020 20:00,5.7,753.7,770.8,2.1,27,Wind blowing from the north-northeast,1,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,12.1,,,,,,30.0,-11.8,No precipitation,12,,,,
03.03.2020 17:00,9.6,751.6,768.6,,18,Wind blowing from the east,5,,13,20–30%., ,,,5.0,12.9,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,6,,,,
03.03.2020 14:00,11.3,751.3,768.2,-1.8,11,Wind blowing from the east-northeast,4,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.3,,,2500 or more  or no clouds.,,,30.0,-18.1,No precipitation,12,,,,
03.03.2020 11:00,9.3,753.1,770.1,,14,Wind blowing from the north,5,,13,70 – 80%., ,,,5.0,13.3,,,2500 or more  or no clouds.,,,27.0,-16.8,No precipitation,6,,,,
03.03.2020 08:00,6.0,752.8,769.8,1.9,27,Wind blowing from the north-northwest,3,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.0,13.3,,,2500 or more  or no clouds.,,,30.0,-11.6,No precipitation,12,,,,
03.03.2020 05:00,6.9,750.9,767.8,,26,Wind blowing from the north,4,,17,, ,,,5.2,13.3,,,,,,28.0,-11.3,No precipitation,6,,,,
03.03.2020 02:00,7.3,750.1,766.9,1.6,61,Wind blowing from the north,2,,19,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.2,13.3,,,2500 or more  or no clouds.,,,6.0,0.3,No precipitation,12,,,,
02.03.2020 23:00,9.5,748.5,765.3,,51,Wind blowing from the north-west,4,,19,, ,,,4.6,13.3,,,,,,17.0,-0.1,No precipitation,6,,,,
02.03.2020 20:00,10.6,746.5,763.3,0.3,49,Wind blowing from the south-southwest,8,,19,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,13.3,,,2500 or more  or no clouds.,,,12.0,0.3,No precipitation,12,,,,
02.03.2020 17:00,12.8,746.2,763.0,,39,Wind blowing from the south,12,,19,60%., ,,,4.6,13.3,,,2500 or more  or no clouds.,,,13.0,-0.8,No precipitation,6,,,,
02.03.2020 14:00,12.5,748.1,764.9,-3.8,41,Wind blowing from the south,8,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.6,,,2500 or more  or no clouds.,,,8.0,-0.4,No precipitation,12,,,,
02.03.2020 11:00,9.2,751.9,769.0,,59,Wind blowing from the south,6,,11,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,12.2,,,2500 or more  or no clouds.,,,6.0,1.6,No precipitation,6,,,,
