Local time in Bijie,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
25.03.2020 08:00,11.5,632.8,755.2,0.0,93,Wind blowing from the north-west,1,,4,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,24.7,,,2500 or more  or no clouds.,,,4.5,10.4,No precipitation,12,,,,
25.03.2020 05:00,11.8,632.8,754.1,,90,Wind blowing from the north-northwest,1,,7,,Mist. ,,,8.2,24.7,,,,,,7.0,10.2,No precipitation,6,,,,
25.03.2020 02:00,13.1,633.2,754.3,,84,Wind blowing from the west,0,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,24.7,,,2500 or more  or no clouds.,,,9.0,10.5,No precipitation,12,,,,
24.03.2020 20:00,19.4,631.3,754.0,,49,Wind blowing from the south,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,24.7,,,,,,15.0,8.4,No precipitation,12,,,,
24.03.2020 14:00,23.7,632.8,754.3,-2.7,31,Wind blowing from the south-west,2,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,23.7,,,600-1000,,,14.0,5.6,No precipitation,12,,,,
24.03.2020 11:00,15.2,635.5,759.1,,75,Wind blowing from the east,2,,3,no clouds,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,22.9,,,,,,7.0,10.8,No precipitation,6,,,,
24.03.2020 08:00,8.7,635.8,760.9,0.2,97,Wind blowing from the west-southwest,1,,2,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,,,,300-600,,,2.5,8.3,No precipitation,12,,,,
24.03.2020 05:00,8.7,635.6,760.6,,97,Wind blowing from the north-northwest,1,,3,,Mist. ,,,8.7,,,,,,,1.8,8.3,No precipitation,6,,,,
24.03.2020 02:00,10.3,636.4,759.1,,96,Wind blowing from the west,1,,,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,22.9,,,2500 or more  or no clouds.,,,1.6,9.7,12.0,12,,,,
23.03.2020 20:00,12.6,635.5,759.8,1.7,93,Wind blowing from the west-northwest,1,,13,90  or more  but not 100%,Mist. ,Shower(s).,Rain.,11.5,22.9,,,2500 or more  or no clouds.,,,5.0,11.5,12.0,12,,,,
23.03.2020 17:00,13.3,633.8,757.6,,82,Wind blowing from the north-west,2,,13,70 – 80%.,Shower(s) of hail  or of rain and hail. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,22.9,,,600-1000,,,3.2,10.3,12.0,6,,,,
23.03.2020 14:00,21.9,634.9,756.9,-2.7,53,Wind blowing from the east,1,,4,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,22.2,,,600-1000,,,12.0,11.9,No precipitation,12,,,,
23.03.2020 11:00,17.0,637.6,761.2,,63,Wind blowing from the east,2,,3,70 – 80%., ,,,11.5,22.2,,,600-1000,,,9.0,9.9,No precipitation,6,,,,
23.03.2020 08:00,11.8,637.3,761.2,0.7,89,Wind blowing from the west-northwest,1,,5,90  or more  but not 100%,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,22.2,,,2500 or more  or no clouds.,,,5.0,10.0,3.0,12,,,,
23.03.2020 05:00,11.9,636.6,759.2,,90,Wind blowing from the south-west,1,,5,,Mist. ,,,11.0,22.2,,,,,,7.0,10.3,No precipitation,6,,,,
23.03.2020 02:00,12.3,637.3,760.0,,87,Wind blowing from the north,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,22.2,,,2500 or more  or no clouds.,,,9.0,10.2,4.0,12,,,,
22.03.2020 20:00,16.0,635.5,759.1,1.7,70,Wind blowing from the north-northeast,1,,5,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,22.2,,,1000-1500,,,9.0,10.5,0.5,12,,,,
22.03.2020 17:00,20.6,633.8,755.9,,52,Wind blowing from the north-east,1,,,70 – 80%., ,,,,,,,1000-1500,,,11.0,10.4,,,,,,
22.03.2020 14:00,20.5,635.4,757.5,-2.1,47,Wind blowing from the east,2,,4,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,27.6,,,2500 or more  or no clouds.,,,10.0,8.8,No precipitation,12,,,,
22.03.2020 11:00,16.4,637.5,760.4,,64,Wind blowing from the north-northwest,2,,3,60%., ,,,11.0,,,,2500 or more  or no clouds.,,,8.0,9.6,No precipitation,6,,,,
22.03.2020 08:00,11.4,636.7,759.8,1.4,82,Wind blowing from the west,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,27.6,,,2500 or more  or no clouds.,,,7.0,8.4,No precipitation,12,,,,
22.03.2020 05:00,12.0,635.3,756.8,,81,Wind blowing from the north-west,1,,,, ,,,,,,,,,,8.0,8.8,,,,,,
22.03.2020 02:00,13.4,635.5,756.4,,74,Wind blowing from the west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,27.6,,,2500 or more  or no clouds.,,,10.0,8.9,No precipitation,12,,,,
21.03.2020 20:00,18.9,633.3,756.3,2.6,53,Wind blowing from the north-northeast,1,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,27.6,,,,,,15.0,9.1,No precipitation,12,,,,
21.03.2020 17:00,24.4,630.7,751.6,,34,Wind blowing from the north-northeast,2,,,50%., ,,,,,,,2500 or more  or no clouds.,,,20.0,7.5,,,,,,
21.03.2020 14:00,26.5,631.1,751.0,-1.4,17,Wind blowing from the west,5,,10,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,27.3,,,2500 or more  or no clouds.,,,30.0,-0.5,No precipitation,12,,,,
21.03.2020 11:00,23.0,632.5,753.3,,22,Wind blowing from the west-southwest,3,,9,10%  or less  but not 0, ,,,8.9,24.4,,,2500 or more  or no clouds.,,,14.0,0.2,No precipitation,6,,,,
21.03.2020 08:00,9.3,632.2,754.9,1.2,89,Wind blowing from the west-northwest,1,,3,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,24.4,,,,,,8.0,7.6,No precipitation,12,,,,
21.03.2020 05:00,10.8,631.0,752.0,,87,Wind blowing from the west-northwest,0,,,, ,,,,,,,,,,9.0,8.7,,,,,,
21.03.2020 02:00,13.9,631.6,752.3,,74,Wind blowing from the west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,24.4,,,2500 or more  or no clouds.,,,11.0,9.3,No precipitation,12,,,,
20.03.2020 20:00,19.3,631.0,754.2,0.9,49,Wind blowing from the east-southeast,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,24.4,,,,,,12.0,8.3,No precipitation,12,,,,
20.03.2020 17:00,23.9,630.1,752.1,,33,Wind blowing from the east-southeast,2,,,no clouds, ,,,,,,,,,,16.0,6.7,,,,,,
20.03.2020 14:00,22.7,632.5,754.9,-2.9,34,Wind blowing from the south-southeast,3,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,23.0,,,2500 or more  or no clouds.,,,16.0,6.0,No precipitation,12,,,,
20.03.2020 11:00,17.1,635.4,759.2,,50,Wind blowing from the south,2,,4,20–30%., ,,,5.6,17.8,,,2500 or more  or no clouds.,,,12.0,6.6,No precipitation,6,,,,
20.03.2020 08:00,6.4,635.2,760.5,0.4,89,Wind blowing from the north-west,1,,2,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.6,17.8,,,2500 or more  or no clouds.,,,8.0,4.7,No precipitation,12,,,,
20.03.2020 05:00,6.3,634.8,759.1,,87,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,8.0,4.3,,,,,,
20.03.2020 02:00,7.4,636.1,760.6,,82,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,17.8,,,2500 or more  or no clouds.,,,8.0,4.5,No precipitation,12,,,,
19.03.2020 20:00,13.6,636.3,761.3,,53,Wind blowing from the north-west,1,,4,no clouds, ,,,7.9,17.8,,,,,,15.0,4.2,No precipitation,6,,,,
19.03.2020 17:00,17.5,635.7,759.7,,37,Wind blowing from the south-east,1,,,90  or more  but not 100%, ,,,,,,,600-1000,,,23.0,2.7,,,,,,
19.03.2020 14:00,16.9,637.6,762.0,-2.2,39,Wind blowing from the north-northeast,1,,5,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,16.9,,,600-1000,,,26.0,2.9,No precipitation,12,,,,
19.03.2020 11:00,12.8,639.8,765.3,,49,Wind blowing from the north,1,,5,60%., ,,,7.9,13.5,,,2500 or more  or no clouds.,,,19.0,2.4,No precipitation,6,,,,
19.03.2020 08:00,8.5,638.9,765.0,0.6,68,Wind blowing from the north-west,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,13.5,,,2500 or more  or no clouds.,,,20.0,2.9,No precipitation,12,,,,
19.03.2020 05:00,8.2,638.3,764.0,,67,Wind blowing from the north-west,1,,,, ,,,,,,,,,,20.0,2.4,,,,,,
19.03.2020 02:00,9.2,639.3,764.9,,65,Wind blowing from the west,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,13.5,,,2500 or more  or no clouds.,,,19.0,3.0,No precipitation,12,,,,
18.03.2020 20:00,11.2,637.3,763.4,1.8,63,Wind blowing from the north-northwest,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,13.5,,,1000-1500,,,16.0,4.4,No precipitation,12,,,,
18.03.2020 17:00,12.7,635.5,761.0,,57,Wind blowing from the north,2,,,100%., ,,,,,,,1000-1500,,,27.0,4.2,,,,,,
18.03.2020 14:00,12.9,636.2,761.8,-1.7,55,Wind blowing from the east,2,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,13.0,,,1000-1500,,,20.0,4.1,No precipitation,12,,,,
18.03.2020 11:00,10.0,637.9,764.5,,70,Wind blowing from the east,1,,2,100%., ,,,6.2,10.1,,,1000-1500,,,11.0,4.8,No precipitation,6,,,,
18.03.2020 08:00,7.1,637.3,764.2,0.0,86,Wind blowing from the west,0,,2,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,10.1,,,2500 or more  or no clouds.,,,8.0,4.9,No precipitation,12,,,,
18.03.2020 05:00,6.8,637.3,763.9,,86,Wind blowing from the south-southeast,0,,,, ,,,,,,,,,,9.0,4.6,,,,,,
18.03.2020 02:00,6.9,639.1,766.1,,84,Wind blowing from the west,0,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.2,10.1,,,2500 or more  or no clouds.,,,10.0,4.4,No precipitation,12,,,,
17.03.2020 20:00,8.3,639.8,767.2,0.6,74,Wind blowing from the north-northwest,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,10.1,,,1000-1500,,,16.0,3.9,No precipitation,12,,,,
17.03.2020 17:00,10.0,639.2,766.0,,66,Wind blowing from the north,1,,,100%., ,,,,,,,600-1000,,,24.0,3.9,,,,,,
17.03.2020 14:00,9.0,640.6,767.8,-1.9,69,Wind blowing from the west-northwest,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,9.1,,,600-1000,,,23.0,3.6,No precipitation,12,,,,
17.03.2020 11:00,6.6,642.5,770.8,,83,Wind blowing from the north,1,,5,100%., ,,,6.4,,,,600-1000,,,29.0,3.8,No precipitation,6,,,,
17.03.2020 08:00,6.7,641.7,769.6,1.3,79,Wind blowing from the north-northwest,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,,,,300-600,,,30.0,3.3,No precipitation,12,,,,
17.03.2020 05:00,7.0,640.4,767.7,,82,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,24.0,4.1,,,,,,
17.03.2020 02:00,7.1,640.9,768.3,,86,Wind blowing from the south-west,0,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,10.7,,,2500 or more  or no clouds.,,,16.0,4.9,No precipitation,12,,,,
16.03.2020 20:00,8.1,640.0,767.3,2.1,83,Wind blowing from the north-northwest,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,10.7,,,600-1000,,,23.0,5.4,No precipitation,12,,,,
16.03.2020 17:00,9.0,637.9,764.6,,82,Wind blowing from the north-northeast,1,,5,100%., ,,,7.2,10.7,,,300-600,,,22.0,6.1,No precipitation,6,,,,
16.03.2020 14:00,9.1,637.7,764.3,-0.9,84,Wind blowing from the north-northeast,2,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,10.7,,,300-600,,,25.0,6.5,No precipitation,12,,,,
16.03.2020 11:00,9.4,638.6,765.1,,83,Wind blowing from the north,1,,2,100%., ,,,7.2,10.7,,,300-600,,,8.0,6.7,No precipitation,6,,,,
16.03.2020 08:00,7.3,637.3,763.9,1.0,94,Wind blowing from the north-east,1,,2,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Drizzle.,7.2,10.1,,,300-600,,,10.0,6.4,1.0,12,,,,
16.03.2020 05:00,7.3,636.3,762.7,,94,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,9.0,6.4,,,,,,
16.03.2020 02:00,7.7,637.0,763.3,,94,Wind blowing from the north,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,10.1,,,2500 or more  or no clouds.,,,8.0,6.8,2.0,12,,,,
15.03.2020 20:00,9.0,635.8,762.0,0.7,96,Wind blowing from the north-northeast,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,10.1,,,300-600,,,0.9,8.4,0.5,12,,,,
15.03.2020 17:00,9.0,635.1,761.2,,94,Wind blowing from the north-northeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,10.1,,,300-600,,,2.6,8.1,No precipitation,6,,,,
15.03.2020 14:00,9.8,636.4,762.4,-2.0,86,Wind blowing from the east,1,,,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,9.9,,,300-600,,,4.7,7.6,0.3,12,,,,
15.03.2020 11:00,8.8,638.4,765.0,,89,Wind blowing from the east-northeast,1,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,9.5,,,300-600,,,3.7,7.1,0.1,6,,,,
15.03.2020 08:00,7.6,637.9,764.5,-0.3,93,Wind blowing from the east-northeast,1,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,9.5,,,300-600,,,3.3,6.5,0.4,12,,,,
15.03.2020 05:00,7.5,638.2,765.0,,94,Wind blowing from the east-southeast,2,,5,,Mist. ,,,7.5,9.5,,,,,,2.2,6.6,0.2,6,,,,
15.03.2020 02:00,8.3,639.8,766.6,,90,Wind blowing from the east-southeast,1,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,9.5,,,2500 or more  or no clouds.,,,3.2,6.8,0.3,12,,,,
14.03.2020 20:00,9.3,639.8,766.8,0.5,87,Wind blowing from the east,1,,3,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,11.9,,,300-600,,,6.0,7.3,0.2,12,,,,
14.03.2020 17:00,9.1,639.3,766.1,,89,Wind blowing from the north-east,0,,,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,,,,300-600,,,5.0,7.4,0.2,6,,,,
14.03.2020 14:00,9.3,641.0,768.1,-1.4,84,Wind blowing from the east-northeast,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,,,,300-600,,,5.0,6.7,No precipitation,12,,,,
14.03.2020 11:00,8.8,642.4,769.3,,83,Wind blowing from the east,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,,,,300-600,,,5.0,6.1,No precipitation,6,,,,
14.03.2020 08:00,7.6,641.7,768.4,0.9,92,Wind blowing from the west-southwest,0,,4,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.5,14.1,,,300-600,,,3.2,6.4,0.8,12,,,,
14.03.2020 05:00,8.1,640.8,766.8,,88,Wind blowing from the north-northwest,1,,4,,Mist. ,,,7.8,14.1,,,,,,4.8,6.2,0.8,6,,,,
14.03.2020 02:00,8.3,642.2,768.7,,93,Wind blowing from the north-east,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,14.1,,,2500 or more  or no clouds.,,,2.5,7.2,0.8,12,,,,
13.03.2020 20:00,11.9,640.3,766.7,1.3,65,Wind blowing from the east-northeast,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,14.1,,,1000-1500,,,12.0,5.5,No precipitation,12,,,,
13.03.2020 17:00,13.8,639.0,764.6,,57,Wind blowing from the east-northeast,1,,,90  or more  but not 100%, ,,,,,,,,,,15.0,5.4,,,,,,
13.03.2020 14:00,12.7,640.3,766.4,-1.5,63,Wind blowing from the south,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.7,18.1,,,2500 or more  or no clouds.,,,13.0,5.8,Trace of precipitation,12,,,,
13.03.2020 11:00,9.1,641.8,768.9,,76,Wind blowing from the north,1,,4,100%., ,,,7.7,,,,300-600,,,8.0,5.1,No precipitation,6,,,,
13.03.2020 08:00,7.9,640.6,767.0,,84,Wind blowing from the west-southwest,1,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.8,18.1,,,300-600,,,9.0,5.4,Trace of precipitation,12,,,,
13.03.2020 05:00,7.9,638.8,763.5,,83,Wind blowing from the north,1,,6,, ,,,6.5,18.1,,,,,,12.0,5.2,No precipitation,6,,,,
13.03.2020 02:00,8.4,638.2,763.9,,88,Wind blowing from the north,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,18.1,,,2500 or more  or no clouds.,,,8.0,6.5,No precipitation,12,,,,
12.03.2020 20:00,11.9,634.9,760.5,2.9,76,Wind blowing from the north-northeast,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,18.1,,,1000-1500,,,15.0,7.8,No precipitation,12,,,,
12.03.2020 17:00,18.0,632.0,755.6,,55,Wind blowing from the east-southeast,1,,,no clouds, ,,,,,,,,,,13.0,8.8,,,,,,
12.03.2020 14:00,12.7,633.7,758.9,-2.3,65,Wind blowing from the east-southeast,1,,3,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,12.9,,,600-1000,,,12.0,6.3,No precipitation,12,,,,
12.03.2020 11:00,8.8,636.0,762.4,,79,Wind blowing from the east-northeast,1,,3,100%., ,,,6.4,8.9,,,600-1000,,,17.0,5.4,No precipitation,6,,,,
12.03.2020 08:00,6.8,635.7,762.5,0.5,90,Wind blowing from the east,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.9,,,,600-1000,,,28.0,5.3,0.4,12,,,,
12.03.2020 05:00,6.5,635.2,762.0,,89,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,29.0,4.8,,,,,,
12.03.2020 02:00,6.8,636.1,762.8,,88,Wind blowing from the north-west,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,8.8,,,2500 or more  or no clouds.,,,19.0,5.0,0.4,12,,,,
11.03.2020 20:00,7.3,633.2,759.8,1.2,92,Wind blowing from the north-northeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,8.8,,,300-600,,,5.0,6.1,0.2,12,,,,
11.03.2020 17:00,7.7,632.0,758.1,,93,Wind blowing from the north-northeast,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,9.1,,,300-600,,,4.0,6.6,0.2,6,,,,
11.03.2020 14:00,7.9,633.4,759.4,-2.9,92,Wind blowing from the east-northeast,1,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.8,9.3,,,300-600,,,3.9,6.7,0.7,12,,,,
11.03.2020 11:00,6.4,636.3,763.3,,94,Wind blowing from the east-northeast,1,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.5,9.3,,,300-600,,,2.9,5.5,0.3,6,,,,
11.03.2020 08:00,5.9,636.6,763.6,0.2,93,Wind blowing from the east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.1,9.3,,,300-600,,,8.0,4.9,0.5,12,,,,
11.03.2020 05:00,6.4,636.4,763.1,,92,Calm  no wind,0,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,2.9,9.3,,,,,,2.2,5.2,0.2,6,,,,
11.03.2020 02:00,7.3,637.2,764.0,,82,Wind blowing from the east-southeast,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,9.3,,,2500 or more  or no clouds.,,,10.0,4.4,No precipitation,12,,,,
10.03.2020 20:00,8.1,636.7,764.4,-0.4,71,Wind blowing from the south-east,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,9.3,,,600-1000,,,17.0,3.0,No precipitation,12,,,,
10.03.2020 17:00,8.9,637.1,764.6,,67,Wind blowing from the east-southeast,2,,,100%., ,,,,,,,600-1000,,,21.0,3.1,,,,,,
10.03.2020 14:00,8.1,639.7,767.9,-2.3,66,Wind blowing from the south-east,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,9.3,,,600-1000,,,24.0,2.1,2.0,12,,,,
10.03.2020 11:00,5.5,642.0,770.7,,76,Wind blowing from the west,1,,5,100%., ,,,2.9,,,,600-1000,,,30.0,1.6,0.1,6,,,,
10.03.2020 08:00,3.1,641.2,770.1,1.0,90,Wind blowing from the north-northeast,1,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.9,10.1,,,600-1000,,,19.0,1.6,6.0,12,,,,
10.03.2020 05:00,3.8,640.2,768.5,,90,Wind blowing from the north-west,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,3.4,10.1,,,,,,10.0,2.3,6.0,6,,,,
10.03.2020 02:00,3.5,640.6,769.0,,94,Wind blowing from the west-southwest,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.4,10.1,,,2500 or more  or no clouds.,,,4.4,2.6,4.0,12,,,,
09.03.2020 20:00,6.9,637.8,764.6,2.3,80,Wind blowing from the north-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.7,13.1,,,300-600,,,13.0,3.7,0.3,12,,,,
09.03.2020 17:00,7.9,635.5,761.5,,82,Wind blowing from the north-northeast,1,,,100%., ,,,,,,,300-600,,,13.0,5.0,,,,,,
