Local time in Hohhot,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 23:00,3.5,666.6,766.8,,26,Wind blowing from the north-west,3,,16,, ,,,-1.9,16.6,,,,,,30.0,-14.2,No precipitation,6,,,,
16.03.2020 20:00,9.5,666.3,766.8,2.0,16,Wind blowing from the north,3,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,16.6,,,,,,30.0,-15.1,No precipitation,12,,,,
16.03.2020 17:00,15.3,664.3,763.7,,8,Wind blowing from the north-northwest,6,,,no clouds, ,,,-1.9,16.6,,,,,,30.0,-18.8,No precipitation,6,,,,
16.03.2020 14:00,14.3,664.4,763.5,-2.4,14,Wind blowing from the south-southwest,5,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,14.3,,,,,,27.0,-12.8,No precipitation,12,,,,
16.03.2020 11:00,7.9,666.8,767.0,,22,Wind blowing from the south-southeast,1,,5,, ,,,-1.9,13.4,,,,,,19.0,-12.5,No precipitation,6,,,,
16.03.2020 08:00,0.1,666.7,767.2,,42,Wind blowing from the north-northeast,1,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.9,13.4,,,,,,18.0,-11.3,No precipitation,12,,,,
16.03.2020 05:00,-1.2,665.8,765.8,,42,Wind blowing from the north-west,2,,11,, ,,,-4.2,13.4,,,,,,30.0,-12.5,No precipitation,6,,,,
16.03.2020 02:00,1.3,665.8,765.6,,34,Wind blowing from the west-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,13.4,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
15.03.2020 23:00,3.9,666.3,766.7,,28,Wind blowing from the west-southwest,1,,11,, ,,,-4.2,13.4,,,,,,30.0,-13.0,No precipitation,6,,,,
15.03.2020 20:00,10.1,665.6,766.2,1.1,20,Wind blowing from the west-northwest,4,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,13.4,,,,,,30.0,-11.8,No precipitation,12,,,,
15.03.2020 17:00,13.1,664.5,764.5,,17,Wind blowing from the south-southwest,5,,,no clouds, ,,,-4.2,13.4,,,,,,26.0,-11.4,No precipitation,6,,,,
15.03.2020 14:00,11.8,666.0,766.1,-1.9,17,Wind blowing from the south-southwest,6,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,11.8,,,,,,30.0,-12.5,No precipitation,12,,,,
15.03.2020 11:00,6.0,667.9,769.0,,27,Wind blowing from the south,4,,6,no clouds, ,,,-4.2,8.3,,,,,,23.0,-11.6,No precipitation,6,,,,
15.03.2020 08:00,-1.3,668.0,770.0,1.0,47,Wind blowing from the south,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.2,8.3,,,,,,28.0,-11.4,No precipitation,12,,,,
15.03.2020 05:00,-2.2,667.0,768.4,,51,Wind blowing from the south-southwest,2,,11,, ,,,-6.5,8.3,,,,,,30.0,-11.2,No precipitation,6,,,,
15.03.2020 02:00,-0.4,666.9,768.0,0.1,35,Wind blowing from the west-southwest,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,8.3,,,2500 or more  or no clouds.,,,30.0,-14.3,No precipitation,12,,,,
14.03.2020 23:00,1.4,666.8,768.3,,29,Wind blowing from the north-west,1,,16,, ,,,-6.5,8.3,,,,,,30.0,-14.7,No precipitation,6,,,,
14.03.2020 20:00,4.4,667.0,769.3,0.8,23,Wind blowing from the west,2,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,8.3,,,,,,30.0,-14.9,No precipitation,12,,,,
14.03.2020 17:00,7.7,666.2,768.2,,19,Wind blowing from the north-west,6,,16,no clouds, ,,,-6.5,8.3,,,,,,30.0,-14.5,No precipitation,6,,,,
14.03.2020 14:00,7.4,667.0,768.4,,17,Wind blowing from the north-northwest,7,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,7.4,,,,,,30.0,-16.1,No precipitation,12,,,,
14.03.2020 08:00,-3.8,668.0,770.9,0.7,50,Wind blowing from the south-southeast,2,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,5.2,,,,,,19.0,-12.7,No precipitation,12,,,,
14.03.2020 05:00,-6.0,667.3,770.2,,47,Wind blowing from the north-northeast,1,,12,, ,,,-9.2,5.2,,,,,,27.0,-15.5,No precipitation,6,,,,
14.03.2020 02:00,-1.8,668.0,770.2,-1.1,28,Wind blowing from the south,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,5.2,,,2500 or more  or no clouds.,,,29.0,-17.9,No precipitation,12,,,,
13.03.2020 23:00,-2.5,669.1,772.3,,22,Wind blowing from the east-northeast,1,,14,, ,,,-9.2,5.2,,,,,,30.0,-21.3,No precipitation,6,,,,
13.03.2020 20:00,2.4,669.3,773.0,0.5,11,Wind blowing from the west-northwest,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,5.2,,,,,,30.0,-25.1,No precipitation,12,,,,
13.03.2020 17:00,4.4,668.8,772.3,,14,Wind blowing from the north-west,6,,14,no clouds, ,,,-9.2,5.2,,,,,,30.0,-20.8,No precipitation,6,,,,
13.03.2020 14:00,4.0,670.0,773.2,,14,Wind blowing from the west-northwest,5,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,5.0,,,,,,30.0,-21.1,No precipitation,12,,,,
13.03.2020 11:00,0.1,672.2,776.1,,20,Wind blowing from the south-southwest,4,,8,no clouds, ,,,-9.2,5.0,,,,,,30.0,-20.2,No precipitation,6,,,,
13.03.2020 08:00,-6.8,672.7,777.7,0.9,28,Wind blowing from the west,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,5.0,,,,,,30.0,-22.3,No precipitation,12,,,,
13.03.2020 05:00,-7.6,671.8,775.9,,29,Wind blowing from the north,3,,11,, ,,,-7.6,5.0,,,,,,30.0,-22.6,No precipitation,6,,,,
13.03.2020 02:00,-4.7,672.5,775.9,0.7,25,Wind blowing from the north-east,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.7,5.0,,,2500 or more  or no clouds.,,,30.0,-21.7,No precipitation,12,,,,
12.03.2020 23:00,-2.9,671.8,775.0,,22,Wind blowing from the north-northwest,4,,13,, ,,,-2.9,5.5,,,,,,30.0,-21.7,No precipitation,6,,,,
12.03.2020 20:00,-1.0,670.3,773.6,2.6,22,Wind blowing from the north,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,7.9,,,,,,30.0,-20.0,No precipitation,12,,,,
12.03.2020 17:00,3.3,667.7,769.7,,23,Wind blowing from the north,4,,13,20–30%., ,,,-1.0,11.3,,,600-1000,,,30.0,-15.9,No precipitation,6,,,,
12.03.2020 14:00,4.6,666.9,768.3,0.4,25,Wind blowing from the north,7,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.0,11.3,,,600-1000,,,30.0,-13.7,No precipitation,12,,,,
12.03.2020 11:00,3.5,666.5,767.2,,33,Wind blowing from the north,7,,13,20–30%., ,,,-1.0,11.3,,,2500 or more  or no clouds.,,,30.0,-11.3,No precipitation,6,,,,
12.03.2020 08:00,-0.3,665.7,766.6,1.9,40,Wind blowing from the north-northwest,5,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,11.3,,,,,,30.0,-12.3,No precipitation,12,,,,
12.03.2020 05:00,-0.1,663.8,763.7,,38,Wind blowing from the north,6,,13,, ,,,-7.3,11.3,,,,,,30.0,-12.7,No precipitation,6,,,,
12.03.2020 02:00,1.0,662.5,762.6,1.4,27,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,11.3,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
11.03.2020 23:00,5.6,661.1,761.0,,17,Wind blowing from the north-northwest,6,,13,, ,,,-7.3,11.3,,,,,,17.0,-17.5,No precipitation,6,,,,
11.03.2020 20:00,7.0,659.8,760.9,1.4,15,Wind blowing from the north-west,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,11.3,,,,,,27.0,-17.9,No precipitation,12,,,,
11.03.2020 17:00,10.9,658.4,758.8,,15,Wind blowing from the south-west,5,,10,90  or more  but not 100%, ,,,-7.3,10.9,,,,,,17.0,-14.7,No precipitation,6,,,,
11.03.2020 14:00,7.7,659.3,760.3,-1.6,22,Wind blowing from the south,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,7.7,,,,,,22.0,-12.7,No precipitation,12,,,,
11.03.2020 11:00,2.9,660.9,762.7,,26,Wind blowing from the east-southeast,2,,5,no clouds, ,,,-7.3,5.0,,,,,,16.0,-14.7,No precipitation,6,,,,
11.03.2020 08:00,-5.0,661.3,764.3,0.5,39,Wind blowing from the north-west,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,,,,,,,24.0,-16.8,No precipitation,12,,,,
11.03.2020 05:00,-6.9,660.8,763.0,,42,Wind blowing from the north-northwest,2,,11,, ,,,-7.7,5.0,,,,,,26.0,-17.9,No precipitation,6,,,,
11.03.2020 02:00,-6.0,662.0,764.1,-0.9,41,Wind blowing from the north-west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,5.0,,,2500 or more  or no clouds.,,,23.0,-17.1,No precipitation,12,,,,
10.03.2020 23:00,-4.2,662.9,765.8,,35,Wind blowing from the north-west,2,,12,, ,,,-7.7,5.0,,,,,,26.0,-17.4,No precipitation,6,,,,
10.03.2020 20:00,-2.2,663.2,766.8,,26,Wind blowing from the north-northwest,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,5.0,,,,,,23.0,-19.1,No precipitation,12,,,,
10.03.2020 17:00,3.9,663.3,765.9,,17,Wind blowing from the south-west,6,,12,no clouds, ,,,-7.7,5.0,,,,,,25.0,-18.9,No precipitation,6,,,,
10.03.2020 14:00,4.4,664.0,765.6,,19,Wind blowing from the south,7,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,4.4,,,,,,22.0,-17.2,No precipitation,12,,,,
10.03.2020 11:00,-0.9,666.4,769.3,,31,Wind blowing from the south,4,,13,no clouds, ,,,-7.7,3.4,,,,,,16.0,-15.9,No precipitation,6,,,,
10.03.2020 08:00,-6.0,666.4,770.2,0.3,28,Wind blowing from the north-west,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,3.4,,,,,,23.0,-21.6,No precipitation,12,,,,
10.03.2020 05:00,-7.3,666.1,769.3,,31,Wind blowing from the north-northwest,3,,13,, ,,,-7.3,3.4,,,,,,30.0,-21.6,No precipitation,6,,,,
10.03.2020 02:00,-2.0,667.1,769.4,,17,Wind blowing from the north-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,3.4,,,2500 or more  or no clouds.,,,30.0,-23.8,No precipitation,12,,,,
09.03.2020 20:00,-0.4,666.8,769.9,1.0,35,Wind blowing from the west-northwest,2,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,3.4,,,,,,19.0,-14.0,No precipitation,12,,,,
09.03.2020 17:00,3.1,665.8,768.0,,25,Wind blowing from the north-northwest,5,,15,70 – 80%., ,,,-3.1,3.4,,,600-1000,,,24.0,-15.0,No precipitation,6,,,,
09.03.2020 14:00,3.1,666.4,768.3,-1.4,27,Wind blowing from the north-northwest,5,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.1,6.8,,,600-1000,,,28.0,-14.1,No precipitation,12,,,,
09.03.2020 11:00,0.3,667.8,770.0,,40,Wind blowing from the north-northwest,6,,15,no clouds, ,,,-3.1,8.5,,,,,,30.0,-12.0,No precipitation,6,,,,
09.03.2020 08:00,-3.0,667.3,769.9,1.8,54,Wind blowing from the north,8,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.0,8.5,,,2500 or more  or no clouds.,,,30.0,-11.2,No precipitation,12,,,,
09.03.2020 05:00,-2.4,665.5,767.7,,53,Wind blowing from the north-northeast,3,,13,, ,,,-2.4,8.5,,,,,,30.0,-10.9,No precipitation,6,,,,
09.03.2020 02:00,-0.4,665.6,766.6,0.3,53,Wind blowing from the north,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.4,8.5,,,2500 or more  or no clouds.,,,30.0,-9.0,Trace of precipitation,12,,,,
08.03.2020 23:00,1.6,665.3,765.8,,54,Wind blowing from the north-northwest,5,,13,, ,,,-0.5,8.5,,,,,,30.0,-6.9,No precipitation,6,,,,
08.03.2020 20:00,2.7,664.3,765.5,2.1,68,Wind blowing from the north,2,,13,100%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,-0.5,8.5,,,2500 or more  or no clouds.,,,30.0,-2.6,Trace of precipitation,12,,,,
08.03.2020 17:00,3.0,662.2,763.0,,73,Wind blowing from the north,4,,13,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Drizzle.,-0.5,8.5,,,2500 or more  or no clouds.,,,24.0,-1.4,Trace of precipitation,6,,,,
08.03.2020 14:00,6.8,660.4,760.5,0.4,54,Wind blowing from the north,7,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-0.5,8.5,,,2500 or more  or no clouds.,,,29.0,-1.9,No precipitation,12,,,,
08.03.2020 11:00,7.2,660.0,760.0,,25,Wind blowing from the east,1,,,90  or more  but not 100%, ,,,-0.5,8.5,,,,,,15.0,-11.5,No precipitation,6,,,,
08.03.2020 08:00,2.0,659.4,760.1,0.7,30,Wind blowing from the north-northwest,3,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,29.0,-13.8,No precipitation,12,,,,
08.03.2020 05:00,1.7,658.7,758.0,,35,Wind blowing from the north-west,3,,5,, ,,,-7.6,8.5,,,,,,30.0,-12.1,No precipitation,6,,,,
08.03.2020 02:00,0.7,659.3,759.3,-0.2,44,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,8.5,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
07.03.2020 23:00,0.1,659.5,760.3,,44,Wind blowing from the north-west,4,,8,, ,,,-7.6,8.5,,,,,,28.0,-10.7,No precipitation,6,,,,
07.03.2020 20:00,1.0,659.2,761.5,-0.4,45,Wind blowing from the north-west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,8.5,,,,,,29.0,-9.6,No precipitation,12,,,,
07.03.2020 17:00,8.4,659.6,760.6,,26,Wind blowing from the south-west,3,,8,, ,,,-7.6,8.5,,,,,,30.0,-10.0,No precipitation,6,,,,
07.03.2020 14:00,6.1,661.4,762.6,-2.1,35,Wind blowing from the south,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,6.2,,,,,,30.0,-8.2,No precipitation,12,,,,
07.03.2020 11:00,2.4,663.5,765.4,,54,Wind blowing from the south-southeast,2,,6,no clouds, ,,,-7.6,6.0,,,,,,20.0,-6.0,No precipitation,6,,,,
07.03.2020 08:00,-5.6,663.7,766.8,0.3,74,Wind blowing from the north,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.6,6.0,,,,,,28.0,-9.5,No precipitation,12,,,,
07.03.2020 05:00,-6.8,663.4,766.0,,78,Wind blowing from the north-west,4,,11,, ,,,-6.9,6.0,,,,,,30.0,-10.0,No precipitation,6,,,,
07.03.2020 02:00,-3.8,664.1,766.8,0.0,69,Wind blowing from the west-northwest,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,6.0,,,2500 or more  or no clouds.,,,30.0,-8.8,1.0,12,,,,
06.03.2020 23:00,-2.1,664.1,765.7,,67,Wind blowing from the north-west,4,,13,, ,,,-2.2,6.0,,,,,,30.0,-7.4,0.1,6,,,,
06.03.2020 20:00,0.2,663.6,765.4,2.3,65,Wind blowing from the north,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,6.0,,,2500 or more  or no clouds.,,,30.0,-5.6,2.0,12,,,,
06.03.2020 17:00,3.4,661.3,762.4,,57,Wind blowing from the north-northwest,5,,13,20–30%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,-1.2,8.5,,,2500 or more  or no clouds.,,,30.0,-4.3,2.0,6,,,,
06.03.2020 14:00,0.7,660.5,761.9,0.1,90,Wind blowing from the north-northwest,2,,9,100%.,Rain and snow or ice pellets not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,8.7,,,2500 or more  or no clouds.,,,1.1,-0.7,0.7,12,,,,
06.03.2020 11:00,4.1,660.4,760.9,,54,Wind blowing from the south,1,,5,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.2,8.7,,,2500 or more  or no clouds.,,,7.0,-4.6,No precipitation,6,,,,
06.03.2020 08:00,0.2,659.8,760.8,0.5,62,Wind blowing from the north-northwest,2,,5,100%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,5.0,-6.4,No precipitation,12,,,,
06.03.2020 05:00,-0.6,659.3,759.1,,61,Wind blowing from the north-northwest,2,,6,, ,,,,,,,,,,9.0,-7.2,No precipitation,6,,,,
06.03.2020 02:00,-0.4,660.1,760.4,-0.6,59,Wind blowing from the north-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,8.7,,,2500 or more  or no clouds.,,,10.0,-7.6,No precipitation,12,,,,
05.03.2020 23:00,0.4,660.7,761.6,,55,Wind blowing from the north-west,4,,9,, ,,,-9.1,8.7,,,,,,8.0,-7.6,No precipitation,6,,,,
05.03.2020 20:00,1.9,660.7,763.0,,49,Wind blowing from the north-west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,8.7,,,,,,10.0,-7.9,No precipitation,12,,,,
05.03.2020 14:00,6.5,661.3,763.2,-1.9,32,Wind blowing from the south-southwest,6,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,6.5,,,,,,13.0,-9.0,No precipitation,12,,,,
05.03.2020 11:00,2.9,663.2,766.1,,20,Wind blowing from the south-east,2,,5,no clouds, ,,,-9.1,2.9,,,,,,23.0,-17.9,No precipitation,6,,,,
05.03.2020 08:00,-5.9,664.3,768.7,-0.8,35,Wind blowing from the north-west,4,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.5,,,,,,,30.0,-18.9,No precipitation,12,,,,
05.03.2020 05:00,-8.3,665.1,768.7,,40,Wind blowing from the north-northwest,4,,5,, ,,,-12.3,1.2,,,,,,30.0,-19.5,No precipitation,6,,,,
05.03.2020 02:00,-8.0,666.1,770.1,-0.9,38,Wind blowing from the north-northwest,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,1.2,,,2500 or more  or no clouds.,,,30.0,-19.8,No precipitation,12,,,,
04.03.2020 23:00,-7.8,667.0,771.8,,30,Wind blowing from the north-west,4,,7,, ,,,-12.3,1.2,,,,,,30.0,-22.4,No precipitation,6,,,,
04.03.2020 20:00,-5.1,667.5,773.5,-0.4,31,Wind blowing from the north-west,4,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,1.2,,,,,,30.0,-19.6,No precipitation,12,,,,
04.03.2020 17:00,1.1,667.9,772.6,,18,Wind blowing from the south-southwest,3,,7,no clouds, ,,,-12.3,1.2,,,,,,30.0,-20.6,No precipitation,6,,,,
04.03.2020 14:00,-0.3,669.3,774.3,-1.7,22,Wind blowing from the south-southwest,3,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.3,,,,,,30.0,-19.4,No precipitation,12,,,,
04.03.2020 11:00,-3.3,671.0,776.1,,28,Wind blowing from the south-southeast,2,,5,no clouds, ,,,-12.3,-1.3,,,,,,30.0,-19.2,No precipitation,6,,,,
04.03.2020 08:00,-11.5,671.2,777.9,,53,Wind blowing from the north-northeast,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-1.3,,,2500 or more  or no clouds.,,,30.0,-19.2,No precipitation,12,,,,
04.03.2020 05:00,-11.3,670.5,776.4,,52,Wind blowing from the north-west,3,,8,, ,,,-11.5,-1.3,,,,,,30.0,-19.2,No precipitation,6,,,,
04.03.2020 02:00,-10.3,670.3,775.9,0.5,49,Wind blowing from the north,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.3,-1.3,,,2500 or more  or no clouds.,,,30.0,-19.0,No precipitation,12,,,,
03.03.2020 23:00,-6.5,669.8,775.2,,41,Wind blowing from the north-northwest,4,,10,, ,,,-8.9,-1.3,,,,,,30.0,-17.6,No precipitation,6,,,,
03.03.2020 20:00,-5.9,669.8,775.6,0.9,43,Wind blowing from the north-east,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,-1.3,,,,,,30.0,-16.7,No precipitation,12,,,,
03.03.2020 17:00,-2.5,668.9,773.9,,29,Wind blowing from the north-west,4,,,90  or more  but not 100%, ,,,-8.9,1.1,,,2500 or more  or no clouds.,,,30.0,-18.1,No precipitation,6,,,,
03.03.2020 14:00,-2.2,669.0,773.8,-1.9,26,Wind blowing from the north,4,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,3.5,,,600-1000,,,30.0,-19.1,Trace of precipitation,12,,,,
03.03.2020 11:00,-5.4,670.9,776.2,,42,Wind blowing from the north-northwest,6,,15,no clouds, ,,,-8.9,,,,,,,30.0,-16.3,No precipitation,6,,,,
03.03.2020 08:00,-8.3,670.4,775.7,1.3,52,Wind blowing from the north,5,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,5.0,,,,,,30.0,-16.4,Trace of precipitation,12,,,,
03.03.2020 05:00,-8.3,669.1,773.4,,56,Wind blowing from the north-northwest,6,,14,, ,,,-8.9,5.0,,,,,,30.0,-15.7,No precipitation,6,,,,
03.03.2020 02:00,-7.4,669.1,772.6,0.7,55,Wind blowing from the north-northwest,5,,18,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,5.0,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
02.03.2020 23:00,-5.0,668.4,772.0,,47,Wind blowing from the north-west,6,,18,,Snow not falling as shower(s). ,,,-8.9,5.0,,,,,,30.0,-14.8,No precipitation,6,,,,
