Local time in Heyuan,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 02:00,18.0,758.8,765.1,,78,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,25.4,,,2500 or more  or no clouds.,,,29.0,14.1,No precipitation,12,,,,
16.03.2020 23:00,20.3,759.1,765.5,,57,Wind blowing from the south-southeast,2,,7,, ,,,16.2,25.4,,,,,,30.0,11.5,No precipitation,6,,,,
16.03.2020 20:00,23.0,758.5,764.8,,38,Wind blowing from the south-west,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,25.4,,,2500 or more  or no clouds.,,,30.0,7.9,No precipitation,12,,,,
16.03.2020 17:00,24.2,756.6,763.0,,42,Wind blowing from the west,2,,5,90  or more  but not 100%, ,,,16.2,25.4,,,,,,30.0,10.4,No precipitation,6,,,,
16.03.2020 14:00,24.2,757.5,763.9,-2.2,38,Wind blowing from the west-southwest,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.2,24.5,,,2500 or more  or no clouds.,,,30.0,9.0,No precipitation,12,,,,
16.03.2020 11:00,21.0,759.7,766.0,,57,Wind blowing from the west,2,,4,90  or more  but not 100%, ,,,16.2,24.5,,,,,,22.0,12.1,No precipitation,6,,,,
16.03.2020 08:00,16.6,759.7,766.1,,83,Wind blowing from the north-northeast,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.3,24.5,,,2500 or more  or no clouds.,,,21.0,13.7,No precipitation,12,,,,
16.03.2020 05:00,16.4,758.6,765.0,,86,Wind blowing from the east,2,,4,, ,,,12.4,24.5,,,,,,21.0,14.0,No precipitation,6,,,,
16.03.2020 02:00,17.1,758.5,764.9,,82,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,24.5,,,2500 or more  or no clouds.,,,22.0,14.0,No precipitation,12,,,,
15.03.2020 23:00,18.3,758.8,765.1,,73,Wind blowing from the south-southwest,1,,5,, ,,,12.4,24.5,,,,,,20.0,13.3,No precipitation,6,,,,
15.03.2020 20:00,20.1,757.1,763.6,0.8,47,Wind blowing from the north,0,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,24.5,,,1500-2000,,,23.0,8.4,No precipitation,12,,,,
15.03.2020 17:00,23.6,756.3,762.7,,32,Wind blowing from the west-northwest,1,,5,90  or more  but not 100%, ,,,12.4,24.5,,,,,,30.0,5.9,No precipitation,6,,,,
15.03.2020 14:00,23.4,757.3,763.7,,35,Wind blowing from the east,1,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,23.5,,,2500 or more  or no clouds.,,,30.0,7.0,No precipitation,12,,,,
15.03.2020 11:00,19.6,760.3,766.8,,47,Wind blowing from the north,2,,3,no clouds, ,,,12.4,22.3,,,,,,30.0,7.9,No precipitation,6,,,,
15.03.2020 08:00,14.3,760.5,766.9,1.1,80,Wind blowing from the east,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,22.3,,,,,,17.0,10.9,No precipitation,12,,,,
15.03.2020 05:00,13.1,759.4,765.9,,91,Wind blowing from the north-northeast,1,,8,, ,,,13.1,22.3,,,,,,16.0,11.6,No precipitation,6,,,,
15.03.2020 02:00,14.6,759.7,766.2,,80,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.6,22.3,,,2500 or more  or no clouds.,,,17.0,11.1,No precipitation,12,,,,
14.03.2020 23:00,17.2,760.2,766.6,,62,Wind blowing from the north-east,2,,12,, ,,,15.6,22.3,,,,,,24.0,9.8,No precipitation,6,,,,
14.03.2020 20:00,19.0,759.1,765.6,1.8,53,Wind blowing from the east-northeast,2,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,22.3,,,600-1000,,,26.0,9.2,No precipitation,12,,,,
14.03.2020 17:00,20.5,757.3,763.6,,56,Wind blowing from the north-east,4,,12,100%., ,,,15.6,22.9,,,600-1000,,,28.0,11.4,No precipitation,6,,,,
14.03.2020 14:00,21.5,757.3,763.6,-2.2,54,Wind blowing from the east-northeast,4,,12,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,23.5,,,600-1000,,,30.0,11.8,3.0,12,,,,
14.03.2020 11:00,19.5,759.5,766.0,,63,Wind blowing from the north-east,6,,11,40%., ,,,15.6,23.5,,,600-1000,,,30.0,12.2,No precipitation,6,,,,
14.03.2020 08:00,17.0,759.9,766.3,1.7,74,Wind blowing from the north-northeast,2,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,23.5,,,1500-2000,,,30.0,12.3,14.0,12,,,,
14.03.2020 05:00,16.3,758.2,764.5,,81,Wind blowing from the north-east,3,,7,, ,,,15.6,23.5,,,,,,30.0,13.0,8.0,6,,,,
14.03.2020 02:00,16.0,758.7,765.1,,99,Wind blowing from the east-northeast,2,,7,,Rain  not freezing  intermittent  heavy at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.0,23.5,,,2500 or more  or no clouds.,,,3.5,15.8,16.0,12,,,,
13.03.2020 23:00,17.9,757.8,764.2,,90,Wind blowing from the east-northeast,4,,7,,Rain (not freezing) not falling as shower(s). ,,,17.9,23.5,,,,,,30.0,16.2,11.0,6,,,,
13.03.2020 20:00,19.5,755.5,761.8,1.2,100,Wind blowing from the north-east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,23.5,,,600-1000,,,5.0,19.5,4.0,12,,,,
13.03.2020 17:00,22.9,754.3,760.6,,98,Wind blowing from the south-west,1,,3,100%., ,,,19.3,23.5,,,1500-2000,,,12.0,22.5,0.1,6,,,,
13.03.2020 14:00,23.0,754.9,761.2,,95,Wind blowing from the east-northeast,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.3,23.0,,,1500-2000,,,11.0,22.1,0.2,12,,,,
13.03.2020 11:00,22.2,756.7,763.1,,93,Wind blowing from the north-east,1,,,100%., ,,,18.5,22.2,,,600-1000,,,13.0,21.0,No precipitation,6,,,,
13.03.2020 08:00,20.1,756.1,762.4,1.1,99,Wind blowing from the north,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.9,,,600-1000,,,8.0,19.9,0.1,12,,,,
13.03.2020 05:00,19.5,755.0,761.4,,100,Wind blowing from the east-northeast,1,,3,, ,,,,20.9,,,,,,8.0,19.5,0.1,6,,,,
13.03.2020 02:00,19.5,755.7,762.1,0.0,99,Wind blowing from the south-east,0,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,20.9,,,2500 or more  or no clouds.,,,8.0,19.3,No precipitation,12,,,,
12.03.2020 23:00,19.9,755.7,762.1,,98,Wind blowing from the east-northeast,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.5,20.9,,,,,,8.0,19.5,No precipitation,6,,,,
12.03.2020 20:00,20.1,754.5,760.9,,97,Wind blowing from the east-northeast,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.4,20.9,,,600-1000,,,9.0,19.6,Trace of precipitation,12,,,,
12.03.2020 17:00,20.2,753.4,759.8,,91,Wind blowing from the east-northeast,2,,5,100%., ,,,16.4,20.9,,,1500-2000,,,13.0,18.6,No precipitation,6,,,,
12.03.2020 14:00,20.5,754.2,760.6,,84,Wind blowing from the west-southwest,2,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.4,20.8,,,1500-2000,,,18.0,17.7,Trace of precipitation,12,,,,
12.03.2020 11:00,18.5,756.2,762.7,,85,Wind blowing from the north-east,2,,,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.4,20.8,,,1500-2000,,,17.0,15.9,No precipitation,6,,,,
12.03.2020 08:00,17.0,756.3,762.7,0.5,96,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,12.0,16.3,No precipitation,12,,,,
12.03.2020 05:00,16.6,755.8,762.2,,99,Wind blowing from the north-northeast,2,,3,, ,,,13.4,20.8,,,,,,10.0,16.4,No precipitation,6,,,,
12.03.2020 02:00,16.6,756.8,763.2,-0.5,98,Wind blowing from the north-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,20.8,,,2500 or more  or no clouds.,,,10.0,16.2,1.0,12,,,,
11.03.2020 23:00,16.5,757.3,763.7,,99,Wind blowing from the east-northeast,2,,,, ,,,13.4,20.8,,,,,,12.0,16.3,1.0,6,,,,
11.03.2020 20:00,16.8,756.5,763.0,0.6,96,Wind blowing from the east-northeast,2,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,20.8,,,600-1000,,,17.0,16.1,1.0,12,,,,
11.03.2020 17:00,19.5,755.9,762.4,,62,Wind blowing from the south,1,,4,100%., ,,,13.4,20.8,,,600-1000,,,30.0,12.0,No precipitation,6,,,,
11.03.2020 14:00,20.3,757.1,763.6,-2.8,52,Wind blowing from the west,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,21.3,,,600-1000,,,30.0,10.1,No precipitation,12,,,,
11.03.2020 11:00,18.2,759.9,766.3,,52,Wind blowing from the east,2,,4,70 – 80%., ,,,13.4,21.6,,,600-1000,,,30.0,8.1,No precipitation,6,,,,
11.03.2020 08:00,14.5,759.8,766.3,,72,Wind blowing from the east,2,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,,,,,,,25.0,9.5,No precipitation,12,,,,
11.03.2020 05:00,14.1,758.1,764.5,,79,Wind blowing from the east,1,,11,, ,,,14.1,21.6,,,,,,29.0,10.5,No precipitation,6,,,,
11.03.2020 02:00,15.1,758.5,765.0,-0.7,67,Wind blowing from the east-northeast,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,21.6,,,2500 or more  or no clouds.,,,30.0,9.0,No precipitation,12,,,,
10.03.2020 23:00,15.9,759.2,765.7,,61,Wind blowing from the east-northeast,2,,13,, ,,,15.9,23.8,,,,,,30.0,8.4,No precipitation,6,,,,
10.03.2020 20:00,17.1,757.9,764.3,,55,Wind blowing from the east-northeast,3,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.1,24.3,,,,,,30.0,8.0,No precipitation,12,,,,
10.03.2020 17:00,20.0,756.5,762.9,,50,Wind blowing from the north-east,4,,13,no clouds, ,,,17.6,25.1,,,,,,30.0,9.2,No precipitation,6,,,,
10.03.2020 14:00,20.6,756.4,762.7,,50,Wind blowing from the east-northeast,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,25.6,,,,,,30.0,9.8,0.1,12,,,,
10.03.2020 11:00,19.0,757.3,763.7,,57,Wind blowing from the east-northeast,7,,11,no clouds, ,,,17.6,,,,,,,30.0,10.3,No precipitation,6,,,,
10.03.2020 08:00,17.7,756.1,762.4,1.8,71,Wind blowing from the east-northeast,5,,10,20–30%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,25.6,,,600-1000,,,30.0,12.3,11.0,12,,,,
10.03.2020 05:00,18.5,754.3,760.6,,74,Wind blowing from the east-northeast,4,,10,, ,,,18.5,25.6,,,,,,30.0,13.7,11.0,6,,,,
10.03.2020 02:00,19.6,753.5,759.8,,95,Wind blowing from the east-northeast,3,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.4,25.6,,,2500 or more  or no clouds.,,,30.0,18.7,11.0,12,,,,
09.03.2020 20:00,24.3,749.6,755.8,1.2,90,Wind blowing from the south-southwest,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.4,25.6,,,600-1000,,,23.0,22.5,Trace of precipitation,12,,,,
09.03.2020 17:00,25.1,748.4,754.6,,82,Wind blowing from the west-southwest,3,,9,100%., ,,,21.4,25.6,,,600-1000,,,30.0,21.8,No precipitation,6,,,,
09.03.2020 14:00,23.9,748.9,755.1,-1.8,89,Wind blowing from the west-southwest,3,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.4,27.1,,,600-1000,,,27.0,21.9,0.4,12,,,,
09.03.2020 11:00,22.1,750.7,757.0,,97,Wind blowing from the south-west,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.4,,,,600-1000,,,18.0,21.6,0.4,6,,,,
09.03.2020 08:00,21.7,750.4,756.6,0.9,95,Wind blowing from the west-southwest,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.0,27.2,,,600-1000,,,30.0,20.8,0.4,12,,,,
09.03.2020 05:00,21.6,749.5,755.7,,97,Wind blowing from the south-southwest,2,,6,, ,,,20.6,27.2,,,,,,18.0,21.1,No precipitation,6,,,,
09.03.2020 02:00,22.2,750.4,756.6,,93,Wind blowing from the south-west,2,,9,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,27.2,,,2500 or more  or no clouds.,,,27.0,21.0,No precipitation,12,,,,
08.03.2020 23:00,23.1,750.9,757.1,,84,Wind blowing from the west-southwest,2,,9,, ,,,20.5,27.2,,,,,,30.0,20.2,No precipitation,6,,,,
08.03.2020 20:00,23.9,750.0,756.2,1.1,77,Wind blowing from the south-west,1,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,27.2,,,600-1000,,,30.0,19.6,No precipitation,12,,,,
08.03.2020 17:00,25.2,748.9,755.2,,68,Wind blowing from the west-southwest,3,,9,100%., ,,,20.5,27.2,,,600-1000,,,30.0,18.8,No precipitation,6,,,,
08.03.2020 14:00,26.7,749.8,756.0,-3.4,64,Wind blowing from the west-southwest,4,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.5,27.2,,,600-1000,,,30.0,19.3,No precipitation,12,,,,
08.03.2020 11:00,23.3,753.2,759.5,,81,Wind blowing from the south-west,2,,5,100%., ,,,20.3,24.3,,,1000-1500,,,30.0,19.8,No precipitation,6,,,,
08.03.2020 08:00,21.0,753.1,759.4,,97,Wind blowing from the south,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1000-1500,,,24.0,20.5,No precipitation,12,,,,
08.03.2020 05:00,20.6,751.9,758.2,,98,Wind blowing from the south-southeast,1,,3,, ,,,18.7,24.3,,,,,,20.0,20.2,No precipitation,6,,,,
08.03.2020 02:00,21.3,752.9,759.2,-1.0,97,Wind blowing from the east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,24.3,,,2500 or more  or no clouds.,,,18.0,20.8,No precipitation,12,,,,
07.03.2020 23:00,20.8,753.9,760.2,,97,Wind blowing from the west,1,,5,, ,,,18.7,24.3,,,,,,15.0,20.3,No precipitation,6,,,,
07.03.2020 20:00,21.4,752.6,758.9,0.4,93,Wind blowing from the north-west,1,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,24.3,,,1500-2000,,,14.0,20.3,No precipitation,12,,,,
07.03.2020 17:00,23.7,752.2,758.5,,80,Wind blowing from the south-west,2,,5,90  or more  but not 100%, ,,,18.7,23.9,,,,,,28.0,20.0,No precipitation,6,,,,
07.03.2020 14:00,22.8,753.0,759.3,-2.8,78,Wind blowing from the south-west,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.7,22.9,,,2500 or more  or no clouds.,,,30.0,18.7,No precipitation,12,,,,
07.03.2020 11:00,20.3,755.8,762.2,,86,Wind blowing from the south-west,2,,4,100%., ,,,18.7,21.1,,,600-1000,,,22.0,17.8,No precipitation,6,,,,
07.03.2020 08:00,18.7,755.9,762.3,1.4,96,Wind blowing from the north-northeast,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.9,21.1,,,600-1000,,,18.0,18.0,No precipitation,12,,,,
07.03.2020 05:00,19.0,754.5,760.9,,88,Wind blowing from the south-southeast,1,,5,, ,,,,21.1,,,,,,27.0,16.9,No precipitation,6,,,,
07.03.2020 02:00,19.4,755.2,761.5,,85,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,21.1,,,2500 or more  or no clouds.,,,27.0,16.8,No precipitation,12,,,,
06.03.2020 23:00,19.9,755.9,762.3,,81,Wind blowing from the east-northeast,1,,5,, ,,,,21.1,,,,,,29.0,16.5,No precipitation,6,,,,
06.03.2020 20:00,20.6,755.7,762.1,0.8,74,Wind blowing from the south-west,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,21.1,,,600-1000,,,27.0,15.8,No precipitation,12,,,,
06.03.2020 17:00,20.9,754.9,761.2,,71,Wind blowing from the south-west,2,,5,100%., ,,,15.5,21.1,,,600-1000,,,30.0,15.4,No precipitation,6,,,,
06.03.2020 14:00,20.5,755.7,762.1,-2.3,70,Wind blowing from the west-southwest,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.5,20.5,,,600-1000,,,30.0,14.8,No precipitation,12,,,,
06.03.2020 11:00,19.6,758.0,764.5,,70,Wind blowing from the east-southeast,2,,3,90  or more  but not 100%, ,,,15.1,19.6,,,,,,30.0,13.9,No precipitation,6,,,,
06.03.2020 08:00,15.9,758.3,764.8,,95,Wind blowing from the north-northeast,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,2500 or more  or no clouds.,,,30.0,15.1,No precipitation,12,,,,
06.03.2020 05:00,15.8,757.3,763.7,,93,Wind blowing from the north-northeast,1,,6,, ,,,12.7,19.6,,,,,,30.0,14.6,No precipitation,6,,,,
06.03.2020 02:00,16.2,758.4,764.8,-0.6,86,Wind blowing from the north-east,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,19.6,,,2500 or more  or no clouds.,,,30.0,13.8,No precipitation,12,,,,
05.03.2020 23:00,16.6,759.0,765.4,,84,Wind blowing from the north-northeast,1,,6,, ,,,12.5,19.6,,,,,,30.0,13.8,No precipitation,6,,,,
05.03.2020 20:00,17.2,758.5,765.0,1.2,77,Wind blowing from the east-northeast,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,19.6,,,2500 or more  or no clouds.,,,30.0,13.1,0.1,12,,,,
05.03.2020 17:00,19.4,757.3,763.7,,65,Wind blowing from the east-northeast,2,,5,60%., ,,,12.5,19.6,,,600-1000,,,30.0,12.6,No precipitation,6,,,,
05.03.2020 14:00,17.9,758.4,764.8,-2.5,71,Wind blowing from the east-northeast,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,17.9,,,2500 or more  or no clouds.,,,30.0,12.5,0.1,12,,,,
05.03.2020 11:00,15.5,760.9,767.4,,76,Wind blowing from the east-northeast,2,,7,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,16.4,,,,,,30.0,11.2,0.1,6,,,,
05.03.2020 08:00,12.9,760.9,767.5,1.3,95,Wind blowing from the east,1,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,,,,600-1000,,,30.0,12.1,1.0,12,,,,
05.03.2020 05:00,12.9,759.6,766.1,,84,Wind blowing from the east-northeast,2,,7,,Rain (not freezing) not falling as shower(s). ,,,12.5,,,,,,,30.0,10.2,0.2,6,,,,
05.03.2020 02:00,13.0,759.6,766.1,,87,Wind blowing from the west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.5,16.7,,,2500 or more  or no clouds.,,,30.0,10.8,6.0,12,,,,
04.03.2020 23:00,12.8,760.0,766.6,,97,Wind blowing from the north-east,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,,,12.8,17.6,,,,,,30.0,12.3,4.0,6,,,,
04.03.2020 20:00,13.8,760.1,766.6,1.0,97,Wind blowing from the north-east,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.6,20.1,,,1500-2000,,,29.0,13.4,5.0,12,,,,
04.03.2020 17:00,13.7,759.1,765.6,,97,Wind blowing from the north-northeast,2,,10,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,20.5,,,1500-2000,,,8.0,13.2,2.0,6,,,,
04.03.2020 14:00,15.9,758.2,764.6,-1.6,77,Wind blowing from the east-northeast,3,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,,,,1500-2000,,,30.0,11.8,4.0,12,,,,
04.03.2020 11:00,15.8,759.8,766.3,,88,Wind blowing from the north,1,,6,100%., ,,,15.6,,,,1500-2000,,,30.0,13.8,0.1,6,,,,
04.03.2020 08:00,15.7,758.6,765.1,1.0,97,Wind blowing from the north-northeast,3,,7,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.6,21.4,,,1500-2000,,,30.0,15.2,10.0,12,,,,
04.03.2020 05:00,16.2,757.6,764.0,,100,Wind blowing from the east-northeast,2,,7,,Rain  not freezing  intermittent  slight at time of observation. ,,,16.1,21.4,,,,,,27.0,16.2,7.0,6,,,,
04.03.2020 02:00,16.7,758.1,764.5,-0.6,100,Wind blowing from the west-southwest,1,,7,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.7,21.4,,,2500 or more  or no clouds.,,,5.0,16.7,6.0,12,,,,
03.03.2020 23:00,17.6,758.7,765.1,,100,Wind blowing from the north-east,2,,7,,Rain  not freezing  intermittent  moderate at time of observation. ,,,17.6,21.4,,,,,,3.8,17.6,3.0,6,,,,
03.03.2020 20:00,20.1,757.2,763.6,,92,Wind blowing from the north-northwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,21.4,,,600-1000,,,26.0,18.7,0.2,12,,,,
03.03.2020 17:00,20.4,756.1,762.5,,89,Wind blowing from the west,1,,3,100%., ,,,17.6,21.4,,,600-1000,,,30.0,18.5,No precipitation,6,,,,
03.03.2020 14:00,21.2,756.5,762.9,-2.2,80,Wind blowing from the west-southwest,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,21.4,,,600-1000,,,26.0,17.6,0.9,12,,,,
03.03.2020 11:00,18.8,758.7,765.1,,95,Wind blowing from the east-southeast,1,,3,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.6,20.6,,,600-1000,,,15.0,17.9,0.9,6,,,,
03.03.2020 08:00,17.6,758.6,765.1,1.4,100,Wind blowing from the north,1,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,20.6,,,600-1000,,,3.4,17.6,0.7,12,,,,
03.03.2020 05:00,18.3,757.2,763.6,,93,Calm  no wind,0,,,, ,,,16.4,20.6,,,,,,23.0,17.1,No precipitation,6,,,,
