Local time in Suifenhe,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 17:00,-2.3,707.1,760.0,,47,Wind blowing from the west-northwest,4,,,20–30%., ,,,-8.5,-0.9,,,1000-1500,,,30.0,-12.1,No precipitation,6,,,,
16.03.2020 14:00,-1.5,707.5,760.3,-1.2,43,Wind blowing from the west-northwest,5,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,-1.2,,,600-1000,,,30.0,-12.7,No precipitation,12,,,,
16.03.2020 11:00,-3.3,708.7,761.8,,53,Wind blowing from the west,5,,14,60%., ,,,-8.5,-2.0,,,600-1000,,,30.0,-11.7,No precipitation,6,,,,
16.03.2020 08:00,-6.9,710.2,763.5,,73,Wind blowing from the west-northwest,5,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,-2.0,,,600-1000,,,27.0,-10.9,No precipitation,12,,,,
16.03.2020 05:00,-8.3,709.9,763.1,,79,Wind blowing from the west,6,,10,, ,,,-8.5,-2.0,,,,,,27.0,-11.3,No precipitation,6,,,,
16.03.2020 02:00,-8.2,709.9,763.1,,69,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,-2.0,,,2500 or more  or no clouds.,,,30.0,-12.9,No precipitation,12,,,,
15.03.2020 20:00,-5.7,709.8,763.0,1.4,43,Wind blowing from the north-west,2,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,-2.0,,,,,,30.0,-16.3,No precipitation,12,,,,
15.03.2020 17:00,-3.8,708.4,761.3,,29,Wind blowing from the north,3,,10,no clouds, ,,,-6.6,-2.0,,,,,,30.0,-19.2,No precipitation,6,,,,
15.03.2020 14:00,-2.6,706.5,759.1,1.0,40,Wind blowing from the north,4,,10,20–30%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,-0.2,,,600-1000,,,30.0,-14.6,0.6,12,,,,
15.03.2020 11:00,-3.6,705.5,758.1,,62,Wind blowing from the east,3,,10,, ,,,-6.6,0.1,,,,,,30.0,-10.0,0.6,6,,,,
15.03.2020 08:00,-5.5,704.0,756.5,1.8,70,Wind blowing from the east-northeast,4,,9,90  or more  but not 100%,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.6,0.1,,,2500 or more  or no clouds.,,,30.0,-10.1,0.6,12,,,,
15.03.2020 05:00,-6.0,702.2,754.6,,78,Wind blowing from the east,2,,4,,Intermittent fall of snowflakes  slight at time of observation. ,,,-10.6,0.1,,,,,,9.0,-9.2,No precipitation,6,,,,
15.03.2020 02:00,-5.8,701.5,753.6,,74,Wind blowing from the north-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,0.1,,,2500 or more  or no clouds.,,,30.0,-9.7,No precipitation,12,,,,
14.03.2020 20:00,-3.4,702.9,755.4,0.1,49,Wind blowing from the west-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,0.1,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
14.03.2020 17:00,-2.5,702.8,755.6,,55,Wind blowing from the west,2,,12,70 – 80%., ,,,-11.2,0.1,,,1000-1500,,,30.0,-10.5,No precipitation,6,,,,
14.03.2020 14:00,-0.4,702.4,754.9,-1.2,37,Wind blowing from the west,6,,12,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,0.1,,,600-1000,,,30.0,-13.3,No precipitation,12,,,,
14.03.2020 11:00,-1.2,703.6,756.1,,42,Wind blowing from the west,4,,9,40%., ,,,-11.2,-1.1,,,600-1000,,,30.0,-12.5,No precipitation,6,,,,
14.03.2020 08:00,-5.9,705.2,758.4,-0.8,47,Wind blowing from the west,3,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.2,-5.9,,,2500 or more  or no clouds.,,,30.0,-15.4,No precipitation,12,,,,
14.03.2020 05:00,-10.3,706.0,759.5,,55,Wind blowing from the west,2,,,, ,,,-12.8,-5.9,,,,,,30.0,-17.6,No precipitation,6,,,,
14.03.2020 02:00,-9.2,707.3,760.7,,48,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,-5.9,,,2500 or more  or no clouds.,,,30.0,-18.4,No precipitation,12,,,,
13.03.2020 20:00,-8.3,710.0,764.1,0.4,35,Wind blowing from the west,5,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,-4.7,,,,,,30.0,-21.1,No precipitation,12,,,,
13.03.2020 17:00,-7.0,709.6,763.6,,29,Wind blowing from the west,6,,19,no clouds, ,,,-12.8,-0.8,,,,,,30.0,-22.0,No precipitation,6,,,,
13.03.2020 14:00,-6.2,709.0,762.7,,33,Wind blowing from the west,7,,19,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,2.2,,,,,,30.0,-19.9,No precipitation,12,,,,
13.03.2020 11:00,-8.5,710.2,764.0,,42,Wind blowing from the west,7,,20,no clouds, ,,,-12.8,,,,,,,30.0,-19.1,No precipitation,6,,,,
13.03.2020 08:00,-11.0,709.8,763.4,,41,Wind blowing from the west,7,,20,no clouds,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.8,2.4,,,,,,30.0,-21.7,No precipitation,12,,,,
13.03.2020 05:00,-12.5,708.2,761.5,,45,Wind blowing from the west,10,,,, ,,,,,,,,,,30.0,-22.0,,,,,,
13.03.2020 02:00,-10.4,708.2,761.0,,39,Wind blowing from the west,10,,20,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.4,2.4,,,2500 or more  or no clouds.,,,30.0,-21.7,0.1,12,,,,
12.03.2020 20:00,-4.7,705.7,758.2,,73,Wind blowing from the west-northwest,8,,16,100%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,2.4,,,600-1000,,,30.0,-8.8,0.1,12,,,,
12.03.2020 17:00,-0.8,703.9,756.4,,55,Wind blowing from the west,6,,15,70 – 80%., ,,,-9.0,2.4,,,600-1000,,,30.0,-8.9,No precipitation,6,,,,
12.03.2020 14:00,2.1,703.4,755.6,-1.1,46,Wind blowing from the west,6,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,2.4,,,2500 or more  or no clouds.,,,30.0,-8.3,No precipitation,12,,,,
12.03.2020 11:00,2.4,704.5,756.5,,47,Wind blowing from the west,6,,12,90  or more  but not 100%, ,,,-9.0,2.4,,,,,,28.0,-7.8,No precipitation,6,,,,
12.03.2020 08:00,-2.0,705.7,758.2,-0.5,54,Wind blowing from the west-southwest,3,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,-1.2,,,2500 or more  or no clouds.,,,26.0,-10.1,No precipitation,12,,,,
12.03.2020 05:00,-7.8,706.2,759.1,,61,Wind blowing from the north-west,1,,11,, ,,,-9.0,-1.2,,,,,,30.0,-14.0,No precipitation,6,,,,
12.03.2020 02:00,-7.9,707.3,760.1,,62,Wind blowing from the west-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,-1.2,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
11.03.2020 20:00,-4.5,707.3,760.3,1.6,55,Wind blowing from the west,6,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,-1.2,,,,,,30.0,-12.2,No precipitation,12,,,,
11.03.2020 17:00,-2.9,705.7,758.5,,57,Wind blowing from the west,6,,14,20–30%., ,,,-8.2,-1.2,,,1000-1500,,,30.0,-10.4,No precipitation,6,,,,
11.03.2020 14:00,-1.5,704.3,756.9,0.3,45,Wind blowing from the west-northwest,7,,13,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,-1.5,,,600-1000,,,30.0,-11.9,No precipitation,12,,,,
11.03.2020 11:00,-3.5,704.0,756.7,,53,Wind blowing from the west-northwest,5,,12,90  or more  but not 100%, ,,,-8.2,-2.8,,,,,,30.0,-11.7,No precipitation,6,,,,
11.03.2020 08:00,-6.6,703.9,757.0,1.5,68,Wind blowing from the west-northwest,4,,11,90  or more  but not 100%,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,,,,2500 or more  or no clouds.,,,24.0,-11.5,0.5,12,,,,
11.03.2020 05:00,-7.8,702.4,755.2,,75,Wind blowing from the west-northwest,6,,11,,Intermittent fall of snowflakes  slight at time of observation. ,,,-8.3,-2.8,,,,,,12.0,-11.5,0.2,6,,,,
11.03.2020 02:00,-7.9,701.8,754.4,,78,Wind blowing from the west-northwest,5,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,-2.8,,,2500 or more  or no clouds.,,,30.0,-11.1,2.0,12,,,,
10.03.2020 20:00,-7.1,703.3,756.3,,89,Wind blowing from the north-west,2,,7,100%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,-2.8,,,600-1000,,,2.5,-8.7,1.0,12,,,,
10.03.2020 17:00,-5.2,703.7,756.7,,67,Wind blowing from the north-east,3,,7,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,-2.5,,,2500 or more  or no clouds.,,,6.0,-10.4,Trace of precipitation,6,,,,
10.03.2020 14:00,-3.2,704.8,757.5,-2.7,39,Wind blowing from the east,3,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,1.4,,,2500 or more  or no clouds.,,,30.0,-15.2,No precipitation,12,,,,
10.03.2020 11:00,-3.8,707.5,760.3,,42,Wind blowing from the east-southeast,4,,7,100%., ,,,-8.4,1.6,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,6,,,,
10.03.2020 08:00,-6.7,709.3,762.4,-1.2,53,Wind blowing from the east,3,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
10.03.2020 05:00,-8.1,710.5,763.6,,61,Wind blowing from the east,2,,,, ,,,-8.4,1.7,,,,,,30.0,-14.3,No precipitation,6,,,,
10.03.2020 02:00,-7.1,712.0,764.8,,64,Wind blowing from the east,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.1,1.7,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
09.03.2020 20:00,-4.6,713.5,766.2,0.5,64,Wind blowing from the east,2,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,1.7,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
09.03.2020 17:00,-2.5,713.0,765.6,,77,Wind blowing from the east,4,,9,100%., ,,,-2.5,1.7,,,1500-2000,,,30.0,-6.0,No precipitation,6,,,,
09.03.2020 14:00,1.2,712.3,764.5,-0.3,62,Wind blowing from the north-northeast,2,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,,,,2500 or more  or no clouds.,,,30.0,-5.3,0.2,12,,,,
09.03.2020 11:00,1.0,712.6,764.9,,74,Wind blowing from the north-northwest,3,,9,90  or more  but not 100%, ,,,-1.7,,,,,,,30.0,-3.1,0.2,6,,,,
09.03.2020 08:00,1.1,711.1,763.3,1.5,85,Wind blowing from the west-northwest,4,,9,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.7,,,,2500 or more  or no clouds.,,,18.0,-1.1,0.2,12,,,,
09.03.2020 05:00,-0.5,709.6,761.5,,91,Wind blowing from the west,4,,6,,Intermittent fall of snowflakes  slight at time of observation. ,,,-2.7,,,,,,,4.9,-1.8,No precipitation,6,,,,
09.03.2020 02:00,-0.7,709.6,761.1,,85,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,6.6,,,2500 or more  or no clouds.,,,15.0,-2.9,No precipitation,12,,,,
08.03.2020 20:00,-0.9,709.9,762.1,0.6,93,Wind blowing from the west-northwest,1,,7,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,6.6,,,2500 or more  or no clouds.,,,6.0,-1.9,No precipitation,12,,,,
08.03.2020 17:00,1.0,709.3,761.4,,82,Wind blowing from the east-southeast,3,,7,100%., ,,,-2.7,6.6,,,1500-2000,,,25.0,-1.7,No precipitation,6,,,,
08.03.2020 14:00,6.2,709.6,761.2,-1.8,47,Wind blowing from the south-southwest,2,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.7,6.6,,,2500 or more  or no clouds.,,,30.0,-4.3,No precipitation,12,,,,
08.03.2020 11:00,3.0,711.4,763.4,,61,Wind blowing from the west,2,,6,100%., ,,,-2.7,3.0,,,2500 or more  or no clouds.,,,30.0,-3.8,No precipitation,6,,,,
08.03.2020 08:00,-0.2,712.0,764.2,,75,Wind blowing from the west,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,1.1,,,1000-1500,,,23.0,-4.1,No precipitation,12,,,,
08.03.2020 05:00,-2.2,711.8,764.2,,84,Wind blowing from the west,2,,6,, ,,,-6.4,1.1,,,,,,22.0,-4.5,No precipitation,6,,,,
08.03.2020 02:00,-1.8,711.1,763.3,,82,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,1.1,,,2500 or more  or no clouds.,,,26.0,-4.5,No precipitation,12,,,,
07.03.2020 20:00,-0.2,710.5,763.0,0.7,81,Wind blowing from the west-southwest,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Rain.,-8.3,1.1,,,2500 or more  or no clouds.,,,20.0,-3.1,1.0,12,,,,
07.03.2020 17:00,0.5,709.8,762.4,,81,Wind blowing from the south-southwest,2,,,90  or more  but not 100%,Rain and snow or ice pellets not falling as shower(s). ,Rain and snow or other types of solid precipitation,Rain.,-8.3,1.1,,,,,,26.0,-2.5,0.6,6,,,,
07.03.2020 14:00,0.9,710.0,762.7,-1.1,77,Wind blowing from the south-southwest,3,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,-8.3,0.9,,,2500 or more  or no clouds.,,,30.0,-2.8,1.0,12,,,,
07.03.2020 11:00,-1.5,711.1,764.2,,87,Wind blowing from the south-southwest,1,,,100%.,Rain or drizzle and snow  slight. ,Snow and/or other types of solid precipitation,Rain.,-8.3,0.9,,,1000-1500,,,3.3,-3.4,0.8,6,,,,
07.03.2020 08:00,-3.7,711.7,765.0,0.0,67,Wind blowing from the north-northwest,1,,5,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,0.9,,,2500 or more  or no clouds.,,,23.0,-9.1,Trace of precipitation,12,,,,
07.03.2020 05:00,-6.3,711.7,765.0,,66,Wind blowing from the west,1,,8,, ,,,,0.9,,,,,,30.0,-11.6,No precipitation,6,,,,
07.03.2020 02:00,-7.7,712.0,765.1,,68,Wind blowing from the north-northwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.3,0.9,,,2500 or more  or no clouds.,,,26.0,-12.6,No precipitation,12,,,,
06.03.2020 20:00,-7.6,713.1,767.3,0.6,65,Wind blowing from the east,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.3,0.9,,,,,,30.0,-13.2,No precipitation,12,,,,
06.03.2020 17:00,-4.4,712.5,766.7,,54,Wind blowing from the east,5,,8,20–30%., ,,,-15.3,0.9,,,2500 or more  or no clouds.,,,30.0,-12.3,No precipitation,6,,,,
06.03.2020 14:00,-1.1,712.3,766.0,-1.0,47,Wind blowing from the east-southeast,4,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.3,0.9,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
06.03.2020 11:00,-2.0,713.3,766.9,,45,Wind blowing from the west-northwest,1,,4,20–30%., ,,,-15.3,-2.0,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,6,,,,
06.03.2020 08:00,-11.1,713.7,768.1,,76,Wind blowing from the north-west,2,,4,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.3,-2.5,,,2500 or more  or no clouds.,,,24.0,-14.5,No precipitation,12,,,,
06.03.2020 05:00,-14.8,713.1,767.4,,85,Wind blowing from the west-northwest,3,,5,, ,,,-14.8,-2.5,,,,,,21.0,-16.8,No precipitation,6,,,,
06.03.2020 02:00,-13.2,712.7,766.6,,82,Wind blowing from the north-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,-2.5,,,2500 or more  or no clouds.,,,24.0,-15.6,No precipitation,12,,,,
05.03.2020 20:00,-8.6,713.2,767.2,0.7,64,Wind blowing from the west-northwest,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,-2.5,,,,,,24.0,-14.2,No precipitation,12,,,,
05.03.2020 17:00,-5.0,712.5,766.2,,45,Wind blowing from the west-northwest,4,,9,10%  or less  but not 0, ,,,-9.8,-2.5,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,6,,,,
05.03.2020 14:00,-2.8,712.2,765.4,-0.7,44,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,-2.5,,,,,,30.0,-13.4,No precipitation,12,,,,
05.03.2020 11:00,-4.4,712.9,766.3,,55,Wind blowing from the west,5,,9,no clouds, ,,,-9.8,-4.3,,,,,,30.0,-12.1,No precipitation,6,,,,
05.03.2020 08:00,-8.1,713.2,767.0,0.8,79,Wind blowing from the west,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,-5.8,,,,,,26.0,-11.1,0.1,12,,,,
05.03.2020 05:00,-9.0,712.4,766.2,,79,Wind blowing from the west-northwest,4,,9,,Snow not falling as shower(s). ,,,-9.4,-5.8,,,,,,28.0,-12.0,0.1,6,,,,
05.03.2020 02:00,-7.5,711.9,765.5,,81,Wind blowing from the west-northwest,4,,8,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-5.8,,,2500 or more  or no clouds.,,,20.0,-10.3,1.0,12,,,,
04.03.2020 20:00,-6.8,711.9,765.7,0.8,89,Wind blowing from the north,2,,4,20–30%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-5.8,,,2500 or more  or no clouds.,,,19.0,-8.3,6.0,12,,,,
04.03.2020 17:00,-6.2,711.1,764.8,,89,Wind blowing from the north-northeast,2,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-5.2,,,2500 or more  or no clouds.,,,10.0,-7.7,4.0,6,,,,
04.03.2020 14:00,-6.4,711.4,765.1,-1.3,93,Wind blowing from the east-southeast,2,,5,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-3.9,,,2500 or more  or no clouds.,,,2.3,-7.3,7.0,12,,,,
04.03.2020 11:00,-7.2,712.7,766.6,,92,Wind blowing from the east-southeast,1,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-3.9,,,2500 or more  or no clouds.,,,3.0,-8.3,4.0,6,,,,
04.03.2020 08:00,-9.2,713.7,767.7,0.2,91,Wind blowing from the east,2,,,100%.,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.4,-3.9,,,600-1000,,,1.5,-10.4,4.0,12,,,,
04.03.2020 05:00,-9.1,713.5,767.3,,92,Wind blowing from the east,3,,6,,Snow not falling as shower(s). ,,,-10.4,-3.9,,,,,,2.5,-10.2,1.0,6,,,,
04.03.2020 02:00,-8.8,714.4,768.1,,92,Wind blowing from the east,2,,6,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,-3.9,,,2500 or more  or no clouds.,,,2.4,-9.9,1.0,12,,,,
03.03.2020 20:00,-7.0,716.5,770.7,-0.3,83,Wind blowing from the east,4,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,-3.9,,,2500 or more  or no clouds.,,,20.0,-9.5,No precipitation,12,,,,
03.03.2020 17:00,-5.2,716.8,770.9,,72,Wind blowing from the east,3,,6,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,-3.9,,,2500 or more  or no clouds.,,,30.0,-9.6,No precipitation,6,,,,
03.03.2020 14:00,-4.0,717.1,771.2,-0.9,66,Wind blowing from the east,2,,4,60%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,-1.9,,,1000-1500,,,26.0,-9.4,No precipitation,12,,,,
03.03.2020 11:00,-5.3,718.0,772.1,,68,Wind blowing from the east-southeast,2,,4,50%., ,,,-11.9,-1.9,,,600-1000,,,30.0,-10.3,No precipitation,6,,,,
03.03.2020 08:00,-9.4,718.6,773.0,0.3,92,Wind blowing from the north-west,1,,3,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.9,-1.9,,,2500 or more  or no clouds.,,,2.4,-10.5,No precipitation,12,,,,
03.03.2020 05:00,-10.0,718.3,772.7,,91,Wind blowing from the west-northwest,1,,4,,Mist. ,,,-11.9,-1.9,,,,,,7.0,-11.2,No precipitation,6,,,,
03.03.2020 02:00,-11.2,717.7,771.7,,90,Wind blowing from the north-west,1,,6,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.3,-1.9,,,2500 or more  or no clouds.,,,1.7,-12.5,4.0,12,,,,
02.03.2020 20:00,-7.1,717.0,771.1,1.3,92,Wind blowing from the east-southeast,0,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Rain.,-11.0,-1.9,,,600-1000,,,10.0,-8.2,5.0,12,,,,
02.03.2020 17:00,-6.2,715.7,769.9,,93,Wind blowing from the east,3,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Rain.,-11.0,-1.9,,,300-600,,,1.3,-7.1,3.0,6,,,,
02.03.2020 14:00,-2.5,714.5,768.1,-0.5,72,Wind blowing from the north-west,1,,4,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Rain.,-11.0,-1.9,,,600-1000,,,11.0,-7.0,0.1,12,,,,
02.03.2020 11:00,-3.6,715.0,768.8,,72,Wind blowing from the south-east,2,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.0,-2.8,,,,,,19.0,-7.9,Trace of precipitation,6,,,,
02.03.2020 08:00,-7.3,715.3,769.4,,90,Wind blowing from the west-northwest,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.4,-3.6,,,2500 or more  or no clouds.,,,6.0,-8.7,0.1,12,,,,
