Local time in Lenghu,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 11:00,-0.9,549.3,772.2,,20,Calm  no wind,0,,,, ,,,,,,,,,,23.0,-21.1,,,,,,
17.03.2020 08:00,-7.9,548.8,772.1,0.1,25,Wind blowing from the north-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.3,6.4,,,2500 or more  or no clouds.,,,27.0,-24.5,No precipitation,12,,,,
17.03.2020 05:00,-6.8,548.7,769.9,,24,Wind blowing from the north-northwest,3,,,, ,,,-13.3,6.4,,,,,,28.0,-24.0,No precipitation,6,,,,
17.03.2020 02:00,-6.8,549.2,771.7,-0.1,29,Wind blowing from the north-west,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.3,6.4,,,2500 or more  or no clouds.,,,25.0,-21.9,No precipitation,12,,,,
16.03.2020 23:00,-3.0,549.3,773.6,,19,Wind blowing from the north,3,,,, ,,,,,,,,,,24.0,-23.4,,,,,,
16.03.2020 20:00,2.7,548.2,773.6,0.0,12,Wind blowing from the west-northwest,6,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.3,6.4,,,2500 or more  or no clouds.,,,30.0,-23.9,No precipitation,12,,,,
16.03.2020 17:00,5.7,548.2,770.6,,12,Wind blowing from the west,3,,7,, ,,,-13.3,5.7,,,,,,24.0,-21.5,No precipitation,6,,,,
16.03.2020 14:00,3.6,549.3,772.2,-0.4,17,Wind blowing from the north-northeast,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.3,3.7,,,2500 or more  or no clouds.,,,19.0,-19.2,No precipitation,12,,,,
16.03.2020 11:00,-4.1,549.7,775.5,,20,Wind blowing from the south-east,2,,,, ,,,,,,,,,,21.0,-23.8,,,,,,
16.03.2020 08:00,-12.9,548.5,775.5,1.6,36,Wind blowing from the north-west,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.9,3.7,,,2500 or more  or no clouds.,,,21.0,-24.9,No precipitation,12,,,,
16.03.2020 05:00,-9.5,546.9,769.9,,32,Wind blowing from the north-west,1,,,, ,,,,,,,,,,21.0,-23.1,,,,,,
16.03.2020 02:00,-7.7,546.8,769.5,-0.1,32,Wind blowing from the north-northwest,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,3.7,,,2500 or more  or no clouds.,,,20.0,-21.5,No precipitation,12,,,,
15.03.2020 23:00,-5.5,546.9,770.2,,32,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,17.0,-19.6,,,,,,
15.03.2020 20:00,-0.2,545.6,768.7,1.0,15,Wind blowing from the west-northwest,5,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,3.7,,,2500 or more  or no clouds.,,,20.0,-23.7,No precipitation,12,,,,
15.03.2020 17:00,3.3,544.6,765.4,,10,Wind blowing from the west,6,,11,, ,,,-9.3,5.4,,,,,,23.0,-25.5,No precipitation,6,,,,
15.03.2020 14:00,2.0,545.4,766.6,-0.4,17,Wind blowing from the south-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,6.7,,,2500 or more  or no clouds.,,,21.0,-20.5,No precipitation,12,,,,
15.03.2020 11:00,-1.2,545.8,767.1,,16,Wind blowing from the north-northeast,4,,,, ,,,,,,,,,,15.0,-23.8,,,,,,
15.03.2020 08:00,-7.3,544.5,766.9,0.7,21,Wind blowing from the north-northeast,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.0,6.7,,,2500 or more  or no clouds.,,,17.0,-25.9,No precipitation,12,,,,
15.03.2020 05:00,-6.8,543.8,763.3,,20,Wind blowing from the north-west,3,,,, ,,,-15.1,6.7,,,,,,22.0,-26.0,No precipitation,6,,,,
15.03.2020 02:00,-6.0,544.1,763.4,-0.4,14,Wind blowing from the west,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,6.7,,,2500 or more  or no clouds.,,,17.0,-29.2,No precipitation,12,,,,
14.03.2020 23:00,-2.4,544.5,766.4,,9,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,17.0,-31.0,,,,,,
14.03.2020 20:00,0.1,543.9,769.8,0.0,9,Wind blowing from the west,7,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.1,6.7,,,2500 or more  or no clouds.,,,12.0,-29.1,No precipitation,12,,,,
14.03.2020 17:00,5.4,543.9,766.6,,4,Wind blowing from the north-west,3,,8,, ,,,-15.1,6.7,,,,,,30.0,-33.6,No precipitation,6,,,,
14.03.2020 14:00,5.1,546.1,768.9,-1.2,6,Wind blowing from the south-southeast,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.1,5.1,,,2500 or more  or no clouds.,,,30.0,-29.6,No precipitation,12,,,,
14.03.2020 11:00,-3.7,547.3,772.8,,15,Wind blowing from the north-northwest,2,,,, ,,,-15.1,3.6,,,,,,30.0,-26.6,No precipitation,6,,,,
14.03.2020 08:00,-15.0,547.3,775.0,0.3,32,Wind blowing from the south-southwest,1,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.8,3.6,,,2500 or more  or no clouds.,,,30.0,-28.0,No precipitation,12,,,,
14.03.2020 05:00,-13.4,547.0,772.4,,26,Wind blowing from the south-east,1,,6,, ,,,-17.6,3.6,,,,,,30.0,-28.9,No precipitation,6,,,,
14.03.2020 02:00,-11.6,547.8,773.3,,18,Wind blowing from the north-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,3.6,,,2500 or more  or no clouds.,,,23.0,-31.2,No precipitation,12,,,,
13.03.2020 23:00,-7.4,548.4,775.5,,14,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,25.0,-30.4,,,,,,
13.03.2020 20:00,-0.6,548.0,776.2,0.1,10,Wind blowing from the west-southwest,4,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.6,3.6,,,2500 or more  or no clouds.,,,23.0,-28.5,No precipitation,12,,,,
13.03.2020 17:00,2.3,547.9,774.7,,8,Wind blowing from the north-west,2,,6,, ,,,-17.6,3.0,,,,,,20.0,-28.7,No precipitation,6,,,,
13.03.2020 14:00,0.7,549.6,776.7,,12,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.6,0.8,,,2500 or more  or no clouds.,,,18.0,-25.5,No precipitation,12,,,,
13.03.2020 11:00,-5.9,550.4,779.7,,16,Wind blowing from the west,1,,,, ,,,,,,,,,,17.0,-27.7,,,,,,
13.03.2020 08:00,-15.6,549.8,781.4,0.9,39,Wind blowing from the south-southwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.6,-1.7,,,2500 or more  or no clouds.,,,20.0,-26.4,No precipitation,12,,,,
13.03.2020 05:00,-15.5,548.9,778.0,,41,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,20.0,-25.8,,,,,,
13.03.2020 02:00,-13.3,548.6,776.8,0.1,35,Wind blowing from the north-northwest,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.1,-1.7,,,2500 or more  or no clouds.,,,17.0,-25.5,No precipitation,12,,,,
12.03.2020 23:00,-10.4,548.5,776.5,,26,Wind blowing from the west,3,,,, ,,,,,,,,,,15.0,-26.2,,,,,,
12.03.2020 20:00,-5.8,547.6,774.2,,17,Wind blowing from the west-northwest,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,-1.7,,,2500 or more  or no clouds.,,,17.0,-27.0,No precipitation,12,,,,
12.03.2020 17:00,-1.7,546.7,769.9,,16,Wind blowing from the north-west,8,,16,, ,,,-7.9,2.5,,,,,,14.0,-24.3,No precipitation,6,,,,
12.03.2020 14:00,-2.4,546.7,769.8,,23,Wind blowing from the west-northwest,9,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,3.0,,,2500 or more  or no clouds.,,,11.0,-20.7,No precipitation,12,,,,
12.03.2020 11:00,-4.7,545.5,769.5,,29,Wind blowing from the west,10,,,,Dust or sand raised by wind at or near the station at the time of observation  but no well-developed dust whirl(s) or sand whirl(s)  and no duststorm or sandstorm seen, or  in the case of ships  blowing spray at the station. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.9,,,,,,,7.0,-20.0,No precipitation,6,,,,
12.03.2020 08:00,-7.3,543.6,767.2,0.9,31,Wind blowing from the west,6,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.5,3.0,,,2500 or more  or no clouds.,,,15.0,-21.6,No precipitation,12,,,,
12.03.2020 05:00,-5.0,542.7,762.3,,26,Wind blowing from the west-northwest,8,,16,, ,,,-14.3,3.0,,,,,,19.0,-21.6,No precipitation,6,,,,
12.03.2020 02:00,-4.2,543.0,762.4,-0.1,26,Wind blowing from the west,8,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.3,3.0,,,2500 or more  or no clouds.,,,20.0,-20.9,No precipitation,12,,,,
11.03.2020 23:00,-4.8,543.1,766.0,,20,Wind blowing from the west,7,,,, ,,,,,,,,,,18.0,-24.3,,,,,,
11.03.2020 20:00,-2.8,542.4,768.4,0.8,17,Wind blowing from the west-northwest,8,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.3,3.0,,,2500 or more  or no clouds.,,,22.0,-24.5,No precipitation,12,,,,
11.03.2020 17:00,2.5,541.6,764.4,,11,Wind blowing from the north-west,8,,14,, ,,,-14.3,3.0,,,,,,20.0,-25.0,No precipitation,6,,,,
11.03.2020 14:00,2.0,542.4,764.8,-1.1,13,Wind blowing from the west-northwest,5,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.3,2.1,,,2500 or more  or no clouds.,,,27.0,-23.6,No precipitation,12,,,,
11.03.2020 11:00,-4.6,543.5,767.4,,17,Wind blowing from the north,2,,,, ,,,,,,,,,,25.0,-26.0,,,,,,
11.03.2020 08:00,-13.3,542.7,768.3,,35,Wind blowing from the north-northwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.5,1.6,,,2500 or more  or no clouds.,,,30.0,-25.5,No precipitation,12,,,,
11.03.2020 05:00,-12.8,542.2,766.0,,26,Wind blowing from the south,1,,,, ,,,-17.5,1.6,,,,,,30.0,-28.3,No precipitation,6,,,,
11.03.2020 02:00,-10.9,542.9,766.5,-0.7,26,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.5,1.6,,,2500 or more  or no clouds.,,,30.0,-26.7,No precipitation,12,,,,
10.03.2020 23:00,-6.5,543.6,768.4,,25,Wind blowing from the north-west,4,,,, ,,,,,,,,,,29.0,-23.3,,,,,,
10.03.2020 20:00,-1.8,543.2,770.7,-1.0,13,Wind blowing from the west-northwest,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.5,1.6,,,2500 or more  or no clouds.,,,30.0,-26.6,No precipitation,12,,,,
10.03.2020 17:00,0.9,544.2,769.3,,11,Wind blowing from the south-west,4,,7,, ,,,-17.5,1.6,,,,,,28.0,-26.3,No precipitation,6,,,,
10.03.2020 14:00,0.0,545.9,770.5,-1.3,9,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.5,1.3,,,2500 or more  or no clouds.,,,30.0,-29.2,No precipitation,12,,,,
10.03.2020 11:00,-6.4,547.2,773.8,,18,Wind blowing from the east,1,,,, ,,,,,,,,,,30.0,-26.9,,,,,,
10.03.2020 08:00,-16.9,546.9,777.1,0.3,51,Wind blowing from the north,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.1,1.3,,,2500 or more  or no clouds.,,,30.0,-24.7,No precipitation,12,,,,
10.03.2020 05:00,-13.9,546.6,772.7,,20,Wind blowing from the north-west,2,,13,, ,,,-19.1,1.3,,,,,,30.0,-32.0,No precipitation,6,,,,
10.03.2020 02:00,-10.6,547.6,773.9,,22,Wind blowing from the north-northwest,2,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,1.3,,,2500 or more  or no clouds.,,,30.0,-28.2,No precipitation,12,,,,
09.03.2020 20:00,-3.9,547.2,778.3,-0.2,17,Wind blowing from the west,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.1,1.3,,,2500 or more  or no clouds.,,,27.0,-25.4,No precipitation,12,,,,
09.03.2020 17:00,1.0,547.4,775.3,,9,Wind blowing from the west-northwest,4,,9,, ,,,-19.1,1.0,,,,,,30.0,-28.4,No precipitation,6,,,,
09.03.2020 14:00,-1.9,548.5,776.1,-0.6,14,Wind blowing from the west-southwest,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.1,0.8,,,2500 or more  or no clouds.,,,24.0,-25.9,No precipitation,12,,,,
09.03.2020 11:00,-9.3,549.1,780.0,,46,Wind blowing from the north-east,1,,,, ,,,,,,,,,,17.0,-18.8,,,,,,
09.03.2020 08:00,-18.5,547.8,780.0,1.2,61,Wind blowing from the south-west,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.0,0.8,,,2500 or more  or no clouds.,,,24.0,-24.2,No precipitation,12,,,,
09.03.2020 05:00,-16.9,546.6,775.0,,62,Wind blowing from the south-west,1,,,, ,,,,,,,,,,26.0,-22.5,,,,,,
09.03.2020 02:00,-12.4,546.5,772.3,,61,Wind blowing from the west,7,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.4,0.8,,,2500 or more  or no clouds.,,,23.0,-18.4,No precipitation,12,,,,
08.03.2020 23:00,-11.1,546.0,772.7,,63,Wind blowing from the west,8,,,, ,,,,,,,,,,11.0,-16.9,,,,,,
08.03.2020 20:00,-5.7,545.0,771.4,1.3,44,Wind blowing from the west,6,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,1.7,,,2500 or more  or no clouds.,,,15.0,-16.0,No precipitation,12,,,,
08.03.2020 17:00,-0.7,543.7,765.6,,30,Wind blowing from the west,10,,,, ,,,,,,,,,,15.0,-16.1,,,,,,
08.03.2020 14:00,0.0,543.6,764.8,0.0,28,Wind blowing from the west,8,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,9.4,,,2500 or more  or no clouds.,,,22.0,-16.3,No precipitation,12,,,,
08.03.2020 11:00,-3.5,543.6,765.2,,38,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,23.0,-15.8,,,,,,
08.03.2020 08:00,-9.3,541.4,762.7,2.0,46,Wind blowing from the north-west,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,9.4,,,2500 or more  or no clouds.,,,26.0,-19.0,No precipitation,12,,,,
08.03.2020 05:00,-6.0,539.4,755.5,,33,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,30.0,-19.7,,,,,,
08.03.2020 02:00,-5.2,538.5,754.5,0.5,31,Wind blowing from the west-northwest,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,9.4,,,2500 or more  or no clouds.,,,27.0,-19.7,No precipitation,12,,,,
07.03.2020 23:00,-2.8,538.0,756.0,,24,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,14.0,-20.6,,,,,,
07.03.2020 20:00,1.8,536.2,755.2,1.0,16,Wind blowing from the north-west,5,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,9.4,,,2500 or more  or no clouds.,,,30.0,-21.4,No precipitation,12,,,,
07.03.2020 17:00,8.1,535.2,751.0,,8,Wind blowing from the west-southwest,5,,8,, ,,,-9.7,9.4,,,,,,30.0,-24.2,No precipitation,6,,,,
07.03.2020 14:00,6.8,537.0,753.1,-1.6,9,Wind blowing from the north-east,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.7,7.2,,,2500 or more  or no clouds.,,,30.0,-23.9,No precipitation,12,,,,
07.03.2020 11:00,-0.5,538.6,757.3,,18,Wind blowing from the north-east,4,,,, ,,,-9.7,6.3,,,,,,14.0,-21.9,No precipitation,6,,,,
07.03.2020 08:00,-8.8,539.1,759.7,-0.6,34,Wind blowing from the west-northwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.8,6.3,,,2500 or more  or no clouds.,,,23.0,-21.8,No precipitation,12,,,,
07.03.2020 05:00,-9.2,539.7,758.3,,43,Wind blowing from the east-southeast,1,,,, ,,,-13.8,6.3,,,,,,30.0,-19.5,No precipitation,6,,,,
07.03.2020 02:00,-6.8,540.4,759.1,-0.8,20,Wind blowing from the south,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.8,6.3,,,2500 or more  or no clouds.,,,30.0,-26.0,No precipitation,12,,,,
06.03.2020 23:00,-3.6,541.2,762.2,,17,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,30.0,-25.1,,,,,,
06.03.2020 20:00,1.1,540.8,764.0,-0.1,13,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.8,6.3,,,2500 or more  or no clouds.,,,26.0,-24.3,No precipitation,12,,,,
06.03.2020 17:00,5.9,540.9,760.2,,11,Wind blowing from the south-southeast,2,,7,, ,,,-13.8,6.1,,,,,,30.0,-22.4,No precipitation,6,,,,
06.03.2020 14:00,4.0,542.4,762.2,-1.0,13,Wind blowing from the east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.8,5.0,,,2500 or more  or no clouds.,,,30.0,-22.0,No precipitation,12,,,,
06.03.2020 11:00,-3.2,543.4,765.4,,25,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,24.0,-20.4,,,,,,
06.03.2020 08:00,-13.0,542.9,767.8,0.7,57,Wind blowing from the south-east,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-13.2,5.0,,,2500 or more  or no clouds.,,,30.0,-19.9,No precipitation,12,,,,
06.03.2020 05:00,-9.5,542.2,762.8,,44,Wind blowing from the north-northwest,3,,14,, ,,,-12.1,5.0,,,,,,30.0,-19.5,No precipitation,6,,,,
06.03.2020 02:00,-7.3,542.9,763.2,-0.2,44,Wind blowing from the north-west,2,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,5.0,,,2500 or more  or no clouds.,,,27.0,-17.5,No precipitation,12,,,,
05.03.2020 23:00,-3.9,543.1,765.8,,37,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,29.0,-16.5,,,,,,
05.03.2020 20:00,-0.6,542.2,766.0,0.4,33,Wind blowing from the west-northwest,7,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,5.0,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
05.03.2020 17:00,4.3,541.8,763.4,,18,Wind blowing from the west-northwest,9,,13,, ,,,-12.1,5.0,,,,,,24.0,-17.9,No precipitation,6,,,,
05.03.2020 14:00,3.3,542.6,764.4,-1.0,16,Wind blowing from the west,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.1,3.5,,,2500 or more  or no clouds.,,,30.0,-20.1,No precipitation,12,,,,
05.03.2020 11:00,-5.0,543.6,767.7,,27,Wind blowing from the north,2,,,, ,,,,,,,,,,21.0,-21.1,,,,,,
05.03.2020 08:00,-11.2,542.4,766.1,0.0,41,Wind blowing from the west-northwest,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.2,3.5,,,2500 or more  or no clouds.,,,30.0,-21.9,No precipitation,12,,,,
05.03.2020 05:00,-12.1,542.4,764.8,,37,Wind blowing from the east,1,,6,, ,,,-15.2,3.5,,,,,,30.0,-23.8,No precipitation,6,,,,
05.03.2020 02:00,-10.8,543.0,765.9,,35,Wind blowing from the west,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.2,3.5,,,2500 or more  or no clouds.,,,29.0,-23.3,No precipitation,12,,,,
04.03.2020 23:00,-6.4,543.6,768.1,,27,Wind blowing from the north-west,2,,,, ,,,,,,,,,,30.0,-22.3,,,,,,
04.03.2020 20:00,-0.3,543.3,769.3,0.0,21,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.2,3.5,,,2500 or more  or no clouds.,,,30.0,-20.0,No precipitation,12,,,,
04.03.2020 17:00,3.2,543.3,767.2,,16,Wind blowing from the north-west,2,,7,, ,,,-15.2,3.2,,,,,,26.0,-20.2,No precipitation,6,,,,
04.03.2020 14:00,1.6,545.1,770.1,-1.3,17,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.2,1.8,,,2500 or more  or no clouds.,,,9.0,-20.8,No precipitation,12,,,,
04.03.2020 11:00,-6.0,546.4,773.5,,27,Wind blowing from the west,1,,,, ,,,,,,,,,,21.0,-22.0,,,,,,
04.03.2020 08:00,-15.2,545.9,774.4,0.3,58,Wind blowing from the south-southwest,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.0,1.8,,,2500 or more  or no clouds.,,,24.0,-21.6,No precipitation,12,,,,
04.03.2020 05:00,-14.4,545.6,771.1,,39,Wind blowing from the south-southeast,1,,6,, ,,,-18.0,1.8,,,,,,30.0,-25.3,No precipitation,6,,,,
04.03.2020 02:00,-13.6,545.8,772.1,-0.5,23,Wind blowing from the south-east,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.0,1.8,,,2500 or more  or no clouds.,,,30.0,-30.3,No precipitation,12,,,,
03.03.2020 23:00,-9.2,546.3,774.3,,24,Wind blowing from the west,2,,,, ,,,,,,,,,,30.0,-26.1,,,,,,
03.03.2020 20:00,-3.2,546.2,775.3,-0.1,16,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.0,1.8,,,2500 or more  or no clouds.,,,30.0,-25.5,No precipitation,12,,,,
03.03.2020 17:00,1.8,546.3,772.3,,10,Wind blowing from the south-southwest,2,,7,, ,,,-18.0,2.2,,,,,,30.0,-26.6,No precipitation,6,,,,
03.03.2020 14:00,-0.4,547.6,772.5,-0.8,20,Wind blowing from the south-west,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.0,2.3,,,2500 or more  or no clouds.,,,30.0,-20.6,No precipitation,12,,,,
03.03.2020 11:00,-7.7,548.4,776.0,,43,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,28.0,-18.1,,,,,,
03.03.2020 08:00,-16.1,547.5,776.8,0.9,63,Wind blowing from the north-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.1,2.3,,,2500 or more  or no clouds.,,,30.0,-21.5,No precipitation,12,,,,
