Local time in Dengqen,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 17:00,-4.4,476.2,765.0,,65,Wind blowing from the north,2,,8,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1000-1500,,,2.9,-10.0,Trace of precipitation,6,,,,
16.03.2020 14:00,-2.9,476.6,764.0,-0.4,73,Wind blowing from the east-southeast,3,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,,,,2500 or more  or no clouds.,,,3.6,-7.2,1.0,12,,,,
16.03.2020 11:00,-2.8,477.0,762.1,,78,Wind blowing from the east-southeast,3,,11,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,10.0,,,,,,13.0,-6.1,No precipitation,6,,,,
16.03.2020 08:00,-3.5,475.6,760.0,1.0,86,Wind blowing from the east,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.7,10.0,,,2500 or more  or no clouds.,,,28.0,-5.5,1.0,12,,,,
16.03.2020 05:00,-2.5,474.6,754.6,,77,Wind blowing from the north-west,3,,12,,Rain  not freezing  intermittent  slight at time of observation. ,,,-2.7,10.0,,,,,,7.0,-6.1,1.0,6,,,,
16.03.2020 02:00,-1.6,474.6,753.7,0.8,78,Wind blowing from the west-northwest,6,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,10.0,,,2500 or more  or no clouds.,,,2.3,-4.9,Trace of precipitation,12,,,,
15.03.2020 23:00,2.2,473.8,751.2,,53,Wind blowing from the north-west,3,,13,, ,,,-1.8,10.0,,,,,,30.0,-6.4,Trace of precipitation,6,,,,
15.03.2020 20:00,3.0,473.1,754.7,0.6,52,Wind blowing from the west-northwest,3,,13,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,10.0,,,1000-1500,,,21.0,-6.1,Trace of precipitation,12,,,,
15.03.2020 17:00,7.9,472.5,748.9,,23,Wind blowing from the south,5,,13,100%., ,,,-1.8,10.3,,,1000-1500,,,30.0,-12.0,No precipitation,6,,,,
15.03.2020 14:00,8.7,473.8,749.9,-2.1,18,Wind blowing from the south,4,,13,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.8,11.3,,,1000-1500,,,30.0,-14.3,No precipitation,12,,,,
15.03.2020 11:00,6.8,475.9,753.1,,29,Wind blowing from the south-west,3,,13,60%., ,,,-1.8,11.3,,,1000-1500,,,30.0,-10.0,No precipitation,6,,,,
15.03.2020 08:00,-1.7,475.2,755.1,0.4,62,Wind blowing from the west,1,,15,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.0,11.3,,,1000-1500,,,21.0,-8.2,No precipitation,12,,,,
15.03.2020 05:00,1.7,474.8,750.9,,52,Wind blowing from the east-southeast,2,,15,, ,,,-4.3,11.3,,,,,,30.0,-7.3,No precipitation,6,,,,
15.03.2020 02:00,2.5,475.8,751.9,-0.8,52,Wind blowing from the west-southwest,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,11.3,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
14.03.2020 23:00,4.6,476.6,755.2,,43,Wind blowing from the north-west,3,,,, ,,,-4.6,11.3,,,,,,30.0,-6.9,No precipitation,6,,,,
14.03.2020 20:00,8.0,475.5,757.0,0.2,20,Wind blowing from the west,2,,10,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,11.3,,,2500 or more  or no clouds.,,,28.0,-13.6,No precipitation,12,,,,
14.03.2020 17:00,10.4,475.3,754.4,,16,Wind blowing from the east-southeast,3,,7,90  or more  but not 100%, ,,,-4.6,11.4,,,,,,26.0,-14.3,No precipitation,6,,,,
14.03.2020 14:00,10.4,477.4,756.4,-1.9,19,Wind blowing from the east-northeast,2,,5,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,11.4,,,1000-1500,,,30.0,-12.2,No precipitation,12,,,,
14.03.2020 11:00,5.2,479.3,761.2,,30,Wind blowing from the south-southeast,2,,3,90  or more  but not 100%, ,,,-4.6,11.4,,,,,,28.0,-11.0,No precipitation,6,,,,
14.03.2020 08:00,-3.9,478.8,763.3,0.9,55,Wind blowing from the north-west,2,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,11.4,,,1000-1500,,,30.0,-11.8,No precipitation,12,,,,
14.03.2020 05:00,-2.8,477.9,758.0,,44,Wind blowing from the west,1,,10,, ,,,-7.4,11.4,,,,,,30.0,-13.4,No precipitation,6,,,,
14.03.2020 02:00,-0.5,478.4,758.7,0.2,30,Wind blowing from the west,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,11.4,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
13.03.2020 23:00,1.6,478.2,760.4,,21,Wind blowing from the west-northwest,2,,11,, ,,,-7.4,11.4,,,,,,25.0,-18.4,No precipitation,6,,,,
13.03.2020 20:00,6.3,477.2,762.6,0.1,10,Wind blowing from the north-west,2,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,11.4,,,1000-1500,,,7.0,-23.1,No precipitation,12,,,,
13.03.2020 17:00,11.2,477.1,758.3,,5,Wind blowing from the north-west,5,,11,no clouds, ,,,-7.4,11.2,,,,,,30.0,-27.1,No precipitation,6,,,,
13.03.2020 14:00,9.1,479.0,761.5,,5,Wind blowing from the north-west,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,9.6,,,,,,30.0,-28.6,No precipitation,12,,,,
13.03.2020 11:00,3.6,480.3,764.8,,29,Wind blowing from the south-southeast,1,,3,no clouds, ,,,-7.4,9.6,,,,,,14.0,-12.8,No precipitation,6,,,,
13.03.2020 08:00,-7.0,479.3,766.8,,56,Wind blowing from the west,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,9.6,,,,,,30.0,-14.3,No precipitation,12,,,,
13.03.2020 05:00,-5.2,478.2,761.2,,44,Wind blowing from the west,1,,,, ,,,-5.2,9.6,,,,,,30.0,-15.6,No precipitation,6,,,,
13.03.2020 02:00,-3.5,478.1,760.8,0.7,36,Wind blowing from the north-west,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,9.6,,,2500 or more  or no clouds.,,,30.0,-16.4,No precipitation,12,,,,
12.03.2020 23:00,0.0,477.4,760.5,,23,Wind blowing from the east,1,,17,, ,,,-5.1,9.6,,,,,,17.0,-18.7,No precipitation,6,,,,
12.03.2020 20:00,5.0,476.1,760.4,0.8,13,Wind blowing from the north-west,3,,17,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,9.6,,,1000-1500,,,10.0,-21.2,No precipitation,12,,,,
12.03.2020 17:00,9.2,475.3,755.1,,8,Wind blowing from the north-west,5,,17,20–30%., ,,,-5.1,9.6,,,1000-1500,,,30.0,-23.4,No precipitation,6,,,,
12.03.2020 14:00,8.0,476.0,756.3,-0.3,8,Wind blowing from the west,7,,17,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,8.6,,,1000-1500,,,30.0,-24.3,No precipitation,12,,,,
12.03.2020 11:00,3.2,476.3,758.8,,31,Wind blowing from the south-west,1,,2,, ,,,-5.1,7.2,,,,,,13.0,-12.3,No precipitation,6,,,,
12.03.2020 08:00,-5.1,475.3,760.2,1.0,54,Wind blowing from the west,1,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.1,7.2,,,1000-1500,,,30.0,-13.0,No precipitation,12,,,,
12.03.2020 05:00,-2.7,474.3,755.2,,40,Wind blowing from the north-west,1,,11,, ,,,-3.2,7.2,,,,,,30.0,-14.7,No precipitation,6,,,,
12.03.2020 02:00,-1.6,474.6,755.8,0.1,33,Wind blowing from the north-west,1,,17,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,7.2,,,2500 or more  or no clouds.,,,30.0,-15.8,No precipitation,12,,,,
11.03.2020 23:00,-0.1,474.5,755.8,,23,Wind blowing from the east,1,,17,, ,,,-3.2,7.2,,,,,,13.0,-18.8,No precipitation,6,,,,
11.03.2020 20:00,3.4,473.3,755.8,1.1,15,Wind blowing from the north-west,5,,17,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,7.2,,,1000-1500,,,19.0,-20.8,No precipitation,12,,,,
11.03.2020 17:00,6.4,472.2,751.4,,7,Wind blowing from the west-northwest,6,,17,90  or more  but not 100%, ,,,-3.2,8.2,,,,,,30.0,-27.0,No precipitation,6,,,,
11.03.2020 14:00,5.3,473.1,753.4,-0.9,7,Wind blowing from the west,7,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.2,8.2,,,2500 or more  or no clouds.,,,30.0,-27.8,No precipitation,12,,,,
11.03.2020 11:00,3.3,474.0,755.8,,37,Wind blowing from the south-southeast,2,,4,70 – 80%., ,,,-3.2,8.2,,,1000-1500,,,18.0,-10.3,No precipitation,6,,,,
11.03.2020 08:00,-3.1,473.3,755.4,0.8,57,Wind blowing from the north-west,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,8.2,,,2500 or more  or no clouds.,,,26.0,-10.4,No precipitation,12,,,,
11.03.2020 05:00,-1.8,472.5,750.8,,54,Wind blowing from the east-northeast,1,,9,, ,,,-8.3,8.2,,,,,,30.0,-10.1,No precipitation,6,,,,
11.03.2020 02:00,-1.8,473.3,753.5,-0.4,33,Wind blowing from the west-southwest,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,8.2,,,2500 or more  or no clouds.,,,30.0,-16.0,No precipitation,12,,,,
10.03.2020 23:00,-1.5,473.7,757.8,,28,Wind blowing from the west-northwest,1,,12,, ,,,-8.3,8.2,,,,,,11.0,-17.6,No precipitation,6,,,,
10.03.2020 20:00,4.0,472.5,757.3,0.3,11,Wind blowing from the west-northwest,4,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,8.2,,,1000-1500,,,17.0,-23.9,No precipitation,12,,,,
10.03.2020 17:00,7.9,472.2,754.0,,7,Wind blowing from the west-northwest,4,,12,60%., ,,,-8.3,8.0,,,2500 or more  or no clouds.,,,30.0,-25.9,No precipitation,6,,,,
10.03.2020 14:00,5.7,473.9,756.6,-2.3,17,Wind blowing from the east,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.3,5.9,,,2500 or more  or no clouds.,,,30.0,-17.5,No precipitation,12,,,,
10.03.2020 11:00,-0.5,476.2,761.6,,25,Wind blowing from the south,1,,3,70 – 80%., ,,,-8.3,5.2,,,1000-1500,,,15.0,-18.1,No precipitation,6,,,,
10.03.2020 08:00,-8.1,475.6,764.6,0.4,51,Wind blowing from the west,1,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,5.2,,,2500 or more  or no clouds.,,,29.0,-16.5,No precipitation,12,,,,
10.03.2020 05:00,-7.7,475.2,762.0,,49,Wind blowing from the north-west,1,,9,, ,,,-9.1,5.2,,,,,,30.0,-16.6,No precipitation,6,,,,
10.03.2020 02:00,-5.3,475.6,760.4,,43,Wind blowing from the north-west,2,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,5.2,,,2500 or more  or no clouds.,,,30.0,-15.9,No precipitation,12,,,,
09.03.2020 20:00,0.3,474.6,763.7,0.3,18,Wind blowing from the west-southwest,1,,16,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,5.2,,,1000-1500,,,8.0,-21.3,No precipitation,12,,,,
09.03.2020 17:00,3.0,474.3,760.3,,11,Wind blowing from the north-west,6,,16,70 – 80%., ,,,-9.1,5.2,,,1000-1500,,,30.0,-24.6,No precipitation,6,,,,
09.03.2020 14:00,4.1,474.9,760.3,-0.8,10,Wind blowing from the west,6,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,4.8,,,1000-1500,,,30.0,-24.8,No precipitation,12,,,,
09.03.2020 11:00,-1.4,475.7,763.1,,28,Wind blowing from the west,1,,3,90  or more  but not 100%, ,,,-9.1,4.2,,,1000-1500,,,7.0,-17.6,No precipitation,6,,,,
09.03.2020 08:00,-9.1,474.6,763.4,0.0,57,Wind blowing from the north,0,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.1,4.2,,,1000-1500,,,30.0,-16.1,No precipitation,12,,,,
09.03.2020 05:00,-7.5,473.8,759.1,,51,Wind blowing from the north-west,2,,14,, ,,,-7.8,4.2,,,,,,30.0,-16.1,No precipitation,6,,,,
09.03.2020 02:00,-6.8,474.6,760.8,-0.2,46,Wind blowing from the west-northwest,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,4.2,,,2500 or more  or no clouds.,,,30.0,-16.7,No precipitation,12,,,,
08.03.2020 23:00,-3.9,474.8,760.6,,29,Wind blowing from the west,1,,16,, ,,,-4.0,4.2,,,,,,30.0,-19.3,No precipitation,6,,,,
08.03.2020 20:00,0.7,473.9,757.8,1.1,15,Wind blowing from the north-west,4,,16,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,4.2,,,1000-1500,,,10.0,-23.0,Trace of precipitation,12,,,,
08.03.2020 17:00,3.8,472.8,754.2,,20,Wind blowing from the west-northwest,6,,16,60%., ,,,-3.8,7.3,,,1000-1500,,,30.0,-17.1,No precipitation,6,,,,
08.03.2020 14:00,2.3,473.7,755.7,-0.3,20,Wind blowing from the north-west,7,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,7.9,,,1000-1500,,,30.0,-18.4,Trace of precipitation,12,,,,
08.03.2020 11:00,0.3,474.0,756.7,,58,Wind blowing from the west-southwest,1,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-3.8,,,,,,,24.0,-7.2,Trace of precipitation,6,,,,
08.03.2020 08:00,-2.1,472.7,753.9,1.1,61,Wind blowing from the west-northwest,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,7.9,,,1000-1500,,,30.0,-8.6,No precipitation,12,,,,
08.03.2020 05:00,-2.4,471.6,751.7,,48,Wind blowing from the west,1,,12,, ,,,-5.9,7.9,,,,,,30.0,-11.9,No precipitation,6,,,,
08.03.2020 02:00,-1.0,472.3,751.8,-0.5,41,Wind blowing from the south-east,1,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,7.9,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,12,,,,
07.03.2020 23:00,0.1,472.8,753.9,,36,Wind blowing from the south-west,1,,12,, ,,,-5.9,7.9,,,,,,21.0,-13.5,No precipitation,6,,,,
07.03.2020 20:00,3.8,471.5,754.2,-0.1,22,Wind blowing from the south-east,5,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,7.9,,,1000-1500,,,13.0,-16.0,No precipitation,12,,,,
07.03.2020 17:00,4.9,471.6,752.5,,23,Wind blowing from the west-southwest,3,,11,70 – 80%., ,,,-5.9,7.9,,,1000-1500,,,30.0,-14.5,No precipitation,6,,,,
07.03.2020 14:00,5.1,473.7,754.0,-2.4,22,Wind blowing from the west,2,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,5.3,,,2500 or more  or no clouds.,,,30.0,-14.9,No precipitation,12,,,,
07.03.2020 11:00,1.8,476.1,759.4,,32,Wind blowing from the south-east,2,,6,90  or more  but not 100%, ,,,-5.9,4.9,,,1000-1500,,,12.0,-13.1,No precipitation,6,,,,
07.03.2020 08:00,-5.6,475.6,762.3,0.8,68,Wind blowing from the west-southwest,0,,6,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.9,4.9,,,1000-1500,,,30.0,-10.6,No precipitation,12,,,,
07.03.2020 05:00,-3.6,474.8,758.5,,53,Wind blowing from the west-northwest,1,,7,, ,,,-7.4,4.9,,,,,,30.0,-12.0,No precipitation,6,,,,
07.03.2020 02:00,-0.8,475.2,757.6,0.4,43,Wind blowing from the west-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,4.9,,,2500 or more  or no clouds.,,,30.0,-11.8,No precipitation,12,,,,
06.03.2020 23:00,-0.2,474.8,758.9,,42,Wind blowing from the west-northwest,1,,7,, ,,,-7.4,4.9,,,,,,11.0,-11.6,No precipitation,6,,,,
06.03.2020 20:00,1.4,473.3,759.4,0.3,41,Wind blowing from the north-west,2,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,4.9,,,1000-1500,,,8.0,-10.7,No precipitation,12,,,,
06.03.2020 17:00,3.2,473.0,757.5,,36,Wind blowing from the east,1,,,90  or more  but not 100%, ,,,-7.4,4.6,,,1000-1500,,,30.0,-10.4,No precipitation,6,,,,
06.03.2020 14:00,3.1,474.8,759.4,-1.6,41,Wind blowing from the south,2,,5,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,3.6,,,2500 or more  or no clouds.,,,22.0,-8.9,Trace of precipitation,12,,,,
06.03.2020 11:00,-0.7,476.4,764.1,,55,Wind blowing from the west,1,,2,, ,,,-7.4,3.6,,,,,,21.0,-8.8,No precipitation,6,,,,
06.03.2020 08:00,-6.9,475.2,763.9,0.6,85,Wind blowing from the west-northwest,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,3.6,,,1000-1500,,,30.0,-9.1,3.0,12,,,,
06.03.2020 05:00,-6.5,474.6,762.8,,87,Wind blowing from the north-west,1,,8,, ,,,-9.0,3.6,,,,,,30.0,-8.4,2.0,6,,,,
06.03.2020 02:00,-4.9,475.4,760.9,0.1,86,Wind blowing from the north-west,1,,13,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,3.6,,,2500 or more  or no clouds.,,,2.6,-6.9,3.0,12,,,,
05.03.2020 23:00,-4.4,475.3,764.6,,89,Wind blowing from the west-northwest,1,,13,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,-9.0,3.6,,,,,,0.4,-5.9,1.0,6,,,,
05.03.2020 20:00,-0.9,474.0,763.3,0.7,60,Wind blowing from the east-northeast,1,,13,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,3.6,,,1000-1500,,,18.0,-7.7,Trace of precipitation,12,,,,
05.03.2020 17:00,-0.9,473.3,760.9,,69,Wind blowing from the north-west,6,,13,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,3.6,,,600-1000,,,5.0,-5.9,Trace of precipitation,6,,,,
05.03.2020 14:00,2.4,474.4,759.1,-1.7,37,Wind blowing from the south-southeast,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.0,2.5,,,1000-1500,,,27.0,-11.1,No precipitation,12,,,,
05.03.2020 11:00,-4.1,476.1,763.7,,61,Wind blowing from the west-southwest,1,,7,90  or more  but not 100%, ,,,-9.0,2.4,,,,,,11.0,-10.5,No precipitation,6,,,,
05.03.2020 08:00,-8.9,475.2,764.8,0.6,76,Wind blowing from the north-west,1,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,2.4,,,1000-1500,,,30.0,-12.4,No precipitation,12,,,,
05.03.2020 05:00,-7.0,474.6,762.1,,83,Wind blowing from the west-northwest,1,,8,, ,,,-9.2,2.4,,,,,,30.0,-9.4,No precipitation,6,,,,
05.03.2020 02:00,-4.5,475.0,760.3,0.4,86,Wind blowing from the south-west,0,,8,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,2.4,,,2500 or more  or no clouds.,,,4.7,-6.5,No precipitation,12,,,,
04.03.2020 23:00,-1.2,474.6,760.3,,53,Wind blowing from the west-northwest,3,,8,, ,,,,2.4,,,,,,30.0,-9.6,No precipitation,6,,,,
04.03.2020 20:00,-0.2,473.1,761.6,-0.1,57,Wind blowing from the west,2,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,2.4,,,1000-1500,,,6.0,-7.7,No precipitation,12,,,,
04.03.2020 17:00,0.5,473.2,760.8,,51,Wind blowing from the east-northeast,2,,8,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,2.4,,,600-1000,,,14.0,-8.5,No precipitation,6,,,,
04.03.2020 14:00,1.8,474.6,760.7,-2.0,33,Wind blowing from the north,1,,4,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,3.1,,,1000-1500,,,30.0,-12.8,No precipitation,12,,,,
04.03.2020 11:00,-2.4,476.6,765.1,,41,Wind blowing from the south-west,1,,3,, ,,,-9.2,3.1,,,,,,25.0,-13.9,No precipitation,6,,,,
04.03.2020 08:00,-9.1,475.8,766.6,0.3,68,Wind blowing from the north-west,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,3.1,,,2500 or more  or no clouds.,,,30.0,-13.9,No precipitation,12,,,,
04.03.2020 05:00,-8.4,475.5,764.2,,69,Wind blowing from the north-west,1,,10,, ,,,-9.9,3.1,,,,,,30.0,-13.1,No precipitation,6,,,,
04.03.2020 02:00,-6.0,475.7,762.5,0.2,60,Wind blowing from the north-northwest,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,3.1,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
03.03.2020 23:00,-3.8,475.5,764.1,,60,Wind blowing from the west-northwest,2,,11,, ,,,-9.9,3.1,,,,,,13.0,-10.6,No precipitation,6,,,,
03.03.2020 20:00,-1.1,474.6,765.0,1.1,47,Wind blowing from the west-northwest,5,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,3.1,,,1000-1500,,,11.0,-11.2,No precipitation,12,,,,
03.03.2020 17:00,0.8,473.5,760.8,,34,Wind blowing from the west,5,,11,100%., ,,,-9.9,3.1,,,1000-1500,,,25.0,-13.3,No precipitation,6,,,,
03.03.2020 14:00,1.6,474.6,760.1,-1.8,41,Wind blowing from the south,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.9,4.3,,,1000-1500,,,30.0,-10.5,No precipitation,12,,,,
03.03.2020 11:00,-3.4,476.4,765.3,,57,Wind blowing from the south-west,1,,4,50%., ,,,-9.9,4.3,,,1000-1500,,,13.0,-10.9,No precipitation,6,,,,
03.03.2020 08:00,-9.7,475.5,767.9,0.6,75,Wind blowing from the north-west,2,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.8,4.3,,,2500 or more  or no clouds.,,,30.0,-13.3,No precipitation,12,,,,
