Local time in Changbai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 11:00,-5.5,694.1,766.6,,53,Wind blowing from the south-southwest,2,,6,no clouds, ,,,-17.5,-1.0,,,,,,30.0,-13.7,No precipitation,6,,,,
16.03.2020 08:00,-13.6,696.1,769.6,,63,Wind blowing from the east-northeast,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-17.5,-1.0,,,,,,30.0,-19.2,No precipitation,12,,,,
16.03.2020 05:00,-17.3,696.4,769.9,,78,Wind blowing from the north-east,3,,8,, ,,,-17.3,-1.0,,,,,,30.0,-20.3,No precipitation,6,,,,
16.03.2020 02:00,-14.4,695.3,768.4,,82,Wind blowing from the north-east,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.4,-1.0,,,2500 or more  or no clouds.,,,30.0,-16.8,0.1,12,,,,
15.03.2020 20:00,-7.3,692.5,764.3,3.3,68,Wind blowing from the west-southwest,4,,13,60%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,-1.0,,,600-1000,,,30.0,-12.3,0.2,12,,,,
15.03.2020 17:00,-4.0,689.2,760.6,,49,Wind blowing from the west-southwest,2,,13,70 – 80%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,-0.3,,,600-1000,,,30.0,-13.3,0.2,6,,,,
15.03.2020 14:00,-4.3,686.8,757.9,1.5,70,Wind blowing from the north,5,,13,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,1.3,,,600-1000,,,3.2,-9.0,0.1,12,,,,
15.03.2020 11:00,-1.3,685.3,755.8,,26,Wind blowing from the north,3,,11,60%., ,,,-8.9,1.3,,,600-1000,,,30.0,-18.3,No precipitation,6,,,,
15.03.2020 08:00,-4.8,685.6,756.1,0.6,73,Wind blowing from the south-east,2,,5,20–30%.,Haze. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.3,1.3,,,600-1000,,,4.7,-9.0,0.8,12,,,,
15.03.2020 05:00,-7.5,685.0,755.5,,91,Wind blowing from the east-northeast,1,,8,, ,,,-18.9,1.3,,,,,,28.0,-8.8,0.8,6,,,,
15.03.2020 02:00,-7.1,684.9,755.1,,92,Wind blowing from the east-northeast,2,,12,,Snow not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,1.3,,,2500 or more  or no clouds.,,,2.9,-8.2,0.8,12,,,,
14.03.2020 20:00,-2.6,686.5,758.4,0.3,57,Wind blowing from the west-southwest,3,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.9,1.3,,,600-1000,,,30.0,-10.1,No precipitation,12,,,,
14.03.2020 17:00,-0.2,686.2,758.2,,40,Wind blowing from the west,3,,,20–30%., ,,,,,,,600-1000,,,30.0,-12.4,,,,,,
14.03.2020 14:00,0.8,686.2,757.7,-3.0,35,Wind blowing from the west-southwest,7,,11,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.9,1.0,,,600-1000,,,30.0,-12.9,No precipitation,12,,,,
14.03.2020 11:00,-5.4,689.2,761.5,,42,Wind blowing from the south,1,,5,60%., ,,,-18.9,-3.0,,,600-1000,,,30.0,-16.5,No precipitation,6,,,,
14.03.2020 08:00,-14.3,691.3,764.5,-0.8,58,Wind blowing from the east-northeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.9,-3.0,,,,,,30.0,-20.9,No precipitation,12,,,,
14.03.2020 05:00,-18.3,692.1,765.3,,75,Wind blowing from the north-east,2,,7,, ,,,-18.3,-3.0,,,,,,30.0,-21.7,No precipitation,6,,,,
14.03.2020 02:00,-15.9,693.3,766.3,,70,Wind blowing from the north-east,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.9,-3.0,,,2500 or more  or no clouds.,,,30.0,-20.2,No precipitation,12,,,,
13.03.2020 20:00,-8.2,694.7,767.6,1.0,39,Wind blowing from the north-northeast,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-2.6,,,,,,30.0,-19.9,No precipitation,12,,,,
13.03.2020 17:00,-4.0,693.7,766.2,,23,Wind blowing from the west,4,,11,no clouds, ,,,-14.6,-1.6,,,,,,30.0,-22.0,No precipitation,6,,,,
13.03.2020 14:00,-3.7,694.0,766.0,,28,Wind blowing from the west-southwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-0.6,,,,,,30.0,-19.5,No precipitation,12,,,,
13.03.2020 11:00,-5.8,695.3,767.2,,31,Wind blowing from the south-west,5,,,no clouds, ,,,-14.6,-0.6,,,,,,30.0,-20.2,No precipitation,6,,,,
13.03.2020 08:00,-9.9,696.6,769.0,,45,Wind blowing from the south-southwest,1,,15,20–30%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-0.6,,,2500 or more  or no clouds.,,,30.0,-19.8,No precipitation,12,,,,
13.03.2020 05:00,-12.4,695.3,767.7,,57,Wind blowing from the north,1,,15,, ,,,-13.0,-0.6,,,,,,30.0,-19.3,No precipitation,6,,,,
13.03.2020 02:00,-8.5,694.9,767.0,,43,Wind blowing from the south-west,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.6,,,2500 or more  or no clouds.,,,30.0,-19.0,0.5,12,,,,
12.03.2020 20:00,-3.2,693.0,764.9,,73,Wind blowing from the west,3,,10,70 – 80%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.6,,,600-1000,,,30.0,-7.4,5.0,12,,,,
12.03.2020 17:00,-1.6,691.0,762.9,,82,Wind blowing from the west-southwest,4,,10,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.6,,,600-1000,,,30.0,-4.3,4.0,6,,,,
12.03.2020 14:00,-3.7,690.6,762.6,-0.9,91,Wind blowing from the west-southwest,1,,5,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.6,,,600-1000,,,2.8,-4.9,4.0,12,,,,
12.03.2020 11:00,-5.9,691.5,763.6,,86,Wind blowing from the south-west,1,,6,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.6,,,600-1000,,,2.3,-7.9,0.9,6,,,,
12.03.2020 08:00,-9.3,692.4,764.5,-0.1,73,Wind blowing from the east-northeast,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.3,-0.6,,,600-1000,,,30.0,-13.3,No precipitation,12,,,,
12.03.2020 05:00,-12.1,692.5,764.5,,82,Wind blowing from the north-east,2,,6,, ,,,-12.3,-0.6,,,,,,30.0,-14.6,No precipitation,6,,,,
12.03.2020 02:00,-11.4,692.8,764.9,,83,Wind blowing from the north-east,2,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.5,-0.6,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
11.03.2020 20:00,-5.6,691.6,763.2,0.9,65,Wind blowing from the north-northeast,3,,13,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,-0.6,,,600-1000,,,30.0,-11.2,Trace of precipitation,12,,,,
11.03.2020 17:00,-1.5,690.7,761.8,,48,Wind blowing from the west-southwest,3,,13,50%., ,,,-7.3,1.0,,,600-1000,,,30.0,-11.3,No precipitation,6,,,,
11.03.2020 14:00,-2.3,689.8,760.7,0.2,56,Wind blowing from the west-southwest,5,,13,70 – 80%.,Shower(s) of snow  or of rain and snow. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,3.3,,,600-1000,,,25.0,-10.0,0.7,12,,,,
11.03.2020 11:00,-3.5,689.6,760.6,,65,Wind blowing from the west-southwest,7,,13,70 – 80%., ,,,-7.3,,,,600-1000,,,30.0,-9.2,0.3,6,,,,
11.03.2020 08:00,-6.2,689.3,760.3,1.6,82,Wind blowing from the south-southwest,3,,8,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.3,4.0,,,600-1000,,,6.0,-8.8,0.7,12,,,,
11.03.2020 05:00,-7.0,687.7,758.2,,86,Wind blowing from the south-west,3,,10,,Intermittent fall of snowflakes  slight at time of observation. ,,,-7.0,4.0,,,,,,4.1,-9.0,0.4,6,,,,
11.03.2020 02:00,-5.7,687.1,757.0,,71,Wind blowing from the south-southwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.5,4.0,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
10.03.2020 20:00,-2.4,686.9,756.7,,58,Wind blowing from the north-northwest,2,,10,100%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Rain.,-2.4,4.0,,,600-1000,,,30.0,-9.7,0.4,12,,,,
10.03.2020 17:00,1.1,684.7,754.0,,60,Wind blowing from the south-west,4,,10,no clouds,Snow not falling as shower(s). ,Rain and snow or other types of solid precipitation,Rain.,0.1,5.1,,,,,,30.0,-5.9,0.2,6,,,,
10.03.2020 14:00,3.0,683.5,752.2,-2.1,86,Wind blowing from the south-west,2,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,0.1,6.8,,,600-1000,,,27.0,0.9,0.8,12,,,,
10.03.2020 11:00,3.4,685.6,754.4,,83,Wind blowing from the south-southwest,1,,3,no clouds,Rain  not freezing  intermittent  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,0.1,7.0,,,,,,7.0,0.8,0.4,6,,,,
10.03.2020 08:00,0.9,687.3,756.3,-0.7,97,Wind blowing from the east-northeast,1,,3,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Rain and snow or other types of solid precipitation,Rain.,-2.8,7.0,,,600-1000,,,2.4,0.5,0.6,12,,,,
10.03.2020 05:00,0.1,688.0,757.0,,98,Wind blowing from the north-east,0,,7,,Snow not falling as shower(s). ,,,-6.1,7.0,,,,,,2.9,-0.2,0.4,6,,,,
10.03.2020 02:00,0.4,689.9,758.8,,96,Wind blowing from the north-east,2,,7,,Snow not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,7.0,,,2500 or more  or no clouds.,,,4.1,-0.1,0.2,12,,,,
09.03.2020 20:00,3.6,691.9,761.8,1.0,73,Wind blowing from the east,1,,7,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,7.0,,,600-1000,,,30.0,-0.9,No precipitation,12,,,,
09.03.2020 17:00,5.1,690.9,761.0,,57,Wind blowing from the west-southwest,1,,3,70 – 80%., ,,,-6.1,7.0,,,2500 or more  or no clouds.,,,30.0,-2.9,No precipitation,6,,,,
09.03.2020 14:00,6.6,691.0,760.8,-2.3,45,Wind blowing from the west-southwest,2,,3,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,8.0,,,2500 or more  or no clouds.,,,30.0,-4.7,No precipitation,12,,,,
09.03.2020 11:00,3.5,693.3,763.4,,55,Wind blowing from the south-southwest,1,,3,20–30%., ,,,-6.1,8.0,,,2500 or more  or no clouds.,,,15.0,-4.8,No precipitation,6,,,,
09.03.2020 08:00,-2.8,694.8,765.4,0.8,73,Wind blowing from the north-east,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.1,8.0,,,,,,30.0,-7.0,No precipitation,12,,,,
09.03.2020 05:00,-6.1,694.0,764.5,,89,Wind blowing from the north-east,1,,,, ,,,-7.7,8.0,,,,,,30.0,-7.7,No precipitation,6,,,,
09.03.2020 02:00,-4.7,693.7,763.6,,88,Wind blowing from the north-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,8.0,,,2500 or more  or no clouds.,,,30.0,-6.4,No precipitation,12,,,,
08.03.2020 20:00,0.5,693.0,763.7,1.0,74,Wind blowing from the north-east,1,,,60%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,8.0,,,2500 or more  or no clouds.,,,30.0,-3.7,No precipitation,12,,,,
08.03.2020 17:00,5.3,692.0,762.3,,57,Calm  no wind,0,,,60%., ,,,-7.7,8.0,,,600-1000,,,28.0,-2.7,No precipitation,6,,,,
08.03.2020 14:00,7.4,692.2,761.8,-2.1,41,Wind blowing from the south-southwest,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,7.4,,,,,,16.0,-5.2,No precipitation,12,,,,
08.03.2020 11:00,2.1,694.3,764.4,,54,Wind blowing from the south,1,,4,no clouds, ,,,-7.7,5.6,,,,,,19.0,-6.4,No precipitation,6,,,,
08.03.2020 08:00,-4.3,695.6,766.6,,73,Wind blowing from the east-northeast,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.7,5.6,,,,,,30.0,-8.5,No precipitation,12,,,,
08.03.2020 05:00,-6.6,694.9,765.8,,90,Wind blowing from the north-east,2,,4,, ,,,-6.6,5.6,,,,,,30.0,-8.0,No precipitation,6,,,,
08.03.2020 02:00,-3.5,694.1,764.2,,88,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,5.6,,,2500 or more  or no clouds.,,,28.0,-5.3,No precipitation,12,,,,
07.03.2020 20:00,0.7,693.9,764.5,1.4,76,Wind blowing from the west,1,,6,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,5.6,,,600-1000,,,4.9,-3.1,No precipitation,12,,,,
07.03.2020 17:00,2.6,692.5,762.9,,64,Wind blowing from the south-west,1,,6,90  or more  but not 100%, ,,,-4.9,5.6,,,600-1000,,,30.0,-3.6,No precipitation,6,,,,
07.03.2020 14:00,5.1,692.4,762.4,-1.1,46,Wind blowing from the east-southeast,1,,3,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.9,5.6,,,600-1000,,,11.0,-5.8,No precipitation,12,,,,
07.03.2020 11:00,1.4,693.5,764.1,,56,Wind blowing from the south,1,,3,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.4,1.6,,,600-1000,,,3.9,-6.6,No precipitation,6,,,,
07.03.2020 08:00,-3.1,694.2,765.4,0.2,77,Calm  no wind,0,,,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-1.8,,,600-1000,,,2.8,-6.6,No precipitation,12,,,,
07.03.2020 05:00,-4.2,694.0,765.1,,82,Wind blowing from the north-east,1,,,,Mist. ,,,,-1.8,,,,,,5.0,-6.9,No precipitation,6,,,,
07.03.2020 02:00,-4.0,694.3,765.6,,80,Wind blowing from the north-northeast,1,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,-1.8,,,2500 or more  or no clouds.,,,4.3,-7.0,No precipitation,12,,,,
06.03.2020 20:00,-3.3,694.7,767.6,0.7,69,Calm  no wind,0,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.4,-1.8,,,600-1000,,,13.0,-8.3,No precipitation,12,,,,
06.03.2020 17:00,-2.0,694.0,767.2,,56,Calm  no wind,0,,,100%., ,,,-19.4,-1.8,,,600-1000,,,30.0,-9.7,No precipitation,6,,,,
06.03.2020 14:00,-3.4,694.3,767.4,-1.8,51,Wind blowing from the west-southwest,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.4,-0.5,,,600-1000,,,30.0,-12.3,No precipitation,12,,,,
06.03.2020 11:00,-7.4,696.1,769.6,,51,Wind blowing from the south-southwest,1,,4,no clouds, ,,,-19.4,-0.5,,,,,,30.0,-16.0,No precipitation,6,,,,
06.03.2020 08:00,-15.1,697.0,771.0,,65,Wind blowing from the east,1,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-19.4,-0.5,,,,,,30.0,-20.3,No precipitation,12,,,,
06.03.2020 05:00,-18.7,696.5,770.0,,82,Wind blowing from the north-northeast,2,,5,, ,,,-18.7,-0.5,,,,,,30.0,-21.1,No precipitation,6,,,,
06.03.2020 02:00,-16.6,696.4,769.6,,81,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.6,-0.5,,,2500 or more  or no clouds.,,,30.0,-19.1,No precipitation,12,,,,
05.03.2020 20:00,-9.1,695.2,768.7,0.8,62,Wind blowing from the north-east,2,,7,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.4,-0.5,,,600-1000,,,30.0,-15.2,No precipitation,12,,,,
05.03.2020 17:00,-2.6,694.4,767.3,,39,Wind blowing from the south,2,,7,, ,,,-16.4,-0.5,,,,,,26.0,-14.9,No precipitation,6,,,,
05.03.2020 14:00,-2.3,695.1,767.5,-1.6,39,Wind blowing from the south-southeast,2,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.4,0.3,,,,,,30.0,-14.6,No precipitation,12,,,,
05.03.2020 11:00,-5.5,696.7,769.3,,57,Wind blowing from the south-southeast,2,,,20–30%., ,,,-16.4,0.3,,,600-1000,,,30.0,-12.8,No precipitation,6,,,,
05.03.2020 08:00,-13.4,698.0,771.6,0.9,71,Wind blowing from the east-northeast,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-16.4,0.3,,,600-1000,,,29.0,-17.6,No precipitation,12,,,,
05.03.2020 05:00,-15.7,697.1,770.4,,86,Wind blowing from the north-east,3,,9,, ,,,-15.7,0.3,,,,,,30.0,-17.5,No precipitation,6,,,,
05.03.2020 02:00,-12.0,696.7,769.0,,88,Wind blowing from the north-northeast,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-12.2,0.3,,,2500 or more  or no clouds.,,,30.0,-13.6,No precipitation,12,,,,
04.03.2020 20:00,-6.9,694.8,766.9,2.8,66,Wind blowing from the west-southwest,4,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,0.3,,,600-1000,,,30.0,-12.3,0.2,12,,,,
04.03.2020 17:00,-3.4,692.0,763.5,,49,Wind blowing from the south-southeast,2,,11,100%., ,,,-8.1,0.4,,,600-1000,,,30.0,-12.8,0.1,6,,,,
04.03.2020 14:00,-0.6,690.1,761.0,-0.8,49,Wind blowing from the east,3,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.1,0.6,,,2500 or more  or no clouds.,,,30.0,-10.2,0.6,12,,,,
04.03.2020 11:00,-1.3,690.9,761.8,,71,Wind blowing from the west-southwest,4,,9,70 – 80%.,Snow shower(s)  slight. ,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,0.6,,,600-1000,,,6.0,-6.0,0.1,6,,,,
04.03.2020 08:00,-5.3,692.2,763.4,0.0,89,Wind blowing from the north,0,,5,90  or more  but not 100%,Mist. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.9,0.6,,,2500 or more  or no clouds.,,,6.0,-6.9,0.4,12,,,,
04.03.2020 05:00,-7.0,692.2,763.3,,95,Wind blowing from the north-east,1,,7,, ,,,,0.6,,,,,,16.0,-7.7,0.4,6,,,,
04.03.2020 02:00,-6.6,692.5,763.8,,90,Wind blowing from the west-southwest,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,0.6,,,2500 or more  or no clouds.,,,30.0,-8.0,No precipitation,12,,,,
03.03.2020 20:00,-2.3,694.5,767.2,-0.1,65,Wind blowing from the west,3,,9,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.9,0.6,,,600-1000,,,30.0,-8.1,No precipitation,12,,,,
03.03.2020 17:00,0.4,694.6,767.4,,65,Wind blowing from the south-southwest,5,,9,70 – 80%., ,,,-18.9,0.6,,,600-1000,,,30.0,-5.5,No precipitation,6,,,,
03.03.2020 14:00,-1.6,695.2,768.0,-2.7,54,Wind blowing from the west,1,,5,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.9,-1.6,,,600-1000,,,16.0,-9.8,No precipitation,12,,,,
03.03.2020 11:00,-8.7,697.9,771.7,,59,Wind blowing from the south-southwest,2,,5,50%., ,,,-18.9,-2.2,,,600-1000,,,30.0,-15.4,No precipitation,6,,,,
03.03.2020 08:00,-14.9,699.9,774.2,-0.1,66,Wind blowing from the east-northeast,1,,5,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-18.9,-2.2,,,600-1000,,,30.0,-19.9,No precipitation,12,,,,
03.03.2020 05:00,-18.2,700.0,774.0,,81,Wind blowing from the north-east,2,,5,, ,,,-18.2,-2.2,,,,,,30.0,-20.7,No precipitation,6,,,,
03.03.2020 02:00,-15.7,699.7,773.2,,83,Wind blowing from the north-east,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-15.7,-2.2,,,2500 or more  or no clouds.,,,30.0,-18.0,No precipitation,12,,,,
02.03.2020 20:00,-9.1,698.4,771.4,1.3,79,Wind blowing from the north-northeast,2,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,-1.6,,,,,,22.0,-12.1,No precipitation,12,,,,
02.03.2020 17:00,-3.9,697.1,769.3,,58,Wind blowing from the west-southwest,2,,8,no clouds, ,,,-7.8,-1.3,,,,,,30.0,-11.1,No precipitation,6,,,,
02.03.2020 14:00,-2.7,696.4,768.2,-0.2,55,Wind blowing from the west-southwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,-0.3,,,,,,30.0,-10.6,2.0,12,,,,
02.03.2020 11:00,-4.4,696.6,768.1,,63,Wind blowing from the west,4,,7,60%., ,,,-7.8,-0.3,,,600-1000,,,30.0,-10.5,0.3,6,,,,
02.03.2020 08:00,-7.4,696.4,768.2,,77,Wind blowing from the west,4,,7,60%.,Cloud development not observed or not observable. ,Snow and/or other types of solid precipitation,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.8,-0.3,,,600-1000,,,30.0,-10.8,7.0,12,,,,
02.03.2020 05:00,-7.2,694.9,766.4,,92,Wind blowing from the south-west,2,,7,,Intermittent fall of snowflakes  slight at time of observation. ,,,-8.8,-0.3,,,,,,30.0,-8.3,4.0,6,,,,
02.03.2020 02:00,-6.4,693.2,764.4,,92,Wind blowing from the west,5,,7,,Intermittent fall of snowflakes  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.2,-0.3,,,2500 or more  or no clouds.,,,16.0,-7.5,7.0,12,,,,
01.03.2020 20:00,-1.6,692.1,763.4,-0.1,96,Wind blowing from the north,0,,2,100%.,Intermittent fall of snowflakes  moderate at time of observation. ,Snow and/or other types of solid precipitation,Fog or ice fog or thick haze.,-9.2,-0.3,,,600-1000,,,0.9,-2.1,3.0,12,,,,
01.03.2020 17:00,-1.3,692.2,763.6,,95,Calm  no wind,0,,,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-9.2,0.2,,,600-1000,,,2.0,-2.0,1.0,6,,,,
01.03.2020 14:00,-0.5,692.5,763.9,-1.4,82,Wind blowing from the north,0,,2,100%.,Intermittent fall of snowflakes  slight at time of observation. ,Snow and/or other types of solid precipitation,Snow and/or other types of solid precipitation,-9.2,1.8,,,600-1000,,,5.0,-3.3,2.0,12,,,,
