Local time in Zhongxiang,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
14.03.2020 17:00,20.3,756.1,765.9,,28,Wind blowing from the west,2,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,28.0,1.2,,,,,,
14.03.2020 14:00,19.6,757.9,767.8,-2.5,35,Wind blowing from the north-west,1,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,19.6,,,2500 or more  or no clouds.,,,26.0,3.7,No precipitation,12,,,,
14.03.2020 11:00,15.3,760.4,770.4,,56,Wind blowing from the south,2,,4,no clouds, ,,,6.5,15.3,,,,,,15.0,6.6,No precipitation,6,,,,
14.03.2020 08:00,7.8,760.4,770.5,0.5,97,Wind blowing from the west-southwest,1,,4,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.5,14.6,,,2500 or more  or no clouds.,,,7.0,7.4,No precipitation,12,,,,
14.03.2020 05:00,8.3,759.9,769.9,,81,Wind blowing from the north,2,,,, ,,,,,,,,,,9.0,5.2,,,,,,
14.03.2020 02:00,8.1,760.9,770.9,,75,Wind blowing from the north,2,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,14.6,,,2500 or more  or no clouds.,,,14.0,3.8,No precipitation,12,,,,
13.03.2020 20:00,10.9,760.8,770.8,,73,Wind blowing from the west-northwest,2,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,15.4,,,2500 or more  or no clouds.,,,14.0,6.3,No precipitation,12,,,,
13.03.2020 17:00,12.5,759.8,769.8,,62,Wind blowing from the north-northwest,4,,,90  or more  but not 100%, ,,,,,,,2500 or more  or no clouds.,,,17.0,5.4,,,,,,
13.03.2020 14:00,11.9,760.0,770.0,,63,Wind blowing from the north-northwest,6,,12,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,,,,2500 or more  or no clouds.,,,16.0,5.1,No precipitation,12,,,,
13.03.2020 11:00,14.4,759.7,769.6,,67,Wind blowing from the north-northwest,6,,11,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,,,,,,,6.0,8.4,No precipitation,6,,,,
13.03.2020 08:00,12.8,757.6,767.5,,99,Wind blowing from the north-northwest,4,,7,90  or more  but not 100%,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.8,19.3,,,2500 or more  or no clouds.,,,4.4,12.6,No precipitation,12,,,,
13.03.2020 05:00,12.8,755.6,765.4,,94,Wind blowing from the north-west,2,,5,, ,,,11.3,19.3,,,,,,8.0,11.9,No precipitation,6,,,,
13.03.2020 02:00,13.2,755.5,765.3,,95,Wind blowing from the east-northeast,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,19.3,,,2500 or more  or no clouds.,,,8.0,12.4,No precipitation,12,,,,
12.03.2020 20:00,15.4,752.2,762.1,2.2,86,Wind blowing from the south-southeast,3,,7,50%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,19.3,,,2500 or more  or no clouds.,,,11.0,13.1,No precipitation,12,,,,
12.03.2020 17:00,18.4,750.0,759.7,,68,Wind blowing from the south,4,,,40%., ,,,,,,,2500 or more  or no clouds.,,,15.0,12.4,,,,,,
12.03.2020 14:00,18.5,750.5,760.3,-1.5,69,Wind blowing from the south-southeast,4,,7,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,19.1,,,2500 or more  or no clouds.,,,11.0,12.7,No precipitation,12,,,,
12.03.2020 11:00,14.8,752.0,761.8,,86,Wind blowing from the south,4,,,, ,,,,,,,,,,8.0,12.5,,,,,,
12.03.2020 08:00,12.0,752.2,762.1,0.8,93,Wind blowing from the south,2,,6,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,19.1,,,2500 or more  or no clouds.,,,7.0,10.9,No precipitation,12,,,,
12.03.2020 05:00,11.3,751.4,761.2,,85,Wind blowing from the south-east,2,,,, ,,,,,,,,,,11.0,8.9,,,,,,
12.03.2020 02:00,12.2,752.2,762.0,,79,Wind blowing from the south,2,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,19.1,,,2500 or more  or no clouds.,,,14.0,8.7,No precipitation,12,,,,
11.03.2020 20:00,14.9,752.5,762.3,0.6,66,Wind blowing from the south-southeast,4,,10,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,19.1,,,2500 or more  or no clouds.,,,20.0,8.6,No precipitation,12,,,,
11.03.2020 17:00,16.6,751.9,761.8,,57,Wind blowing from the south-southeast,5,,,100%., ,,,,,,,2500 or more  or no clouds.,,,24.0,8.1,,,,,,
11.03.2020 14:00,18.8,752.9,762.7,-2.6,50,Wind blowing from the south,7,,10,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,19.0,,,2500 or more  or no clouds.,,,22.0,8.2,No precipitation,12,,,,
11.03.2020 11:00,16.2,755.5,765.3,,54,Wind blowing from the south,6,,,50%., ,,,,,,,2500 or more  or no clouds.,,,18.0,6.9,,,,,,
11.03.2020 08:00,11.0,755.6,765.5,,73,Wind blowing from the south-southeast,3,,5,90  or more  but not 100%, ,,,5.7,18.8,,,2500 or more  or no clouds.,,,16.0,6.2,No precipitation,6,,,,
11.03.2020 05:00,9.8,754.3,764.2,,77,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,14.0,6.0,,,,,,
11.03.2020 02:00,10.3,755.7,765.5,,84,Wind blowing from the east-southeast,3,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,18.8,,,2500 or more  or no clouds.,,,13.0,7.7,No precipitation,12,,,,
10.03.2020 20:00,13.3,755.4,765.4,0.3,64,Wind blowing from the south-east,3,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,18.8,,,2500 or more  or no clouds.,,,20.0,6.6,No precipitation,12,,,,
10.03.2020 17:00,17.7,755.1,765.0,,35,Wind blowing from the west,1,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,25.0,2.1,,,,,,
10.03.2020 14:00,17.3,756.4,766.3,-2.7,34,Wind blowing from the north,3,,7,40%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,17.6,,,2500 or more  or no clouds.,,,18.0,1.3,No precipitation,12,,,,
10.03.2020 11:00,12.0,759.1,769.1,,81,Wind blowing from the north-northwest,3,,5,60%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,14.0,,,2500 or more  or no clouds.,,,10.0,8.8,No precipitation,6,,,,
10.03.2020 08:00,5.6,757.9,768.1,1.8,99,Wind blowing from the north-northwest,2,,4,100%.,Fog or ice fog  sky visible  has begun or has become thicker during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.2,14.0,,,2500 or more  or no clouds.,,,0.1,5.5,No precipitation,12,,,,
10.03.2020 05:00,7.7,756.1,766.2,,99,Wind blowing from the south-southwest,1,,9,,Mist. ,,,7.7,14.0,,,,,,1.7,7.6,No precipitation,6,,,,
10.03.2020 02:00,8.5,756.8,766.8,,99,Wind blowing from the north,2,,13,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,14.0,,,2500 or more  or no clouds.,,,3.2,8.4,3.0,12,,,,
09.03.2020 20:00,10.4,755.6,765.5,1.6,97,Wind blowing from the north,2,,13,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.4,14.3,,,2500 or more  or no clouds.,,,5.0,9.9,3.0,12,,,,
09.03.2020 17:00,11.1,754.0,763.9,,99,Wind blowing from the north,5,,13,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.1,14.6,,,2500 or more  or no clouds.,,,11.0,10.9,3.0,6,,,,
09.03.2020 14:00,11.9,752.2,762.0,0.3,91,Wind blowing from the north-northwest,8,,13,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,2500 or more  or no clouds.,,,12.0,10.5,1.0,12,,,,
09.03.2020 11:00,13.7,751.9,761.8,,88,Wind blowing from the north,6,,11,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.1,,,,2500 or more  or no clouds.,,,4.0,11.8,No precipitation,6,,,,
09.03.2020 08:00,13.3,750.5,760.3,2.1,99,Wind blowing from the north-northwest,6,,11,100%.,Mist. ,Rain.,Fog or ice fog or thick haze.,13.1,,,,2500 or more  or no clouds.,,,2.4,13.1,11.0,12,,,,
09.03.2020 05:00,13.2,748.4,758.2,,99,Wind blowing from the north-northwest,4,,10,,Mist. ,,,13.2,,,,,,,2.0,13.0,5.0,6,,,,
09.03.2020 02:00,13.5,748.7,758.4,,99,Wind blowing from the north,5,,10,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,18.3,,,2500 or more  or no clouds.,,,1.9,13.3,37.0,12,,,,
08.03.2020 20:00,14.1,746.6,756.4,1.5,99,Wind blowing from the north-west,4,,7,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,18.3,,,2500 or more  or no clouds.,,,1.5,13.9,27.0,12,,,,
08.03.2020 17:00,14.6,745.1,754.8,,99,Wind blowing from the north-west,2,,6,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,18.6,,,600-1000,,,1.4,14.4,10.0,6,,,,
08.03.2020 14:00,17.7,745.7,755.4,-2.3,78,Wind blowing from the west-northwest,2,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.4,18.7,,,2500 or more  or no clouds.,,,12.0,13.8,No precipitation,12,,,,
08.03.2020 11:00,16.4,748.0,757.7,,83,Wind blowing from the east-southeast,2,,,100%., ,,,,,,,2500 or more  or no clouds.,,,13.0,13.5,,,,,,
08.03.2020 08:00,14.6,748.1,757.8,,89,Wind blowing from the east,3,,,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,18.7,,,2500 or more  or no clouds.,,,11.0,12.8,0.2,12,,,,
08.03.2020 05:00,13.8,748.0,757.7,,94,Wind blowing from the east,2,,3,,Mist. ,,,8.7,18.7,,,,,,5.0,12.9,0.2,6,,,,
08.03.2020 02:00,13.9,749.3,759.1,,99,Wind blowing from the east,2,,7,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,18.7,,,2500 or more  or no clouds.,,,4.3,13.7,0.2,12,,,,
07.03.2020 20:00,15.9,750.0,759.8,0.4,86,Wind blowing from the east,1,,7,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,18.7,,,2500 or more  or no clouds.,,,8.0,13.6,No precipitation,12,,,,
07.03.2020 17:00,18.5,749.6,759.4,,70,Wind blowing from the south-southwest,2,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,11.0,12.9,,,,,,
07.03.2020 14:00,17.1,751.1,760.9,-1.5,73,Wind blowing from the west-southwest,3,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,17.4,,,2500 or more  or no clouds.,,,9.0,12.2,No precipitation,12,,,,
07.03.2020 11:00,14.2,752.6,762.4,,90,Wind blowing from the north-northwest,3,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,7.0,12.6,,,,,,
07.03.2020 08:00,10.3,752.9,762.8,1.6,99,Wind blowing from the east,1,,4,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.7,15.0,,,2500 or more  or no clouds.,,,4.6,10.1,No precipitation,12,,,,
07.03.2020 05:00,9.1,751.3,761.2,,99,Wind blowing from the south-southeast,2,,5,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,,,9.1,15.0,,,,,,less than 0.1,9.0,No precipitation,6,,,,
07.03.2020 02:00,10.9,751.9,761.8,,99,Wind blowing from the south-southeast,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.8,15.0,,,2500 or more  or no clouds.,,,3.6,10.7,No precipitation,12,,,,
06.03.2020 20:00,13.0,751.3,761.1,1.3,96,Wind blowing from the south,3,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,15.0,,,2500 or more  or no clouds.,,,7.0,12.4,No precipitation,12,,,,
06.03.2020 17:00,14.4,750.0,759.8,,84,Wind blowing from the south,3,,,70 – 80%., ,,,,,,,2500 or more  or no clouds.,,,8.0,11.7,,,,,,
06.03.2020 14:00,13.5,750.7,760.6,-1.5,91,Wind blowing from the south,2,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,17.1,,,2500 or more  or no clouds.,,,6.0,12.1,No precipitation,12,,,,
06.03.2020 11:00,13.4,752.2,762.1,,90,Wind blowing from the south,4,,7,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,,,,2500 or more  or no clouds.,,,6.0,11.8,No precipitation,6,,,,
06.03.2020 08:00,12.0,752.2,762.0,0.7,94,Wind blowing from the south-southeast,3,,6,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.6,17.1,,,2500 or more  or no clouds.,,,6.0,11.1,No precipitation,12,,,,
06.03.2020 05:00,11.4,751.5,761.3,,92,Wind blowing from the south-east,4,,,, ,,,,,,,,,,8.0,10.1,,,,,,
06.03.2020 02:00,11.8,753.2,763.0,,91,Wind blowing from the south-southeast,3,,9,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,17.1,,,2500 or more  or no clouds.,,,7.0,10.4,No precipitation,12,,,,
05.03.2020 20:00,13.7,754.3,764.2,0.2,69,Wind blowing from the south-southeast,3,,9,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,17.1,,,2500 or more  or no clouds.,,,7.0,8.1,No precipitation,12,,,,
05.03.2020 17:00,16.0,754.1,764.0,,56,Wind blowing from the south,5,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,11.0,7.2,,,,,,
05.03.2020 14:00,16.5,756.1,766.0,-3.2,53,Wind blowing from the south-southwest,6,,9,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.0,17.3,,,2500 or more  or no clouds.,,,10.0,6.9,No precipitation,12,,,,
05.03.2020 11:00,14.7,759.3,769.3,,60,Wind blowing from the south,4,,6,20–30%., ,,,8.0,17.3,,,2500 or more  or no clouds.,,,10.0,7.0,No precipitation,6,,,,
05.03.2020 08:00,9.6,759.3,769.3,0.3,62,Wind blowing from the south-east,1,,4,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.4,17.3,,,2500 or more  or no clouds.,,,13.0,2.5,No precipitation,12,,,,
05.03.2020 05:00,8.9,759.0,768.9,,58,Wind blowing from the east,1,,,, ,,,,,,,,,,17.0,1.1,,,,,,
05.03.2020 02:00,10.4,759.5,769.4,,53,Wind blowing from the east-southeast,3,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,17.3,,,2500 or more  or no clouds.,,,20.0,1.2,No precipitation,12,,,,
04.03.2020 20:00,12.2,759.3,769.3,0.9,72,Wind blowing from the south,3,,6,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,17.3,,,2500 or more  or no clouds.,,,15.0,7.3,0.1,12,,,,
04.03.2020 17:00,16.6,758.4,768.4,,48,Wind blowing from the south,2,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,20.0,5.6,,,,,,
04.03.2020 14:00,16.1,759.4,769.3,,51,Wind blowing from the west,2,,6,20–30%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,16.2,,,2500 or more  or no clouds.,,,18.0,6.0,0.1,12,,,,
04.03.2020 11:00,12.0,761.2,771.2,,72,Wind blowing from the west,2,,4,100%.,Cloud development not observed or not observable. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,12.0,,,2500 or more  or no clouds.,,,11.0,7.1,0.1,6,,,,
04.03.2020 08:00,6.0,760.7,770.8,1.2,99,Wind blowing from the north-northwest,3,,4,60%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.9,11.5,,,2500 or more  or no clouds.,,,1.7,5.9,No precipitation,12,,,,
04.03.2020 05:00,6.3,759.5,769.6,,99,Wind blowing from the north-northeast,2,,4,,Fog or ice fog. ,,,4.6,11.5,,,,,,2.4,6.2,No precipitation,6,,,,
04.03.2020 02:00,8.8,759.9,769.9,,98,Wind blowing from the north-west,2,,5,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,11.5,,,2500 or more  or no clouds.,,,4.7,8.5,No precipitation,12,,,,
03.03.2020 20:00,10.6,759.2,769.3,1.1,85,Wind blowing from the north,1,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,11.5,,,2500 or more  or no clouds.,,,7.0,8.2,No precipitation,12,,,,
03.03.2020 17:00,11.5,758.1,768.1,,82,Wind blowing from the north-northwest,1,,5,100%., ,,,4.6,11.5,,,2500 or more  or no clouds.,,,9.0,8.5,No precipitation,6,,,,
03.03.2020 14:00,11.0,758.1,768.1,-2.4,81,Wind blowing from the north-northwest,3,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,11.0,,,2500 or more  or no clouds.,,,11.0,7.9,No precipitation,12,,,,
03.03.2020 11:00,7.5,760.5,770.6,,99,Wind blowing from the north-west,2,,3,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,8.2,,,2500 or more  or no clouds.,,,7.0,7.4,No precipitation,6,,,,
03.03.2020 08:00,5.6,759.1,769.3,1.0,99,Wind blowing from the north-northwest,2,,3,100%.,Fog or ice fog. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.6,8.2,,,2500 or more  or no clouds.,,,1.1,5.5,No precipitation,12,,,,
03.03.2020 05:00,5.2,758.1,768.2,,99,Wind blowing from the west-northwest,1,,5,,Fog or ice fog. ,,,5.2,8.2,,,,,,0.6,5.1,No precipitation,6,,,,
03.03.2020 02:00,6.1,758.8,768.9,,99,Wind blowing from the north-northeast,0,,7,,Fog or ice fog  sky invisible  no appreciable change during the preceding hour. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.1,10.1,,,2500 or more  or no clouds.,,,0.2,6.0,1.0,12,,,,
02.03.2020 20:00,7.6,759.3,769.4,0.9,99,Wind blowing from the north-west,1,,7,100%.,Mist. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,,,,2500 or more  or no clouds.,,,4.6,7.5,7.0,12,,,,
02.03.2020 17:00,8.1,758.4,768.5,,97,Wind blowing from the north,3,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,,,,2500 or more  or no clouds.,,,10.0,7.7,7.0,6,,,,
02.03.2020 14:00,8.0,758.6,768.7,-1.4,99,Wind blowing from the north,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,,,,2500 or more  or no clouds.,,,4.7,7.9,5.0,12,,,,
02.03.2020 11:00,8.1,760.0,770.1,,99,Wind blowing from the north-west,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.7,,,2500 or more  or no clouds.,,,4.9,8.0,0.1,6,,,,
02.03.2020 08:00,7.2,759.1,769.1,1.1,98,Wind blowing from the north-west,2,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,14.7,,,2500 or more  or no clouds.,,,6.0,6.9,No precipitation,12,,,,
02.03.2020 05:00,7.7,758.0,768.0,,96,Calm  no wind,0,,,,Mist. ,,,7.7,14.7,,,,,,6.0,7.1,No precipitation,6,,,,
02.03.2020 02:00,10.1,759.6,769.6,,73,Wind blowing from the east,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.6,14.7,,,2500 or more  or no clouds.,,,12.0,5.5,No precipitation,12,,,,
01.03.2020 20:00,12.1,758.2,768.3,1.0,89,Wind blowing from the east-northeast,2,,7,70 – 80%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,14.7,,,2500 or more  or no clouds.,,,7.0,10.3,No precipitation,12,,,,
01.03.2020 17:00,14.4,757.2,767.2,,78,Wind blowing from the west-northwest,3,,,40%., ,,,,,,,2500 or more  or no clouds.,,,9.0,10.6,,,,,,
01.03.2020 14:00,12.5,757.6,767.6,-1.2,83,Wind blowing from the north-west,3,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,12.8,,,2500 or more  or no clouds.,,,11.0,9.7,No precipitation,12,,,,
01.03.2020 11:00,8.9,758.8,768.9,,99,Wind blowing from the north,3,,7,100%., ,,,6.3,,,,2500 or more  or no clouds.,,,9.0,8.8,No precipitation,6,,,,
01.03.2020 08:00,7.9,757.4,767.5,2.0,99,Wind blowing from the north-northwest,4,,7,100%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,12.1,,,2500 or more  or no clouds.,,,5.0,7.8,No precipitation,12,,,,
01.03.2020 05:00,8.2,755.4,765.4,,99,Wind blowing from the north,4,,7,,Mist. ,,,6.3,12.1,,,,,,3.4,8.1,No precipitation,6,,,,
01.03.2020 02:00,7.6,755.1,765.1,,99,Wind blowing from the north,2,,4,,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,12.1,,,2500 or more  or no clouds.,,,1.2,7.5,No precipitation,12,,,,
29.02.2020 20:00,9.5,753.9,763.9,2.1,99,Wind blowing from the south-west,2,,4,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,12.1,,,2500 or more  or no clouds.,,,9.0,9.4,No precipitation,12,,,,
29.02.2020 17:00,12.0,751.8,761.8,,82,Wind blowing from the south-east,1,,,20–30%., ,,,,,,,2500 or more  or no clouds.,,,15.0,9.0,,,,,,
29.02.2020 14:00,9.3,753.1,763.1,-1.4,93,Wind blowing from the south-southeast,2,,5,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,9.4,,,2500 or more  or no clouds.,,,12.0,8.2,No precipitation,12,,,,
29.02.2020 11:00,7.4,754.5,764.5,,99,Wind blowing from the south,2,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.4,8.4,,,2500 or more  or no clouds.,,,5.0,7.3,No precipitation,6,,,,
29.02.2020 08:00,6.7,754.0,764.1,0.9,99,Wind blowing from the south-southwest,3,,5,100%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,5.1,8.4,,,2500 or more  or no clouds.,,,3.0,6.6,0.3,12,,,,
29.02.2020 05:00,6.9,753.1,763.1,,99,Wind blowing from the south-southeast,2,,5,,Mist. ,,,4.8,8.4,,,,,,2.1,6.8,No precipitation,6,,,,
29.02.2020 02:00,6.9,754.0,764.1,,99,Wind blowing from the south-southeast,2,,4,,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,8.4,,,2500 or more  or no clouds.,,,2.5,6.8,0.4,12,,,,
28.02.2020 20:00,7.9,755.4,765.5,1.0,96,Wind blowing from the south-west,1,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,8.4,,,2500 or more  or no clouds.,,,13.0,7.3,3.0,12,,,,
