Local time in Wulate Zhongqi,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
16.03.2020 20:00,6.7,655.9,767.6,,16,Wind blowing from the west-northwest,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,13.3,,,,,,18.0,-17.4,No precipitation,12,,,,
16.03.2020 17:00,11.9,655.2,765.4,,12,Wind blowing from the north-west,6,,14,no clouds, ,,,-1.4,13.3,,,,,,30.0,-16.6,No precipitation,6,,,,
16.03.2020 14:00,12.6,655.3,764.8,-0.8,8,Wind blowing from the west-northwest,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.4,13.3,,,,,,30.0,-20.8,No precipitation,12,,,,
16.03.2020 11:00,9.5,656.1,766.7,,11,Wind blowing from the south,2,,11,no clouds, ,,,-1.4,12.5,,,,,,30.0,-19.5,No precipitation,6,,,,
16.03.2020 08:00,0.8,655.8,767.5,,20,Wind blowing from the south-southeast,1,,11,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.6,12.5,,,,,,2.8,-19.6,No precipitation,12,,,,
16.03.2020 05:00,2.2,655.0,765.2,,16,Wind blowing from the south,1,,11,, ,,,-7.0,12.5,,,,,,30.0,-21.0,No precipitation,6,,,,
16.03.2020 02:00,5.1,655.0,764.8,,12,Wind blowing from the north-west,6,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,12.5,,,2500 or more  or no clouds.,,,30.0,-22.0,No precipitation,12,,,,
15.03.2020 23:00,3.4,655.1,766.2,,27,Wind blowing from the east,1,,11,, ,,,-7.0,12.5,,,,,,17.0,-13.8,No precipitation,6,,,,
15.03.2020 20:00,6.7,654.5,767.2,,21,Wind blowing from the west,2,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,12.5,,,2500 or more  or no clouds.,,,6.0,-14.1,No precipitation,12,,,,
15.03.2020 17:00,12.0,653.6,765.2,,14,Wind blowing from the south-west,5,,,no clouds, ,,,-7.0,12.5,,,,,,30.0,-14.7,No precipitation,6,,,,
15.03.2020 14:00,10.9,655.3,766.3,,14,Wind blowing from the west-southwest,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,11.2,,,,,,30.0,-15.6,No precipitation,12,,,,
15.03.2020 11:00,6.5,656.5,769.0,,18,Wind blowing from the south,2,,4,no clouds, ,,,-7.0,6.9,,,,,,30.0,-16.1,No precipitation,6,,,,
15.03.2020 08:00,-4.7,656.8,770.9,0.6,44,Wind blowing from the east-northeast,1,,5,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.0,6.9,,,,,,2.1,-15.1,No precipitation,12,,,,
15.03.2020 05:00,-5.7,656.2,769.6,,43,Wind blowing from the east,1,,11,, ,,,-6.2,6.9,,,,,,24.0,-16.3,No precipitation,6,,,,
15.03.2020 02:00,-0.7,656.9,769.4,,30,Wind blowing from the north-west,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.9,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
14.03.2020 23:00,-2.1,657.1,770.8,,33,Wind blowing from the north-northwest,1,,12,, ,,,-5.9,6.9,,,,,,6.0,-16.2,No precipitation,6,,,,
14.03.2020 20:00,2.3,656.6,770.6,0.1,24,Wind blowing from the north-west,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,6.9,,,,,,15.0,-16.2,No precipitation,12,,,,
14.03.2020 17:00,6.3,656.5,769.9,,18,Wind blowing from the north-northwest,4,,12,no clouds, ,,,-5.9,6.9,,,,,,30.0,-16.3,No precipitation,6,,,,
14.03.2020 14:00,5.6,657.4,770.8,-1.4,18,Wind blowing from the north-west,4,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.9,5.6,,,,,,30.0,-16.9,No precipitation,12,,,,
14.03.2020 11:00,1.5,658.8,772.7,,25,Wind blowing from the north-northwest,5,,10,no clouds, ,,,-5.9,3.2,,,,,,30.0,-16.4,No precipitation,6,,,,
14.03.2020 08:00,-4.4,658.1,773.0,,29,Wind blowing from the north-west,2,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.9,3.2,,,,,,20.0,-19.8,No precipitation,12,,,,
14.03.2020 05:00,-5.6,657.2,771.4,,31,Wind blowing from the west,1,,12,, ,,,-11.3,3.2,,,,,,30.0,-20.1,No precipitation,6,,,,
14.03.2020 02:00,-4.2,658.0,772.3,,27,Wind blowing from the west-northwest,4,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.5,3.2,,,2500 or more  or no clouds.,,,30.0,-20.4,No precipitation,12,,,,
13.03.2020 23:00,-1.9,658.9,773.5,,19,Wind blowing from the north-west,4,,16,, ,,,,3.2,,,,,,30.0,-22.5,No precipitation,6,,,,
13.03.2020 20:00,-0.7,658.5,774.5,-0.1,16,Wind blowing from the west,3,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.5,3.2,,,,,,13.0,-23.4,No precipitation,12,,,,
13.03.2020 17:00,2.9,658.6,774.2,,13,Wind blowing from the west-northwest,8,,16,no clouds, ,,,-11.5,3.2,,,,,,30.0,-22.8,No precipitation,6,,,,
13.03.2020 14:00,2.0,659.3,774.4,,12,Wind blowing from the west-northwest,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.5,2.2,,,,,,30.0,-24.5,No precipitation,12,,,,
13.03.2020 11:00,-0.8,660.9,776.6,,18,Wind blowing from the west-southwest,7,,,20–30%., ,,,-11.5,1.0,,,2500 or more  or no clouds.,,,30.0,-22.2,No precipitation,6,,,,
13.03.2020 08:00,-9.0,661.2,778.3,0.5,30,Wind blowing from the east,1,,6,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-11.5,1.0,,,,,,6.0,-23.4,No precipitation,12,,,,
13.03.2020 05:00,-10.9,660.7,777.4,,29,Wind blowing from the north-west,1,,10,, ,,,-11.5,1.0,,,,,,30.0,-25.5,No precipitation,6,,,,
13.03.2020 02:00,-6.7,661.3,777.1,-0.4,22,Wind blowing from the north-northwest,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.8,1.0,,,2500 or more  or no clouds.,,,30.0,-24.9,No precipitation,12,,,,
12.03.2020 23:00,-5.7,661.7,777.5,,23,Wind blowing from the north-northeast,3,,11,, ,,,-5.7,1.0,,,,,,30.0,-23.5,No precipitation,6,,,,
12.03.2020 20:00,-3.6,660.1,776.0,,20,Wind blowing from the north,3,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,4.6,,,,,,30.0,-23.3,No precipitation,12,,,,
12.03.2020 17:00,-0.2,657.9,772.5,,20,Wind blowing from the north,5,,12,50%., ,,,-5.0,8.6,,,2500 or more  or no clouds.,,,30.0,-20.5,No precipitation,6,,,,
12.03.2020 14:00,0.0,657.4,771.5,0.3,28,Wind blowing from the north-northeast,5,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
12.03.2020 11:00,-0.7,657.1,770.6,,40,Wind blowing from the north-east,4,,13,70 – 80%., ,,,-5.0,,,,2500 or more  or no clouds.,,,30.0,-12.6,No precipitation,6,,,,
12.03.2020 08:00,-4.5,655.3,768.5,1.5,49,Wind blowing from the north-northeast,4,,13,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.5,10.5,,,2500 or more  or no clouds.,,,29.0,-13.6,No precipitation,12,,,,
12.03.2020 05:00,-3.9,653.8,765.7,,53,Wind blowing from the north-northeast,6,,15,, ,,,-8.0,10.5,,,,,,30.0,-12.1,No precipitation,6,,,,
12.03.2020 02:00,-2.1,652.6,763.7,0.9,53,Wind blowing from the north-northeast,7,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,10.5,,,2500 or more  or no clouds.,,,30.0,-10.4,No precipitation,12,,,,
11.03.2020 23:00,0.9,651.7,763.4,,28,Wind blowing from the north-northeast,6,,15,, ,,,-8.2,10.5,,,,,,30.0,-15.6,No precipitation,6,,,,
11.03.2020 20:00,4.6,649.6,762.1,,16,Wind blowing from the west,2,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,10.5,,,,,,7.0,-19.1,No precipitation,12,,,,
11.03.2020 17:00,8.6,647.8,759.7,,12,Wind blowing from the west-northwest,8,,15,90  or more  but not 100%, ,,,-8.2,10.5,,,2500 or more  or no clouds.,,,9.0,-19.2,No precipitation,6,,,,
11.03.2020 14:00,10.0,647.4,758.2,,13,Wind blowing from the west-southwest,6,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.2,10.2,,,2500 or more  or no clouds.,,,17.0,-17.2,No precipitation,12,,,,
11.03.2020 11:00,3.3,648.6,760.9,,27,Wind blowing from the south-southeast,2,,4,no clouds, ,,,-8.2,5.9,,,,,,22.0,-13.9,No precipitation,6,,,,
11.03.2020 08:00,-5.6,648.4,761.8,,50,Wind blowing from the east-northeast,1,,6,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.5,5.9,,,,,,3.0,-14.6,No precipitation,12,,,,
11.03.2020 05:00,-8.0,648.0,760.7,,51,Wind blowing from the south-southwest,1,,8,, ,,,-9.3,5.9,,,,,,12.0,-16.4,No precipitation,6,,,,
11.03.2020 02:00,-5.2,649.3,761.8,-1.0,40,Wind blowing from the north-northeast,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,5.9,,,2500 or more  or no clouds.,,,9.0,-16.7,No precipitation,12,,,,
10.03.2020 23:00,-4.4,650.3,764.1,,35,Wind blowing from the north-east,0,,11,,Haze. ,,,-9.3,5.9,,,,,,4.1,-17.6,No precipitation,6,,,,
10.03.2020 20:00,-0.3,650.5,764.9,,22,Wind blowing from the south-west,2,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,5.9,,,,,,12.0,-19.4,No precipitation,12,,,,
10.03.2020 17:00,4.6,650.8,764.0,,13,Wind blowing from the south-west,5,,,no clouds, ,,,-9.3,5.9,,,,,,30.0,-21.5,No precipitation,6,,,,
10.03.2020 14:00,4.0,652.4,765.6,,12,Wind blowing from the south-west,6,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,4.2,,,,,,26.0,-22.9,No precipitation,12,,,,
10.03.2020 11:00,-1.8,654.7,769.8,,18,Wind blowing from the south,3,,8,no clouds, ,,,-9.3,1.2,,,,,,15.0,-23.0,No precipitation,6,,,,
10.03.2020 08:00,-8.4,655.0,770.8,,26,Wind blowing from the east-northeast,2,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-9.3,1.2,,,2500 or more  or no clouds.,,,8.0,-24.5,No precipitation,12,,,,
10.03.2020 05:00,-7.8,654.7,769.7,,21,Wind blowing from the north-west,4,,13,, ,,,-8.0,1.2,,,,,,16.0,-26.3,No precipitation,6,,,,
10.03.2020 02:00,-5.7,655.9,770.3,,17,Wind blowing from the north-west,4,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,1.2,,,2500 or more  or no clouds.,,,15.0,-26.9,No precipitation,12,,,,
09.03.2020 20:00,-3.0,656.2,772.0,0.6,16,Wind blowing from the west,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,1.2,,,,,,17.0,-25.3,No precipitation,12,,,,
09.03.2020 17:00,-0.1,655.6,770.3,,11,Wind blowing from the west-northwest,8,,13,no clouds, ,,,-7.2,2.7,,,,,,13.0,-27.1,No precipitation,6,,,,
09.03.2020 14:00,0.7,655.9,770.1,-1.2,17,Wind blowing from the west-northwest,7,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,4.5,,,,,,20.0,-21.6,No precipitation,12,,,,
09.03.2020 11:00,-2.6,657.1,772.0,,43,Wind blowing from the north-west,4,,12,20–30%., ,,,-7.2,,,,2500 or more  or no clouds.,,,15.0,-13.7,No precipitation,6,,,,
09.03.2020 08:00,-7.0,657.0,772.1,1.3,62,Wind blowing from the north,1,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-7.2,6.6,,,,,,21.0,-13.2,No precipitation,12,,,,
09.03.2020 05:00,-5.9,655.7,769.8,,55,Wind blowing from the north,3,,12,, ,,,-6.0,6.6,,,,,,30.0,-13.5,No precipitation,6,,,,
09.03.2020 02:00,-4.5,655.5,768.8,,57,Wind blowing from the north,6,,12,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-4.5,6.6,,,2500 or more  or no clouds.,,,30.0,-11.9,No precipitation,12,,,,
08.03.2020 23:00,-2.8,655.0,767.5,,50,Wind blowing from the east-southeast,2,,11,, ,,,-2.8,6.6,,,,,,30.0,-11.8,No precipitation,6,,,,
08.03.2020 20:00,0.0,654.1,766.1,2.0,42,Wind blowing from the north-northeast,4,,11,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,6.6,,,1000-1500,,,30.0,-11.4,No precipitation,12,,,,
08.03.2020 17:00,2.7,652.1,764.2,,33,Wind blowing from the north-northwest,4,,11,90  or more  but not 100%, ,,,-2.4,9.6,,,1000-1500,,,30.0,-12.0,No precipitation,6,,,,
08.03.2020 14:00,4.4,650.8,762.3,0.6,25,Wind blowing from the north-west,5,,11,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.4,9.6,,,1000-1500,,,30.0,-13.9,No precipitation,12,,,,
08.03.2020 11:00,6.3,650.2,761.5,,32,Wind blowing from the north-northwest,3,,8,90  or more  but not 100%, ,,,-2.4,9.6,,,1000-1500,,,30.0,-9.2,No precipitation,6,,,,
08.03.2020 08:00,4.6,648.0,758.5,,20,Wind blowing from the north-northeast,4,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-5.0,9.6,,,1000-1500,,,29.0,-16.4,No precipitation,12,,,,
08.03.2020 05:00,0.1,646.5,756.3,,47,Wind blowing from the north-northwest,1,,6,, ,,,-7.4,9.6,,,,,,16.0,-10.1,No precipitation,6,,,,
08.03.2020 02:00,0.1,646.4,756.8,-0.4,46,Wind blowing from the north,1,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,9.6,,,2500 or more  or no clouds.,,,18.0,-10.4,No precipitation,12,,,,
07.03.2020 23:00,-1.3,646.8,758.2,,50,Calm  no wind,0,,,,Haze. ,,,-8.0,9.6,,,,,,1.4,-10.4,No precipitation,6,,,,
07.03.2020 20:00,2.3,646.2,758.5,,38,Wind blowing from the north-northwest,1,,10,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,9.6,,,,,,0.9,-10.6,No precipitation,12,,,,
07.03.2020 17:00,9.0,645.9,756.7,,25,Wind blowing from the south-southwest,3,,,70 – 80%., ,,,-8.0,9.0,,,2500 or more  or no clouds.,,,16.0,-10.0,No precipitation,6,,,,
07.03.2020 14:00,6.0,648.0,760.2,-2.2,31,Wind blowing from the south-southwest,6,,,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,6.6,,,2500 or more  or no clouds.,,,18.0,-9.8,No precipitation,12,,,,
07.03.2020 11:00,3.1,650.2,762.6,,39,Wind blowing from the south-southwest,5,,8,20–30%., ,,,-8.0,4.9,,,2500 or more  or no clouds.,,,30.0,-9.5,No precipitation,6,,,,
07.03.2020 08:00,-5.0,650.3,763.6,0.1,70,Wind blowing from the north-east,2,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.0,4.9,,,,,,11.0,-9.6,No precipitation,12,,,,
07.03.2020 05:00,-5.4,650.2,763.0,,67,Wind blowing from the north-east,2,,7,, ,,,-8.0,4.9,,,,,,30.0,-10.6,No precipitation,6,,,,
07.03.2020 02:00,-6.9,651.6,765.0,-0.3,71,Calm  no wind,0,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-6.9,4.9,,,2500 or more  or no clouds.,,,4.5,-11.3,No precipitation,12,,,,
06.03.2020 23:00,-2.9,651.9,765.2,,61,Calm  no wind,0,,,, ,,,-2.9,4.9,,,,,,8.0,-9.4,No precipitation,6,,,,
06.03.2020 20:00,1.3,652.1,764.7,1.0,48,Wind blowing from the north-northeast,1,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-2.3,4.9,,,,,,30.0,-8.5,Trace of precipitation,12,,,,
06.03.2020 17:00,4.0,651.1,763.3,,39,Wind blowing from the north-northwest,5,,15,no clouds, ,,,-2.3,6.8,,,,,,30.0,-9.0,No precipitation,6,,,,
06.03.2020 14:00,3.5,650.8,762.7,0.3,38,Wind blowing from the north-northwest,6,,15,20–30%.,Cloud development not observed or not observable. ,Rain and snow or other types of solid precipitation,Rain.,-2.3,7.4,,,600-1000,,,30.0,-9.5,Trace of precipitation,12,,,,
06.03.2020 11:00,0.1,650.5,762.9,,59,Wind blowing from the west-northwest,8,,15,90  or more  but not 100%, ,,,-2.3,,,,1000-1500,,,30.0,-7.0,No precipitation,6,,,,
06.03.2020 08:00,-0.6,648.9,760.5,,64,Wind blowing from the north-west,7,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-8.4,7.4,,,1000-1500,,,29.0,-6.6,No precipitation,12,,,,
06.03.2020 05:00,-2.2,647.9,758.9,,51,Wind blowing from the west-southwest,1,,4,, ,,,-10.2,7.4,,,,,,9.0,-11.2,No precipitation,6,,,,
06.03.2020 02:00,-0.7,648.8,759.8,-0.2,45,Wind blowing from the south-west,1,,7,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,7.4,,,2500 or more  or no clouds.,,,4.5,-11.2,No precipitation,12,,,,
05.03.2020 23:00,0.0,649.0,760.6,,40,Wind blowing from the east,1,,7,,Haze. ,,,-10.2,7.4,,,,,,2.4,-12.0,No precipitation,6,,,,
05.03.2020 20:00,3.3,648.9,762.2,,30,Wind blowing from the south-southeast,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,7.4,,,2500 or more  or no clouds.,,,11.0,-12.6,No precipitation,12,,,,
05.03.2020 17:00,6.8,647.9,759.9,,21,Wind blowing from the south,2,,7,50%., ,,,-10.2,7.4,,,2500 or more  or no clouds.,,,19.0,-14.0,No precipitation,6,,,,
05.03.2020 14:00,5.8,648.9,761.8,-1.6,22,Wind blowing from the south-southwest,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.2,6.2,,,2500 or more  or no clouds.,,,21.0,-14.3,No precipitation,12,,,,
05.03.2020 11:00,2.4,650.5,763.7,,24,Wind blowing from the south-west,3,,6,60%., ,,,-10.2,2.6,,,2500 or more  or no clouds.,,,25.0,-16.1,No precipitation,6,,,,
05.03.2020 08:00,-8.4,650.8,766.2,,52,Wind blowing from the north,0,,3,70 – 80%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.9,0.4,,,2500 or more  or no clouds.,,,0.8,-16.7,No precipitation,12,,,,
05.03.2020 05:00,-6.9,651.2,765.4,,42,Wind blowing from the east-northeast,2,,8,, ,,,-14.7,0.4,,,,,,30.0,-17.9,No precipitation,6,,,,
05.03.2020 02:00,-9.2,652.7,767.8,,51,Wind blowing from the east,1,,9,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,0.4,,,2500 or more  or no clouds.,,,6.0,-17.5,No precipitation,12,,,,
04.03.2020 23:00,-6.1,653.6,769.0,,36,Wind blowing from the east-northeast,1,,9,, ,,,-14.7,0.4,,,,,,18.0,-18.8,No precipitation,6,,,,
04.03.2020 20:00,-4.5,654.3,770.9,-0.6,34,Wind blowing from the south-southeast,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,0.4,,,,,,20.0,-18.0,No precipitation,12,,,,
04.03.2020 17:00,-0.4,654.9,771.0,,24,Wind blowing from the south-southwest,4,,9,no clouds, ,,,-14.7,0.4,,,,,,27.0,-18.5,No precipitation,6,,,,
04.03.2020 14:00,-0.8,656.6,772.3,-1.7,36,Wind blowing from the south-southwest,4,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,-0.8,,,,,,22.0,-14.0,No precipitation,12,,,,
04.03.2020 11:00,-4.8,658.3,775.0,,31,Wind blowing from the south-southwest,4,,6,no clouds, ,,,-14.7,-1.7,,,,,,30.0,-19.3,No precipitation,6,,,,
04.03.2020 08:00,-10.9,658.3,775.9,0.2,57,Wind blowing from the north-east,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.7,-1.7,,,,,,25.0,-17.8,No precipitation,12,,,,
04.03.2020 05:00,-12.5,658.1,775.1,,62,Wind blowing from the west,0,,6,, ,,,-14.6,-1.7,,,,,,26.0,-18.3,No precipitation,6,,,,
04.03.2020 02:00,-9.1,658.2,774.7,0.2,56,Wind blowing from the north-northeast,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-1.7,,,2500 or more  or no clouds.,,,30.0,-16.3,No precipitation,12,,,,
03.03.2020 23:00,-7.8,658.0,775.1,,53,Wind blowing from the north-east,2,,7,, ,,,-14.6,-1.7,,,,,,30.0,-15.9,No precipitation,6,,,,
03.03.2020 20:00,-5.5,657.3,775.3,,40,Wind blowing from the north-east,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-1.7,,,,,,30.0,-17.0,No precipitation,12,,,,
03.03.2020 17:00,-1.8,656.4,772.7,,24,Wind blowing from the south,2,,7,no clouds, ,,,-14.6,-1.7,,,,,,30.0,-19.7,No precipitation,6,,,,
03.03.2020 14:00,-2.9,657.3,774.0,-1.6,29,Wind blowing from the south-west,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-2.4,,,2500 or more  or no clouds.,,,30.0,-18.5,No precipitation,12,,,,
03.03.2020 11:00,-6.6,658.9,776.2,,62,Wind blowing from the east,1,,7,50%., ,,,-14.6,-2.4,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,6,,,,
03.03.2020 08:00,-13.6,659.0,777.3,,86,Wind blowing from the east-northeast,2,,11,20–30%.,Mist. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-14.6,-2.4,,,2500 or more  or no clouds.,,,6.0,-15.4,0.2,12,,,,
03.03.2020 05:00,-10.8,658.6,775.6,,84,Wind blowing from the north-northwest,2,,12,, ,,,-12.9,-2.4,,,,,,30.0,-13.0,0.2,6,,,,
03.03.2020 02:00,-10.6,658.9,775.9,0.5,75,Wind blowing from the west-southwest,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-10.6,-2.4,,,2500 or more  or no clouds.,,,22.0,-14.2,0.2,12,,,,
02.03.2020 23:00,-7.8,658.4,774.8,,74,Wind blowing from the north-northwest,3,,,, ,,,-8.1,-2.4,,,,,,30.0,-11.6,No precipitation,6,,,,
