Local time in Chuxiong,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
15.03.2020 17:00,26.7,611.2,753.4,,17,Wind blowing from the west,6,,18,90  or more  but not 100%, ,,,12.4,27.4,,,1000-1500,,,30.0,-0.3,No precipitation,6,,,,
15.03.2020 14:00,25.8,613.0,755.4,-2.1,14,Wind blowing from the south-west,6,,14,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,27.8,,,2500 or more  or no clouds.,,,30.0,-3.7,No precipitation,12,,,,
15.03.2020 11:00,23.0,615.1,757.6,,25,Wind blowing from the west-southwest,5,,9,20–30%., ,,,12.4,27.8,,,2500 or more  or no clouds.,,,30.0,1.9,No precipitation,6,,,,
15.03.2020 08:00,12.6,614.7,758.9,0.8,55,Wind blowing from the north-west,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,27.8,,,,,,30.0,3.8,No precipitation,12,,,,
15.03.2020 05:00,14.4,613.9,756.4,,44,Wind blowing from the north-northwest,0,,11,, ,,,10.7,27.8,,,,,,30.0,2.3,No precipitation,6,,,,
15.03.2020 02:00,16.0,614.5,757.3,,37,Wind blowing from the west,0,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,27.8,,,2500 or more  or no clouds.,,,29.0,1.3,No precipitation,12,,,,
14.03.2020 20:00,23.8,612.4,756.6,0.7,18,Wind blowing from the south-west,5,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,27.8,,,,,,30.0,-1.9,No precipitation,12,,,,
14.03.2020 17:00,27.5,611.7,754.2,,14,Wind blowing from the south-southwest,4,,11,no clouds, ,,,10.7,27.8,,,,,,30.0,-2.4,No precipitation,6,,,,
14.03.2020 14:00,25.6,613.6,756.1,-2.3,21,Wind blowing from the south,4,,10,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,26.9,,,,,,30.0,1.7,No precipitation,12,,,,
14.03.2020 11:00,21.7,615.9,759.2,,31,Wind blowing from the east-northeast,1,,5,no clouds, ,,,10.7,26.9,,,,,,30.0,3.9,No precipitation,6,,,,
14.03.2020 08:00,11.0,615.3,760.4,1.1,59,Wind blowing from the west-northwest,1,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.7,26.9,,,,,,30.0,3.1,No precipitation,12,,,,
14.03.2020 05:00,12.7,614.2,757.6,,51,Wind blowing from the north-northwest,1,,11,, ,,,11.5,26.9,,,,,,30.0,2.6,No precipitation,6,,,,
14.03.2020 02:00,16.3,614.8,757.6,,36,Wind blowing from the east,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,26.9,,,2500 or more  or no clouds.,,,30.0,1.2,No precipitation,12,,,,
13.03.2020 20:00,22.8,613.6,758.1,,21,Wind blowing from the south-west,3,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,26.9,,,2500 or more  or no clouds.,,,30.0,-0.6,No precipitation,12,,,,
13.03.2020 17:00,26.6,612.5,755.0,,16,Wind blowing from the west-southwest,5,,14,no clouds, ,,,11.5,26.9,,,,,,30.0,-1.3,No precipitation,6,,,,
13.03.2020 14:00,25.3,614.1,756.4,,17,Wind blowing from the west-southwest,5,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,25.5,,,,,,30.0,-1.5,No precipitation,12,,,,
13.03.2020 11:00,20.8,616.0,759.3,,29,Wind blowing from the east-northeast,1,,11,no clouds, ,,,11.5,25.5,,,,,,30.0,2.1,No precipitation,6,,,,
13.03.2020 08:00,11.6,615.1,760.3,,55,Wind blowing from the west,1,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.4,25.5,,,,,,30.0,2.9,No precipitation,12,,,,
13.03.2020 05:00,14.3,613.9,757.2,,44,Wind blowing from the north,1,,14,, ,,,11.2,25.5,,,,,,30.0,2.2,No precipitation,6,,,,
13.03.2020 02:00,17.9,614.2,757.0,,32,Wind blowing from the south-west,3,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,25.5,,,2500 or more  or no clouds.,,,30.0,1.0,No precipitation,12,,,,
12.03.2020 20:00,21.6,611.9,756.4,1.2,26,Wind blowing from the south-west,3,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,25.5,,,,,,30.0,1.3,No precipitation,12,,,,
12.03.2020 17:00,24.8,610.7,753.8,,19,Wind blowing from the west-southwest,7,,16,no clouds, ,,,11.2,25.5,,,,,,30.0,-0.4,No precipitation,6,,,,
12.03.2020 14:00,23.4,612.2,754.9,-2.0,21,Wind blowing from the west,6,,16,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,23.5,,,1000-1500,,,30.0,-0.1,No precipitation,12,,,,
12.03.2020 11:00,19.8,614.2,757.6,,30,Wind blowing from the west,6,,12,10%  or less  but not 0, ,,,11.2,23.5,,,1000-1500,,,30.0,1.7,No precipitation,6,,,,
12.03.2020 08:00,11.4,613.7,758.8,1.2,55,Wind blowing from the west,1,,11,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.5,23.5,,,2500 or more  or no clouds.,,,30.0,2.7,No precipitation,12,,,,
12.03.2020 05:00,12.3,612.5,756.5,,50,Wind blowing from the north,1,,14,, ,,,9.4,23.5,,,,,,30.0,2.2,No precipitation,6,,,,
12.03.2020 02:00,16.9,612.6,755.7,,35,Wind blowing from the south-west,2,,18,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,23.5,,,2500 or more  or no clouds.,,,30.0,1.4,No precipitation,12,,,,
11.03.2020 20:00,20.9,610.3,755.1,0.8,24,Wind blowing from the south-west,7,,19,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,23.5,,,,,,30.0,-0.4,No precipitation,12,,,,
11.03.2020 17:00,23.1,609.5,753.1,,21,Wind blowing from the west-southwest,7,,19,20–30%., ,,,9.4,23.4,,,1000-1500,,,30.0,-0.4,No precipitation,6,,,,
11.03.2020 14:00,21.8,611.5,755.0,-1.9,18,Wind blowing from the west-southwest,7,,19,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,22.8,,,1000-1500,,,30.0,-3.6,No precipitation,12,,,,
11.03.2020 11:00,18.7,613.4,757.7,,25,Wind blowing from the west-southwest,4,,9,, ,,,9.4,22.8,,,,,,30.0,-1.7,No precipitation,6,,,,
11.03.2020 08:00,9.4,613.0,758.8,1.1,60,Wind blowing from the west-southwest,0,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.5,22.8,,,,,,29.0,2.0,No precipitation,12,,,,
11.03.2020 05:00,11.4,611.9,756.2,,51,Wind blowing from the west,1,,,, ,,,8.4,22.8,,,,,,30.0,1.6,No precipitation,6,,,,
11.03.2020 02:00,14.7,612.6,756.4,,36,Wind blowing from the south-west,3,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,22.8,,,2500 or more  or no clouds.,,,30.0,-0.2,No precipitation,12,,,,
10.03.2020 20:00,19.7,610.3,755.7,0.5,24,Wind blowing from the south,4,,13,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,22.8,,,,,,30.0,-1.4,No precipitation,12,,,,
10.03.2020 17:00,22.3,609.8,753.9,,22,Wind blowing from the south,4,,11,no clouds, ,,,8.4,22.8,,,,,,30.0,-0.4,No precipitation,6,,,,
10.03.2020 14:00,21.4,612.1,755.6,-2.0,23,Wind blowing from the south-east,4,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,22.2,,,,,,30.0,-0.6,No precipitation,12,,,,
10.03.2020 11:00,17.9,614.1,759.1,,33,Wind blowing from the east,1,,8,no clouds, ,,,8.4,22.2,,,,,,28.0,1.4,No precipitation,6,,,,
10.03.2020 08:00,8.5,613.0,759.6,1.3,65,Wind blowing from the north,0,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.4,22.2,,,,,,30.0,2.3,No precipitation,12,,,,
10.03.2020 05:00,10.5,611.7,756.7,,54,Calm  no wind,0,,,, ,,,10.5,22.2,,,,,,30.0,1.6,No precipitation,6,,,,
10.03.2020 02:00,15.3,611.9,755.8,,35,Wind blowing from the west,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,22.2,,,2500 or more  or no clouds.,,,30.0,-0.1,No precipitation,12,,,,
09.03.2020 20:00,18.2,610.3,755.2,1.4,30,Wind blowing from the south-southwest,3,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,22.2,,,,,,30.0,0.4,No precipitation,12,,,,
09.03.2020 17:00,20.7,608.9,752.5,,24,Wind blowing from the south-west,6,,15,60%., ,,,11.6,22.2,,,1000-1500,,,30.0,-0.6,No precipitation,6,,,,
09.03.2020 14:00,20.2,610.1,753.7,-1.4,25,Wind blowing from the west-southwest,5,,,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,22.0,,,1000-1500,,,30.0,-0.4,No precipitation,12,,,,
09.03.2020 11:00,17.6,611.5,755.8,,32,Wind blowing from the west,5,,11,no clouds, ,,,11.6,22.0,,,,,,30.0,0.7,No precipitation,6,,,,
09.03.2020 08:00,11.7,610.7,755.8,0.7,47,Wind blowing from the north-west,1,,12,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.6,22.0,,,,,,30.0,0.8,No precipitation,12,,,,
09.03.2020 05:00,12.9,610.0,753.7,,40,Wind blowing from the south-west,3,,15,, ,,,12.9,22.0,,,,,,30.0,-0.4,No precipitation,6,,,,
09.03.2020 02:00,14.4,610.8,754.5,,35,Wind blowing from the west-southwest,3,,16,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,22.0,,,2500 or more  or no clouds.,,,30.0,-0.9,No precipitation,12,,,,
08.03.2020 20:00,18.4,608.8,752.7,0.9,28,Wind blowing from the west-southwest,5,,16,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,22.0,,,,,,30.0,-0.4,No precipitation,12,,,,
08.03.2020 17:00,21.4,607.9,750.5,,22,Wind blowing from the south-west,7,,16,20–30%., ,,,14.2,22.0,,,1000-1500,,,30.0,-1.2,No precipitation,6,,,,
08.03.2020 14:00,20.5,609.6,752.8,-1.8,26,Wind blowing from the west-southwest,5,,15,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,21.6,,,1000-1500,,,30.0,0.4,No precipitation,12,,,,
08.03.2020 11:00,17.2,611.4,755.5,,35,Wind blowing from the west-southwest,5,,,70 – 80%., ,,,14.2,21.6,,,1000-1500,,,30.0,1.6,No precipitation,6,,,,
08.03.2020 08:00,14.3,610.8,755.1,0.6,42,Wind blowing from the west-southwest,4,,11,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.1,21.6,,,1000-1500,,,30.0,1.6,No precipitation,12,,,,
08.03.2020 05:00,15.4,610.2,753.4,,38,Wind blowing from the west,3,,,, ,,,7.9,21.6,,,,,,30.0,1.2,No precipitation,6,,,,
08.03.2020 02:00,15.4,611.2,755.0,,35,Wind blowing from the south,2,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,21.6,,,2500 or more  or no clouds.,,,30.0,0.0,No precipitation,12,,,,
07.03.2020 20:00,18.6,611.2,757.3,0.3,27,Wind blowing from the west-southwest,6,,15,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,21.6,,,,,,30.0,-0.7,No precipitation,12,,,,
07.03.2020 17:00,21.0,610.9,755.8,,25,Wind blowing from the west-southwest,8,,15,10%  or less  but not 0, ,,,7.9,21.6,,Sky obscured by fog and/or other meteorological phenomena.,1000-1500,,,30.0,0.2,No precipitation,6,,,,
07.03.2020 14:00,19.6,612.1,756.9,-1.8,30,Wind blowing from the west,4,,14,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,20.3,,,1000-1500,,,30.0,1.6,No precipitation,12,,,,
07.03.2020 11:00,17.4,613.9,759.1,,37,Wind blowing from the west,6,,,no clouds, ,,,7.9,19.4,,,,,,25.0,2.6,No precipitation,6,,,,
07.03.2020 08:00,8.1,613.6,760.9,0.7,71,Wind blowing from the west,1,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.9,19.4,,,,,,30.0,3.2,No precipitation,12,,,,
07.03.2020 05:00,9.5,612.9,758.9,,66,Wind blowing from the west-southwest,1,,11,, ,,,9.1,19.4,,,,,,30.0,3.5,No precipitation,6,,,,
07.03.2020 02:00,12.3,613.8,759.6,,54,Wind blowing from the west-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,19.4,,,2500 or more  or no clouds.,,,30.0,3.3,No precipitation,12,,,,
06.03.2020 20:00,16.2,612.8,759.6,1.2,39,Wind blowing from the south-west,2,,15,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,19.4,,,1000-1500,,,30.0,2.2,No precipitation,12,,,,
06.03.2020 17:00,18.8,611.6,756.6,,28,Wind blowing from the west,5,,15,70 – 80%., ,,,9.1,19.4,,,1000-1500,,,30.0,-0.1,No precipitation,6,,,,
06.03.2020 14:00,17.6,613.0,758.7,-1.2,32,Wind blowing from the west,5,,15,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,20.8,,,1000-1500,,,30.0,0.7,No precipitation,12,,,,
06.03.2020 11:00,16.9,614.2,759.5,,35,Wind blowing from the west,6,,15,20–30%., ,,,9.1,20.8,,,1000-1500,,,30.0,1.4,No precipitation,6,,,,
06.03.2020 08:00,9.3,613.3,760.2,0.9,69,Wind blowing from the west-southwest,2,,8,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,20.8,,,1000-1500,,,20.0,3.9,No precipitation,12,,,,
06.03.2020 05:00,12.3,612.4,757.6,,54,Wind blowing from the south-west,3,,10,, ,,,7.1,20.8,,,,,,29.0,3.3,No precipitation,6,,,,
06.03.2020 02:00,12.2,613.0,758.2,,58,Wind blowing from the west-southwest,1,,13,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,20.8,,,2500 or more  or no clouds.,,,29.0,4.2,No precipitation,12,,,,
05.03.2020 20:00,16.6,611.8,758.8,0.9,38,Wind blowing from the west,4,,,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,20.8,,,2500 or more  or no clouds.,,,30.0,2.2,No precipitation,12,,,,
05.03.2020 17:00,18.6,610.9,756.8,,38,Wind blowing from the south,4,,13,90  or more  but not 100%, ,,,7.1,20.8,,,,,,30.0,4.0,No precipitation,6,,,,
05.03.2020 14:00,19.3,612.4,758.0,-2.5,34,Wind blowing from the south,7,,12,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,20.3,,,2500 or more  or no clouds.,,,30.0,3.1,No precipitation,12,,,,
05.03.2020 11:00,15.3,614.9,761.5,,54,Wind blowing from the south-southwest,3,,7,no clouds, ,,,7.1,20.3,,,,,,30.0,6.1,No precipitation,6,,,,
05.03.2020 08:00,7.3,613.9,761.2,1.0,78,Wind blowing from the south-west,0,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.1,20.3,,,2500 or more  or no clouds.,,,20.0,3.7,No precipitation,12,,,,
05.03.2020 05:00,8.2,612.9,759.1,,76,Wind blowing from the north-northwest,1,,13,, ,,,7.2,20.3,,,,,,28.0,4.2,No precipitation,6,,,,
05.03.2020 02:00,9.9,613.6,760.6,,67,Wind blowing from the west,1,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.3,,,2500 or more  or no clouds.,,,28.0,4.1,No precipitation,12,,,,
04.03.2020 20:00,17.0,612.4,759.3,0.7,33,Wind blowing from the west,1,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,20.3,,,1000-1500,,,30.0,0.6,0.2,12,,,,
04.03.2020 17:00,19.5,611.7,757.7,,28,Wind blowing from the west,7,,,70 – 80%., ,,,7.2,19.7,,,1000-1500,,,30.0,0.5,No precipitation,6,,,,
04.03.2020 14:00,15.9,613.4,760.3,,58,Wind blowing from the west-northwest,2,,7,90  or more  but not 100%,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,19.9,,,1000-1500,,,30.0,7.7,2.0,12,,,,
04.03.2020 11:00,10.5,615.7,764.2,,80,Wind blowing from the west-northwest,2,,7,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,,,,1000-1500,,,10.0,7.2,2.0,6,,,,
04.03.2020 08:00,7.8,614.2,762.4,1.2,90,Wind blowing from the west,1,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,19.9,,,2500 or more  or no clouds.,,,27.0,6.3,2.0,12,,,,
04.03.2020 05:00,7.9,613.0,761.2,,86,Wind blowing from the west-northwest,1,,11,, ,,,7.8,19.9,,,,,,28.0,5.7,No precipitation,6,,,,
04.03.2020 02:00,9.7,613.6,759.7,,79,Wind blowing from the north-northeast,1,,22,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,19.9,,,2500 or more  or no clouds.,,,30.0,6.2,2.0,12,,,,
03.03.2020 20:00,13.9,613.0,760.4,0.0,48,Wind blowing from the west-southwest,3,,22,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,19.9,,,2500 or more  or no clouds.,,,30.0,3.1,2.0,12,,,,
03.03.2020 17:00,12.5,613.0,760.5,,69,Wind blowing from the west-northwest,1,,22,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,22.9,,,1000-1500,,,30.0,7.0,2.0,6,,,,
03.03.2020 14:00,19.2,612.3,757.1,-2.2,31,Wind blowing from the south-west,6,,12,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,23.2,,,1000-1500,,,30.0,1.7,0.5,12,,,,
03.03.2020 11:00,16.5,614.5,759.7,,47,Wind blowing from the south,3,,12,20–30%., ,,,9.4,23.2,,,1000-1500,,,30.0,5.2,0.5,6,,,,
03.03.2020 08:00,9.5,613.6,759.8,1.3,85,Wind blowing from the east-southeast,2,,12,70 – 80%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.9,23.2,,,1000-1500,,,18.0,7.1,0.5,12,,,,
03.03.2020 05:00,10.5,612.3,756.8,,59,Calm  no wind,0,,,, ,,,8.6,23.2,,,,,,27.0,2.8,No precipitation,6,,,,
03.03.2020 02:00,13.1,612.8,757.1,,49,Wind blowing from the north-west,1,,14,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,23.2,,,2500 or more  or no clouds.,,,30.0,2.6,No precipitation,12,,,,
02.03.2020 20:00,18.6,611.8,757.9,1.0,29,Wind blowing from the south-southwest,2,,14,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,23.2,,,,,,30.0,0.2,No precipitation,12,,,,
02.03.2020 17:00,22.7,610.8,755.2,,20,Wind blowing from the south-southwest,4,,14,70 – 80%., ,,,8.6,23.2,,,1000-1500,,,30.0,-1.4,No precipitation,6,,,,
02.03.2020 14:00,21.6,612.2,756.6,-2.0,19,Wind blowing from the south-southwest,6,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.6,23.5,,,,,,15.0,-3.0,No precipitation,12,,,,
02.03.2020 11:00,18.2,614.2,758.7,,34,Wind blowing from the west-southwest,4,,7,no clouds, ,,,8.6,23.5,,,,,,30.0,2.1,No precipitation,6,,,,
02.03.2020 08:00,8.9,613.6,759.9,1.1,61,Wind blowing from the west,1,,5,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,23.5,,,,,,30.0,1.6,No precipitation,12,,,,
02.03.2020 05:00,9.5,612.5,757.3,,57,Wind blowing from the south,0,,11,, ,,,7.2,23.5,,,,,,30.0,1.4,No precipitation,6,,,,
02.03.2020 02:00,12.3,612.9,757.2,,48,Wind blowing from the west,1,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,23.5,,,2500 or more  or no clouds.,,,30.0,1.6,No precipitation,12,,,,
01.03.2020 20:00,19.2,611.8,758.1,1.0,24,Wind blowing from the south-southwest,2,,11,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,23.5,,,,,,30.0,-1.8,No precipitation,12,,,,
01.03.2020 17:00,23.2,610.8,755.2,,17,Wind blowing from the south-west,6,,,no clouds, ,,,7.2,23.5,,,,,,30.0,-3.2,No precipitation,6,,,,
01.03.2020 14:00,22.3,612.1,756.5,-2.1,18,Wind blowing from the south,3,,,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,22.5,,,,,,30.0,-3.1,No precipitation,12,,,,
01.03.2020 11:00,17.0,614.2,759.7,,35,Wind blowing from the east-northeast,1,,3,no clouds, ,,,7.2,21.8,,,,,,30.0,1.4,No precipitation,6,,,,
01.03.2020 08:00,7.2,613.6,760.6,0.9,70,Wind blowing from the north,0,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.2,21.8,,,,,,30.0,2.1,No precipitation,12,,,,
01.03.2020 05:00,9.1,612.7,758.2,,63,Calm  no wind,0,,,, ,,,8.2,21.8,,,,,,30.0,2.4,No precipitation,6,,,,
01.03.2020 02:00,11.3,613.3,758.3,,49,Wind blowing from the north,0,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,21.8,,,2500 or more  or no clouds.,,,30.0,1.0,No precipitation,12,,,,
29.02.2020 20:00,17.9,612.0,758.4,1.3,25,Wind blowing from the south-west,3,,9,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,21.8,,,,,,30.0,-2.4,No precipitation,12,,,,
29.02.2020 17:00,21.1,610.7,755.2,,26,Wind blowing from the south,4,,,40%., ,,,8.2,21.8,,,1000-1500,,,30.0,0.9,No precipitation,6,,,,
29.02.2020 14:00,20.8,612.2,756.4,-1.9,31,Wind blowing from the south,3,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,20.8,,,1000-1500,,,30.0,3.1,No precipitation,12,,,,
29.02.2020 11:00,16.1,614.1,759.6,,47,Wind blowing from the south-east,1,,6,20–30%., ,,,8.2,19.9,,,1000-1500,,,30.0,4.8,No precipitation,6,,,,
